"CT School Day SAT, 2015-16"
"All Districts, ELA, Gender"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Westport School District","=""1580011""","Male",214,"*","*","*","*",92,43.0,95,44.4,187,87.4,591
"Wethersfield School District","=""1590011""","Female",121,9,7.4,19,15.7,74,61.2,19,15.7,93,76.9,538
"Wethersfield School District","=""1590011""","Male",131,25,19.1,21,16.0,72,55.0,13,9.9,85,64.9,506
"Wilton School District","=""1610011""","Female",180,"*","*","*","*",86,47.8,85,47.2,171,95.0,611
"Wilton School District","=""1610011""","Male",148,"*","*","*","*",77,52.0,57,38.5,134,90.5,594
"Windham School District","=""1630011""","Female",48,15,31.3,23,47.9,10,20.8,0,0.0,10,20.8,429
"Windham School District","=""1630011""","Male",55,33,60.0,"*","*",12,21.8,"*","*","*","*",435
"Windsor Locks School District","=""1650011""","Female",31,"*","*",10,32.3,13,41.9,"*","*","*","*",479
"Windsor Locks School District","=""1650011""","Male",58,"*","*",14,24.1,32,55.2,"*","*","*","*",497
"Windsor School District","=""1640011""","Female",124,13,10.5,29,23.4,67,54.0,15,12.1,82,66.1,525
"Windsor School District","=""1640011""","Male",138,33,23.9,41,29.7,55,39.9,9,6.5,64,46.4,481
"Wolcott School District","=""1660011""","Female",90,9,10.0,14,15.6,52,57.8,15,16.7,67,74.4,536
"Wolcott School District","=""1660011""","Male",100,9,9.0,15,15.0,63,63.0,13,13.0,76,76.0,533
"Woodstock Academy District","=""9030022""","Female",129,6,4.7,19,14.7,86,66.7,18,14.0,104,80.6,540
"Woodstock Academy District","=""9030022""","Male",129,15,11.6,20,15.5,67,51.9,27,20.9,94,72.9,540

