"CT School Day SAT, 2015-16"
"All Districts, Math, Gender"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Westport School District","=""1580011""","Male",214,21,9.8,33,15.4,69,32.2,91,42.5,160,74.8,605
"Wethersfield School District","=""1590011""","Female",121,17,14.0,45,37.2,47,38.8,12,9.9,59,48.8,526
"Wethersfield School District","=""1590011""","Male",131,24,18.3,47,35.9,48,36.6,12,9.2,60,45.8,511
"Wilton School District","=""1610011""","Female",180,"*","*","*","*",75,41.7,60,33.3,135,75.0,594
"Wilton School District","=""1610011""","Male",147,"*","*","*","*",60,40.8,54,36.7,114,77.6,598
"Windham School District","=""1630011""","Female",48,36,75.0,12,25.0,0,0.0,0,0.0,0,0.0,390
"Windham School District","=""1630011""","Male",55,28,50.9,16,29.1,11,20.0,0,0.0,11,20.0,425
"Windsor Locks School District","=""1650011""","Female",31,9,29.0,16,51.6,6,19.4,0,0.0,6,19.4,453
"Windsor Locks School District","=""1650011""","Male",58,"*","*",25,43.1,19,32.8,"*","*","*","*",485
"Windsor School District","=""1640011""","Female",124,24,19.4,63,50.8,29,23.4,8,6.5,37,29.8,485
"Windsor School District","=""1640011""","Male",138,42,30.4,59,42.8,25,18.1,12,8.7,37,26.8,478
"Wolcott School District","=""1660011""","Female",90,16,17.8,43,47.8,23,25.6,8,8.9,31,34.4,498
"Wolcott School District","=""1660011""","Male",100,16,16.0,30,30.0,39,39.0,15,15.0,54,54.0,530
"Woodstock Academy District","=""9030022""","Female",129,15,11.6,50,38.8,44,34.1,20,15.5,64,49.6,530
"Woodstock Academy District","=""9030022""","Male",129,19,14.7,43,33.3,32,24.8,35,27.1,67,51.9,546

