"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",2684,245,2929
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",3126,192,3318
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",3851,776,4627
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",2746,216,2962
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",1246,67,1313
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",1246,67,1313
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",3159,215,3374
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",2297,0,2297
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",1745,74,1819
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",2616,75,2691
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",1919,217,2136
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",2916,284,3200
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",1898,160,2058
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",9145,282,9427
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",1825,216,2041
"East Haven School District","=""0440011""","Hays School","=""0441911""",454,41,495
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",5365,310,5675
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",1736,192,1928
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",1614,216,1830
"East Haven School District","=""0440011""","Pathways","=""0449011""",262,0,262
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",795,77,872
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",57,0,57
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",11414,37,11451
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",8557,60,8617
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",3504,138,3642
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",480,0,480
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",3287,72,3359
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*",0,"*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",2030,39,2069
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",45,0,45
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",4910,312,5222
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",3626,38,3664
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",3636,88,3724
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",1060,22,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",1060,22,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",789,12,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",789,12,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",1054,6,1060
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",1634,0,1634
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",3612,14,3626
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",6658,39,6697
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",1927,0,1927
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",258,0,258
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",1927,0,1927
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",258,0,258
"Ellington School District","=""0480011""","Center School","=""0480111""",4097,15,4112
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",2114,18,2132
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",7771,53,7824
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",4146,17,4163
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",3757,38,3795
"Ellington School District","=""0480011""","Windermere School","=""0480611""",4428,216,4644
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""","*",0,"*"
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",985,0,985
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",4777,247,5024
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",308,15,323
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""",76,0,76
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",86,0,86
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""",15,0,15
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",3390,50,3440
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*",0,"*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",3924,90,4014
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",8527,56,8583
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""",22,0,22
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",2966,158,3124
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",95,0,95
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",9260,42,9302
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",1050,7,1057
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",3468,170,3638
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",1040,0,1040
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",12,0,12
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",3749,111,3860
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",10302,93,10395
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",18,0,18
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",2392,26,2418
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",19,0,19
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",4043,67,4110
"Enfield School District","=""0490011""","Stowe - Early Learning Center (SELC)","=""0491011""",86,0,86
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",1101,75,1176
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",5103,58,5161
"Explorations District","=""2720013""","Explorations","=""2726113""","*","*",833
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",4264,89,4353
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",3147,11,3158
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",1222,0,1222
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",14765,104,14869
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","*","*",18
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",13574,244,13818
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",7714,69,7783
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",3461,261,3722
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",3355,36,3391
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",3794,713,4507
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",4332,67,4399
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",4532,62,4594
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",5118,40,5158
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",4301,25,4326
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",8774,130,8904
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",4544,71,4615
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",4745,85,4830
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",7167,184,7351
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","*","*",87
"Farmington School District","=""0520011""","East Farms School","=""0520411""",4224,210,4434
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",30,0,30
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",791,0,791
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",12897,82,12979
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",6355,42,6397
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",3237,222,3459
"Farmington School District","=""0520011""","Union School","=""0520111""",3008,59,3067
"Farmington School District","=""0520011""","West District School","=""0520311""",3243,117,3360
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",6316,68,6384
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",1985,0,1985
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","*",0,"*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",4948,130,5078
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",3025,10,3035
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",5090,53,5143
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",20938,145,21083
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",4573,81,4654
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",4566,90,4656
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",97,0,97
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""",48,0,48
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",97,0,97
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""",48,0,48
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",4144,216,4360
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",6130,54,6184
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","*",0,"*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","*","*",8
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",78,0,78
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",59,0,59
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",10552,99,10651
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",3774,42,3816
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",7282,14,7296
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",3548,8,3556
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",3290,13,3303
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",3290,13,3303
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",3214,12,3226
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",573,104,677
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",92,8,100
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",5961,195,6156
"Greenwich School District","=""0570011""","Community Connections","=""0571211""",22,0,22
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",3889,369,4258
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",7639,214,7853
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",3560,226,3786
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",92,8,100
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",25534,826,26360
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",3529,415,3944
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",3515,209,3724
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",3024,428,3452
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",1968,522,2490
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",4343,313,4656
"Greenwich School District","=""0570011""","North Street School","=""0570811""",4209,185,4394
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",4156,191,4347
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",2770,85,2855
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",4597,383,4980
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",4763,348,5111
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",42,0,42
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",7812,158,7970
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",6581,8,6589
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",5179,33,5212
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",4144,34,4178
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",3543,175,3717
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",3543,175,3717
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",3841,18,3859
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",3408,121,3529
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""","*","*",139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",472,26,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",2082,32,2114
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",3535,57,3592
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*",46
"Groton School District","=""0590011""","Noank School","=""0590911""",240,0,240
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",3667,16,3683
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",3203,36,3239
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",11891,243,12134
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",3229,24,3253
"Groton School District","=""0590011""","Transition Academy","=""0591011""",9,0,9
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","*",0,"*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",3581,139,3720
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",5655,59,5714
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",3084,90,3174
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",2897,74,2971
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",5738,29,5767
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",11039,31,11070
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",3715,66,3781
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",3363,37,3400
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",1133,0,1133
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",4462,118,4580
"Hamden School District","=""0620011""","Church Street School","=""0620211""",3299,416,3715
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",3004,147,3151
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",186,0,186
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",18187,341,18528
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",8430,232,8662
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""","*",0,"*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""",11,0,11
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",2886,223,3109
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",3023,223,3246
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",2856,398,3254
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",3884,86,3970
"Hamden School District","=""0620011""","West Woods School","=""0621411""",4439,201,4640
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*","*",1262
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",1247,72,1319
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",3469,1573,5042
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",3469,1573,5042
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Dr. James H Naylor / CCSU","=""0645711""",57,0,57
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","*","*",24
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""",57,0,57
"Hartford School District","=""0640011""","Autism Program - Rawson School","=""0644411""",75,27,102
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",75,27,102
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""",18,7,25
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""",18,7,25
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""","*","*",18
"Hartford School District","=""0640011""","Barnard-Brown School","=""0640311""",190,143,333
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",4463,808,5271
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",2500,780,3280
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",1014,183,1197
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",1825,57,1882
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",1825,57,1882
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",3320,188,3508
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",2728,955,3683
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",4988,1918,6906
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",2728,955,3683
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",3285,2362,5647
"Hartford School District","=""0640011""","Burr School","=""0642311""",4578,1944,6522
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",152,8,160
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",4732,170,4902
"Hartford School District","=""0640011""","Clark School","=""0642411""",2975,456,3431
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",6573,197,6770
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",1967,327,2294
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",1967,327,2294
"Hartford School District","=""0640011""","DDP - Simpson-Waverly","=""0649411""",14,0,14
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""",14,0,14
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",5249,1389,6638
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",1252,554,1806
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",2500,780,3280
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","*","*",25
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""",21,10,31
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",64,15,79
"Hartford School District","=""0640011""","EDP - HPHS Engineering and Green Technology Academy","=""0648211""",64,15,79
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",76,21,97
"Hartford School District","=""0640011""","EDP - M.D. Fox School","=""0645911""",76,21,97
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","*","*",14
"Hartford School District","=""0640011""","EDP - West Middle School","=""0644611""","*","*",15
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""",47,0,47
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",4313,471,4784
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",4313,471,4784
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",4766,1310,6076
"Hartford School District","=""0640011""","Fox Middle School","=""0645111""",590,34,624
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",3128,776,3904
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",3851,333,4184
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",1247,72,1319
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",2122,957,3079
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",2400,840,3240
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",2122,957,3079
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",670,242,912
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",2482,747,3229
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",2400,840,3240
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",7406,532,7938
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""",564,0,564
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",2298,810,3108
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",258,47,305
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",158,34,192
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",1854,361,2215
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",1854,361,2215
"Hartford School District","=""0640011""","High Step Transition","=""0648411""",31,12,43
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""",3851,333,4184
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",1516,178,1694
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",5414,1679,7093
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",6723,619,7342
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""","*","*",10
"Hartford School District","=""0640011""","LC - Breakthrough II School","=""0649511""","*","*",10
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","*","*",11
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""","*","*",11
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""","*","*",10
"Hartford School District","=""0640011""","LC - Moylan School","=""0649811""","*","*",10
"Hartford School District","=""0640011""","Little Owls Learning Center","=""0648011""",29,0,29
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",4622,2083,6705
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",4622,2083,6705
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",3954,226,4180
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",3954,226,4180
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""",36,12,48
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",49,13,62
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",61,37,98
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""",22,0,22
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",2463,1029,3492
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",2463,1029,3492
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",2981,735,3716
"Hartford School District","=""0640011""","Milner School","=""0641911""",2981,735,3716
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",2190,67,2257
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",2190,67,2257
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",883,50,933
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",5249,1389,6638
"Hartford School District","=""0640011""","New Visions Program","=""0642711""",43,8,51
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",6030,265,6295
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",582,83,665
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",4042,1402,5444
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",3442,206,3648
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""",887,499,1386
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",6723,619,7342
"Hartford School District","=""0640011""","Rawson School","=""0641711""",5070,230,5300
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","*","*",724
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""","*","*",724
"Hartford School District","=""0640011""","SAND School","=""0640111""",3433,823,4256
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",3530,139,3669
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",1014,183,1197
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""",3530,139,3669
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",2980,1929,4909
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",377,13,390
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",5070,230,5300
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",3101,282,3383
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",5927,472,6399
"Hartford School District","=""0640011""","Twain School","=""0641811""","*","*",282
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",3821,121,3942
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",3821,121,3942
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",2546,73,2619
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",6030,265,6295
"Hartford School District","=""0640011""","West Middle School","=""0642111""",4270,1532,5802
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",3128,776,3904
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*","*",2142
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",3946,14,3960
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","*","*",5795
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","*","*",3586
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",3095,208,3303
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",1954,204,2158
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","*","*",5631
"Kent School District","=""0680011""","Kent Center School","=""0680111""",2639,18,2657
"Kent School District","=""0680011""","LEAPSS","=""0680211""","*",0,"*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""","*","*",1021
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*","*",54
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",4299,134,4433
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",8122,95,8217
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",7592,122,7714
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",4559,269,4828
"Killingly School District","=""0690011""","Sunrise Community School","=""0690411""","*","*",47
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",2343,57,2400
