"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",4941,5421,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",1721,1810,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",138,169,307
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",1423,1506,2929
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",1613,1705,3318
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",2214,2413,4627
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",1515,1447,2962
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",477,836,1313
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",477,836,1313
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",1802,1572,3374
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",1058,1239,2297
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",275,1544,1819
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",1446,1245,2691
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",1045,1091,2136
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",1538,1662,3200
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",1013,1045,2058
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",4648,4779,9427
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",1008,1033,2041
"East Haven School District","=""0440011""","Hays School","=""0441911""",218,277,495
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",2649,3026,5675
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",886,1042,1928
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",866,964,1830
"East Haven School District","=""0440011""","Pathways","=""0449011""",63,199,262
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",438,434,872
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",22,35,57
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",5822,5629,11451
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",4251,4366,8617
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",1736,1906,3642
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",211,269,480
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",1639,1720,3359
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",1041,1028,2069
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",8,37,45
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",2560,2662,5222
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",1751,1913,3664
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",1782,1942,3724
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",793,289,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",793,289,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",154,647,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",154,647,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",587,473,1060
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",761,873,1634
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",1724,1902,3626
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",3116,3581,6697
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",990,937,1927
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",94,164,258
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",990,937,1927
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",94,164,258
"Ellington School District","=""0480011""","Center School","=""0480111""",2037,2075,4112
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",986,1146,2132
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",3950,3874,7824
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",2075,2088,4163
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",1879,1916,3795
"Ellington School District","=""0480011""","Windermere School","=""0480611""",2281,2363,4644
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""",0,"*","*"
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",497,488,985
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",2686,2338,5024
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",151,172,323
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""",27,49,76
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",42,44,86
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""",8,7,15
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",1691,1749,3440
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*",0,"*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",1889,2125,4014
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",4170,4413,8583
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*","*",22
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",1569,1555,3124
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",47,48,95
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",4627,4675,9302
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",533,524,1057
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",1655,1983,3638
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",507,533,1040
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,12,12
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",1776,2084,3860
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",5059,5336,10395
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","*","*",18
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",1185,1233,2418
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*",19
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",2061,2049,4110
"Enfield School District","=""0490011""","Stowe - Early Learning Center (SELC)","=""0491011""",42,44,86
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",591,585,1176
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",2507,2654,5161
"Explorations District","=""2720013""","Explorations","=""2726113""",477,356,833
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",2097,2256,4353
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",1573,1585,3158
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",406,816,1222
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",7841,7028,14869
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","*","*",18
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",6961,6857,13818
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",3741,4042,7783
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",1906,1816,3722
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",1469,1922,3391
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",2222,2285,4507
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",2136,2263,4399
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",2194,2400,4594
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",2457,2701,5158
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",2059,2267,4326
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",4400,4504,8904
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",2317,2298,4615
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",2315,2515,4830
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",3665,3686,7351
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",38,49,87
"Farmington School District","=""0520011""","East Farms School","=""0520411""",2123,2311,4434
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",14,16,30
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",340,451,791
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",6172,6807,12979
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",3082,3315,6397
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",1679,1780,3459
"Farmington School District","=""0520011""","Union School","=""0520111""",1502,1565,3067
"Farmington School District","=""0520011""","West District School","=""0520311""",1638,1722,3360
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",3076,3308,6384
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",938,1047,1985
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",2587,2491,5078
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",1464,1571,3035
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",2595,2548,5143
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",10749,10334,21083
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",2328,2326,4654
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",2233,2423,4656
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",43,54,97
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""",31,17,48
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",43,54,97
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""",31,17,48
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",2248,2112,4360
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",3174,3010,6184
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","*","*","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","*","*",8
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",30,48,78
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",23,36,59
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",5323,5328,10651
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",1845,1971,3816
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",3499,3797,7296
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",1754,1802,3556
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",1600,1703,3303
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",1600,1703,3303
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",1597,1629,3226
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",334,343,677
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",45,55,100
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",2922,3234,6156
"Greenwich School District","=""0570011""","Community Connections","=""0571211""",7,15,22
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",2090,2168,4258
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",3898,3955,7853
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",1863,1923,3786
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",45,55,100
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",12788,13572,26360
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",1976,1968,3944
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",1899,1825,3724
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",1676,1776,3452
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",1148,1342,2490
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",2306,2350,4656
"Greenwich School District","=""0570011""","North Street School","=""0570811""",2039,2355,4394
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",2154,2193,4347
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",1264,1591,2855
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",2227,2753,4980
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",2440,2671,5111
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",11,31,42
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",3839,4131,7970
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",3360,3229,6589
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",2530,2682,5212
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",2030,2148,4178
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",1793,1924,3717
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",1793,1924,3717
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",1934,1925,3859
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",1762,1767,3529
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""",72,67,139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",244,254,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",1023,1091,2114
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",1755,1837,3592
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",18,28,46
"Groton School District","=""0590011""","Noank School","=""0590911""",118,122,240
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",1779,1904,3683
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",1575,1664,3239
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",6092,6042,12134
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",1552,1701,3253
"Groton School District","=""0590011""","Transition Academy","=""0591011""","*","*",9
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","*","*","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",1874,1846,3720
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",2786,2928,5714
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",1572,1602,3174
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",1390,1581,2971
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",2825,2942,5767
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",5601,5469,11070
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",1779,2002,3781
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",1655,1745,3400
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",405,728,1133
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",2244,2336,4580
"Hamden School District","=""0620011""","Church Street School","=""0620211""",1808,1907,3715
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",1516,1635,3151
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",54,132,186
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",8922,9606,18528
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",4197,4465,8662
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""",0,"*","*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","*","*",11
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",1333,1776,3109
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",1496,1750,3246
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",1566,1688,3254
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",1948,2022,3970
"Hamden School District","=""0620011""","West Woods School","=""0621411""",2265,2375,4640
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",500,762,1262
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",805,514,1319
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",2349,2693,5042
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",2349,2693,5042
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","*","*",18
"Hartford School District","=""0640011""","Autism Program - Dr. James H Naylor / CCSU","=""0645711""",16,41,57
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""",6,12,18
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","*","*",24
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""",6,12,18
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""",16,41,57
"Hartford School District","=""0640011""","Autism Program - Rawson School","=""0644411""",10,92,102
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",10,92,102
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""","*","*",25
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""","*","*",25
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""","*","*",18
"Hartford School District","=""0640011""","Barnard-Brown School","=""0640311""",162,171,333
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",2434,2837,5271
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",1623,1657,3280
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",453,744,1197
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",937,945,1882
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",937,945,1882
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",1816,1692,3508
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",1701,1982,3683
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",3109,3797,6906
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",1701,1982,3683
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",2763,2884,5647
"Hartford School District","=""0640011""","Burr School","=""0642311""",3053,3469,6522
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",119,41,160
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",2517,2385,4902
"Hartford School District","=""0640011""","Clark School","=""0642411""",1660,1771,3431
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",3843,2927,6770
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",1101,1193,2294
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",1101,1193,2294
"Hartford School District","=""0640011""","DDP - Simpson-Waverly","=""0649411""","*","*",14
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""","*","*",14
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",3299,3339,6638
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",885,921,1806
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",1623,1657,3280
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","*","*",25
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""",6,25,31
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",16,63,79
"Hartford School District","=""0640011""","EDP - HPHS Engineering and Green Technology Academy","=""0648211""",16,63,79
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",11,86,97
"Hartford School District","=""0640011""","EDP - M.D. Fox School","=""0645911""",11,86,97
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","*","*",14
"Hartford School District","=""0640011""","EDP - West Middle School","=""0644611""",0,15,15
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""",13,34,47
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",2178,2606,4784
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",2178,2606,4784
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",2932,3144,6076
"Hartford School District","=""0640011""","Fox Middle School","=""0645111""",307,317,624
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",1900,2004,3904
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",2166,2018,4184
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",805,514,1319
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",774,2305,3079
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",2290,950,3240
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",774,2305,3079
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",442,470,912
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",1591,1638,3229
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",2290,950,3240
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",4321,3617,7938
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""",290,274,564
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",1522,1586,3108
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",41,264,305
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",37,155,192
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",1073,1142,2215
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",1073,1142,2215
"Hartford School District","=""0640011""","High Step Transition","=""0648411""",20,23,43
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""",2166,2018,4184
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",867,827,1694
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",3594,3499,7093
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",4401,2941,7342
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""","*","*",10
"Hartford School District","=""0640011""","LC - Breakthrough II School","=""0649511""","*","*",10
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","*","*",11
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""","*","*",11
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""","*","*",10
"Hartford School District","=""0640011""","LC - Moylan School","=""0649811""","*","*",10
"Hartford School District","=""0640011""","Little Owls Learning Center","=""0648011""",17,12,29
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",3290,3415,6705
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",3290,3415,6705
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",1961,2219,4180
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",1961,2219,4180
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""",25,23,48
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",20,42,62
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",36,62,98
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""",10,12,22
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",1641,1851,3492
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",1641,1851,3492
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",1877,1839,3716
"Hartford School District","=""0640011""","Milner School","=""0641911""",1877,1839,3716
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",1118,1139,2257
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",1118,1139,2257
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",514,419,933
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",3299,3339,6638
"Hartford School District","=""0640011""","New Visions Program","=""0642711""",13,38,51
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",3015,3280,6295
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",347,318,665
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",2658,2786,5444
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",1315,2333,3648
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""",668,718,1386
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",4401,2941,7342
"Hartford School District","=""0640011""","Rawson School","=""0641711""",2394,2906,5300
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",421,303,724
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",421,303,724
"Hartford School District","=""0640011""","SAND School","=""0640111""",2099,2157,4256
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",1494,2175,3669
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",453,744,1197
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""",1494,2175,3669
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",2438,2471,4909
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",165,225,390
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",2394,2906,5300
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",1679,1704,3383
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",3087,3312,6399
"Hartford School District","=""0640011""","Twain School","=""0641811""",113,169,282
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",1374,2568,3942
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",1374,2568,3942
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",1269,1350,2619
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",3015,3280,6295
"Hartford School District","=""0640011""","West Middle School","=""0642111""",2810,2992,5802
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",1900,2004,3904
"Hartland School District","=""0650011""","Hartland School","=""0650111""",976,1166,2142
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",1902,2058,3960
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",2717,3078,5795
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",1868,1718,3586
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",1611,1692,3303
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",1127,1031,2158
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",3080,2551,5631
"Kent School District","=""0680011""","Kent Center School","=""0680111""",1236,1421,2657
"Kent School District","=""0680011""","LEAPSS","=""0680211""","*","*","*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",429,592,1021
