"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","N",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Y",32,32,100.0,32,"*","*","*","*",9,28.1,14,43.8,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","N",138,135,97.8,135,"*","*","*","*",15,11.1,81,60.0,"*","*","*","*"
"East Hampton School District","=""0420011""","Center School","=""0420311""","Y",31,28,90.3,28,"*","*","*","*",6,21.4,15,53.6,0,0.0,15,53.6
"East Hampton School District","=""0420011""","Center School","=""0420311""","N",103,102,99.0,102,0,0.0,"*","*","*","*",48,47.1,32,31.4,80,78.4
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Y",25,25,100.0,25,"*","*","*","*",11,44.0,"*","*","*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","N",82,81,98.8,81,"*","*","*","*",19,23.5,"*","*","*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Y",31,30,96.8,30,"*","*","*","*","*","*",13,43.3,"*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","N",117,116,99.1,116,0,0.0,"*","*","*","*",59,50.9,"*","*","*","*"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Y",35,35,100.0,35,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Y",20,20,100.0,20,0,0.0,0,0.0,10,50.0,"*","*","*","*",10,50.0
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","N",31,31,100.0,31,0,0.0,"*","*",8,25.8,14,45.2,"*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Y",40,40,100.0,40,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Y",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Y",53,53,100.0,53,"*","*","*","*",22,41.5,16,30.2,0,0.0,16,30.2
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","N",39,39,100.0,39,"*","*","*","*",13,33.3,19,48.7,"*","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Y",269,254,94.4,253,57,22.5,65,25.7,86,34.0,27,10.7,18,7.1,45,17.8
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","N",103,100,97.1,100,6,6.0,20,20.0,41,41.0,19,19.0,14,14.0,33,33.0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Y",351,347,98.9,347,143,41.2,54,15.6,61,17.6,74,21.3,15,4.3,89,25.6
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","N",125,124,99.2,124,17,13.7,19,15.3,23,18.5,49,39.5,16,12.9,65,52.4
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Y",29,29,100.0,29,"*","*","*","*","*","*",14,48.3,"*","*","*","*"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","N",34,34,100.0,34,0,0.0,"*","*","*","*",17,50.0,"*","*","*","*"
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Y",28,28,100.0,28,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Y",29,29,100.0,29,"*","*","*","*",8,27.6,"*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","N",21,21,100.0,21,0,0.0,"*","*",7,33.3,"*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Y",48,48,100.0,48,"*","*","*","*",11,22.9,6,12.5,"*","*","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","N",27,27,100.0,27,"*","*","*","*",11,40.7,12,44.4,0,0.0,12,44.4
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Y",51,39,76.5,36,27,75.0,7,19.4,"*","*","*","*",0,0.0,"*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Y",37,37,100.0,37,"*","*","*","*",11,29.7,15,40.5,0,0.0,15,40.5
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","N",47,47,100.0,47,0,0.0,"*","*",10,21.3,26,55.3,"*","*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Y",33,33,100.0,33,"*","*","*","*",8,24.2,12,36.4,"*","*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","N",31,31,100.0,31,"*","*","*","*",7,22.6,16,51.6,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Y",110,107,97.3,107,"*","*",23,21.5,55,51.4,16,15.0,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","N",112,111,99.1,111,"*","*",15,13.5,49,44.1,32,28.8,"*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Y",35,35,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Y",136,133,97.8,133,42,31.6,"*","*",32,24.1,33,24.8,"*","*","*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","N",66,66,100.0,66,"*","*",13,19.7,12,18.2,30,45.5,"*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Y",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Y",63,60,95.2,60,0,0.0,"*","*",23,38.3,16,26.7,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","N",214,214,100.0,214,0,0.0,"*","*","*","*",59,27.6,108,50.5,167,78.0
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Y",99,96,97.0,96,"*","*","*","*",22,22.9,40,41.7,13,13.5,53,55.2
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","N",322,321,99.7,321,0,0.0,"*","*","*","*",175,54.5,104,32.4,279,86.9
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Y",41,40,97.6,40,6,15.0,"*","*",18,45.0,"*","*",8,20.0,"*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","N",48,48,100.0,48,0,0.0,"*","*",15,31.3,"*","*",11,22.9,"*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Y",79,78,98.7,78,"*","*","*","*",25,32.1,31,39.7,13,16.7,44,56.4
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","N",75,75,100.0,75,"*","*",0,0.0,"*","*",38,50.7,26,34.7,64,85.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","Y",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Y",30,26,86.7,25,"*","*","*","*",8,32.0,"*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","N",24,21,87.5,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","N",22,22,100.0,22,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","N",94,91,96.8,91,"*","*",0,0.0,"*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","N",106,105,99.1,105,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Y",34,33,97.1,33,"*","*","*","*",17,51.5,7,21.2,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","N",145,145,100.0,145,0,0.0,"*","*",31,21.4,53,36.6,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Y",36,36,100.0,36,"*","*",6,16.7,8,22.2,13,36.1,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","N",176,176,100.0,176,"*","*",6,3.4,20,11.4,102,58.0,"*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Y",44,44,100.0,44,6,13.6,"*","*",14,31.8,19,43.2,"*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","N",173,173,100.0,173,0,0.0,"*","*",10,5.8,85,49.1,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Y",126,126,100.0,125,35,28.0,"*","*",34,27.2,22,17.6,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","N",35,35,100.0,34,6,17.6,"*","*",12,35.3,10,29.4,"*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Y",55,55,100.0,55,"*","*",7,12.7,24,43.6,17,30.9,"*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","N",58,58,100.0,58,0,0.0,"*","*",16,27.6,30,51.7,"*","*","*","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Y",67,67,100.0,67,6,9.0,"*","*",15,22.4,25,37.3,9,13.4,34,50.7
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","N",71,71,100.0,71,0,0.0,"*","*",8,11.3,44,62.0,18,25.4,62,87.3
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Y",75,71,94.7,71,"*","*",9,12.7,41,57.7,12,16.9,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","N",102,102,100.0,102,"*","*",8,7.8,36,35.3,33,32.4,"*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Y",57,57,100.0,57,"*","*","*","*",24,42.1,10,17.5,9,15.8,19,33.3
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","N",135,135,100.0,135,0,0.0,"*","*",42,31.1,53,39.3,"*","*","*","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Y",149,147,98.7,147,"*","*",27,18.4,26,17.7,63,42.9,10,6.8,73,49.7
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","N",203,203,100.0,203,"*","*",15,7.4,30,14.8,107,52.7,48,23.6,155,76.4
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Y",65,65,100.0,65,"*","*","*","*",19,29.2,26,40.0,"*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","N",76,76,100.0,76,"*","*","*","*",12,15.8,36,47.4,"*","*","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","N",47,47,100.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","N",60,58,96.7,58,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Y",69,68,98.6,68,6,8.8,"*","*",34,50.0,14,20.6,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","N",318,311,97.8,311,0,0.0,"*","*",63,20.3,102,32.8,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Y",84,83,98.8,83,"*","*","*","*",27,32.5,19,22.9,14,16.9,33,39.8
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","N",289,285,98.6,285,0,0.0,"*","*","*","*",91,31.9,142,49.8,233,81.8
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Y",60,60,100.0,60,"*","*","*","*",14,23.3,21,35.0,8,13.3,29,48.3
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","N",234,231,98.7,231,"*","*","*","*",16,6.9,145,62.8,66,28.6,211,91.3
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","N",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","N",42,42,100.0,42,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Y",35,35,100.0,35,"*","*","*","*",11,31.4,10,28.6,"*","*","*","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","N",38,38,100.0,38,0,0.0,"*","*",9,23.7,16,42.1,"*","*","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","N",51,51,100.0,51,"*","*",0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","N",72,71,98.6,71,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","N",82,82,100.0,82,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","N",57,57,100.0,57,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Y",43,43,100.0,43,"*","*","*","*",13,30.2,19,44.2,"*","*","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","N",229,228,99.6,228,0,0.0,"*","*",12,5.3,118,51.8,"*","*","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","N",57,57,100.0,57,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","N",79,79,100.0,79,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Y",63,60,95.2,60,"*","*","*","*",10,16.7,25,41.7,6,10.0,31,51.7
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","N",162,161,99.4,161,"*","*","*","*",11,6.8,98,60.9,47,29.2,145,90.1
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Y",59,56,94.9,56,"*","*","*","*",22,39.3,10,17.9,14,25.0,24,42.9
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","N",232,231,99.6,231,0,0.0,"*","*","*","*",68,29.4,131,56.7,199,86.1
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Y",59,58,98.3,58,"*","*","*","*",18,31.0,25,43.1,6,10.3,31,53.4
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","N",233,231,99.1,231,"*","*","*","*",17,7.4,130,56.3,79,34.2,209,90.5
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Y",69,69,100.0,69,"*","*","*","*",16,23.2,31,44.9,9,13.0,40,58.0
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","N",242,240,99.2,240,0,0.0,"*","*","*","*",89,37.1,143,59.6,232,96.7
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Y",20,20,100.0,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","N",63,63,100.0,63,0,0.0,"*","*","*","*",27,42.9,"*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","N",34,34,100.0,34,0,0.0,0,0.0,0,0.0,"*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Y",75,75,100.0,75,"*","*",13,17.3,35,46.7,12,16.0,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","N",403,400,99.3,400,"*","*","*","*",65,16.3,93,23.3,232,58.0,325,81.3
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","N",72,72,100.0,72,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","N",69,69,100.0,69,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Y",29,29,100.0,29,"*","*","*","*","*","*",16,55.2,"*","*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","N",39,39,100.0,39,0,0.0,"*","*","*","*",16,41.0,"*","*","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","N",81,80,98.8,80,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Y",81,81,100.0,81,"*","*","*","*",13,16.0,27,33.3,12,14.8,39,48.1
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","N",434,434,100.0,433,"*","*","*","*",22,5.1,214,49.4,194,44.8,408,94.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Y",25,25,100.0,25,"*","*","*","*",7,28.0,"*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","N",143,141,98.6,141,0,0.0,"*","*",14,9.9,"*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Y",31,30,96.8,30,"*","*","*","*","*","*",19,63.3,"*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","N",126,125,99.2,125,"*","*","*","*","*","*",74,59.2,"*","*","*","*"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","N",46,46,100.0,46,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","N",48,48,100.0,48,0,0.0,"*","*",0,0.0,"*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Y",35,35,100.0,35,6,17.1,"*","*",7,20.0,15,42.9,"*","*","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","N",151,151,100.0,151,0,0.0,"*","*",15,9.9,92,60.9,"*","*","*","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","N",56,56,100.0,56,"*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Y",37,37,100.0,37,"*","*","*","*",6,16.2,19,51.4,"*","*","*","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","N",223,223,100.0,223,"*","*",0,0.0,7,3.1,116,52.0,"*","*","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","N",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Y",154,153,99.4,152,16,10.5,16,10.5,60,39.5,39,25.7,21,13.8,60,39.5
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","N",446,444,99.6,444,0,0.0,6,1.4,61,13.7,98,22.1,279,62.8,377,84.9
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Y",35,35,100.0,35,"*","*","*","*",7,20.0,12,34.3,"*","*","*","*"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","N",20,20,100.0,20,"*","*","*","*",6,30.0,6,30.0,"*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","N",53,53,100.0,53,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Y",28,27,96.4,27,"*","*","*","*","*","*",13,48.1,"*","*","*","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","N",27,27,100.0,27,0,0.0,"*","*","*","*",11,40.7,"*","*","*","*"
