"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Special Education Status (SW"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Old Saybrook School District","=""1060011""","Y",42,40,95.2,40,11,27.5,"*","*",12,30.0,8,20.0,"*","*","*","*"
"Orange School District","=""1070011""","N",158,157,99.4,157,"*","*","*","*",11,7.0,81,51.6,62,39.5,143,91.1
"Orange School District","=""1070011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",422,422,100.0,421,7,1.7,13,3.1,78,18.5,179,42.5,144,34.2,323,76.7
"Oxford School District","=""1080011""","Y",60,59,98.3,58,10,17.2,14,24.1,17,29.3,11,19.0,6,10.3,17,29.3
"Park City Prep Charter School District","=""2830013""","N",167,166,99.4,166,27,16.3,31,18.7,41,24.7,56,33.7,11,6.6,67,40.4
"Park City Prep Charter School District","=""2830013""","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",38,16,42.1,13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",446,442,99.1,442,29,6.6,59,13.3,128,29.0,179,40.5,47,10.6,226,51.1
"Plainfield School District","=""1090011""","Y",72,67,93.1,66,31,47.0,14,21.2,14,21.2,"*","*","*","*",7,10.6
"Plainville School District","=""1100011""","N",441,435,98.6,435,14,3.2,29,6.7,82,18.9,206,47.4,104,23.9,310,71.3
"Plainville School District","=""1100011""","Y",68,66,97.1,66,29,43.9,16,24.2,13,19.7,8,12.1,0,0.0,8,12.1
"Plymouth School District","=""1110011""","N",295,292,99.0,292,14,4.8,35,12.0,69,23.6,130,44.5,44,15.1,174,59.6
"Plymouth School District","=""1110011""","Y",50,47,94.0,47,20,42.6,10,21.3,13,27.7,"*","*","*","*","*","*"
"Pomfret School District","=""1120011""","N",93,93,100.0,93,0,0.0,"*","*","*","*",54,58.1,26,28.0,80,86.0
"Pomfret School District","=""1120011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","N",284,283,99.6,283,8,2.8,9,3.2,49,17.3,137,48.4,80,28.3,217,76.7
"Portland School District","=""1130011""","Y",31,31,100.0,31,"*","*","*","*",11,35.5,9,29.0,0,0.0,9,29.0
"Preston School District","=""1140011""","N",80,79,98.8,79,"*","*","*","*",11,13.9,41,51.9,22,27.8,63,79.7
"Preston School District","=""1140011""","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","N",216,212,98.1,211,27,12.8,25,11.8,64,30.3,77,36.5,18,8.5,95,45.0
"Putnam School District","=""1160011""","Y",42,39,92.9,39,22,56.4,9,23.1,"*","*","*","*",0,0.0,"*","*"
"Redding School District","=""1170011""","N",195,191,97.9,191,"*","*","*","*",11,5.8,104,54.5,73,38.2,177,92.7
"Redding School District","=""1170011""","Y",23,22,95.7,22,"*","*",7,31.8,"*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",75,73,97.3,73,"*","*","*","*",32,43.8,19,26.0,13,17.8,32,43.8
"Regional School District 01","=""2010012""","Y",20,20,100.0,20,"*","*",7,35.0,7,35.0,"*","*",0,0.0,"*","*"
"Regional School District 04","=""2040012""","N",280,279,99.6,279,"*","*","*","*",41,14.7,106,38.0,124,44.4,230,82.4
"Regional School District 04","=""2040012""","Y",37,37,100.0,37,6,16.2,"*","*",18,48.6,7,18.9,"*","*","*","*"
"Regional School District 05","=""2050012""","N",665,661,99.4,660,8,1.2,10,1.5,83,12.6,266,40.3,293,44.4,559,84.7
"Regional School District 05","=""2050012""","Y",76,75,98.7,75,15,20.0,15,20.0,31,41.3,"*","*","*","*",14,18.7
"Regional School District 06","=""2060012""","N",208,205,98.6,205,"*","*","*","*",44,21.5,93,45.4,54,26.3,147,71.7
"Regional School District 06","=""2060012""","Y",48,47,97.9,47,11,23.4,14,29.8,14,29.8,"*","*","*","*",8,17.0
"Regional School District 07","=""2070012""","N",288,288,100.0,288,0,0.0,7,2.4,45,15.6,107,37.2,129,44.8,236,81.9
"Regional School District 07","=""2070012""","Y",34,34,100.0,33,"*","*",6,18.2,8,24.2,9,27.3,"*","*","*","*"
"Regional School District 08","=""2080012""","N",501,497,99.2,497,"*","*","*","*",102,20.5,230,46.3,150,30.2,380,76.5
"Regional School District 08","=""2080012""","Y",56,55,98.2,55,14,25.5,"*","*",15,27.3,13,23.6,"*","*","*","*"
"Regional School District 09","=""2090012""","N",221,218,98.6,216,0,0.0,"*","*","*","*",51,23.6,121,56.0,172,79.6
"Regional School District 09","=""2090012""","Y",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N",506,503,99.4,503,"*","*","*","*",89,17.7,247,49.1,148,29.4,395,78.5
"Regional School District 10","=""2100012""","Y",55,53,96.4,52,14,26.9,15,28.8,12,23.1,"*","*","*","*",11,21.2
"Regional School District 11","=""2110012""","N",58,58,100.0,58,"*","*","*","*",9,15.5,29,50.0,12,20.7,41,70.7
"Regional School District 11","=""2110012""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","N",132,132,100.0,132,"*","*","*","*",9,6.8,64,48.5,54,40.9,118,89.4
"Regional School District 12","=""2120012""","Y",30,30,100.0,30,"*","*",8,26.7,10,33.3,6,20.0,"*","*","*","*"
"Regional School District 13","=""2130012""","N",360,356,98.9,356,"*","*","*","*",43,12.1,161,45.2,141,39.6,302,84.8
"Regional School District 13","=""2130012""","Y",61,60,98.4,60,"*","*",10,16.7,18,30.0,19,31.7,"*","*","*","*"
"Regional School District 14","=""2140012""","N",367,367,100.0,367,"*","*","*","*",79,21.5,159,43.3,117,31.9,276,75.2
"Regional School District 14","=""2140012""","Y",61,59,96.7,59,"*","*",13,22.0,17,28.8,17,28.8,"*","*","*","*"
"Regional School District 15","=""2150012""","N",815,809,99.3,809,"*","*","*","*",93,11.5,393,48.6,317,39.2,710,87.8
"Regional School District 15","=""2150012""","Y",109,106,97.2,106,18,17.0,19,17.9,27,25.5,31,29.2,11,10.4,42,39.6
"Regional School District 16","=""2160012""","N",461,456,98.9,456,"*","*","*","*",114,25.0,203,44.5,109,23.9,312,68.4
"Regional School District 16","=""2160012""","Y",72,71,98.6,71,25,35.2,15,21.1,15,21.1,"*","*","*","*",16,22.5
"Regional School District 17","=""2170012""","N",451,447,99.1,447,"*","*","*","*",53,11.9,189,42.3,196,43.8,385,86.1
"Regional School District 17","=""2170012""","Y",91,87,95.6,87,12,13.8,14,16.1,30,34.5,23,26.4,8,9.2,31,35.6
"Regional School District 18","=""2180012""","N",317,317,100.0,316,"*","*","*","*",44,13.9,133,42.1,128,40.5,261,82.6
"Regional School District 18","=""2180012""","Y",31,31,100.0,31,"*","*",10,32.3,8,25.8,9,29.0,"*","*","*","*"
"Regional School District 19","=""2190012""","N",261,260,99.6,260,6,2.3,14,5.4,76,29.2,62,23.8,102,39.2,164,63.1
"Regional School District 19","=""2190012""","Y",37,34,91.9,34,7,20.6,9,26.5,11,32.4,"*","*","*","*",7,20.6
"Ridgefield School District","=""1180011""","N",1145,1130,98.7,1130,"*","*","*","*",102,9.0,453,40.1,561,49.6,1014,89.7
"Ridgefield School District","=""1180011""","Y",109,99,90.8,99,"*","*",20,20.2,33,33.3,31,31.3,"*","*","*","*"
"Rocky Hill School District","=""1190011""","N",507,505,99.6,505,8,1.6,17,3.4,92,18.2,192,38.0,196,38.8,388,76.8
"Rocky Hill School District","=""1190011""","Y",55,53,96.4,53,17,32.1,9,17.0,16,30.2,"*","*","*","*",11,20.8
"Salem School District","=""1210011""","N",72,72,100.0,72,0,0.0,"*","*","*","*",39,54.2,26,36.1,65,90.3
"Salem School District","=""1210011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Salisbury School District","=""1220011""","N",48,48,100.0,48,"*","*","*","*","*","*",27,56.3,16,33.3,43,89.6
"Salisbury School District","=""1220011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","N",445,443,99.6,443,16,3.6,29,6.5,117,26.4,200,45.1,81,18.3,281,63.4
"Seymour School District","=""1240011""","Y",73,71,97.3,71,27,38.0,26,36.6,"*","*","*","*",0,0.0,"*","*"
"Sharon School District","=""1250011""","N",31,30,96.8,30,0,0.0,"*","*",10,33.3,12,40.0,"*","*","*","*"
"Sharon School District","=""1250011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""","N",1017,1007,99.0,1007,12,1.2,54,5.4,186,18.5,453,45.0,302,30.0,755,75.0
"Shelton School District","=""1260011""","Y",158,154,97.5,153,47,30.7,39,25.5,32,20.9,"*","*","*","*",35,22.9
"Sherman School District","=""1270011""","N",60,59,98.3,59,0,0.0,"*","*","*","*",37,62.7,15,25.4,52,88.1
"Sherman School District","=""1270011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Side By Side Charter School District","=""2700013""","N",39,39,100.0,39,"*","*","*","*",15,38.5,17,43.6,"*","*","*","*"
"Side By Side Charter School District","=""2700013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""","N",868,864,99.5,864,"*","*","*","*",59,6.8,334,38.7,453,52.4,787,91.1
"Simsbury School District","=""1280011""","Y",114,110,96.5,109,23,21.1,11,10.1,29,26.6,34,31.2,12,11.0,46,42.2
"Somers School District","=""1290011""","N",303,300,99.0,300,"*","*","*","*",50,16.7,114,38.0,120,40.0,234,78.0
"Somers School District","=""1290011""","Y",37,36,97.3,36,"*","*","*","*",17,47.2,8,22.2,"*","*","*","*"
"South Windsor School District","=""1320011""","N",875,867,99.1,867,"*","*","*","*",88,10.1,365,42.1,392,45.2,757,87.3
"South Windsor School District","=""1320011""","Y",122,119,97.5,119,19,16.0,26,21.8,43,36.1,25,21.0,6,5.0,31,26.1
"Southington School District","=""1310011""","N",1453,1440,99.1,1439,17,1.2,50,3.5,248,17.2,695,48.3,429,29.8,1124,78.1
"Southington School District","=""1310011""","Y",199,193,97.0,193,50,25.9,54,28.0,39,20.2,42,21.8,8,4.1,50,25.9
"Sprague School District","=""1330011""","N",70,70,100.0,70,"*","*","*","*",11,15.7,36,51.4,20,28.6,56,80.0
"Sprague School District","=""1330011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""","N",281,278,98.9,278,"*","*","*","*",65,23.4,126,45.3,74,26.6,200,71.9
"Stafford School District","=""1340011""","Y",41,39,95.1,39,10,25.6,9,23.1,"*","*",13,33.3,"*","*","*","*"
"Stamford Academy District","=""2820013""","N",37,32,86.5,32,"*","*","*","*","*","*",0,0.0,0,0.0,0,0.0
"Stamford Academy District","=""2820013""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","N",2988,2951,98.8,2947,350,11.9,341,11.6,726,24.6,1033,35.1,497,16.9,1530,51.9
"Stamford School District","=""1350011""","Y",397,379,95.5,379,206,54.4,86,22.7,58,15.3,"*","*","*","*",29,7.7
"Sterling School District","=""1360011""","N",89,88,98.9,88,7,8.0,7,8.0,24,27.3,42,47.7,8,9.1,50,56.8
"Sterling School District","=""1360011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","N",437,435,99.5,435,"*","*","*","*",79,18.2,186,42.8,155,35.6,341,78.4
"Stonington School District","=""1370011""","Y",77,74,96.1,74,"*","*",17,23.0,20,27.0,21,28.4,"*","*","*","*"
"Stratford School District","=""1380011""","N",1405,1385,98.6,1384,91,6.6,176,12.7,377,27.2,549,39.7,191,13.8,740,53.5
"Stratford School District","=""1380011""","Y",174,167,96.0,165,78,47.3,41,24.8,35,21.2,"*","*","*","*",11,6.7
"Suffield School District","=""1390011""","N",476,472,99.2,472,7,1.5,20,4.2,78,16.5,204,43.2,163,34.5,367,77.8
"Suffield School District","=""1390011""","Y",56,51,91.1,51,13,25.5,11,21.6,20,39.2,"*","*","*","*",7,13.7
"The Bridge Academy District","=""2690013""","N",80,80,100.0,80,21,26.3,24,30.0,23,28.8,12,15.0,0,0.0,12,15.0
"The Bridge Academy District","=""2690013""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","N",142,141,99.3,141,14,9.9,20,14.2,38,27.0,49,34.8,20,14.2,69,48.9
"The Gilbert School District","=""9020022""","Y",28,28,100.0,28,11,39.3,"*","*",8,28.6,"*","*",0,0.0,"*","*"
"Thomaston School District","=""1400011""","N",173,173,100.0,173,"*","*","*","*",37,21.4,86,49.7,36,20.8,122,70.5
"Thomaston School District","=""1400011""","Y",28,28,100.0,28,"*","*",8,28.6,9,32.1,"*","*",0,0.0,"*","*"
"Thompson School District","=""1410011""","N",214,211,98.6,211,13,6.2,22,10.4,68,32.2,85,40.3,23,10.9,108,51.2
"Thompson School District","=""1410011""","Y",24,23,95.8,23,13,56.5,"*","*","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""","N",569,569,100.0,569,"*","*","*","*",66,11.6,288,50.6,202,35.5,490,86.1
"Tolland School District","=""1420011""","Y",66,66,100.0,66,15,22.7,"*","*",19,28.8,17,25.8,"*","*","*","*"
"Torrington School District","=""1430011""","N",772,754,97.7,754,42,5.6,70,9.3,180,23.9,354,46.9,108,14.3,462,61.3
"Torrington School District","=""1430011""","Y",188,165,87.8,164,55,33.5,49,29.9,33,20.1,"*","*","*","*",27,16.5
"Trailblazers Academy District","=""2780013""","N",33,28,84.8,28,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Trailblazers Academy District","=""2780013""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","N",1368,1359,99.3,1359,8,0.6,22,1.6,180,13.2,499,36.7,650,47.8,1149,84.5
"Trumbull School District","=""1440011""","Y",151,146,96.7,146,27,18.5,28,19.2,37,25.3,44,30.1,10,6.8,54,37.0
"Unified School District #2","=""3470015""","N",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Y",48,44,91.7,43,26,60.5,8,18.6,9,20.9,0,0.0,0,0.0,0,0.0
"Union School District","=""1450011""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","N",548,547,99.8,547,30,5.5,82,15.0,144,26.3,224,41.0,67,12.2,291,53.2
"Vernon School District","=""1460011""","Y",94,90,95.7,89,44,49.4,21,23.6,15,16.9,"*","*","*","*",9,10.1
"Voluntown School District","=""1470011""","N",48,48,100.0,48,0,0.0,"*","*","*","*",38,79.2,"*","*","*","*"
"Voluntown School District","=""1470011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","N",1247,1238,99.3,1238,20,1.6,65,5.3,292,23.6,560,45.2,301,24.3,861,69.5
"Wallingford School District","=""1480011""","Y",149,145,97.3,145,41,28.3,32,22.1,39,26.9,"*","*","*","*",33,22.8
"Waterbury School District","=""1510011""","N",3274,3236,98.8,3223,759,23.5,678,21.0,889,27.6,752,23.3,145,4.5,897,27.8
"Waterbury School District","=""1510011""","Y",732,707,96.6,704,504,71.6,122,17.3,56,8.0,"*","*","*","*",22,3.1
"Waterford School District","=""1520011""","N",537,533,99.3,533,8,1.5,14,2.6,113,21.2,265,49.7,133,25.0,398,74.7
"Waterford School District","=""1520011""","Y",107,103,96.3,103,31,30.1,23,22.3,31,30.1,"*","*","*","*",18,17.5
"Watertown School District","=""1530011""","N",561,552,98.4,552,14,2.5,30,5.4,129,23.4,271,49.1,108,19.6,379,68.7
"Watertown School District","=""1530011""","Y",83,83,100.0,83,21,25.3,20,24.1,30,36.1,"*","*","*","*",12,14.5
"West Hartford School District","=""1550011""","N",1929,1920,99.5,1920,29,1.5,70,3.6,261,13.6,776,40.4,784,40.8,1560,81.3
"West Hartford School District","=""1550011""","Y",237,226,95.4,226,65,28.8,48,21.2,58,25.7,40,17.7,15,6.6,55,24.3
"West Haven School District","=""1560011""","N",1133,1117,98.6,1117,102,9.1,139,12.4,316,28.3,396,35.5,164,14.7,560,50.1
"West Haven School District","=""1560011""","Y",175,169,96.6,167,83,49.7,36,21.6,36,21.6,"*","*","*","*",12,7.2
"Westbrook School District","=""1540011""","N",175,175,100.0,175,"*","*","*","*",43,24.6,69,39.4,55,31.4,124,70.9
"Westbrook School District","=""1540011""","Y",30,29,96.7,28,"*","*",6,21.4,11,39.3,7,25.0,"*","*","*","*"
"Weston School District","=""1570011""","N",538,534,99.3,534,"*","*","*","*",66,12.4,230,43.1,228,42.7,458,85.8
"Weston School District","=""1570011""","Y",35,30,85.7,30,"*","*","*","*",13,43.3,6,20.0,"*","*","*","*"
"Westport School District","=""1580011""","N",1232,1223,99.3,1223,"*","*","*","*",125,10.2,524,42.8,560,45.8,1084,88.6
"Westport School District","=""1580011""","Y",153,146,95.4,146,10,6.8,23,15.8,63,43.2,41,28.1,9,6.2,50,34.2
"Wethersfield School District","=""1590011""","N",741,734,99.1,734,14,1.9,32,4.4,165,22.5,320,43.6,203,27.7,523,71.3
"Wethersfield School District","=""1590011""","Y",109,102,93.6,102,32,31.4,24,23.5,31,30.4,"*","*","*","*",15,14.7
"Willington School District","=""1600011""","N",64,64,100.0,64,"*","*","*","*",14,21.9,39,60.9,9,14.1,48,75.0
"Willington School District","=""1600011""","Y",22,21,95.5,21,6,28.6,"*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""","N",865,848,98.0,847,0,0.0,"*","*","*","*",383,45.2,377,44.5,760,89.7
"Wilton School District","=""1610011""","Y",160,155,96.9,153,11,7.2,20,13.1,48,31.4,47,30.7,27,17.6,74,48.4
"Winchester School District","=""1620011""","N",67,67,100.0,67,"*","*",11,16.4,13,19.4,35,52.2,"*","*","*","*"
"Winchester School District","=""1620011""","Y",30,29,96.7,29,"*","*",9,31.0,"*","*","*","*",0,0.0,"*","*"
"Windham School District","=""1630011""","N",526,515,97.9,515,120,23.3,105,20.4,109,21.2,145,28.2,36,7.0,181,35.1
"Windham School District","=""1630011""","Y",113,110,97.3,110,75,68.2,16,14.5,"*","*","*","*",0,0.0,"*","*"
"Windsor Locks School District","=""1650011""","N",304,300,98.7,300,9,3.0,30,10.0,105,35.0,109,36.3,47,15.7,156,52.0
"Windsor Locks School District","=""1650011""","Y",51,48,94.1,48,22,45.8,14,29.2,"*","*","*","*",0,0.0,"*","*"
"Windsor School District","=""1640011""","N",637,625,98.1,625,29,4.6,72,11.5,165,26.4,235,37.6,124,19.8,359,57.4
"Windsor School District","=""1640011""","Y",146,141,96.6,141,61,43.3,45,31.9,25,17.7,"*","*","*","*",10,7.1
"Wolcott School District","=""1660011""","N",536,535,99.8,535,"*","*","*","*",105,19.6,244,45.6,163,30.5,407,76.1
"Wolcott School District","=""1660011""","Y",65,65,100.0,65,21,32.3,11,16.9,20,30.8,"*","*","*","*",13,20.0
"Woodbridge School District","=""1670011""","N",89,89,100.0,89,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Woodbridge School District","=""1670011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","N",230,229,99.6,229,"*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock School District","=""1690011""","N",186,186,100.0,186,"*","*","*","*",12,6.5,109,58.6,61,32.8,170,91.4
"Woodstock School District","=""1690011""","Y",27,25,92.6,25,"*","*","*","*",6,24.0,8,32.0,"*","*","*","*"

