"FTE Staffing Report for Trend"

"",,,"Year",,,,
,="General Education - Teachers and Instructors",="Certified",123.4,122.4,121.6,121.4,120.2
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",96.3,85.0,79.4,80.2,71.4
,="School Nurses",="Non-Certified",5.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.4,52.3,51.2,49.2,48.4
,="Special Education - Teachers and Instructors",="Certified",23.0,24.0,23.0,23.6,23.8
,="Instructional Specialists Who Support Teachers",="Certified",5.0,5.0,5.0,6.0,4.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,2.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,3.0
="East Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",32.0,35.4,34.9,34.4,26.5
,="Counselors  Social Workers  and School Psychologists",="Certified",36.6,39.6,34.0,35.0,43.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",92.0,92.0,82.0,84.0,85.0
,="General Education - Teachers and Instructors",="Certified",467.7,468.7,452.6,452.5,443.1
,="Library/Media - Support Staff",="Non-Certified",12.0,12.0,12.0,11.0,11.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",369.5,367.0,415.0,419.0,400.0
,="School Nurses",="Non-Certified",17.2,18.2,18.2,19.2,19.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",92.0,88.0,85.0,85.0,87.0
,="Special Education - Teachers and Instructors",="Certified",75.0,77.0,75.5,75.6,80.0
,="Instructional Specialists Who Support Teachers",="Certified",32.8,32.2,31.8,41.4,49.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0,8.0,7.5,9.0,19.3
,="Library/Media - Specialists (Certified)",="Certified",4.4,4.4,4.4,4.4,4.0
="East Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.4,18.0,16.0,16.0,16.0
,="Counselors  Social Workers  and School Psychologists",="Certified",18.4,19.4,20.4,21.4,21.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.9,24.5,15.0,21.8,19.0
,="General Education - Teachers and Instructors",="Certified",206.4,212.4,203.4,195.8,201.0
,="Library/Media - Support Staff",="Non-Certified",5.0,4.5,3.5,4.0,4.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",123.9,122.9,112.6,140.6,135.3
,="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",52.8,22.5,30.5,35.0,78.8
,="Special Education - Teachers and Instructors",="Certified",29.0,30.0,29.0,31.0,34.0
,="Instructional Specialists Who Support Teachers",="Certified",9.6,9.6,11.6,14.8,15.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,3.0,3.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,3.0,3.0
="East Lyme School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,9.7,9.7,9.5,9.5
,="Counselors  Social Workers  and School Psychologists",="Certified",15.0,15.5,14.5,15.5,15.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",40.4,12.2,6.1,8.0,8.0
,="General Education - Teachers and Instructors",="Certified",206.3,193.7,197.2,200.8,208.2
,="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.4,4.2,4.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",144.2,139.7,144.2,141.7,146.6
,="School Nurses",="Non-Certified",6.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",94.9,95.0,95.0,103.9,104.9
,="Special Education - Teachers and Instructors",="Certified",35.7,34.5,37.7,35.9,39.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0,4.0,3.0,3.0,4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,5.0,6.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",4.8,4.8,3.8,5.0,5.0
="East Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.1,7.1,6.1,5.1,6.0
,="Counselors  Social Workers  and School Psychologists",="Certified",7.0,7.0,8.0,8.0,10.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5,.,23.0,21.0,21.0
,="General Education - Teachers and Instructors",="Certified",85.1,86.9,93.9,87.9,90.0
,="Library/Media - Support Staff",="Non-Certified",2.0,.,2.0,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,.,32.0,34.0,39.0
,="School Nurses",="Non-Certified",4.9,.,5.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",24.5,.,32.0,35.0,37.0
,="Special Education - Teachers and Instructors",="Certified",11.0,12.0,14.5,17.0,17.0
,="Instructional Specialists Who Support Teachers",="Certified",4.4,4.4,6.4,6.0,5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,4.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",1.8,2.8,2.8,2.0,2.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,5.0,5.0,6.0,9.8
,="Counselors  Social Workers  and School Psychologists",="Certified",6.6,7.9,9.5,12.9,14.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0,48.0,46.5,50.8,52.5
,="General Education - Teachers and Instructors",="Certified",21.3,25.8,27.2,28.3,28.1
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",126.0,137.2,141.7,144.6,131.0
,="School Nurses",="Non-Certified",0.4,0.5,0.5,0.5,0.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,5.0
,="Special Education - Teachers and Instructors",="Certified",20.0,19.0,21.4,22.1,20.0
,="Instructional Specialists Who Support Teachers",="Certified",2.3,2.4,3.3,4.5,3.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.2,5.6,6.6,5.0
,="Library/Media - Specialists (Certified)",="Certified",.,.,.,1.0,1.0
="Eastford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8,0.8,0.8,0.8,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.5,0.5,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",2.5,2.9,2.9,2.9,2.9
,="General Education - Teachers and Instructors",="Certified",13.9,13.3,13.4,13.0,13.3
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,9.7,9.7,9.7,9.7
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.7,3.8,6.0,5.1
,="Special Education - Teachers and Instructors",="Certified",2.7,2.6,2.6,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.6,0.6,0.5,0.4,0.5
,="Library/Media - Specialists (Certified)",="Certified",0.4,0.4,.,.,0.2
="Easton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,5.0,5.0,5.4,4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.5,3.5,3.7,4.8,6.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2,14.4,9.7,9.6,10.2
,="General Education - Teachers and Instructors",="Certified",65.7,66.8,65.4,61.8,65.8
,="Library/Media - Support Staff",="Non-Certified",2.2,5.3,1.7,2.2,2.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.2,67.4,26.6,46.0,34.5
,="School Nurses",="Non-Certified",2.0,4.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",27.0,50.0,20.4,20.0,22.0
,="Special Education - Teachers and Instructors",="Certified",11.3,11.3,10.3,11.3,13.0
,="Instructional Specialists Who Support Teachers",="Certified",6.6,6.2,5.6,6.2,6.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,1.0,2.0,2.0
="EdAdvance",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,1.0,1.4
,="Counselors  Social Workers  and School Psychologists",="Certified",2.5,3.0,2.5,2.0,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",31.1,30.0,32.0,31.0,27.8
,="General Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,5.0,4.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",177.9,180.2,174.3,184.1,202.5
,="School Nurses",="Non-Certified",1.4,0.4,0.4,0.0,0.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",4.8,3.8,5.5,4.3,7.5
,="Instructional Specialists Who Support Teachers",="Certified",0.3,.,.,.,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",2.0,3.0,2.0,2.0,1.6
="Ellington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.4,8.4,8.4,9.6
,="Counselors  Social Workers  and School Psychologists",="Certified",11.5,12.5,13.5,13.5,14.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.1,8.8,11.4,10.1,9.4
,="General Education - Teachers and Instructors",="Certified",153.3,155.8,158.0,159.4,165.5
,="Library/Media - Support Staff",="Non-Certified",3.8,3.8,3.8,4.7,4.7
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",104.3,107.1,109.6,107.6,105.9
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.5,57.2,57.4,61.4,62.1
,="Special Education - Teachers and Instructors",="Certified",22.6,25.0,25.0,22.6,24.7
,="Instructional Specialists Who Support Teachers",="Certified",10.3,10.5,10.3,9.5,12.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.4,5.0,5.0,7.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",3.6,3.6,3.6,3.6,3.6
="Elm City College Preparatory School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,6.0,6.5,8.0,9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,3.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,6.0,7.0,7.0
,="General Education - Teachers and Instructors",="Certified",38.0,42.5,40.0,33.0,38.0
,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.0,17.0,19.0,24.0,24.0
,="School Nurses",="Non-Certified",0.5,0.5,0.5,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,0.8,0.8,1.0
,="Instructional Specialists Who Support Teachers",="Certified",.,1.3,0.8,.,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",.,.,.,.,1.0
="Enfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.6,29.2,31.4,28.4,27.8
,="Counselors  Social Workers  and School Psychologists",="Certified",28.8,28.8,30.8,29.8,29.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,12.0,21.0,34.0,28.5
,="General Education - Teachers and Instructors",="Certified",392.9,376.1,373.0,371.5,356.7
,="Library/Media - Support Staff",="Non-Certified",7.5,7.0,10.5,12.0,12.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",167.8,158.5,171.0,184.2,186.2
,="School Nurses",="Non-Certified",18.0,16.0,17.0,17.5,15.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",89.5,94.5,86.0,80.0,71.0
,="Special Education - Teachers and Instructors",="Certified",52.8,52.8,53.8,53.8,53.2
,="Instructional Specialists Who Support Teachers",="Certified",10.6,12.1,12.1,12.6,15.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.3,5.0,5.0,8.0,8.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,2.0
="Essex School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.2,2.2,1.2,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,5.5,5.5,5.5
,="General Education - Teachers and Instructors",="Certified",38.3,40.4,36.3,34.1,33.6
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.5,0.5,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.6,11.3,11.3,11.3,11.1
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",19.2,23.1,24.0,23.4,22.7
,="Special Education - Teachers and Instructors",="Certified",8.0,8.5,10.0,10.0,9.0
,="Instructional Specialists Who Support Teachers",="Certified",3.5,3.9,3.5,5.1,5.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8,0.8,0.8,0.8,1.2
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Explorations District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.8,1.9,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.1,0.2,0.2,0.2,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",6.8,6.8,7.1,7.6,7.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.5,2.5,1.5,1.6,1.8
,="School Nurses",="Non-Certified",0.5,0.5,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.0,1.0,1.5,1.5
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,2.0,2.0
="Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",40.4,40.4,39.8,39.8,40.8
,="Counselors  Social Workers  and School Psychologists",="Certified",61.4,61.4,61.0,64.0,61.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",67.1,51.8,48.8,48.1,43.3
,="General Education - Teachers and Instructors",="Certified",691.5,681.3,692.3,689.8,686.9
,="Library/Media - Support Staff",="Non-Certified",15.0,13.0,14.0,14.0,15.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",455.6,443.7,443.0,431.0,424.6
,="School Nurses",="Non-Certified",19.2,19.2,19.7,19.7,20.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",139.8,140.1,123.2,133.2,143.8
,="Special Education - Teachers and Instructors",="Certified",89.5,89.5,103.0,103.0,103.0
,="Instructional Specialists Who Support Teachers",="Certified",51.7,74.6,71.3,71.4,69.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",13.5,14.0,14.0,14.0,14.0
,="Library/Media - Specialists (Certified)",="Certified",20.6,19.6,19.6,19.6,19.0
="Farmington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6,16.6,15.6,16.6,18.0
,="Counselors  Social Workers  and School Psychologists",="Certified",19.1,19.1,19.1,19.6,21.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.2,23.9,25.1,26.6,27.7
,="General Education - Teachers and Instructors",="Certified",264.8,267.0,272.3,278.2,272.3
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",172.0,172.6,175.5,184.6,187.5
,="School Nurses",="Non-Certified",6.7,6.7,6.7,6.7,7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",44.4,46.7,53.7,60.1,70.4
,="Special Education - Teachers and Instructors",="Certified",32.9,32.9,35.4,36.4,37.6
,="Instructional Specialists Who Support Teachers",="Certified",11.0,11.6,14.5,19.1,19.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,6.0,6.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",7.5,8.0,8.0,6.6,6.4
="Franklin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,.,1.0,1.0,0.6
,="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.6,0.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,.,5.0,.,4.5
,="General Education - Teachers and Instructors",="Certified",15.5,12.5,13.5,11.9,12.0
,="Library/Media - Support Staff",="Non-Certified",0.5,.,0.0,.,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,.,6.5,.,6.5
,="School Nurses",="Non-Certified",0.4,.,1.0,.,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,.,1.0,.,2.0
,="Special Education - Teachers and Instructors",="Certified",1.6,2.4,1.6,1.6,1.6
,="Instructional Specialists Who Support Teachers",="Certified",0.8,0.8,0.8,0.8,0.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.1,1.2,1.0,0.5,0.2
="Glastonbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.5,24.3,25.1,24.7,25.5
,="Counselors  Social Workers  and School Psychologists",="Certified",29.0,29.0,29.0,30.0,29.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",59.8,61.8,64.1,53.7,61.5
,="General Education - Teachers and Instructors",="Certified",394.4,407.3,418.4,419.3,395.8
,="Library/Media - Support Staff",="Non-Certified",12.4,12.4,12.4,12.4,12.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",314.8,311.6,326.3,327.2,308.1
,="School Nurses",="Non-Certified",12.8,12.9,12.7,12.7,12.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",88.7,88.1,85.1,80.6,81.8
,="Special Education - Teachers and Instructors",="Certified",47.5,49.3,45.3,51.3,46.5
,="Instructional Specialists Who Support Teachers",="Certified",12.8,10.8,13.3,13.6,12.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.6,16.0,16.0,17.0,13.6
,="Library/Media - Specialists (Certified)",="Certified",10.0,10.0,10.0,10.0,10.0
="Granby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,8.0,7.0,7.0,8.1
,="Counselors  Social Workers  and School Psychologists",="Certified",14.0,11.0,12.5,12.5,13.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5,25.4,23.9,16.0,14.0
,="General Education - Teachers and Instructors",="Certified",134.7,133.7,131.2,129.0,129.6
,="Library/Media - Support Staff",="Non-Certified",6.7,6.7,6.2,5.6,5.7
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",92.3,94.9,95.8,95.0,83.9
,="School Nurses",="Non-Certified",5.4,5.4,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.9,45.8,38.2,34.2,36.6
,="Special Education - Teachers and Instructors",="Certified",18.5,18.8,18.8,19.8,21.0
,="Instructional Specialists Who Support Teachers",="Certified",7.4,7.2,11.3,10.3,10.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,5.0,5.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,4.0,4.0,4.0
="Greenwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",42.8,44.1,43.1,43.5,45.0
,="Counselors  Social Workers  and School Psychologists",="Certified",62.8,61.8,62.1,64.1,65.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",49.2,50.2,50.5,52.8,50.1
,="General Education - Teachers and Instructors",="Certified",634.8,641.5,632.9,639.7,649.9
,="Library/Media - Support Staff",="Non-Certified",14.5,14.5,14.5,14.5,14.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",397.4,397.2,396.0,390.0,388.6
,="School Nurses",="Non-Certified",17.0,17.0,17.0,17.0,16.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",122.0,131.0,122.0,117.0,119.0
,="Special Education - Teachers and Instructors",="Certified",98.5,95.8,93.3,95.2,96.5
,="Instructional Specialists Who Support Teachers",="Certified",44.5,44.5,45.9,47.4,47.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",18.7,17.9,16.5,13.9,15.3
,="Library/Media - Specialists (Certified)",="Certified",21.3,21.3,21.3,21.9,19.4
="Griswold School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.7,8.8,10.2,10.2,6.2
,="Counselors  Social Workers  and School Psychologists",="Certified",12.7,12.7,12.0,12.1,12.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.0,1.0,1.0,1.0
,="General Education - Teachers and Instructors",="Certified",128.6,121.2,113.7,117.9,119.7
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",106.7,109.4,110.2,105.6,93.2
,="School Nurses",="Non-Certified",3.5,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.5,44.5,45.5,51.0,54.0
,="Special Education - Teachers and Instructors",="Certified",22.2,27.3,26.3,26.3,27.3
,="Instructional Specialists Who Support Teachers",="Certified",5.3,5.8,5.8,5.8,8.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.4,5.4,5.0,5.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",1.9,3.0,3.0,3.0,3.0
="Groton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.2,24.2,21.2,24.2,21.2
,="Counselors  Social Workers  and School Psychologists",="Certified",26.0,27.0,25.0,26.4,27.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",54.9,32.6,32.3,36.5,34.5
,="General Education - Teachers and Instructors",="Certified",357.8,346.1,354.2,339.9,331.1
,="Library/Media - Support Staff",="Non-Certified",7.0,7.0,5.8,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",203.3,196.9,186.2,233.5,236.2
,="School Nurses",="Non-Certified",11.0,11.0,10.0,10.0,10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",147.6,148.0,161.5,121.0,109.4
,="Special Education - Teachers and Instructors",="Certified",54.3,54.4,53.4,55.3,52.3
,="Instructional Specialists Who Support Teachers",="Certified",13.0,12.0,12.0,12.0,12.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",9.0,8.0,9.0,7.0,9.0
,="Library/Media - Specialists (Certified)",="Certified",12.0,12.0,10.0,10.0,10.0
="Guilford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6,17.0,17.4,17.6,17.9
,="Counselors  Social Workers  and School Psychologists",="Certified",23.2,23.2,22.2,23.2,22.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.2,3.8,3.8,2.7,2.7
,="General Education - Teachers and Instructors",="Certified",245.6,245.0,239.7,233.6,239.3
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",154.4,153.9,152.9,151.7,156.4
,="School Nurses",="Non-Certified",7.0,7.0,7.5,8.3,7.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",83.0,81.0,88.0,86.5,97.0
,="Special Education - Teachers and Instructors",="Certified",32.8,33.0,33.0,39.5,41.5
,="Instructional Specialists Who Support Teachers",="Certified",11.0,12.0,13.0,15.0,15.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,2.0,3.0,5.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",7.0,7.0,7.0,7.0,7.0
="Hamden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.2,19.2,19.0,21.2,24.5
,="Counselors  Social Workers  and School Psychologists",="Certified",44.6,44.0,46.0,46.4,46.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.0,49.0,48.0,50.5,50.5
,="General Education - Teachers and Instructors",="Certified",402.0,399.9,400.9,402.1,401.1
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,3.0,4.0,9.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",309.0,308.5,313.9,316.9,293.6
,="School Nurses",="Non-Certified",13.0,13.0,13.0,13.0,12.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",74.5,77.5,82.8,79.9,68.3
,="Special Education - Teachers and Instructors",="Certified",62.0,60.1,62.0,61.0,64.0
,="Instructional Specialists Who Support Teachers",="Certified",27.2,27.1,28.9,32.0,33.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.0,10.0,11.0,12.2,13.0
,="Library/Media - Specialists (Certified)",="Certified",11.0,11.0,11.0,11.0,11.0
="Hampton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8,0.8,1.0,1.0,0.8
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,0.8,0.9,0.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.4,3.7,2.7,2.2,2.4
,="General Education - Teachers and Instructors",="Certified",12.1,12.1,11.4,11.4,11.2
,="Library/Media - Support Staff",="Non-Certified",0.6,0.6,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.3,8.9,9.7,9.4
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.5,5.6,5.2,4.4
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.7,0.7,0.5,.,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",0.2,0.2,0.5,0.5,0.5
,="Library/Media - Specialists (Certified)",="Certified",0.7,0.7,0.7,0.7,0.6
="Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",93.8,96.0,104.0,112.0,135.0
,="Counselors  Social Workers  and School Psychologists",="Certified",99.0,94.0,104.4,111.6,118.9
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",85.5,85.5,74.5,97.0,120.0
,="General Education - Teachers and Instructors",="Certified",1293.5,1324.8,1350.6,1351.4,1300.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,1.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",836.1,851.9,917.5,900.2,976.7
,="School Nurses",="Non-Certified",56.4,67.9,51.0,54.5,57.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",278.0,267.5,300.5,333.0,373.0
,="Special Education - Teachers and Instructors",="Certified",187.0,189.9,201.3,202.7,209.9
,="Instructional Specialists Who Support Teachers",="Certified",112.5,118.4,114.6,137.1,166.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",29.0,38.0,40.0,45.0,28.0
,="Library/Media - Specialists (Certified)",="Certified",23.5,19.6,16.6,15.5,17.0
