"Total Expenditures Used for Special Education, Trend"
"All Districts"

"",,"Year",,,,
,="Total Expenditures",16958674,16349292,16572730,16577547,17220123
="Granby School District",="Certified Personnel",1957457,1933128,1979899,2094605,2210691
,="Noncertified Personnel",1128365,1131327,893393,738670,822381
,="Employee Benefits",657977,642464,617709,626851,668957
,="Purchased Services",155648,64959,134335,245949,206966
,="Tuition to Other Schools",632460,753803,777717,977225,1186617
,="Instructional Supplies",32868,27356,38853,38245,47946
,="Property Services",669,0,0,0,0
,="Transportation",416052,461728,343835,307235,334343
,="Equipment",0,0,0,0,0
,="Other Expenditures",2018,0,3132,2168,2073
,="Total Expenditures",4983514,5014765,4788873,5030948,5490587
="Greenwich School District",="Certified Personnel",18689528,19293869,19543896,19447977,19429861
,="Noncertified Personnel",5677015,5845979,4736575,5803197,6029139
,="Employee Benefits",5616943,5887016,6916209,6953774,6996055
,="Purchased Services",2168607,2189385,1911652,1743071,1685448
,="Tuition to Other Schools",3772468,4490011,4035698,4732224,4742011
,="Instructional Supplies",110321,164151,140270,140787,141880
,="Property Services",29954,38049,229146,249212,273885
,="Transportation",1855152,2081216,1935432,1987767,2113638
,="Equipment",234719,415541,116086,137860,116488
,="Other Expenditures",25082,113809,106265,137860,116488
,="Total Expenditures",38220213,40569800,39708348,41362752,41674201
="Griswold School District",="Certified Personnel",2723666,2822448,2659205,2734038,2771089
,="Noncertified Personnel",1081999,1035004,1089633,1186529,1454348
,="Employee Benefits",877532,714803,820531,848684,799474
,="Purchased Services",264022,74160,138261,183740,130754
,="Tuition to Other Schools",676455,839761,1038009,1369859,938189
,="Instructional Supplies",9260,9051,7645,5201,2947
,="Property Services",22889,3060,3364,4156,5909
,="Transportation",389590,455130,478067,570357,456108
,="Equipment",2638,4481,6813,3996,8108
,="Other Expenditures",1770,1511,923,140,600
,="Total Expenditures",6083407,5974579,6257819,6923790,6587110
="Groton School District",="Certified Personnel",6689767,6770019,6457670,6542277,6878121
,="Noncertified Personnel",2367095,2438848,2533578,2074976,3075026
,="Employee Benefits",1841033,1806236,1547220,1751280,2164718
,="Purchased Services",1078524,1130604,1408859,1398693,2928203
,="Tuition to Other Schools",1994672,2442018,2947166,3906928,3787457
,="Instructional Supplies",87383,61742,38643,42990,223722
,="Property Services",1588,1045,967,1005,1002
,="Transportation",1162059,1227459,1608900,1711572,1485652
,="Equipment",857,18834,1334,8477,47133
,="Other Expenditures",2962,3262,4576,0,7175
,="Total Expenditures",15244196,15913785,16557282,17446222,20598209
="Guilford School District",="Certified Personnel",4889580,4350449,4188305,4633702,4991482
,="Noncertified Personnel",1871320,1910780,2140400,2091637,2187443
,="Employee Benefits",2175151,2049189,2218224,2495951,2538647
,="Purchased Services",480707,525914,638616,790233,1050426
,="Tuition to Other Schools",2643292,2995070,3627364,3570099,3595417
,="Instructional Supplies",62948,38252,52784,72798,76553
,="Property Services",0,0,0,0,0
,="Transportation",1158135,1057291,1192507,1206385,1268881
,="Equipment",13519,8427,4753,5180,15080
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",13294652,12935372,14062953,14865985,15723929
="Hamden School District",="Certified Personnel",8172488,8574177,9053878,9092879,9242073
,="Noncertified Personnel",2312277,2359482,2625714,2674610,2433914
,="Employee Benefits",4235463,5375474,5956591,6001419,5954754
,="Purchased Services",830753,731838,563804,655186,583443
,="Tuition to Other Schools",9485591,8386808,6847489,8633419,8912333
,="Instructional Supplies",54138,22969,42764,56942,53535
,="Property Services",2992,2685,9178,67687,5445
,="Transportation",2078305,1791402,2186782,2396534,2603244
,="Equipment",20831,0,0,0,0
,="Other Expenditures",350,0,269,0,0
,="Total Expenditures",27193188,27244835,27286469,29578676,29788741
="Hampton School District",="Certified Personnel",127195,128454,124838,117449,124638
,="Noncertified Personnel",103720,89499,94919,124212,129659
,="Employee Benefits",65549,60274,60242,60431,58083
,="Purchased Services",80900,80232,90268,81778,73607
,="Tuition to Other Schools",0,11731,9137,0,0
,="Instructional Supplies",4262,8022,2235,1048,7330
,="Property Services",0,0,0,0,0
,="Transportation",0,0,0,0,0
,="Equipment",0,0,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",381626,378212,381639,384918,393317
="Hartford School District",="Certified Personnel",21479566,21242203,22535085,24027027,N/A
,"Noncertified Personnel",8187920,9624020,10618165,11464168,N/A
,"Employee Benefits",10050614,10741263,10032273,10360699,N/A
,"Purchased Services",878519,811983,995483,626020,N/A
,"Tuition to Other Schools",31286157,32658130,38542359,44728079,N/A
,"Instructional Supplies",386567,52365,111978,75783,N/A
,"Property Services",9410,6822,4460,7669,N/A
,"Transportation",17219108,16420082,15516772,15392679,N/A
,"Equipment",135253,156741,185760,51686,N/A
,"Other Expenditures",2970479,143976,117223,39703,N/A
,"Total Expenditures",92673235,91892495,98678521,106807952,N/A
"Hartland School District","Certified Personnel",26300,0,0,16940,0
,="Noncertified Personnel",84305,43325,0,0,0
,="Employee Benefits",4297,1746,0,0,0
,="Purchased Services",431580,370878,379088,383444,408130
,="Tuition to Other Schools",80393,121091,154921,235618,351039
,="Instructional Supplies",2766,4830,2543,4608,4000
,="Property Services",0,0,0,0,0
,="Transportation",36446,28018,22522,18259,40005
,="Equipment",0,0,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",666087,569888,559074,658869,803174
="Hebron School District",="Certified Personnel",949405,944017,992557,837195,769718
,="Noncertified Personnel",655616,635502,644927,640708,650835
,="Employee Benefits",260090,443554,478145,786736,770484
,="Purchased Services",229137,299296,218943,244117,234525
,="Tuition to Other Schools",54330,34180,121033,85733,163577
,="Instructional Supplies",17608,13332,7935,10132,13932
,="Property Services",0,0,0,0,0
,="Transportation",100815,73724,90314,94861,124384
,="Equipment",7984,3697,0,16411,1500
,="Other Expenditures",675,324,0,326,0
,="Total Expenditures",2275660,2450878,2566692,2736771,2742839
="Kent School District",="Certified Personnel",369610,414103,417048,454800,480896
,="Noncertified Personnel",154608,158736,193639,212364,223494
,="Employee Benefits",174317,184518,175293,198876,237142
,="Purchased Services",35053,39411,42285,20505,21910
,="Tuition to Other Schools",71869,182227,187885,182288,0
,="Instructional Supplies",8065,3456,6775,17687,13053
,="Property Services",0,0,0,0,0
,="Transportation",60817,59259,64423,79714,81322
,="Equipment",852,1097,1479,1706,2473
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",875191,1042807,1088827,1167940,1060290
="Killingly School District",="Certified Personnel",3147343,3516176,3230386,3286038,3390789
,="Noncertified Personnel",1654231,1309908,1563848,1318659,1908496
,="Employee Benefits",1511582,1873937,1781110,1756308,1897125
,="Purchased Services",110669,150837,160829,188240,99968
,="Tuition to Other Schools",3500100,3314798,3874547,5502012,5731431
,="Instructional Supplies",14121,20049,18488,15828,16551
,="Property Services",36222,40739,32570,40227,34265
,="Transportation",210038,307787,313250,273878,601680
,="Equipment",13794,7601,4045,13774,7423
,="Other Expenditures",202,512,563,620,227
,="Total Expenditures",10308844,10543633,10980616,12396228,13790789
="Lebanon School District",="Certified Personnel",1084884,1198048,1290760,1499753,1295981
,="Noncertified Personnel",528064,529329,704796,795639,869529
,="Employee Benefits",490787,504723,560770,625047,583179
,="Purchased Services",360642,386491,290031,24466,239960
,="Tuition to Other Schools",1140076,1074512,1256780,1465397,1457662
,="Instructional Supplies",48435,10786,18468,5981,30541
,="Property Services",2205,3443,206,0,0
,="Transportation",338421,329734,266392,436499,467944
,="Equipment",80894,6452,5626,3482,1335
,="Other Expenditures",805,545,289,21,2198
,="Total Expenditures",4075213,4054824,4394118,4863185,4975723
="Ledyard School District",="Certified Personnel",3582654,3669204,4510667,4311572,4048248
,="Noncertified Personnel",1163061,1319134,1313100,956034,985044
,="Employee Benefits",883673,842878,1048677,1057412,1624656
,="Purchased Services",487919,498422,520610,351480,381062
,="Tuition to Other Schools",1987099,1764345,2176769,2007560,1893956
,="Instructional Supplies",335150,428980,395317,54717,71243
,="Property Services",0,0,0,1272,1278
,="Transportation",835688,1010301,1109121,1053553,912151
,="Equipment",6918,0,0,3420,1944
,="Other Expenditures",0,0,0,40,40
,="Total Expenditures",9299365,9555206,11091510,9802712,9919622
="Lisbon School District",="Certified Personnel",757627,766296,783707,791278,721257
,="Noncertified Personnel",167372,175607,100757,126281,160500
,="Employee Benefits",160816,191888,157101,147825,182475
,="Purchased Services",106319,190958,239998,118965,147801
,="Tuition to Other Schools",692363,860128,938007,1104145,797230
,="Instructional Supplies",17396,8413,8035,3954,7793
,="Property Services",0,0,0,0,0
,="Transportation",112919,164575,134173,151544,102152
,="Equipment",3960,20,0,0,11851
,="Other Expenditures",309,470,350,450,320
,="Total Expenditures",2020302,2366454,2366715,2448703,2133127
="Litchfield School District",="Certified Personnel",1278752,1110419,1047476,1153257,1136930
,="Noncertified Personnel",518354,505564,501024,516767,511501
,="Employee Benefits",667102,545188,541975,506023,428940
,="Purchased Services",140151,59531,27351,105928,99088
,="Tuition to Other Schools",551496,821086,917905,697683,633292
,="Instructional Supplies",41687,5232,2041,15343,8354
,="Property Services",0,0,0,0,0
,="Transportation",138945,246629,251778,165507,150857
,="Equipment",1069,30296,8592,2936,36702
,="Other Expenditures",2115,882,638,150,1209
,="Total Expenditures",3340834,3324827,3298931,3167506,3007964
="Madison School District",="Certified Personnel",3451033,3462396,3386288,3474990,3677619
,="Noncertified Personnel",1846939,1787011,1967720,2247529,1971208
,="Employee Benefits",1328759,1255097,1182769,1680830,1609736
,="Purchased Services",267079,303696,327027,434635,763769
,="Tuition to Other Schools",1581123,1424072,1530027,1745909,1656705
,="Instructional Supplies",63768,31530,2310,2149,2479
,="Property Services",0,0,0,0,0
,="Transportation",1117152,1116321,1231664,1220996,1255759
,="Equipment",53824,15809,4181,6901,7349
,="Other Expenditures",1555,1375,1380,939,1187
,="Total Expenditures",9711494,9457096,9694219,10876953,11012717
="Manchester School District",="Certified Personnel",8510940,8675700,8567143,8684760,9082207
,="Noncertified Personnel",4363756,3649349,4049088,3952264,4333995
,="Employee Benefits",4470190,5470843,6077646,6470361,6474073
,="Purchased Services",515487,466284,431203,391163,358878
,="Tuition to Other Schools",4093691,4299792,4518470,4481306,4104878
,="Instructional Supplies",226964,240474,302742,365086,419589
,="Property Services",0,0,0,0,28068
,="Transportation",1702811,1580443,2088440,1992988,1987337
,="Equipment",4680,1693,3500,168247,49959
,="Other Expenditures",1910,2078,2517,1647,3165
,="Total Expenditures",23894109,24403848,26052093,26677540,27050784
="Mansfield School District",="Certified Personnel",1793144,1664929,1712507,1565665,1696201
,="Noncertified Personnel",829923,694936,631560,843139,742589
,="Employee Benefits",607718,630587,550578,576066,723683
,="Purchased Services",289919,264588,246439,298306,501397
,="Tuition to Other Schools",420014,533400,467818,479199,446332
,="Instructional Supplies",15915,16683,16093,15523,18690
,="Property Services",1292,497,700,0,157
,="Transportation",334183,276095,207715,191370,224288
,="Equipment",2411,1413,2033,0,0
,="Other Expenditures",205,310,388,512,0
,="Total Expenditures",4308145,4095961,3849700,3984937,4365981
="Marlborough School District",="Certified Personnel",561063,613196,579527,601944,588344
,="Noncertified Personnel",180506,178944,191944,217470,267038
,="Employee Benefits",142919,146135,156591,189774,173069
,="Purchased Services",81033,69343,97933,62296,127874
,="Tuition to Other Schools",0,1410,4125,22685,95840
,="Instructional Supplies",7345,6142,3774,10910,18676
,="Property Services",15366,0,0,14830,16995
,="Transportation",53223,61372,79155,91868,49406
,="Equipment",529,0,4800,3113,0
,="Other Expenditures",389,399,185,6581,990
,="Total Expenditures",1049047,1091875,1121298,1223483,1338899
="Meriden School District",="Certified Personnel",10593796,9788961,10261455,10361452,10291637
,="Noncertified Personnel",3569201,3613445,3981165,3981229,4050450
,="Employee Benefits",3280660,4219145,3415669,3709313,3648546
,="Purchased Services",998310,365041,523956,472864,226253
,="Tuition to Other Schools",10366883,9255549,8333398,7478491,7768058
,="Instructional Supplies",39451,147530,103545,156617,84881
,="Property Services",4723,90573,151582,177742,68715
,="Transportation",2469521,2811139,2819715,2918212,2874164
,="Equipment",28946,1413,1412,1412,0
,="Other Expenditures",857,225,665,1084,680
,="Total Expenditures",31369593,30334848,29662118,29279527,29024062
="Middletown School District",="Certified Personnel",5512343,5433677,5257272,5453135,5490890
,="Noncertified Personnel",2225568,2293090,2425260,2697837,2731578
,="Employee Benefits",1636161,1406621,1803212,1880777,2360650
,="Purchased Services",1254807,944739,869664,899602,931690
,="Tuition to Other Schools",4362671,4732941,4909286,5197238,5871551
,="Instructional Supplies",143901,33943,43147,14742,71942
,="Property Services",0,15561,0,0,0
,="Transportation",1875061,2032805,1781184,2215299,2669489
,="Equipment",22241,6636,4160,4184,12216
,="Other Expenditures",285,0,442,260,437
,="Total Expenditures",17033538,16900013,17094525,18364971,20155713
="Milford School District",="Certified Personnel",10152788,9774411,9759515,10382201,10346716
,="Noncertified Personnel",4632443,4312072,4484694,4658726,4499730
,="Employee Benefits",4377148,4721205,4685947,5138311,5291864
,="Purchased Services",411760,627687,564858,487994,564438
,="Tuition to Other Schools",3132682,3156977,3439517,4030577,4250675
,="Instructional Supplies",128666,70233,60255,70255,86841
,="Property Services",4280,5937,3865,1980,4212
,="Transportation",1356031,1463227,1718709,1866921,1801205
,="Equipment",34527,52911,40262,43677,45700
,="Other Expenditures",41938,41266,58792,45374,31792
,="Total Expenditures",24286023,24234099,24827855,26728476,26934195
="Monroe School District",="Certified Personnel",4386747,4377467,4551116,4546574,4566458
,="Noncertified Personnel",1365873,1339314,1299035,1203264,1428458
,="Employee Benefits",1263645,1428448,1341809,1264171,1255030
,="Purchased Services",793660,882934,677415,889788,1060628
,="Tuition to Other Schools",1057701,1176358,1512225,1595816,1985247
,="Instructional Supplies",25360,32190,18132,15128,15291
,="Property Services",16146,19210,33873,10778,11449
,="Transportation",655701,665087,733988,825862,933437
,="Equipment",2892,50505,9401,7350,16401
,="Other Expenditures",15328,1657,1428,1047,904
,="Total Expenditures",9634621,9984965,10188245,10370256,11276465
="Montville School District",="Certified Personnel",3889410,3630073,3841403,3813273,3781668
,="Noncertified Personnel",1315661,1309010,1289670,1367082,1499234
,="Employee Benefits",1186439,1229576,1240616,1157545,1097739
,="Purchased Services",386436,374250,509607,424519,398726
,="Tuition to Other Schools",778047,853648,787446,792058,1027931
,="Instructional Supplies",96285,143581,140743,161837,162590
,="Property Services",26128,30620,3315,1860,911
,="Transportation",39239,65769,38850,36440,99087
,="Equipment",23245,29430,17539,7030,50903
,="Other Expenditures",234,2023,1662,982,1135
,="Total Expenditures",7742830,7669969,7871016,7762881,8119924
="Naugatuck School District",="Certified Personnel",5477815,5893350,4005864,6610032,5890761
,="Noncertified Personnel",1866295,1570730,2980031,1740530,1825819
,="Employee Benefits",3739831,3792741,4151930,2178025,2944992
,="Purchased Services",55128,37404,215532,96029,82623
,="Tuition to Other Schools",1461759,1497731,1380453,1186509,1376088
,="Instructional Supplies",65169,24702,24887,33204,23829
,="Property Services",17543,0,0,0,0
,="Transportation",1014847,833090,1036367,772864,612407
,="Equipment",3971,3515,2934,6590,0
,="Other Expenditures",51199,55044,63627,49980,555
,="Total Expenditures",13846592,13734329,13871454,12693011,12757390
="New Britain School District",="Certified Personnel",11870306,12985114,13690644,12771333,12123209
,="Noncertified Personnel",6946141,7822564,7624364,5798053,6644388
,="Employee Benefits",4008195,4204899,5613507,6530541,5642819
,="Purchased Services",543099,487813,1449625,1229237,1112573
,="Tuition to Other Schools",11333240,10484336,10348895,10532764,11380978
,="Instructional Supplies",181589,70028,23620,29888,42035
,="Property Services",0,0,0,2835,3124
,="Transportation",3722075,4371497,4367996,4384467,4285985
,="Equipment",66515,85449,19201,15147,0
,="Other Expenditures",15105,26657,20286,14367,51376
,="Total Expenditures",38705323,40551788,43176392,41316515,41307155
="New Canaan School District",="Certified Personnel",6472450,6527933,3988653,5996568,6588181
,="Noncertified Personnel",3552790,3952230,4407544,4419569,3344598
,="Employee Benefits",2175102,2110261,2147967,2132239,2091827
,="Purchased Services",1451617,1136179,1705640,1442183,1214451
,="Tuition to Other Schools",2285765,2246192,2703170,2998867,3420343
,="Instructional Supplies",47805,49725,42839,61961,45040
,="Property Services",10960,20,0,0,0
,="Transportation",98361,95719,54550,64265,1335023
,="Equipment",37524,62451,68104,88594,34979
,="Other Expenditures",0,0,633,1612,66150
,="Total Expenditures",16133833,16183325,15120421,17210107,18152988
="New Fairfield School District",="Certified Personnel",3431565,3505235,3685730,3205432,3544966
,="Noncertified Personnel",1264867,1440933,1262642,1018676,1126506
,="Employee Benefits",1358295,1335465,1345957,1122592,1243710
,="Purchased Services",180879,227057,180161,310303,289388
,="Tuition to Other Schools",495428,539954,599772,526842,689986
,="Instructional Supplies",53217,18698,19417,62229,58180
,="Property Services",0,0,0,1171,1785
,="Transportation",498770,515238,481065,515330,616646
,="Equipment",50447,0,0,12994,0
,="Other Expenditures",1160,0,0,620,600
,="Total Expenditures",7340371,7585542,7595051,6798717,7592909
="New Hartford School District",="Certified Personnel",805646,812903,854697,800004,755720
,="Noncertified Personnel",366635,368848,371303,309784,349768
,="Employee Benefits",459625,509280,481719,473666,445390
,="Purchased Services",180191,69318,74681,170255,161310
,="Tuition to Other Schools",95795,209471,223774,176225,346391
,="Instructional Supplies",7934,10599,3829,5764,4060
,="Property Services",0,0,0,0,0
,="Transportation",94988,106656,152604,139616,124081
,="Equipment",1309,2122,4212,3085,600
,="Other Expenditures",611,500,400,561,310
,="Total Expenditures",2013221,2090197,2167814,2079460,2190613
="New Haven School District",="Certified Personnel",23159595,23217434,23263647,23439077,22873669
,="Noncertified Personnel",3352751,3279035,3232541,3200938,3334508
,="Employee Benefits",9331897,8547176,7581842,7753993,8665286
,="Purchased Services",4125615,3495024,2875157,2942467,2870633
,="Tuition to Other Schools",15414526,14954765,16102588,16735467,17635653
,="Instructional Supplies",29258,21664,6450,3927,2708
,="Property Services",444264,449026,454630,457800,459432
,="Transportation",5780117,6265529,6468709,6932325,7196026
,="Equipment",64537,680746,11091,40778,45678
,="Other Expenditures",884980,100153,806942,876460,546791
,="Total Expenditures",63217826,61129867,60943286,62549749,63815694
="New London School District",="Certified Personnel",4615764,4783410,4299482,4280702,3249506
,="Noncertified Personnel",1565969,1663735,1883522,1866322,2226884
,="Employee Benefits",1475635,1591323,1659084,1680679,1505199
,="Purchased Services",1771308,1045640,1182641,1560071,2031151
,="Tuition to Other Schools",3071156,3587132,3956187,3850224,4014048
,="Instructional Supplies",98346,52692,39285,37841,53610
,="Property Services",7495,5130,5086,4865,2080
,="Transportation",1373182,1398676,1420218,1335271,1375805
,="Equipment",11668,2844,4728,21827,114238
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",13996851,14134094,14457613,14680450,14613190
="New Milford School District",="Certified Personnel",5803980,5599560,5662074,5418558,5545267
,="Noncertified Personnel",1902952,1852920,1927646,1946040,1942588
,="Employee Benefits",1876573,1659989,1513116,1827727,1865348
,="Purchased Services",1442237,1359654,1358114,1895989,1850738
,="Tuition to Other Schools",1857505,1943646,2076087,2085099,2210819
,="Instructional Supplies",57260,63543,50478,46472,56286
,="Property Services",0,0,0,0,0
,="Transportation",927359,969951,993247,1194518,894421
,="Equipment",284336,91695,8632,4313,21428
,="Other Expenditures",2067,2012,1218,0,1148
,="Total Expenditures",14596212,13550803,13594197,14434136,14404885
="Newington School District",="Certified Personnel",3681822,3892430,4006503,4048610,4367373
,="Noncertified Personnel",304059,373272,576215,522989,551566
,="Employee Benefits",845978,1089114,1150236,1150422,1266745
,="Purchased Services",2629246,2637859,2532570,2942301,2598267
,="Tuition to Other Schools",2572065,2781205,2872537,2871097,2888645
,="Instructional Supplies",91291,97017,85636,71399,78165
,="Property Services",55825,75895,93074,84759,101502
,="Transportation",0,0,0,0,0
,="Equipment",352740,285082,186585,90000,332440
,="Other Expenditures",2385,0,1566,1272,21180
,="Total Expenditures",10586688,11276423,11544526,11805461,12242527
="Newtown School District",="Certified Personnel",4650324,4644977,4691568,5233485,5335716
,="Noncertified Personnel",2382638,2519240,2414580,2591561,2783702
,="Employee Benefits",1703078,1679924,1622135,1783618,1952238
,="Purchased Services",600922,474126,566695,576651,623711
,="Tuition to Other Schools",2070532,1913073,2434003,3067358,3214067
,="Instructional Supplies",124356,102042,84433,89306,85180
,="Property Services",553,22347,23493,39298,44635
,="Transportation",1352803,1323560,1004477,1335624,1367845
,="Equipment",84435,26816,8621,6413,14820
,="Other Expenditures",200,274,1872,2172,2188
,="Total Expenditures",13058823,12824185,12984377,14881517,15484895
="Norfolk School District",="Certified Personnel",61869,66287,70839,70839,62391
,="Noncertified Personnel",12769,19651,22381,25369,24407
,="Employee Benefits",10559,11546,12680,11250,6545
,="Purchased Services",226575,230718,217235,194227,198958
,="Tuition to Other Schools",16481,27152,35522,76192,80195
,="Instructional Supplies",565,322,316,98,128
,="Property Services",0,0,0,0,0
,="Transportation",12716,14890,31172,43302,47649
,="Equipment",0,0,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",341534,370566,390145,421277,420273
="North Branford School District",="Certified Personnel",2635330,2585122,2663755,2750015,2698682
,="Noncertified Personnel",766030,799722,834685,843822,901521
,="Employee Benefits",596023,596594,582213,589719,607813
,="Purchased Services",286327,249850,245918,238133,238852
,="Tuition to Other Schools",737242,950739,586443,522823,811586
,="Instructional Supplies",45336,54915,46485,55358,37320
,="Property Services",16274,9780,6388,7016,2555
,="Transportation",477803,503672,545993,581161,581231
,="Equipment",30658,22337,43891,18455,8516
,="Other Expenditures",705,767,809,1486,1000
,="Total Expenditures",5619442,5777335,5560439,5610348,5890848
="North Canaan School District",="Certified Personnel",465491,458831,462054,495760,560705
,="Noncertified Personnel",103457,93950,123926,132936,160138
,="Employee Benefits",186052,177837,185264,197196,265075
,="Purchased Services",40365,43668,46430,49504,24199
,="Tuition to Other Schools",69873,67550,66296,61738,28595
,="Instructional Supplies",6576,3829,6423,6849,6564
,="Property Services",0,0,0,0,0
,="Transportation",70711,65660,71375,76101,94808
,="Equipment",991,1216,1638,1747,2900
,="Other Expenditures",51188,0,0,0,0
,="Total Expenditures",994704,912541,963406,1021831,1142984
="North Haven School District",="Certified Personnel",3511927,3493006,3167769,2972404,3425776
,="Noncertified Personnel",561483,952497,844074,835433,779163
,="Employee Benefits",1066438,1157539,1007805,1029746,1209550
,="Purchased Services",804397,545921,532851,576417,454510
,="Tuition to Other Schools",2282779,2450449,2514482,2795797,2968811
,="Instructional Supplies",53019,43522,32595,17342,41911
,="Property Services",8000,0,0,5200,0
,="Transportation",1008332,1063802,1080886,1397774,1369746
,="Equipment",16000,0,13490,4164,9116
,="Other Expenditures",8105,8789,14446,24594,29177
,="Total Expenditures",9340672,9721193,9217177,9661411,10310439
="North Stonington School District",="Certified Personnel",1071738,1001449,939510,1038343,939211
,="Noncertified Personnel",357709,368171,328101,314444,320248
,="Employee Benefits",645253,624346,512835,621999,642271
,="Purchased Services",50356,60384,62535,46987,60325
,="Tuition to Other Schools",64135,73672,6008,267835,118711
,="Instructional Supplies",23841,5903,0,3157,0
,="Property Services",0,0,0,0,0
,="Transportation",17551,16352,20788,18297,13857
,="Equipment",30711,14123,12106,7233,7688
,="Other Expenditures",6965,2732,1975,7552,12662
,="Total Expenditures",2289931,2184028,1890942,2335240,2136581
="Norwalk School District",="Certified Personnel",12826750,13073332,12945356,14105966,13590114
,="Noncertified Personnel",4422598,4570724,5039270,3709862,4853336
,="Employee Benefits",4639572,4999352,5334863,6132480,5764575
,="Purchased Services",2665544,3082212,3516784,4199763,3849500
,="Tuition to Other Schools",6625377,7090641,7623498,8494264,10034303
,="Instructional Supplies",5268,20986,25806,21834,101756
,="Property Services",33586,17059,0,0,0
,="Transportation",2119883,2166483,2257364,2595449,2904261
,="Equipment",0,199,44351,13733,21369
,="Other Expenditures",0,0,0,370,0
,="Total Expenditures",33458814,35115616,36844745,39288394,41119214
="Norwich School District",="Certified Personnel",3034532,3733511,3794567,4105754,4591631
,="Noncertified Personnel",1479534,1519867,1674190,1963468,2112824
,="Employee Benefits",1739658,914558,1319714,1094647,1383235
,="Purchased Services",3211067,3184938,3185815,3199732,2309315
,="Tuition to Other Schools",7610030,8848819,7890516,9019101,12387257
,="Instructional Supplies",20956,28368,16358,19723,12223
,="Property Services",23762,28006,22170,22178,31609
,="Transportation",2100422,2297574,2511586,2501104,2825579
,="Equipment",6018,8254,1747,14342,0
,="Other Expenditures",245,245,80,185,185
,="Total Expenditures",19260612,20616444,20461047,22000048,25698612
="Old Saybrook School District",="Certified Personnel",1719765,1722294,1871131,1972377,2063179
,="Noncertified Personnel",921148,1035392,1084197,1215403,1165309
,="Employee Benefits",365086,400999,449933,522551,493401
,="Purchased Services",309635,216919,223653,115391,117138
,="Tuition to Other Schools",972316,1118035,1126500,1027925,1206938
,="Instructional Supplies",18828,29799,15610,29449,23669
,="Property Services",0,561,0,6385,0
,="Transportation",371080,391449,378635,424609,566370
,="Equipment",450,15268,4324,1477,21319
,="Other Expenditures",4067,2129,0,1755,1797
,="Total Expenditures",4689396,4940665,5160121,5329295,5670019
="Orange School District",="Certified Personnel",1702426,1735964,1691854,1759776,1479971
,="Noncertified Personnel",961467,997307,965253,958651,956783
,="Employee Benefits",734511,725598,722203,763036,776416
,="Purchased Services",396927,413769,361459,387630,389028
,="Tuition to Other Schools",562593,575656,239900,327123,421615
,="Instructional Supplies",47649,10084,12999,8543,98796
,="Property Services",0,0,0,0,0
,="Transportation",281838,331125,222016,238616,258326
,="Equipment",6074,2467,599,3090,15513
,="Other Expenditures",6728,0,0,0,8294
,="Total Expenditures",4714908,4801240,4223190,4478782,4415376
="Oxford School District",="Certified Personnel",2093085,2053308,2218175,2438889,2586900
,="Noncertified Personnel",1197885,1047901,1036559,1201514,1202230
,="Employee Benefits",967587,926233,912817,1061988,1099898
,="Purchased Services",517898,491290,364105,192945,183434
,="Tuition to Other Schools",947139,824175,1053667,1046573,1411774
,="Instructional Supplies",35454,16760,32848,22297,12095
,="Property Services",0,0,0,0,0
,="Transportation",539667,500512,544434,627574,736060
,="Equipment",8067,12260,13147,5923,2214
,="Other Expenditures",946,410,0,1225,40
,="Total Expenditures",6307728,5874625,6179984,6601939,7240177
="Plainfield School District",="Certified Personnel",2656609,2448894,2471244,2480768,2545319
,="Noncertified Personnel",1467813,1563942,1652623,1700833,1775391
,="Employee Benefits",962970,1039995,1319591,975059,1022162
,="Purchased Services",599844,505149,248929,403120,338622
,="Tuition to Other Schools",2216171,2197799,1972443,1501681,1753408
,="Instructional Supplies",36083,27767,11355,24410,10612
,="Property Services",1339,1100,1329,1671,2002
,="Transportation",678154,576434,576434,639982,914826
,="Equipment",0,0,100,9836,1849
,="Other Expenditures",370,185,443,300,476
,="Total Expenditures",8647467,8387283,8275950,7746417,8400344
="Plainville School District",="Certified Personnel",2551839,2557972,2521476,3023325,2958328
,="Noncertified Personnel",1296851,1195058,1378030,1253745,1662452
,="Employee Benefits",694471,1006285,991463,1043909,1027258
,="Purchased Services",101838,64541,107968,205769,142851
,="Tuition to Other Schools",2368355,2260564,2168515,1441696,1610793
,="Instructional Supplies",14925,16714,18538,14929,24329
,="Property Services",8488,94,0,0,0
,="Transportation",296438,347896,365588,415453,411238
,="Equipment",538,1460,1995,3126,9137
,="Other Expenditures",1454,5578,920,2013,2675
,="Total Expenditures",7343098,7464051,7564247,7415654,7850840
="Plymouth School District",="Certified Personnel",1726349,1867211,1825333,1998267,2032229
,="Noncertified Personnel",403740,528004,588755,576033,628981
,="Employee Benefits",809645,770457,857675,871349,969556
,="Purchased Services",223606,146506,224619,324073,364075
,="Tuition to Other Schools",1084385,1113780,1121050,1288621,1311661
,="Instructional Supplies",31583,14185,10611,22624,4534
,="Property Services",0,0,0,0,0
,="Transportation",543660,563898,586007,603265,555248
