"Chronic Absenteeism, 2015-16"
", All Schools, All Students"

"District","District Code","School","School Code","% Chronically Absent"
"Farmington School District","=""0520011""","West District School","=""0520311""",2.6
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",3.2
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",2.6
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",1.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",3.6
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",1.8
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",40.6
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",2.9
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",1.6
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1.8
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",5.6
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",5.5
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",5.8
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",3.3
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",4.2
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",15.1
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",2.0
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",2.2
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",1.8
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",2.5
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",82.9
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",6.2
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",6.4
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",2.2
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",3.4
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",2.2
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",1.7
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",3.3
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",4.4
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",13.0
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",8.8
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",7.8
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",9.8
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",5.8
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",8.9
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",10.4
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",65.2
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",2.9
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",8.9
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",18.6
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",13.5
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",5.8
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",5.6
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",2.7
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",6.2
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",4.0
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",2.4
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",3.2
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",5.4
"Hamden School District","=""0620011""","Church Street School","=""0620211""",10.5
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",7.1
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",90.0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",34.4
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",16.2
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",10.0
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",12.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",10.7
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",7.2
"Hamden School District","=""0620011""","West Woods School","=""0621411""",1.8
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",7.9
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",34.9
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",33.3
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""","*"
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",22.2
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",16.7
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",9.1
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",6.8
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",44.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",49.4
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",34.1
"Hartford School District","=""0640011""","Burr School","=""0642311""",23.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",34.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",4.9
"Hartford School District","=""0640011""","Clark School","=""0642411""",29.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",7.9
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",64.5
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",19.6
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",92.9
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",6.9
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",20.1
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",25.7
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",12.1
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",10.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",42.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",57.1
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",46.4
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",8.9
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",53.2
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",21.1
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",23.6
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",4.1
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""","*"
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","*"
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",19.8
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",24.6
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",19.4
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",21.4
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",26.4
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",7.1
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",3.5
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",24.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",21.3
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",11.6
"Hartford School District","=""0640011""","SAND School","=""0640111""",26.4
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",6.1
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",4.4
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",16.9
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",18.4
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",29.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",15.3
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",10.7
"Hartford School District","=""0640011""","West Middle School","=""0642111""",22.9
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",7.0
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",4.4
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",7.3
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",6.3
"Kent School District","=""0680011""","Kent Center School","=""0680111""",2.6
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",10.1
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",18.3
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",10.1
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",2.0
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",10.7
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",10.1
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",16.8
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""","*"
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""","*"
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""","*"
"Learn","=""2450014""","Learn Kelly Middle School Intensive Program","=""2450914""","*"
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""","*"
"Learn","=""2450014""","Learn Pathways Program","=""2450514""","*"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""","*"
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""","*"
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",11.4
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",5.1
"Learn","=""2450014""","The Friendship School","=""2450214""",14.0
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",10.4
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",2.1
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",4.6
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",11.1
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",8.2
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",2.7
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",4.0
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",12.4
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",4.1
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",4.8
"Litchfield School District","=""0740011""","Center School","=""0740211""",14.4
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",11.5
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",3.7
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",1.3
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",2.9
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",0.0
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","*"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",3.6
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",62.1
"Manchester School District","=""0770011""","Bowers School","=""0770111""",6.7
"Manchester School District","=""0770011""","Buckley School","=""0770311""",9.0
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",12.9
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",7.1
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",11.3
"Manchester School District","=""0770011""","Keeney School","=""0770611""",8.2
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",24.3
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",52.3
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","*"
"Manchester School District","=""0770011""","Martin School","=""0771611""",5.5
"Manchester School District","=""0770011""","New Horizons","=""0770711""",73.1
"Manchester School District","=""0770011""","Robertson School","=""0771011""",4.4
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",9.6
"Manchester School District","=""0770011""","Waddell School","=""0771311""",8.3
"Manchester School District","=""0770011""","Washington School","=""0771411""",14.6
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",5.3
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",4.0
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",4.4
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",7.3
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",3.6
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",7.6
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",6.7
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",6.3
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",16.2
"Meriden School District","=""0800011""","Hanover School","=""0800311""",6.0
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",9.1
"Meriden School District","=""0800011""","John Barry School","=""0800511""",9.2
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",11.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",19.0
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",12.9
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""",15.8
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""","*"
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""",40.0
"Meriden School District","=""0800011""","Success Academy","=""0801411""",51.7
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",4.4
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",93.3
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",16.7
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",4.4
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",4.4
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""","*"
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","*"
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*"
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""","*"
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",10.1
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",6.3
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",14.9
"Middletown School District","=""0830011""","Moody School","=""0831211""","*"
"Middletown School District","=""0830011""","OASIS","=""0830311""","*"
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""",3.9
"Middletown School District","=""0830011""","Spencer School","=""0830111""",3.4
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",59.3
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","*"
"Middletown School District","=""0830011""","Wesley School","=""0831411""",4.6
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",6.2
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",2.4
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",4.2
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",4.3
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",2.7
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",13.3
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",9.4
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",4.4
"Milford School District","=""0840011""","Mathewson School","=""0841711""",2.9
"Milford School District","=""0840011""","Meadowside School","=""0840711""",7.4
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",3.1
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",4.3
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",7.7
"Milford School District","=""0840011""","The Academy","=""0840311""",75.0
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",7.4
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",1.8
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",3.8
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",2.9
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",0.0
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",1.6
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",2.0
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",6.7
"Montville School District","=""0860011""","Mohegan School","=""0860111""",2.4
"Montville School District","=""0860011""","Montville High School","=""0866111""",9.6
"Montville School District","=""0860011""","Oakdale School","=""0860511""",3.0
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",64.0
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",8.1
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",11.7
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",8.4
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",6.5
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",8.2
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",4.7
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",18.3
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",9.0
"Naugatuck School District","=""0880011""","Western School","=""0880711""",6.3
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",7.4
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",71.2
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",10.8
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",8.4
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",6.4
"New Britain School District","=""0890011""","Holmes School","=""0890611""",10.7
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",4.0
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""",29.3
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",13.1
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",33.3
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",50.0
"New Britain School District","=""0890011""","Northend School","=""0890911""",9.3
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",17.5
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",20.6
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",17.0
"New Britain School District","=""0890011""","Smith School","=""0891311""",5.0
"New Britain School District","=""0890011""","Steps","=""0891811""",25.0
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""","*"
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""",10.3
"New Canaan School District","=""0900011""","East School","=""0900411""",2.0
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",3.3
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",2.1
"New Canaan School District","=""0900011""","South School","=""0900211""","*"
"New Canaan School District","=""0900011""","West School","=""0900311""",2.4
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",2.8
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",2.7
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",2.5
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",4.8
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",3.7
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",8.7
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",9.7
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",29.5
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",16.2
"New Haven School District","=""0930011""","Beecher School","=""0930311""",22.5
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",9.7
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",13.7
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",11.8
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",17.7
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",21.5
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",18.7
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",9.8
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",14.3
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",13.5
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",6.2
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",67.4
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",17.1
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",13.6
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",18.6
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",32.9
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",19.7
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",21.1
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",35.3
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",39.0
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",11.9
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",11.7
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",19.3
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",13.2
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",19.5
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",10.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",21.4
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",31.7
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","*"
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",63.4
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",22.2
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",88.9
"New Haven School District","=""0930011""","New Light High School","=""0932611""",74.6
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",27.5
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",11.0
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",75.9
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",12.7
"New Haven School District","=""0930011""","Sound School","=""0936711""",12.7
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",19.2
"New Haven School District","=""0930011""","Truman School","=""0932911""",16.9
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",21.3
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",20.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",41.6
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",5.8
"New London School District","=""0950011""","Jennings School","=""0950311""",17.4
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",13.1
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",27.8
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",15.8
"New London School District","=""0950011""","New London High School","=""0956111""",17.4
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",14.8
