"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Kent School District","=""0680011""","Autism","*","*"
"Kent School District","=""0680011""","Intellectual Disability",0,0
"Kent School District","=""0680011""","Learning Disability",11,"*"
"Kent School District","=""0680011""","Other Health Impairment",0,0
"Kent School District","=""0680011""","Speech Language Impairment","*","*"
"Killingly School District","=""0690011""","All Disabilities",227,69.6
"Killingly School District","=""0690011""","Autism",25,62.5
"Killingly School District","=""0690011""","Emotional Disturbance",10,28.6
"Killingly School District","=""0690011""","Intellectual Disability",6,28.6
"Killingly School District","=""0690011""","Learning Disability",63,91.3
"Killingly School District","=""0690011""","Other Disabilities",10,35.7
"Killingly School District","=""0690011""","Other Health Impairment",56,75.7
"Killingly School District","=""0690011""","Speech Language Impairment",57,96.6
"Lebanon School District","=""0710011""","All Disabilities",69,52.3
"Lebanon School District","=""0710011""","Autism","*","*"
"Lebanon School District","=""0710011""","Emotional Disturbance","*","*"
"Lebanon School District","=""0710011""","Intellectual Disability","*","*"
"Lebanon School District","=""0710011""","Learning Disability",27,55.1
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",12,54.5
"Lebanon School District","=""0710011""","Speech Language Impairment",18,72.0
"Ledyard School District","=""0720011""","All Disabilities",222,75.3
"Ledyard School District","=""0720011""","Autism",31,64.6
"Ledyard School District","=""0720011""","Emotional Disturbance",15,55.6
"Ledyard School District","=""0720011""","Intellectual Disability",6,"*"
"Ledyard School District","=""0720011""","Learning Disability",66,83.5
"Ledyard School District","=""0720011""","Other Disabilities",16,53.3
"Ledyard School District","=""0720011""","Other Health Impairment",46,79.3
"Ledyard School District","=""0720011""","Speech Language Impairment",42,100.0
"Lisbon School District","=""0730011""","All Disabilities",68,86.1
"Lisbon School District","=""0730011""","Autism",9,"*"
"Lisbon School District","=""0730011""","Emotional Disturbance",0,0
"Lisbon School District","=""0730011""","Intellectual Disability","*","*"
"Lisbon School District","=""0730011""","Learning Disability",23,95.8
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment",13,"*"
"Lisbon School District","=""0730011""","Speech Language Impairment",17,"*"
"Litchfield School District","=""0740011""","All Disabilities",90,78.9
"Litchfield School District","=""0740011""","Autism","*","*"
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Intellectual Disability","*","*"
"Litchfield School District","=""0740011""","Learning Disability",32,78.0
"Litchfield School District","=""0740011""","Other Disabilities","*","*"
"Litchfield School District","=""0740011""","Other Health Impairment",22,88.0
"Litchfield School District","=""0740011""","Speech Language Impairment",28,93.3
"Madison School District","=""0760011""","All Disabilities",286,83.4
"Madison School District","=""0760011""","Autism",30,66.7
"Madison School District","=""0760011""","Emotional Disturbance",13,54.2
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",126,90.0
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",85,93.4
"Madison School District","=""0760011""","Speech Language Impairment",22,95.7
"Manchester School District","=""0770011""","All Disabilities",628,66.9
"Manchester School District","=""0770011""","Autism",33,42.3
"Manchester School District","=""0770011""","Emotional Disturbance",49,38.0
"Manchester School District","=""0770011""","Intellectual Disability",12,57.1
"Manchester School District","=""0770011""","Learning Disability",257,82.1
"Manchester School District","=""0770011""","Other Disabilities",14,25.5
"Manchester School District","=""0770011""","Other Health Impairment",103,69.1
"Manchester School District","=""0770011""","Speech Language Impairment",160,82.5
"Mansfield School District","=""0780011""","All Disabilities",104,75.9
"Mansfield School District","=""0780011""","Autism",8,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance",6,"*"
"Mansfield School District","=""0780011""","Intellectual Disability",0,0
"Mansfield School District","=""0780011""","Learning Disability",46,88.5
"Mansfield School District","=""0780011""","Other Disabilities",7,"*"
"Mansfield School District","=""0780011""","Other Health Impairment",21,75.0
"Mansfield School District","=""0780011""","Speech Language Impairment",16,80.0
"Marlborough School District","=""0790011""","All Disabilities",34,79.1
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance","*","*"
"Marlborough School District","=""0790011""","Intellectual Disability","*","*"
"Marlborough School District","=""0790011""","Learning Disability",18,75.0
"Marlborough School District","=""0790011""","Other Disabilities","*","*"
"Marlborough School District","=""0790011""","Other Health Impairment",7,"*"
"Marlborough School District","=""0790011""","Speech Language Impairment","*","*"
"Meriden School District","=""0800011""","All Disabilities",757,64.2
"Meriden School District","=""0800011""","Autism",46,47.4
"Meriden School District","=""0800011""","Emotional Disturbance",47,29.7
"Meriden School District","=""0800011""","Intellectual Disability",21,38.9
"Meriden School District","=""0800011""","Learning Disability",327,82.0
"Meriden School District","=""0800011""","Other Disabilities",23,27.1
"Meriden School District","=""0800011""","Other Health Impairment",158,65.8
"Meriden School District","=""0800011""","Speech Language Impairment",135,92.5
"Middletown School District","=""0830011""","All Disabilities",430,74.9
"Middletown School District","=""0830011""","Autism",21,39.6
"Middletown School District","=""0830011""","Emotional Disturbance",25,37.9
"Middletown School District","=""0830011""","Intellectual Disability",15,41.7
"Middletown School District","=""0830011""","Learning Disability",152,95.0
"Middletown School District","=""0830011""","Other Disabilities",14,37.8
"Middletown School District","=""0830011""","Other Health Impairment",100,89.3
"Middletown School District","=""0830011""","Speech Language Impairment",103,93.6
"Milford School District","=""0840011""","All Disabilities",589,74.8
"Milford School District","=""0840011""","Autism",35,42.2
"Milford School District","=""0840011""","Emotional Disturbance",42,47.7
"Milford School District","=""0840011""","Intellectual Disability",13,"*"
"Milford School District","=""0840011""","Learning Disability",131,91.6
"Milford School District","=""0840011""","Other Disabilities",19,40.4
"Milford School District","=""0840011""","Other Health Impairment",171,82.2
"Milford School District","=""0840011""","Speech Language Impairment",178,88.6
"Monroe School District","=""0850011""","All Disabilities",227,70.3
"Monroe School District","=""0850011""","Autism",25,78.1
"Monroe School District","=""0850011""","Emotional Disturbance",11,50.0
"Monroe School District","=""0850011""","Intellectual Disability","*","*"
"Monroe School District","=""0850011""","Learning Disability",84,67.7
"Monroe School District","=""0850011""","Other Disabilities","*","*"
"Monroe School District","=""0850011""","Other Health Impairment",62,83.8
"Monroe School District","=""0850011""","Speech Language Impairment",38,88.4
"Montville School District","=""0860011""","All Disabilities",183,69.3
"Montville School District","=""0860011""","Autism",18,58.1
"Montville School District","=""0860011""","Emotional Disturbance","*","*"
"Montville School District","=""0860011""","Intellectual Disability",10,"*"
"Montville School District","=""0860011""","Learning Disability",65,85.5
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",38,69.1
"Montville School District","=""0860011""","Speech Language Impairment",42,91.3
"Naugatuck School District","=""0880011""","All Disabilities",375,70.4
"Naugatuck School District","=""0880011""","Autism",18,39.1
"Naugatuck School District","=""0880011""","Emotional Disturbance","*","*"
"Naugatuck School District","=""0880011""","Intellectual Disability",13,61.9
"Naugatuck School District","=""0880011""","Learning Disability",174,79.8
"Naugatuck School District","=""0880011""","Other Disabilities","*","*"
"Naugatuck School District","=""0880011""","Other Health Impairment",90,73.8
"Naugatuck School District","=""0880011""","Speech Language Impairment",66,86.8
"New Britain School District","=""0890011""","All Disabilities",952,68.3
"New Britain School District","=""0890011""","Autism",75,57.3
"New Britain School District","=""0890011""","Emotional Disturbance",24,20.2
"New Britain School District","=""0890011""","Intellectual Disability",60,60.6
"New Britain School District","=""0890011""","Learning Disability",420,83.2
"New Britain School District","=""0890011""","Other Disabilities",16,28.6
"New Britain School District","=""0890011""","Other Health Impairment",207,64.3
"New Britain School District","=""0890011""","Speech Language Impairment",150,92.6
"New Canaan School District","=""0900011""","All Disabilities",295,75.3
"New Canaan School District","=""0900011""","Autism",16,43.2
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability","*","*"
"New Canaan School District","=""0900011""","Learning Disability",103,85.1
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",70,81.4
"New Canaan School District","=""0900011""","Speech Language Impairment",97,84.3
"New Fairfield School District","=""0910011""","All Disabilities",191,73.7
"New Fairfield School District","=""0910011""","Autism",12,"*"
"New Fairfield School District","=""0910011""","Emotional Disturbance",9,"*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",68,74.7
"New Fairfield School District","=""0910011""","Other Disabilities","*","*"
"New Fairfield School District","=""0910011""","Other Health Impairment",48,77.4
"New Fairfield School District","=""0910011""","Speech Language Impairment",46,86.8
"New Hartford School District","=""0920011""","All Disabilities",40,72.7
"New Hartford School District","=""0920011""","Autism","*","*"
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Intellectual Disability",0,0
"New Hartford School District","=""0920011""","Learning Disability",9,"*"
"New Hartford School District","=""0920011""","Other Disabilities","*","*"
"New Hartford School District","=""0920011""","Other Health Impairment",7,"*"
"New Hartford School District","=""0920011""","Speech Language Impairment",19,73.1
"New Haven School District","=""0930011""","All Disabilities",1504,72.1
"New Haven School District","=""0930011""","Autism",78,44.8
"New Haven School District","=""0930011""","Emotional Disturbance",110,47.0
"New Haven School District","=""0930011""","Intellectual Disability",66,47.8
"New Haven School District","=""0930011""","Learning Disability",673,88.1
"New Haven School District","=""0930011""","Other Disabilities",28,22.4
"New Haven School District","=""0930011""","Other Health Impairment",339,80.9
"New Haven School District","=""0930011""","Speech Language Impairment",210,90.5
"New London School District","=""0950011""","All Disabilities",356,63.6
"New London School District","=""0950011""","Autism",26,48.1
"New London School District","=""0950011""","Emotional Disturbance",28,46.7
"New London School District","=""0950011""","Intellectual Disability",6,20.7
"New London School District","=""0950011""","Learning Disability",123,75.0
"New London School District","=""0950011""","Other Disabilities",8,29.6
"New London School District","=""0950011""","Other Health Impairment",88,65.7
"New London School District","=""0950011""","Speech Language Impairment",77,83.7
"New Milford School District","=""0960011""","All Disabilities",349,59.5
"New Milford School District","=""0960011""","Autism",37,50.0
"New Milford School District","=""0960011""","Emotional Disturbance",26,50.0
"New Milford School District","=""0960011""","Intellectual Disability",7,"*"
"New Milford School District","=""0960011""","Learning Disability",109,63.7
"New Milford School District","=""0960011""","Other Disabilities",13,35.1
"New Milford School District","=""0960011""","Other Health Impairment",100,68.0
"New Milford School District","=""0960011""","Speech Language Impairment",57,63.3
"Newington School District","=""0940011""","All Disabilities",359,73.3
"Newington School District","=""0940011""","Autism",34,66.7
"Newington School District","=""0940011""","Emotional Disturbance","*","*"
"Newington School District","=""0940011""","Intellectual Disability","*","*"
"Newington School District","=""0940011""","Learning Disability",174,85.3
"Newington School District","=""0940011""","Other Disabilities",16,37.2
"Newington School District","=""0940011""","Other Health Impairment",48,71.6
"Newington School District","=""0940011""","Speech Language Impairment",70,95.9
"Newtown School District","=""0970011""","All Disabilities",317,83.2
"Newtown School District","=""0970011""","Autism",52,70.3
"Newtown School District","=""0970011""","Emotional Disturbance",12,"*"
"Newtown School District","=""0970011""","Intellectual Disability",10,"*"
"Newtown School District","=""0970011""","Learning Disability",96,91.4
"Newtown School District","=""0970011""","Other Disabilities",10,43.5
"Newtown School District","=""0970011""","Other Health Impairment",59,90.8
"Newtown School District","=""0970011""","Speech Language Impairment",78,95.1
"Norfolk School District","=""0980011""","All Disabilities",11,"*"
"Norfolk School District","=""0980011""","Autism","*","*"
"Norfolk School District","=""0980011""","Learning Disability","*","*"
"Norfolk School District","=""0980011""","Other Health Impairment","*","*"
"Norfolk School District","=""0980011""","Speech Language Impairment",6,"*"
"North Branford School District","=""0990011""","All Disabilities",215,84.3
"North Branford School District","=""0990011""","Autism",15,68.2
"North Branford School District","=""0990011""","Emotional Disturbance",13,65.0
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",72,91.1
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",38,95.0
"North Branford School District","=""0990011""","Speech Language Impairment",69,93.2
"North Canaan School District","=""1000011""","All Disabilities",23,65.7
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance","*","*"
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability","*","*"
"North Canaan School District","=""1000011""","Other Health Impairment",0,0
"North Canaan School District","=""1000011""","Speech Language Impairment",13,"*"
"North Haven School District","=""1010011""","All Disabilities",233,71.5
"North Haven School District","=""1010011""","Autism",20,45.5
"North Haven School District","=""1010011""","Emotional Disturbance",21,51.2
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",97,87.4
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",50,87.7
"North Haven School District","=""1010011""","Speech Language Impairment",36,92.3
"North Stonington School District","=""1020011""","All Disabilities",63,91.3
"North Stonington School District","=""1020011""","Autism","*","*"
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",23,92.0
"North Stonington School District","=""1020011""","Other Disabilities","*","*"
"North Stonington School District","=""1020011""","Other Health Impairment",19,90.5
"North Stonington School District","=""1020011""","Speech Language Impairment",14,"*"
"Norwalk School District","=""1030011""","All Disabilities",811,77.9
"Norwalk School District","=""1030011""","Autism",50,49.0
"Norwalk School District","=""1030011""","Emotional Disturbance",19,48.7
"Norwalk School District","=""1030011""","Intellectual Disability",20,64.5
"Norwalk School District","=""1030011""","Learning Disability",374,89.7
"Norwalk School District","=""1030011""","Other Disabilities",36,61.0
"Norwalk School District","=""1030011""","Other Health Impairment",136,68.7
"Norwalk School District","=""1030011""","Speech Language Impairment",176,90.3
"Norwich School District","=""1040011""","All Disabilities",425,53.0
"Norwich School District","=""1040011""","Autism",23,40.4
"Norwich School District","=""1040011""","Emotional Disturbance",40,31.5
"Norwich School District","=""1040011""","Intellectual Disability",18,36.7
"Norwich School District","=""1040011""","Learning Disability",161,67.1
"Norwich School District","=""1040011""","Other Disabilities",16,23.2
"Norwich School District","=""1040011""","Other Health Impairment",89,56.0
"Norwich School District","=""1040011""","Speech Language Impairment",78,77.2
"Old Saybrook School District","=""1060011""","All Disabilities",146,79.8
"Old Saybrook School District","=""1060011""","Autism",18,64.3
"Old Saybrook School District","=""1060011""","Emotional Disturbance","*","*"
"Old Saybrook School District","=""1060011""","Intellectual Disability","*","*"
"Old Saybrook School District","=""1060011""","Learning Disability",39,92.9
"Old Saybrook School District","=""1060011""","Other Disabilities",8,"*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",41,71.9
"Old Saybrook School District","=""1060011""","Speech Language Impairment",32,100.0
"Orange School District","=""1070011""","All Disabilities",89,73.6
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Learning Disability",35,89.7
"Orange School District","=""1070011""","Other Disabilities","*","*"
"Orange School District","=""1070011""","Other Health Impairment",12,"*"
"Orange School District","=""1070011""","Speech Language Impairment",35,77.8
"Oxford School District","=""1080011""","All Disabilities",87,69.0
"Oxford School District","=""1080011""","Autism",10,"*"
"Oxford School District","=""1080011""","Emotional Disturbance","*","*"
"Oxford School District","=""1080011""","Intellectual Disability","*","*"
"Oxford School District","=""1080011""","Learning Disability",41,77.4
"Oxford School District","=""1080011""","Other Disabilities","*","*"
"Oxford School District","=""1080011""","Other Health Impairment",16,72.7
"Oxford School District","=""1080011""","Speech Language Impairment",15,71.4
"Plainfield School District","=""1090011""","All Disabilities",187,67.3
"Plainfield School District","=""1090011""","Autism",20,51.3
"Plainfield School District","=""1090011""","Emotional Disturbance",12,33.3
"Plainfield School District","=""1090011""","Intellectual Disability",13,"*"
"Plainfield School District","=""1090011""","Learning Disability",62,80.5
"Plainfield School District","=""1090011""","Other Disabilities",14,56.0
"Plainfield School District","=""1090011""","Other Health Impairment",41,77.4
"Plainfield School District","=""1090011""","Speech Language Impairment",25,80.6
"Plainville School District","=""1100011""","All Disabilities",222,77.1
"Plainville School District","=""1100011""","Autism",12,52.2
"Plainville School District","=""1100011""","Emotional Disturbance",16,59.3
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",84,93.3
"Plainville School District","=""1100011""","Other Disabilities","*","*"
"Plainville School District","=""1100011""","Other Health Impairment",66,85.7
"Plainville School District","=""1100011""","Speech Language Impairment",38,95.0
"Plymouth School District","=""1110011""","All Disabilities",174,76.0
"Plymouth School District","=""1110011""","Autism",7,33.3
"Plymouth School District","=""1110011""","Emotional Disturbance",16,47.1
"Plymouth School District","=""1110011""","Intellectual Disability","*","*"
"Plymouth School District","=""1110011""","Learning Disability",69,97.2
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",52,85.2
"Plymouth School District","=""1110011""","Speech Language Impairment",24,100.0
"Pomfret School District","=""1120011""","All Disabilities",54,74.0
"Pomfret School District","=""1120011""","Autism","*","*"
"Pomfret School District","=""1120011""","Emotional Disturbance","*","*"
"Pomfret School District","=""1120011""","Intellectual Disability","*","*"
"Pomfret School District","=""1120011""","Learning Disability",24,75.0
"Pomfret School District","=""1120011""","Other Disabilities","*","*"
"Pomfret School District","=""1120011""","Other Health Impairment",6,"*"
"Pomfret School District","=""1120011""","Speech Language Impairment",14,"*"
"Portland School District","=""1130011""","All Disabilities",91,83.5
"Portland School District","=""1130011""","Autism",8,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Intellectual Disability","*","*"
"Portland School District","=""1130011""","Learning Disability",36,92.3
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",19,82.6
"Portland School District","=""1130011""","Speech Language Impairment",22,95.7
"Preston School District","=""1140011""","All Disabilities",64,72.7
"Preston School District","=""1140011""","Autism",8,"*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability","*","*"
"Preston School District","=""1140011""","Learning Disability",10,"*"
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",19,82.6
"Preston School District","=""1140011""","Speech Language Impairment",21,87.5
"Putnam School District","=""1160011""","All Disabilities",107,69.5
"Putnam School District","=""1160011""","Autism",9,40.9
"Putnam School District","=""1160011""","Emotional Disturbance","*","*"
"Putnam School District","=""1160011""","Intellectual Disability",6,"*"
"Putnam School District","=""1160011""","Learning Disability",45,83.3
"Putnam School District","=""1160011""","Other Disabilities","*","*"
"Putnam School District","=""1160011""","Other Health Impairment",14,"*"
"Putnam School District","=""1160011""","Speech Language Impairment",25,89.3
"Redding School District","=""1170011""","All Disabilities",121,86.4
"Redding School District","=""1170011""","Autism",7,"*"
"Redding School District","=""1170011""","Emotional Disturbance","*","*"
"Redding School District","=""1170011""","Intellectual Disability",0,0
"Redding School District","=""1170011""","Learning Disability",34,94.4
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",37,97.4
"Redding School District","=""1170011""","Speech Language Impairment",39,95.1
"Regional School District 01","=""2010012""","All Disabilities",41,63.1
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance","*","*"
"Regional School District 01","=""2010012""","Intellectual Disability",0,0
"Regional School District 01","=""2010012""","Learning Disability",24,80.0
"Regional School District 01","=""2010012""","Other Disabilities","*","*"
"Regional School District 01","=""2010012""","Other Health Impairment","*","*"
"Regional School District 01","=""2010012""","Speech Language Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",122,89.1
"Regional School District 04","=""2040012""","Autism",15,"*"
"Regional School District 04","=""2040012""","Emotional Disturbance","*","*"
"Regional School District 04","=""2040012""","Intellectual Disability","*","*"
"Regional School District 04","=""2040012""","Learning Disability",58,95.1
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",27,81.8
"Regional School District 04","=""2040012""","Speech Language Impairment",16,"*"
"Regional School District 05","=""2050012""","All Disabilities",218,78.1
"Regional School District 05","=""2050012""","Autism",25,62.5
"Regional School District 05","=""2050012""","Emotional Disturbance",6,"*"
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",92,90.2
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",59,88.1
"Regional School District 05","=""2050012""","Speech Language Impairment",29,78.4
"Regional School District 06","=""2060012""","All Disabilities",79,69.3
"Regional School District 06","=""2060012""","Autism","*","*"
"Regional School District 06","=""2060012""","Emotional Disturbance","*","*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",39,81.3
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",18,75.0
"Regional School District 06","=""2060012""","Speech Language Impairment",9,"*"
"Regional School District 07","=""2070012""","All Disabilities",80,59.7
"Regional School District 07","=""2070012""","Autism","*","*"
"Regional School District 07","=""2070012""","Emotional Disturbance",11,"*"
"Regional School District 07","=""2070012""","Intellectual Disability","*","*"
"Regional School District 07","=""2070012""","Learning Disability",30,60.0
"Regional School District 07","=""2070012""","Other Disabilities",0,0
"Regional School District 07","=""2070012""","Other Health Impairment",21,67.7
"Regional School District 07","=""2070012""","Speech Language Impairment",9,"*"
"Regional School District 08","=""2080012""","All Disabilities",155,65.1
"Regional School District 08","=""2080012""","Autism",6,"*"
"Regional School District 08","=""2080012""","Emotional Disturbance",11,40.7
"Regional School District 08","=""2080012""","Intellectual Disability","*","*"
"Regional School District 08","=""2080012""","Learning Disability",66,78.6
"Regional School District 08","=""2080012""","Other Disabilities","*","*"
"Regional School District 08","=""2080012""","Other Health Impairment",59,72.8
"Regional School District 08","=""2080012""","Speech Language Impairment",11,"*"
"Regional School District 09","=""2090012""","All Disabilities",84,67.2
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance",6,"*"
"Regional School District 09","=""2090012""","Intellectual Disability",0,0
"Regional School District 09","=""2090012""","Learning Disability",28,87.5
"Regional School District 09","=""2090012""","Other Disabilities","*","*"
"Regional School District 09","=""2090012""","Other Health Impairment",31,73.8
"Regional School District 09","=""2090012""","Speech Language Impairment",12,"*"
"Regional School District 10","=""2100012""","All Disabilities",193,78.1
"Regional School District 10","=""2100012""","Autism",24,72.7
"Regional School District 10","=""2100012""","Emotional Disturbance",13,52.0
"Regional School District 10","=""2100012""","Intellectual Disability","*","*"
"Regional School District 10","=""2100012""","Learning Disability",76,86.4
"Regional School District 10","=""2100012""","Other Disabilities","*","*"
"Regional School District 10","=""2100012""","Other Health Impairment",41,80.4
"Regional School District 10","=""2100012""","Speech Language Impairment",28,100.0
"Regional School District 11","=""2110012""","All Disabilities",42,60.0
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance","*","*"
"Regional School District 11","=""2110012""","Learning Disability",20,71.4
"Regional School District 11","=""2110012""","Other Disabilities",0,0
"Regional School District 11","=""2110012""","Other Health Impairment",12,60.0
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",76,61.3
"Regional School District 12","=""2120012""","Autism","*","*"
"Regional School District 12","=""2120012""","Emotional Disturbance","*","*"
"Regional School District 12","=""2120012""","Intellectual Disability","*","*"
"Regional School District 12","=""2120012""","Learning Disability",35,71.4
"Regional School District 12","=""2120012""","Other Disabilities","*","*"
"Regional School District 12","=""2120012""","Other Health Impairment",18,66.7
"Regional School District 12","=""2120012""","Speech Language Impairment",13,61.9
"Regional School District 13","=""2130012""","All Disabilities",227,84.7
"Regional School District 13","=""2130012""","Autism",15,48.4
"Regional School District 13","=""2130012""","Emotional Disturbance",10,"*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",87,92.6
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",56,93.3
"Regional School District 13","=""2130012""","Speech Language Impairment",55,94.8
"Regional School District 14","=""2140012""","All Disabilities",147,73.9
"Regional School District 14","=""2140012""","Autism",8,25.0
"Regional School District 14","=""2140012""","Emotional Disturbance","*","*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",60,95.2
"Regional School District 14","=""2140012""","Other Disabilities",0,0
"Regional School District 14","=""2140012""","Other Health Impairment",33,76.7
"Regional School District 14","=""2140012""","Speech Language Impairment",41,95.3
"Regional School District 15","=""2150012""","All Disabilities",356,73.4
"Regional School District 15","=""2150012""","Autism",29,53.7
"Regional School District 15","=""2150012""","Emotional Disturbance",7,"*"
"Regional School District 15","=""2150012""","Intellectual Disability","*","*"
"Regional School District 15","=""2150012""","Learning Disability",169,81.3
"Regional School District 15","=""2150012""","Other Disabilities","*","*"
"Regional School District 15","=""2150012""","Other Health Impairment",65,73.0
"Regional School District 15","=""2150012""","Speech Language Impairment",79,91.9
"Regional School District 16","=""2160012""","All Disabilities",144,62.3
"Regional School District 16","=""2160012""","Autism",20,50.0
"Regional School District 16","=""2160012""","Emotional Disturbance","*","*"
"Regional School District 16","=""2160012""","Intellectual Disability",6,"*"
"Regional School District 16","=""2160012""","Learning Disability",35,56.5
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",40,72.7
"Regional School District 16","=""2160012""","Speech Language Impairment",36,92.3
"Regional School District 17","=""2170012""","All Disabilities",244,81.9
"Regional School District 17","=""2170012""","Autism",22,64.7
"Regional School District 17","=""2170012""","Emotional Disturbance",24,82.8
"Regional School District 17","=""2170012""","Intellectual Disability","*","*"
"Regional School District 17","=""2170012""","Learning Disability",98,89.1
"Regional School District 17","=""2170012""","Other Disabilities","*","*"
"Regional School District 17","=""2170012""","Other Health Impairment",58,87.9
"Regional School District 17","=""2170012""","Speech Language Impairment",35,92.1
"Regional School District 18","=""2180012""","All Disabilities",109,74.1
"Regional School District 18","=""2180012""","Autism","*","*"
"Regional School District 18","=""2180012""","Emotional Disturbance",7,"*"
"Regional School District 18","=""2180012""","Intellectual Disability","*","*"
"Regional School District 18","=""2180012""","Learning Disability",47,87.0
"Regional School District 18","=""2180012""","Other Disabilities","*","*"
"Regional School District 18","=""2180012""","Other Health Impairment",17,77.3
"Regional School District 18","=""2180012""","Speech Language Impairment",28,93.3
"Regional School District 19","=""2190012""","All Disabilities",114,64.4
"Regional School District 19","=""2190012""","Autism","*","*"
"Regional School District 19","=""2190012""","Emotional Disturbance",15,62.5
"Regional School District 19","=""2190012""","Intellectual Disability",7,"*"
"Regional School District 19","=""2190012""","Learning Disability",46,73.0
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",32,62.7
"Regional School District 19","=""2190012""","Speech Language Impairment",6,"*"
"Ridgefield School District","=""1180011""","All Disabilities",325,80.8
"Ridgefield School District","=""1180011""","Autism",41,61.2
