"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Killingly School District","=""0690011""","All Disabilities",219,59.8
"Killingly School District","=""0690011""","Autism",31,55.4
"Killingly School District","=""0690011""","Emotional Disturbance",12,23.1
"Killingly School District","=""0690011""","Intellectual Disability","*","*"
"Killingly School District","=""0690011""","Learning Disability",73,80.2
"Killingly School District","=""0690011""","Other Disabilities","*","*"
"Killingly School District","=""0690011""","Other Health Impairment",55,60.4
"Killingly School District","=""0690011""","Speech Language Impairment",39,92.9
"Lebanon School District","=""0710011""","All Disabilities",74,54.4
"Lebanon School District","=""0710011""","Autism",7,35.0
"Lebanon School District","=""0710011""","Emotional Disturbance","*","*"
"Lebanon School District","=""0710011""","Intellectual Disability","*","*"
"Lebanon School District","=""0710011""","Learning Disability",36,59.0
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",20,71.4
"Lebanon School District","=""0710011""","Speech Language Impairment",8,"*"
"Ledyard School District","=""0720011""","All Disabilities",220,64.7
"Ledyard School District","=""0720011""","Autism",24,52.2
"Ledyard School District","=""0720011""","Emotional Disturbance",18,51.4
"Ledyard School District","=""0720011""","Intellectual Disability","*","*"
"Ledyard School District","=""0720011""","Learning Disability",70,69.3
"Ledyard School District","=""0720011""","Other Disabilities","*","*"
"Ledyard School District","=""0720011""","Other Health Impairment",75,77.3
"Ledyard School District","=""0720011""","Speech Language Impairment",22,91.7
"Lisbon School District","=""0730011""","All Disabilities",50,86.2
"Lisbon School District","=""0730011""","Autism",6,"*"
"Lisbon School District","=""0730011""","Emotional Disturbance","*","*"
"Lisbon School District","=""0730011""","Intellectual Disability","*","*"
"Lisbon School District","=""0730011""","Learning Disability",14,"*"
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment",11,"*"
"Lisbon School District","=""0730011""","Speech Language Impairment",11,"*"
"Litchfield School District","=""0740011""","All Disabilities",84,77.8
"Litchfield School District","=""0740011""","Autism","*","*"
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Learning Disability",39,88.6
"Litchfield School District","=""0740011""","Other Disabilities","*","*"
"Litchfield School District","=""0740011""","Other Health Impairment",21,84.0
"Litchfield School District","=""0740011""","Speech Language Impairment",15,"*"
"Madison School District","=""0760011""","All Disabilities",290,84.5
"Madison School District","=""0760011""","Autism",30,65.2
"Madison School District","=""0760011""","Emotional Disturbance",9,"*"
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",128,94.8
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",95,92.2
"Madison School District","=""0760011""","Speech Language Impairment",22,91.7
"Manchester School District","=""0770011""","All Disabilities",565,68.4
"Manchester School District","=""0770011""","Autism",58,54.2
"Manchester School District","=""0770011""","Emotional Disturbance",20,31.3
"Manchester School District","=""0770011""","Intellectual Disability",11,47.8
"Manchester School District","=""0770011""","Learning Disability",236,91.8
"Manchester School District","=""0770011""","Other Disabilities",11,15.5
"Manchester School District","=""0770011""","Other Health Impairment",111,64.9
"Manchester School District","=""0770011""","Speech Language Impairment",118,88.7
"Mansfield School District","=""0780011""","All Disabilities",90,72.0
"Mansfield School District","=""0780011""","Autism",9,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance","*","*"
"Mansfield School District","=""0780011""","Intellectual Disability","*","*"
"Mansfield School District","=""0780011""","Learning Disability",43,79.6
"Mansfield School District","=""0780011""","Other Disabilities",0,0
"Mansfield School District","=""0780011""","Other Health Impairment",18,85.7
"Mansfield School District","=""0780011""","Speech Language Impairment",16,"*"
"Marlborough School District","=""0790011""","All Disabilities",32,84.2
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance","*","*"
"Marlborough School District","=""0790011""","Intellectual Disability",0,0
"Marlborough School District","=""0790011""","Learning Disability",17,"*"
"Marlborough School District","=""0790011""","Other Health Impairment",6,"*"
"Marlborough School District","=""0790011""","Speech Language Impairment",6,"*"
"Meriden School District","=""0800011""","All Disabilities",926,64.7
"Meriden School District","=""0800011""","Autism",64,41.3
"Meriden School District","=""0800011""","Emotional Disturbance",50,27.9
"Meriden School District","=""0800011""","Intellectual Disability",23,38.3
"Meriden School District","=""0800011""","Learning Disability",428,79.9
"Meriden School District","=""0800011""","Other Disabilities",23,28.8
"Meriden School District","=""0800011""","Other Health Impairment",234,74.5
"Meriden School District","=""0800011""","Speech Language Impairment",104,97.2
"Middletown School District","=""0830011""","All Disabilities",453,75.1
"Middletown School District","=""0830011""","Autism",41,57.7
"Middletown School District","=""0830011""","Emotional Disturbance",26,37.1
"Middletown School District","=""0830011""","Intellectual Disability",17,50.0
"Middletown School District","=""0830011""","Learning Disability",161,89.0
"Middletown School District","=""0830011""","Other Disabilities",15,48.4
"Middletown School District","=""0830011""","Other Health Impairment",106,86.2
"Middletown School District","=""0830011""","Speech Language Impairment",87,93.5
"Milford School District","=""0840011""","All Disabilities",486,68.0
"Milford School District","=""0840011""","Autism",40,40.4
"Milford School District","=""0840011""","Emotional Disturbance",26,37.1
"Milford School District","=""0840011""","Intellectual Disability","*","*"
"Milford School District","=""0840011""","Learning Disability",121,84.0
"Milford School District","=""0840011""","Other Disabilities","*","*"
"Milford School District","=""0840011""","Other Health Impairment",157,76.2
"Milford School District","=""0840011""","Speech Language Impairment",125,90.6
"Monroe School District","=""0850011""","All Disabilities",246,71.9
"Monroe School District","=""0850011""","Autism",33,73.3
"Monroe School District","=""0850011""","Emotional Disturbance",6,"*"
"Monroe School District","=""0850011""","Intellectual Disability","*","*"
"Monroe School District","=""0850011""","Learning Disability",96,77.4
"Monroe School District","=""0850011""","Other Disabilities","*","*"
"Monroe School District","=""0850011""","Other Health Impairment",69,75.8
"Monroe School District","=""0850011""","Speech Language Impairment",39,100.0
"Montville School District","=""0860011""","All Disabilities",209,70.4
"Montville School District","=""0860011""","Autism",12,40.0
"Montville School District","=""0860011""","Emotional Disturbance",9,34.6
"Montville School District","=""0860011""","Intellectual Disability","*","*"
"Montville School District","=""0860011""","Learning Disability",92,88.5
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",46,68.7
"Montville School District","=""0860011""","Speech Language Impairment",48,92.3
"Naugatuck School District","=""0880011""","All Disabilities",440,69.1
"Naugatuck School District","=""0880011""","Autism",31,44.3
"Naugatuck School District","=""0880011""","Emotional Disturbance",13,38.2
"Naugatuck School District","=""0880011""","Intellectual Disability",10,37.0
"Naugatuck School District","=""0880011""","Learning Disability",218,80.4
"Naugatuck School District","=""0880011""","Other Disabilities",6,"*"
"Naugatuck School District","=""0880011""","Other Health Impairment",110,70.5
"Naugatuck School District","=""0880011""","Speech Language Impairment",52,85.2
"New Britain School District","=""0890011""","All Disabilities",1069,66.3
"New Britain School District","=""0890011""","Autism",69,40.8
"New Britain School District","=""0890011""","Emotional Disturbance",18,16.8
"New Britain School District","=""0890011""","Intellectual Disability",22,24.7
"New Britain School District","=""0890011""","Learning Disability",507,84.2
"New Britain School District","=""0890011""","Other Disabilities",20,29.0
"New Britain School District","=""0890011""","Other Health Impairment",274,68.2
"New Britain School District","=""0890011""","Speech Language Impairment",159,91.4
"New Canaan School District","=""0900011""","All Disabilities",290,74.2
"New Canaan School District","=""0900011""","Autism",26,51.0
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability",0,0
"New Canaan School District","=""0900011""","Learning Disability",111,86.0
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",62,74.7
"New Canaan School District","=""0900011""","Speech Language Impairment",81,87.1
"New Fairfield School District","=""0910011""","All Disabilities",182,85.4
"New Fairfield School District","=""0910011""","Autism",14,63.6
"New Fairfield School District","=""0910011""","Emotional Disturbance","*","*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",67,95.7
"New Fairfield School District","=""0910011""","Other Disabilities","*","*"
"New Fairfield School District","=""0910011""","Other Health Impairment",57,96.6
"New Fairfield School District","=""0910011""","Speech Language Impairment",31,93.9
"New Hartford School District","=""0920011""","All Disabilities",43,86.0
"New Hartford School District","=""0920011""","Autism","*","*"
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Intellectual Disability",0,0
"New Hartford School District","=""0920011""","Learning Disability",22,95.7
"New Hartford School District","=""0920011""","Other Disabilities",0,0
"New Hartford School District","=""0920011""","Other Health Impairment",8,"*"
"New Hartford School District","=""0920011""","Speech Language Impairment",8,"*"
"New Haven School District","=""0930011""","All Disabilities",1750,66.4
"New Haven School District","=""0930011""","Autism",92,35.2
"New Haven School District","=""0930011""","Emotional Disturbance",98,36.6
"New Haven School District","=""0930011""","Intellectual Disability",67,37.9
"New Haven School District","=""0930011""","Learning Disability",858,82.3
"New Haven School District","=""0930011""","Other Disabilities",28,21.1
"New Haven School District","=""0930011""","Other Health Impairment",423,76.4
"New Haven School District","=""0930011""","Speech Language Impairment",184,91.5
"New London School District","=""0950011""","All Disabilities",338,54.0
"New London School District","=""0950011""","Autism",28,38.4
"New London School District","=""0950011""","Emotional Disturbance",25,32.9
"New London School District","=""0950011""","Intellectual Disability",11,32.4
"New London School District","=""0950011""","Learning Disability",139,66.2
"New London School District","=""0950011""","Other Disabilities",6,26.1
"New London School District","=""0950011""","Other Health Impairment",72,51.4
"New London School District","=""0950011""","Speech Language Impairment",57,81.4
"New Milford School District","=""0960011""","All Disabilities",312,58.8
"New Milford School District","=""0960011""","Autism",41,53.9
"New Milford School District","=""0960011""","Emotional Disturbance",25,53.2
"New Milford School District","=""0960011""","Intellectual Disability",7,"*"
"New Milford School District","=""0960011""","Learning Disability",104,60.5
"New Milford School District","=""0960011""","Other Disabilities",6,14.0
"New Milford School District","=""0960011""","Other Health Impairment",101,74.3
"New Milford School District","=""0960011""","Speech Language Impairment",28,63.6
"Newington School District","=""0940011""","All Disabilities",343,70.7
"Newington School District","=""0940011""","Autism",37,66.1
"Newington School District","=""0940011""","Emotional Disturbance",15,45.5
"Newington School District","=""0940011""","Intellectual Disability",6,"*"
"Newington School District","=""0940011""","Learning Disability",179,76.8
"Newington School District","=""0940011""","Other Disabilities",11,40.7
"Newington School District","=""0940011""","Other Health Impairment",54,73.0
"Newington School District","=""0940011""","Speech Language Impairment",41,93.2
"Newtown School District","=""0970011""","All Disabilities",331,74.7
"Newtown School District","=""0970011""","Autism",52,57.1
"Newtown School District","=""0970011""","Emotional Disturbance",22,57.9
"Newtown School District","=""0970011""","Intellectual Disability","*","*"
"Newtown School District","=""0970011""","Learning Disability",113,89.7
"Newtown School District","=""0970011""","Other Disabilities","*","*"
"Newtown School District","=""0970011""","Other Health Impairment",85,85.0
"Newtown School District","=""0970011""","Speech Language Impairment",52,91.2
"Norfolk School District","=""0980011""","All Disabilities",12,"*"
"Norfolk School District","=""0980011""","Learning Disability",6,"*"
"Norfolk School District","=""0980011""","Other Health Impairment",0,"*"
"Norfolk School District","=""0980011""","Speech Language Impairment",6,"*"
"North Branford School District","=""0990011""","All Disabilities",232,85.6
"North Branford School District","=""0990011""","Autism",13,"*"
"North Branford School District","=""0990011""","Emotional Disturbance",16,66.7
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",103,99.0
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",55,94.8
"North Branford School District","=""0990011""","Speech Language Impairment",39,90.7
"North Canaan School District","=""1000011""","All Disabilities",16,44.4
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance",0,0
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability",8,"*"
"North Canaan School District","=""1000011""","Other Disabilities",0,0
"North Canaan School District","=""1000011""","Other Health Impairment","*","*"
"North Canaan School District","=""1000011""","Speech Language Impairment","*","*"
"North Haven School District","=""1010011""","All Disabilities",235,67.1
"North Haven School District","=""1010011""","Autism",24,49.0
"North Haven School District","=""1010011""","Emotional Disturbance",21,48.8
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",111,86.0
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",41,68.3
"North Haven School District","=""1010011""","Speech Language Impairment",28,87.5
"North Stonington School District","=""1020011""","All Disabilities",52,88.1
"North Stonington School District","=""1020011""","Autism",6,"*"
"North Stonington School District","=""1020011""","Emotional Disturbance","*","*"
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",16,"*"
"North Stonington School District","=""1020011""","Other Disabilities","*","*"
"North Stonington School District","=""1020011""","Other Health Impairment",16,"*"
"North Stonington School District","=""1020011""","Speech Language Impairment",10,"*"
"Norwalk School District","=""1030011""","All Disabilities",984,73.9
"Norwalk School District","=""1030011""","Autism",66,48.5
"Norwalk School District","=""1030011""","Emotional Disturbance",34,42.5
"Norwalk School District","=""1030011""","Intellectual Disability",8,20.0
"Norwalk School District","=""1030011""","Learning Disability",463,88.0
"Norwalk School District","=""1030011""","Other Disabilities",34,42.0
"Norwalk School District","=""1030011""","Other Health Impairment",184,71.3
"Norwalk School District","=""1030011""","Speech Language Impairment",195,92.4
"Norwich School District","=""1040011""","All Disabilities",487,59.5
"Norwich School District","=""1040011""","Autism",35,36.1
"Norwich School District","=""1040011""","Emotional Disturbance",35,33.7
"Norwich School District","=""1040011""","Intellectual Disability",11,28.9
"Norwich School District","=""1040011""","Learning Disability",189,74.1
"Norwich School District","=""1040011""","Other Disabilities",10,24.4
"Norwich School District","=""1040011""","Other Health Impairment",116,65.5
"Norwich School District","=""1040011""","Speech Language Impairment",91,85.0
"Old Saybrook School District","=""1060011""","All Disabilities",133,76.9
"Old Saybrook School District","=""1060011""","Autism",22,62.9
"Old Saybrook School District","=""1060011""","Emotional Disturbance","*","*"
"Old Saybrook School District","=""1060011""","Intellectual Disability",0,0
"Old Saybrook School District","=""1060011""","Learning Disability",38,100.0
"Old Saybrook School District","=""1060011""","Other Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",41,91.1
"Old Saybrook School District","=""1060011""","Speech Language Impairment",23,88.5
"Orange School District","=""1070011""","All Disabilities",52,58.4
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Emotional Disturbance","*","*"
"Orange School District","=""1070011""","Intellectual Disability",0,0
"Orange School District","=""1070011""","Learning Disability",20,62.5
"Orange School District","=""1070011""","Other Disabilities","*","*"
"Orange School District","=""1070011""","Other Health Impairment",8,"*"
"Orange School District","=""1070011""","Speech Language Impairment",21,77.8
"Oxford School District","=""1080011""","All Disabilities",144,61.0
"Oxford School District","=""1080011""","Autism",12,40.0
"Oxford School District","=""1080011""","Emotional Disturbance",6,"*"
"Oxford School District","=""1080011""","Intellectual Disability",0,0
"Oxford School District","=""1080011""","Learning Disability",48,67.6
"Oxford School District","=""1080011""","Other Disabilities",0,0
"Oxford School District","=""1080011""","Other Health Impairment",47,74.6
"Oxford School District","=""1080011""","Speech Language Impairment",31,70.5
"Plainfield School District","=""1090011""","All Disabilities",189,67.0
"Plainfield School District","=""1090011""","Autism",17,47.2
"Plainfield School District","=""1090011""","Emotional Disturbance",13,34.2
"Plainfield School District","=""1090011""","Intellectual Disability","*","*"
"Plainfield School District","=""1090011""","Learning Disability",74,81.3
"Plainfield School District","=""1090011""","Other Disabilities","*","*"
"Plainfield School District","=""1090011""","Other Health Impairment",48,77.4
"Plainfield School District","=""1090011""","Speech Language Impairment",24,100.0
"Plainville School District","=""1100011""","All Disabilities",219,77.1
"Plainville School District","=""1100011""","Autism",29,76.3
"Plainville School District","=""1100011""","Emotional Disturbance","*","*"
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",61,91.0
"Plainville School District","=""1100011""","Other Disabilities",14,48.3
"Plainville School District","=""1100011""","Other Health Impairment",65,85.5
"Plainville School District","=""1100011""","Speech Language Impairment",35,92.1
"Plymouth School District","=""1110011""","All Disabilities",163,73.4
"Plymouth School District","=""1110011""","Autism","*","*"
"Plymouth School District","=""1110011""","Emotional Disturbance",19,73.1
"Plymouth School District","=""1110011""","Intellectual Disability",0,0
"Plymouth School District","=""1110011""","Learning Disability",49,90.7
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",53,81.5
"Plymouth School District","=""1110011""","Speech Language Impairment",30,100.0
"Pomfret School District","=""1120011""","All Disabilities",43,70.5
"Pomfret School District","=""1120011""","Autism",8,"*"
"Pomfret School District","=""1120011""","Emotional Disturbance","*","*"
"Pomfret School District","=""1120011""","Intellectual Disability","*","*"
"Pomfret School District","=""1120011""","Learning Disability",14,"*"
"Pomfret School District","=""1120011""","Other Disabilities",0,0
"Pomfret School District","=""1120011""","Other Health Impairment",9,"*"
"Pomfret School District","=""1120011""","Speech Language Impairment",7,"*"
"Portland School District","=""1130011""","All Disabilities",106,80.9
"Portland School District","=""1130011""","Autism",9,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Intellectual Disability","*","*"
"Portland School District","=""1130011""","Learning Disability",60,92.3
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",16,76.2
"Portland School District","=""1130011""","Speech Language Impairment",16,"*"
"Preston School District","=""1140011""","All Disabilities",63,65.6
"Preston School District","=""1140011""","Autism",6,"*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability","*","*"
"Preston School District","=""1140011""","Learning Disability",12,"*"
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",15,68.2
"Preston School District","=""1140011""","Speech Language Impairment",25,80.6
"Putnam School District","=""1160011""","All Disabilities",124,68.9
"Putnam School District","=""1160011""","Autism",8,32.0
"Putnam School District","=""1160011""","Emotional Disturbance",9,"*"
"Putnam School District","=""1160011""","Intellectual Disability","*","*"
"Putnam School District","=""1160011""","Learning Disability",60,84.5
"Putnam School District","=""1160011""","Other Disabilities","*","*"
"Putnam School District","=""1160011""","Other Health Impairment",18,78.3
"Putnam School District","=""1160011""","Speech Language Impairment",20,95.2
"Redding School District","=""1170011""","All Disabilities",95,84.1
"Redding School District","=""1170011""","Autism","*","*"
"Redding School District","=""1170011""","Emotional Disturbance","*","*"
"Redding School District","=""1170011""","Learning Disability",25,83.3
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",28,93.3
"Redding School District","=""1170011""","Speech Language Impairment",36,92.3
"Regional School District 01","=""2010012""","All Disabilities",45,64.3
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance","*","*"
"Regional School District 01","=""2010012""","Intellectual Disability",0,0
"Regional School District 01","=""2010012""","Learning Disability",30,78.9
"Regional School District 01","=""2010012""","Other Disabilities","*","*"
"Regional School District 01","=""2010012""","Other Health Impairment","*","*"
"Regional School District 01","=""2010012""","Speech Language Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",100,69.9
"Regional School District 04","=""2040012""","Autism",16,59.3
"Regional School District 04","=""2040012""","Emotional Disturbance",11,"*"
"Regional School District 04","=""2040012""","Intellectual Disability","*","*"
"Regional School District 04","=""2040012""","Learning Disability",37,75.5
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",26,76.5
"Regional School District 04","=""2040012""","Speech Language Impairment",7,"*"
"Regional School District 05","=""2050012""","All Disabilities",189,68.2
"Regional School District 05","=""2050012""","Autism",12,30.0
"Regional School District 05","=""2050012""","Emotional Disturbance",20,74.1
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",77,88.5
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",51,85.0
"Regional School District 05","=""2050012""","Speech Language Impairment",25,65.8
"Regional School District 06","=""2060012""","All Disabilities",81,71.7
"Regional School District 06","=""2060012""","Autism",6,"*"
"Regional School District 06","=""2060012""","Emotional Disturbance","*","*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",44,88.0
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",12,60.0
"Regional School District 06","=""2060012""","Speech Language Impairment",11,"*"
"Regional School District 07","=""2070012""","All Disabilities",84,70.0
"Regional School District 07","=""2070012""","Autism",7,"*"
"Regional School District 07","=""2070012""","Emotional Disturbance","*","*"
"Regional School District 07","=""2070012""","Intellectual Disability",7,"*"
"Regional School District 07","=""2070012""","Learning Disability",40,83.3
"Regional School District 07","=""2070012""","Other Disabilities","*","*"
"Regional School District 07","=""2070012""","Other Health Impairment",16,80.0
"Regional School District 07","=""2070012""","Speech Language Impairment",6,"*"
"Regional School District 08","=""2080012""","All Disabilities",122,60.4
"Regional School District 08","=""2080012""","Autism",9,42.9
"Regional School District 08","=""2080012""","Emotional Disturbance","*","*"
"Regional School District 08","=""2080012""","Intellectual Disability","*","*"
"Regional School District 08","=""2080012""","Learning Disability",54,70.1
"Regional School District 08","=""2080012""","Other Disabilities","*","*"
"Regional School District 08","=""2080012""","Other Health Impairment",45,73.8
"Regional School District 08","=""2080012""","Speech Language Impairment","*","*"
"Regional School District 09","=""2090012""","All Disabilities",81,62.3
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance","*","*"
"Regional School District 09","=""2090012""","Intellectual Disability",0,0
"Regional School District 09","=""2090012""","Learning Disability",37,80.4
"Regional School District 09","=""2090012""","Other Disabilities",0,0
"Regional School District 09","=""2090012""","Other Health Impairment",28,71.8
"Regional School District 09","=""2090012""","Speech Language Impairment",8,"*"
"Regional School District 10","=""2100012""","All Disabilities",181,76.7
"Regional School District 10","=""2100012""","Autism",21,50.0
"Regional School District 10","=""2100012""","Emotional Disturbance",9,"*"
"Regional School District 10","=""2100012""","Intellectual Disability","*","*"
"Regional School District 10","=""2100012""","Learning Disability",84,93.3
"Regional School District 10","=""2100012""","Other Disabilities","*","*"
"Regional School District 10","=""2100012""","Other Health Impairment",41,89.1
"Regional School District 10","=""2100012""","Speech Language Impairment",19,90.5
"Regional School District 11","=""2110012""","All Disabilities",41,67.2
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance","*","*"
"Regional School District 11","=""2110012""","Intellectual Disability",0,0
"Regional School District 11","=""2110012""","Learning Disability",14,"*"
"Regional School District 11","=""2110012""","Other Disabilities","*","*"
"Regional School District 11","=""2110012""","Other Health Impairment",15,"*"
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",72,67.3
"Regional School District 12","=""2120012""","Autism","*","*"
"Regional School District 12","=""2120012""","Emotional Disturbance","*","*"
"Regional School District 12","=""2120012""","Intellectual Disability",0,0
"Regional School District 12","=""2120012""","Learning Disability",32,76.2
"Regional School District 12","=""2120012""","Other Disabilities",0,0
"Regional School District 12","=""2120012""","Other Health Impairment",20,74.1
"Regional School District 12","=""2120012""","Speech Language Impairment",10,"*"
"Regional School District 13","=""2130012""","All Disabilities",193,80.1
"Regional School District 13","=""2130012""","Autism",24,63.2
"Regional School District 13","=""2130012""","Emotional Disturbance",6,"*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",80,90.9
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",42,85.7
"Regional School District 13","=""2130012""","Speech Language Impairment",38,92.7
"Regional School District 14","=""2140012""","All Disabilities",118,73.8
"Regional School District 14","=""2140012""","Autism",10,41.7
"Regional School District 14","=""2140012""","Emotional Disturbance",6,"*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",61,87.1
"Regional School District 14","=""2140012""","Other Disabilities","*","*"
"Regional School District 14","=""2140012""","Other Health Impairment",27,84.4
"Regional School District 14","=""2140012""","Speech Language Impairment",11,"*"
"Regional School District 15","=""2150012""","All Disabilities",320,66.5
"Regional School District 15","=""2150012""","Autism",40,48.2
"Regional School District 15","=""2150012""","Emotional Disturbance","*","*"
"Regional School District 15","=""2150012""","Intellectual Disability",0,0
"Regional School District 15","=""2150012""","Learning Disability",148,79.6
"Regional School District 15","=""2150012""","Other Disabilities","*","*"
"Regional School District 15","=""2150012""","Other Health Impairment",69,74.2
"Regional School District 15","=""2150012""","Speech Language Impairment",51,77.3
"Regional School District 16","=""2160012""","All Disabilities",216,74.5
"Regional School District 16","=""2160012""","Autism",26,57.8
"Regional School District 16","=""2160012""","Emotional Disturbance","*","*"
"Regional School District 16","=""2160012""","Intellectual Disability","*","*"
"Regional School District 16","=""2160012""","Learning Disability",75,83.3
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",47,72.3
"Regional School District 16","=""2160012""","Speech Language Impairment",58,95.1
"Regional School District 17","=""2170012""","All Disabilities",278,83.5
"Regional School District 17","=""2170012""","Autism",24,64.9
"Regional School District 17","=""2170012""","Emotional Disturbance",19,79.2
"Regional School District 17","=""2170012""","Intellectual Disability","*","*"
"Regional School District 17","=""2170012""","Learning Disability",130,95.6
"Regional School District 17","=""2170012""","Other Disabilities","*","*"
"Regional School District 17","=""2170012""","Other Health Impairment",63,79.7
"Regional School District 17","=""2170012""","Speech Language Impairment",31,100.0
"Regional School District 18","=""2180012""","All Disabilities",111,72.5
"Regional School District 18","=""2180012""","Autism",9,"*"
"Regional School District 18","=""2180012""","Emotional Disturbance","*","*"
"Regional School District 18","=""2180012""","Intellectual Disability","*","*"
"Regional School District 18","=""2180012""","Learning Disability",50,86.2
"Regional School District 18","=""2180012""","Other Disabilities","*","*"
"Regional School District 18","=""2180012""","Other Health Impairment",21,84.0
"Regional School District 18","=""2180012""","Speech Language Impairment",25,100.0
"Regional School District 19","=""2190012""","All Disabilities",90,52.0
"Regional School District 19","=""2190012""","Autism",7,31.8
"Regional School District 19","=""2190012""","Emotional Disturbance",8,32.0
"Regional School District 19","=""2190012""","Intellectual Disability",0,0
"Regional School District 19","=""2190012""","Learning Disability",36,61.0
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",29,67.4
"Regional School District 19","=""2190012""","Speech Language Impairment","*","*"
"Ridgefield School District","=""1180011""","All Disabilities",349,80.4
"Ridgefield School District","=""1180011""","Autism",40,62.5
"Ridgefield School District","=""1180011""","Emotional Disturbance",36,65.5
"Ridgefield School District","=""1180011""","Intellectual Disability","*","*"
"Ridgefield School District","=""1180011""","Learning Disability",155,91.7
"Ridgefield School District","=""1180011""","Other Disabilities","*","*"
