"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Kent School District","=""0680011""","Autism",0,0
"Kent School District","=""0680011""","Intellectual Disability",0,0
"Kent School District","=""0680011""","Learning Disability","*","*"
"Kent School District","=""0680011""","Other Health Impairment","*","*"
"Kent School District","=""0680011""","Speech Language Impairment",11,"*"
"Killingly School District","=""0690011""","All Disabilities",223,69.9
"Killingly School District","=""0690011""","Autism",27,69.2
"Killingly School District","=""0690011""","Emotional Disturbance",11,33.3
"Killingly School District","=""0690011""","Intellectual Disability","*","*"
"Killingly School District","=""0690011""","Learning Disability",65,91.5
"Killingly School District","=""0690011""","Other Disabilities","*","*"
"Killingly School District","=""0690011""","Other Health Impairment",48,70.6
"Killingly School District","=""0690011""","Speech Language Impairment",61,93.8
"Lebanon School District","=""0710011""","All Disabilities",62,45.3
"Lebanon School District","=""0710011""","Autism","*","*"
"Lebanon School District","=""0710011""","Emotional Disturbance",6,"*"
"Lebanon School District","=""0710011""","Intellectual Disability",0,0
"Lebanon School District","=""0710011""","Learning Disability",20,42.6
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",11,42.3
"Lebanon School District","=""0710011""","Speech Language Impairment",19,76.0
"Ledyard School District","=""0720011""","All Disabilities",230,75.4
"Ledyard School District","=""0720011""","Autism",31,62.0
"Ledyard School District","=""0720011""","Emotional Disturbance",13,52.0
"Ledyard School District","=""0720011""","Intellectual Disability",8,"*"
"Ledyard School District","=""0720011""","Learning Disability",71,85.5
"Ledyard School District","=""0720011""","Other Disabilities",17,53.1
"Ledyard School District","=""0720011""","Other Health Impairment",56,86.2
"Ledyard School District","=""0720011""","Speech Language Impairment",34,87.2
"Lisbon School District","=""0730011""","All Disabilities",67,90.5
"Lisbon School District","=""0730011""","Autism",9,"*"
"Lisbon School District","=""0730011""","Emotional Disturbance","*","*"
"Lisbon School District","=""0730011""","Intellectual Disability","*","*"
"Lisbon School District","=""0730011""","Learning Disability",20,90.9
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment","*","*"
"Lisbon School District","=""0730011""","Speech Language Impairment",24,96.0
"Litchfield School District","=""0740011""","All Disabilities",94,83.2
"Litchfield School District","=""0740011""","Autism","*","*"
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Intellectual Disability","*","*"
"Litchfield School District","=""0740011""","Learning Disability",34,82.9
"Litchfield School District","=""0740011""","Other Disabilities","*","*"
"Litchfield School District","=""0740011""","Other Health Impairment",20,87.0
"Litchfield School District","=""0740011""","Speech Language Impairment",30,93.8
"Madison School District","=""0760011""","All Disabilities",301,83.8
"Madison School District","=""0760011""","Autism",28,71.8
"Madison School District","=""0760011""","Emotional Disturbance",14,56.0
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",136,90.1
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",86,93.5
"Madison School District","=""0760011""","Speech Language Impairment",28,100.0
"Manchester School District","=""0770011""","All Disabilities",613,68.4
"Manchester School District","=""0770011""","Autism",26,40.0
"Manchester School District","=""0770011""","Emotional Disturbance",40,37.0
"Manchester School District","=""0770011""","Intellectual Disability",13,56.5
"Manchester School District","=""0770011""","Learning Disability",248,84.1
"Manchester School District","=""0770011""","Other Disabilities",14,21.9
"Manchester School District","=""0770011""","Other Health Impairment",111,72.5
"Manchester School District","=""0770011""","Speech Language Impairment",161,85.6
"Mansfield School District","=""0780011""","All Disabilities",103,75.2
"Mansfield School District","=""0780011""","Autism",8,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance","*","*"
"Mansfield School District","=""0780011""","Intellectual Disability","*","*"
"Mansfield School District","=""0780011""","Learning Disability",43,74.1
"Mansfield School District","=""0780011""","Other Disabilities",7,"*"
"Mansfield School District","=""0780011""","Other Health Impairment",19,79.2
"Mansfield School District","=""0780011""","Speech Language Impairment",22,91.7
"Marlborough School District","=""0790011""","All Disabilities",30,90.9
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance","*","*"
"Marlborough School District","=""0790011""","Intellectual Disability","*","*"
"Marlborough School District","=""0790011""","Learning Disability",15,"*"
"Marlborough School District","=""0790011""","Other Disabilities","*","*"
"Marlborough School District","=""0790011""","Other Health Impairment","*","*"
"Marlborough School District","=""0790011""","Speech Language Impairment","*","*"
"Meriden School District","=""0800011""","All Disabilities",755,67.4
"Meriden School District","=""0800011""","Autism",37,43.5
"Meriden School District","=""0800011""","Emotional Disturbance",38,27.9
"Meriden School District","=""0800011""","Intellectual Disability",29,45.3
"Meriden School District","=""0800011""","Learning Disability",328,88.9
"Meriden School District","=""0800011""","Other Disabilities",22,24.4
"Meriden School District","=""0800011""","Other Health Impairment",153,71.2
"Meriden School District","=""0800011""","Speech Language Impairment",148,91.9
"Middletown School District","=""0830011""","All Disabilities",441,77.5
"Middletown School District","=""0830011""","Autism",13,28.3
"Middletown School District","=""0830011""","Emotional Disturbance",32,50.0
"Middletown School District","=""0830011""","Intellectual Disability",18,51.4
"Middletown School District","=""0830011""","Learning Disability",163,95.9
"Middletown School District","=""0830011""","Other Disabilities",21,52.5
"Middletown School District","=""0830011""","Other Health Impairment",96,90.6
"Middletown School District","=""0830011""","Speech Language Impairment",98,90.7
"Milford School District","=""0840011""","All Disabilities",640,78.5
"Milford School District","=""0840011""","Autism",33,39.8
"Milford School District","=""0840011""","Emotional Disturbance",60,68.2
"Milford School District","=""0840011""","Intellectual Disability",14,70.0
"Milford School District","=""0840011""","Learning Disability",130,89.0
"Milford School District","=""0840011""","Other Disabilities",23,47.9
"Milford School District","=""0840011""","Other Health Impairment",170,87.2
"Milford School District","=""0840011""","Speech Language Impairment",210,89.4
"Monroe School District","=""0850011""","All Disabilities",250,76.7
"Monroe School District","=""0850011""","Autism",19,70.4
"Monroe School District","=""0850011""","Emotional Disturbance","*","*"
"Monroe School District","=""0850011""","Intellectual Disability","*","*"
"Monroe School District","=""0850011""","Learning Disability",100,76.3
"Monroe School District","=""0850011""","Other Disabilities",6,"*"
"Monroe School District","=""0850011""","Other Health Impairment",64,87.7
"Monroe School District","=""0850011""","Speech Language Impairment",51,94.4
"Montville School District","=""0860011""","All Disabilities",194,74.0
"Montville School District","=""0860011""","Autism","*","*"
"Montville School District","=""0860011""","Emotional Disturbance",13,41.9
"Montville School District","=""0860011""","Intellectual Disability",13,"*"
"Montville School District","=""0860011""","Learning Disability",62,88.6
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",39,79.6
"Montville School District","=""0860011""","Speech Language Impairment",50,89.3
"Naugatuck School District","=""0880011""","All Disabilities",361,71.8
"Naugatuck School District","=""0880011""","Autism",16,40.0
"Naugatuck School District","=""0880011""","Emotional Disturbance",10,35.7
"Naugatuck School District","=""0880011""","Intellectual Disability",20,83.3
"Naugatuck School District","=""0880011""","Learning Disability",148,80.4
"Naugatuck School District","=""0880011""","Other Disabilities",6,26.1
"Naugatuck School District","=""0880011""","Other Health Impairment",80,73.4
"Naugatuck School District","=""0880011""","Speech Language Impairment",81,85.3
"New Britain School District","=""0890011""","All Disabilities",891,65.8
"New Britain School District","=""0890011""","Autism",61,56.5
"New Britain School District","=""0890011""","Emotional Disturbance",21,17.8
"New Britain School District","=""0890011""","Intellectual Disability",44,46.3
"New Britain School District","=""0890011""","Learning Disability",394,83.3
"New Britain School District","=""0890011""","Other Disabilities",17,28.3
"New Britain School District","=""0890011""","Other Health Impairment",179,56.8
"New Britain School District","=""0890011""","Speech Language Impairment",175,94.6
"New Canaan School District","=""0900011""","All Disabilities",309,77.1
"New Canaan School District","=""0900011""","Autism",20,52.6
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability","*","*"
"New Canaan School District","=""0900011""","Learning Disability",104,86.7
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",64,77.1
"New Canaan School District","=""0900011""","Speech Language Impairment",113,88.3
"New Fairfield School District","=""0910011""","All Disabilities",217,77.0
"New Fairfield School District","=""0910011""","Autism",14,"*"
"New Fairfield School District","=""0910011""","Emotional Disturbance",14,"*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",84,77.8
"New Fairfield School District","=""0910011""","Other Disabilities","*","*"
"New Fairfield School District","=""0910011""","Other Health Impairment",51,81.0
"New Fairfield School District","=""0910011""","Speech Language Impairment",43,86.0
"New Hartford School District","=""0920011""","All Disabilities",37,69.8
"New Hartford School District","=""0920011""","Autism","*","*"
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Learning Disability",7,"*"
"New Hartford School District","=""0920011""","Other Disabilities","*","*"
"New Hartford School District","=""0920011""","Other Health Impairment","*","*"
"New Hartford School District","=""0920011""","Speech Language Impairment",19,76.0
"New Haven School District","=""0930011""","All Disabilities",1619,80.5
"New Haven School District","=""0930011""","Autism",94,57.7
"New Haven School District","=""0930011""","Emotional Disturbance",139,56.3
"New Haven School District","=""0930011""","Intellectual Disability",92,69.7
"New Haven School District","=""0930011""","Learning Disability",646,94.2
"New Haven School District","=""0930011""","Other Disabilities",53,47.3
"New Haven School District","=""0930011""","Other Health Impairment",339,88.3
"New Haven School District","=""0930011""","Speech Language Impairment",256,89.2
"New London School District","=""0950011""","All Disabilities",340,62.6
"New London School District","=""0950011""","Autism",26,55.3
"New London School District","=""0950011""","Emotional Disturbance",17,33.3
"New London School District","=""0950011""","Intellectual Disability","*","*"
"New London School District","=""0950011""","Learning Disability",117,74.1
"New London School District","=""0950011""","Other Disabilities","*","*"
"New London School District","=""0950011""","Other Health Impairment",85,62.5
"New London School District","=""0950011""","Speech Language Impairment",80,83.3
"New Milford School District","=""0960011""","All Disabilities",392,63.6
"New Milford School District","=""0960011""","Autism",39,54.2
"New Milford School District","=""0960011""","Emotional Disturbance",27,50.0
"New Milford School District","=""0960011""","Intellectual Disability",6,"*"
"New Milford School District","=""0960011""","Learning Disability",135,70.7
"New Milford School District","=""0960011""","Other Disabilities",13,37.1
"New Milford School District","=""0960011""","Other Health Impairment",98,71.0
"New Milford School District","=""0960011""","Speech Language Impairment",74,66.1
"Newington School District","=""0940011""","All Disabilities",367,77.1
"Newington School District","=""0940011""","Autism",29,63.0
"Newington School District","=""0940011""","Emotional Disturbance","*","*"
"Newington School District","=""0940011""","Intellectual Disability","*","*"
"Newington School District","=""0940011""","Learning Disability",196,88.3
"Newington School District","=""0940011""","Other Disabilities",14,43.8
"Newington School District","=""0940011""","Other Health Impairment",45,76.3
"Newington School District","=""0940011""","Speech Language Impairment",69,98.6
"Newtown School District","=""0970011""","All Disabilities",342,84.0
"Newtown School District","=""0970011""","Autism",53,69.7
"Newtown School District","=""0970011""","Emotional Disturbance",19,90.5
"Newtown School District","=""0970011""","Intellectual Disability",10,"*"
"Newtown School District","=""0970011""","Learning Disability",122,91.7
"Newtown School District","=""0970011""","Other Disabilities",11,47.8
"Newtown School District","=""0970011""","Other Health Impairment",63,91.3
"Newtown School District","=""0970011""","Speech Language Impairment",64,90.1
"Norfolk School District","=""0980011""","All Disabilities",9,"*"
"Norfolk School District","=""0980011""","Autism","*","*"
"Norfolk School District","=""0980011""","Learning Disability","*","*"
"Norfolk School District","=""0980011""","Other Health Impairment","*","*"
"Norfolk School District","=""0980011""","Speech Language Impairment","*","*"
"North Branford School District","=""0990011""","All Disabilities",261,89.4
"North Branford School District","=""0990011""","Autism",15,"*"
"North Branford School District","=""0990011""","Emotional Disturbance",22,88.0
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",83,93.3
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",47,100.0
"North Branford School District","=""0990011""","Speech Language Impairment",86,92.5
"North Canaan School District","=""1000011""","All Disabilities",24,77.4
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance","*","*"
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability","*","*"
"North Canaan School District","=""1000011""","Other Health Impairment","*","*"
"North Canaan School District","=""1000011""","Speech Language Impairment",12,"*"
"North Haven School District","=""1010011""","All Disabilities",278,76.0
"North Haven School District","=""1010011""","Autism",27,55.1
"North Haven School District","=""1010011""","Emotional Disturbance",25,56.8
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",90,89.1
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",60,89.6
"North Haven School District","=""1010011""","Speech Language Impairment",65,90.3
"North Stonington School District","=""1020011""","All Disabilities",63,95.5
"North Stonington School District","=""1020011""","Autism","*","*"
"North Stonington School District","=""1020011""","Emotional Disturbance","*","*"
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",25,100.0
"North Stonington School District","=""1020011""","Other Disabilities","*","*"
"North Stonington School District","=""1020011""","Other Health Impairment",19,95.0
"North Stonington School District","=""1020011""","Speech Language Impairment",11,"*"
"Norwalk School District","=""1030011""","All Disabilities",873,81.1
"Norwalk School District","=""1030011""","Autism",47,50.5
"Norwalk School District","=""1030011""","Emotional Disturbance",16,48.5
"Norwalk School District","=""1030011""","Intellectual Disability",23,71.9
"Norwalk School District","=""1030011""","Learning Disability",418,90.3
"Norwalk School District","=""1030011""","Other Disabilities",34,55.7
"Norwalk School District","=""1030011""","Other Health Impairment",131,73.2
"Norwalk School District","=""1030011""","Speech Language Impairment",204,94.9
"Norwich School District","=""1040011""","All Disabilities",330,41.3
"Norwich School District","=""1040011""","Autism",9,23.7
"Norwich School District","=""1040011""","Emotional Disturbance",30,24.2
"Norwich School District","=""1040011""","Intellectual Disability",18,40.9
"Norwich School District","=""1040011""","Learning Disability",107,40.1
"Norwich School District","=""1040011""","Other Disabilities",11,15.3
"Norwich School District","=""1040011""","Other Health Impairment",72,47.4
"Norwich School District","=""1040011""","Speech Language Impairment",83,80.6
"Old Saybrook School District","=""1060011""","All Disabilities",126,79.2
"Old Saybrook School District","=""1060011""","Autism",14,70.0
"Old Saybrook School District","=""1060011""","Emotional Disturbance","*","*"
"Old Saybrook School District","=""1060011""","Intellectual Disability",6,"*"
"Old Saybrook School District","=""1060011""","Learning Disability",36,94.7
"Old Saybrook School District","=""1060011""","Other Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",31,68.9
"Old Saybrook School District","=""1060011""","Speech Language Impairment",29,96.7
"Orange School District","=""1070011""","All Disabilities",85,72.0
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Emotional Disturbance","*","*"
"Orange School District","=""1070011""","Learning Disability",36,81.8
"Orange School District","=""1070011""","Other Disabilities","*","*"
"Orange School District","=""1070011""","Other Health Impairment",8,"*"
"Orange School District","=""1070011""","Speech Language Impairment",31,79.5
"Oxford School District","=""1080011""","All Disabilities",103,80.5
"Oxford School District","=""1080011""","Autism",11,"*"
"Oxford School District","=""1080011""","Emotional Disturbance","*","*"
"Oxford School District","=""1080011""","Intellectual Disability","*","*"
"Oxford School District","=""1080011""","Learning Disability",48,88.9
"Oxford School District","=""1080011""","Other Disabilities","*","*"
"Oxford School District","=""1080011""","Other Health Impairment",18,90.0
"Oxford School District","=""1080011""","Speech Language Impairment",18,90.0
"Plainfield School District","=""1090011""","All Disabilities",188,69.6
"Plainfield School District","=""1090011""","Autism",21,55.3
"Plainfield School District","=""1090011""","Emotional Disturbance",11,33.3
"Plainfield School District","=""1090011""","Intellectual Disability",11,"*"
"Plainfield School District","=""1090011""","Learning Disability",63,84.0
"Plainfield School District","=""1090011""","Other Disabilities",13,56.5
"Plainfield School District","=""1090011""","Other Health Impairment",43,75.4
"Plainfield School District","=""1090011""","Speech Language Impairment",26,89.7
"Plainville School District","=""1100011""","All Disabilities",231,77.3
"Plainville School District","=""1100011""","Autism",12,60.0
"Plainville School District","=""1100011""","Emotional Disturbance",19,57.6
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",91,94.8
"Plainville School District","=""1100011""","Other Disabilities","*","*"
"Plainville School District","=""1100011""","Other Health Impairment",59,78.7
"Plainville School District","=""1100011""","Speech Language Impairment",43,95.6
"Plymouth School District","=""1110011""","All Disabilities",163,73.1
"Plymouth School District","=""1110011""","Autism",9,39.1
"Plymouth School District","=""1110011""","Emotional Disturbance",9,27.3
"Plymouth School District","=""1110011""","Intellectual Disability","*","*"
"Plymouth School District","=""1110011""","Learning Disability",57,91.9
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",50,87.7
"Plymouth School District","=""1110011""","Speech Language Impairment",30,100.0
"Pomfret School District","=""1120011""","All Disabilities",62,81.6
"Pomfret School District","=""1120011""","Autism",6,"*"
"Pomfret School District","=""1120011""","Emotional Disturbance","*","*"
"Pomfret School District","=""1120011""","Intellectual Disability","*","*"
"Pomfret School District","=""1120011""","Learning Disability",27,87.1
"Pomfret School District","=""1120011""","Other Disabilities","*","*"
"Pomfret School District","=""1120011""","Other Health Impairment","*","*"
"Pomfret School District","=""1120011""","Speech Language Impairment",19,"*"
"Portland School District","=""1130011""","All Disabilities",80,84.2
"Portland School District","=""1130011""","Autism",10,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Intellectual Disability","*","*"
"Portland School District","=""1130011""","Learning Disability",23,85.2
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",19,90.5
"Portland School District","=""1130011""","Speech Language Impairment",18,"*"
"Preston School District","=""1140011""","All Disabilities",68,65.4
"Preston School District","=""1140011""","Autism",10,"*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability",0,0
"Preston School District","=""1140011""","Learning Disability",11,55.0
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",14,70.0
"Preston School District","=""1140011""","Speech Language Impairment",26,96.3
"Putnam School District","=""1160011""","All Disabilities",126,72.4
"Putnam School District","=""1160011""","Autism",13,56.5
"Putnam School District","=""1160011""","Emotional Disturbance",7,"*"
"Putnam School District","=""1160011""","Intellectual Disability","*","*"
"Putnam School District","=""1160011""","Learning Disability",44,78.6
"Putnam School District","=""1160011""","Other Disabilities","*","*"
"Putnam School District","=""1160011""","Other Health Impairment",20,87.0
"Putnam School District","=""1160011""","Speech Language Impairment",35,94.6
"Redding School District","=""1170011""","All Disabilities",116,85.9
"Redding School District","=""1170011""","Autism",12,"*"
"Redding School District","=""1170011""","Emotional Disturbance","*","*"
"Redding School District","=""1170011""","Intellectual Disability",0,0
"Redding School District","=""1170011""","Learning Disability",33,97.1
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",31,88.6
"Redding School District","=""1170011""","Speech Language Impairment",38,95.0
"Regional School District 01","=""2010012""","All Disabilities",45,66.2
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance",0,0
"Regional School District 01","=""2010012""","Intellectual Disability","*","*"
"Regional School District 01","=""2010012""","Learning Disability",28,84.8
"Regional School District 01","=""2010012""","Other Disabilities","*","*"
"Regional School District 01","=""2010012""","Other Health Impairment",6,"*"
"Regional School District 01","=""2010012""","Speech Language Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",123,91.1
"Regional School District 04","=""2040012""","Autism",12,"*"
"Regional School District 04","=""2040012""","Emotional Disturbance","*","*"
"Regional School District 04","=""2040012""","Intellectual Disability","*","*"
"Regional School District 04","=""2040012""","Learning Disability",63,98.4
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",27,84.4
"Regional School District 04","=""2040012""","Speech Language Impairment",15,"*"
"Regional School District 05","=""2050012""","All Disabilities",244,85.6
"Regional School District 05","=""2050012""","Autism",27,62.8
"Regional School District 05","=""2050012""","Emotional Disturbance",13,"*"
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",99,95.2
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",58,86.6
"Regional School District 05","=""2050012""","Speech Language Impairment",33,100.0
"Regional School District 06","=""2060012""","All Disabilities",80,79.2
"Regional School District 06","=""2060012""","Autism","*","*"
"Regional School District 06","=""2060012""","Emotional Disturbance",6,"*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",37,84.1
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",17,"*"
"Regional School District 06","=""2060012""","Speech Language Impairment",11,"*"
"Regional School District 07","=""2070012""","All Disabilities",69,55.2
"Regional School District 07","=""2070012""","Autism","*","*"
"Regional School District 07","=""2070012""","Emotional Disturbance",11,55.0
"Regional School District 07","=""2070012""","Intellectual Disability","*","*"
"Regional School District 07","=""2070012""","Learning Disability",27,62.8
"Regional School District 07","=""2070012""","Other Disabilities","*","*"
"Regional School District 07","=""2070012""","Other Health Impairment",19,63.3
"Regional School District 07","=""2070012""","Speech Language Impairment","*","*"
"Regional School District 08","=""2080012""","All Disabilities",152,62.8
"Regional School District 08","=""2080012""","Autism","*","*"
"Regional School District 08","=""2080012""","Emotional Disturbance",8,32.0
"Regional School District 08","=""2080012""","Intellectual Disability","*","*"
"Regional School District 08","=""2080012""","Learning Disability",77,78.6
"Regional School District 08","=""2080012""","Other Disabilities","*","*"
"Regional School District 08","=""2080012""","Other Health Impairment",47,63.5
"Regional School District 08","=""2080012""","Speech Language Impairment",9,"*"
"Regional School District 09","=""2090012""","All Disabilities",94,73.4
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance",6,"*"
"Regional School District 09","=""2090012""","Intellectual Disability",0,0
"Regional School District 09","=""2090012""","Learning Disability",27,84.4
"Regional School District 09","=""2090012""","Other Disabilities","*","*"
"Regional School District 09","=""2090012""","Other Health Impairment",42,85.7
"Regional School District 09","=""2090012""","Speech Language Impairment",11,"*"
"Regional School District 10","=""2100012""","All Disabilities",196,83.4
"Regional School District 10","=""2100012""","Autism",22,75.9
"Regional School District 10","=""2100012""","Emotional Disturbance",17,63.0
"Regional School District 10","=""2100012""","Intellectual Disability",6,"*"
"Regional School District 10","=""2100012""","Learning Disability",79,91.9
"Regional School District 10","=""2100012""","Other Disabilities",8,"*"
"Regional School District 10","=""2100012""","Other Health Impairment",31,79.5
"Regional School District 10","=""2100012""","Speech Language Impairment",33,100.0
"Regional School District 11","=""2110012""","All Disabilities",32,51.6
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance",6,"*"
"Regional School District 11","=""2110012""","Learning Disability",11,"*"
"Regional School District 11","=""2110012""","Other Disabilities",0,0
"Regional School District 11","=""2110012""","Other Health Impairment",11,"*"
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",70,59.3
"Regional School District 12","=""2120012""","Autism","*","*"
"Regional School District 12","=""2120012""","Emotional Disturbance","*","*"
"Regional School District 12","=""2120012""","Intellectual Disability","*","*"
"Regional School District 12","=""2120012""","Learning Disability",28,65.1
"Regional School District 12","=""2120012""","Other Disabilities","*","*"
"Regional School District 12","=""2120012""","Other Health Impairment",17,65.4
"Regional School District 12","=""2120012""","Speech Language Impairment",17,65.4
"Regional School District 13","=""2130012""","All Disabilities",225,83.6
"Regional School District 13","=""2130012""","Autism",11,39.3
"Regional School District 13","=""2130012""","Emotional Disturbance",8,"*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",88,92.6
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",53,93.0
"Regional School District 13","=""2130012""","Speech Language Impairment",58,93.5
"Regional School District 14","=""2140012""","All Disabilities",169,76.1
"Regional School District 14","=""2140012""","Autism",11,36.7
"Regional School District 14","=""2140012""","Emotional Disturbance","*","*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",67,88.2
"Regional School District 14","=""2140012""","Other Disabilities","*","*"
"Regional School District 14","=""2140012""","Other Health Impairment",35,77.8
"Regional School District 14","=""2140012""","Speech Language Impairment",48,88.9
"Regional School District 15","=""2150012""","All Disabilities",354,70.0
"Regional School District 15","=""2150012""","Autism",18,42.9
"Regional School District 15","=""2150012""","Emotional Disturbance","*","*"
"Regional School District 15","=""2150012""","Intellectual Disability","*","*"
"Regional School District 15","=""2150012""","Learning Disability",175,78.8
"Regional School District 15","=""2150012""","Other Disabilities",9,28.1
"Regional School District 15","=""2150012""","Other Health Impairment",60,70.6
"Regional School District 15","=""2150012""","Speech Language Impairment",85,82.5
"Regional School District 16","=""2160012""","All Disabilities",144,61.5
"Regional School District 16","=""2160012""","Autism",16,45.7
"Regional School District 16","=""2160012""","Emotional Disturbance",6,"*"
"Regional School District 16","=""2160012""","Intellectual Disability","*","*"
"Regional School District 16","=""2160012""","Learning Disability",26,53.1
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",52,82.5
"Regional School District 16","=""2160012""","Speech Language Impairment",41,87.2
"Regional School District 17","=""2170012""","All Disabilities",231,83.7
"Regional School District 17","=""2170012""","Autism",25,78.1
"Regional School District 17","=""2170012""","Emotional Disturbance",24,88.9
"Regional School District 17","=""2170012""","Intellectual Disability","*","*"
"Regional School District 17","=""2170012""","Learning Disability",89,89.0
"Regional School District 17","=""2170012""","Other Disabilities","*","*"
"Regional School District 17","=""2170012""","Other Health Impairment",47,87.0
"Regional School District 17","=""2170012""","Speech Language Impairment",38,90.5
"Regional School District 18","=""2180012""","All Disabilities",106,77.4
"Regional School District 18","=""2180012""","Autism","*","*"
"Regional School District 18","=""2180012""","Emotional Disturbance","*","*"
"Regional School District 18","=""2180012""","Intellectual Disability",6,"*"
"Regional School District 18","=""2180012""","Learning Disability",49,86.0
"Regional School District 18","=""2180012""","Other Disabilities",6,"*"
"Regional School District 18","=""2180012""","Other Health Impairment",12,"*"
"Regional School District 18","=""2180012""","Speech Language Impairment",27,96.4
"Regional School District 19","=""2190012""","All Disabilities",134,70.9
"Regional School District 19","=""2190012""","Autism","*","*"
"Regional School District 19","=""2190012""","Emotional Disturbance",13,56.5
"Regional School District 19","=""2190012""","Intellectual Disability","*","*"
"Regional School District 19","=""2190012""","Learning Disability",49,76.6
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",44,80.0
"Regional School District 19","=""2190012""","Speech Language Impairment",15,"*"
"Ridgefield School District","=""1180011""","All Disabilities",348,84.5
