"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Kent School District","=""0680011""","Learning Disability",9,"*"
"Kent School District","=""0680011""","Speech Language Impairment","*","*"
"Killingly School District","=""0690011""","All Disabilities",226,62.8
"Killingly School District","=""0690011""","Autism",23,45.1
"Killingly School District","=""0690011""","Emotional Disturbance",9,20.0
"Killingly School District","=""0690011""","Intellectual Disability",7,"*"
"Killingly School District","=""0690011""","Learning Disability",72,86.7
"Killingly School District","=""0690011""","Other Disabilities",7,35.0
"Killingly School District","=""0690011""","Other Health Impairment",54,62.1
"Killingly School District","=""0690011""","Speech Language Impairment",54,96.4
"Lebanon School District","=""0710011""","All Disabilities",83,55.0
"Lebanon School District","=""0710011""","Autism","*","*"
"Lebanon School District","=""0710011""","Emotional Disturbance","*","*"
"Lebanon School District","=""0710011""","Intellectual Disability","*","*"
"Lebanon School District","=""0710011""","Learning Disability",38,60.3
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",18,62.1
"Lebanon School District","=""0710011""","Speech Language Impairment",17,77.3
"Ledyard School District","=""0720011""","All Disabilities",222,69.2
"Ledyard School District","=""0720011""","Autism",25,54.3
"Ledyard School District","=""0720011""","Emotional Disturbance",15,55.6
"Ledyard School District","=""0720011""","Intellectual Disability","*","*"
"Ledyard School District","=""0720011""","Learning Disability",68,73.9
"Ledyard School District","=""0720011""","Other Disabilities","*","*"
"Ledyard School District","=""0720011""","Other Health Impairment",61,81.3
"Ledyard School District","=""0720011""","Speech Language Impairment",38,90.5
"Lisbon School District","=""0730011""","All Disabilities",58,75.3
"Lisbon School District","=""0730011""","Autism",6,"*"
"Lisbon School District","=""0730011""","Emotional Disturbance","*","*"
"Lisbon School District","=""0730011""","Intellectual Disability","*","*"
"Lisbon School District","=""0730011""","Learning Disability",17,"*"
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment",13,"*"
"Lisbon School District","=""0730011""","Speech Language Impairment",19,90.5
"Litchfield School District","=""0740011""","All Disabilities",83,76.1
"Litchfield School District","=""0740011""","Autism","*","*"
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Intellectual Disability","*","*"
"Litchfield School District","=""0740011""","Learning Disability",42,85.7
"Litchfield School District","=""0740011""","Other Disabilities","*","*"
"Litchfield School District","=""0740011""","Other Health Impairment",17,77.3
"Litchfield School District","=""0740011""","Speech Language Impairment",18,90.0
"Madison School District","=""0760011""","All Disabilities",299,84.9
"Madison School District","=""0760011""","Autism",31,66.0
"Madison School District","=""0760011""","Emotional Disturbance",8,"*"
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",139,94.6
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",95,95.0
"Madison School District","=""0760011""","Speech Language Impairment",21,91.3
"Manchester School District","=""0770011""","All Disabilities",632,73.1
"Manchester School District","=""0770011""","Autism",46,48.9
"Manchester School District","=""0770011""","Emotional Disturbance",32,38.6
"Manchester School District","=""0770011""","Intellectual Disability",7,"*"
"Manchester School District","=""0770011""","Learning Disability",249,92.9
"Manchester School District","=""0770011""","Other Disabilities",20,26.3
"Manchester School District","=""0770011""","Other Health Impairment",129,77.7
"Manchester School District","=""0770011""","Speech Language Impairment",149,93.1
"Mansfield School District","=""0780011""","All Disabilities",105,80.8
"Mansfield School District","=""0780011""","Autism",9,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance","*","*"
"Mansfield School District","=""0780011""","Intellectual Disability","*","*"
"Mansfield School District","=""0780011""","Learning Disability",48,90.6
"Mansfield School District","=""0780011""","Other Disabilities","*","*"
"Mansfield School District","=""0780011""","Other Health Impairment",19,86.4
"Mansfield School District","=""0780011""","Speech Language Impairment",19,90.5
"Marlborough School District","=""0790011""","All Disabilities",37,82.2
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance","*","*"
"Marlborough School District","=""0790011""","Learning Disability",26,92.9
"Marlborough School District","=""0790011""","Other Health Impairment","*","*"
"Marlborough School District","=""0790011""","Speech Language Impairment","*","*"
"Meriden School District","=""0800011""","All Disabilities",854,64.8
"Meriden School District","=""0800011""","Autism",54,43.2
"Meriden School District","=""0800011""","Emotional Disturbance",43,27.4
"Meriden School District","=""0800011""","Intellectual Disability",28,50.0
"Meriden School District","=""0800011""","Learning Disability",399,80.0
"Meriden School District","=""0800011""","Other Disabilities",20,26.3
"Meriden School District","=""0800011""","Other Health Impairment",192,68.1
"Meriden School District","=""0800011""","Speech Language Impairment",118,96.7
"Middletown School District","=""0830011""","All Disabilities",426,75.3
"Middletown School District","=""0830011""","Autism",31,48.4
"Middletown School District","=""0830011""","Emotional Disturbance",26,42.6
"Middletown School District","=""0830011""","Intellectual Disability",17,54.8
"Middletown School District","=""0830011""","Learning Disability",143,85.6
"Middletown School District","=""0830011""","Other Disabilities",13,44.8
"Middletown School District","=""0830011""","Other Health Impairment",91,85.8
"Middletown School District","=""0830011""","Speech Language Impairment",105,97.2
"Milford School District","=""0840011""","All Disabilities",546,71.1
"Milford School District","=""0840011""","Autism",38,43.7
"Milford School District","=""0840011""","Emotional Disturbance",25,33.3
"Milford School District","=""0840011""","Intellectual Disability","*","*"
"Milford School District","=""0840011""","Learning Disability",133,85.3
"Milford School District","=""0840011""","Other Disabilities","*","*"
"Milford School District","=""0840011""","Other Health Impairment",162,82.7
"Milford School District","=""0840011""","Speech Language Impairment",164,86.3
"Monroe School District","=""0850011""","All Disabilities",254,73.2
"Monroe School District","=""0850011""","Autism",27,84.4
"Monroe School District","=""0850011""","Emotional Disturbance",19,70.4
"Monroe School District","=""0850011""","Intellectual Disability","*","*"
"Monroe School District","=""0850011""","Learning Disability",86,71.7
"Monroe School District","=""0850011""","Other Disabilities","*","*"
"Monroe School District","=""0850011""","Other Health Impairment",64,83.1
"Monroe School District","=""0850011""","Speech Language Impairment",55,84.6
"Montville School District","=""0860011""","All Disabilities",174,68.2
"Montville School District","=""0860011""","Autism",17,54.8
"Montville School District","=""0860011""","Emotional Disturbance",9,28.1
"Montville School District","=""0860011""","Intellectual Disability","*","*"
"Montville School District","=""0860011""","Learning Disability",64,80.0
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",40,76.9
"Montville School District","=""0860011""","Speech Language Impairment",37,92.5
"Naugatuck School District","=""0880011""","All Disabilities",382,66.3
"Naugatuck School District","=""0880011""","Autism",23,36.5
"Naugatuck School District","=""0880011""","Emotional Disturbance","*","*"
"Naugatuck School District","=""0880011""","Intellectual Disability",14,63.6
"Naugatuck School District","=""0880011""","Learning Disability",182,74.0
"Naugatuck School District","=""0880011""","Other Disabilities","*","*"
"Naugatuck School District","=""0880011""","Other Health Impairment",93,69.4
"Naugatuck School District","=""0880011""","Speech Language Impairment",59,86.8
"New Britain School District","=""0890011""","All Disabilities",1008,68.7
"New Britain School District","=""0890011""","Autism",73,53.7
"New Britain School District","=""0890011""","Emotional Disturbance",34,28.1
"New Britain School District","=""0890011""","Intellectual Disability",46,49.5
"New Britain School District","=""0890011""","Learning Disability",485,85.7
"New Britain School District","=""0890011""","Other Disabilities",12,20.3
"New Britain School District","=""0890011""","Other Health Impairment",215,64.8
"New Britain School District","=""0890011""","Speech Language Impairment",143,89.4
"New Canaan School District","=""0900011""","All Disabilities",269,76.0
"New Canaan School District","=""0900011""","Autism",23,50.0
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability","*","*"
"New Canaan School District","=""0900011""","Learning Disability",89,84.8
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",54,81.8
"New Canaan School District","=""0900011""","Speech Language Impairment",94,89.5
"New Fairfield School District","=""0910011""","All Disabilities",213,87.3
"New Fairfield School District","=""0910011""","Autism",10,"*"
"New Fairfield School District","=""0910011""","Emotional Disturbance",11,"*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",71,95.9
"New Fairfield School District","=""0910011""","Other Disabilities","*","*"
"New Fairfield School District","=""0910011""","Other Health Impairment",60,93.8
"New Fairfield School District","=""0910011""","Speech Language Impairment",49,96.1
"New Hartford School District","=""0920011""","All Disabilities",41,78.8
"New Hartford School District","=""0920011""","Autism","*","*"
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Intellectual Disability",0,0
"New Hartford School District","=""0920011""","Learning Disability",17,"*"
"New Hartford School District","=""0920011""","Other Disabilities","*","*"
"New Hartford School District","=""0920011""","Other Health Impairment",7,"*"
"New Hartford School District","=""0920011""","Speech Language Impairment",12,"*"
"New Haven School District","=""0930011""","All Disabilities",1606,69.6
"New Haven School District","=""0930011""","Autism",91,41.7
"New Haven School District","=""0930011""","Emotional Disturbance",102,51.0
"New Haven School District","=""0930011""","Intellectual Disability",67,40.9
"New Haven School District","=""0930011""","Learning Disability",760,82.2
"New Haven School District","=""0930011""","Other Disabilities",33,26.0
"New Haven School District","=""0930011""","Other Health Impairment",374,78.4
"New Haven School District","=""0930011""","Speech Language Impairment",179,90.9
"New London School District","=""0950011""","All Disabilities",364,61.1
"New London School District","=""0950011""","Autism",23,38.3
"New London School District","=""0950011""","Emotional Disturbance",27,34.2
"New London School District","=""0950011""","Intellectual Disability","*","*"
"New London School District","=""0950011""","Learning Disability",142,79.8
"New London School District","=""0950011""","Other Disabilities","*","*"
"New London School District","=""0950011""","Other Health Impairment",91,62.8
"New London School District","=""0950011""","Speech Language Impairment",68,81.0
"New Milford School District","=""0960011""","All Disabilities",366,65.2
"New Milford School District","=""0960011""","Autism",43,57.3
"New Milford School District","=""0960011""","Emotional Disturbance",34,47.9
"New Milford School District","=""0960011""","Intellectual Disability",12,"*"
"New Milford School District","=""0960011""","Learning Disability",122,73.9
"New Milford School District","=""0960011""","Other Disabilities",10,26.3
"New Milford School District","=""0960011""","Other Health Impairment",99,73.9
"New Milford School District","=""0960011""","Speech Language Impairment",46,76.7
"Newington School District","=""0940011""","All Disabilities",396,77.2
"Newington School District","=""0940011""","Autism",41,66.1
"Newington School District","=""0940011""","Emotional Disturbance",16,55.2
"Newington School District","=""0940011""","Intellectual Disability",6,"*"
"Newington School District","=""0940011""","Learning Disability",185,83.3
"Newington School District","=""0940011""","Other Disabilities",19,52.8
"Newington School District","=""0940011""","Other Health Impairment",65,79.3
"Newington School District","=""0940011""","Speech Language Impairment",64,97.0
"Newtown School District","=""0970011""","All Disabilities",301,79.4
"Newtown School District","=""0970011""","Autism",50,63.3
"Newtown School District","=""0970011""","Emotional Disturbance",12,60.0
"Newtown School District","=""0970011""","Intellectual Disability",6,"*"
"Newtown School District","=""0970011""","Learning Disability",92,91.1
"Newtown School District","=""0970011""","Other Disabilities",12,60.0
"Newtown School District","=""0970011""","Other Health Impairment",55,82.1
"Newtown School District","=""0970011""","Speech Language Impairment",74,93.7
"Norfolk School District","=""0980011""","All Disabilities",14,"*"
"Norfolk School District","=""0980011""","Autism","*","*"
"Norfolk School District","=""0980011""","Learning Disability","*","*"
"Norfolk School District","=""0980011""","Other Health Impairment","*","*"
"Norfolk School District","=""0980011""","Speech Language Impairment",8,"*"
"North Branford School District","=""0990011""","All Disabilities",238,85.3
"North Branford School District","=""0990011""","Autism",17,70.8
"North Branford School District","=""0990011""","Emotional Disturbance",18,72.0
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",101,96.2
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",47,90.4
"North Branford School District","=""0990011""","Speech Language Impairment",46,90.2
"North Canaan School District","=""1000011""","All Disabilities",24,61.5
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance","*","*"
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability",7,"*"
"North Canaan School District","=""1000011""","Other Disabilities",0,0
"North Canaan School District","=""1000011""","Other Health Impairment","*","*"
"North Canaan School District","=""1000011""","Speech Language Impairment",9,"*"
"North Haven School District","=""1010011""","All Disabilities",241,68.9
"North Haven School District","=""1010011""","Autism",24,45.3
"North Haven School District","=""1010011""","Emotional Disturbance",17,38.6
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",103,91.2
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",54,83.1
"North Haven School District","=""1010011""","Speech Language Impairment",38,92.7
"North Stonington School District","=""1020011""","All Disabilities",56,91.8
"North Stonington School District","=""1020011""","Autism",7,"*"
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",17,"*"
"North Stonington School District","=""1020011""","Other Disabilities","*","*"
"North Stonington School District","=""1020011""","Other Health Impairment",18,90.0
"North Stonington School District","=""1020011""","Speech Language Impairment",10,"*"
"Norwalk School District","=""1030011""","All Disabilities",866,75.4
"Norwalk School District","=""1030011""","Autism",61,49.6
"Norwalk School District","=""1030011""","Emotional Disturbance",23,41.1
"Norwalk School District","=""1030011""","Intellectual Disability",12,32.4
"Norwalk School District","=""1030011""","Learning Disability",416,89.8
"Norwalk School District","=""1030011""","Other Disabilities",33,46.5
"Norwalk School District","=""1030011""","Other Health Impairment",161,73.2
"Norwalk School District","=""1030011""","Speech Language Impairment",160,89.9
"Norwich School District","=""1040011""","All Disabilities",416,51.4
"Norwich School District","=""1040011""","Autism",17,24.3
"Norwich School District","=""1040011""","Emotional Disturbance",34,30.1
"Norwich School District","=""1040011""","Intellectual Disability",17,36.2
"Norwich School District","=""1040011""","Learning Disability",134,62.0
"Norwich School District","=""1040011""","Other Disabilities",14,25.0
"Norwich School District","=""1040011""","Other Health Impairment",95,54.6
"Norwich School District","=""1040011""","Speech Language Impairment",105,78.4
"Old Saybrook School District","=""1060011""","All Disabilities",162,81.0
"Old Saybrook School District","=""1060011""","Autism",21,72.4
"Old Saybrook School District","=""1060011""","Emotional Disturbance",7,"*"
"Old Saybrook School District","=""1060011""","Intellectual Disability","*","*"
"Old Saybrook School District","=""1060011""","Learning Disability",51,92.7
"Old Saybrook School District","=""1060011""","Other Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",51,91.1
"Old Saybrook School District","=""1060011""","Speech Language Impairment",29,96.7
"Orange School District","=""1070011""","All Disabilities",71,67.6
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Intellectual Disability",0,0
"Orange School District","=""1070011""","Learning Disability",33,80.5
"Orange School District","=""1070011""","Other Disabilities","*","*"
"Orange School District","=""1070011""","Other Health Impairment",13,"*"
"Orange School District","=""1070011""","Speech Language Impairment",21,70.0
"Oxford School District","=""1080011""","All Disabilities",111,55.2
"Oxford School District","=""1080011""","Autism",13,44.8
"Oxford School District","=""1080011""","Emotional Disturbance","*","*"
"Oxford School District","=""1080011""","Intellectual Disability",0,0
"Oxford School District","=""1080011""","Learning Disability",34,51.5
"Oxford School District","=""1080011""","Other Disabilities","*","*"
"Oxford School District","=""1080011""","Other Health Impairment",32,65.3
"Oxford School District","=""1080011""","Speech Language Impairment",21,70.0
"Plainfield School District","=""1090011""","All Disabilities",170,65.4
"Plainfield School District","=""1090011""","Autism",16,50.0
"Plainfield School District","=""1090011""","Emotional Disturbance",13,31.0
"Plainfield School District","=""1090011""","Intellectual Disability","*","*"
"Plainfield School District","=""1090011""","Learning Disability",60,88.2
"Plainfield School District","=""1090011""","Other Disabilities","*","*"
"Plainfield School District","=""1090011""","Other Health Impairment",44,73.3
"Plainfield School District","=""1090011""","Speech Language Impairment",24,85.7
"Plainville School District","=""1100011""","All Disabilities",237,78.7
"Plainville School District","=""1100011""","Autism",19,63.3
"Plainville School District","=""1100011""","Emotional Disturbance",19,54.3
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",76,95.0
"Plainville School District","=""1100011""","Other Disabilities","*","*"
"Plainville School District","=""1100011""","Other Health Impairment",76,87.4
"Plainville School District","=""1100011""","Speech Language Impairment",36,100.0
"Plymouth School District","=""1110011""","All Disabilities",163,73.8
"Plymouth School District","=""1110011""","Autism",10,37.0
"Plymouth School District","=""1110011""","Emotional Disturbance",13,44.8
"Plymouth School District","=""1110011""","Intellectual Disability","*","*"
"Plymouth School District","=""1110011""","Learning Disability",62,89.9
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",48,88.9
"Plymouth School District","=""1110011""","Speech Language Impairment",26,100.0
"Pomfret School District","=""1120011""","All Disabilities",42,71.2
"Pomfret School District","=""1120011""","Autism",7,"*"
"Pomfret School District","=""1120011""","Emotional Disturbance",0,0
"Pomfret School District","=""1120011""","Intellectual Disability","*","*"
"Pomfret School District","=""1120011""","Learning Disability",20,80.0
"Pomfret School District","=""1120011""","Other Disabilities","*","*"
"Pomfret School District","=""1120011""","Other Health Impairment",6,"*"
"Pomfret School District","=""1120011""","Speech Language Impairment",6,"*"
"Portland School District","=""1130011""","All Disabilities",91,77.8
"Portland School District","=""1130011""","Autism",6,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Learning Disability",50,94.3
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",18,66.7
"Portland School District","=""1130011""","Speech Language Impairment",14,"*"
"Preston School District","=""1140011""","All Disabilities",60,66.7
"Preston School District","=""1140011""","Autism","*","*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability","*","*"
"Preston School District","=""1140011""","Learning Disability",14,"*"
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",15,"*"
"Preston School District","=""1140011""","Speech Language Impairment",20,69.0
"Putnam School District","=""1160011""","All Disabilities",114,65.9
"Putnam School District","=""1160011""","Autism",16,57.1
"Putnam School District","=""1160011""","Emotional Disturbance","*","*"
"Putnam School District","=""1160011""","Intellectual Disability","*","*"
"Putnam School District","=""1160011""","Learning Disability",58,86.6
"Putnam School District","=""1160011""","Other Disabilities","*","*"
"Putnam School District","=""1160011""","Other Health Impairment",12,"*"
"Putnam School District","=""1160011""","Speech Language Impairment",17,85.0
"Redding School District","=""1170011""","All Disabilities",112,91.1
"Redding School District","=""1170011""","Autism",10,"*"
"Redding School District","=""1170011""","Emotional Disturbance","*","*"
"Redding School District","=""1170011""","Learning Disability",28,96.6
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",29,87.9
"Redding School District","=""1170011""","Speech Language Impairment",37,97.4
"Regional School District 01","=""2010012""","All Disabilities",44,72.1
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance","*","*"
"Regional School District 01","=""2010012""","Intellectual Disability",0,0
"Regional School District 01","=""2010012""","Learning Disability",25,89.3
"Regional School District 01","=""2010012""","Other Disabilities",6,"*"
"Regional School District 01","=""2010012""","Other Health Impairment",7,"*"
"Regional School District 01","=""2010012""","Speech Language Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",111,76.6
"Regional School District 04","=""2040012""","Autism",17,68.0
"Regional School District 04","=""2040012""","Emotional Disturbance","*","*"
"Regional School District 04","=""2040012""","Intellectual Disability","*","*"
"Regional School District 04","=""2040012""","Learning Disability",52,89.7
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",27,79.4
"Regional School District 04","=""2040012""","Speech Language Impairment",6,"*"
"Regional School District 05","=""2050012""","All Disabilities",211,78.4
"Regional School District 05","=""2050012""","Autism",20,50.0
"Regional School District 05","=""2050012""","Emotional Disturbance",15,"*"
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",87,94.6
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",55,90.2
"Regional School District 05","=""2050012""","Speech Language Impairment",27,81.8
"Regional School District 06","=""2060012""","All Disabilities",86,80.4
"Regional School District 06","=""2060012""","Autism","*","*"
"Regional School District 06","=""2060012""","Emotional Disturbance","*","*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",47,92.2
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",18,85.7
"Regional School District 06","=""2060012""","Speech Language Impairment",6,"*"
"Regional School District 07","=""2070012""","All Disabilities",78,64.5
"Regional School District 07","=""2070012""","Autism",12,"*"
"Regional School District 07","=""2070012""","Emotional Disturbance",8,"*"
"Regional School District 07","=""2070012""","Intellectual Disability","*","*"
"Regional School District 07","=""2070012""","Learning Disability",35,72.9
"Regional School District 07","=""2070012""","Other Disabilities","*","*"
"Regional School District 07","=""2070012""","Other Health Impairment",11,"*"
"Regional School District 07","=""2070012""","Speech Language Impairment","*","*"
"Regional School District 08","=""2080012""","All Disabilities",140,63.6
"Regional School District 08","=""2080012""","Autism",8,"*"
"Regional School District 08","=""2080012""","Emotional Disturbance",9,45.0
"Regional School District 08","=""2080012""","Intellectual Disability","*","*"
"Regional School District 08","=""2080012""","Learning Disability",65,80.2
"Regional School District 08","=""2080012""","Other Disabilities",0,0
"Regional School District 08","=""2080012""","Other Health Impairment",50,67.6
"Regional School District 08","=""2080012""","Speech Language Impairment","*","*"
"Regional School District 09","=""2090012""","All Disabilities",86,68.8
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance","*","*"
"Regional School District 09","=""2090012""","Intellectual Disability",0,0
"Regional School District 09","=""2090012""","Learning Disability",39,86.7
"Regional School District 09","=""2090012""","Other Disabilities",0,0
"Regional School District 09","=""2090012""","Other Health Impairment",32,82.1
"Regional School District 09","=""2090012""","Speech Language Impairment",9,"*"
"Regional School District 10","=""2100012""","All Disabilities",183,75.6
"Regional School District 10","=""2100012""","Autism",22,61.1
"Regional School District 10","=""2100012""","Emotional Disturbance",8,"*"
"Regional School District 10","=""2100012""","Intellectual Disability","*","*"
"Regional School District 10","=""2100012""","Learning Disability",74,85.1
"Regional School District 10","=""2100012""","Other Disabilities","*","*"
"Regional School District 10","=""2100012""","Other Health Impairment",46,88.5
"Regional School District 10","=""2100012""","Speech Language Impairment",25,89.3
"Regional School District 11","=""2110012""","All Disabilities",37,58.7
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance","*","*"
"Regional School District 11","=""2110012""","Intellectual Disability","*","*"
"Regional School District 11","=""2110012""","Learning Disability",18,69.2
"Regional School District 11","=""2110012""","Other Disabilities",0,0
"Regional School District 11","=""2110012""","Other Health Impairment","*","*"
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",93,76.2
"Regional School District 12","=""2120012""","Autism",8,"*"
"Regional School District 12","=""2120012""","Emotional Disturbance",10,"*"
"Regional School District 12","=""2120012""","Intellectual Disability","*","*"
"Regional School District 12","=""2120012""","Learning Disability",38,82.6
"Regional School District 12","=""2120012""","Other Disabilities","*","*"
"Regional School District 12","=""2120012""","Other Health Impairment",24,80.0
"Regional School District 12","=""2120012""","Speech Language Impairment",9,"*"
"Regional School District 13","=""2130012""","All Disabilities",210,78.7
"Regional School District 13","=""2130012""","Autism",22,57.9
"Regional School District 13","=""2130012""","Emotional Disturbance",7,"*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",86,85.1
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",46,88.5
"Regional School District 13","=""2130012""","Speech Language Impairment",45,86.5
"Regional School District 14","=""2140012""","All Disabilities",137,76.5
"Regional School District 14","=""2140012""","Autism",13,41.9
"Regional School District 14","=""2140012""","Emotional Disturbance",7,"*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",60,95.2
"Regional School District 14","=""2140012""","Other Disabilities","*","*"
"Regional School District 14","=""2140012""","Other Health Impairment",31,81.6
"Regional School District 14","=""2140012""","Speech Language Impairment",21,91.3
"Regional School District 15","=""2150012""","All Disabilities",319,69.5
"Regional School District 15","=""2150012""","Autism",39,54.9
"Regional School District 15","=""2150012""","Emotional Disturbance","*","*"
"Regional School District 15","=""2150012""","Intellectual Disability",0,0
"Regional School District 15","=""2150012""","Learning Disability",148,78.3
"Regional School District 15","=""2150012""","Other Disabilities","*","*"
"Regional School District 15","=""2150012""","Other Health Impairment",62,73.8
"Regional School District 15","=""2150012""","Speech Language Impairment",56,87.5
"Regional School District 16","=""2160012""","All Disabilities",171,64.8
"Regional School District 16","=""2160012""","Autism",28,62.2
"Regional School District 16","=""2160012""","Emotional Disturbance","*","*"
"Regional School District 16","=""2160012""","Intellectual Disability","*","*"
"Regional School District 16","=""2160012""","Learning Disability",53,67.1
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",39,62.9
"Regional School District 16","=""2160012""","Speech Language Impairment",44,95.7
"Regional School District 17","=""2170012""","All Disabilities",258,84.6
"Regional School District 17","=""2170012""","Autism",23,69.7
"Regional School District 17","=""2170012""","Emotional Disturbance",24,82.8
"Regional School District 17","=""2170012""","Intellectual Disability",0,0
"Regional School District 17","=""2170012""","Learning Disability",118,95.9
"Regional School District 17","=""2170012""","Other Disabilities","*","*"
"Regional School District 17","=""2170012""","Other Health Impairment",67,88.2
"Regional School District 17","=""2170012""","Speech Language Impairment","*","*"
"Regional School District 18","=""2180012""","All Disabilities",112,73.2
"Regional School District 18","=""2180012""","Autism",7,"*"
"Regional School District 18","=""2180012""","Emotional Disturbance","*","*"
"Regional School District 18","=""2180012""","Intellectual Disability","*","*"
"Regional School District 18","=""2180012""","Learning Disability",50,90.9
"Regional School District 18","=""2180012""","Other Disabilities","*","*"
"Regional School District 18","=""2180012""","Other Health Impairment",22,78.6
"Regional School District 18","=""2180012""","Speech Language Impairment",25,92.6
"Regional School District 19","=""2190012""","All Disabilities",114,68.3
"Regional School District 19","=""2190012""","Autism",8,"*"
"Regional School District 19","=""2190012""","Emotional Disturbance",15,71.4
"Regional School District 19","=""2190012""","Intellectual Disability",0,0
"Regional School District 19","=""2190012""","Learning Disability",49,84.5
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",36,76.6
"Regional School District 19","=""2190012""","Speech Language Impairment","*","*"
"Ridgefield School District","=""1180011""","All Disabilities",337,77.3
"Ridgefield School District","=""1180011""","Autism",35,53.0
"Ridgefield School District","=""1180011""","Emotional Disturbance","*","*"
"Ridgefield School District","=""1180011""","Intellectual Disability",0,0
"Ridgefield School District","=""1180011""","Learning Disability",170,92.9
"Ridgefield School District","=""1180011""","Other Disabilities","*","*"
