"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Killingly School District","=""0690011""","Autism",22,48.9
"Killingly School District","=""0690011""","Emotional Disturbance",10,25.6
"Killingly School District","=""0690011""","Intellectual Disability",6,"*"
"Killingly School District","=""0690011""","Learning Disability",67,97.1
"Killingly School District","=""0690011""","Other Disabilities",12,42.9
"Killingly School District","=""0690011""","Other Health Impairment",62,70.5
"Killingly School District","=""0690011""","Speech Language Impairment",55,96.5
"Lebanon School District","=""0710011""","All Disabilities",82,58.2
"Lebanon School District","=""0710011""","Autism","*","*"
"Lebanon School District","=""0710011""","Emotional Disturbance",0,0
"Lebanon School District","=""0710011""","Intellectual Disability","*","*"
"Lebanon School District","=""0710011""","Learning Disability",41,66.1
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",16,59.3
"Lebanon School District","=""0710011""","Speech Language Impairment",17,85.0
"Ledyard School District","=""0720011""","All Disabilities",222,71.2
"Ledyard School District","=""0720011""","Autism",27,56.3
"Ledyard School District","=""0720011""","Emotional Disturbance",18,58.1
"Ledyard School District","=""0720011""","Intellectual Disability","*","*"
"Ledyard School District","=""0720011""","Learning Disability",64,77.1
"Ledyard School District","=""0720011""","Other Disabilities","*","*"
"Ledyard School District","=""0720011""","Other Health Impairment",61,84.7
"Ledyard School District","=""0720011""","Speech Language Impairment",36,94.7
"Lisbon School District","=""0730011""","All Disabilities",57,76.0
"Lisbon School District","=""0730011""","Autism",6,"*"
"Lisbon School District","=""0730011""","Emotional Disturbance","*","*"
"Lisbon School District","=""0730011""","Intellectual Disability","*","*"
"Lisbon School District","=""0730011""","Learning Disability",21,84.0
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment",11,"*"
"Lisbon School District","=""0730011""","Speech Language Impairment",15,"*"
"Litchfield School District","=""0740011""","All Disabilities",87,77.0
"Litchfield School District","=""0740011""","Autism",0,0
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Intellectual Disability","*","*"
"Litchfield School District","=""0740011""","Learning Disability",39,84.8
"Litchfield School District","=""0740011""","Other Disabilities","*","*"
"Litchfield School District","=""0740011""","Other Health Impairment",23,88.5
"Litchfield School District","=""0740011""","Speech Language Impairment",22,84.6
"Madison School District","=""0760011""","All Disabilities",288,85.2
"Madison School District","=""0760011""","Autism",34,70.8
"Madison School District","=""0760011""","Emotional Disturbance",8,"*"
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",128,91.4
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",90,94.7
"Madison School District","=""0760011""","Speech Language Impairment",20,90.9
"Manchester School District","=""0770011""","All Disabilities",639,71.2
"Manchester School District","=""0770011""","Autism",41,44.1
"Manchester School District","=""0770011""","Emotional Disturbance",31,32.3
"Manchester School District","=""0770011""","Intellectual Disability",11,55.0
"Manchester School District","=""0770011""","Learning Disability",255,87.6
"Manchester School District","=""0770011""","Other Disabilities",8,15.4
"Manchester School District","=""0770011""","Other Health Impairment",123,75.9
"Manchester School District","=""0770011""","Speech Language Impairment",170,92.9
"Mansfield School District","=""0780011""","All Disabilities",103,76.3
"Mansfield School District","=""0780011""","Autism",9,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance","*","*"
"Mansfield School District","=""0780011""","Intellectual Disability",0,0
"Mansfield School District","=""0780011""","Learning Disability",47,87.0
"Mansfield School District","=""0780011""","Other Disabilities","*","*"
"Mansfield School District","=""0780011""","Other Health Impairment",18,81.8
"Mansfield School District","=""0780011""","Speech Language Impairment",18,81.8
"Marlborough School District","=""0790011""","All Disabilities",40,75.5
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance","*","*"
"Marlborough School District","=""0790011""","Intellectual Disability",0,0
"Marlborough School District","=""0790011""","Learning Disability",26,83.9
"Marlborough School District","=""0790011""","Other Disabilities",0,0
"Marlborough School District","=""0790011""","Other Health Impairment","*","*"
"Marlborough School District","=""0790011""","Speech Language Impairment",7,"*"
"Meriden School District","=""0800011""","All Disabilities",771,63.1
"Meriden School District","=""0800011""","Autism",58,47.9
"Meriden School District","=""0800011""","Emotional Disturbance",45,28.8
"Meriden School District","=""0800011""","Intellectual Disability",27,51.9
"Meriden School District","=""0800011""","Learning Disability",344,78.5
"Meriden School District","=""0800011""","Other Disabilities",19,23.2
"Meriden School District","=""0800011""","Other Health Impairment",157,65.7
"Meriden School District","=""0800011""","Speech Language Impairment",121,91.0
"Middletown School District","=""0830011""","All Disabilities",419,75.2
"Middletown School District","=""0830011""","Autism",26,45.6
"Middletown School District","=""0830011""","Emotional Disturbance",32,47.1
"Middletown School District","=""0830011""","Intellectual Disability",16,48.5
"Middletown School District","=""0830011""","Learning Disability",145,91.8
"Middletown School District","=""0830011""","Other Disabilities",14,41.2
"Middletown School District","=""0830011""","Other Health Impairment",84,88.4
"Middletown School District","=""0830011""","Speech Language Impairment",102,91.1
"Milford School District","=""0840011""","All Disabilities",582,73.7
"Milford School District","=""0840011""","Autism",35,40.7
"Milford School District","=""0840011""","Emotional Disturbance",38,45.2
"Milford School District","=""0840011""","Intellectual Disability",10,"*"
"Milford School District","=""0840011""","Learning Disability",128,87.1
"Milford School District","=""0840011""","Other Disabilities",23,45.1
"Milford School District","=""0840011""","Other Health Impairment",181,84.2
"Milford School District","=""0840011""","Speech Language Impairment",167,87.4
"Monroe School District","=""0850011""","All Disabilities",249,72.4
"Monroe School District","=""0850011""","Autism",27,84.4
"Monroe School District","=""0850011""","Emotional Disturbance",15,68.2
"Monroe School District","=""0850011""","Intellectual Disability","*","*"
"Monroe School District","=""0850011""","Learning Disability",99,75.6
"Monroe School District","=""0850011""","Other Disabilities","*","*"
"Monroe School District","=""0850011""","Other Health Impairment",61,82.4
"Monroe School District","=""0850011""","Speech Language Impairment",44,78.6
"Montville School District","=""0860011""","All Disabilities",187,70.0
"Montville School District","=""0860011""","Autism",16,53.3
"Montville School District","=""0860011""","Emotional Disturbance",9,32.1
"Montville School District","=""0860011""","Intellectual Disability","*","*"
"Montville School District","=""0860011""","Learning Disability",63,84.0
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",45,76.3
"Montville School District","=""0860011""","Speech Language Impairment",44,91.7
"Naugatuck School District","=""0880011""","All Disabilities",385,68.8
"Naugatuck School District","=""0880011""","Autism",21,36.8
"Naugatuck School District","=""0880011""","Emotional Disturbance","*","*"
"Naugatuck School District","=""0880011""","Intellectual Disability",18,78.3
"Naugatuck School District","=""0880011""","Learning Disability",167,74.6
"Naugatuck School District","=""0880011""","Other Disabilities","*","*"
"Naugatuck School District","=""0880011""","Other Health Impairment",87,68.0
"Naugatuck School District","=""0880011""","Speech Language Impairment",74,94.9
"New Britain School District","=""0890011""","All Disabilities",1032,69.5
"New Britain School District","=""0890011""","Autism",81,59.6
"New Britain School District","=""0890011""","Emotional Disturbance",29,22.3
"New Britain School District","=""0890011""","Intellectual Disability",44,47.8
"New Britain School District","=""0890011""","Learning Disability",468,85.6
"New Britain School District","=""0890011""","Other Disabilities",15,25.9
"New Britain School District","=""0890011""","Other Health Impairment",234,66.7
"New Britain School District","=""0890011""","Speech Language Impairment",161,94.7
"New Canaan School District","=""0900011""","All Disabilities",284,75.9
"New Canaan School District","=""0900011""","Autism",18,40.9
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability","*","*"
"New Canaan School District","=""0900011""","Learning Disability",96,88.9
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",66,84.6
"New Canaan School District","=""0900011""","Speech Language Impairment",92,84.4
"New Fairfield School District","=""0910011""","All Disabilities",178,70.1
"New Fairfield School District","=""0910011""","Autism",11,"*"
"New Fairfield School District","=""0910011""","Emotional Disturbance",8,"*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",60,69.8
"New Fairfield School District","=""0910011""","Other Disabilities","*","*"
"New Fairfield School District","=""0910011""","Other Health Impairment",52,78.8
"New Fairfield School District","=""0910011""","Speech Language Impairment",41,80.4
"New Hartford School District","=""0920011""","All Disabilities",44,83.0
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Intellectual Disability",0,0
"New Hartford School District","=""0920011""","Learning Disability",14,"*"
"New Hartford School District","=""0920011""","Other Disabilities","*","*"
"New Hartford School District","=""0920011""","Other Health Impairment",10,"*"
"New Hartford School District","=""0920011""","Speech Language Impairment",17,"*"
"New Haven School District","=""0930011""","All Disabilities",1666,74.8
"New Haven School District","=""0930011""","Autism",91,47.4
"New Haven School District","=""0930011""","Emotional Disturbance",117,53.9
"New Haven School District","=""0930011""","Intellectual Disability",81,56.6
"New Haven School District","=""0930011""","Learning Disability",748,86.9
"New Haven School District","=""0930011""","Other Disabilities",38,29.9
"New Haven School District","=""0930011""","Other Health Impairment",393,84.3
"New Haven School District","=""0930011""","Speech Language Impairment",198,89.6
"New London School District","=""0950011""","All Disabilities",386,65.8
"New London School District","=""0950011""","Autism",28,50.0
"New London School District","=""0950011""","Emotional Disturbance",38,43.2
"New London School District","=""0950011""","Intellectual Disability",7,25.9
"New London School District","=""0950011""","Learning Disability",141,83.4
"New London School District","=""0950011""","Other Disabilities",7,28.0
"New London School District","=""0950011""","Other Health Impairment",97,68.3
"New London School District","=""0950011""","Speech Language Impairment",68,85.0
"New Milford School District","=""0960011""","All Disabilities",366,64.1
"New Milford School District","=""0960011""","Autism",43,54.4
"New Milford School District","=""0960011""","Emotional Disturbance",27,42.2
"New Milford School District","=""0960011""","Intellectual Disability",8,"*"
"New Milford School District","=""0960011""","Learning Disability",119,77.3
"New Milford School District","=""0960011""","Other Disabilities",14,33.3
"New Milford School District","=""0960011""","Other Health Impairment",107,74.3
"New Milford School District","=""0960011""","Speech Language Impairment",48,67.6
"Newington School District","=""0940011""","All Disabilities",370,73.1
"Newington School District","=""0940011""","Autism",37,62.7
"Newington School District","=""0940011""","Emotional Disturbance",16,50.0
"Newington School District","=""0940011""","Intellectual Disability",7,"*"
"Newington School District","=""0940011""","Learning Disability",173,82.0
"Newington School District","=""0940011""","Other Disabilities",18,41.9
"Newington School District","=""0940011""","Other Health Impairment",51,71.8
"Newington School District","=""0940011""","Speech Language Impairment",68,95.8
"Newtown School District","=""0970011""","All Disabilities",305,82.9
"Newtown School District","=""0970011""","Autism",46,61.3
"Newtown School District","=""0970011""","Emotional Disturbance",15,"*"
"Newtown School District","=""0970011""","Intellectual Disability",10,"*"
"Newtown School District","=""0970011""","Learning Disability",96,95.0
"Newtown School District","=""0970011""","Other Disabilities",12,57.1
"Newtown School District","=""0970011""","Other Health Impairment",59,90.8
"Newtown School District","=""0970011""","Speech Language Impairment",67,91.8
"Norfolk School District","=""0980011""","All Disabilities",10,"*"
"Norfolk School District","=""0980011""","Autism","*","*"
"Norfolk School District","=""0980011""","Learning Disability","*","*"
"Norfolk School District","=""0980011""","Other Health Impairment",0,"*"
"Norfolk School District","=""0980011""","Speech Language Impairment",6,"*"
"North Branford School District","=""0990011""","All Disabilities",229,84.2
"North Branford School District","=""0990011""","Autism",16,72.7
"North Branford School District","=""0990011""","Emotional Disturbance",11,"*"
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",85,95.5
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",50,96.2
"North Branford School District","=""0990011""","Speech Language Impairment",58,87.9
"North Canaan School District","=""1000011""","All Disabilities",25,67.6
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance","*","*"
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability",8,"*"
"North Canaan School District","=""1000011""","Other Health Impairment","*","*"
"North Canaan School District","=""1000011""","Speech Language Impairment",8,"*"
"North Haven School District","=""1010011""","All Disabilities",240,70.8
"North Haven School District","=""1010011""","Autism",26,54.2
"North Haven School District","=""1010011""","Emotional Disturbance",22,51.2
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",96,88.1
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",55,80.9
"North Haven School District","=""1010011""","Speech Language Impairment",35,89.7
"North Stonington School District","=""1020011""","All Disabilities",53,91.4
"North Stonington School District","=""1020011""","Autism","*","*"
"North Stonington School District","=""1020011""","Emotional Disturbance","*","*"
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",23,95.8
"North Stonington School District","=""1020011""","Other Disabilities",0,0
"North Stonington School District","=""1020011""","Other Health Impairment",13,"*"
"North Stonington School District","=""1020011""","Speech Language Impairment",10,"*"
"Norwalk School District","=""1030011""","All Disabilities",881,79.4
"Norwalk School District","=""1030011""","Autism",61,53.0
"Norwalk School District","=""1030011""","Emotional Disturbance",18,42.9
"Norwalk School District","=""1030011""","Intellectual Disability",13,44.8
"Norwalk School District","=""1030011""","Learning Disability",396,92.1
"Norwalk School District","=""1030011""","Other Disabilities",37,56.1
"Norwalk School District","=""1030011""","Other Health Impairment",173,73.9
"Norwalk School District","=""1030011""","Speech Language Impairment",183,94.3
"Norwich School District","=""1040011""","All Disabilities",444,53.8
"Norwich School District","=""1040011""","Autism",22,33.8
"Norwich School District","=""1040011""","Emotional Disturbance",34,27.6
"Norwich School District","=""1040011""","Intellectual Disability",18,42.9
"Norwich School District","=""1040011""","Learning Disability",151,64.0
"Norwich School District","=""1040011""","Other Disabilities",17,26.6
"Norwich School District","=""1040011""","Other Health Impairment",107,59.4
"Norwich School District","=""1040011""","Speech Language Impairment",95,81.9
"Old Saybrook School District","=""1060011""","All Disabilities",154,79.0
"Old Saybrook School District","=""1060011""","Autism",18,69.2
"Old Saybrook School District","=""1060011""","Emotional Disturbance",6,"*"
"Old Saybrook School District","=""1060011""","Intellectual Disability","*","*"
"Old Saybrook School District","=""1060011""","Learning Disability",42,91.3
"Old Saybrook School District","=""1060011""","Other Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",51,78.5
"Old Saybrook School District","=""1060011""","Speech Language Impairment",32,97.0
"Orange School District","=""1070011""","All Disabilities",72,66.7
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Intellectual Disability",0,0
"Orange School District","=""1070011""","Learning Disability",32,78.0
"Orange School District","=""1070011""","Other Disabilities","*","*"
"Orange School District","=""1070011""","Other Health Impairment",12,"*"
"Orange School District","=""1070011""","Speech Language Impairment",22,66.7
"Oxford School District","=""1080011""","All Disabilities",97,67.8
"Oxford School District","=""1080011""","Autism",12,48.0
"Oxford School District","=""1080011""","Emotional Disturbance","*","*"
"Oxford School District","=""1080011""","Intellectual Disability","*","*"
"Oxford School District","=""1080011""","Learning Disability",46,83.6
"Oxford School District","=""1080011""","Other Disabilities","*","*"
"Oxford School District","=""1080011""","Other Health Impairment",20,69.0
"Oxford School District","=""1080011""","Speech Language Impairment",14,"*"
"Plainfield School District","=""1090011""","All Disabilities",192,69.1
"Plainfield School District","=""1090011""","Autism",20,54.1
"Plainfield School District","=""1090011""","Emotional Disturbance",16,38.1
"Plainfield School District","=""1090011""","Intellectual Disability",8,"*"
"Plainfield School District","=""1090011""","Learning Disability",69,92.0
"Plainfield School District","=""1090011""","Other Disabilities",10,41.7
"Plainfield School District","=""1090011""","Other Health Impairment",47,87.0
"Plainfield School District","=""1090011""","Speech Language Impairment",22,71.0
"Plainville School District","=""1100011""","All Disabilities",213,73.7
"Plainville School District","=""1100011""","Autism",19,61.3
"Plainville School District","=""1100011""","Emotional Disturbance",16,57.1
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",73,91.3
"Plainville School District","=""1100011""","Other Disabilities","*","*"
"Plainville School District","=""1100011""","Other Health Impairment",64,78.0
"Plainville School District","=""1100011""","Speech Language Impairment",33,94.3
"Plymouth School District","=""1110011""","All Disabilities",178,76.4
"Plymouth School District","=""1110011""","Autism",11,45.8
"Plymouth School District","=""1110011""","Emotional Disturbance",13,44.8
"Plymouth School District","=""1110011""","Intellectual Disability","*","*"
"Plymouth School District","=""1110011""","Learning Disability",68,91.9
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",55,88.7
"Plymouth School District","=""1110011""","Speech Language Impairment",26,100.0
"Pomfret School District","=""1120011""","All Disabilities",48,73.8
"Pomfret School District","=""1120011""","Autism",8,"*"
"Pomfret School District","=""1120011""","Emotional Disturbance",0,0
"Pomfret School District","=""1120011""","Intellectual Disability","*","*"
"Pomfret School District","=""1120011""","Learning Disability",19,76.0
"Pomfret School District","=""1120011""","Other Disabilities","*","*"
"Pomfret School District","=""1120011""","Other Health Impairment",9,"*"
"Pomfret School District","=""1120011""","Speech Language Impairment",8,"*"
"Portland School District","=""1130011""","All Disabilities",87,73.7
"Portland School District","=""1130011""","Autism",7,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Intellectual Disability",0,0
"Portland School District","=""1130011""","Learning Disability",41,89.1
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",22,75.9
"Portland School District","=""1130011""","Speech Language Impairment",12,"*"
"Preston School District","=""1140011""","All Disabilities",51,65.4
"Preston School District","=""1140011""","Autism",8,"*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability","*","*"
"Preston School District","=""1140011""","Learning Disability",9,"*"
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",13,"*"
"Preston School District","=""1140011""","Speech Language Impairment",17,73.9
"Putnam School District","=""1160011""","All Disabilities",109,68.1
"Putnam School District","=""1160011""","Autism",14,50.0
"Putnam School District","=""1160011""","Emotional Disturbance","*","*"
"Putnam School District","=""1160011""","Intellectual Disability","*","*"
"Putnam School District","=""1160011""","Learning Disability",61,96.8
"Putnam School District","=""1160011""","Other Disabilities","*","*"
"Putnam School District","=""1160011""","Other Health Impairment",9,"*"
"Putnam School District","=""1160011""","Speech Language Impairment",16,"*"
"Redding School District","=""1170011""","All Disabilities",111,89.5
"Redding School District","=""1170011""","Autism",8,"*"
"Redding School District","=""1170011""","Emotional Disturbance","*","*"
"Redding School District","=""1170011""","Learning Disability",31,100.0
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",30,93.8
"Redding School District","=""1170011""","Speech Language Impairment",34,91.9
"Regional School District 01","=""2010012""","All Disabilities",34,58.6
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance",0,0
"Regional School District 01","=""2010012""","Intellectual Disability",0,0
"Regional School District 01","=""2010012""","Learning Disability",24,80.0
"Regional School District 01","=""2010012""","Other Disabilities","*","*"
"Regional School District 01","=""2010012""","Other Health Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",118,84.9
"Regional School District 04","=""2040012""","Autism",16,66.7
"Regional School District 04","=""2040012""","Emotional Disturbance","*","*"
"Regional School District 04","=""2040012""","Intellectual Disability","*","*"
"Regional School District 04","=""2040012""","Learning Disability",56,94.9
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",25,83.3
"Regional School District 04","=""2040012""","Speech Language Impairment",11,"*"
"Regional School District 05","=""2050012""","All Disabilities",219,78.8
"Regional School District 05","=""2050012""","Autism",19,50.0
"Regional School District 05","=""2050012""","Emotional Disturbance",7,"*"
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",89,89.9
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",60,92.3
"Regional School District 05","=""2050012""","Speech Language Impairment",36,87.8
"Regional School District 06","=""2060012""","All Disabilities",74,69.2
"Regional School District 06","=""2060012""","Autism","*","*"
"Regional School District 06","=""2060012""","Emotional Disturbance","*","*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",41,85.4
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",14,60.9
"Regional School District 06","=""2060012""","Speech Language Impairment",8,"*"
"Regional School District 07","=""2070012""","All Disabilities",71,62.8
"Regional School District 07","=""2070012""","Autism",14,"*"
"Regional School District 07","=""2070012""","Emotional Disturbance",6,"*"
"Regional School District 07","=""2070012""","Intellectual Disability","*","*"
"Regional School District 07","=""2070012""","Learning Disability",29,70.7
"Regional School District 07","=""2070012""","Other Disabilities","*","*"
"Regional School District 07","=""2070012""","Other Health Impairment",10,"*"
"Regional School District 07","=""2070012""","Speech Language Impairment","*","*"
"Regional School District 08","=""2080012""","All Disabilities",152,67.0
"Regional School District 08","=""2080012""","Autism",11,"*"
"Regional School District 08","=""2080012""","Emotional Disturbance",9,40.9
"Regional School District 08","=""2080012""","Intellectual Disability",0,0
"Regional School District 08","=""2080012""","Learning Disability",70,85.4
"Regional School District 08","=""2080012""","Other Disabilities","*","*"
"Regional School District 08","=""2080012""","Other Health Impairment",53,70.7
"Regional School District 08","=""2080012""","Speech Language Impairment","*","*"
"Regional School District 09","=""2090012""","All Disabilities",81,65.9
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance","*","*"
"Regional School District 09","=""2090012""","Intellectual Disability","*","*"
"Regional School District 09","=""2090012""","Learning Disability",33,94.3
"Regional School District 09","=""2090012""","Other Disabilities",0,0
"Regional School District 09","=""2090012""","Other Health Impairment",30,71.4
"Regional School District 09","=""2090012""","Speech Language Impairment",9,"*"
"Regional School District 10","=""2100012""","All Disabilities",186,75.6
"Regional School District 10","=""2100012""","Autism",24,66.7
"Regional School District 10","=""2100012""","Emotional Disturbance",7,"*"
"Regional School District 10","=""2100012""","Intellectual Disability","*","*"
"Regional School District 10","=""2100012""","Learning Disability",75,83.3
"Regional School District 10","=""2100012""","Other Disabilities","*","*"
"Regional School District 10","=""2100012""","Other Health Impairment",45,88.2
"Regional School District 10","=""2100012""","Speech Language Impairment",28,93.3
"Regional School District 11","=""2110012""","All Disabilities",39,56.5
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance",7,"*"
"Regional School District 11","=""2110012""","Intellectual Disability",0,0
"Regional School District 11","=""2110012""","Learning Disability",16,61.5
"Regional School District 11","=""2110012""","Other Disabilities","*","*"
"Regional School District 11","=""2110012""","Other Health Impairment",7,"*"
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",84,67.7
"Regional School District 12","=""2120012""","Autism",8,"*"
"Regional School District 12","=""2120012""","Emotional Disturbance","*","*"
"Regional School District 12","=""2120012""","Intellectual Disability","*","*"
"Regional School District 12","=""2120012""","Learning Disability",42,84.0
"Regional School District 12","=""2120012""","Other Disabilities","*","*"
"Regional School District 12","=""2120012""","Other Health Impairment",21,72.4
"Regional School District 12","=""2120012""","Speech Language Impairment",8,"*"
"Regional School District 13","=""2130012""","All Disabilities",225,84.3
"Regional School District 13","=""2130012""","Autism",21,61.8
"Regional School District 13","=""2130012""","Emotional Disturbance",10,"*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",88,91.7
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",52,92.9
"Regional School District 13","=""2130012""","Speech Language Impairment",48,88.9
"Regional School District 14","=""2140012""","All Disabilities",142,74.0
"Regional School District 14","=""2140012""","Autism",11,36.7
"Regional School District 14","=""2140012""","Emotional Disturbance","*","*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",61,93.8
"Regional School District 14","=""2140012""","Other Disabilities","*","*"
"Regional School District 14","=""2140012""","Other Health Impairment",34,81.0
"Regional School District 14","=""2140012""","Speech Language Impairment",31,93.9
"Regional School District 15","=""2150012""","All Disabilities",360,75.2
"Regional School District 15","=""2150012""","Autism",33,51.6
"Regional School District 15","=""2150012""","Emotional Disturbance",9,"*"
"Regional School District 15","=""2150012""","Intellectual Disability","*","*"
"Regional School District 15","=""2150012""","Learning Disability",165,83.3
"Regional School District 15","=""2150012""","Other Disabilities","*","*"
"Regional School District 15","=""2150012""","Other Health Impairment",70,79.5
"Regional School District 15","=""2150012""","Speech Language Impairment",74,90.2
"Regional School District 16","=""2160012""","All Disabilities",161,65.2
"Regional School District 16","=""2160012""","Autism",24,54.5
"Regional School District 16","=""2160012""","Emotional Disturbance",7,"*"
"Regional School District 16","=""2160012""","Intellectual Disability","*","*"
"Regional School District 16","=""2160012""","Learning Disability",42,63.6
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",42,76.4
"Regional School District 16","=""2160012""","Speech Language Impairment",40,93.0
"Regional School District 17","=""2170012""","All Disabilities",246,82.3
"Regional School District 17","=""2170012""","Autism",27,79.4
"Regional School District 17","=""2170012""","Emotional Disturbance",21,75.0
"Regional School District 17","=""2170012""","Intellectual Disability",0,0
"Regional School District 17","=""2170012""","Learning Disability",109,90.1
"Regional School District 17","=""2170012""","Other Disabilities",7,"*"
"Regional School District 17","=""2170012""","Other Health Impairment",58,87.9
"Regional School District 17","=""2170012""","Speech Language Impairment",24,85.7
"Regional School District 18","=""2180012""","All Disabilities",114,74.0
"Regional School District 18","=""2180012""","Autism",8,"*"
"Regional School District 18","=""2180012""","Emotional Disturbance",6,"*"
"Regional School District 18","=""2180012""","Intellectual Disability","*","*"
"Regional School District 18","=""2180012""","Learning Disability",46,83.6
"Regional School District 18","=""2180012""","Other Disabilities","*","*"
"Regional School District 18","=""2180012""","Other Health Impairment",19,79.2
"Regional School District 18","=""2180012""","Speech Language Impairment",30,93.8
"Regional School District 19","=""2190012""","All Disabilities",111,63.8
"Regional School District 19","=""2190012""","Autism",7,"*"
"Regional School District 19","=""2190012""","Emotional Disturbance",15,71.4
"Regional School District 19","=""2190012""","Intellectual Disability",0,0
"Regional School District 19","=""2190012""","Learning Disability",41,73.2
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",42,76.4
"Regional School District 19","=""2190012""","Speech Language Impairment","*","*"
"Ridgefield School District","=""1180011""","All Disabilities",348,81.7
"Ridgefield School District","=""1180011""","Autism",42,61.8
"Ridgefield School District","=""1180011""","Emotional Disturbance","*","*"
"Ridgefield School District","=""1180011""","Intellectual Disability",0,0
"Ridgefield School District","=""1180011""","Learning Disability",169,94.9
"Ridgefield School District","=""1180011""","Other Disabilities","*","*"
"Ridgefield School District","=""1180011""","Other Health Impairment",47,83.9
