"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Kent School District","=""0680011""","Learning Disability",13,"*"
"Kent School District","=""0680011""","Speech Language Impairment","*","*"
"Killingly School District","=""0690011""","All Disabilities",222,60.2
"Killingly School District","=""0690011""","Autism",31,59.6
"Killingly School District","=""0690011""","Emotional Disturbance",12,22.6
"Killingly School District","=""0690011""","Intellectual Disability","*","*"
"Killingly School District","=""0690011""","Learning Disability",72,79.1
"Killingly School District","=""0690011""","Other Disabilities","*","*"
"Killingly School District","=""0690011""","Other Health Impairment",58,62.4
"Killingly School District","=""0690011""","Speech Language Impairment",39,88.6
"Lebanon School District","=""0710011""","All Disabilities",75,50.7
"Lebanon School District","=""0710011""","Autism",6,30.0
"Lebanon School District","=""0710011""","Emotional Disturbance","*","*"
"Lebanon School District","=""0710011""","Intellectual Disability","*","*"
"Lebanon School District","=""0710011""","Learning Disability",34,53.1
"Lebanon School District","=""0710011""","Other Disabilities","*","*"
"Lebanon School District","=""0710011""","Other Health Impairment",16,59.3
"Lebanon School District","=""0710011""","Speech Language Impairment",15,75.0
"Ledyard School District","=""0720011""","All Disabilities",222,66.1
"Ledyard School District","=""0720011""","Autism",25,54.3
"Ledyard School District","=""0720011""","Emotional Disturbance",19,61.3
"Ledyard School District","=""0720011""","Intellectual Disability","*","*"
"Ledyard School District","=""0720011""","Learning Disability",70,72.9
"Ledyard School District","=""0720011""","Other Disabilities","*","*"
"Ledyard School District","=""0720011""","Other Health Impairment",60,73.2
"Ledyard School District","=""0720011""","Speech Language Impairment",37,88.1
"Lisbon School District","=""0730011""","All Disabilities",50,75.8
"Lisbon School District","=""0730011""","Autism","*","*"
"Lisbon School District","=""0730011""","Emotional Disturbance","*","*"
"Lisbon School District","=""0730011""","Intellectual Disability",0,0
"Lisbon School District","=""0730011""","Learning Disability",12,"*"
"Lisbon School District","=""0730011""","Other Disabilities","*","*"
"Lisbon School District","=""0730011""","Other Health Impairment",10,"*"
"Lisbon School District","=""0730011""","Speech Language Impairment",19,"*"
"Litchfield School District","=""0740011""","All Disabilities",86,79.6
"Litchfield School District","=""0740011""","Autism","*","*"
"Litchfield School District","=""0740011""","Emotional Disturbance","*","*"
"Litchfield School District","=""0740011""","Learning Disability",41,89.1
"Litchfield School District","=""0740011""","Other Disabilities",0,0
"Litchfield School District","=""0740011""","Other Health Impairment",23,88.5
"Litchfield School District","=""0740011""","Speech Language Impairment",14,"*"
"Madison School District","=""0760011""","All Disabilities",305,86.4
"Madison School District","=""0760011""","Autism",36,66.7
"Madison School District","=""0760011""","Emotional Disturbance",11,"*"
"Madison School District","=""0760011""","Intellectual Disability","*","*"
"Madison School District","=""0760011""","Learning Disability",143,97.3
"Madison School District","=""0760011""","Other Disabilities","*","*"
"Madison School District","=""0760011""","Other Health Impairment",91,91.0
"Madison School District","=""0760011""","Speech Language Impairment",18,90.0
"Manchester School District","=""0770011""","All Disabilities",587,68.9
"Manchester School District","=""0770011""","Autism",48,51.6
"Manchester School District","=""0770011""","Emotional Disturbance",15,23.8
"Manchester School District","=""0770011""","Intellectual Disability",9,40.9
"Manchester School District","=""0770011""","Learning Disability",255,89.2
"Manchester School District","=""0770011""","Other Disabilities",17,21.8
"Manchester School District","=""0770011""","Other Health Impairment",112,66.7
"Manchester School District","=""0770011""","Speech Language Impairment",131,92.3
"Mansfield School District","=""0780011""","All Disabilities",108,81.2
"Mansfield School District","=""0780011""","Autism",10,"*"
"Mansfield School District","=""0780011""","Emotional Disturbance","*","*"
"Mansfield School District","=""0780011""","Intellectual Disability","*","*"
"Mansfield School District","=""0780011""","Learning Disability",53,91.4
"Mansfield School District","=""0780011""","Other Disabilities","*","*"
"Mansfield School District","=""0780011""","Other Health Impairment",17,73.9
"Mansfield School District","=""0780011""","Speech Language Impairment",20,87.0
"Marlborough School District","=""0790011""","All Disabilities",34,81.0
"Marlborough School District","=""0790011""","Autism","*","*"
"Marlborough School District","=""0790011""","Emotional Disturbance",0,0
"Marlborough School District","=""0790011""","Learning Disability",20,90.9
"Marlborough School District","=""0790011""","Other Health Impairment","*","*"
"Marlborough School District","=""0790011""","Speech Language Impairment",6,"*"
"Meriden School District","=""0800011""","All Disabilities",900,64.0
"Meriden School District","=""0800011""","Autism",65,47.8
"Meriden School District","=""0800011""","Emotional Disturbance",56,29.9
"Meriden School District","=""0800011""","Intellectual Disability",24,40.7
"Meriden School District","=""0800011""","Learning Disability",414,78.0
"Meriden School District","=""0800011""","Other Disabilities",18,23.4
"Meriden School District","=""0800011""","Other Health Impairment",214,70.6
"Meriden School District","=""0800011""","Speech Language Impairment",109,96.5
"Middletown School District","=""0830011""","All Disabilities",442,73.4
"Middletown School District","=""0830011""","Autism",43,59.7
"Middletown School District","=""0830011""","Emotional Disturbance",17,27.4
"Middletown School District","=""0830011""","Intellectual Disability",21,60.0
"Middletown School District","=""0830011""","Learning Disability",155,84.2
"Middletown School District","=""0830011""","Other Disabilities",15,53.6
"Middletown School District","=""0830011""","Other Health Impairment",99,81.1
"Middletown School District","=""0830011""","Speech Language Impairment",92,92.9
"Milford School District","=""0840011""","All Disabilities",514,70.0
"Milford School District","=""0840011""","Autism",43,43.4
"Milford School District","=""0840011""","Emotional Disturbance",21,28.4
"Milford School District","=""0840011""","Intellectual Disability","*","*"
"Milford School District","=""0840011""","Learning Disability",118,87.4
"Milford School District","=""0840011""","Other Disabilities","*","*"
"Milford School District","=""0840011""","Other Health Impairment",170,83.7
"Milford School District","=""0840011""","Speech Language Impairment",139,86.9
"Monroe School District","=""0850011""","All Disabilities",218,66.5
"Monroe School District","=""0850011""","Autism",29,76.3
"Monroe School District","=""0850011""","Emotional Disturbance","*","*"
"Monroe School District","=""0850011""","Intellectual Disability",0,0
"Monroe School District","=""0850011""","Learning Disability",83,70.9
"Monroe School District","=""0850011""","Other Disabilities","*","*"
"Monroe School District","=""0850011""","Other Health Impairment",53,72.6
"Monroe School District","=""0850011""","Speech Language Impairment",42,80.8
"Montville School District","=""0860011""","All Disabilities",170,64.2
"Montville School District","=""0860011""","Autism","*","*"
"Montville School District","=""0860011""","Emotional Disturbance",13,40.6
"Montville School District","=""0860011""","Intellectual Disability",0,0
"Montville School District","=""0860011""","Learning Disability",61,75.3
"Montville School District","=""0860011""","Other Disabilities","*","*"
"Montville School District","=""0860011""","Other Health Impairment",38,65.5
"Montville School District","=""0860011""","Speech Language Impairment",44,91.7
"Naugatuck School District","=""0880011""","All Disabilities",405,66.2
"Naugatuck School District","=""0880011""","Autism",23,35.9
"Naugatuck School District","=""0880011""","Emotional Disturbance",6,17.6
"Naugatuck School District","=""0880011""","Intellectual Disability",11,47.8
"Naugatuck School District","=""0880011""","Learning Disability",200,76.0
"Naugatuck School District","=""0880011""","Other Disabilities",9,45.0
"Naugatuck School District","=""0880011""","Other Health Impairment",97,68.8
"Naugatuck School District","=""0880011""","Speech Language Impairment",59,88.1
"New Britain School District","=""0890011""","All Disabilities",1046,67.2
"New Britain School District","=""0890011""","Autism",63,42.6
"New Britain School District","=""0890011""","Emotional Disturbance",28,24.6
"New Britain School District","=""0890011""","Intellectual Disability",39,39.0
"New Britain School District","=""0890011""","Learning Disability",493,84.9
"New Britain School District","=""0890011""","Other Disabilities",19,29.7
"New Britain School District","=""0890011""","Other Health Impairment",242,65.6
"New Britain School District","=""0890011""","Speech Language Impairment",162,90.0
"New Canaan School District","=""0900011""","All Disabilities",288,77.4
"New Canaan School District","=""0900011""","Autism",25,51.0
"New Canaan School District","=""0900011""","Emotional Disturbance","*","*"
"New Canaan School District","=""0900011""","Intellectual Disability","*","*"
"New Canaan School District","=""0900011""","Learning Disability",101,87.1
"New Canaan School District","=""0900011""","Other Disabilities","*","*"
"New Canaan School District","=""0900011""","Other Health Impairment",63,84.0
"New Canaan School District","=""0900011""","Speech Language Impairment",91,89.2
"New Fairfield School District","=""0910011""","All Disabilities",183,81.0
"New Fairfield School District","=""0910011""","Autism",11,"*"
"New Fairfield School District","=""0910011""","Emotional Disturbance","*","*"
"New Fairfield School District","=""0910011""","Intellectual Disability","*","*"
"New Fairfield School District","=""0910011""","Learning Disability",70,97.2
"New Fairfield School District","=""0910011""","Other Disabilities",10,"*"
"New Fairfield School District","=""0910011""","Other Health Impairment",50,83.3
"New Fairfield School District","=""0910011""","Speech Language Impairment",35,92.1
"New Hartford School District","=""0920011""","All Disabilities",38,74.5
"New Hartford School District","=""0920011""","Autism","*","*"
"New Hartford School District","=""0920011""","Emotional Disturbance","*","*"
"New Hartford School District","=""0920011""","Intellectual Disability",0,0
"New Hartford School District","=""0920011""","Learning Disability",17,85.0
"New Hartford School District","=""0920011""","Other Disabilities","*","*"
"New Hartford School District","=""0920011""","Other Health Impairment",7,"*"
"New Hartford School District","=""0920011""","Speech Language Impairment",9,"*"
"New Haven School District","=""0930011""","All Disabilities",1737,68.5
"New Haven School District","=""0930011""","Autism",94,39.7
"New Haven School District","=""0930011""","Emotional Disturbance",109,45.8
"New Haven School District","=""0930011""","Intellectual Disability",69,39.7
"New Haven School District","=""0930011""","Learning Disability",824,81.6
"New Haven School District","=""0930011""","Other Disabilities",40,29.2
"New Haven School District","=""0930011""","Other Health Impairment",406,76.9
"New Haven School District","=""0930011""","Speech Language Impairment",195,92.9
"New London School District","=""0950011""","All Disabilities",351,55.5
"New London School District","=""0950011""","Autism",29,43.3
"New London School District","=""0950011""","Emotional Disturbance",28,32.9
"New London School District","=""0950011""","Intellectual Disability","*","*"
"New London School District","=""0950011""","Learning Disability",141,69.1
"New London School District","=""0950011""","Other Disabilities","*","*"
"New London School District","=""0950011""","Other Health Impairment",73,53.7
"New London School District","=""0950011""","Speech Language Impairment",67,82.7
"New Milford School District","=""0960011""","All Disabilities",323,59.5
"New Milford School District","=""0960011""","Autism",37,50.0
"New Milford School District","=""0960011""","Emotional Disturbance",36,53.7
"New Milford School District","=""0960011""","Intellectual Disability",6,"*"
"New Milford School District","=""0960011""","Learning Disability",102,62.2
"New Milford School District","=""0960011""","Other Disabilities",10,25.0
"New Milford School District","=""0960011""","Other Health Impairment",93,72.7
"New Milford School District","=""0960011""","Speech Language Impairment",39,70.9
"Newington School District","=""0940011""","All Disabilities",346,69.5
"Newington School District","=""0940011""","Autism",35,57.4
"Newington School District","=""0940011""","Emotional Disturbance",16,48.5
"Newington School District","=""0940011""","Intellectual Disability","*","*"
"Newington School District","=""0940011""","Learning Disability",176,76.2
"Newington School District","=""0940011""","Other Disabilities","*","*"
"Newington School District","=""0940011""","Other Health Impairment",55,69.6
"Newington School District","=""0940011""","Speech Language Impairment",48,92.3
"Newtown School District","=""0970011""","All Disabilities",305,75.3
"Newtown School District","=""0970011""","Autism",48,58.5
"Newtown School District","=""0970011""","Emotional Disturbance",11,"*"
"Newtown School District","=""0970011""","Intellectual Disability","*","*"
"Newtown School District","=""0970011""","Learning Disability",93,86.1
"Newtown School District","=""0970011""","Other Disabilities","*","*"
"Newtown School District","=""0970011""","Other Health Impairment",77,85.6
"Newtown School District","=""0970011""","Speech Language Impairment",64,94.1
"Norfolk School District","=""0980011""","All Disabilities",16,"*"
"Norfolk School District","=""0980011""","Autism",0,"*"
"Norfolk School District","=""0980011""","Learning Disability","*","*"
"Norfolk School District","=""0980011""","Other Health Impairment","*","*"
"Norfolk School District","=""0980011""","Speech Language Impairment",8,"*"
"North Branford School District","=""0990011""","All Disabilities",229,84.2
"North Branford School District","=""0990011""","Autism",14,70.0
"North Branford School District","=""0990011""","Emotional Disturbance",22,71.0
"North Branford School District","=""0990011""","Intellectual Disability","*","*"
"North Branford School District","=""0990011""","Learning Disability",95,96.0
"North Branford School District","=""0990011""","Other Disabilities","*","*"
"North Branford School District","=""0990011""","Other Health Impairment",45,91.8
"North Branford School District","=""0990011""","Speech Language Impairment",45,90.0
"North Canaan School District","=""1000011""","All Disabilities",22,55.0
"North Canaan School District","=""1000011""","Autism","*","*"
"North Canaan School District","=""1000011""","Emotional Disturbance","*","*"
"North Canaan School District","=""1000011""","Intellectual Disability",0,0
"North Canaan School District","=""1000011""","Learning Disability",8,"*"
"North Canaan School District","=""1000011""","Other Disabilities",0,0
"North Canaan School District","=""1000011""","Other Health Impairment","*","*"
"North Canaan School District","=""1000011""","Speech Language Impairment",7,"*"
"North Haven School District","=""1010011""","All Disabilities",248,67.0
"North Haven School District","=""1010011""","Autism",28,49.1
"North Haven School District","=""1010011""","Emotional Disturbance",20,40.8
"North Haven School District","=""1010011""","Intellectual Disability","*","*"
"North Haven School District","=""1010011""","Learning Disability",106,86.2
"North Haven School District","=""1010011""","Other Disabilities","*","*"
"North Haven School District","=""1010011""","Other Health Impairment",53,80.3
"North Haven School District","=""1010011""","Speech Language Impairment",36,90.0
"North Stonington School District","=""1020011""","All Disabilities",47,79.7
"North Stonington School District","=""1020011""","Autism",7,"*"
"North Stonington School District","=""1020011""","Emotional Disturbance",0,0
"North Stonington School District","=""1020011""","Intellectual Disability","*","*"
"North Stonington School District","=""1020011""","Learning Disability",18,78.3
"North Stonington School District","=""1020011""","Other Disabilities","*","*"
"North Stonington School District","=""1020011""","Other Health Impairment",13,"*"
"North Stonington School District","=""1020011""","Speech Language Impairment",7,"*"
"Norwalk School District","=""1030011""","All Disabilities",930,76.1
"Norwalk School District","=""1030011""","Autism",62,48.4
"Norwalk School District","=""1030011""","Emotional Disturbance",20,34.5
"Norwalk School District","=""1030011""","Intellectual Disability",10,27.8
"Norwalk School District","=""1030011""","Learning Disability",440,89.6
"Norwalk School District","=""1030011""","Other Disabilities",37,46.8
"Norwalk School District","=""1030011""","Other Health Impairment",180,75.9
"Norwalk School District","=""1030011""","Speech Language Impairment",181,93.8
"Norwich School District","=""1040011""","All Disabilities",415,48.5
"Norwich School District","=""1040011""","Autism",21,23.3
"Norwich School District","=""1040011""","Emotional Disturbance",32,28.8
"Norwich School District","=""1040011""","Intellectual Disability",17,33.3
"Norwich School District","=""1040011""","Learning Disability",132,52.2
"Norwich School District","=""1040011""","Other Disabilities",14,29.8
"Norwich School District","=""1040011""","Other Health Impairment",107,60.5
"Norwich School District","=""1040011""","Speech Language Impairment",92,72.4
"Old Saybrook School District","=""1060011""","All Disabilities",143,74.9
"Old Saybrook School District","=""1060011""","Autism",21,61.8
"Old Saybrook School District","=""1060011""","Emotional Disturbance","*","*"
"Old Saybrook School District","=""1060011""","Intellectual Disability","*","*"
"Old Saybrook School District","=""1060011""","Learning Disability",41,85.4
"Old Saybrook School District","=""1060011""","Other Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Other Health Impairment",47,85.5
"Old Saybrook School District","=""1060011""","Speech Language Impairment",24,96.0
"Orange School District","=""1070011""","All Disabilities",59,66.3
"Orange School District","=""1070011""","Autism","*","*"
"Orange School District","=""1070011""","Emotional Disturbance",0,0
"Orange School District","=""1070011""","Intellectual Disability","*","*"
"Orange School District","=""1070011""","Learning Disability",28,77.8
"Orange School District","=""1070011""","Other Health Impairment",10,"*"
"Orange School District","=""1070011""","Speech Language Impairment",18,72.0
"Oxford School District","=""1080011""","All Disabilities",129,58.9
"Oxford School District","=""1080011""","Autism",14,48.3
"Oxford School District","=""1080011""","Emotional Disturbance",9,"*"
"Oxford School District","=""1080011""","Intellectual Disability",0,0
"Oxford School District","=""1080011""","Learning Disability",41,61.2
"Oxford School District","=""1080011""","Other Disabilities",0,0
"Oxford School District","=""1080011""","Other Health Impairment",40,66.7
"Oxford School District","=""1080011""","Speech Language Impairment",25,69.4
"Plainfield School District","=""1090011""","All Disabilities",178,61.2
"Plainfield School District","=""1090011""","Autism",15,48.4
"Plainfield School District","=""1090011""","Emotional Disturbance",11,28.9
"Plainfield School District","=""1090011""","Intellectual Disability","*","*"
"Plainfield School District","=""1090011""","Learning Disability",64,71.9
"Plainfield School District","=""1090011""","Other Disabilities","*","*"
"Plainfield School District","=""1090011""","Other Health Impairment",48,76.2
"Plainfield School District","=""1090011""","Speech Language Impairment",26,74.3
"Plainville School District","=""1100011""","All Disabilities",220,77.7
"Plainville School District","=""1100011""","Autism",22,64.7
"Plainville School District","=""1100011""","Emotional Disturbance",19,59.4
"Plainville School District","=""1100011""","Intellectual Disability","*","*"
"Plainville School District","=""1100011""","Learning Disability",61,93.8
"Plainville School District","=""1100011""","Other Disabilities","*","*"
"Plainville School District","=""1100011""","Other Health Impairment",72,91.1
"Plainville School District","=""1100011""","Speech Language Impairment",37,97.4
"Plymouth School District","=""1110011""","All Disabilities",151,70.6
"Plymouth School District","=""1110011""","Autism","*","*"
"Plymouth School District","=""1110011""","Emotional Disturbance",10,37.0
"Plymouth School District","=""1110011""","Intellectual Disability",0,0
"Plymouth School District","=""1110011""","Learning Disability",53,88.3
"Plymouth School District","=""1110011""","Other Disabilities","*","*"
"Plymouth School District","=""1110011""","Other Health Impairment",51,83.6
"Plymouth School District","=""1110011""","Speech Language Impairment",24,100.0
"Pomfret School District","=""1120011""","All Disabilities",36,65.5
"Pomfret School District","=""1120011""","Autism",8,"*"
"Pomfret School District","=""1120011""","Emotional Disturbance","*","*"
"Pomfret School District","=""1120011""","Intellectual Disability",0,0
"Pomfret School District","=""1120011""","Learning Disability",13,"*"
"Pomfret School District","=""1120011""","Other Disabilities",0,0
"Pomfret School District","=""1120011""","Other Health Impairment","*","*"
"Pomfret School District","=""1120011""","Speech Language Impairment",9,"*"
"Portland School District","=""1130011""","All Disabilities",100,82.6
"Portland School District","=""1130011""","Autism",8,"*"
"Portland School District","=""1130011""","Emotional Disturbance","*","*"
"Portland School District","=""1130011""","Intellectual Disability","*","*"
"Portland School District","=""1130011""","Learning Disability",56,98.2
"Portland School District","=""1130011""","Other Disabilities","*","*"
"Portland School District","=""1130011""","Other Health Impairment",12,57.1
"Portland School District","=""1130011""","Speech Language Impairment",18,"*"
"Preston School District","=""1140011""","All Disabilities",64,67.4
"Preston School District","=""1140011""","Autism","*","*"
"Preston School District","=""1140011""","Emotional Disturbance","*","*"
"Preston School District","=""1140011""","Intellectual Disability",0,0
"Preston School District","=""1140011""","Learning Disability",15,"*"
"Preston School District","=""1140011""","Other Disabilities","*","*"
"Preston School District","=""1140011""","Other Health Impairment",17,"*"
"Preston School District","=""1140011""","Speech Language Impairment",23,76.7
"Putnam School District","=""1160011""","All Disabilities",93,56.7
"Putnam School District","=""1160011""","Autism",12,41.4
"Putnam School District","=""1160011""","Emotional Disturbance","*","*"
"Putnam School District","=""1160011""","Intellectual Disability","*","*"
"Putnam School District","=""1160011""","Learning Disability",50,75.8
"Putnam School District","=""1160011""","Other Disabilities",0,0
"Putnam School District","=""1160011""","Other Health Impairment",12,"*"
"Putnam School District","=""1160011""","Speech Language Impairment",10,"*"
"Redding School District","=""1170011""","All Disabilities",109,90.1
"Redding School District","=""1170011""","Autism","*","*"
"Redding School District","=""1170011""","Emotional Disturbance",8,"*"
"Redding School District","=""1170011""","Learning Disability",26,89.7
"Redding School District","=""1170011""","Other Disabilities","*","*"
"Redding School District","=""1170011""","Other Health Impairment",26,92.9
"Redding School District","=""1170011""","Speech Language Impairment",42,100.0
"Regional School District 01","=""2010012""","All Disabilities",42,61.8
"Regional School District 01","=""2010012""","Autism","*","*"
"Regional School District 01","=""2010012""","Emotional Disturbance","*","*"
"Regional School District 01","=""2010012""","Learning Disability",27,75.0
"Regional School District 01","=""2010012""","Other Disabilities","*","*"
"Regional School District 01","=""2010012""","Other Health Impairment","*","*"
"Regional School District 01","=""2010012""","Speech Language Impairment","*","*"
"Regional School District 04","=""2040012""","All Disabilities",93,70.5
"Regional School District 04","=""2040012""","Autism",13,65.0
"Regional School District 04","=""2040012""","Emotional Disturbance",8,"*"
"Regional School District 04","=""2040012""","Intellectual Disability",0,0
"Regional School District 04","=""2040012""","Learning Disability",46,86.8
"Regional School District 04","=""2040012""","Other Disabilities","*","*"
"Regional School District 04","=""2040012""","Other Health Impairment",19,63.3
"Regional School District 04","=""2040012""","Speech Language Impairment","*","*"
"Regional School District 05","=""2050012""","All Disabilities",195,72.2
"Regional School District 05","=""2050012""","Autism",19,43.2
"Regional School District 05","=""2050012""","Emotional Disturbance",15,75.0
"Regional School District 05","=""2050012""","Intellectual Disability","*","*"
"Regional School District 05","=""2050012""","Learning Disability",77,89.5
"Regional School District 05","=""2050012""","Other Disabilities","*","*"
"Regional School District 05","=""2050012""","Other Health Impairment",56,91.8
"Regional School District 05","=""2050012""","Speech Language Impairment",22,66.7
"Regional School District 06","=""2060012""","All Disabilities",79,77.5
"Regional School District 06","=""2060012""","Autism","*","*"
"Regional School District 06","=""2060012""","Emotional Disturbance","*","*"
"Regional School District 06","=""2060012""","Intellectual Disability","*","*"
"Regional School District 06","=""2060012""","Learning Disability",48,94.1
"Regional School District 06","=""2060012""","Other Disabilities","*","*"
"Regional School District 06","=""2060012""","Other Health Impairment",14,"*"
"Regional School District 06","=""2060012""","Speech Language Impairment","*","*"
"Regional School District 07","=""2070012""","All Disabilities",67,57.8
"Regional School District 07","=""2070012""","Autism",7,"*"
"Regional School District 07","=""2070012""","Emotional Disturbance","*","*"
"Regional School District 07","=""2070012""","Intellectual Disability","*","*"
"Regional School District 07","=""2070012""","Learning Disability",33,68.8
"Regional School District 07","=""2070012""","Other Disabilities","*","*"
"Regional School District 07","=""2070012""","Other Health Impairment",9,"*"
"Regional School District 07","=""2070012""","Speech Language Impairment",6,"*"
"Regional School District 08","=""2080012""","All Disabilities",143,64.7
"Regional School District 08","=""2080012""","Autism",10,"*"
"Regional School District 08","=""2080012""","Emotional Disturbance",12,50.0
"Regional School District 08","=""2080012""","Intellectual Disability","*","*"
"Regional School District 08","=""2080012""","Learning Disability",58,73.4
"Regional School District 08","=""2080012""","Other Disabilities","*","*"
"Regional School District 08","=""2080012""","Other Health Impairment",51,69.9
"Regional School District 08","=""2080012""","Speech Language Impairment",7,"*"
"Regional School District 09","=""2090012""","All Disabilities",85,70.2
"Regional School District 09","=""2090012""","Autism","*","*"
"Regional School District 09","=""2090012""","Emotional Disturbance","*","*"
"Regional School District 09","=""2090012""","Intellectual Disability",0,0
"Regional School District 09","=""2090012""","Learning Disability",32,84.2
"Regional School District 09","=""2090012""","Other Disabilities",0,0
"Regional School District 09","=""2090012""","Other Health Impairment",31,75.6
"Regional School District 09","=""2090012""","Speech Language Impairment",10,"*"
"Regional School District 10","=""2100012""","All Disabilities",185,76.4
"Regional School District 10","=""2100012""","Autism",26,60.5
"Regional School District 10","=""2100012""","Emotional Disturbance",9,"*"
"Regional School District 10","=""2100012""","Intellectual Disability","*","*"
"Regional School District 10","=""2100012""","Learning Disability",75,91.5
"Regional School District 10","=""2100012""","Other Disabilities","*","*"
"Regional School District 10","=""2100012""","Other Health Impairment",43,86.0
"Regional School District 10","=""2100012""","Speech Language Impairment",22,95.7
"Regional School District 11","=""2110012""","All Disabilities",45,63.4
"Regional School District 11","=""2110012""","Autism","*","*"
"Regional School District 11","=""2110012""","Emotional Disturbance","*","*"
"Regional School District 11","=""2110012""","Intellectual Disability","*","*"
"Regional School District 11","=""2110012""","Learning Disability",21,75.0
"Regional School District 11","=""2110012""","Other Disabilities","*","*"
"Regional School District 11","=""2110012""","Other Health Impairment",8,"*"
"Regional School District 11","=""2110012""","Speech Language Impairment","*","*"
"Regional School District 12","=""2120012""","All Disabilities",73,64.6
"Regional School District 12","=""2120012""","Autism",9,"*"
"Regional School District 12","=""2120012""","Emotional Disturbance",6,"*"
"Regional School District 12","=""2120012""","Intellectual Disability",0,0
"Regional School District 12","=""2120012""","Learning Disability",32,78.0
"Regional School District 12","=""2120012""","Other Disabilities",0,0
"Regional School District 12","=""2120012""","Other Health Impairment",16,61.5
"Regional School District 12","=""2120012""","Speech Language Impairment",10,"*"
"Regional School District 13","=""2130012""","All Disabilities",189,75.0
"Regional School District 13","=""2130012""","Autism",19,50.0
"Regional School District 13","=""2130012""","Emotional Disturbance","*","*"
"Regional School District 13","=""2130012""","Intellectual Disability","*","*"
"Regional School District 13","=""2130012""","Learning Disability",82,84.5
"Regional School District 13","=""2130012""","Other Disabilities","*","*"
"Regional School District 13","=""2130012""","Other Health Impairment",45,90.0
"Regional School District 13","=""2130012""","Speech Language Impairment",37,82.2
"Regional School District 14","=""2140012""","All Disabilities",132,76.3
"Regional School District 14","=""2140012""","Autism",8,32.0
"Regional School District 14","=""2140012""","Emotional Disturbance","*","*"
"Regional School District 14","=""2140012""","Intellectual Disability","*","*"
"Regional School District 14","=""2140012""","Learning Disability",62,92.5
"Regional School District 14","=""2140012""","Other Disabilities","*","*"
"Regional School District 14","=""2140012""","Other Health Impairment",34,91.9
"Regional School District 14","=""2140012""","Speech Language Impairment",17,"*"
"Regional School District 15","=""2150012""","All Disabilities",307,68.2
"Regional School District 15","=""2150012""","Autism",40,52.6
"Regional School District 15","=""2150012""","Emotional Disturbance","*","*"
"Regional School District 15","=""2150012""","Intellectual Disability","*","*"
"Regional School District 15","=""2150012""","Learning Disability",139,78.1
"Regional School District 15","=""2150012""","Other Disabilities",8,28.6
"Regional School District 15","=""2150012""","Other Health Impairment",62,78.5
"Regional School District 15","=""2150012""","Speech Language Impairment",52,77.6
"Regional School District 16","=""2160012""","All Disabilities",191,66.1
"Regional School District 16","=""2160012""","Autism",28,56.0
"Regional School District 16","=""2160012""","Emotional Disturbance","*","*"
"Regional School District 16","=""2160012""","Intellectual Disability",0,0
"Regional School District 16","=""2160012""","Learning Disability",61,69.3
"Regional School District 16","=""2160012""","Other Disabilities","*","*"
"Regional School District 16","=""2160012""","Other Health Impairment",47,70.1
"Regional School District 16","=""2160012""","Speech Language Impairment",50,90.9
"Regional School District 17","=""2170012""","All Disabilities",269,86.8
"Regional School District 17","=""2170012""","Autism",29,80.6
"Regional School District 17","=""2170012""","Emotional Disturbance",17,68.0
"Regional School District 17","=""2170012""","Intellectual Disability",0,0
"Regional School District 17","=""2170012""","Learning Disability",126,97.7
"Regional School District 17","=""2170012""","Other Disabilities",10,50.0
"Regional School District 17","=""2170012""","Other Health Impairment",66,89.2
"Regional School District 17","=""2170012""","Speech Language Impairment",21,95.5
"Regional School District 18","=""2180012""","All Disabilities",104,65.8
"Regional School District 18","=""2180012""","Autism",9,"*"
"Regional School District 18","=""2180012""","Emotional Disturbance",7,"*"
"Regional School District 18","=""2180012""","Intellectual Disability","*","*"
"Regional School District 18","=""2180012""","Learning Disability",39,67.2
"Regional School District 18","=""2180012""","Other Disabilities","*","*"
"Regional School District 18","=""2180012""","Other Health Impairment",24,80.0
"Regional School District 18","=""2180012""","Speech Language Impairment",23,85.2
"Regional School District 19","=""2190012""","All Disabilities",93,56.4
"Regional School District 19","=""2190012""","Autism","*","*"
"Regional School District 19","=""2190012""","Emotional Disturbance",10,41.7
"Regional School District 19","=""2190012""","Intellectual Disability",0,0
"Regional School District 19","=""2190012""","Learning Disability",38,66.7
"Regional School District 19","=""2190012""","Other Disabilities","*","*"
"Regional School District 19","=""2190012""","Other Health Impairment",33,71.7
"Regional School District 19","=""2190012""","Speech Language Impairment","*","*"
"Ridgefield School District","=""1180011""","All Disabilities",340,75.9
"Ridgefield School District","=""1180011""","Autism",37,53.6
"Ridgefield School District","=""1180011""","Emotional Disturbance","*","*"
"Ridgefield School District","=""1180011""","Intellectual Disability",0,0
"Ridgefield School District","=""1180011""","Learning Disability",156,91.2
"Ridgefield School District","=""1180011""","Other Disabilities","*","*"
"Ridgefield School District","=""1180011""","Other Health Impairment",65,84.4
