"CT School Day SAT, 2015-16"
"All Districts, Math, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",301,"*","*","*","*","*","*","*","*","*","*",553
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",157,"*","*","*","*","*","*","*","*","*","*",504
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",146,14,9.6,53,36.3,64,43.8,15,10.3,79,54.1,531
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",258,23,8.9,92,35.7,97,37.6,46,17.8,143,55.4,549
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",410,"*","*","*","*","*","*","*","*","*","*",607
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",168,19,11.3,57,33.9,67,39.9,25,14.9,92,54.8,534
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",151,30,19.9,66,43.7,44,29.1,11,7.3,55,36.4,496
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",371,52,14.0,119,32.1,164,44.2,36,9.7,200,53.9,524
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,21,5.9,76,21.3,145,40.7,114,32.0,259,72.8,589
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","*","*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",326,32,9.8,99,30.4,138,42.3,57,17.5,195,59.8,550
"Southington School District","=""1310011""","Alta","=""1310111""",13,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",457,"*","*","*","*","*","*","*","*","*","*",538
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",99,12,12.1,40,40.4,36,36.4,11,11.1,47,47.5,528
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",25,19,76.0,6,24.0,0,0.0,0,0.0,0,0.0,370
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",432,134,31.0,178,41.2,97,22.5,23,5.3,120,27.8,470
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",162,30,18.5,66,40.7,46,28.4,20,12.3,66,40.7,510
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",488,155,31.8,166,34.0,99,20.3,68,13.9,167,34.2,489
"Stonington School District","=""1370011""","SAILS","=""1370711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",225,57,25.3,107,47.6,53,23.6,8,3.6,61,27.1,476
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",232,72,31.0,91,39.2,51,22.0,18,7.8,69,29.7,478
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",180,18,10.0,64,35.6,77,42.8,21,11.7,98,54.4,534
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",40,"*","*",21,52.5,"*","*",0,0.0,"*","*",431
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",101,28,27.7,36,35.6,24,23.8,13,12.9,37,36.6,499
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",62,"*","*",32,51.6,17,27.4,"*","*","*","*",478
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",44,15,34.1,17,38.6,12,27.3,0,0.0,12,27.3,471
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",199,11,5.5,50,25.1,93,46.7,45,22.6,138,69.3,570
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",191,52,27.2,90,47.1,41,21.5,8,4.2,49,25.7,470
"Trumbull School District","=""1440011""","REACH","=""1440511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",486,33,6.8,164,33.7,182,37.4,107,22.0,289,59.5,561
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",187,37,19.8,77,41.2,64,34.2,9,4.8,73,39.0,497
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",251,52,20.7,128,51.0,63,25.1,8,3.2,71,28.3,484
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",205,26,12.7,97,47.3,72,35.1,10,4.9,82,40.0,506
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",237,149,62.9,67,28.3,"*","*","*","*",21,8.9,404
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",12,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",244,134,54.9,92,37.7,"*","*","*","*",18,7.4,413
"Waterbury School District","=""1510011""","State Street School","=""1519011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",112,30,26.8,62,55.4,"*","*","*","*",20,17.9,461
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",204,75,36.8,101,49.5,28,13.7,0,0.0,28,13.7,440
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",233,150,64.4,72,30.9,"*","*","*","*",11,4.7,400
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",203,32,15.8,86,42.4,60,29.6,25,12.3,85,41.9,513
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",197,39,19.8,103,52.3,44,22.3,11,5.6,55,27.9,486
"West Hartford School District","=""1550011""","REACH","=""1557311""",19,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",357,48,13.4,112,31.4,131,36.7,66,18.5,197,55.2,542
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",365,40,11.0,101,27.7,129,35.3,95,26.0,224,61.4,562
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",295,99,33.6,145,49.2,45,15.3,6,2.0,51,17.3,455
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",197,25,12.7,32,16.2,69,35.0,71,36.0,140,71.1,582
"Westport School District","=""1580011""","Staples High School","=""1586111""",431,32,7.4,73,16.9,163,37.8,163,37.8,326,75.6,599
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",250,40,16.0,91,36.4,95,38.0,24,9.6,119,47.6,519
"Wilton School District","=""1610011""","Wilton High School","=""1616111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",101,62,61.4,28,27.7,11,10.9,0,0.0,11,10.9,410
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Spark","=""1640311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",257,63,24.5,120,46.7,54,21.0,20,7.8,74,28.8,483
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",258,34,13.2,93,36.0,76,29.5,55,21.3,131,50.8,538

