"CT School Day SAT, 2015-16"
"All Districts, ELA, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",301,"*","*","*","*","*","*","*","*","*","*",566
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",157,"*","*","*","*","*","*","*","*","*","*",544
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",146,9,6.2,11,7.5,88,60.3,38,26.0,126,86.3,563
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",258,15,5.8,31,12.0,145,56.2,67,26.0,212,82.2,562
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",410,"*","*","*","*","*","*","*","*","*","*",611
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",168,10,6.0,29,17.3,100,59.5,29,17.3,129,76.8,542
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",151,27,17.9,33,21.9,76,50.3,15,9.9,91,60.3,502
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",371,35,9.4,59,15.9,214,57.7,63,17.0,277,74.7,540
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,17,4.8,26,7.3,176,49.4,137,38.5,313,87.9,589
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","*","*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",326,17,5.2,40,12.3,197,60.4,72,22.1,269,82.5,557
"Southington School District","=""1310011""","Alta","=""1310111""",13,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",457,"*","*","*","*","*","*","*","*","*","*",544
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",99,11,11.1,13,13.1,56,56.6,19,19.2,75,75.8,537
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",25,17,68.0,"*","*","*","*",0,0.0,"*","*",384
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",432,110,25.5,100,23.1,195,45.1,27,6.3,222,51.4,483
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",162,19,11.7,28,17.3,90,55.6,25,15.4,115,71.0,529
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",488,116,23.8,105,21.5,189,38.7,78,16.0,267,54.7,500
"Stonington School District","=""1370011""","SAILS","=""1370711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",225,37,16.4,49,21.8,125,55.6,14,6.2,139,61.8,501
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",232,46,19.8,42,18.1,112,48.3,32,13.8,144,62.1,508
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",180,13,7.2,19,10.6,105,58.3,43,23.9,148,82.2,556
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",40,14,35.0,14,35.0,12,30.0,0,0.0,12,30.0,438
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",102,22,21.6,17,16.7,52,51.0,11,10.8,63,61.8,499
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",62,"*","*",11,17.7,37,59.7,"*","*","*","*",502
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",44,"*","*",11,25.0,24,54.5,"*","*","*","*",506
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",199,8,4.0,19,9.5,115,57.8,57,28.6,172,86.4,570
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",191,35,18.3,46,24.1,97,50.8,13,6.8,110,57.6,493
"Trumbull School District","=""1440011""","REACH","=""1440511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",486,26,5.3,54,11.1,286,58.8,120,24.7,406,83.5,559
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",187,27,14.4,36,19.3,99,52.9,25,13.4,124,66.3,521
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",251,38,15.1,44,17.5,144,57.4,25,10.0,169,67.3,511
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",205,15,7.3,23,11.2,136,66.3,31,15.1,167,81.5,540
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",238,119,50.0,61,25.6,49,20.6,9,3.8,58,24.4,431
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",12,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",246,114,46.3,54,22.0,68,27.6,10,4.1,78,31.7,442
"Waterbury School District","=""1510011""","State Street School","=""1519011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",112,20,17.9,28,25.0,55,49.1,9,8.0,64,57.1,496
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",204,43,21.1,70,34.3,81,39.7,10,4.9,91,44.6,473
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",234,107,45.7,65,27.8,55,23.5,7,3.0,62,26.5,433
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",203,15,7.4,34,16.7,124,61.1,30,14.8,154,75.9,533
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",197,29,14.7,32,16.2,116,58.9,20,10.2,136,69.0,516
"West Hartford School District","=""1550011""","REACH","=""1557311""",20,13,65.0,"*","*","*","*",0,0.0,"*","*",395
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",357,38,10.6,47,13.2,181,50.7,91,25.5,272,76.2,553
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",365,26,7.1,41,11.2,163,44.7,135,37.0,298,81.6,576
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",295,82,27.8,78,26.4,118,40.0,17,5.8,135,45.8,472
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",197,19,9.6,12,6.1,90,45.7,76,38.6,166,84.3,585
"Westport School District","=""1580011""","Staples High School","=""1586111""",431,23,5.3,17,3.9,199,46.2,192,44.5,391,90.7,598
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",250,33,13.2,40,16.0,145,58.0,32,12.8,177,70.8,522
"Wilton School District","=""1610011""","Wilton High School","=""1616111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",101,47,46.5,28,27.7,"*","*","*","*",26,25.7,433
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Spark","=""1640311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",257,44,17.1,69,26.8,120,46.7,24,9.3,144,56.0,503
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",258,21,8.1,39,15.1,153,59.3,45,17.4,198,76.7,540

