"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Regional School District 05","=""2050012""","White",82.9,94.3
"Regional School District 06","=""2060012""","Hispanic or Latino",*,*
"Regional School District 06","=""2060012""","White",*,*
"Regional School District 07","=""2070012""","Asian",*,*
"Regional School District 07","=""2070012""","Black or African American",*,*
"Regional School District 07","=""2070012""","Hispanic or Latino",*,*
"Regional School District 07","=""2070012""","White",69.8,92.4
"Regional School District 08","=""2080012""","Asian",*,*
"Regional School District 08","=""2080012""","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","White",84.9,93.0
"Regional School District 09","=""2090012""","American Indian or Alaska Native",*,*
"Regional School District 09","=""2090012""","Asian",*,*
"Regional School District 09","=""2090012""","Black or African American",*,*
"Regional School District 09","=""2090012""","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","White",81.1,93.7
"Regional School District 10","=""2100012""","Asian",*,*
"Regional School District 10","=""2100012""","Black or African American",*,*
"Regional School District 10","=""2100012""","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","Two or More Races",*,*
"Regional School District 10","=""2100012""","White",82.0,93.9
"Regional School District 11","=""2110012""","White",71.4,100.0
"Regional School District 12","=""2120012""","Hispanic or Latino",*,*
"Regional School District 12","=""2120012""","White",68.8,85.5
"Regional School District 13","=""2130012""","American Indian or Alaska Native",*,*
"Regional School District 13","=""2130012""","Asian",*,*
"Regional School District 13","=""2130012""","Black or African American",*,*
"Regional School District 13","=""2130012""","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","White",87.8,94.4
"Regional School District 14","=""2140012""","Asian",*,*
"Regional School District 14","=""2140012""","Black or African American",*,*
"Regional School District 14","=""2140012""","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","White",79.6,89.0
"Regional School District 15","=""2150012""","American Indian or Alaska Native",*,*
"Regional School District 15","=""2150012""","Asian",*,*
"Regional School District 15","=""2150012""","Black or African American",*,*
"Regional School District 15","=""2150012""","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","White",83.3,94.3
"Regional School District 16","=""2160012""","American Indian or Alaska Native",*,*
"Regional School District 16","=""2160012""","Asian",*,*
"Regional School District 16","=""2160012""","Black or African American",*,*
"Regional School District 16","=""2160012""","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","Two or More Races",*,*
"Regional School District 16","=""2160012""","White",76.9,87.8
"Regional School District 17","=""2170012""","Asian",*,*
"Regional School District 17","=""2170012""","Black or African American",*,*
"Regional School District 17","=""2170012""","Hispanic or Latino",*,*
"Regional School District 17","=""2170012""","White",75.5,*
"Regional School District 18","=""2180012""","American Indian or Alaska Native",*,*
"Regional School District 18","=""2180012""","Asian",*,*
"Regional School District 18","=""2180012""","Black or African American",*,*
"Regional School District 18","=""2180012""","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","Native Hawaiian or Other Pacific Islander",*,*
"Regional School District 18","=""2180012""","White",76.9,86.0
"Regional School District 19","=""2190012""","Asian",*,*
"Regional School District 19","=""2190012""","Black or African American",*,*
"Regional School District 19","=""2190012""","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","Two or More Races",*,*
"Regional School District 19","=""2190012""","White",73.5,93.9
"Capitol Region Education Council","=""2410014""","Asian",*,*
"Capitol Region Education Council","=""2410014""","Black or African American",77.2,78.9
"Capitol Region Education Council","=""2410014""","Hispanic or Latino",64.0,*
"Capitol Region Education Council","=""2410014""","White",68.4,86.2
"Education Connection","=""2420014""","Black or African American",*,*
"Education Connection","=""2420014""","Hispanic or Latino",*,*
"Education Connection","=""2420014""","White",*,*
"Cooperative Educational Services","=""2430014""","Two or More Races",*,*
"Cooperative Educational Services","=""2430014""","White",*,*
"Area Cooperative Educational Services","=""2440014""","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","White",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","American Indian or Alaska Native",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Black or African American",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Hispanic or Latino",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","White",57.1,60.0
"Common Ground High School District","=""2680013""","Black or African American",*,*
"Common Ground High School District","=""2680013""","Hispanic or Latino",*,*
"Common Ground High School District","=""2680013""","White",*,*
"The Bridge Academy District","=""2690013""","Black or African American",*,*
"The Bridge Academy District","=""2690013""","Hispanic or Latino",*,*
"The Bridge Academy District","=""2690013""","Two or More Races",*,*
"Explorations District","=""2720013""","Asian",*,*
"Explorations District","=""2720013""","Hispanic or Latino",*,*
"Explorations District","=""2720013""","White",26.1,*
"Amistad Academy District","=""2790013""","Black or African American",*,*
"Amistad Academy District","=""2790013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","Black or African American",40.0,*
"Stamford Academy District","=""2820013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","White",*,*
"Unified School District #1","=""3360015""","Black or African American",*,*
"Unified School District #1","=""3360015""","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","White",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Hispanic or Latino",*,*
"Department of Mental Health and Addiction Services","=""3370015""","White",*,*
"Unified School District #2","=""3470015""","Black or African American",*,*
"Unified School District #2","=""3470015""","Hispanic or Latino",*,*
"Unified School District #2","=""3470015""","White",*,*
"Connecticut Technical High School System","=""9000016""","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Black or African American",61.7,82.7
"Connecticut Technical High School System","=""9000016""","Hispanic or Latino",49.5,73.5
"Connecticut Technical High School System","=""9000016""","Two or More Races",*,*
"Connecticut Technical High School System","=""9000016""","White",37.5,74.7
"Norwich Free Academy District","=""9010022""","American Indian or Alaska Native",*,*
"Norwich Free Academy District","=""9010022""","Asian",73.5,96.0
"Norwich Free Academy District","=""9010022""","Black or African American",61.0,86.1
"Norwich Free Academy District","=""9010022""","Hispanic or Latino",68.4,79.5
"Norwich Free Academy District","=""9010022""","Native Hawaiian or Other Pacific Islander",*,*
"Norwich Free Academy District","=""9010022""","Two or More Races",*,*
"Norwich Free Academy District","=""9010022""","White",75.8,89.0
"The Gilbert School District","=""9020022""","Asian",*,*
"The Gilbert School District","=""9020022""","Black or African American",*,*
"The Gilbert School District","=""9020022""","Hispanic or Latino",*,*
"The Gilbert School District","=""9020022""","Two or More Races",*,*
"The Gilbert School District","=""9020022""","White",82.4,90.5
"Woodstock Academy District","=""9030022""","American Indian or Alaska Native",*,*
"Woodstock Academy District","=""9030022""","Asian",*,*
"Woodstock Academy District","=""9030022""","Black or African American",*,*
"Woodstock Academy District","=""9030022""","Hispanic or Latino",*,*
"Woodstock Academy District","=""9030022""","White",79.8,89.9

