"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Common Ground High School District","=""2680013""","Black or African American",*,*
"Common Ground High School District","=""2680013""","Hispanic or Latino",*,*
"Common Ground High School District","=""2680013""","White",*,*
"The Bridge Academy District","=""2690013""","Black or African American",*,*
"The Bridge Academy District","=""2690013""","Hispanic or Latino",*,*
"The Bridge Academy District","=""2690013""","White",*,*
"Explorations District","=""2720013""","American Indian or Alaska Native",*,*
"Explorations District","=""2720013""","Hispanic or Latino",*,*
"Explorations District","=""2720013""","White",*,*
"Stamford Academy District","=""2820013""","Black or African American",24.0,*
"Stamford Academy District","=""2820013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","White",*,*
"Unified School District #1","=""3360015""","Black or African American",*,*
"Unified School District #1","=""3360015""","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","White",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Hispanic or Latino",*,*
"Department of Mental Health and Addiction Services","=""3370015""","White",*,*
"Unified School District #2","=""3470015""","White",*,*
"Connecticut Technical High School System","=""9000016""","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Black or African American",50.3,76.7
"Connecticut Technical High School System","=""9000016""","Hispanic or Latino",38.6,77.4
"Connecticut Technical High School System","=""9000016""","White",29.8,76.0
"Norwich Free Academy District","=""9010022""","American Indian or Alaska Native",*,*
"Norwich Free Academy District","=""9010022""","Asian",76.9,*
"Norwich Free Academy District","=""9010022""","Black or African American",68.9,71.0
"Norwich Free Academy District","=""9010022""","Hispanic or Latino",62.2,89.3
"Norwich Free Academy District","=""9010022""","White",75.1,88.1
"The Gilbert School District","=""9020022""","Asian",*,*
"The Gilbert School District","=""9020022""","Black or African American",*,*
"The Gilbert School District","=""9020022""","Hispanic or Latino",*,*
"The Gilbert School District","=""9020022""","White",80.8,88.1
"Woodstock Academy District","=""9030022""","American Indian or Alaska Native",*,*
"Woodstock Academy District","=""9030022""","Asian",*,*
"Woodstock Academy District","=""9030022""","Black or African American",*,*
"Woodstock Academy District","=""9030022""","Hispanic or Latino",*,*
"Woodstock Academy District","=""9030022""","White",75.0,88.0

