"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Capitol Region Education Council","=""2410014""","Black or African American",74.1,85.0
"Capitol Region Education Council","=""2410014""","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","White",72.2,70.2
"Education Connection","=""2420014""","White",*,*
"Cooperative Educational Services","=""2430014""","Asian",*,*
"Cooperative Educational Services","=""2430014""","Black or African American",*,*
"Cooperative Educational Services","=""2430014""","Hispanic or Latino",*,*
"Cooperative Educational Services","=""2430014""","White",*,*
"Area Cooperative Educational Services","=""2440014""","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","White",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","White",*,*
"Common Ground High School District","=""2680013""","Asian",*,*
"Common Ground High School District","=""2680013""","Black or African American",*,*
"Common Ground High School District","=""2680013""","Hispanic or Latino",*,*
"Common Ground High School District","=""2680013""","White",*,*
"The Bridge Academy District","=""2690013""","Black or African American",*,*
"The Bridge Academy District","=""2690013""","Hispanic or Latino",*,*
"The Bridge Academy District","=""2690013""","White",*,*
"Explorations District","=""2720013""","Hispanic or Latino",*,*
"Explorations District","=""2720013""","White",46.4,*
"Amistad Academy District","=""2790013""","Black or African American",*,*
"Amistad Academy District","=""2790013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","Black or African American",*,*
"Stamford Academy District","=""2820013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","White",*,*
"Unified School District #1","=""3360015""","Black or African American",*,*
"Unified School District #1","=""3360015""","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","White",*,*
"Department of Mental Health and Addiction Services","=""3370015""","White",*,*
"Unified School District #2","=""3470015""","Black or African American",*,*
"Unified School District #2","=""3470015""","Hispanic or Latino",*,*
"Unified School District #2","=""3470015""","White",*,*
"Connecticut Technical High School System","=""9000016""","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Black or African American",52.9,77.0
"Connecticut Technical High School System","=""9000016""","Hispanic or Latino",47.6,75.5
"Connecticut Technical High School System","=""9000016""","White",40.1,73.5
"Norwich Free Academy District","=""9010022""","American Indian or Alaska Native",*,*
"Norwich Free Academy District","=""9010022""","Asian",*,*
"Norwich Free Academy District","=""9010022""","Black or African American",59.7,76.7
"Norwich Free Academy District","=""9010022""","Hispanic or Latino",71.4,87.5
"Norwich Free Academy District","=""9010022""","White",76.0,88.0
"The Gilbert School District","=""9020022""","Black or African American",*,*
"The Gilbert School District","=""9020022""","Hispanic or Latino",*,*
"The Gilbert School District","=""9020022""","White",79.8,73.3
"Woodstock Academy District","=""9030022""","American Indian or Alaska Native",*,*
"Woodstock Academy District","=""9030022""","Asian",*,*
"Woodstock Academy District","=""9030022""","Hispanic or Latino",*,*
"Woodstock Academy District","=""9030022""","White",83.1,89.6

