"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Newtown School District","=""0970011""","Newtown High School","American Indian or Alaska Native",*,*
"Newtown School District","=""0970011""","Newtown High School","Asian",*,*
"Newtown School District","=""0970011""","Newtown High School","Black or African American",*,*
"Newtown School District","=""0970011""","Newtown High School","Hispanic or Latino",*,*
"Newtown School District","=""0970011""","Newtown High School","White",83.5,92.9
"North Branford School District","=""0990011""","North Branford High School","American Indian or Alaska Native",*,*
"North Branford School District","=""0990011""","North Branford High School","Asian",*,*
"North Branford School District","=""0990011""","North Branford High School","Black or African American",*,*
"North Branford School District","=""0990011""","North Branford High School","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","North Branford High School","White",82.0,93.9
"North Haven School District","=""1010011""","North Haven High School","Asian",91.3,100.0
"North Haven School District","=""1010011""","North Haven High School","Black or African American",*,*
"North Haven School District","=""1010011""","North Haven High School","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","North Haven High School","White",83.5,90.1
"North Stonington School District","=""1020011""","Wheeler High School","American Indian or Alaska Native",*,*
"North Stonington School District","=""1020011""","Wheeler High School","White",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","American Indian or Alaska Native",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Asian",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Black or African American",65.7,84.5
"Norwalk School District","=""1030011""","Brien McMahon High School","Hispanic or Latino",64.5,87.0
"Norwalk School District","=""1030011""","Brien McMahon High School","White",82.9,87.3
"Norwalk School District","=""1030011""","Norwalk High School","Asian",*,*
"Norwalk School District","=""1030011""","Norwalk High School","Black or African American",73.8,88.9
"Norwalk School District","=""1030011""","Norwalk High School","Hispanic or Latino",60.8,91.1
"Norwalk School District","=""1030011""","Norwalk High School","White",82.0,89.0
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Black or African American",*,*
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Hispanic or Latino",*,*
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","White",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","White",*,*
"Norwich School District","=""1040011""","Thames River Academy","Black or African American",*,*
"Norwich School District","=""1040011""","Thames River Academy","White",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Asian",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Black or African American",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","White",85.1,93.8
"Oxford School District","=""1080011""","Oxford High School","American Indian or Alaska Native",*,*
"Oxford School District","=""1080011""","Oxford High School","Asian",*,*
"Oxford School District","=""1080011""","Oxford High School","Black or African American",*,*
"Oxford School District","=""1080011""","Oxford High School","Hispanic or Latino",*,*
"Oxford School District","=""1080011""","Oxford High School","White",72.8,93.3
"Plainfield School District","=""1090011""","Plainfield High School","Asian",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","Plainfield High School","White",62.0,79.8
"Plainville School District","=""1100011""","Plainville High School","American Indian or Alaska Native",*,*
"Plainville School District","=""1100011""","Plainville High School","Asian",*,*
"Plainville School District","=""1100011""","Plainville High School","Black or African American",*,*
"Plainville School District","=""1100011""","Plainville High School","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","Plainville High School","White",71.5,87.3
"Plymouth School District","=""1110011""","Terryville High School","Asian",*,*
"Plymouth School District","=""1110011""","Terryville High School","Black or African American",*,*
"Plymouth School District","=""1110011""","Terryville High School","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","Terryville High School","White",64.4,88.2
"Portland School District","=""1130011""","Portland High School","Black or African American",*,*
"Portland School District","=""1130011""","Portland High School","Hispanic or Latino",*,*
"Portland School District","=""1130011""","Portland High School","White",82.1,89.1
"Putnam School District","=""1160011""","Helping Hands","White",*,*
"Putnam School District","=""1160011""","Putnam High School","Asian",*,*
"Putnam School District","=""1160011""","Putnam High School","Black or African American",*,*
"Putnam School District","=""1160011""","Putnam High School","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","Putnam High School","White",64.8,67.4
"Ridgefield School District","=""1180011""","Ridgefield High School","Asian",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Black or African American",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","White",88.2,96.3
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Asian",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","White",82.5,89.0
"Seymour School District","=""1240011""","Seymour High School","American Indian or Alaska Native",*,*
"Seymour School District","=""1240011""","Seymour High School","Asian",*,*
"Seymour School District","=""1240011""","Seymour High School","Black or African American",*,*
"Seymour School District","=""1240011""","Seymour High School","Hispanic or Latino",69.6,*
"Seymour School District","=""1240011""","Seymour High School","White",78.8,90.4
"Shelton School District","=""1260011""","Shelton High School","American Indian or Alaska Native",*,*
"Shelton School District","=""1260011""","Shelton High School","Asian",*,*
"Shelton School District","=""1260011""","Shelton High School","Black or African American",*,*
"Shelton School District","=""1260011""","Shelton High School","Hispanic or Latino",*,*
"Shelton School District","=""1260011""","Shelton High School","White",78.8,89.9
"Simsbury School District","=""1280011""","Simsbury High School","American Indian or Alaska Native",*,*
"Simsbury School District","=""1280011""","Simsbury High School","Asian",*,*
"Simsbury School District","=""1280011""","Simsbury High School","Black or African American",*,*
"Simsbury School District","=""1280011""","Simsbury High School","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","Simsbury High School","White",85.5,93.8
"Somers School District","=""1290011""","Somers High School","Black or African American",*,*
"Somers School District","=""1290011""","Somers High School","Hispanic or Latino",*,*
"Somers School District","=""1290011""","Somers High School","White",82.4,96.1
"Southington School District","=""1310011""","Southington High School","Asian",*,*
"Southington School District","=""1310011""","Southington High School","Black or African American",*,*
"Southington School District","=""1310011""","Southington High School","Hispanic or Latino",52.4,*
"Southington School District","=""1310011""","Southington High School","White",81.0,89.2
"South Windsor School District","=""1320011""","South Windsor High School","Asian",88.5,100.0
"South Windsor School District","=""1320011""","South Windsor High School","Black or African American",90.9,95.0
"South Windsor School District","=""1320011""","South Windsor High School","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","South Windsor High School","White",85.4,92.8
"Stafford School District","=""1340011""","Stafford High School","Asian",*,*
"Stafford School District","=""1340011""","Stafford High School","Black or African American",*,*
"Stafford School District","=""1340011""","Stafford High School","Hispanic or Latino",*,*
"Stafford School District","=""1340011""","Stafford High School","White",73.6,89.1
"Stamford School District","=""1350011""","Stamford High School","Asian",79.3,91.3
"Stamford School District","=""1350011""","Stamford High School","Black or African American",74.0,85.1
"Stamford School District","=""1350011""","Stamford High School","Hispanic or Latino",60.9,83.0
"Stamford School District","=""1350011""","Stamford High School","White",74.4,92.0
"Stamford School District","=""1350011""","The Academy of Information Technology","Asian",*,*
"Stamford School District","=""1350011""","The Academy of Information Technology","Black or African American",87.5,82.1
"Stamford School District","=""1350011""","The Academy of Information Technology","Hispanic or Latino",57.6,*
"Stamford School District","=""1350011""","The Academy of Information Technology","White",78.6,93.2
"Stamford School District","=""1350011""","Westhill High School","Asian",73.1,*
"Stamford School District","=""1350011""","Westhill High School","Black or African American",58.7,80.3
"Stamford School District","=""1350011""","Westhill High School","Hispanic or Latino",52.7,87.4
"Stamford School District","=""1350011""","Westhill High School","White",81.6,91.9
"Stonington School District","=""1370011""","Stonington High School","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Stonington High School","Asian",*,*
"Stonington School District","=""1370011""","Stonington High School","Black or African American",*,*
"Stonington School District","=""1370011""","Stonington High School","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","Stonington High School","White",75.0,90.8
"Stratford School District","=""1380011""","Bunnell High School","Asian",*,*
"Stratford School District","=""1380011""","Bunnell High School","Black or African American",67.2,83.7
"Stratford School District","=""1380011""","Bunnell High School","Hispanic or Latino",57.1,80.0
"Stratford School District","=""1380011""","Bunnell High School","White",79.2,91.0
"Stratford School District","=""1380011""","Stratford High School","Asian",*,*
"Stratford School District","=""1380011""","Stratford High School","Black or African American",55.4,87.8
"Stratford School District","=""1380011""","Stratford High School","Hispanic or Latino",52.5,81.0
"Stratford School District","=""1380011""","Stratford High School","White",73.7,83.3
"Stratford School District","=""1380011""","Strive-Stratford","Asian",*,*
"Stratford School District","=""1380011""","Strive-Stratford","White",*,*
"Suffield School District","=""1390011""","Suffield High School","Asian",*,*
"Suffield School District","=""1390011""","Suffield High School","Black or African American",*,*
"Suffield School District","=""1390011""","Suffield High School","Hispanic or Latino",*,*
"Suffield School District","=""1390011""","Suffield High School","White",83.5,93.6
"Thomaston School District","=""1400011""","Thomaston High School","Asian",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Black or African American",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Hispanic or Latino",*,*
"Thomaston School District","=""1400011""","Thomaston High School","White",68.5,90.5
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Asian",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Black or African American",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","White",*,*
"Tolland School District","=""1420011""","Tolland High School","American Indian or Alaska Native",*,*
"Tolland School District","=""1420011""","Tolland High School","Asian",*,*
"Tolland School District","=""1420011""","Tolland High School","Black or African American",*,*
"Tolland School District","=""1420011""","Tolland High School","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","Tolland High School","White",79.2,92.3
"Torrington School District","=""1430011""","Torrington High School","Asian",*,*
"Torrington School District","=""1430011""","Torrington High School","Black or African American",*,*
"Torrington School District","=""1430011""","Torrington High School","Hispanic or Latino",50.0,*
"Torrington School District","=""1430011""","Torrington High School","White",66.1,89.9
"Trumbull School District","=""1440011""","Trumbull High School","Asian",*,*
"Trumbull School District","=""1440011""","Trumbull High School","Black or African American",83.3,95.0
"Trumbull School District","=""1440011""","Trumbull High School","Hispanic or Latino",69.2,*
"Trumbull School District","=""1440011""","Trumbull High School","White",85.7,93.5
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Black or African American",*,*
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","Next Step Program (AACBP)","White",*,*
"Vernon School District","=""1460011""","Rockville High School","Asian",90.0,*
"Vernon School District","=""1460011""","Rockville High School","Black or African American",57.7,*
"Vernon School District","=""1460011""","Rockville High School","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","Rockville High School","White",72.0,85.5
"Wallingford School District","=""1480011""","Lyman Hall High School","American Indian or Alaska Native",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Asian",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Black or African American",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Hispanic or Latino",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","White",73.6,89.4
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Asian",*,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Black or African American",*,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Hispanic or Latino",*,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","White",76.8,89.9
"Waterbury School District","=""1510011""","Crosby High School","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Crosby High School","Asian",*,*
"Waterbury School District","=""1510011""","Crosby High School","Black or African American",*,80.6
"Waterbury School District","=""1510011""","Crosby High School","Hispanic or Latino",45.1,69.6
"Waterbury School District","=""1510011""","Crosby High School","White",64.3,94.4
"Waterbury School District","=""1510011""","Enlightenment School","Black or African American",*,*
"Waterbury School District","=""1510011""","Enlightenment School","Hispanic or Latino",*,*
"Waterbury School District","=""1510011""","Enlightenment School","White",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Asian",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Black or African American",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Hispanic or Latino",48.4,75.0
"Waterbury School District","=""1510011""","John F. Kennedy High School","White",68.1,89.1
"Waterbury School District","=""1510011""","State Street School","Black or African American",*,*
"Waterbury School District","=""1510011""","State Street School","Hispanic or Latino",*,*
"Waterbury School District","=""1510011""","State Street School","White",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Asian",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Black or African American",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Hispanic or Latino",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","White",66.2,86.0
"Waterbury School District","=""1510011""","Wilby High School","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Wilby High School","Asian",*,*
"Waterbury School District","=""1510011""","Wilby High School","Black or African American",44.0,75.0
"Waterbury School District","=""1510011""","Wilby High School","Hispanic or Latino",49.5,72.5
"Waterbury School District","=""1510011""","Wilby High School","White",*,*
"Waterford School District","=""1520011""","Waterford High School","Asian",*,*
"Waterford School District","=""1520011""","Waterford High School","Black or African American",*,*
"Waterford School District","=""1520011""","Waterford High School","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","Waterford High School","White",77.1,85.5
"Watertown School District","=""1530011""","Watertown High School","Asian",*,*
"Watertown School District","=""1530011""","Watertown High School","Black or African American",*,*
"Watertown School District","=""1530011""","Watertown High School","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","Watertown High School","White",72.1,90.3
"Westbrook School District","=""1540011""","Westbrook High School","Asian",*,*
"Westbrook School District","=""1540011""","Westbrook High School","Black or African American",*,*
"Westbrook School District","=""1540011""","Westbrook High School","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","Westbrook High School","White",74.2,93.9
"West Hartford School District","=""1550011""","Conard High School","American Indian or Alaska Native",*,*
"West Hartford School District","=""1550011""","Conard High School","Asian",86.0,100.0
"West Hartford School District","=""1550011""","Conard High School","Black or African American",*,*
"West Hartford School District","=""1550011""","Conard High School","Hispanic or Latino",63.0,82.4
"West Hartford School District","=""1550011""","Conard High School","White",91.7,94.5
"West Hartford School District","=""1550011""","Hall High School","Asian",90.9,93.3
"West Hartford School District","=""1550011""","Hall High School","Black or African American",84.4,89.5
"West Hartford School District","=""1550011""","Hall High School","Hispanic or Latino",55.3,85.7
"West Hartford School District","=""1550011""","Hall High School","White",88.7,95.5
"West Haven School District","=""1560011""","West Haven High School","American Indian or Alaska Native",*,*
"West Haven School District","=""1560011""","West Haven High School","Asian",*,*
"West Haven School District","=""1560011""","West Haven High School","Black or African American",73.4,82.5
"West Haven School District","=""1560011""","West Haven High School","Hispanic or Latino",66.2,58.1
"West Haven School District","=""1560011""","West Haven High School","White",68.3,92.9
"Weston School District","=""1570011""","Weston High School","Asian",*,*
"Weston School District","=""1570011""","Weston High School","Black or African American",*,*
"Weston School District","=""1570011""","Weston High School","Hispanic or Latino",*,*
"Weston School District","=""1570011""","Weston High School","White",88.9,97.6
"Westport School District","=""1580011""","Staples High School","American Indian or Alaska Native",*,*
"Westport School District","=""1580011""","Staples High School","Asian",*,*
"Westport School District","=""1580011""","Staples High School","Black or African American",*,*
"Westport School District","=""1580011""","Staples High School","Hispanic or Latino",*,*
"Westport School District","=""1580011""","Staples High School","White",84.2,97.4
"Wethersfield School District","=""1590011""","Wethersfield High School","Asian",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Black or African American",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Hispanic or Latino",74.2,78.3
"Wethersfield School District","=""1590011""","Wethersfield High School","White",85.6,93.2
"Wilton School District","=""1610011""","Wilton High School","Asian",*,*
"Wilton School District","=""1610011""","Wilton High School","Black or African American",*,*
"Wilton School District","=""1610011""","Wilton High School","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","Wilton High School","White",85.4,96.7
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","Black or African American",*,*
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","Hispanic or Latino",*,*
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","White",*,*
"Windham School District","=""1630011""","Windham High School","American Indian or Alaska Native",*,*
"Windham School District","=""1630011""","Windham High School","Asian",*,*
"Windham School District","=""1630011""","Windham High School","Black or African American",*,*
"Windham School District","=""1630011""","Windham High School","Hispanic or Latino",47.8,69.8
"Windham School District","=""1630011""","Windham High School","White",73.1,80.9
"Windsor School District","=""1640011""","Windsor High School","American Indian or Alaska Native",*,*
"Windsor School District","=""1640011""","Windsor High School","Asian",*,*
"Windsor School District","=""1640011""","Windsor High School","Black or African American",68.1,82.3
"Windsor School District","=""1640011""","Windsor High School","Hispanic or Latino",75.0,*
"Windsor School District","=""1640011""","Windsor High School","White",75.0,92.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Asian",*,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","White",70.5,86.5
"Wolcott School District","=""1660011""","Wolcott High School","Asian",*,*
"Wolcott School District","=""1660011""","Wolcott High School","Black or African American",*,*
"Wolcott School District","=""1660011""","Wolcott High School","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","Wolcott High School","White",75.9,93.7
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Black or African American",*,*
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Hispanic or Latino",*,*
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","White",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","American Indian or Alaska Native",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Asian",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Black or African American",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","White",74.0,87.6
"Regional School District 05","=""2050012""","Amity Regional High School","American Indian or Alaska Native",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Asian",79.5,93.5
"Regional School District 05","=""2050012""","Amity Regional High School","Black or African American",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Hispanic or Latino",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","White",88.2,97.3
"Regional School District 06","=""2060012""","Wamogo Regional High School","Asian",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Black or African American",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Hispanic or Latino",*,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","White",64.9,93.8
"Regional School District 07","=""2070012""","AIM","White",*,*
"Regional School District 07","=""2070012""","Links","White",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","White",81.8,88.2
"Regional School District 07","=""2070012""","STEP","White",*,*
"Regional School District 08","=""2080012""","RHAM High School","Asian",*,*
"Regional School District 08","=""2080012""","RHAM High School","Black or African American",*,*
"Regional School District 08","=""2080012""","RHAM High School","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","RHAM High School","White",83.2,96.4
"Regional School District 09","=""2090012""","Joel Barlow High School","Asian",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Black or African American",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","White",85.7,93.0
"Regional School District 10","=""2100012""","Lewis S. Mills High School","American Indian or Alaska Native",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Asian",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","White",82.8,89.0
"Regional School District 11","=""2110012""","Parish Hill High School","White",80.0,85.7
"Regional School District 12","=""2120012""","Shepaug Valley High School","American Indian or Alaska Native",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Black or African American",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Hispanic or Latino",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","White",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Black or African American",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","White",89.4,95.2
"Regional School District 14","=""2140012""","Nonnewaug High School","Asian",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Black or African American",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","White",78.9,94.7
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Asian",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Black or African American",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","White",86.8,93.3
"Regional School District 16","=""2160012""","Woodland Regional High School","American Indian or Alaska Native",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Asian",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Black or African American",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","White",78.1,88.8
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Asian",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Black or African American",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","White",87.2,89.9
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","White",76.3,94.6
"Regional School District 19","=""2190012""","E. O. Smith High School","Asian",68.2,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Black or African American",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","White",69.6,91.3
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Black or African American",*,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","White",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Asian",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Black or African American",76.7,82.6
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","White",84.4,66.7
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","White",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Asian",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Black or African American",74.0,86.5
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","White",85.7,83.3
"Capitol Region Education Council","=""2410014""","River Street School","White",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","White",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","White",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Asian",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Black or African American",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","White",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","White",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Black or African American",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Hispanic or Latino",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","White",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","White",*,*
"Area Cooperative Educational Services","=""2440014""","Village School","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","White",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","White",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","White",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","White",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Asian",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Black or African American",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Hispanic or Latino",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","White",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Black or African American",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Hispanic or Latino",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","White",*,*
"Explorations District","=""2720013""","Explorations","Hispanic or Latino",*,*
"Explorations District","=""2720013""","Explorations","White",46.4,*
"Amistad Academy District","=""2790013""","Amistad Academy","Black or African American",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Black or African American",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","White",*,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","Black or African American",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Black or African American",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","White",*,*
"Unified School District #1","=""3360015""","New Haven Correctional Center","Black or African American",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","Black or African American",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","White",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","White",*,*
"Unified School District #2","=""3470015""","Children's Place School","Black or African American",*,*
"Unified School District #2","=""3470015""","Children's Place School","White",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Hispanic or Latino",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","White",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Black or African American",*,72.2
