"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Danbury School District","=""0340011""",08,776,698,89.9,688,176,25.6,218,31.7,229,33.3,65,9.4,294,42.7,2548
"Danbury School District","=""0340011""",11,657,101,15.4,100,47,47.0,21,21.0,14,14.0,18,18.0,32,32.0,2526
"Darien School District","=""0350011""",03,392,390,99.5,390,12,3.1,53,13.6,97,24.9,228,58.5,325,83.3,2500
"Darien School District","=""0350011""",04,366,361,98.6,361,24,6.6,38,10.5,84,23.3,215,59.6,299,82.8,2540
"Darien School District","=""0350011""",05,408,408,100.0,408,24,5.9,36,8.8,122,29.9,226,55.4,348,85.3,2576
"Darien School District","=""0350011""",06,382,377,98.7,375,10,2.7,50,13.3,149,39.7,166,44.3,315,84.0,2602
"Darien School District","=""0350011""",07,376,368,97.9,368,"*","*","*","*",168,45.7,171,46.5,339,92.1,2641
"Darien School District","=""0350011""",08,370,363,98.1,362,"*","*","*","*",161,44.5,162,44.8,323,89.2,2654
"Darien School District","=""0350011""",11,329,283,86.0,272,26,9.6,34,12.5,115,42.3,97,35.7,212,77.9,2640
"Deep River School District","=""0360011""",03,50,50,100.0,50,6,12.0,9,18.0,13,26.0,22,44.0,35,70.0,2467
"Deep River School District","=""0360011""",04,46,46,100.0,45,"*","*","*","*",10,22.2,22,48.9,32,71.1,2513
"Deep River School District","=""0360011""",05,58,58,100.0,58,8,13.8,12,20.7,20,34.5,18,31.0,38,65.5,2534
"Deep River School District","=""0360011""",06,45,45,100.0,45,"*","*",12,26.7,18,40.0,"*","*","*","*",2557
"Derby School District","=""0370011""",03,133,133,100.0,133,35,26.3,41,30.8,32,24.1,25,18.8,57,42.9,2413
"Derby School District","=""0370011""",04,112,112,100.0,111,31,27.9,38,34.2,17,15.3,25,22.5,42,37.8,2459
"Derby School District","=""0370011""",05,117,116,99.1,116,27,23.3,28,24.1,49,42.2,12,10.3,61,52.6,2497
"Derby School District","=""0370011""",06,113,112,99.1,111,44,39.6,33,29.7,25,22.5,9,8.1,34,30.6,2487
"Derby School District","=""0370011""",07,100,98,98.0,97,32,33.0,20,20.6,39,40.2,6,6.2,45,46.4,2525
"Derby School District","=""0370011""",08,121,117,96.7,116,32,27.6,34,29.3,40,34.5,10,8.6,50,43.1,2550
"Derby School District","=""0370011""",11,82,80,97.6,80,27,33.8,21,26.3,24,30.0,8,10.0,32,40.0,2543
"East Granby School District","=""0400011""",03,50,50,100.0,50,8,16.0,12,24.0,15,30.0,15,30.0,30,60.0,2445
"East Granby School District","=""0400011""",04,75,75,100.0,75,"*","*","*","*",21,28.0,41,54.7,62,82.7,2536
"East Granby School District","=""0400011""",05,62,62,100.0,62,"*","*","*","*",26,41.9,22,35.5,48,77.4,2554
"East Granby School District","=""0400011""",06,73,73,100.0,73,"*","*",21,28.8,32,43.8,"*","*","*","*",2561
"East Granby School District","=""0400011""",07,62,61,98.4,61,11,18.0,6,9.8,27,44.3,17,27.9,44,72.1,2590
"East Granby School District","=""0400011""",08,77,76,98.7,76,"*","*","*","*",34,44.7,20,26.3,54,71.1,2617
"East Granby School District","=""0400011""",11,71,71,100.0,71,8,11.3,14,19.7,25,35.2,24,33.8,49,69.0,2625
"East Haddam School District","=""0410011""",03,72,71,98.6,71,"*","*","*","*",22,31.0,32,45.1,54,76.1,2476
"East Haddam School District","=""0410011""",04,73,73,100.0,73,"*","*","*","*",29,39.7,31,42.5,60,82.2,2524
"East Haddam School District","=""0410011""",05,83,81,97.6,81,15,18.5,8,9.9,28,34.6,30,37.0,58,71.6,2546
"East Haddam School District","=""0410011""",06,102,98,96.1,98,10,10.2,15,15.3,45,45.9,28,28.6,73,74.5,2569
"East Haddam School District","=""0410011""",07,104,101,97.1,100,18,18.0,26,26.0,43,43.0,13,13.0,56,56.0,2554
"East Haddam School District","=""0410011""",08,92,91,98.9,91,14,15.4,23,25.3,37,40.7,17,18.7,54,59.3,2586
"East Haddam School District","=""0410011""",11,75,68,90.7,68,6,8.8,9,13.2,31,45.6,22,32.4,53,77.9,2641
"East Hampton School District","=""0420011""",03,161,156,96.9,156,13,8.3,45,28.8,42,26.9,56,35.9,98,62.8,2460
"East Hampton School District","=""0420011""",04,132,127,96.2,127,20,15.7,30,23.6,33,26.0,44,34.6,77,60.6,2494
"East Hampton School District","=""0420011""",05,150,146,97.3,146,19,13.0,23,15.8,55,37.7,49,33.6,104,71.2,2543
"East Hampton School District","=""0420011""",06,134,126,94.0,126,21,16.7,34,27.0,52,41.3,19,15.1,71,56.3,2534
"East Hampton School District","=""0420011""",07,139,136,97.8,136,21,15.4,28,20.6,58,42.6,29,21.3,87,64.0,2575
"East Hampton School District","=""0420011""",08,157,157,100.0,157,18,11.5,42,26.8,72,45.9,25,15.9,97,61.8,2587
"East Hampton School District","=""0420011""",11,147,142,96.6,142,20,14.1,23,16.2,55,38.7,44,31.0,99,69.7,2619
"East Hartford School District","=""0430011""",03,519,515,99.2,513,240,46.8,135,26.3,92,17.9,46,9.0,138,26.9,2379
"East Hartford School District","=""0430011""",04,525,517,98.5,517,233,45.1,112,21.7,116,22.4,56,10.8,172,33.3,2426
"East Hartford School District","=""0430011""",05,490,486,99.2,485,199,41.0,125,25.8,129,26.6,32,6.6,161,33.2,2461
"East Hartford School District","=""0430011""",06,460,454,98.7,454,156,34.4,154,33.9,117,25.8,27,5.9,144,31.7,2489
"East Hartford School District","=""0430011""",07,473,463,97.9,461,208,45.1,137,29.7,105,22.8,11,2.4,116,25.2,2489
"East Hartford School District","=""0430011""",08,514,491,95.5,491,184,37.5,162,33.0,118,24.0,27,5.5,145,29.5,2520
"East Hartford School District","=""0430011""",11,491,463,94.3,462,97,21.0,122,26.4,181,39.2,62,13.4,243,52.6,2577
"East Haven School District","=""0440011""",03,225,224,99.6,224,55,24.6,64,28.6,56,25.0,49,21.9,105,46.9,2422
"East Haven School District","=""0440011""",04,205,204,99.5,204,58,28.4,49,24.0,54,26.5,43,21.1,97,47.5,2463
"East Haven School District","=""0440011""",05,217,213,98.2,213,63,29.6,38,17.8,83,39.0,29,13.6,112,52.6,2497
"East Haven School District","=""0440011""",06,247,242,98.0,242,60,24.8,74,30.6,80,33.1,28,11.6,108,44.6,2515
"East Haven School District","=""0440011""",07,243,238,97.9,238,85,35.7,69,29.0,73,30.7,11,4.6,84,35.3,2513
"East Haven School District","=""0440011""",08,222,219,98.6,219,74,33.8,70,32.0,63,28.8,12,5.5,75,34.2,2532
"East Haven School District","=""0440011""",11,212,205,96.7,203,31,15.3,68,33.5,75,36.9,29,14.3,104,51.2,2584
"East Lyme School District","=""0450011""",03,180,180,100.0,180,15,8.3,20,11.1,50,27.8,95,52.8,145,80.6,2489
"East Lyme School District","=""0450011""",04,189,188,99.5,188,10,5.3,15,8.0,45,23.9,118,62.8,163,86.7,2548
"East Lyme School District","=""0450011""",05,204,201,98.5,201,26,12.9,40,19.9,70,34.8,65,32.3,135,67.2,2537
"East Lyme School District","=""0450011""",06,214,213,99.5,213,17,8.0,34,16.0,95,44.6,67,31.5,162,76.1,2578
"East Lyme School District","=""0450011""",07,224,216,96.4,216,23,10.6,37,17.1,102,47.2,54,25.0,156,72.2,2589
"East Lyme School District","=""0450011""",08,208,204,98.1,204,21,10.3,41,20.1,98,48.0,44,21.6,142,69.6,2603
"East Lyme School District","=""0450011""",11,248,235,94.8,235,14,6.0,18,7.7,74,31.5,129,54.9,203,86.4,2677
"East Windsor School District","=""0470011""",03,79,77,97.5,77,17,22.1,24,31.2,17,22.1,19,24.7,36,46.8,2422
"East Windsor School District","=""0470011""",04,82,82,100.0,82,25,30.5,17,20.7,24,29.3,16,19.5,40,48.8,2464
"East Windsor School District","=""0470011""",05,87,87,100.0,86,20,23.3,28,32.6,27,31.4,11,12.8,38,44.2,2495
"East Windsor School District","=""0470011""",06,69,69,100.0,69,14,20.3,22,31.9,21,30.4,12,17.4,33,47.8,2528
"East Windsor School District","=""0470011""",07,79,78,98.7,78,13,16.7,18,23.1,38,48.7,9,11.5,47,60.3,2565
"East Windsor School District","=""0470011""",08,75,75,100.0,73,17,23.3,21,28.8,26,35.6,9,12.3,35,47.9,2558
"East Windsor School District","=""0470011""",11,68,67,98.5,67,12,17.9,21,31.3,28,41.8,6,9.0,34,50.7,2582
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",03,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",04,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",05,11,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",06,9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",07,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",08,15,15,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",11,69,54,78.3,54,23,42.6,"*","*",13,24.1,"*","*","*","*",2530
"Eastford School District","=""0390011""",03,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",04,20,20,100.0,20,"*","*","*","*",7,35.0,9,45.0,16,80.0,2509
"Eastford School District","=""0390011""",05,12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",06,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",07,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",08,15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",03,103,103,100.0,103,"*","*","*","*",29,28.2,52,50.5,81,78.6,2487
"Easton School District","=""0460011""",04,114,113,99.1,113,7,6.2,17,15.0,27,23.9,62,54.9,89,78.8,2535
"Easton School District","=""0460011""",05,99,99,100.0,99,14,14.1,10,10.1,34,34.3,41,41.4,75,75.8,2550
"Easton School District","=""0460011""",06,97,96,99.0,96,"*","*","*","*",43,44.8,30,31.3,73,76.0,2579
"Easton School District","=""0460011""",07,104,102,98.1,102,"*","*",24,23.5,56,54.9,"*","*","*","*",2589
"Easton School District","=""0460011""",08,118,113,95.8,113,6,5.3,25,22.1,45,39.8,37,32.7,82,72.6,2620
"Education Connection","=""2420014""",03,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",04,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",06,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",07,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",03,201,201,100.0,201,18,9.0,36,17.9,54,26.9,93,46.3,147,73.1,2477
"Ellington School District","=""0480011""",04,215,213,99.1,213,17,8.0,31,14.6,52,24.4,113,53.1,165,77.5,2530
"Ellington School District","=""0480011""",05,224,222,99.1,221,14,6.3,25,11.3,87,39.4,95,43.0,182,82.4,2566
"Ellington School District","=""0480011""",06,206,203,98.5,203,6,3.0,43,21.2,92,45.3,62,30.5,154,75.9,2581
"Ellington School District","=""0480011""",07,209,208,99.5,208,9,4.3,28,13.5,101,48.6,70,33.7,171,82.2,2615
"Ellington School District","=""0480011""",08,221,219,99.1,219,9,4.1,39,17.8,101,46.1,70,32.0,171,78.1,2625
"Ellington School District","=""0480011""",11,180,166,92.2,150,75,50.0,27,18.0,22,14.7,26,17.3,48,32.0,2516
"Elm City College Preparatory School District","=""2890013""",03,58,58,100.0,58,13,22.4,15,25.9,17,29.3,13,22.4,30,51.7,2433
"Elm City College Preparatory School District","=""2890013""",04,57,57,100.0,57,11,19.3,"*","*","*","*",20,35.1,"*","*",2491
"Elm City College Preparatory School District","=""2890013""",05,57,57,100.0,57,13,22.8,18,31.6,17,29.8,9,15.8,"*","*",2497
"Elm City College Preparatory School District","=""2890013""",06,59,59,100.0,59,"*","*",19,32.2,24,40.7,"*","*","*","*",2523
"Elm City College Preparatory School District","=""2890013""",07,58,58,100.0,58,9,15.5,13,22.4,29,50.0,7,12.1,36,62.1,2558
"Elm City College Preparatory School District","=""2890013""",08,49,49,100.0,49,"*","*",14,28.6,26,53.1,"*","*","*","*",2581
"Elm City College Preparatory School District","=""2890013""",11,18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""",03,370,368,99.5,368,61,16.6,112,30.4,112,30.4,83,22.6,195,53.0,2436
"Enfield School District","=""0490011""",04,389,387,99.5,387,92,23.8,109,28.2,121,31.3,65,16.8,186,48.1,2468
"Enfield School District","=""0490011""",05,344,342,99.4,341,62,18.2,76,22.3,136,39.9,67,19.6,203,59.5,2517
"Enfield School District","=""0490011""",06,372,367,98.7,367,75,20.4,114,31.1,137,37.3,41,11.2,178,48.5,2526
"Enfield School District","=""0490011""",07,338,335,99.1,333,65,19.5,103,30.9,135,40.5,30,9.0,165,49.5,2548
"Enfield School District","=""0490011""",08,377,368,97.6,367,60,16.3,127,34.6,148,40.3,32,8.7,180,49.0,2562
"Enfield School District","=""0490011""",11,395,383,97.0,382,21,5.5,71,18.6,172,45.0,118,30.9,290,75.9,2637
"Essex School District","=""0500011""",03,54,52,96.3,52,"*","*","*","*",11,21.2,29,55.8,40,76.9,2481
"Essex School District","=""0500011""",04,55,53,96.4,53,"*","*","*","*",18,34.0,23,43.4,41,77.4,2516
"Essex School District","=""0500011""",05,84,83,98.8,82,"*","*","*","*",28,34.1,45,54.9,73,89.0,2587
"Essex School District","=""0500011""",06,74,72,97.3,72,"*","*","*","*",35,48.6,23,31.9,58,80.6,2582
"Explorations District","=""2720013""",11,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""",03,857,854,99.6,853,102,12.0,178,20.9,231,27.1,342,40.1,573,67.2,2463
"Fairfield School District","=""0510011""",04,774,769,99.4,768,88,11.5,132,17.2,220,28.6,328,42.7,548,71.4,2511
"Fairfield School District","=""0510011""",05,753,745,98.9,745,54,7.2,92,12.3,263,35.3,336,45.1,599,80.4,2564
"Fairfield School District","=""0510011""",06,804,789,98.1,789,39,4.9,134,17.0,341,43.2,275,34.9,616,78.1,2585
"Fairfield School District","=""0510011""",07,790,779,98.6,779,61,7.8,113,14.5,395,50.7,210,27.0,605,77.7,2600
"Fairfield School District","=""0510011""",08,844,826,97.9,825,65,7.9,182,22.1,376,45.6,202,24.5,578,70.1,2607
"Fairfield School District","=""0510011""",11,764,710,92.9,709,64,9.0,99,14.0,289,40.8,257,36.2,546,77.0,2638
"Farmington School District","=""0520011""",03,306,301,98.4,301,25,8.3,44,14.6,66,21.9,166,55.1,232,77.1,2492
"Farmington School District","=""0520011""",04,306,304,99.3,304,31,10.2,35,11.5,67,22.0,171,56.3,238,78.3,2535
"Farmington School District","=""0520011""",05,342,338,98.8,338,29,8.6,44,13.0,136,40.2,129,38.2,265,78.4,2558
"Farmington School District","=""0520011""",06,327,325,99.4,325,16,4.9,46,14.2,137,42.2,126,38.8,263,80.9,2590
"Farmington School District","=""0520011""",07,282,279,98.9,279,15,5.4,49,17.6,137,49.1,78,28.0,215,77.1,2605
"Farmington School District","=""0520011""",08,282,280,99.3,279,20,7.2,28,10.0,126,45.2,105,37.6,231,82.8,2637
"Farmington School District","=""0520011""",11,325,292,89.8,290,29,10.0,52,17.9,97,33.4,112,38.6,209,72.1,2638
"Franklin School District","=""0530011""",03,18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""",04,15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""",05,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""",06,18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""",07,21,20,95.2,20,"*","*","*","*",14,70.0,"*","*","*","*",2586
"Franklin School District","=""0530011""",08,20,20,100.0,20,"*","*","*","*",10,50.0,"*","*","*","*",2566
"Glastonbury School District","=""0540011""",03,431,430,99.8,430,30,7.0,69,16.0,108,25.1,223,51.9,331,77.0,2486
"Glastonbury School District","=""0540011""",04,442,440,99.5,439,37,8.4,57,13.0,111,25.3,234,53.3,345,78.6,2535
"Glastonbury School District","=""0540011""",05,471,471,100.0,471,29,6.2,62,13.2,161,34.2,219,46.5,380,80.7,2568
"Glastonbury School District","=""0540011""",06,518,515,99.4,513,22,4.3,78,15.2,199,38.8,214,41.7,413,80.5,2596
"Glastonbury School District","=""0540011""",07,511,510,99.8,510,35,6.9,61,12.0,232,45.5,182,35.7,414,81.2,2614
"Glastonbury School District","=""0540011""",08,530,528,99.6,528,46,8.7,132,25.0,233,44.1,117,22.2,350,66.3,2601
"Glastonbury School District","=""0540011""",11,537,516,96.1,516,27,5.2,76,14.7,211,40.9,202,39.1,413,80.0,2653
"Granby School District","=""0560011""",03,133,133,100.0,133,9,6.8,25,18.8,60,45.1,39,29.3,99,74.4,2465
"Granby School District","=""0560011""",04,127,127,100.0,127,12,9.4,16,12.6,47,37.0,52,40.9,99,78.0,2521
"Granby School District","=""0560011""",05,156,153,98.1,153,9,5.9,21,13.7,59,38.6,64,41.8,123,80.4,2563
"Granby School District","=""0560011""",06,146,145,99.3,145,12,8.3,34,23.4,55,37.9,44,30.3,99,68.3,2574
"Granby School District","=""0560011""",07,161,159,98.8,159,11,6.9,31,19.5,73,45.9,44,27.7,117,73.6,2597
"Granby School District","=""0560011""",08,169,153,90.5,152,10,6.6,28,18.4,72,47.4,42,27.6,114,75.0,2620
"Granby School District","=""0560011""",11,194,143,73.7,143,13,9.1,22,15.4,63,44.1,45,31.5,108,75.5,2628
"Great Oaks Charter School District","=""2940013""",06,116,114,98.3,114,70,61.4,31,27.2,13,11.4,0,0.0,13,11.4,2441
"Greenwich School District","=""0570011""",03,660,651,98.6,651,47,7.2,88,13.5,172,26.4,344,52.8,516,79.3,2489
"Greenwich School District","=""0570011""",04,723,706,97.6,706,66,9.3,95,13.5,199,28.2,346,49.0,545,77.2,2529
"Greenwich School District","=""0570011""",05,671,661,98.5,661,57,8.6,98,14.8,191,28.9,315,47.7,506,76.6,2562
"Greenwich School District","=""0570011""",06,642,636,99.1,636,55,8.6,98,15.4,238,37.4,245,38.5,483,75.9,2583
"Greenwich School District","=""0570011""",07,632,628,99.4,627,55,8.8,75,12.0,272,43.4,225,35.9,497,79.3,2611
"Greenwich School District","=""0570011""",08,648,640,98.8,640,38,5.9,113,17.7,251,39.2,238,37.2,489,76.4,2633
"Greenwich School District","=""0570011""",11,629,612,97.3,610,41,6.7,80,13.1,196,32.1,293,48.0,489,80.2,2662
"Griswold School District","=""0580011""",03,138,136,98.6,136,25,18.4,30,22.1,45,33.1,36,26.5,81,59.6,2444
"Griswold School District","=""0580011""",04,120,120,100.0,120,17,14.2,28,23.3,38,31.7,37,30.8,75,62.5,2497
"Griswold School District","=""0580011""",05,128,128,100.0,128,20,15.6,18,14.1,55,43.0,35,27.3,90,70.3,2529
"Griswold School District","=""0580011""",06,138,136,98.6,136,17,12.5,43,31.6,52,38.2,24,17.6,76,55.9,2543
"Griswold School District","=""0580011""",07,141,136,96.5,136,19,14.0,29,21.3,62,45.6,26,19.1,88,64.7,2575
"Griswold School District","=""0580011""",08,145,145,100.0,144,27,18.8,48,33.3,51,35.4,18,12.5,69,47.9,2562
"Griswold School District","=""0580011""",11,135,131,97.0,130,16,12.3,26,20.0,61,46.9,27,20.8,88,67.7,2612
"Groton School District","=""0590011""",03,361,357,98.9,357,73,20.4,73,20.4,105,29.4,106,29.7,211,59.1,2441
"Groton School District","=""0590011""",04,335,325,97.0,324,92,28.4,64,19.8,83,25.6,85,26.2,168,51.9,2469
"Groton School District","=""0590011""",05,338,335,99.1,335,53,15.8,70,20.9,137,40.9,75,22.4,212,63.3,2522
"Groton School District","=""0590011""",06,337,333,98.8,333,81,24.3,103,30.9,108,32.4,41,12.3,149,44.7,2516
"Groton School District","=""0590011""",07,287,283,98.6,283,64,22.6,69,24.4,106,37.5,44,15.5,150,53.0,2551
"Groton School District","=""0590011""",08,313,307,98.1,307,73,23.8,86,28.0,112,36.5,36,11.7,148,48.2,2557
"Groton School District","=""0590011""",11,250,106,42.4,106,32,30.2,33,31.1,31,29.2,10,9.4,41,38.7,2549
"Guilford School District","=""0600011""",03,255,255,100.0,255,22,8.6,33,12.9,56,22.0,144,56.5,200,78.4,2486
"Guilford School District","=""0600011""",04,287,284,99.0,284,31,10.9,26,9.2,85,29.9,142,50.0,227,79.9,2526
"Guilford School District","=""0600011""",05,258,255,98.8,255,17,6.7,32,12.5,94,36.9,112,43.9,206,80.8,2565
"Guilford School District","=""0600011""",06,267,267,100.0,267,6,2.2,45,16.9,111,41.6,105,39.3,216,80.9,2595
"Guilford School District","=""0600011""",07,283,282,99.6,282,10,3.5,29,10.3,144,51.1,99,35.1,243,86.2,2623
"Guilford School District","=""0600011""",08,277,275,99.3,275,13,4.7,49,17.8,115,41.8,98,35.6,213,77.5,2629
"Guilford School District","=""0600011""",11,243,242,99.6,242,17,7.0,43,17.8,89,36.8,93,38.4,182,75.2,2647
"Hamden School District","=""0620011""",03,392,386,98.5,386,72,18.7,89,23.1,99,25.6,126,32.6,225,58.3,2445
"Hamden School District","=""0620011""",04,426,419,98.4,418,105,25.1,90,21.5,95,22.7,128,30.6,223,53.3,2481
"Hamden School District","=""0620011""",05,402,392,97.5,391,109,27.9,72,18.4,121,30.9,89,22.8,210,53.7,2505
"Hamden School District","=""0620011""",06,386,375,97.2,375,61,16.3,106,28.3,124,33.1,84,22.4,208,55.5,2544
"Hamden School District","=""0620011""",07,414,400,96.6,400,85,21.3,89,22.3,161,40.3,65,16.3,226,56.5,2555
"Hamden School District","=""0620011""",08,397,373,94.0,373,102,27.3,112,30.0,110,29.5,49,13.1,159,42.6,2549
"Hamden School District","=""0620011""",11,425,349,82.1,349,57,16.3,102,29.2,117,33.5,73,20.9,190,54.4,2594
"Hampton School District","=""0630011""",03,11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""",04,12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""",06,13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",03,1646,1600,97.2,1596,781,48.9,431,27.0,238,14.9,146,9.1,384,24.1,2375
"Hartford School District","=""0640011""",04,1555,1490,95.8,1486,855,57.5,302,20.3,207,13.9,122,8.2,329,22.1,2405
"Hartford School District","=""0640011""",05,1439,1383,96.1,1379,681,49.4,295,21.4,295,21.4,108,7.8,403,29.2,2448
"Hartford School District","=""0640011""",06,1627,1583,97.3,1568,666,42.5,488,31.1,327,20.9,87,5.5,414,26.4,2474
"Hartford School District","=""0640011""",07,1545,1422,92.0,1414,635,44.9,352,24.9,336,23.8,91,6.4,427,30.2,2496
"Hartford School District","=""0640011""",08,1496,1407,94.1,1398,603,43.1,434,31.0,292,20.9,69,4.9,361,25.8,2508
"Hartford School District","=""0640011""",11,1271,892,70.2,875,330,37.7,266,30.4,208,23.8,71,8.1,279,31.9,2529
"Hartland School District","=""0650011""",03,17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""",04,24,24,100.0,24,8,33.3,"*","*",7,29.2,"*","*","*","*",2455
"Hartland School District","=""0650011""",05,31,31,100.0,31,7,22.6,"*","*",13,41.9,"*","*","*","*",2511
"Hartland School District","=""0650011""",06,27,26,96.3,26,"*","*",9,34.6,9,34.6,"*","*","*","*",2529
"Hartland School District","=""0650011""",07,15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""",08,23,23,100.0,23,"*","*","*","*",12,52.2,7,30.4,19,82.6,2624
"Hebron School District","=""0670011""",03,119,119,100.0,119,18,15.1,35,29.4,33,27.7,33,27.7,66,55.5,2443
"Hebron School District","=""0670011""",04,106,105,99.1,105,23,21.9,17,16.2,35,33.3,30,28.6,65,61.9,2484
"Hebron School District","=""0670011""",05,120,120,100.0,120,19,15.8,20,16.7,53,44.2,28,23.3,81,67.5,2526
"Hebron School District","=""0670011""",06,148,148,100.0,147,13,8.8,29,19.7,68,46.3,37,25.2,105,71.4,2564
"Highville Charter School District","=""2860013""",03,40,40,100.0,40,11,27.5,15,37.5,"*","*","*","*",14,35.0,2410
"Highville Charter School District","=""2860013""",04,39,39,100.0,39,14,35.9,15,38.5,"*","*","*","*",10,25.6,2432
"Highville Charter School District","=""2860013""",05,35,35,100.0,35,"*","*",11,31.4,11,31.4,"*","*","*","*",2485
"Highville Charter School District","=""2860013""",06,34,34,100.0,34,"*","*",19,55.9,11,32.4,"*","*","*","*",2514
"Highville Charter School District","=""2860013""",07,32,32,100.0,32,"*","*",15,46.9,14,43.8,"*","*","*","*",2555
"Highville Charter School District","=""2860013""",08,32,32,100.0,32,"*","*",11,34.4,16,50.0,"*","*","*","*",2560
"Integrated Day Charter School District","=""2640013""",03,33,32,97.0,32,"*","*",13,40.6,8,25.0,"*","*","*","*",2437
"Integrated Day Charter School District","=""2640013""",04,33,33,100.0,33,10,30.3,"*","*",12,36.4,"*","*","*","*",2448
"Integrated Day Charter School District","=""2640013""",05,33,33,100.0,31,6,19.4,8,25.8,10,32.3,7,22.6,17,54.8,2517
"Integrated Day Charter School District","=""2640013""",06,33,33,100.0,33,"*","*",11,33.3,11,33.3,"*","*","*","*",2559
"Integrated Day Charter School District","=""2640013""",07,35,35,100.0,35,"*","*",9,25.7,14,40.0,"*","*","*","*",2553
"Integrated Day Charter School District","=""2640013""",08,31,31,100.0,31,"*","*","*","*",9,29.0,10,32.3,19,61.3,2593
"Interdistrict School for Arts and Comm District","=""2650013""",06,88,88,100.0,88,32,36.4,30,34.1,"*","*","*","*",26,29.5,2486
"Interdistrict School for Arts and Comm District","=""2650013""",07,84,82,97.6,82,26,31.7,22,26.8,26,31.7,8,9.8,34,41.5,2528
"Interdistrict School for Arts and Comm District","=""2650013""",08,81,81,100.0,81,"*","*",30,37.0,28,34.6,"*","*","*","*",2544
"Jumoke Academy District","=""2610013""",03,50,50,100.0,50,24,48.0,"*","*","*","*","*","*","*","*",2383
"Jumoke Academy District","=""2610013""",04,65,65,100.0,65,23,35.4,22,33.8,10,15.4,10,15.4,20,30.8,2448
"Jumoke Academy District","=""2610013""",05,73,73,100.0,73,23,31.5,17,23.3,22,30.1,11,15.1,33,45.2,2492
"Jumoke Academy District","=""2610013""",06,72,72,100.0,72,22,30.6,24,33.3,20,27.8,6,8.3,26,36.1,2501
"Jumoke Academy District","=""2610013""",07,83,82,98.8,82,16,19.5,31,37.8,26,31.7,9,11.0,35,42.7,2541
"Jumoke Academy District","=""2610013""",08,76,75,98.7,75,"*","*",34,45.3,20,26.7,"*","*","*","*",2547
"Jumoke Academy District","=""2610013""",11,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
