"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School",130,"29.2%","58.8%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts",368,"44.6%","66.6%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School",166,"25.3%","51.1%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy",60,"36.7%","50.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School",138,"30.4%","55.3%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School",190,"57.4%","77.3%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School",99,"19.2%","44.3%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School",112,"27.7%","49.9%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy",256,"25.4%","44.6%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School",279,"33.0%","54.7%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School",138,"27.5%","51.2%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School",119,"18.5%","37.9%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School",105,"57.1%","79.7%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School",340,"45.0%","69.2%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School",181,"32.6%","54.8%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School",157,"31.8%","52.4%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication",254,"32.7%","47.5%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy",325,"34.8%","54.5%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School",126,"47.6%","62.7%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School",619,"49.1%","69.8%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School",152,"47.4%","71.2%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School",128,"37.5%","60.0%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School",161,"51.6%","80.0%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School",65,"56.9%","79.4%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School",271,"49.1%","64.4%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School",109,"40.4%","57.5%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School",198,"48.0%","68.0%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School",172,"34.3%","57.2%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School",294,"43.5%","62.6%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School",203,"36.9%","57.2%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School",210,"65.2%","83.9%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School",161,"46.0%","64.5%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School",341,"36.1%","55.1%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School",51,"51.0%","67.9%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School",71,"50.7%","71.9%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School",47,"57.4%","76.3%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School",452,"32.3%","47.7%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School",119,"34.5%","59.1%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School",103,"52.4%","74.5%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy",390,"33.6%","53.0%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School",90,"33.3%","60.3%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School",699,"35.2%","54.7%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School",91,"35.2%","61.9%"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy",6,"*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School",73,"34.2%","61.9%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School",76,"28.9%","53.2%"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School",108,"38.0%","62.9%"
"=""0770011""","Manchester School District","=""0771311""","Waddell School",87,"42.5%","65.3%"
"=""0770011""","Manchester School District","=""0771411""","Washington School",101,"19.8%","51.1%"
"=""0780011""","Mansfield School District","=""0780411""","Annie E. Vinton School",47,"68.1%","88.2%"
"=""0780011""","Mansfield School District","=""0780211""","Dorothy C. Goodwin School",19,"*","*"
"=""0780011""","Mansfield School District","=""0785111""","Mansfield Middle School School",422,"49.8%","65.8%"
"=""0780011""","Mansfield School District","=""0780511""","Southeast Elementary School",46,"47.8%","74.9%"
"=""0790011""","Marlborough School District","=""0790111""","Elmer Thienes-Mary Hall Elementary School",253,"56.1%","77.4%"
"=""0800011""","Meriden School District","=""0800111""","Benjamin Franklin School",108,"33.3%","56.4%"
"=""0800011""","Meriden School District","=""0801111""","Casimir Pulaski School",208,"41.3%","69.6%"
"=""0800011""","Meriden School District","=""0800311""","Hanover School",130,"36.9%","64.8%"
"=""0800011""","Meriden School District","=""0800411""","Israel Putnam School",170,"28.2%","51.7%"
"=""0800011""","Meriden School District","=""0800511""","John Barry School",148,"49.3%","71.4%"
"=""0800011""","Meriden School District","=""0805211""","Lincoln Middle School",639,"47.7%","67.2%"
"=""0800011""","Meriden School District","=""0800711""","Nathan Hale School",181,"34.8%","62.2%"
"=""0800011""","Meriden School District","=""0800811""","Roger Sherman School",134,"38.1%","63.6%"
"=""0800011""","Meriden School District","=""0800911""","STEP-Meriden School District","*","*","*"
"=""0800011""","Meriden School District","=""0801211""","STEPS-Meriden School District","*","*","*"
"=""0800011""","Meriden School District","=""0801011""","Thomas Hooker School",94,"47.9%","74.2%"
"=""0800011""","Meriden School District","=""0805411""","Washington Middle School",580,"33.3%","52.3%"
"=""0830011""","Middletown School District","=""0830211""","Bielefield School",87,"37.9%","64.9%"
"=""0830011""","Middletown School District","=""0830511""","Farm Hill School",95,"31.6%","52.5%"
"=""0830011""","Middletown School District","=""0830711""","ICM - Lawrence","*","*","*"
"=""0830011""","Middletown School District","=""0832011""","ICM - Spencer","*","*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School",293,"42.7%","60.8%"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School",75,"32.0%","51.4%"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School",46,"23.9%","47.3%"
"=""0830011""","Middletown School District","=""0831211""","Moody School",86,"46.5%","70.5%"
"=""0830011""","Middletown School District","=""0830311""","OASIS","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough",20,"65.0%","79.7%"
"=""0830011""","Middletown School District","=""0831111""","Snow School",72,"34.7%","63.5%"
"=""0830011""","Middletown School District","=""0830111""","Spencer School",88,"34.1%","61.7%"
"=""0830011""","Middletown School District","=""0831411""","Wesley School",82,"39.0%","67.4%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School",631,"38.2%","55.5%"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School",95,"48.4%","70.3%"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School",437,"49.4%","65.7%"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School",491,"48.5%","65.3%"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School",114,"50.9%","78.5%"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School",86,"43.0%","65.6%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School",127,"46.5%","68.4%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School",88,"43.2%","72.9%"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School",120,"52.5%","78.7%"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School",110,"54.5%","76.2%"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School",88,"56.8%","84.8%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School",427,"44.0%","63.1%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School",170,"53.5%","74.1%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School",757,"45.0%","59.6%"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School",105,"61.0%","76.1%"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School",149,"55.7%","71.2%"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School",108,"46.3%","70.2%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School",515,"39.6%","58.9%"
"=""0860011""","Montville School District","=""0860111""","Mohegan School",104,"41.3%","65.6%"
"=""0860011""","Montville School District","=""0860511""","Oakdale School",103,"71.8%","91.9%"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School",45,"22.2%","46.3%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School",634,"37.5%","57.3%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School",290,"52.1%","76.6%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School",297,"44.4%","68.4%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School",51,"35.3%","59.7%"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School",106,"35.8%","63.7%"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School",47,"38.3%","72.3%"
"=""0880011""","Naugatuck School District","=""0880711""","Western School",58,"56.9%","75.7%"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy",169,"34.3%","56.8%"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School",10,"*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","*","*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School",118,"28.8%","56.1%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School",390,"29.5%","53.2%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School",105,"30.5%","57.5%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School",113,"45.1%","73.3%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy",145,"49.0%","64.2%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School",121,"34.7%","60.3%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School",142,"25.4%","51.6%"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center",17,"*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School",79,"31.6%","59.5%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School",627,"29.8%","49.6%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School",621,"25.0%","44.2%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy",155,"22.6%","53.2%"
"=""0890011""","New Britain School District","=""0891311""","Smith School",170,"20.0%","42.8%"
"=""0890011""","New Britain School District","=""0891811""","Steps",25,"24.0%","48.3%"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate",7,"*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School",151,"29.8%","58.4%"
"=""0900011""","New Canaan School District","=""0900411""","East School",113,"79.6%","98.6%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School",1244,"48.1%","63.7%"
"=""0900011""","New Canaan School District","=""0900211""","South School",117,"65.0%","80.5%"
"=""0900011""","New Canaan School District","=""0900311""","West School",81,"70.4%","86.2%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School",290,"51.7%","74.5%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School",505,"50.5%","69.2%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School",197,"43.1%","66.4%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School",217,"22.6%","48.4%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School",242,"26.4%","47.6%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School",220,"47.7%","71.8%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School",230,"52.2%","77.1%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School",432,"41.4%","65.4%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School",209,"34.4%","58.8%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School",177,"31.6%","56.6%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School",161,"31.7%","57.7%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy",234,"40.2%","66.9%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School",260,"36.5%","64.9%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy",204,"36.8%","62.2%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School",317,"52.4%","76.8%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School",217,"39.6%","65.6%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy",17,"*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School",219,"33.3%","58.8%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School",224,"43.3%","64.2%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School",250,"37.6%","58.0%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School",330,"39.4%","62.5%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy",233,"28.8%","54.0%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels",217,"39.2%","64.5%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School",277,"43.3%","69.6%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School",232,"34.1%","59.3%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School",85,"45.9%","78.5%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School",227,"47.1%","68.7%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School",230,"42.2%","65.0%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School",39,"61.5%","86.2%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School",318,"28.9%","53.5%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School",72,"43.1%","68.4%"
"=""0930011""","New Haven School District","=""0932911""","Truman School",213,"35.2%","62.8%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy",19,"*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School",155,"26.5%","53.9%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School",172,"63.4%","79.9%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School",509,"24.4%","41.8%"
"=""0950011""","New London School District","=""0950311""","Jennings School",147,"40.8%","71.8%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School",172,"37.2%","62.0%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School",147,"43.5%","69.1%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School",588,"38.9%","62.8%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School",879,"41.2%","59.9%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School",85,"65.9%","87.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School",59,"42.4%","68.4%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School",77,"33.8%","57.3%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School",634,"40.1%","60.5%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School",591,"31.0%","50.5%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School",71,"32.4%","60.8%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School",69,"53.6%","84.2%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School",71,"66.2%","82.6%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School",78,"37.2%","63.5%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School",766,"44.8%","59.9%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School",653,"44.7%","63.6%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School",66,"48.5%","72.8%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School",44,"45.5%","65.8%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School",438,"44.1%","64.1%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School",265,"42.3%","65.2%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School",110,"58.2%","77.4%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School",99,"50.5%","77.8%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School",99,"60.6%","84.5%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School",100,"57.0%","82.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School",706,"70.8%","89.1%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School",121,"70.2%","91.1%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School",100,"64.0%","83.2%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School",164,"40.2%","55.5%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School",130,"38.5%","60.7%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School",81,"38.3%","66.3%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School",127,"35.4%","57.5%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School",126,"27.8%","53.3%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School",186,"37.6%","60.7%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School",165,"41.2%","64.8%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School",148,"34.5%","61.1%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School",131,"38.2%","60.4%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School",609,"33.7%","52.2%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School",608,"32.2%","54.1%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School",438,"38.6%","56.8%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School",115,"54.8%","81.5%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School",144,"30.6%","58.3%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School",111,"29.7%","59.1%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School",620,"34.4%","52.9%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School",86,"44.2%","72.5%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School",101,"41.6%","65.5%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School",670,"35.7%","56.3%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School",125,"40.0%","70.3%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School",105,"54.3%","81.0%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School",303,"32.0%","53.7%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School",80,"62.5%","81.8%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","*","22.6%","43.6%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School",92,"30.4%","55.1%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School",69,"47.8%","69.7%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School",175,"36.6%","62.1%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School",500,"45.6%","65.5%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School",189,"55.0%","73.5%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School",181,"50.3%","72.3%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School",139,"56.8%","76.8%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School",460,"37.4%","52.8%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","*","41.9%","63.8%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School",337,"46.3%","70.8%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School",493,"54.6%","76.2%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School",307,"37.5%","62.4%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School",81,"43.2%","71.0%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School",136,"38.2%","65.3%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School",109,"34.9%","61.6%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville",525,"45.9%","66.3%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School",314,"38.9%","57.8%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School",111,"42.3%","65.3%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School",109,"59.6%","81.0%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School",221,"51.6%","70.3%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School",208,"54.3%","71.1%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School",91,"40.7%","68.6%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School",208,"46.6%","64.2%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School",137,"28.5%","44.2%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School",76,"52.6%","76.7%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School",160,"37.5%","59.3%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School",235,"48.1%","67.3%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School",417,"48.9%","65.4%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School",85,"63.5%","86.4%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School",299,"42.8%","57.7%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany",357,"56.6%","74.0%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange",352,"45.7%","65.2%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School",61,"60.7%","78.7%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School",36,"33.3%","59.6%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School",116,"38.8%","54.0%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School",31,"54.8%","71.8%"
"=""2070012""","Regional School District 07","=""2079012""","FLEX","*","*","*"
"=""2070012""","Regional School District 07","=""2079212""","Links","*","*","*"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School",279,"47.0%","63.6%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School",549,"36.8%","53.8%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School",750,"41.5%","61.0%"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School",83,"57.8%","81.2%"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School",77,"41.6%","66.1%"
"=""2110012""","Regional School District 11","=""2116112""","Parish Hill High School",82,"47.6%","65.3%"
"=""2120012""","Regional School District 12","=""2120212""","Booth Free School",32,"50.0%","80.5%"
"=""2120012""","Regional School District 12","=""2120312""","Shepaug Valley School",165,"54.5%","72.5%"
"=""2120012""","Regional School District 12","=""2120112""","The Burnham School",20,"60.0%","85.8%"
"=""2120012""","Regional School District 12","=""2120412""","Washington Primary School",37,"56.8%","83.9%"
"=""2130012""","Regional School District 13","=""2130212""","Francis E. Korn School",63,"52.4%","77.7%"
"=""2130012""","Regional School District 13","=""2135112""","Frank Ward Strong School",312,"40.7%","62.1%"
"=""2130012""","Regional School District 13","=""2130512""","John Lyman School",46,"54.3%","79.5%"
"=""2130012""","Regional School District 13","=""2130412""","Middlefield Memorial School",249,"53.0%","74.3%"
"=""2140012""","Regional School District 14","=""2140112""","Bethlehem Elementary School",97,"51.5%","76.4%"
"=""2140012""","Regional School District 14","=""2140212""","Mitchell Elementary School",125,"50.4%","72.5%"
"=""2140012""","Regional School District 14","=""2145112""","Woodbury Middle School",317,"31.2%","50.9%"
"=""2150012""","Regional School District 15","=""2150412""","Gainfield Elementary School",135,"54.8%","74.8%"
"=""2150012""","Regional School District 15","=""2150712""","Long Meadow Elementary School",152,"54.6%","76.9%"
"=""2150012""","Regional School District 15","=""2155212""","Memorial Middle School",424,"55.7%","74.2%"
"=""2150012""","Regional School District 15","=""2150612""","Middlebury Elementary School",122,"43.4%","66.3%"
"=""2150012""","Regional School District 15","=""2150512""","Pomperaug School",125,"52.0%","80.2%"
"=""2150012""","Regional School District 15","=""2155112""","Rochambeau Middle School",510,"47.8%","64.9%"
"=""2160012""","Regional School District 16","=""2160112""","Laurel Ledge School",120,"51.7%","73.4%"
"=""2160012""","Regional School District 16","=""2165112""","Long River Middle School",487,"39.6%","59.5%"
"=""2160012""","Regional School District 16","=""2160512""","Prospect Elementary School",190,"48.9%","77.2%"
"=""2170012""","Regional School District 17","=""2170212""","Burr District Elementary School",47,"61.7%","85.4%"
"=""2170012""","Regional School District 17","=""2170112""","Haddam Elementary School",64,"67.2%","84.5%"
"=""2170012""","Regional School District 17","=""2175112""","Haddam-Killingworth Middle School",723,"49.7%","67.5%"
"=""2170012""","Regional School District 17","=""2170312""","Killingworth Elementary School",49,"49.0%","70.8%"
"=""2180012""","Regional School District 18","=""2180112""","Lyme Consolidated School",72,"66.7%","90.7%"
"=""2180012""","Regional School District 18","=""2185112""","Lyme-Old Lyme Middle School",331,"43.8%","60.8%"
"=""2180012""","Regional School District 18","=""2180212""","Mile Creek School",101,"67.3%","82.1%"
"=""1180011""","Ridgefield School District","=""1180811""","Barlow Mountain Elementary School",87,"74.7%","91.5%"
"=""1180011""","Ridgefield School District","=""1180611""","Branchville Elementary School",143,"66.4%","81.3%"
"=""1180011""","Ridgefield School District","=""1185111""","East Ridge Middle School",713,"47.8%","62.8%"
"=""1180011""","Ridgefield School District","=""1180411""","Farmingville Elementary School",116,"48.3%","70.6%"
"=""1180011""","Ridgefield School District","=""1180311""","Ridgebury Elementary School",114,"70.2%","90.9%"
"=""1180011""","Ridgefield School District","=""1180511""","Scotland Elementary School",123,"71.5%","90.7%"
"=""1180011""","Ridgefield School District","=""1185211""","Scotts Ridge Middle School",448,"38.2%","54.0%"
