"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Non-Special Education",151,"47.0%","72.8%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Special Education",68,"39.7%","64.8%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Non-Special Education",573,"52.4%","69.5%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Special Education","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Non-Special Education","*","81.2%","97.5%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Special Education",68,"25.0%","42.1%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Non-Special Education",520,"52.3%","68.5%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Special Education",9,"*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Non-Special Education",67,"62.7%","84.5%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Special Education",8,"*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","Non-Special Education",63,"57.1%","77.0%"
"=""0520011""","Farmington School District","=""0520311""","West District School","Special Education",7,"*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Non-Special Education",59,"59.3%","76.6%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Special Education",76,"39.5%","69.2%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Non-Special Education",542,"53.9%","72.2%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Special Education",10,"*","*"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Non-Special Education",78,"33.3%","52.1%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Special Education",22,"18.2%","57.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Non-Special Education",152,"55.9%","76.7%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Special Education",10,"*","*"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Non-Special Education",77,"62.3%","82.2%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Special Education",39,"43.6%","60.2%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Non-Special Education",420,"61.4%","77.4%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Special Education","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Non-Special Education","*","58.6%","75.9%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Special Education",13,"*","*"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Non-Special Education",120,"60.0%","81.2%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Special Education","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Special Education",18,"*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Non-Special Education",112,"39.3%","65.2%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Special Education",16,"*","*"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Non-Special Education",159,"67.3%","84.5%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Special Education",99,"32.3%","49.4%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Non-Special Education",902,"44.7%","59.7%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Special Education",29,"37.9%","50.0%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Non-Special Education",264,"52.7%","70.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Special Education",30,"40.0%","60.7%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Non-Special Education",172,"62.2%","81.5%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Special Education",20,"70.0%","94.9%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Non-Special Education",172,"69.8%","86.9%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Special Education",30,"23.3%","37.4%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Non-Special Education",176,"43.2%","63.8%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Special Education",43,"20.9%","39.0%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Non-Special Education",470,"42.3%","59.4%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Special Education",8,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Non-Special Education",126,"50.0%","72.0%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Special Education",78,"30.8%","52.2%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Non-Special Education",688,"59.3%","74.1%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Non-Special Education",124,"57.3%","81.7%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Special Education",18,"*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Non-Special Education",86,"40.7%","64.5%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Special Education",14,"*","*"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Non-Special Education",109,"73.4%","89.5%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Non-Special Education",98,"55.1%","80.9%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Non-Special Education",57,"49.1%","69.1%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Special Education",20,"40.0%","64.8%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Non-Special Education",122,"67.2%","82.9%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Special Education",7,"*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Non-Special Education",100,"59.0%","77.1%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Special Education",9,"*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Non-Special Education",109,"62.4%","83.4%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Special Education",6,"*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Non-Special Education",50,"62.0%","76.6%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Special Education",13,"*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Non-Special Education",128,"71.9%","86.4%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Special Education",69,"46.4%","68.4%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Non-Special Education",421,"56.8%","72.3%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Non-Special Education","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Special Education",21,"38.1%","54.5%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Non-Special Education",111,"40.5%","68.1%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Special Education",65,"27.7%","51.9%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Non-Special Education",437,"45.1%","64.9%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Special Education",49,"32.7%","52.2%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Non-Special Education",399,"43.1%","60.3%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Special Education",14,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Non-Special Education",83,"41.0%","66.1%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Special Education",11,"*","*"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Non-Special Education",47,"51.1%","79.4%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Special Education",16,"*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Non-Special Education",84,"35.7%","59.0%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Special Education",10,"*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Non-Special Education",41,"41.5%","70.8%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Special Education",9,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Non-Special Education",107,"58.9%","83.0%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Special Education",8,"*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Non-Special Education",64,"54.7%","76.5%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Special Education",9,"*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Non-Special Education",65,"53.8%","78.0%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Special Education",63,"39.7%","59.6%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Non-Special Education",308,"28.9%","45.5%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Special Education",60,"45.0%","66.4%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Non-Special Education",467,"51.0%","69.1%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Special Education",13,"*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Non-Special Education",46,"58.7%","77.3%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Special Education",7,"*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Non-Special Education",53,"62.3%","85.6%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Special Education",59,"40.7%","58.8%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Non-Special Education",464,"57.8%","73.3%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Special Education","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Non-Special Education","*","67.2%","89.1%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Special Education",6,"*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Non-Special Education",59,"54.2%","74.4%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Special Education",32,"21.9%","51.2%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Non-Special Education",163,"42.3%","62.4%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Special Education",32,"21.9%","51.0%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Non-Special Education",78,"37.2%","63.7%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Special Education",18,"*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Non-Special Education",84,"47.6%","71.2%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Special Education","*","*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Non-Special Education","*","*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Special Education",113,"24.8%","41.1%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Non-Special Education",607,"29.8%","47.0%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Special Education",23,"34.8%","56.4%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Non-Special Education",104,"45.2%","64.0%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Special Education",18,"*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Non-Special Education",94,"41.5%","59.5%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Special Education",17,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Non-Special Education",103,"37.9%","69.0%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Special Education",22,"27.3%","38.9%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Non-Special Education",132,"57.6%","75.8%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Special Education",27,"40.7%","64.7%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Non-Special Education",141,"51.8%","71.4%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Special Education","*","*","*"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Non-Special Education","*","54.2%","81.9%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Special Education",34,"20.6%","42.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Non-Special Education",191,"21.5%","46.4%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Special Education",33,"36.4%","64.5%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Non-Special Education",166,"37.3%","62.9%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Special Education",39,"23.1%","46.0%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Non-Special Education",251,"39.8%","62.0%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Special Education",24,"29.2%","49.2%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Non-Special Education",70,"47.1%","68.3%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Special Education",26,"23.1%","55.8%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Non-Special Education",137,"39.4%","60.0%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Special Education",44,"18.2%","42.6%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Non-Special Education",175,"29.1%","52.0%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Special Education",32,"25.0%","49.4%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Non-Special Education",207,"25.1%","45.3%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Special Education",31,"19.4%","41.5%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Non-Special Education",204,"37.3%","56.3%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Special Education",16,"*","*"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Non-Special Education",85,"27.1%","51.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Special Education",29,"17.2%","37.7%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Non-Special Education",232,"26.3%","46.5%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","Special Education",18,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Special Education",46,"26.1%","47.9%"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Non-Special Education",248,"37.5%","57.6%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Special Education",38,"39.5%","65.4%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Non-Special Education",110,"30.0%","59.3%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Special Education",30,"30.0%","58.5%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Non-Special Education",173,"28.9%","53.1%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Special Education",67,"23.9%","41.8%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Non-Special Education",527,"32.1%","50.2%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Special Education",38,"39.5%","62.9%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Non-Special Education",217,"31.3%","57.4%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Special Education",37,"35.1%","51.5%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Non-Special Education",184,"40.8%","62.7%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Special Education",29,"37.9%","56.2%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Non-Special Education",101,"32.7%","55.6%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Special Education",30,"46.7%","67.0%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Non-Special Education",141,"32.6%","54.1%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Special Education",20,"15.0%","30.1%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Non-Special Education",111,"23.4%","48.7%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Special Education",13,"*","*"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Non-Special Education",64,"34.4%","55.2%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Non-Special Education","*","29.2%","58.0%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Special Education",33,"27.3%","55.9%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Non-Special Education",239,"41.0%","64.3%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Special Education",26,"19.2%","62.1%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Non-Special Education",104,"31.7%","58.0%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Special Education",53,"22.6%","54.9%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Non-Special Education",315,"48.3%","68.5%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Special Education",29,"17.2%","41.4%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Non-Special Education",137,"27.0%","53.2%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Non-Special Education",60,"36.7%","50.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Special Education",34,"14.7%","42.7%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Non-Special Education",104,"35.6%","59.4%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Special Education",28,"46.4%","68.8%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Non-Special Education",162,"59.3%","78.7%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Special Education",16,"*","*"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Non-Special Education",83,"19.3%","43.9%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Special Education",33,"27.3%","50.9%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Non-Special Education",79,"27.8%","49.5%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Special Education",29,"17.2%","44.0%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Non-Special Education",227,"26.4%","44.6%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Special Education",45,"22.2%","51.2%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Non-Special Education",234,"35.0%","55.3%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Special Education",26,"19.2%","48.6%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Non-Special Education",112,"29.5%","51.8%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Special Education",21,"23.8%","45.2%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Non-Special Education",98,"17.3%","36.4%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Special Education",17,"*","*"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Non-Special Education",88,"61.4%","84.4%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Special Education",40,"27.5%","55.8%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Non-Special Education",300,"47.3%","71.0%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Non-Special Education",167,"33.5%","56.1%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Non-Special Education",143,"32.9%","53.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Special Education",44,"31.8%","48.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Non-Special Education",210,"32.9%","47.2%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Special Education",26,"26.9%","48.4%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Non-Special Education",299,"35.5%","55.0%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Special Education",14,"*","*"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Non-Special Education",112,"50.0%","65.1%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Special Education",69,"34.8%","60.7%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Non-Special Education",550,"50.9%","71.0%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Special Education",21,"28.6%","53.5%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Non-Special Education",131,"50.4%","74.0%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Special Education",28,"46.4%","73.2%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Non-Special Education",100,"35.0%","56.3%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","Special Education","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","Special Education","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Special Education",19,"*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Non-Special Education",142,"52.8%","81.9%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Special Education",14,"*","*"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Non-Special Education",51,"56.9%","78.6%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Special Education",37,"45.9%","61.6%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Non-Special Education",234,"49.6%","64.8%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Special Education",20,"45.0%","59.2%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Non-Special Education",89,"39.3%","57.1%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Special Education",23,"34.8%","45.2%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Non-Special Education",175,"49.7%","70.9%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Special Education",19,"*","*"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Non-Special Education",153,"35.3%","59.4%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Special Education",39,"35.9%","59.1%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Non-Special Education",255,"44.7%","63.1%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Non-Special Education",185,"37.3%","55.9%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Special Education",31,"41.9%","71.5%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Non-Special Education",179,"69.3%","86.1%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Special Education",24,"29.2%","53.5%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Non-Special Education",137,"48.9%","66.4%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Special Education",44,"20.5%","47.7%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Non-Special Education",297,"38.4%","56.2%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Special Education","*","*","*"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Non-Special Education","*","55.3%","69.9%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","Special Education",11,"*","*"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","Non-Special Education",60,"51.7%","70.6%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","Special Education",7,"*","*"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","Non-Special Education",40,"62.5%","80.5%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","Special Education",50,"18.0%","35.5%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","Non-Special Education",402,"34.1%","49.2%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","Special Education",16,"*","*"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","Non-Special Education",103,"36.9%","60.8%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","Special Education",10,"*","*"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","Non-Special Education",93,"53.8%","76.1%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","Special Education",42,"23.8%","37.9%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","Non-Special Education",348,"34.8%","54.8%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","Special Education","*","*","*"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","Non-Special Education","*","35.3%","60.9%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","Special Education",91,"26.4%","49.4%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","Non-Special Education",608,"36.5%","55.5%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","Special Education",12,"*","*"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","Non-Special Education",79,"36.7%","62.3%"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy","Special Education","*","*","*"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy","Non-Special Education","*","*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School","Special Education",6,"*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School","Non-Special Education",67,"34.3%","62.1%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","Special Education",8,"*","*"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","Non-Special Education",68,"29.4%","53.2%"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School","Special Education",13,"*","*"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School","Non-Special Education",95,"36.8%","62.5%"
"=""0770011""","Manchester School District","=""0771311""","Waddell School","Special Education",6,"*","*"
"=""0770011""","Manchester School District","=""0771311""","Waddell School","Non-Special Education",81,"44.4%","66.1%"
