"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Math",140,"61.4%","90.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELA",764,"43.6%","60.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Math",764,"52.9%","71.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELA",152,"59.2%","79.0%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Math",152,"58.6%","81.9%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELA",165,"46.1%","71.3%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Math",165,"47.3%","73.5%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELA",641,"51.0%","69.0%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Math",636,"37.1%","55.3%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELA",90,"80.0%","97.0%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Math",94,"76.6%","94.2%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELA",588,"49.1%","65.5%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Math",591,"66.8%","82.6%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELA",76,"60.5%","81.9%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Math",76,"53.9%","85.0%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELA",71,"56.3%","76.6%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Math",71,"64.8%","88.9%"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELA",66,"60.6%","78.8%"
"=""0520011""","Farmington School District","=""0520311""","West District School","Math",66,"62.1%","89.0%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELA",618,"52.1%","71.9%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Math",618,"62.6%","83.2%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","ELA",88,"35.2%","53.3%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Math",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELA",174,"51.1%","74.3%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Math",174,"59.8%","86.3%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","ELA","*","59.8%","81.6%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Math","*","67.8%","89.0%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","ELA",459,"59.9%","75.9%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Math",457,"62.1%","80.5%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","ELA",138,"58.0%","76.1%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Math",138,"53.6%","72.8%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","ELA",133,"57.9%","80.1%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Math",133,"66.2%","87.7%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","ELA","*","*","*"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Math","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","ELA",130,"36.2%","61.7%"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Math",130,"40.0%","69.8%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","ELA",175,"64.0%","82.9%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Math",174,"66.7%","88.5%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","ELA",1001,"43.5%","58.7%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Math",1002,"55.2%","73.2%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","ELA",293,"51.2%","68.8%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Math",292,"40.8%","57.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","ELA",202,"58.9%","78.4%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Math",202,"54.0%","80.3%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","ELA",192,"69.8%","87.8%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Math",192,"65.1%","87.8%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","ELA",206,"40.3%","60.0%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Math",203,"44.8%","62.8%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","ELA",513,"40.5%","57.7%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Math",516,"39.1%","54.1%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","ELA",134,"47.8%","70.6%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Math",138,"55.1%","79.6%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","ELA",766,"56.4%","71.9%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Math",774,"68.0%","82.1%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","ELA",139,"55.4%","78.7%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Math",144,"52.1%","73.3%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","ELA",104,"36.5%","61.6%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Math",108,"37.0%","70.5%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","ELA",123,"71.5%","87.9%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Math",123,"65.0%","83.3%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","ELA",113,"53.1%","78.7%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Math",113,"47.8%","73.3%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","ELA",72,"48.6%","68.7%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Math",72,"45.8%","71.6%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","ELA",142,"63.4%","80.3%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Math",143,"62.9%","84.3%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","ELA",107,"58.9%","76.9%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Math",107,"49.5%","68.6%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","ELA",118,"60.2%","82.0%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Math",123,"67.5%","87.7%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","ELA",56,"57.1%","73.7%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Math",56,"55.4%","76.2%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","ELA",141,"70.9%","86.4%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Math",142,"59.2%","77.9%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","ELA",490,"55.3%","71.8%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Math",494,"55.7%","73.4%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","ELA","*","*","*"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Math","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","ELA","*","40.2%","65.9%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Math","*","32.6%","59.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","ELA",502,"42.8%","63.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Math",502,"54.8%","73.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","ELA",448,"42.0%","59.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Math",452,"50.2%","66.5%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","ELA",97,"40.2%","63.0%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Math",98,"43.9%","74.1%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","ELA",58,"48.3%","74.1%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Math",57,"59.6%","81.5%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","ELA",100,"34.0%","55.0%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Math",100,"41.0%","67.8%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","ELA",51,"41.2%","71.4%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Math",50,"54.0%","81.9%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","ELA",116,"58.6%","83.2%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Math",116,"70.7%","92.8%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","ELA",72,"54.2%","77.2%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Math",72,"61.1%","80.2%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","ELA",74,"52.7%","76.5%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Math",74,"56.8%","84.2%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","ELA",371,"30.7%","47.9%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Math",376,"26.3%","42.6%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","ELA",527,"50.3%","68.8%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Math",528,"55.5%","78.3%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","ELA",59,"59.3%","79.7%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Math",58,"44.8%","70.6%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","ELA",60,"61.7%","82.9%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Math",60,"40.0%","62.3%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","ELA",523,"55.8%","71.6%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Math",523,"65.6%","82.7%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","ELA",65,"64.6%","86.5%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Math",65,"66.2%","88.6%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","ELA",65,"50.8%","75.1%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Math",65,"38.5%","52.2%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","ELA",195,"39.0%","60.6%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Math",194,"36.6%","60.4%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","ELA",110,"32.7%","60.0%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Math",110,"31.8%","55.1%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","ELA",102,"45.1%","68.4%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Math",103,"32.0%","52.4%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","ELA",7,"*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Math",6,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","ELA",720,"29.0%","46.1%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Math",715,"33.0%","47.3%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","ELA",127,"43.3%","62.6%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Math",130,"36.9%","67.3%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","ELA",112,"42.0%","60.4%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Math",113,"29.2%","54.1%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","ELA",120,"37.5%","68.4%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Math",121,"47.9%","69.6%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","ELA",154,"53.2%","70.5%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Math",153,"40.5%","66.6%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","ELA",168,"50.0%","70.3%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Math",168,"46.4%","70.9%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","ELA",28,"53.6%","78.8%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Math",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","ELA",225,"21.3%","45.8%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Math",222,"23.0%","43.8%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","ELA",199,"37.2%","63.2%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Math",202,"32.2%","56.6%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","ELA",290,"37.6%","59.8%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Math",290,"49.3%","69.7%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","ELA",94,"42.6%","63.4%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Math",93,"37.6%","56.4%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","ELA",163,"36.8%","59.4%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Math",163,"30.7%","51.3%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","ELA",219,"26.9%","50.1%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Math",227,"29.1%","52.3%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","ELA",239,"25.1%","45.8%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Math",252,"25.8%","49.2%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","ELA",235,"34.9%","54.3%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Math",234,"28.6%","47.4%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","ELA",101,"25.7%","51.5%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Math",105,"41.0%","63.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","ELA",261,"25.3%","45.6%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Math",261,"26.1%","43.5%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","ELA",18,"*","*"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","Math",19,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","ELA","*","*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","Math","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","ELA",294,"35.7%","56.1%"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Math",294,"43.2%","64.0%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","ELA",148,"32.4%","60.9%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Math",151,"27.2%","59.6%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","ELA",203,"29.1%","53.9%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Math",241,"27.0%","48.6%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","ELA",594,"31.1%","49.2%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Math",592,"34.1%","54.0%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","ELA",255,"32.5%","58.2%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Math",258,"39.1%","63.4%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","ELA","*","*","*"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","Math","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","ELA",221,"39.8%","60.9%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Math",239,"35.6%","60.1%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","ELA",130,"33.8%","55.7%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Math",133,"36.1%","60.8%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","ELA",171,"35.1%","56.4%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Math",183,"33.3%","51.2%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","ELA",131,"22.1%","45.9%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Math",135,"32.6%","52.1%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","ELA",77,"35.1%","54.8%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Math",73,"21.9%","43.0%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","ELA",26,"26.9%","58.3%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Math",26,"23.1%","48.7%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","ELA",272,"39.3%","63.3%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Math",273,"41.4%","63.9%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","ELA",130,"29.2%","58.8%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Math",135,"30.4%","56.8%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","ELA",368,"44.6%","66.6%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Math",367,"34.6%","59.0%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","ELA",166,"25.3%","51.1%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Math",164,"31.1%","54.3%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","ELA",60,"36.7%","50.1%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Math",61,"29.5%","53.6%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","ELA",138,"30.4%","55.3%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Math",137,"27.0%","48.7%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","ELA",190,"57.4%","77.3%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Math",189,"63.5%","81.6%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","ELA",99,"19.2%","44.3%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Math",101,"32.7%","59.8%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","ELA",112,"27.7%","49.9%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Math",114,"21.9%","41.1%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","ELA",256,"25.4%","44.6%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Math",257,"26.8%","46.2%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","ELA",279,"33.0%","54.7%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Math",277,"33.6%","61.4%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","ELA",138,"27.5%","51.2%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Math",142,"45.8%","69.0%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","ELA",119,"18.5%","37.9%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Math",117,"23.9%","46.1%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","ELA",105,"57.1%","79.7%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Math",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","ELA",340,"45.0%","69.2%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Math",340,"56.5%","82.0%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","ELA",181,"32.6%","54.8%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Math",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","ELA",157,"31.8%","52.4%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Math",154,"42.9%","64.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","ELA",254,"32.7%","47.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Math",252,"18.7%","33.0%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","ELA",325,"34.8%","54.5%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Math",326,"35.3%","55.7%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","ELA",126,"47.6%","62.7%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Math",126,"52.4%","70.1%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","ELA",619,"49.1%","69.8%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Math",617,"41.3%","61.7%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","ELA",152,"47.4%","71.2%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Math",152,"36.8%","71.3%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","ELA",128,"37.5%","60.0%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Math",131,"30.5%","49.6%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","ELA","*","*","*"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","Math","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","ELA","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","Math","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","ELA",161,"51.6%","80.0%"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Math",162,"50.0%","78.1%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","ELA",65,"56.9%","79.4%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Math",65,"56.9%","85.3%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","ELA",271,"49.1%","64.4%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Math",267,"38.2%","60.8%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","ELA",109,"40.4%","57.5%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Math",109,"43.1%","70.6%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","ELA",198,"48.0%","68.0%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Math",198,"54.5%","78.3%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","ELA",172,"34.3%","57.2%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Math",173,"47.4%","72.3%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","ELA",294,"43.5%","62.6%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Math",295,"45.8%","62.9%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","ELA",203,"36.9%","57.2%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Math",203,"42.9%","68.1%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","ELA",210,"65.2%","83.9%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Math",210,"67.6%","87.1%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","ELA",161,"46.0%","64.5%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Math",161,"43.5%","58.3%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","ELA",341,"36.1%","55.1%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Math",339,"25.1%","41.1%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","ELA",51,"51.0%","67.9%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Math",51,"43.1%","70.5%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","ELA",71,"50.7%","71.9%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","Math",71,"45.1%","72.6%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","ELA",47,"57.4%","76.3%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","Math",47,"46.8%","75.5%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","ELA",452,"32.3%","47.7%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","Math",452,"52.0%","68.3%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","ELA",119,"34.5%","59.1%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","Math",119,"26.9%","57.7%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","ELA",103,"52.4%","74.5%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","Math",103,"60.2%","85.8%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","ELA",390,"33.6%","53.0%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","Math",388,"50.5%","70.7%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","ELA",90,"33.3%","60.3%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","Math",90,"26.7%","50.5%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","ELA",699,"35.2%","54.7%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","Math",699,"25.3%","42.6%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","ELA",91,"35.2%","61.9%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","Math",92,"25.0%","52.1%"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy","ELA",6,"*","*"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy","Math",6,"*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School","ELA",73,"34.2%","61.9%"
"=""0770011""","Manchester School District","=""0771611""","Martin School","Math",73,"17.8%","41.4%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","ELA",76,"28.9%","53.2%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","Math",76,"36.8%","69.7%"
