"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Not Eligible For Lunch",93,"55.9%","75.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Eligible For Lunch",57,"29.8%","58.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Not Eligible For Lunch",244,"45.1%","69.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Eligible For Lunch",57,"49.1%","78.0%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Not Eligible For Lunch",244,"51.6%","75.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Eligible For Lunch",99,"28.3%","49.7%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Not Eligible For Lunch",325,"48.3%","63.6%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Eligible For Lunch",99,"46.5%","63.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Not Eligible For Lunch",327,"46.8%","65.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Eligible For Lunch",65,"46.2%","74.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Not Eligible For Lunch",287,"55.7%","80.3%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Eligible For Lunch",65,"47.7%","78.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Not Eligible For Lunch",288,"61.1%","86.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Eligible For Lunch",105,"35.2%","57.5%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Not Eligible For Lunch",474,"47.5%","64.7%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Eligible For Lunch",105,"29.5%","44.7%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Not Eligible For Lunch",473,"33.4%","48.4%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Not Eligible For Lunch","*","57.7%","77.0%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Not Eligible For Lunch","*","30.8%","59.4%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Eligible For Lunch",39,"48.7%","70.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Not Eligible For Lunch",187,"47.6%","67.0%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Eligible For Lunch",39,"38.5%","59.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Not Eligible For Lunch",186,"37.6%","61.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Eligible For Lunch",61,"31.1%","54.0%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Not Eligible For Lunch",136,"44.1%","65.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Eligible For Lunch",62,"32.3%","52.6%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Not Eligible For Lunch",137,"44.5%","64.2%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Eligible For Lunch",34,"20.6%","50.2%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Not Eligible For Lunch",36,"27.8%","50.6%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Eligible For Lunch",33,"33.3%","55.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Not Eligible For Lunch",36,"25.0%","45.7%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Not Eligible For Lunch",38,"44.7%","63.6%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Not Eligible For Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Eligible For Lunch",78,"48.7%","71.8%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Not Eligible For Lunch",295,"59.3%","79.4%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Eligible For Lunch",78,"43.6%","69.9%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Not Eligible For Lunch",294,"55.1%","74.2%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Eligible For Lunch",36,"41.7%","75.1%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Not Eligible For Lunch",197,"52.3%","74.7%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Eligible For Lunch",36,"52.8%","78.5%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Not Eligible For Lunch",197,"50.8%","78.9%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Eligible For Lunch",82,"45.1%","67.7%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Not Eligible For Lunch",351,"54.4%","72.1%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Eligible For Lunch",82,"42.7%","60.6%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Not Eligible For Lunch",350,"47.7%","67.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Eligible For Lunch",57,"35.1%","60.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Not Eligible For Lunch",259,"32.0%","59.2%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Eligible For Lunch",57,"29.8%","56.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Not Eligible For Lunch",259,"24.7%","46.9%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Eligible For Lunch",481,"43.2%","65.1%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Not Eligible For Lunch",381,"41.2%","61.0%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Eligible For Lunch",472,"35.0%","54.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Not Eligible For Lunch",379,"39.8%","58.5%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Eligible For Lunch",86,"51.2%","72.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Not Eligible For Lunch",23,"60.9%","78.0%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Eligible For Lunch",88,"64.8%","89.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Not Eligible For Lunch",23,"73.9%","100.0%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Eligible For Lunch",29,"55.2%","75.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Not Eligible For Lunch",44,"38.6%","55.8%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Eligible For Lunch",45,"46.7%","77.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Not Eligible For Lunch",44,"54.5%","75.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Eligible For Lunch",80,"50.0%","73.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Not Eligible For Lunch",31,"61.3%","84.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Eligible For Lunch",82,"61.0%","86.8%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Not Eligible For Lunch",31,"48.4%","79.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Eligible For Lunch",162,"37.7%","68.1%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Not Eligible For Lunch",178,"42.7%","66.1%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Eligible For Lunch",161,"24.8%","50.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Not Eligible For Lunch",182,"34.1%","60.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Eligible For Lunch",82,"57.3%","81.3%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Not Eligible For Lunch",14,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Eligible For Lunch",83,"68.7%","92.2%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Not Eligible For Lunch",14,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Eligible For Lunch",122,"56.6%","85.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Not Eligible For Lunch",39,"53.8%","78.1%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Eligible For Lunch",128,"64.1%","87.0%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Not Eligible For Lunch",39,"76.9%","93.4%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Eligible For Lunch",64,"29.7%","60.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Not Eligible For Lunch",41,"53.7%","75.0%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Eligible For Lunch",65,"33.8%","65.8%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Not Eligible For Lunch",41,"41.5%","76.0%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Eligible For Lunch",530,"31.5%","54.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Not Eligible For Lunch",248,"43.1%","59.7%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Eligible For Lunch",560,"39.8%","58.1%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Not Eligible For Lunch",250,"47.2%","67.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Eligible For Lunch",91,"39.6%","66.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Not Eligible For Lunch",60,"40.0%","63.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Eligible For Lunch",90,"53.3%","78.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Not Eligible For Lunch",61,"47.5%","75.0%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Eligible For Lunch",90,"48.9%","76.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Not Eligible For Lunch",19,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Eligible For Lunch",92,"51.1%","78.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Not Eligible For Lunch",19,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Eligible For Lunch",77,"32.5%","62.6%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Not Eligible For Lunch",76,"34.2%","63.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Eligible For Lunch",78,"34.6%","62.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Not Eligible For Lunch",79,"36.7%","63.9%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Eligible For Lunch",30,"36.7%","52.6%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Not Eligible For Lunch",91,"53.8%","77.0%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Eligible For Lunch",30,"50.0%","84.1%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Not Eligible For Lunch",91,"71.4%","90.4%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Eligible For Lunch",184,"28.8%","48.2%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Not Eligible For Lunch",293,"39.6%","58.7%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Eligible For Lunch",183,"29.0%","44.3%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Not Eligible For Lunch",292,"37.7%","55.0%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Eligible For Lunch","*","*","*"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Not Eligible For Lunch","*","57.3%","77.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Eligible For Lunch","*","*","*"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Not Eligible For Lunch","*","62.6%","81.9%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Eligible For Lunch","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Not Eligible For Lunch","*","62.6%","82.2%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Eligible For Lunch","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Not Eligible For Lunch","*","55.0%","82.4%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Eligible For Lunch",28,"17.9%","44.4%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Not Eligible For Lunch",1074,"58.0%","73.1%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Eligible For Lunch",28,"57.1%","68.0%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Not Eligible For Lunch",1075,"73.0%","88.0%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","ELA","Not Eligible For Lunch",138,"62.3%","82.3%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Math","Not Eligible For Lunch",139,"59.7%","81.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Eligible For Lunch",7,"*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Not Eligible For Lunch",117,"68.4%","87.2%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Eligible For Lunch",7,"*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Not Eligible For Lunch",117,"61.5%","86.7%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","ELA","Not Eligible For Lunch",133,"68.4%","87.2%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Math","Not Eligible For Lunch",133,"66.2%","87.6%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Eligible For Lunch",24,"29.2%","58.9%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Not Eligible For Lunch",121,"52.9%","69.7%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Eligible For Lunch",24,"37.5%","66.8%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Not Eligible For Lunch",121,"53.7%","74.2%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Eligible For Lunch",50,"28.0%","59.7%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Not Eligible For Lunch",70,"48.6%","75.7%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Eligible For Lunch",50,"20.0%","48.9%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Not Eligible For Lunch",71,"31.0%","67.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Eligible For Lunch",158,"26.6%","42.1%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Not Eligible For Lunch",138,"29.0%","44.3%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Eligible For Lunch",158,"18.4%","34.8%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Not Eligible For Lunch",137,"26.3%","45.7%"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Eligible For Lunch",86,"29.1%","58.0%"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Not Eligible For Lunch",16,"*","*"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Eligible For Lunch",86,"22.1%","43.9%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Not Eligible For Lunch",16,"*","*"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Eligible For Lunch",31,"19.4%","43.7%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Not Eligible For Lunch",160,"37.5%","53.6%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Eligible For Lunch",31,"32.3%","49.1%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Not Eligible For Lunch",160,"49.4%","68.0%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Eligible For Lunch",17,"*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Not Eligible For Lunch",100,"55.0%","77.5%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Eligible For Lunch",17,"*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Not Eligible For Lunch",100,"57.0%","81.3%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Eligible For Lunch",54,"31.5%","54.4%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Not Eligible For Lunch",337,"51.0%","66.1%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Eligible For Lunch",54,"24.1%","44.3%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Not Eligible For Lunch",335,"33.7%","53.7%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Eligible For Lunch",33,"18.2%","43.7%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Not Eligible For Lunch",233,"37.3%","60.0%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Eligible For Lunch",33,"42.4%","72.3%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Not Eligible For Lunch",230,"49.6%","76.0%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Eligible For Lunch",57,"29.8%","49.7%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Not Eligible For Lunch",324,"34.9%","50.2%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Eligible For Lunch",57,"22.8%","40.5%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Not Eligible For Lunch",323,"25.4%","41.3%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Eligible For Lunch",59,"32.2%","67.0%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Not Eligible For Lunch",27,"40.7%","62.7%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Eligible For Lunch",59,"25.4%","53.8%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Not Eligible For Lunch",27,"22.2%","44.7%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Eligible For Lunch",68,"23.5%","46.3%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Not Eligible For Lunch",38,"31.6%","67.9%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Eligible For Lunch",67,"28.4%","50.4%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Not Eligible For Lunch",40,"15.0%","45.4%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Eligible For Lunch",72,"27.8%","54.8%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Not Eligible For Lunch",19,"*","*"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Eligible For Lunch",73,"12.3%","40.8%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Not Eligible For Lunch",19,"*","*"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","Eligible For Lunch",94,"35.1%","62.5%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","Not Eligible For Lunch",78,"43.6%","62.4%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","Eligible For Lunch",94,"24.5%","51.8%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","Not Eligible For Lunch",77,"33.8%","63.3%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","Eligible For Lunch",683,"31.9%","53.1%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","Not Eligible For Lunch",288,"33.3%","52.4%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","Eligible For Lunch",685,"30.2%","47.8%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","Not Eligible For Lunch",289,"26.0%","45.2%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","Eligible For Lunch",55,"50.9%","77.6%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","Not Eligible For Lunch",52,"50.0%","73.8%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","Eligible For Lunch",55,"18.2%","46.4%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","Not Eligible For Lunch",52,"30.8%","55.2%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","Eligible For Lunch",56,"50.0%","71.1%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","Not Eligible For Lunch",14,"*","*"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","Eligible For Lunch",57,"36.8%","55.6%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","Not Eligible For Lunch",14,"*","*"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","Eligible For Lunch",47,"53.2%","77.4%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","Not Eligible For Lunch",37,"56.8%","79.8%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","Eligible For Lunch",45,"26.7%","68.9%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","Not Eligible For Lunch",36,"33.3%","56.1%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","Eligible For Lunch",104,"36.5%","64.0%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","Not Eligible For Lunch",75,"45.3%","71.6%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","Eligible For Lunch",106,"16.0%","42.6%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","Not Eligible For Lunch",75,"13.3%","32.3%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","Eligible For Lunch",56,"37.5%","68.5%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","Not Eligible For Lunch",13,"*","*"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","Eligible For Lunch",54,"44.4%","70.0%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","Not Eligible For Lunch",13,"*","*"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","Eligible For Lunch",138,"34.8%","60.8%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","Not Eligible For Lunch",54,"53.7%","71.5%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","Eligible For Lunch",137,"21.2%","33.2%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","Not Eligible For Lunch",54,"24.1%","42.1%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELA","Eligible For Lunch",30,"20.0%","50.3%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELA","Not Eligible For Lunch",14,"*","*"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Math","Eligible For Lunch",30,"36.7%","47.6%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Math","Not Eligible For Lunch",15,"*","*"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","Eligible For Lunch",66,"47.0%","69.3%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","Not Eligible For Lunch",145,"39.3%","66.4%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","Eligible For Lunch",66,"47.0%","68.3%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","Not Eligible For Lunch",144,"36.1%","64.0%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","Eligible For Lunch",50,"42.0%","72.3%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","Not Eligible For Lunch",72,"36.1%","68.7%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","Eligible For Lunch",50,"62.0%","88.9%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","Not Eligible For Lunch",72,"48.6%","77.4%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","Eligible For Lunch",50,"24.0%","46.8%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","Not Eligible For Lunch",47,"27.7%","54.0%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","Eligible For Lunch",50,"30.0%","63.7%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","Not Eligible For Lunch",47,"36.2%","64.8%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELA","Eligible For Lunch",307,"43.3%","68.1%"
