"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELL",8,"*","*"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Non-ELL",164,"39.0%","62.5%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELL",74,"21.6%","42.4%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Non-ELL",897,"33.2%","53.7%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELL",8,"*","*"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Non-ELL",99,"51.5%","76.5%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELL","*","*","*"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Non-ELL","*","47.7%","68.7%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELL","*","*","*"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Non-ELL","*","55.7%","77.7%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELL",21,"23.8%","49.2%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Non-ELL",158,"42.4%","69.5%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELL",6,"*","*"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Non-ELL",63,"36.5%","65.4%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELL",7,"*","*"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Non-ELL",185,"41.1%","64.0%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELL","*","*","*"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Non-ELL","*","26.8%","51.1%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELL",7,"*","*"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Non-ELL",204,"41.7%","67.3%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELL",11,"*","*"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Non-ELL",111,"36.9%","69.4%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELL",11,"*","*"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Non-ELL",86,"27.9%","50.6%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELL",38,"42.1%","67.2%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Non-ELL",495,"47.5%","70.4%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELL",8,"*","*"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Non-ELL",84,"39.3%","65.7%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELL",8,"*","*"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Non-ELL",772,"45.3%","61.7%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","ELL","*","*","*"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","Non-ELL","*","50.6%","75.3%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","ELL","*","*","*"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","Non-ELL","*","53.7%","75.6%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","Non-ELL",40,"67.5%","90.8%"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","Non-ELL","*","*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","ELL",9,"*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","Non-ELL",333,"33.9%","58.8%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","Non-ELL","*","17.2%","34.6%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","Non-ELL",67,"37.3%","59.0%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","ELL","*","*","*"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","Non-ELL","*","50.5%","69.1%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","ELL","*","*","*"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","Non-ELL","*","68.1%","86.8%"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","Non-ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","Non-ELL","*","50.0%","73.1%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","Non-ELL","*","46.3%","78.8%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","Non-ELL","*","38.4%","57.7%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","Non-ELL","*","48.3%","66.6%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","Non-ELL",89,"55.1%","77.9%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","Non-ELL",301,"54.8%","75.8%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","Non-ELL","*","40.7%","65.5%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","ELL",6,"*","*"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","Non-ELL",246,"53.3%","76.2%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","ELL",8,"*","*"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","Non-ELL",983,"42.9%","62.9%"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","Non-ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","Non-ELL","*","49.4%","75.7%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","ELL","*","*","*"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Non-ELL","*","52.0%","70.4%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Non-ELL","*","65.4%","85.8%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Non-ELL",104,"68.3%","88.1%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Non-ELL","*","45.9%","64.5%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELL",6,"*","*"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Non-ELL",118,"65.3%","86.8%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Non-ELL","*","54.0%","77.4%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELL",11,"*","*"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Non-ELL",125,"33.6%","57.5%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Non-ELL","*","52.7%","76.0%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Non-ELL","*","49.4%","71.4%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Non-ELL","*","61.7%","80.7%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Non-ELL",140,"67.9%","90.8%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Non-ELL","*","43.5%","60.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Non-ELL","*","59.6%","79.6%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Non-ELL","*","46.0%","71.4%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELL",23,"47.8%","71.8%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Non-ELL",618,"51.1%","68.9%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Non-ELL","*","79.8%","96.8%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Non-ELL","*","49.1%","65.5%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Non-ELL","*","61.6%","82.5%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","Non-ELL","*","55.7%","76.1%"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Non-ELL","*","59.4%","77.9%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELL",6,"*","*"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Non-ELL",612,"52.5%","72.0%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Non-ELL",88,"35.2%","53.3%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Non-ELL","*","51.7%","74.6%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Non-ELL",87,"59.8%","81.6%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Non-ELL","*","59.9%","75.7%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Non-ELL","*","58.4%","76.7%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Non-ELL",133,"57.9%","80.1%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Non-ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Non-ELL","*","35.7%","61.3%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Non-ELL",175,"64.0%","82.9%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Non-ELL","*","43.5%","58.7%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Non-ELL",293,"51.2%","68.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Non-ELL",202,"58.9%","78.4%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","ELL","*","*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Non-ELL","*","69.6%","87.6%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","ELL",28,"50.0%","64.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Non-ELL",178,"38.8%","59.2%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","ELL",10,"*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Non-ELL",503,"41.0%","57.9%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","ELL",8,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Non-ELL",126,"48.4%","70.8%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Non-ELL","*","56.6%","72.0%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Non-ELL","*","55.8%","79.1%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Non-ELL","*","37.0%","61.3%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Non-ELL",123,"71.5%","87.9%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Non-ELL",101,"55.4%","78.6%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","ELL",14,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Non-ELL",58,"51.7%","68.7%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Non-ELL","*","62.6%","79.7%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Non-ELL","*","59.4%","77.7%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Non-ELL",118,"60.2%","82.0%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Non-ELL",56,"57.1%","73.7%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Non-ELL","*","71.4%","86.7%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","ELL",22,"45.5%","55.0%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Non-ELL",468,"55.8%","72.6%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Non-ELL","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Non-ELL",132,"40.2%","65.9%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","ELL","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Non-ELL","*","42.8%","63.2%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Non-ELL","*","41.8%","59.3%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","ELL",6,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Non-ELL",91,"41.8%","63.5%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Non-ELL",58,"48.3%","74.1%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Non-ELL","*","35.4%","56.3%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Non-ELL","*","42.0%","71.8%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Non-ELL",116,"58.6%","83.2%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Non-ELL","*","54.3%","76.7%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Non-ELL",74,"52.7%","76.5%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","ELL",13,"*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Non-ELL",358,"30.4%","47.3%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","ELL",6,"*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Non-ELL",521,"50.5%","69.0%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Non-ELL","*","57.9%","78.6%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Non-ELL","*","61.0%","82.5%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Non-ELL","*","55.9%","71.6%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Non-ELL",65,"64.6%","86.5%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Non-ELL",65,"50.8%","75.1%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Non-ELL","*","39.8%","60.9%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","ELL",12,"*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Non-ELL",98,"32.7%","59.8%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Non-ELL","*","43.9%","67.1%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Non-ELL",7,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","ELL",15,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Non-ELL",705,"29.2%","46.0%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","ELL",8,"*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Non-ELL",119,"42.9%","62.6%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Non-ELL","*","42.3%","60.3%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","ELL",7,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Non-ELL",113,"36.3%","67.8%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Non-ELL","*","53.9%","70.8%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Non-ELL","*","50.6%","70.4%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Non-ELL",28,"53.6%","78.8%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","ELL",54,"20.4%","46.0%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Non-ELL",171,"21.6%","45.8%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","ELL",39,"38.5%","62.6%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Non-ELL",160,"36.9%","63.3%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","ELL",44,"31.8%","55.5%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Non-ELL",246,"38.6%","60.6%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Non-ELL","*","43.0%","63.2%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","ELL",13,"*","*"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Non-ELL",150,"38.7%","60.0%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","ELL",76,"23.7%","47.0%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Non-ELL",143,"28.7%","51.7%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","ELL",44,"22.7%","42.3%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Non-ELL",195,"25.6%","46.6%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","ELL",11,"*","*"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Non-ELL",224,"35.3%","54.2%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","ELL",22,"36.4%","55.2%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Non-ELL",79,"22.8%","50.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","ELL",10,"*","*"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Non-ELL",251,"25.9%","46.5%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","Non-ELL","*","*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","Non-ELL","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","ELL",12,"*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Non-ELL",282,"36.2%","56.3%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","ELL",35,"40.0%","71.5%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Non-ELL",113,"30.1%","57.6%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","ELL",12,"*","*"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Non-ELL",191,"28.8%","53.2%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","ELL",50,"14.0%","29.8%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Non-ELL",544,"32.7%","51.0%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","ELL",58,"25.9%","56.2%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Non-ELL",197,"34.5%","58.8%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","ELL",71,"36.6%","58.2%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Non-ELL",150,"41.3%","62.1%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","ELL",11,"*","*"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Non-ELL",119,"35.3%","57.0%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","ELL",44,"38.6%","56.7%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Non-ELL",127,"33.9%","56.3%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","ELL",33,"39.4%","58.6%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Non-ELL",98,"16.3%","41.6%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Non-ELL","*","36.0%","55.5%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Non-ELL",26,"26.9%","58.3%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","ELL",51,"35.3%","60.2%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Non-ELL",221,"40.3%","64.0%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","ELL",26,"38.5%","70.3%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Non-ELL",104,"26.9%","56.0%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","ELL",18,"*","*"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Non-ELL",350,"46.3%","67.3%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","ELL",17,"*","*"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Non-ELL",149,"23.5%","48.6%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Non-ELL","*","35.6%","49.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","ELL",29,"20.7%","46.5%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Non-ELL",109,"33.0%","57.7%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","ELL",7,"*","*"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Non-ELL",183,"56.3%","76.6%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","ELL",31,"22.6%","52.3%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Non-ELL",68,"17.6%","40.6%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","ELL",10,"*","*"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Non-ELL",102,"29.4%","52.0%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","ELL",23,"8.7%","32.9%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Non-ELL",233,"27.0%","45.7%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","ELL",6,"*","*"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Non-ELL",273,"33.0%","54.8%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","ELL",31,"19.4%","43.4%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Non-ELL",107,"29.9%","53.4%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","ELL",14,"*","*"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Non-ELL",105,"17.1%","36.3%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Non-ELL",105,"57.1%","79.7%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Non-ELL",340,"45.0%","69.2%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Non-ELL",181,"32.6%","54.8%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Non-ELL",151,"33.1%","53.4%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","ELL",26,"38.5%","52.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Non-ELL",228,"32.0%","46.9%"
