"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School",135,"30.4%","56.8%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts",367,"34.6%","59.0%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School",164,"31.1%","54.3%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy",61,"29.5%","53.6%"
"=""0640011""","Hartford School District","=""0640111""","SAND School",137,"27.0%","48.7%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School",189,"63.5%","81.6%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School",101,"32.7%","59.8%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School",114,"21.9%","41.1%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy",257,"26.8%","46.2%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School",277,"33.6%","61.4%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School",142,"45.8%","69.0%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School",117,"23.9%","46.1%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School",340,"56.5%","82.0%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School",154,"42.9%","64.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication",252,"18.7%","33.0%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy",326,"35.3%","55.7%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School",126,"52.4%","70.1%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School",617,"41.3%","61.7%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School",152,"36.8%","71.3%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School",131,"30.5%","49.6%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School",162,"50.0%","78.1%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School",65,"56.9%","85.3%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School",267,"38.2%","60.8%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School",109,"43.1%","70.6%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School",198,"54.5%","78.3%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School",173,"47.4%","72.3%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School",295,"45.8%","62.9%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School",203,"42.9%","68.1%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School",210,"67.6%","87.1%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School",161,"43.5%","58.3%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School",339,"25.1%","41.1%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School",51,"43.1%","70.5%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School",71,"45.1%","72.6%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School",47,"46.8%","75.5%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School",452,"52.0%","68.3%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School",119,"26.9%","57.7%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School",103,"60.2%","85.8%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy",388,"50.5%","70.7%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School",90,"26.7%","50.5%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School",699,"25.3%","42.6%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School",92,"25.0%","52.1%"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy",6,"*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School",73,"17.8%","41.4%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School",76,"36.8%","69.7%"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School",108,"24.1%","51.1%"
"=""0770011""","Manchester School District","=""0771311""","Waddell School",89,"23.6%","50.7%"
"=""0770011""","Manchester School District","=""0771411""","Washington School",102,"29.4%","50.9%"
"=""0780011""","Mansfield School District","=""0780411""","Annie E. Vinton School",47,"78.7%","95.4%"
"=""0780011""","Mansfield School District","=""0780211""","Dorothy C. Goodwin School",19,"*","*"
"=""0780011""","Mansfield School District","=""0785111""","Mansfield Middle School School",426,"51.4%","67.3%"
"=""0780011""","Mansfield School District","=""0780511""","Southeast Elementary School",46,"58.7%","82.1%"
"=""0790011""","Marlborough School District","=""0790111""","Elmer Thienes-Mary Hall Elementary School",252,"60.3%","84.1%"
"=""0800011""","Meriden School District","=""0800111""","Benjamin Franklin School",108,"38.9%","71.7%"
"=""0800011""","Meriden School District","=""0801111""","Casimir Pulaski School",207,"55.1%","81.1%"
"=""0800011""","Meriden School District","=""0800311""","Hanover School",140,"30.0%","58.4%"
"=""0800011""","Meriden School District","=""0800411""","Israel Putnam School",168,"29.2%","59.6%"
"=""0800011""","Meriden School District","=""0800511""","John Barry School",147,"46.9%","75.0%"
"=""0800011""","Meriden School District","=""0805211""","Lincoln Middle School",640,"47.2%","66.0%"
"=""0800011""","Meriden School District","=""0800711""","Nathan Hale School",181,"42.5%","72.1%"
"=""0800011""","Meriden School District","=""0800811""","Roger Sherman School",133,"32.3%","59.3%"
"=""0800011""","Meriden School District","=""0800911""","STEP-Meriden School District","*","*","*"
"=""0800011""","Meriden School District","=""0801211""","STEPS-Meriden School District","*","*","*"
"=""0800011""","Meriden School District","=""0801011""","Thomas Hooker School",94,"61.7%","88.8%"
"=""0800011""","Meriden School District","=""0805411""","Washington Middle School",574,"30.7%","50.0%"
"=""0830011""","Middletown School District","=""0830211""","Bielefield School",87,"27.6%","61.0%"
"=""0830011""","Middletown School District","=""0830511""","Farm Hill School",96,"24.0%","49.5%"
"=""0830011""","Middletown School District","=""0830711""","ICM - Lawrence","*","*","*"
"=""0830011""","Middletown School District","=""0832011""","ICM - Spencer","*","*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School",293,"40.3%","59.7%"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School",75,"60.0%","81.5%"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School",47,"23.4%","50.2%"
"=""0830011""","Middletown School District","=""0831211""","Moody School",86,"48.8%","71.1%"
"=""0830011""","Middletown School District","=""0830311""","OASIS","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough",20,"75.0%","84.5%"
"=""0830011""","Middletown School District","=""0831111""","Snow School",72,"34.7%","59.5%"
"=""0830011""","Middletown School District","=""0830111""","Spencer School",88,"36.4%","66.5%"
"=""0830011""","Middletown School District","=""0831411""","Wesley School",82,"67.1%","84.0%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School",633,"32.9%","47.4%"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School",95,"54.7%","80.3%"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School",436,"39.2%","56.8%"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School",488,"50.6%","68.5%"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School",114,"33.3%","68.0%"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School",86,"37.2%","63.6%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School",124,"42.7%","72.3%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School",88,"47.7%","72.8%"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School",120,"75.0%","98.1%"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School",110,"38.2%","65.2%"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School",87,"65.5%","88.9%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School",428,"41.1%","57.4%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School",170,"45.3%","70.8%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School",756,"46.8%","66.6%"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School",105,"64.8%","82.8%"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School",149,"58.4%","83.8%"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School",108,"48.1%","75.6%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School",515,"36.7%","57.4%"
"=""0860011""","Montville School District","=""0860111""","Mohegan School",105,"57.1%","83.2%"
"=""0860011""","Montville School District","=""0860511""","Oakdale School",103,"77.7%","98.2%"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School",45,"35.6%","66.2%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School",632,"25.3%","40.9%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School",293,"49.1%","68.3%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School",300,"30.0%","53.2%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School",51,"35.3%","70.0%"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School",107,"21.5%","60.4%"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School",47,"46.8%","79.6%"
"=""0880011""","Naugatuck School District","=""0880711""","Western School",58,"58.6%","90.2%"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy",169,"31.4%","54.3%"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School",10,"*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","*","*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School",120,"10.8%","28.7%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School",391,"19.9%","41.8%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School",106,"17.0%","43.4%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School",113,"47.8%","73.7%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy",146,"32.9%","48.9%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School",122,"25.4%","49.9%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School",147,"15.6%","39.2%"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center",17,"*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School",78,"20.5%","45.7%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School",637,"29.8%","47.6%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School",625,"27.0%","43.9%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy",159,"19.5%","44.1%"
"=""0890011""","New Britain School District","=""0891311""","Smith School",172,"16.9%","35.1%"
"=""0890011""","New Britain School District","=""0891811""","Steps",25,"24.0%","33.0%"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate",8,"*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School",149,"18.8%","44.3%"
"=""0900011""","New Canaan School District","=""0900411""","East School",113,"88.5%","100.0%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School",1246,"55.1%","73.3%"
"=""0900011""","New Canaan School District","=""0900211""","South School",117,"69.2%","89.9%"
"=""0900011""","New Canaan School District","=""0900311""","West School",81,"74.1%","93.5%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School",284,"52.1%","78.4%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School",495,"62.0%","80.0%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School",216,"30.1%","53.4%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School",242,"36.0%","57.4%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School",213,"33.8%","55.2%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School",230,"38.3%","62.4%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School",430,"49.3%","69.6%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School",209,"38.8%","61.1%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School",178,"39.3%","61.8%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School",161,"26.7%","50.9%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy",257,"45.1%","66.3%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School",261,"43.3%","66.4%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy",207,"37.7%","61.7%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School",317,"53.9%","77.8%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School",217,"33.6%","57.4%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy",19,"*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School",219,"38.4%","64.5%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School",225,"38.7%","60.0%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School",250,"47.2%","66.3%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School",375,"36.0%","56.7%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy",235,"32.8%","56.1%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels",219,"42.5%","65.4%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School",278,"56.5%","80.1%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School",231,"42.0%","64.8%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School",85,"69.4%","94.6%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School",224,"48.2%","70.4%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School",230,"41.7%","63.8%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School",39,"33.3%","69.7%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School",318,"21.7%","42.7%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School",73,"32.9%","70.4%"
"=""0930011""","New Haven School District","=""0932911""","Truman School",215,"51.2%","75.2%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy",19,"*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School",155,"21.9%","44.4%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School",174,"61.5%","80.3%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School",520,"28.1%","47.5%"
"=""0950011""","New London School District","=""0950311""","Jennings School",153,"16.3%","42.9%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School",172,"21.5%","45.9%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School",148,"42.6%","68.1%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School",586,"52.9%","78.4%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School",852,"38.3%","55.3%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School",85,"55.3%","81.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School",59,"35.6%","66.2%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School",77,"36.4%","67.6%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School",633,"39.3%","56.0%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School",594,"35.7%","52.4%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School",70,"21.4%","42.8%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School",69,"59.4%","86.8%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School",71,"69.0%","95.1%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School",78,"32.1%","60.7%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School",763,"53.2%","68.9%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School",654,"69.7%","88.6%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School",67,"43.3%","71.7%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School",44,"50.0%","69.8%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School",438,"42.0%","60.0%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School",265,"51.3%","76.3%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School",110,"50.0%","74.0%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School",99,"56.6%","86.2%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School",100,"62.0%","87.9%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School",100,"54.0%","83.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School",707,"75.7%","92.8%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School",121,"65.3%","91.0%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School",100,"68.0%","86.0%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School",164,"37.8%","56.3%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School",134,"41.8%","64.0%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School",82,"40.2%","70.7%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School",131,"27.5%","57.8%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School",127,"37.0%","66.3%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School",194,"45.9%","71.9%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School",166,"30.1%","54.1%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School",149,"35.6%","66.3%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School",132,"38.6%","65.7%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School",621,"34.8%","53.4%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School",618,"30.7%","47.6%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School",447,"35.8%","54.5%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School",116,"71.6%","91.8%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School",150,"32.7%","58.7%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School",111,"40.5%","63.6%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School",626,"39.8%","58.3%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School",88,"46.6%","71.1%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School",107,"32.7%","61.8%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School",671,"35.9%","54.5%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School",125,"33.6%","58.0%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School",106,"50.9%","80.0%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School",304,"37.8%","56.6%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School",85,"74.1%","98.1%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","*","30.6%","52.3%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School",93,"29.0%","59.9%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School",69,"26.1%","54.3%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School",175,"33.1%","54.1%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School",502,"49.2%","70.7%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School",190,"41.6%","67.8%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School",184,"54.9%","77.7%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School",140,"55.7%","78.2%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School",460,"51.3%","71.3%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","*","43.3%","69.8%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School",336,"57.4%","77.1%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School",489,"67.7%","86.7%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School",308,"38.6%","68.9%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School",81,"28.4%","56.4%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School",135,"25.2%","56.1%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School",108,"38.9%","69.8%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville",527,"45.4%","65.6%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School",316,"51.3%","70.4%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School",112,"34.8%","69.3%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School",109,"60.6%","87.9%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School",221,"48.9%","68.4%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School",208,"62.5%","83.2%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School",91,"31.9%","67.6%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School",208,"38.9%","58.9%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School",137,"42.3%","61.8%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School",76,"43.4%","64.8%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School",159,"59.7%","80.0%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School",235,"40.9%","63.1%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School",411,"53.5%","71.4%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School",85,"65.9%","92.5%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School",299,"41.1%","58.7%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany",357,"65.8%","82.3%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange",352,"51.1%","66.7%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School",61,"54.1%","78.6%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School",36,"44.4%","65.4%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School",114,"32.5%","47.1%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School",31,"38.7%","61.9%"
"=""2070012""","Regional School District 07","=""2079012""","FLEX","*","*","*"
"=""2070012""","Regional School District 07","=""2079212""","Links","*","*","*"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School",276,"59.8%","77.0%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School",549,"42.4%","59.4%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School",750,"36.4%","54.8%"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School",83,"79.5%","99.6%"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School",77,"41.6%","74.3%"
"=""2110012""","Regional School District 11","=""2116112""","Parish Hill High School",80,"47.5%","67.2%"
"=""2120012""","Regional School District 12","=""2120212""","Booth Free School",32,"75.0%","95.1%"
"=""2120012""","Regional School District 12","=""2120312""","Shepaug Valley School",164,"59.8%","79.8%"
"=""2120012""","Regional School District 12","=""2120112""","The Burnham School",20,"55.0%","82.7%"
"=""2120012""","Regional School District 12","=""2120412""","Washington Primary School",37,"70.3%","89.6%"
"=""2130012""","Regional School District 13","=""2130212""","Francis E. Korn School",63,"38.1%","76.6%"
"=""2130012""","Regional School District 13","=""2135112""","Frank Ward Strong School",311,"45.3%","64.2%"
"=""2130012""","Regional School District 13","=""2130512""","John Lyman School",46,"37.0%","70.1%"
"=""2130012""","Regional School District 13","=""2130412""","Middlefield Memorial School",249,"53.4%","74.2%"
"=""2140012""","Regional School District 14","=""2140112""","Bethlehem Elementary School",96,"26.0%","55.1%"
"=""2140012""","Regional School District 14","=""2140212""","Mitchell Elementary School",125,"38.4%","60.4%"
"=""2140012""","Regional School District 14","=""2145112""","Woodbury Middle School",317,"33.8%","52.8%"
"=""2150012""","Regional School District 15","=""2150412""","Gainfield Elementary School",135,"51.9%","77.6%"
"=""2150012""","Regional School District 15","=""2150712""","Long Meadow Elementary School",152,"44.1%","69.0%"
"=""2150012""","Regional School District 15","=""2155212""","Memorial Middle School",426,"56.8%","73.2%"
"=""2150012""","Regional School District 15","=""2150612""","Middlebury Elementary School",120,"33.3%","61.2%"
"=""2150012""","Regional School District 15","=""2150512""","Pomperaug School",125,"37.6%","59.1%"
"=""2150012""","Regional School District 15","=""2155112""","Rochambeau Middle School",510,"57.5%","77.3%"
"=""2160012""","Regional School District 16","=""2160112""","Laurel Ledge School",120,"51.7%","79.0%"
"=""2160012""","Regional School District 16","=""2165112""","Long River Middle School",483,"36.6%","57.6%"
"=""2160012""","Regional School District 16","=""2160512""","Prospect Elementary School",174,"46.0%","67.4%"
"=""2170012""","Regional School District 17","=""2170212""","Burr District Elementary School",47,"42.6%","71.9%"
"=""2170012""","Regional School District 17","=""2170112""","Haddam Elementary School",64,"71.9%","96.8%"
"=""2170012""","Regional School District 17","=""2175112""","Haddam-Killingworth Middle School",719,"54.1%","73.5%"
"=""2170012""","Regional School District 17","=""2170312""","Killingworth Elementary School",49,"42.9%","70.2%"
"=""2180012""","Regional School District 18","=""2180112""","Lyme Consolidated School",72,"50.0%","69.8%"
"=""2180012""","Regional School District 18","=""2185112""","Lyme-Old Lyme Middle School",330,"60.9%","77.4%"
"=""2180012""","Regional School District 18","=""2180212""","Mile Creek School",101,"54.5%","72.6%"
"=""1180011""","Ridgefield School District","=""1180811""","Barlow Mountain Elementary School",86,"58.1%","80.4%"
"=""1180011""","Ridgefield School District","=""1180611""","Branchville Elementary School",144,"41.7%","65.9%"
"=""1180011""","Ridgefield School District","=""1185111""","East Ridge Middle School",708,"58.3%","74.3%"
"=""1180011""","Ridgefield School District","=""1180411""","Farmingville Elementary School",116,"51.7%","81.5%"
"=""1180011""","Ridgefield School District","=""1180311""","Ridgebury Elementary School",115,"57.4%","82.5%"
"=""1180011""","Ridgefield School District","=""1180511""","Scotland Elementary School",124,"73.4%","94.8%"
"=""1180011""","Ridgefield School District","=""1185211""","Scotts Ridge Middle School",449,"48.3%","66.4%"
