"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","White",43,"44.2%","75.6%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Asian",11,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Two or More Races",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Hispanic/Latino of any race",36,"36.1%","69.8%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Black or African American",31,"48.4%","75.8%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","White",82,"47.6%","64.4%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Hispanic/Latino of any race",118,"36.4%","55.2%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Black or African American",81,"43.2%","66.4%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","American Indian or Alaska Native","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","White",16,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Asian",17,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Hispanic/Latino of any race",45,"35.6%","57.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Black or African American",35,"37.1%","72.9%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Hispanic/Latino of any race","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","White",35,"14.3%","39.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Asian",17,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Hispanic/Latino of any race",81,"19.8%","43.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Black or African American",57,"28.1%","39.5%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","White",58,"39.7%","62.2%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Asian",15,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Hispanic/Latino of any race",60,"30.0%","46.7%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Black or African American",150,"29.3%","53.5%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","White",24,"50.0%","70.5%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Hispanic/Latino of any race",42,"31.0%","52.3%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Black or African American",17,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","White",14,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Hispanic/Latino of any race",28,"42.9%","65.9%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Black or African American",30,"46.7%","77.1%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","American Indian or Alaska Native","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","White",44,"40.9%","55.6%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Hispanic/Latino of any race",50,"30.0%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Black or African American",26,"23.1%","36.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","White",21,"71.4%","92.2%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Hispanic/Latino of any race",30,"36.7%","66.0%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Black or African American",47,"27.7%","60.5%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","White","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Black or African American","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","White","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Hispanic/Latino of any race","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Black or African American","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","American Indian or Alaska Native","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","White",215,"36.3%","55.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Asian",53,"58.5%","75.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Two or More Races","*","33.3%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Hispanic/Latino of any race",207,"25.1%","43.6%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Black or African American",120,"35.8%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","White",23,"73.9%","93.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Hispanic/Latino of any race",35,"68.6%","89.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Black or African American",42,"66.7%","89.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","White",39,"30.8%","42.1%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Two or More Races","*","*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","White",125,"68.8%","88.1%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Asian",14,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Hispanic/Latino of any race",6,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","American Indian or Alaska Native","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","White",576,"46.4%","62.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Asian",73,"68.5%","85.2%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Hispanic/Latino of any race",27,"37.0%","55.0%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Black or African American",15,"*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","White",218,"45.4%","70.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Asian",23,"60.9%","77.9%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Hispanic/Latino of any race",14,"*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","White",291,"55.0%","77.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Asian",43,"62.8%","82.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Hispanic/Latino of any race",18,"*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","White",157,"56.7%","82.0%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Asian",22,"86.4%","98.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Hispanic/Latino of any race",11,"*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Black or African American","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","White",91,"54.9%","74.5%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Asian","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Two or More Races","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","White",253,"50.2%","76.3%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Asian",11,"*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Hispanic/Latino of any race",30,"53.3%","76.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Black or African American","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","White",370,"47.0%","65.5%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Asian",8,"*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Hispanic/Latino of any race",40,"45.0%","60.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Black or African American","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","White",307,"59.0%","85.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Asian",9,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Two or More Races",11,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Hispanic/Latino of any race",19,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Black or African American","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","White",517,"32.5%","47.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Asian",17,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Two or More Races","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Hispanic/Latino of any race",18,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Black or African American",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","White","*","34.6%","65.5%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Two or More Races","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","White",201,"38.3%","61.1%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Asian","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Two or More Races","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Hispanic/Latino of any race",14,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Black or African American","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","White",35,"42.9%","70.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Hispanic/Latino of any race",77,"39.0%","59.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Black or African American",70,"40.0%","55.0%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","White",36,"25.0%","47.0%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Hispanic/Latino of any race",16,"*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Black or African American",8,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","White",36,"44.4%","65.4%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Two or More Races","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Hispanic/Latino of any race","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","White",328,"53.7%","74.3%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Two or More Races",19,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Hispanic/Latino of any race",17,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","White",211,"52.1%","78.7%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Two or More Races","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Hispanic/Latino of any race",13,"*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Black or African American","*","*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","White",327,"47.1%","67.2%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Asian","*","61.3%","82.1%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Two or More Races","*","*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Hispanic/Latino of any race",36,"44.4%","61.6%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Black or African American",35,"37.1%","53.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","White",234,"23.9%","47.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Asian",25,"32.0%","52.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Two or More Races",6,"*","*"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Hispanic/Latino of any race",23,"39.1%","60.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Black or African American",28,"25.0%","49.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","White",294,"40.1%","58.8%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Asian",67,"38.8%","52.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Two or More Races","*","31.8%","44.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Hispanic/Latino of any race",412,"35.9%","56.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Black or African American",54,"31.5%","50.1%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","White",29,"72.4%","93.3%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Hispanic/Latino of any race",68,"64.7%","90.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","White",48,"56.3%","77.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Hispanic/Latino of any race",34,"44.1%","74.8%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","White",27,"55.6%","83.9%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Asian",12,"*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Hispanic/Latino of any race",62,"56.5%","84.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","White",161,"31.1%","54.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Asian",27,"59.3%","78.8%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Two or More Races",7,"*","*"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Hispanic/Latino of any race",119,"23.5%","53.5%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Black or African American",29,"17.2%","47.7%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","White",11,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Asian",8,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Hispanic/Latino of any race",66,"66.7%","92.5%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","White",42,"73.8%","96.0%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Hispanic/Latino of any race",102,"67.6%","86.6%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Black or African American",11,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","White",44,"38.6%","71.4%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Asian",11,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Hispanic/Latino of any race",39,"28.2%","59.3%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","White",225,"46.2%","68.6%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Asian",45,"40.0%","58.1%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Two or More Races",9,"*","*"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Hispanic/Latino of any race",474,"39.0%","57.0%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Black or African American",57,"49.1%","61.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","White",69,"56.5%","84.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Asian",9,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Two or More Races",6,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Hispanic/Latino of any race",61,"45.9%","72.3%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Black or African American",6,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","White",20,"50.0%","77.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Hispanic/Latino of any race",70,"50.0%","79.9%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Black or African American",12,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","White",81,"38.3%","64.2%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Asian",8,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Hispanic/Latino of any race",58,"32.8%","63.2%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","American Indian or Alaska Native","*","*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","White",72,"72.2%","93.5%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Asian",11,"*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Hispanic/Latino of any race",29,"48.3%","71.9%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","American Indian or Alaska Native","*","*","*"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","White",237,"33.8%","50.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Asian",43,"53.5%","67.2%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Hispanic/Latino of any race",141,"34.8%","51.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Black or African American",36,"16.7%","32.8%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","White",161,"62.1%","82.1%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Asian","*","*","*"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Hispanic/Latino of any race",7,"*","*"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Black or African American","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","White",125,"52.0%","80.7%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Asian","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","American Indian or Alaska Native","*","*","*"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","White",989,"72.1%","87.4%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Asian",54,"90.7%","100.0%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Two or More Races",10,"*","*"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Hispanic/Latino of any race",40,"62.5%","74.6%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Black or African American","*","*","*"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","American Indian or Alaska Native","*","*","*"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","White",125,"59.2%","81.5%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Asian","*","*","*"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Two or More Races","*","*","*"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Hispanic/Latino of any race",8,"*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","American Indian or Alaska Native","*","*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","White",104,"60.6%","86.8%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Asian","*","*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Two or More Races","*","*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Hispanic/Latino of any race",8,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","White",118,"66.1%","88.3%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Asian",6,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Two or More Races","*","*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","White",132,"53.0%","73.7%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Two or More Races","*","*","*"
