"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Non-High Needs",214,"50.9%","77.6%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","High Needs",81,"32.1%","49.6%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Non-High Needs",300,"34.7%","50.3%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","High Needs",81,"24.7%","41.2%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Non-High Needs",299,"25.1%","41.1%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","High Needs",65,"30.8%","64.1%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Non-High Needs",21,"47.6%","70.4%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","High Needs",65,"23.1%","50.5%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Non-High Needs",21,"28.6%","52.3%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","High Needs",76,"22.4%","48.4%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Non-High Needs",30,"36.7%","68.3%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","High Needs",76,"26.3%","47.9%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Non-High Needs",31,"16.1%","50.0%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","High Needs",74,"28.4%","55.3%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Non-High Needs",17,"*","*"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","High Needs",75,"14.7%","42.7%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Non-High Needs",17,"*","*"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","High Needs",98,"35.7%","62.4%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","Non-High Needs",74,"43.2%","62.6%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","High Needs",98,"24.5%","51.7%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","Non-High Needs",73,"34.2%","64.0%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","High Needs",716,"31.6%","52.4%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","Non-High Needs",255,"34.5%","54.1%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","High Needs",718,"29.8%","47.3%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","Non-High Needs",256,"26.6%","46.2%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","High Needs",57,"49.1%","75.0%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","Non-High Needs",50,"52.0%","76.6%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","High Needs",57,"19.3%","46.7%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","Non-High Needs",50,"30.0%","55.2%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","High Needs",58,"48.3%","70.5%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","Non-High Needs",12,"*","*"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","High Needs",59,"37.3%","56.5%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","Non-High Needs",12,"*","*"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","High Needs",54,"53.7%","78.6%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","Non-High Needs",30,"56.7%","78.3%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","High Needs",52,"26.9%","65.3%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","Non-High Needs",29,"34.5%","59.5%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","High Needs",119,"36.1%","64.7%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","Non-High Needs",60,"48.3%","72.0%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","High Needs",121,"18.2%","42.7%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","Non-High Needs",60,"8.3%","29.5%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","High Needs",58,"36.2%","67.4%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","Non-High Needs",11,"*","*"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","High Needs",56,"42.9%","68.3%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","Non-High Needs",11,"*","*"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","High Needs",142,"33.8%","60.2%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","Non-High Needs",50,"58.0%","74.1%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","High Needs",141,"22.0%","33.8%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","Non-High Needs",50,"22.0%","41.1%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELA","High Needs",44,"27.3%","52.2%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Math","High Needs",45,"37.8%","51.2%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","High Needs",81,"43.2%","67.3%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","Non-High Needs",130,"40.8%","67.3%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","High Needs",81,"44.4%","65.2%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","Non-High Needs",129,"36.4%","65.4%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","High Needs",59,"40.7%","71.3%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","Non-High Needs",63,"36.5%","69.2%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","High Needs",59,"61.0%","88.6%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","Non-High Needs",63,"47.6%","76.0%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","High Needs",61,"24.6%","48.9%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","Non-High Needs",36,"27.8%","52.8%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","High Needs",61,"26.2%","57.8%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","Non-High Needs",36,"44.4%","75.1%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELA","High Needs",337,"43.9%","69.1%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELA","Non-High Needs",196,"52.6%","72.1%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Math","High Needs",340,"31.5%","51.8%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Math","Non-High Needs",193,"42.0%","58.0%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELA","High Needs",60,"41.7%","68.2%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELA","Non-High Needs",32,"37.5%","65.0%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Math","High Needs",61,"32.8%","60.3%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Math","Non-High Needs",32,"25.0%","57.3%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELA","High Needs",201,"34.3%","53.9%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELA","Non-High Needs",579,"48.9%","64.4%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Math","High Needs",199,"36.2%","58.4%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Math","Non-High Needs",577,"53.6%","71.0%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","ELA","High Needs",24,"37.5%","62.4%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","ELA","Non-High Needs",61,"57.4%","81.5%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","Math","High Needs",24,"29.2%","60.5%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","Math","Non-High Needs",61,"57.4%","84.3%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","ELA","High Needs",21,"28.6%","57.4%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","ELA","Non-High Needs",34,"67.6%","87.0%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","Math","High Needs",21,"52.4%","84.9%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","Math","Non-High Needs",34,"70.6%","94.1%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","ELA","High Needs",12,"*","*"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","ELA","Non-High Needs",28,"64.3%","86.7%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","Math","High Needs",12,"*","*"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","Math","Non-High Needs",28,"67.9%","91.3%"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","ELA","High Needs","*","*","*"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","Math","High Needs","*","*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","ELA","High Needs",171,"34.5%","59.3%"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","ELA","Non-High Needs",171,"32.7%","58.1%"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","Math","High Needs",172,"29.7%","51.9%"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","Math","Non-High Needs",171,"36.3%","60.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","ELA","High Needs",30,"16.7%","35.0%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","Math","High Needs",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","ELA","High Needs",23,"26.1%","42.5%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","ELA","Non-High Needs",44,"43.2%","67.6%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","Math","High Needs",23,"43.5%","63.0%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","Math","Non-High Needs",44,"50.0%","71.6%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","ELA","High Needs",38,"42.1%","61.9%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","ELA","Non-High Needs",250,"51.6%","70.1%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","Math","High Needs",37,"56.8%","68.6%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","Math","Non-High Needs",246,"65.9%","83.7%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","ELA","High Needs",36,"55.6%","78.2%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","ELA","Non-High Needs",176,"71.0%","88.9%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","Math","High Needs",37,"48.6%","73.3%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","Math","Non-High Needs",175,"73.1%","95.9%"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","ELA","High Needs","*","*","*"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","Math","High Needs","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","ELA","High Needs",15,"*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","ELA","Non-High Needs",46,"56.5%","77.0%"
"=""0480011""","Ellington School District","=""0480111""","Center School","Math","High Needs",15,"*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","Math","Non-High Needs",46,"45.7%","81.2%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","ELA","High Needs",8,"*","*"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","ELA","Non-High Needs",34,"52.9%","84.6%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","Math","High Needs",8,"*","*"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","Math","Non-High Needs",34,"41.2%","70.3%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","ELA","High Needs",67,"23.9%","43.4%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","ELA","Non-High Needs",332,"41.3%","60.5%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","Math","High Needs",67,"35.8%","59.3%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","Math","Non-High Needs",332,"46.7%","66.6%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","ELA","High Needs",72,"33.3%","62.3%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","ELA","Non-High Needs",347,"51.6%","67.7%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","Math","High Needs",73,"41.1%","54.3%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","Math","Non-High Needs",347,"50.1%","71.4%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","ELA","High Needs",14,"*","*"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","ELA","Non-High Needs",75,"58.7%","84.0%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","Math","High Needs",14,"*","*"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","Math","Non-High Needs",75,"61.3%","89.3%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","ELA","High Needs",255,"50.6%","72.8%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","ELA","Non-High Needs",55,"72.7%","87.1%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","Math","High Needs",255,"44.3%","64.9%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","Math","Non-High Needs",55,"56.4%","80.3%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","ELA","High Needs",94,"35.1%","61.4%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","ELA","Non-High Needs",119,"45.4%","69.1%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","Math","High Needs",94,"38.3%","59.2%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","Math","Non-High Needs",119,"43.7%","66.2%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","ELA","High Needs",118,"44.1%","69.5%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","ELA","Non-High Needs",134,"59.7%","81.1%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","Math","High Needs",119,"46.2%","75.3%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","Math","Non-High Needs",134,"53.0%","78.8%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","ELA","High Needs",427,"33.0%","56.2%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","ELA","Non-High Needs",564,"50.4%","67.9%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","Math","High Needs",424,"29.0%","51.0%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","Math","Non-High Needs",561,"32.3%","53.0%"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","ELA","High Needs","*","*","*"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","Math","High Needs","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","ELA","High Needs",108,"44.4%","71.8%"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","ELA","Non-High Needs",135,"53.3%","78.5%"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","Math","High Needs",108,"22.2%","59.6%"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","Math","Non-High Needs",135,"31.9%","60.8%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","ELA","High Needs",35,"40.0%","63.5%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","ELA","Non-High Needs",146,"54.1%","71.9%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Math","High Needs",36,"52.8%","79.7%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Math","Non-High Needs",146,"60.3%","82.7%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","ELA","High Needs",16,"*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","ELA","Non-High Needs",112,"67.9%","88.0%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Math","High Needs",16,"*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Math","Non-High Needs",112,"60.7%","86.2%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","ELA","High Needs",19,"*","*"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","ELA","Non-High Needs",85,"65.9%","86.5%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Math","High Needs",19,"*","*"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Math","Non-High Needs",85,"57.6%","85.9%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELA","High Needs",129,"34.1%","57.0%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELA","Non-High Needs",702,"48.0%","65.9%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Math","High Needs",128,"43.0%","57.8%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Math","Non-High Needs",698,"47.6%","65.8%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELA","High Needs",31,"48.4%","80.4%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELA","Non-High Needs",93,"67.7%","88.4%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Math","High Needs",31,"35.5%","65.8%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Math","Non-High Needs",92,"57.6%","79.4%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELA","High Needs",24,"54.2%","79.1%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELA","Non-High Needs",101,"53.5%","76.9%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Math","High Needs",24,"54.2%","84.3%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Math","Non-High Needs",101,"57.4%","87.1%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELA","High Needs",59,"30.5%","55.8%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELA","Non-High Needs",77,"35.1%","59.0%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Math","High Needs",61,"44.3%","81.2%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Math","Non-High Needs",77,"66.2%","90.9%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELA","High Needs",24,"37.5%","69.5%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELA","Non-High Needs",125,"55.2%","76.7%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Math","High Needs",24,"25.0%","40.3%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Math","Non-High Needs",125,"55.2%","79.1%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELA","High Needs",21,"23.8%","55.8%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELA","Non-High Needs",137,"52.6%","73.3%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Math","High Needs",21,"28.6%","49.2%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Math","Non-High Needs",137,"46.7%","72.3%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELA","High Needs",22,"50.0%","65.1%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELA","Non-High Needs",154,"63.0%","82.6%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Math","High Needs",22,"31.8%","61.2%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Math","Non-High Needs",154,"48.7%","79.1%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","ELA","High Needs",16,"*","*"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","ELA","Non-High Needs",124,"68.5%","91.0%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Math","High Needs",16,"*","*"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Math","Non-High Needs",124,"62.9%","90.0%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELA","High Needs",102,"37.3%","54.6%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELA","Non-High Needs",662,"44.6%","61.3%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Math","High Needs",102,"39.2%","58.1%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Math","Non-High Needs",662,"55.0%","73.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELA","High Needs",21,"42.9%","62.1%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELA","Non-High Needs",131,"61.8%","81.7%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Math","High Needs",21,"71.4%","85.0%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Math","Non-High Needs",131,"56.5%","81.4%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELA","High Needs",19,"*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELA","Non-High Needs",146,"45.9%","71.9%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Math","High Needs",19,"*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Math","Non-High Needs",146,"46.6%","73.6%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELA","High Needs",158,"49.4%","70.9%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELA","Non-High Needs",483,"51.6%","68.4%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Math","High Needs",156,"25.6%","43.1%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Math","Non-High Needs",480,"40.8%","59.3%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELA","High Needs",10,"*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELA","Non-High Needs",80,"85.0%","100.0%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Math","High Needs",12,"*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Math","Non-High Needs",82,"80.5%","97.2%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELA","High Needs",112,"33.0%","49.9%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELA","Non-High Needs",476,"52.9%","69.1%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Math","High Needs",115,"51.3%","68.0%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Math","Non-High Needs",476,"70.6%","86.1%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELA","High Needs",15,"*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELA","Non-High Needs",61,"62.3%","84.1%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Math","High Needs",15,"*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Math","Non-High Needs",61,"54.1%","86.9%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELA","High Needs",20,"45.0%","73.4%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELA","Non-High Needs",51,"60.8%","77.8%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Math","High Needs",20,"60.0%","86.7%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Math","Non-High Needs",51,"66.7%","89.7%"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELA","High Needs",13,"*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELA","Non-High Needs",53,"62.3%","77.8%"
"=""0520011""","Farmington School District","=""0520311""","West District School","Math","High Needs",13,"*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Math","Non-High Needs",53,"66.0%","91.3%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELA","High Needs",124,"43.5%","68.9%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELA","Non-High Needs",494,"54.3%","72.6%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Math","High Needs",124,"37.1%","65.1%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Math","Non-High Needs",494,"69.0%","87.7%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","ELA","High Needs",20,"30.0%","55.1%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","ELA","Non-High Needs",68,"36.8%","52.8%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Math","High Needs",20,"20.0%","37.5%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Math","Non-High Needs",68,"29.4%","50.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELA","High Needs",37,"21.6%","54.3%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELA","Non-High Needs",137,"59.1%","79.7%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Math","High Needs",37,"40.5%","73.8%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Math","Non-High Needs",137,"65.0%","89.7%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","ELA","High Needs",10,"*","*"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","ELA","Non-High Needs",77,"62.3%","82.2%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Math","High Needs",10,"*","*"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Math","Non-High Needs",77,"70.1%","91.1%"
