"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Math","Non-Special Education",238,"41.6%","62.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","ELA","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","ELA","Non-Special Education",108,"45.4%","70.5%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Math","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Math","Non-Special Education",108,"42.6%","71.3%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","ELA","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Math","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","ELA","Special Education",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","ELA","Non-Special Education",183,"41.5%","64.9%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Math","Special Education",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Math","Non-Special Education",184,"20.7%","40.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","ELA","Special Education",37,"16.2%","38.5%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","ELA","Non-Special Education",258,"46.5%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Math","Special Education",35,"28.6%","44.4%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Math","Non-Special Education",259,"34.0%","56.9%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","ELA","Special Education",20,"25.0%","45.9%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","ELA","Non-Special Education",69,"47.8%","70.1%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Math","Special Education",20,"30.0%","56.1%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Math","Non-Special Education",69,"36.2%","57.6%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","ELA","Special Education",7,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","ELA","Non-Special Education",68,"39.7%","69.8%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Math","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Math","Non-Special Education",70,"50.0%","78.6%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","ELA","Special Education",20,"25.0%","49.9%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","ELA","Non-Special Education",114,"44.7%","63.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Math","Special Education",20,"20.0%","31.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Math","Non-Special Education",109,"33.0%","52.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","ELA","Special Education",26,"15.4%","52.5%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","ELA","Non-Special Education",77,"42.9%","72.3%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Math","Special Education",26,"38.5%","65.1%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Math","Non-Special Education",76,"39.5%","70.4%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","ELA","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Math","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Special Education",65,"18.5%","37.3%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Non-Special Education",557,"36.3%","54.6%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Special Education",64,"34.4%","52.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Non-Special Education",557,"34.5%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Special Education",31,"41.9%","64.3%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Non-Special Education",80,"62.5%","83.6%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Special Education",31,"61.3%","80.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Non-Special Education",80,"71.3%","93.4%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA","Special Education",9,"*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA","Non-Special Education",34,"55.9%","76.6%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math","Special Education",8,"*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math","Non-Special Education",34,"29.4%","42.4%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Special Education",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Non-Special Education",137,"66.4%","83.7%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Special Education",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Non-Special Education",137,"72.3%","91.4%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Special Education",66,"36.4%","55.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Non-Special Education",631,"43.1%","58.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Special Education",66,"37.9%","53.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Non-Special Education",632,"48.9%","65.2%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Special Education",25,"28.0%","51.8%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Non-Special Education",247,"59.5%","77.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Special Education",25,"32.0%","61.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Non-Special Education",247,"49.0%","72.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Special Education",32,"50.0%","80.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Non-Special Education",335,"57.0%","74.0%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Special Education",32,"46.9%","71.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Non-Special Education",335,"56.4%","78.3%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Special Education",20,"60.0%","84.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Non-Special Education",178,"69.7%","87.5%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Special Education",20,"55.0%","75.9%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Non-Special Education",178,"62.9%","86.0%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Special Education",20,"55.0%","77.9%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Non-Special Education",80,"48.8%","66.2%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Special Education",20,"50.0%","64.8%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Non-Special Education",80,"56.3%","76.8%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Special Education",44,"25.0%","55.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Non-Special Education",257,"45.1%","69.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Special Education",44,"50.0%","72.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Non-Special Education",257,"51.4%","76.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Special Education",56,"21.4%","44.2%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Non-Special Education",368,"47.0%","62.8%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Special Education",56,"30.4%","48.1%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Non-Special Education",370,"49.2%","67.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Special Education",42,"33.3%","67.5%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Non-Special Education",310,"56.8%","80.8%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Special Education",42,"50.0%","73.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Non-Special Education",311,"59.8%","86.4%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Special Education",77,"39.0%","59.4%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Non-Special Education",502,"46.2%","64.0%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Special Education",77,"20.8%","34.1%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Non-Special Education",501,"34.5%","49.9%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Non-Special Education",24,"66.7%","85.3%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Non-Special Education",24,"33.3%","62.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Special Education",28,"35.7%","67.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Non-Special Education",198,"49.5%","67.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Special Education",28,"32.1%","51.9%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Non-Special Education",197,"38.6%","62.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Special Education",27,"22.2%","45.5%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Non-Special Education",170,"42.9%","64.4%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Special Education",27,"37.0%","61.9%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Non-Special Education",172,"41.3%","60.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Special Education",70,"24.3%","50.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Special Education",69,"29.0%","50.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Non-Special Education",38,"39.5%","60.1%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Non-Special Education",38,"39.5%","60.4%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Special Education",45,"44.4%","69.4%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Non-Special Education",328,"58.8%","79.0%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Special Education",44,"38.6%","61.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Non-Special Education",328,"54.6%","74.9%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Special Education",23,"30.4%","54.7%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Non-Special Education",210,"52.9%","77.0%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Special Education",23,"43.5%","67.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Non-Special Education",210,"51.9%","80.1%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Special Education",39,"43.6%","67.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Non-Special Education",394,"53.6%","71.6%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Special Education",38,"36.8%","60.5%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Non-Special Education",394,"47.7%","67.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Special Education",31,"25.8%","55.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Non-Special Education",285,"33.3%","59.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Special Education",31,"29.0%","60.0%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Non-Special Education",285,"25.3%","47.5%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Special Education",111,"32.4%","57.0%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Non-Special Education",751,"43.8%","64.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Special Education",107,"32.7%","49.3%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Non-Special Education",744,"37.8%","57.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Non-Special Education",98,"54.1%","75.2%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Non-Special Education",100,"67.0%","92.6%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Special Education",13,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Non-Special Education",60,"46.7%","65.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Special Education",14,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Non-Special Education",75,"52.0%","77.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Non-Special Education",95,"57.9%","81.3%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Non-Special Education",97,"60.8%","87.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Special Education",36,"19.4%","51.6%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Non-Special Education",304,"42.8%","68.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Special Education",36,"25.0%","59.6%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Non-Special Education",307,"30.3%","55.6%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Special Education",7,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Non-Special Education",89,"51.7%","77.3%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Special Education",7,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Non-Special Education",90,"64.4%","90.7%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Non-Special Education",145,"55.9%","83.5%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Non-Special Education",151,"68.9%","90.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Special Education",10,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Non-Special Education",95,"40.0%","67.2%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Special Education",10,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Non-Special Education",96,"35.4%","68.4%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Special Education",105,"34.3%","54.7%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Non-Special Education",673,"35.4%","56.1%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Special Education",104,"41.3%","58.6%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Non-Special Education",706,"42.2%","61.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Non-Special Education",140,"41.4%","65.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Non-Special Education",140,"50.7%","77.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Special Education",9,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Non-Special Education",100,"53.0%","79.0%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Special Education",9,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Non-Special Education",102,"52.0%","79.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Special Education",21,"23.8%","54.3%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Non-Special Education",132,"34.8%","64.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Special Education",22,"36.4%","56.5%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Non-Special Education",135,"35.6%","64.3%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Non-Special Education",110,"50.9%","72.2%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Non-Special Education",110,"70.9%","92.8%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Special Education",39,"30.8%","46.7%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Non-Special Education",438,"35.8%","55.3%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Special Education",39,"33.3%","50.9%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Non-Special Education",436,"34.4%","50.9%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Special Education",25,"44.0%","58.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Non-Special Education",151,"58.9%","80.6%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Special Education",25,"36.0%","60.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Non-Special Education",151,"66.2%","85.7%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Special Education",17,"*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Non-Special Education",117,"62.4%","81.6%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Special Education",17,"*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Non-Special Education",117,"58.1%","83.6%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Special Education",161,"45.3%","65.2%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Non-Special Education",941,"59.0%","73.6%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Special Education",162,"57.4%","74.5%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Non-Special Education",941,"75.2%","89.8%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","ELA","Special Education",20,"65.0%","85.2%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","ELA","Non-Special Education",118,"61.9%","81.8%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Math","Special Education",20,"55.0%","81.5%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Math","Non-Special Education",119,"60.5%","81.2%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Special Education",16,"*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Non-Special Education",108,"64.8%","84.5%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Special Education",16,"*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Non-Special Education",108,"65.7%","88.5%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","ELA","Special Education",6,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","ELA","Non-Special Education",127,"69.3%","88.3%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Math","Special Education",6,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Math","Non-Special Education",127,"66.1%","87.9%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Special Education",24,"41.7%","63.5%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Non-Special Education",121,"50.4%","68.8%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Special Education",24,"50.0%","61.9%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Non-Special Education",121,"51.2%","75.2%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Special Education",17,"*","*"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Non-Special Education",103,"41.7%","71.0%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Special Education",17,"*","*"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Non-Special Education",104,"28.8%","62.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Special Education",38,"18.4%","35.5%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Non-Special Education",258,"29.1%","44.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Special Education",37,"21.6%","34.3%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Non-Special Education",258,"22.1%","40.6%"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Special Education",16,"*","*"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Non-Special Education",86,"31.4%","59.9%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Special Education",16,"*","*"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Non-Special Education",86,"19.8%","43.2%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Special Education",23,"34.8%","52.3%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Non-Special Education",168,"34.5%","52.0%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Special Education",23,"47.8%","61.2%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Non-Special Education",168,"46.4%","65.4%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Special Education",14,"*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Non-Special Education",103,"54.4%","75.7%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Special Education",14,"*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Non-Special Education",103,"60.2%","84.6%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Special Education",43,"25.6%","45.8%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Non-Special Education",348,"51.1%","66.8%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Special Education",42,"16.7%","31.7%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Non-Special Education",347,"34.3%","54.9%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Special Education",18,"*","*"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Non-Special Education",248,"35.5%","58.1%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Special Education",17,"*","*"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Non-Special Education",246,"50.4%","77.2%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Special Education",36,"33.3%","46.1%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Non-Special Education",345,"34.2%","50.5%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Special Education",36,"36.1%","48.1%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Non-Special Education",344,"23.8%","40.4%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Special Education",15,"*","*"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Non-Special Education",71,"39.4%","69.9%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Special Education",15,"*","*"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Non-Special Education",71,"25.4%","52.1%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Special Education",13,"*","*"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Non-Special Education",93,"30.1%","56.2%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Special Education",12,"*","*"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Non-Special Education",95,"23.2%","48.2%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Special Education",17,"*","*"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Non-Special Education",74,"31.1%","60.8%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Special Education",18,"*","*"
