"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","American Indian or Alaska Native","*","*","*"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","White",765,"42.5%","57.6%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Asian",93,"61.3%","76.4%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Two or More Races",45,"46.7%","61.0%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Hispanic/Latino of any race",68,"32.4%","49.2%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Black or African American","*","29.6%","47.2%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","American Indian or Alaska Native","*","*","*"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","White",244,"51.6%","68.9%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Asian","*","*","*"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Two or More Races",16,"*","*"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Hispanic/Latino of any race",14,"*","*"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Black or African American",15,"*","*"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","American Indian or Alaska Native","*","*","*"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","White",182,"61.0%","80.0%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Two or More Races",7,"*","*"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Hispanic/Latino of any race","*","*","*"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Black or African American",9,"*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","White",172,"70.3%","89.2%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Asian","*","*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Two or More Races",6,"*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Hispanic/Latino of any race",7,"*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Black or African American","*","*","*"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","White","*","*","*"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Two or More Races","*","*","*"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Hispanic/Latino of any race",89,"44.9%","63.6%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Black or African American",105,"36.2%","57.6%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","American Indian or Alaska Native","*","*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","White",333,"39.6%","54.7%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Asian",46,"47.8%","74.5%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Two or More Races",24,"54.2%","71.0%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Hispanic/Latino of any race",88,"37.5%","56.9%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Black or African American",19,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","White",92,"44.6%","68.6%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Asian",12,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Hispanic/Latino of any race",22,"45.5%","66.9%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","American Indian or Alaska Native","*","*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","White",580,"56.0%","71.3%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Asian",70,"55.7%","71.4%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Two or More Races",21,"76.2%","84.3%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Hispanic/Latino of any race",85,"55.3%","73.1%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Black or African American",8,"*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","White",95,"57.9%","81.8%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Asian",15,"*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Hispanic/Latino of any race",23,"52.2%","72.5%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","White",36,"38.9%","64.9%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Hispanic/Latino of any race",46,"26.1%","52.6%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Black or African American",13,"*","*"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","White",70,"68.6%","86.5%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Asian",23,"82.6%","95.0%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Hispanic/Latino of any race",20,"70.0%","87.0%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","White",56,"64.3%","85.0%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Two or More Races",11,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Hispanic/Latino of any race",34,"35.3%","71.1%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","White",17,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Hispanic/Latino of any race",48,"39.6%","59.5%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","White",94,"57.4%","76.2%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Asian",23,"87.0%","96.9%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Hispanic/Latino of any race",18,"*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","White",78,"53.8%","72.9%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Asian",11,"*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Hispanic/Latino of any race",11,"*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","White",100,"60.0%","80.9%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Hispanic/Latino of any race",12,"*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","White",45,"57.8%","74.2%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Hispanic/Latino of any race",7,"*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Black or African American","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","White",116,"74.1%","88.4%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Asian","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Two or More Races","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Hispanic/Latino of any race",16,"*","*"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","White",266,"60.9%","78.3%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Asian",22,"45.5%","63.0%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Two or More Races",7,"*","*"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Hispanic/Latino of any race",168,"46.4%","61.9%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Black or African American",27,"63.0%","74.7%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","White","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","White",113,"42.5%","69.8%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Two or More Races",10,"*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Black or African American","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","American Indian or Alaska Native",12,"*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","White",397,"43.1%","63.7%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Asian","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Two or More Races",32,"37.5%","61.0%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Hispanic/Latino of any race",34,"44.1%","61.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Black or African American",17,"*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","American Indian or Alaska Native",7,"*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","White",299,"40.5%","57.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Asian",43,"48.8%","66.0%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Two or More Races",28,"39.3%","56.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Hispanic/Latino of any race",46,"43.5%","65.6%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Black or African American",25,"48.0%","66.2%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","White",37,"43.2%","66.0%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Asian",7,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Two or More Races",13,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Hispanic/Latino of any race",29,"34.5%","52.5%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Black or African American",11,"*","*"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","White",43,"48.8%","74.8%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Two or More Races","*","*","*"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Hispanic/Latino of any race",8,"*","*"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Black or African American","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","American Indian or Alaska Native","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","White",36,"30.6%","55.0%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Asian","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Two or More Races",12,"*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Hispanic/Latino of any race",32,"21.9%","46.9%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Black or African American",13,"*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","White",21,"42.9%","69.2%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Asian",7,"*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Two or More Races","*","*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Hispanic/Latino of any race",13,"*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Black or African American","*","*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","American Indian or Alaska Native","*","*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","White",81,"61.7%","84.9%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Asian",9,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Two or More Races",8,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Hispanic/Latino of any race",14,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Black or African American","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","White",39,"56.4%","78.3%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Asian","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Two or More Races",9,"*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Hispanic/Latino of any race",15,"*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Black or African American","*","*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","American Indian or Alaska Native","*","*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","White",56,"58.9%","79.2%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Asian","*","*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Two or More Races","*","*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Hispanic/Latino of any race",7,"*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Black or African American","*","*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","American Indian or Alaska Native","*","*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","White",191,"31.4%","49.6%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Asian",19,"*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Two or More Races",28,"39.3%","53.3%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Hispanic/Latino of any race",96,"27.1%","46.7%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Black or African American",34,"29.4%","39.4%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","American Indian or Alaska Native","*","*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","White",444,"49.1%","68.2%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Asian",24,"58.3%","73.9%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Two or More Races",15,"*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Hispanic/Latino of any race",33,"54.5%","71.5%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Black or African American",8,"*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","White",43,"55.8%","76.1%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Asian","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Two or More Races","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Hispanic/Latino of any race",8,"*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","White",52,"59.6%","81.9%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Asian","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Two or More Races","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Hispanic/Latino of any race","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Black or African American","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","White",439,"55.1%","71.2%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Asian","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Two or More Races",22,"68.2%","82.8%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Hispanic/Latino of any race",40,"47.5%","65.1%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Black or African American","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","White",55,"69.1%","87.9%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Asian","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Two or More Races","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Hispanic/Latino of any race","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Black or African American","*","*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","White",54,"51.9%","75.1%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Asian","*","*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Two or More Races","*","*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Hispanic/Latino of any race","*","*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","White",110,"40.9%","61.1%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Asian",20,"40.0%","57.5%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Two or More Races",15,"*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Hispanic/Latino of any race",27,"33.3%","55.9%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Black or African American",23,"21.7%","55.5%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","White",15,"*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Asian","*","*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Two or More Races","*","*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Hispanic/Latino of any race",46,"28.3%","56.0%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Black or African American",41,"43.9%","66.9%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","White",37,"45.9%","68.2%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Asian",6,"*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Two or More Races",7,"*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Hispanic/Latino of any race",20,"60.0%","76.4%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Black or African American",32,"37.5%","64.1%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","White","*","*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Hispanic/Latino of any race","*","*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Black or African American","*","*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","White",295,"32.5%","48.1%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Asian",57,"36.8%","54.5%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Two or More Races",35,"28.6%","45.3%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Hispanic/Latino of any race",136,"25.0%","41.7%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Black or African American",197,"24.4%","43.6%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","White",23,"47.8%","65.2%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Asian","*","*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Two or More Races","*","*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Hispanic/Latino of any race",44,"47.7%","69.9%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Black or African American",47,"38.3%","57.5%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","White",27,"55.6%","66.3%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Asian","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Two or More Races","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Hispanic/Latino of any race",32,"37.5%","62.1%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Black or African American",37,"29.7%","52.2%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","White",34,"47.1%","73.5%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Asian",16,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Two or More Races",7,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Hispanic/Latino of any race",19,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Black or African American",44,"31.8%","67.6%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","White",101,"58.4%","75.8%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Asian","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Two or More Races","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Hispanic/Latino of any race",14,"*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Black or African American",26,"38.5%","63.3%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","White",111,"49.5%","69.2%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Asian",27,"55.6%","80.4%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Two or More Races","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Hispanic/Latino of any race","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Black or African American",17,"*","*"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","White",25,"56.0%","81.1%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Hispanic/Latino of any race","*","*","*"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Black or African American","*","*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","White",9,"*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Asian",6,"*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Two or More Races","*","*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Hispanic/Latino of any race",159,"23.9%","49.0%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Black or African American",46,"13.0%","34.2%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","American Indian or Alaska Native","*","*","*"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","White","*","*","*"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Asian",6,"*","*"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Hispanic/Latino of any race",152,"36.2%","63.2%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Black or African American",36,"38.9%","62.9%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","White",38,"55.3%","76.8%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Asian",29,"55.2%","77.6%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Two or More Races","*","*","*"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Hispanic/Latino of any race",147,"34.7%","55.6%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Black or African American",68,"26.5%","53.8%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","White","*","*","*"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Two or More Races","*","*","*"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Hispanic/Latino of any race",26,"42.3%","65.1%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Black or African American",57,"40.4%","60.7%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","White",36,"44.4%","64.6%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Asian",7,"*","*"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Hispanic/Latino of any race",76,"39.5%","56.6%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Black or African American",44,"25.0%","56.8%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","American Indian or Alaska Native","*","*","*"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","White","*","*","*"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Asian",6,"*","*"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Hispanic/Latino of any race",176,"26.1%","47.5%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Black or African American",34,"23.5%","53.4%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","American Indian or Alaska Native","*","*","*"
"=""0640011""","Hartford School District","=""0642311""","Burr School","White",7,"*","*"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Asian",9,"*","*"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Two or More Races","*","*","*"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Hispanic/Latino of any race",181,"26.5%","46.5%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Black or African American",38,"15.8%","39.9%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","White",35,"34.3%","49.8%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Asian","*","*","*"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Two or More Races","*","*","*"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Hispanic/Latino of any race",46,"34.8%","62.7%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Black or African American",145,"34.5%","52.3%"
