"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELL",14,"*","*"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Non-ELL",78,"14.1%","43.7%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELL",8,"*","*"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Non-ELL",163,"30.1%","58.9%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELL",81,"34.6%","53.5%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Non-ELL",893,"28.4%","46.4%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELL",8,"*","*"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Non-ELL",99,"25.3%","51.3%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELL",6,"*","*"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Non-ELL",65,"38.5%","55.8%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELL","*","*","*"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Non-ELL","*","30.3%","64.4%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELL",21,"9.5%","23.4%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Non-ELL",160,"15.6%","40.3%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELL",6,"*","*"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Non-ELL",61,"42.6%","69.9%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELL",7,"*","*"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Non-ELL",184,"21.7%","35.6%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELL","*","*","*"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Non-ELL","*","38.1%","52.3%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELL",7,"*","*"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Non-ELL",203,"38.9%","65.3%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELL",11,"*","*"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Non-ELL",111,"53.2%","81.8%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELL",11,"*","*"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Non-ELL",86,"32.6%","64.5%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELL",45,"33.3%","51.1%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Non-ELL",488,"35.5%","54.3%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELL",9,"*","*"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Non-ELL",84,"26.2%","56.3%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELL",8,"*","*"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Non-ELL",768,"49.3%","67.9%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","ELL","*","*","*"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School","Non-ELL","*","50.6%","78.5%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","ELL","*","*","*"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School","Non-ELL","*","63.0%","90.5%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School","Non-ELL",40,"60.0%","87.7%"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","Non-ELL","*","*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","ELL",10,"*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","Non-ELL",333,"33.3%","56.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education","Non-ELL","*","24.0%","41.8%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School","Non-ELL",67,"47.8%","68.6%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","ELL","*","*","*"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School","Non-ELL","*","64.9%","82.0%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","ELL","*","*","*"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School","Non-ELL","*","68.9%","91.9%"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","Non-ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School","Non-ELL","*","43.3%","80.0%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School","Non-ELL","*","39.0%","68.0%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School","Non-ELL","*","44.7%","65.3%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","ELL","*","*","*"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School","Non-ELL","*","48.8%","68.8%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School","Non-ELL",89,"60.7%","89.0%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School","Non-ELL",301,"46.8%","68.0%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","Non-ELL","*","41.6%","63.5%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","ELL",7,"*","*"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School","Non-ELL",246,"50.4%","77.9%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","ELL",8,"*","*"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School","Non-ELL",977,"31.0%","52.3%"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","Non-ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","ELL","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School","Non-ELL","*","27.8%","60.4%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","ELL","*","*","*"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Non-ELL","*","59.8%","82.7%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Non-ELL","*","59.8%","84.5%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Non-ELL",104,"58.7%","84.9%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Non-ELL","*","47.0%","64.7%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELL",6,"*","*"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Non-ELL",117,"52.1%","76.6%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Non-ELL","*","56.5%","86.4%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELL",12,"*","*"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Non-ELL",126,"58.7%","87.8%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Non-ELL","*","50.7%","73.3%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Non-ELL","*","44.2%","69.3%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Non-ELL","*","46.9%","76.8%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Non-ELL",140,"61.4%","90.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Non-ELL","*","52.8%","71.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Non-ELL","*","58.9%","82.5%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Non-ELL","*","47.2%","73.7%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELL",23,"26.1%","42.7%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Non-ELL",613,"37.5%","55.8%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Non-ELL","*","75.8%","93.7%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Non-ELL","*","66.9%","82.6%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Non-ELL","*","53.4%","85.4%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","Non-ELL","*","65.7%","89.0%"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Non-ELL","*","60.9%","88.3%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELL",6,"*","*"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Non-ELL",612,"62.9%","83.4%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Non-ELL",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Non-ELL","*","59.3%","86.1%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Non-ELL",87,"67.8%","89.0%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Non-ELL","*","62.3%","80.8%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Non-ELL","*","53.3%","72.6%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Non-ELL",133,"66.2%","87.7%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Non-ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Non-ELL","*","39.5%","69.5%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Non-ELL",174,"66.7%","88.5%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Non-ELL","*","55.2%","73.1%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Non-ELL",292,"40.8%","57.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Non-ELL",202,"54.0%","80.3%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","ELL","*","*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Non-ELL","*","64.9%","87.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","ELL",28,"57.1%","75.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Non-ELL",175,"42.9%","60.7%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","ELL",11,"*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Non-ELL",505,"39.0%","53.7%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Non-ELL",126,"54.0%","79.3%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","ELL",10,"*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Non-ELL",764,"67.8%","82.0%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Non-ELL","*","51.8%","73.4%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","ELL",8,"*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Non-ELL",100,"36.0%","68.9%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Non-ELL",123,"65.0%","83.3%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Non-ELL",101,"44.6%","71.2%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","ELL",14,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Non-ELL",58,"50.0%","73.4%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Non-ELL","*","61.9%","83.5%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Non-ELL","*","50.0%","68.7%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Non-ELL","*","66.9%","87.4%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Non-ELL",56,"55.4%","76.2%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Non-ELL","*","59.3%","77.9%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","ELL",26,"42.3%","59.7%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Non-ELL",468,"56.4%","74.2%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Non-ELL","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Non-ELL",132,"32.6%","59.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","ELL","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Non-ELL","*","54.8%","73.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Non-ELL","*","50.3%","66.6%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","ELL",7,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Non-ELL",91,"41.8%","72.0%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Non-ELL",57,"59.6%","81.5%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Non-ELL","*","40.6%","67.7%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Non-ELL","*","55.1%","82.8%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Non-ELL",116,"70.7%","92.8%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Non-ELL","*","61.4%","80.6%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Non-ELL",74,"56.8%","84.2%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","ELL",16,"*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Non-ELL",360,"25.8%","42.3%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","ELL",7,"*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Non-ELL",521,"55.7%","78.4%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Non-ELL","*","44.6%","70.3%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Non-ELL","*","39.0%","61.5%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Non-ELL","*","65.7%","82.7%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Non-ELL",65,"66.2%","88.6%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Non-ELL",65,"38.5%","52.2%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Non-ELL","*","36.5%","60.1%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","ELL",12,"*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Non-ELL",98,"29.6%","54.4%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Non-ELL","*","29.6%","50.6%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Non-ELL",6,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","ELL",17,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Non-ELL",698,"33.0%","47.3%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","ELL",10,"*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Non-ELL",120,"36.7%","66.7%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Non-ELL","*","29.1%","53.7%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","ELL",8,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Non-ELL",113,"47.8%","69.3%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Non-ELL","*","40.4%","66.7%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Non-ELL","*","46.4%","70.5%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Non-ELL",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","ELL",55,"23.6%","40.0%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Non-ELL",167,"22.8%","45.0%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","ELL",43,"30.2%","58.5%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Non-ELL",159,"32.7%","56.1%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","ELL",44,"40.9%","63.9%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Non-ELL",246,"50.8%","70.7%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Non-ELL","*","37.0%","55.8%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","ELL",14,"*","*"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Non-ELL",149,"32.9%","53.3%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","ELL",86,"36.0%","57.2%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Non-ELL",141,"24.8%","49.3%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","ELL",58,"39.7%","57.9%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Non-ELL",194,"21.6%","46.7%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","ELL",11,"*","*"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Non-ELL",223,"29.1%","47.4%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","ELL",25,"36.0%","70.7%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Non-ELL",80,"42.5%","61.2%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","ELL",12,"*","*"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Non-ELL",249,"26.1%","43.5%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","Non-ELL","*","*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","Non-ELL","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","ELL",12,"*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Non-ELL",282,"43.6%","64.8%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","ELL",38,"21.1%","55.7%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Non-ELL",113,"29.2%","60.9%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","ELL",14,"*","*"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Non-ELL",227,"26.4%","47.7%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","ELL",50,"20.0%","33.1%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Non-ELL",542,"35.4%","55.9%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","ELL",61,"39.3%","65.6%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Non-ELL",197,"39.1%","62.7%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","ELL",89,"40.4%","65.6%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Non-ELL",150,"32.7%","56.8%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","ELL",15,"*","*"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Non-ELL",118,"33.1%","58.7%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","ELL",55,"36.4%","50.4%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Non-ELL",128,"32.0%","51.5%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","ELL",37,"45.9%","69.3%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Non-ELL",98,"27.6%","45.7%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Non-ELL","*","22.2%","43.6%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Non-ELL",26,"23.1%","48.7%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","ELL",61,"32.8%","59.2%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Non-ELL",212,"43.9%","65.2%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","ELL",31,"29.0%","53.8%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Non-ELL",104,"30.8%","57.6%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","ELL",18,"*","*"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Non-ELL",349,"35.5%","60.3%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","ELL",19,"*","*"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Non-ELL",145,"33.1%","55.5%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","ELL","*","*","*"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Non-ELL","*","30.0%","54.5%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","ELL",31,"22.6%","46.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Non-ELL",106,"28.3%","49.4%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","ELL",7,"*","*"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Non-ELL",182,"63.7%","81.9%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","ELL",33,"27.3%","57.3%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Non-ELL",68,"35.3%","61.1%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","ELL",12,"*","*"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Non-ELL",102,"21.6%","38.7%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","ELL",24,"45.8%","69.8%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Non-ELL",233,"24.9%","43.7%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","ELL",6,"*","*"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Non-ELL",271,"33.9%","62.0%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","ELL",36,"47.2%","73.2%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Non-ELL",106,"45.3%","67.6%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","ELL",15,"*","*"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Non-ELL",102,"22.5%","44.7%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Non-ELL",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Non-ELL",340,"56.5%","82.0%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Non-ELL",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Non-ELL",148,"42.6%","63.8%"
