"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Special Education",25,"56.0%","83.0%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School","Non-Special Education",157,"59.2%","81.9%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Special Education",12,"*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Non-Special Education",116,"60.3%","85.3%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Special Education",15,"*","*"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Non-Special Education",89,"57.3%","85.1%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Special Education",67,"43.3%","60.2%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Non-Special Education",759,"47.2%","64.9%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Special Education",11,"*","*"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Non-Special Education",112,"51.8%","75.0%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Special Education",12,"*","*"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Non-Special Education",113,"57.5%","86.9%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Special Education",14,"*","*"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Non-Special Education",124,"58.1%","87.2%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Special Education",21,"19.0%","35.6%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Non-Special Education",128,"55.5%","79.0%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Special Education",16,"*","*"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Non-Special Education",142,"45.8%","71.2%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Special Education",18,"*","*"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Non-Special Education",158,"48.1%","79.0%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Special Education",10,"*","*"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Non-Special Education",130,"61.5%","89.7%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Special Education",75,"34.7%","52.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Non-Special Education",689,"54.9%","73.4%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Special Education",15,"*","*"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Non-Special Education",137,"56.9%","81.8%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Special Education",14,"*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Non-Special Education",151,"47.0%","73.6%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Special Education",66,"24.2%","42.5%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Non-Special Education",570,"38.6%","56.8%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Special Education","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Non-Special Education","*","79.8%","96.2%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Special Education",68,"48.5%","63.1%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Non-Special Education",523,"69.2%","85.2%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Special Education",9,"*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Non-Special Education",67,"55.2%","87.0%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Special Education",8,"*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","Non-Special Education",63,"65.1%","87.8%"
"=""0520011""","Farmington School District","=""0520311""","West District School","Special Education",7,"*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Non-Special Education",59,"66.1%","91.5%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Special Education",76,"35.5%","58.9%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Non-Special Education",542,"66.4%","86.6%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Special Education",10,"*","*"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Non-Special Education",78,"28.2%","49.5%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Special Education",22,"36.4%","69.1%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Non-Special Education",152,"63.2%","88.8%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Special Education",10,"*","*"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Non-Special Education",77,"70.1%","91.1%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Special Education",39,"38.5%","53.8%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Non-Special Education",418,"64.4%","82.9%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Special Education","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Non-Special Education","*","53.4%","73.1%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Special Education",13,"*","*"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Non-Special Education",120,"70.0%","91.5%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Special Education","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Special Education",18,"*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Non-Special Education",112,"42.9%","70.8%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Special Education",16,"*","*"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Non-Special Education",158,"72.2%","91.0%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Special Education",99,"37.4%","60.6%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Non-Special Education",903,"57.1%","74.6%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Special Education",29,"24.1%","42.6%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Non-Special Education",263,"42.6%","59.5%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Special Education",30,"40.0%","69.3%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Non-Special Education",172,"56.4%","82.2%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Special Education",20,"60.0%","84.9%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Non-Special Education",172,"65.7%","88.1%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Special Education",27,"25.9%","38.9%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Non-Special Education",176,"47.7%","66.4%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Special Education",43,"25.6%","38.5%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Non-Special Education",473,"40.4%","55.5%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Special Education",8,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Non-Special Education",130,"56.2%","80.8%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Special Education",78,"43.6%","64.7%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Non-Special Education",696,"70.7%","84.0%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Non-Special Education",129,"56.6%","77.2%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Special Education",18,"*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Non-Special Education",90,"43.3%","75.7%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Special Education",14,"*","*"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Non-Special Education",109,"66.1%","84.4%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Non-Special Education",98,"50.0%","76.0%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Special Education",15,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Non-Special Education",57,"49.1%","71.9%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Special Education",20,"55.0%","74.4%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Non-Special Education",123,"64.2%","85.9%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Special Education",7,"*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Non-Special Education",100,"50.0%","68.6%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Special Education",9,"*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Non-Special Education",114,"71.1%","91.0%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Special Education",6,"*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Non-Special Education",50,"58.0%","79.8%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Special Education",13,"*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Non-Special Education",129,"58.9%","78.2%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Special Education",70,"37.1%","56.3%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Non-Special Education",424,"58.7%","76.2%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Non-Special Education","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Special Education",21,"14.3%","48.4%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Non-Special Education",111,"36.0%","61.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Special Education",65,"36.9%","60.5%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Non-Special Education",437,"57.4%","75.3%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Special Education",49,"38.8%","51.9%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Non-Special Education",403,"51.6%","68.3%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Special Education",14,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Non-Special Education",84,"45.2%","74.8%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Special Education",10,"*","*"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Non-Special Education",47,"68.1%","85.7%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Special Education",16,"*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Non-Special Education",84,"41.7%","71.0%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Special Education",10,"*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Non-Special Education",40,"62.5%","86.2%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Special Education",9,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Non-Special Education",107,"72.0%","93.1%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Special Education",8,"*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Non-Special Education",64,"60.9%","78.4%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Special Education",9,"*","*"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Non-Special Education",65,"56.9%","83.1%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Special Education",64,"21.9%","38.5%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Non-Special Education",312,"27.2%","43.5%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Special Education",60,"41.7%","63.9%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Non-Special Education",468,"57.3%","80.1%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Special Education",13,"*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Non-Special Education",45,"44.4%","68.7%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Special Education",7,"*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Non-Special Education",53,"43.4%","63.2%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Special Education",59,"61.0%","74.0%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Non-Special Education",464,"66.2%","83.8%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Special Education","*","*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Non-Special Education","*","68.9%","91.0%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Special Education",6,"*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Non-Special Education",59,"39.0%","52.5%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Special Education",31,"29.0%","54.3%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Non-Special Education",163,"38.0%","61.5%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Special Education",32,"37.5%","54.7%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Non-Special Education",78,"29.5%","55.2%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Special Education",18,"*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Non-Special Education",85,"31.8%","51.8%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Special Education","*","*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Non-Special Education","*","*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Special Education",110,"41.8%","55.3%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Non-Special Education",605,"31.4%","45.8%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Special Education",23,"30.4%","66.7%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Non-Special Education",107,"38.3%","67.4%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Special Education",17,"*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Non-Special Education",96,"29.2%","54.9%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Special Education",17,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Non-Special Education",104,"51.9%","72.5%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Special Education",22,"31.8%","48.8%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Non-Special Education",131,"42.0%","69.6%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Special Education",27,"44.4%","70.0%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Non-Special Education",141,"46.8%","71.0%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Special Education","*","*","*"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Non-Special Education","*","56.5%","83.1%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Special Education",30,"23.3%","46.4%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Non-Special Education",192,"22.9%","43.4%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Special Education",32,"40.6%","55.1%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Non-Special Education",170,"30.6%","56.9%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Special Education",39,"43.6%","59.2%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Non-Special Education",251,"50.2%","71.3%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Special Education",24,"25.0%","39.6%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Non-Special Education",69,"42.0%","62.3%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Special Education",26,"30.8%","45.4%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Non-Special Education",137,"30.7%","52.5%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Special Education",46,"32.6%","52.5%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Non-Special Education",181,"28.2%","52.3%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Special Education",34,"41.2%","59.1%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Non-Special Education",218,"23.4%","47.7%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Special Education",30,"26.7%","48.6%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Non-Special Education",204,"28.9%","47.2%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Special Education",18,"*","*"
"=""0640011""","Hartford School District","=""0642411""","Clark School","Non-Special Education",87,"42.5%","64.0%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Special Education",27,"29.6%","50.4%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Non-Special Education",234,"25.6%","42.7%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","Special Education",19,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Special Education",46,"30.4%","44.6%"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Non-Special Education",248,"45.6%","67.6%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Special Education",38,"23.7%","56.4%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Non-Special Education",113,"28.3%","60.7%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Special Education",36,"33.3%","49.6%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Non-Special Education",205,"25.9%","48.4%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Special Education",67,"32.8%","50.9%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Non-Special Education",525,"34.3%","54.4%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Special Education",38,"34.2%","59.5%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Non-Special Education",220,"40.0%","64.0%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Special Education",42,"38.1%","56.6%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Non-Special Education",197,"35.0%","60.8%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Special Education",30,"46.7%","67.7%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Non-Special Education",103,"33.0%","58.8%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Special Education",31,"25.8%","39.3%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","Non-Special Education",152,"34.9%","53.6%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Special Education",21,"47.6%","60.5%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Non-Special Education",114,"29.8%","50.6%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Special Education",12,"*","*"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Non-Special Education",61,"21.3%","37.2%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Non-Special Education","*","25.0%","49.4%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Special Education",32,"53.1%","76.5%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Non-Special Education",241,"39.8%","62.2%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Special Education",26,"23.1%","41.5%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Non-Special Education",109,"32.1%","60.4%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Special Education",53,"9.4%","33.7%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Non-Special Education",314,"38.9%","63.2%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Special Education",28,"28.6%","52.6%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Non-Special Education",136,"31.6%","54.6%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Special Education","*","*","*"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Non-Special Education","*","30.0%","53.5%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Special Education",35,"25.7%","48.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Non-Special Education",102,"27.5%","48.9%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Special Education",27,"33.3%","54.7%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Non-Special Education",162,"68.5%","86.1%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Special Education",16,"*","*"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","Non-Special Education",85,"34.1%","62.0%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Special Education",33,"21.2%","40.8%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","Non-Special Education",81,"22.2%","41.3%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Special Education",29,"31.0%","53.0%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Non-Special Education",228,"26.3%","45.3%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Special Education",45,"31.1%","53.5%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Non-Special Education",232,"34.1%","62.9%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Special Education",26,"34.6%","51.6%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","Non-Special Education",116,"48.3%","72.9%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Special Education",20,"35.0%","57.8%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","Non-Special Education",97,"21.6%","43.6%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Special Education",16,"*","*"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Non-Special Education",88,"63.6%","86.0%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Special Education",40,"42.5%","67.7%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Non-Special Education",300,"58.3%","83.9%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Non-Special Education",167,"49.7%","71.6%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Non-Special Education",140,"45.0%","66.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Special Education",42,"23.8%","30.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Non-Special Education",210,"17.6%","33.4%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Special Education",27,"40.7%","61.1%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Non-Special Education",299,"34.8%","55.2%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Special Education",14,"*","*"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Non-Special Education",112,"55.4%","73.6%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Special Education",69,"33.3%","58.9%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Non-Special Education",548,"42.3%","62.1%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Special Education",21,"33.3%","77.4%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Non-Special Education",131,"37.4%","70.3%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Special Education",28,"42.9%","62.0%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Non-Special Education",103,"27.2%","46.2%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","Special Education","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","Special Education","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Special Education",19,"*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Non-Special Education",143,"48.3%","76.9%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Special Education",14,"*","*"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Non-Special Education",51,"64.7%","88.9%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Special Education",36,"27.8%","46.6%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Non-Special Education",231,"39.8%","63.1%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Special Education",20,"30.0%","52.4%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Non-Special Education",89,"46.1%","74.7%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Special Education",23,"34.8%","58.9%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Non-Special Education",175,"57.1%","80.8%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Special Education",19,"*","*"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Non-Special Education",154,"47.4%","73.0%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Special Education",39,"25.6%","46.4%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Non-Special Education",256,"48.8%","65.4%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Non-Special Education",185,"44.3%","68.7%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Special Education",31,"48.4%","70.3%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Non-Special Education",179,"70.9%","90.0%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Special Education",24,"25.0%","44.9%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Non-Special Education",137,"46.7%","60.7%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Special Education",44,"15.9%","32.0%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Non-Special Education",295,"26.4%","42.5%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Special Education","*","*","*"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Non-Special Education","*","46.8%","73.7%"
