"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Male",72,"69.4%","88.9%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Female",80,"71.3%","90.8%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Male",332,"41.3%","56.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Female",365,"43.6%","59.5%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Male",333,"47.1%","62.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Female",365,"48.5%","65.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Male",129,"59.7%","76.9%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Female",143,"53.8%","73.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Male",129,"45.7%","69.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Female",143,"49.0%","72.8%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Male",185,"53.0%","71.0%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Female",182,"59.9%","78.2%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Male",185,"56.8%","75.2%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Female",182,"54.4%","80.1%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Male",94,"62.8%","83.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Female",104,"74.0%","90.4%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Male",94,"59.6%","83.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Female",104,"64.4%","86.2%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Male",38,"52.6%","69.6%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Female",62,"48.4%","67.9%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Male",38,"60.5%","75.6%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Female",62,"51.6%","73.7%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Male",148,"43.9%","68.0%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Female",153,"40.5%","67.1%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Male",148,"51.4%","74.2%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Female",153,"51.0%","78.3%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Male",222,"39.6%","56.8%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Female",202,"48.0%","64.3%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Male",224,"48.7%","66.2%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Female",202,"44.6%","64.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Male",179,"44.7%","73.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Female",173,"63.6%","85.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Male",180,"59.4%","83.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Female",173,"57.8%","86.0%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Male",295,"42.4%","61.5%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Female",284,"48.2%","65.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Male",294,"28.9%","43.6%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Female",284,"36.6%","52.1%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Male",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Female",18,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Male",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Female",18,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Male",110,"43.6%","65.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Female",116,"51.7%","69.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Male",110,"36.4%","62.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Female",115,"39.1%","60.2%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Male",94,"40.4%","66.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Female",103,"39.8%","57.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Male",95,"46.3%","64.9%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Female",104,"35.6%","56.7%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Male",62,"21.0%","45.8%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Female",8,"*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Male",61,"26.2%","47.3%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Female",8,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Male",29,"37.9%","59.5%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Female",16,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Male",29,"48.3%","64.9%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Female",16,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Male",184,"58.7%","78.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Female",189,"55.6%","77.0%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Male",184,"50.5%","71.0%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Female",188,"54.8%","75.6%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Male",103,"41.7%","70.4%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Female",130,"57.7%","78.2%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Male",103,"55.3%","78.0%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Female",130,"47.7%","79.5%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Male",226,"46.0%","65.9%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Female",207,"59.9%","77.0%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Male",225,"44.9%","66.0%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Female",207,"48.8%","67.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Male",165,"35.8%","59.6%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Female",151,"29.1%","59.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Male",165,"30.9%","52.8%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Female",151,"19.9%","44.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Male",432,"43.5%","65.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Female",430,"41.2%","61.0%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Male",429,"38.2%","58.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Female",422,"36.0%","54.6%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Male",58,"58.6%","78.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Female",51,"47.1%","67.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Male",59,"66.1%","93.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Female",52,"67.3%","90.1%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Male",38,"47.4%","61.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Female",35,"42.9%","66.3%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Male",46,"52.2%","78.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math","Female",43,"48.8%","74.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Male",55,"49.1%","70.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA","Female",56,"57.1%","82.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Male",56,"69.6%","93.0%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math","Female",57,"45.6%","76.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Male",169,"36.7%","62.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA","Female",171,"43.9%","71.2%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Male",171,"29.2%","54.1%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math","Female",172,"30.2%","58.0%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Male",43,"60.5%","84.9%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA","Female",53,"49.1%","73.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Male",44,"65.9%","90.9%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math","Female",53,"64.2%","89.7%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Male",90,"57.8%","85.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA","Female",71,"53.5%","81.4%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Male",93,"68.8%","92.1%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math","Female",74,"64.9%","83.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Male",46,"41.3%","64.6%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA","Female",59,"37.3%","67.8%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Male",47,"38.3%","70.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math","Female",59,"35.6%","68.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Male",373,"33.0%","53.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA","Female",405,"37.3%","58.5%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Male",385,"41.3%","58.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math","Female",425,"42.8%","62.7%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Male",74,"37.8%","61.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA","Female",77,"41.6%","69.1%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Male",75,"49.3%","73.3%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math","Female",76,"52.6%","81.0%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Male",49,"53.1%","83.1%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA","Female",60,"50.0%","74.3%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Male",49,"49.0%","76.9%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math","Female",62,"51.6%","79.5%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Male",71,"35.2%","61.9%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELA","Female",82,"31.7%","64.0%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Male",74,"37.8%","65.8%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Math","Female",83,"33.7%","60.8%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Male",54,"50.0%","69.6%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELA","Female",67,"49.3%","72.0%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Male",54,"66.7%","89.1%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Math","Female",67,"65.7%","88.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Male",252,"33.7%","50.7%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELA","Female",225,"37.3%","59.0%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Male",250,"34.0%","51.4%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Math","Female",225,"34.7%","50.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Male",84,"53.6%","73.1%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","ELA","Female",92,"59.8%","81.4%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Male",84,"69.0%","85.6%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Math","Female",92,"55.4%","78.9%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Male",60,"51.7%","75.1%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELA","Female",74,"68.9%","85.0%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Male",60,"48.3%","79.7%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Math","Female",74,"59.5%","83.7%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Male",591,"56.2%","72.0%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELA","Female",511,"57.9%","72.8%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Male",592,"74.3%","88.5%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Math","Female",511,"70.6%","86.4%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","ELA","Male",81,"56.8%","80.8%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","ELA","Female",57,"70.2%","84.4%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Math","Male",82,"64.6%","85.4%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Math","Female",57,"52.6%","75.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Male",59,"67.8%","86.4%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELA","Female",65,"66.2%","86.0%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Male",59,"67.8%","93.4%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Math","Female",65,"56.9%","81.8%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","ELA","Male",58,"70.7%","86.2%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","ELA","Female",75,"66.7%","87.9%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Math","Male",58,"75.9%","92.4%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Math","Female",75,"58.7%","83.9%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Male",69,"42.0%","62.6%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELA","Female",76,"55.3%","72.7%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Male",69,"46.4%","68.3%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Math","Female",76,"55.3%","77.3%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Male",59,"39.0%","73.1%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELA","Female",61,"41.0%","65.1%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Male",59,"28.8%","63.7%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Math","Female",62,"24.2%","55.8%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Male",158,"20.3%","34.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELA","Female",138,"36.2%","53.3%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Male",158,"20.9%","36.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Math","Female",137,"23.4%","44.0%"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Male",49,"30.6%","60.3%"
"=""0370011""","Derby School District","=""0370411""","Irving School","ELA","Female",53,"35.8%","63.5%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Male",49,"24.5%","48.9%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Math","Female",53,"17.0%","38.6%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Male",91,"35.2%","51.4%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","ELA","Female",100,"34.0%","52.6%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Male",91,"38.5%","55.4%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Math","Female",100,"54.0%","73.5%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Male",65,"46.2%","71.7%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELA","Female",52,"55.8%","74.0%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Male",65,"52.3%","76.6%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Math","Female",52,"61.5%","84.9%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Male",212,"41.5%","58.2%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","ELA","Female",179,"56.4%","71.9%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Male",211,"34.1%","53.2%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Math","Female",178,"30.3%","51.5%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Male",139,"33.8%","56.8%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELA","Female",127,"36.2%","59.1%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Male",137,"50.4%","75.1%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Math","Female",126,"46.8%","76.0%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Male",210,"31.9%","47.2%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELA","Female",171,"36.8%","53.7%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Male",209,"27.3%","41.8%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Math","Female",171,"22.2%","40.3%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Male",40,"35.0%","68.5%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELA","Female",46,"34.8%","63.2%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Male",40,"27.5%","50.1%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Math","Female",46,"21.7%","51.6%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Male",53,"18.9%","43.7%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELA","Female",53,"34.0%","64.4%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Male",54,"18.5%","43.9%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Math","Female",53,"28.3%","53.3%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Male",46,"23.9%","50.0%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELA","Female",45,"35.6%","68.5%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Male",45,"11.1%","49.5%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Math","Female",47,"17.0%","35.3%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","Male",93,"38.7%","59.7%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","ELA","Female",79,"39.2%","65.7%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","Male",93,"23.7%","51.9%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School","Math","Female",78,"34.6%","63.1%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","Male",493,"30.6%","51.4%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","ELA","Female",478,"34.1%","54.4%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","Male",497,"29.0%","45.6%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School","Math","Female",477,"28.9%","48.5%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","Male",55,"45.5%","69.7%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","ELA","Female",52,"55.8%","82.1%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","Male",55,"18.2%","46.0%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School","Math","Female",52,"30.8%","55.6%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","Male",29,"48.3%","71.1%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","ELA","Female",41,"46.3%","64.9%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","Male",29,"27.6%","42.9%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School","Math","Female",42,"42.9%","65.0%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","Male",41,"56.1%","76.6%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","ELA","Female",43,"53.5%","80.3%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","Male",39,"25.6%","61.5%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School","Math","Female",42,"33.3%","64.8%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","Male",94,"38.3%","66.7%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","ELA","Female",85,"42.4%","67.7%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","Male",96,"12.5%","37.5%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School","Math","Female",85,"17.6%","39.2%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","Male",35,"37.1%","66.9%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","ELA","Female",34,"35.3%","66.0%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","Male",35,"37.1%","64.4%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School","Math","Female",32,"43.8%","74.7%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","Male",93,"37.6%","60.0%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","ELA","Female",99,"42.4%","67.4%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","Male",93,"18.3%","31.8%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages","Math","Female",98,"25.5%","39.5%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELA","Male","*","26.8%","53.4%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","ELA","Female","*","*","*"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Math","Male","*","35.7%","49.6%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School","Math","Female","*","*","*"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","Male",104,"38.5%","62.8%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","ELA","Female",107,"44.9%","71.7%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","Male",104,"43.3%","70.0%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy","Math","Female",106,"35.8%","60.8%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","Male",54,"31.5%","65.7%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","ELA","Female",68,"44.1%","73.7%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","Male",54,"51.9%","76.7%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School","Math","Female",68,"55.9%","86.4%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","Male",43,"25.6%","43.0%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","ELA","Female",54,"25.9%","56.2%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","Male",43,"20.9%","59.6%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School","Math","Female",54,"42.6%","67.9%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELA","Male",278,"40.6%","64.8%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","ELA","Female",255,"54.1%","76.1%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Math","Male",277,"32.5%","50.4%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School","Math","Female",256,"38.3%","58.0%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELA","Male",44,"38.6%","68.1%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","ELA","Female",48,"41.7%","66.1%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Math","Male",44,"45.5%","70.3%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School","Math","Female",49,"16.3%","49.4%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELA","Male",402,"42.8%","59.6%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","ELA","Female",378,"47.6%","63.9%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Math","Male",399,"48.9%","67.8%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School","Math","Female",377,"49.3%","67.8%"
