"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","High Needs",20,"20.0%","37.5%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Non-High Needs",68,"29.4%","50.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","High Needs",37,"40.5%","73.8%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Non-High Needs",137,"65.0%","89.7%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","High Needs",10,"*","*"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Non-High Needs",77,"70.1%","91.1%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","High Needs",68,"38.2%","55.0%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Non-High Needs",389,"66.3%","84.9%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","High Needs",11,"*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Non-High Needs",127,"53.5%","73.5%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","High Needs",18,"*","*"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Non-High Needs",115,"72.2%","92.3%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","High Needs","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","High Needs",52,"38.5%","68.6%"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Non-High Needs",78,"41.0%","70.5%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","High Needs",29,"37.9%","77.9%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Non-High Needs",145,"72.4%","90.6%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","High Needs",154,"41.6%","63.2%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Non-High Needs",848,"57.7%","75.0%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","High Needs",57,"26.3%","45.7%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Non-High Needs",235,"44.3%","60.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","High Needs",43,"32.6%","68.1%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Non-High Needs",159,"59.7%","83.6%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","High Needs",38,"55.3%","77.5%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Non-High Needs",154,"67.5%","90.3%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","High Needs",178,"41.6%","59.8%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Non-High Needs",25,"68.0%","84.1%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","High Needs",103,"31.1%","45.3%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Non-High Needs",413,"41.2%","56.3%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","High Needs",26,"53.8%","74.6%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Non-High Needs",112,"55.4%","80.8%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","High Needs",110,"49.1%","68.0%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Non-High Needs",664,"71.1%","84.4%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","High Needs",26,"38.5%","58.8%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Non-High Needs",118,"55.1%","76.5%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","High Needs",68,"38.2%","70.0%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Non-High Needs",40,"35.0%","71.3%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","High Needs",17,"*","*"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Non-High Needs",106,"66.0%","84.8%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","High Needs",43,"37.2%","64.1%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Non-High Needs",70,"54.3%","78.9%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","High Needs",52,"40.4%","70.0%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Non-High Needs",20,"60.0%","75.8%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","High Needs",32,"68.8%","86.3%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Non-High Needs",111,"61.3%","83.7%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","High Needs",11,"*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Non-High Needs",96,"51.0%","69.3%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","High Needs",14,"*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Non-High Needs",109,"70.6%","90.4%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","High Needs",6,"*","*"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Non-High Needs",50,"58.0%","79.8%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","High Needs",15,"*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Non-High Needs",127,"59.1%","78.1%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","High Needs",208,"48.6%","65.7%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Non-High Needs",286,"60.8%","79.1%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","High Needs","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","High Needs",55,"30.9%","62.3%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Non-High Needs",77,"33.8%","57.0%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","High Needs",238,"47.5%","66.3%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Non-High Needs",264,"61.4%","79.7%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","High Needs",173,"45.1%","61.7%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Non-High Needs",279,"53.4%","69.5%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","High Needs",67,"37.3%","67.2%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Non-High Needs",31,"58.1%","88.9%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","High Needs",32,"43.8%","69.2%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Non-High Needs",25,"80.0%","97.3%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","High Needs",68,"42.6%","67.2%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Non-High Needs",32,"37.5%","69.1%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","High Needs",32,"46.9%","80.3%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Non-High Needs",18,"*","*"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","High Needs",32,"53.1%","81.6%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Non-High Needs",84,"77.4%","97.1%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","High Needs",43,"53.5%","76.1%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Non-High Needs",29,"72.4%","86.3%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","High Needs",25,"40.0%","77.8%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Non-High Needs",49,"65.3%","87.5%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","High Needs",239,"27.2%","42.6%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Non-High Needs",137,"24.8%","42.7%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","High Needs",98,"44.9%","67.8%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Non-High Needs",430,"57.9%","80.7%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","High Needs",15,"*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Non-High Needs",43,"44.2%","67.4%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","High Needs",9,"*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Non-High Needs",51,"43.1%","62.9%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","High Needs",93,"62.4%","77.1%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Non-High Needs",430,"66.3%","83.9%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","High Needs",10,"*","*"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Non-High Needs",55,"69.1%","90.7%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","High Needs",13,"*","*"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Non-High Needs",52,"40.4%","54.4%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","High Needs",59,"32.2%","51.9%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Non-High Needs",135,"38.5%","64.1%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","High Needs",98,"31.6%","53.6%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Non-High Needs",12,"*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","High Needs",63,"30.2%","55.1%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Non-High Needs",40,"35.0%","48.3%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","High Needs",6,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","High Needs",353,"31.4%","46.6%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Non-High Needs",362,"34.5%","47.9%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","High Needs",89,"39.3%","69.8%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Non-High Needs",41,"31.7%","61.9%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","High Needs",77,"22.1%","50.8%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Non-High Needs",36,"44.4%","61.1%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","High Needs",71,"52.1%","72.8%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Non-High Needs",50,"42.0%","65.0%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","High Needs",43,"25.6%","51.0%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Non-High Needs",110,"46.4%","72.7%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","High Needs",44,"45.5%","71.9%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Non-High Needs",124,"46.8%","70.5%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","High Needs",10,"*","*"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Non-High Needs",17,"*","*"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","High Needs","*","22.6%","43.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","High Needs","*","31.7%","56.3%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","High Needs",207,"42.5%","64.8%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School","Non-High Needs",83,"66.3%","81.7%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","High Needs",77,"32.5%","53.1%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School","Non-High Needs",16,"*","*"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","High Needs",108,"26.9%","47.0%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School","Non-High Needs",55,"38.2%","59.9%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","High Needs","*","29.5%","52.4%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0642311""","Burr School","High Needs","*","25.5%","49.0%"
"=""0640011""","Hartford School District","=""0642311""","Burr School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","High Needs",165,"24.2%","44.3%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School","Non-High Needs",69,"39.1%","54.8%"
"=""0640011""","Hartford School District","=""0642411""","Clark School","High Needs",105,"41.0%","63.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","High Needs",157,"24.8%","40.7%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School","Non-High Needs",104,"27.9%","47.8%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School","High Needs",19,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","High Needs",282,"42.6%","63.3%"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School","Non-High Needs",12,"*","*"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","High Needs","*","27.3%","59.5%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","High Needs","*","27.1%","48.8%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","High Needs",384,"29.9%","49.7%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy","Non-High Needs",208,"41.8%","61.9%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","High Needs","*","39.2%","63.6%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","High Needs","*","35.3%","59.9%"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","High Needs","*","36.6%","60.5%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School","High Needs",183,"33.3%","51.2%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","High Needs","*","32.1%","51.7%"
"=""0640011""","Hartford School District","=""0641911""","Milner School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","High Needs",42,"21.4%","47.8%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher","Non-High Needs",31,"22.6%","36.4%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","High Needs",16,"*","*"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School","Non-High Needs",10,"*","*"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","High Needs","*","40.7%","63.4%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","High Needs","*","30.8%","56.5%"
"=""0640011""","Hartford School District","=""0641511""","Parkville Community School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","High Needs",330,"34.2%","58.7%"
"=""0640011""","Hartford School District","=""0641111""","R.J. Kinsella Magnet School of Performing Arts","Non-High Needs",37,"37.8%","61.6%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","High Needs","*","31.5%","54.9%"
"=""0640011""","Hartford School District","=""0641711""","Rawson School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","High Needs",46,"23.9%","48.3%"
"=""0640011""","Hartford School District","=""0644011""","Renzulli Gifted and Talented Academy","Non-High Needs",15,"*","*"
"=""0640011""","Hartford School District","=""0640111""","SAND School","High Needs","*","27.2%","49.1%"
"=""0640011""","Hartford School District","=""0640111""","SAND School","Non-High Needs","*","*","*"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","High Needs",101,"55.4%","76.6%"
"=""0640011""","Hartford School District","=""0642511""","STEM Magnet at Fisher School","Non-High Needs",88,"72.7%","87.4%"
"=""0640011""","Hartford School District","=""0643011""","Sanchez School","High Needs",101,"32.7%","59.8%"
"=""0640011""","Hartford School District","=""0642611""","Simpson-Waverly School","High Needs",114,"21.9%","41.1%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","High Needs",202,"25.2%","46.4%"
"=""0640011""","Hartford School District","=""0646511""","Sports and Medical Sciences Academy","Non-High Needs",55,"32.7%","45.2%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","High Needs",186,"35.5%","59.3%"
"=""0640011""","Hartford School District","=""0642011""","Webster Micro Society Magnet School","Non-High Needs",91,"29.7%","65.7%"
"=""0640011""","Hartford School District","=""0642111""","West Middle School","High Needs",142,"45.8%","69.0%"
"=""0640011""","Hartford School District","=""0642211""","Wish Museum School","High Needs",117,"23.9%","46.1%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","High Needs",25,"44.0%","63.6%"
"=""0650011""","Hartland School District","=""0650111""","Hartland School","Non-High Needs",79,"65.8%","88.3%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","High Needs",64,"48.4%","76.3%"
"=""0670011""","Hebron School District","=""0670111""","Hebron Elementary School","Non-High Needs",276,"58.3%","83.3%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","High Needs",123,"44.7%","68.1%"
"=""2860013""","Highville Charter School District","=""2860113""","Highville Charter School","Non-High Needs",58,"51.7%","67.6%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","High Needs",62,"43.5%","66.8%"
"=""2640013""","Integrated Day Charter School District","=""2640113""","Integrated Day Charter School","Non-High Needs",92,"42.4%","63.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","High Needs",190,"17.4%","31.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","=""2655113""","Interdistrict School For Arts And Communication","Non-High Needs",62,"22.6%","38.9%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","High Needs",229,"31.9%","54.1%"
"=""2610013""","Jumoke Academy District","=""2610113""","Jumoke Academy","Non-High Needs",97,"43.3%","59.3%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","High Needs",26,"38.5%","52.1%"
"=""0680011""","Kent School District","=""0680111""","Kent Center School","Non-High Needs",100,"56.0%","74.7%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","High Needs",308,"39.0%","60.8%"
"=""0690011""","Killingly School District","=""0695211""","Killingly Intermediate School","Non-High Needs",309,"43.7%","62.6%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","High Needs",85,"37.6%","73.1%"
"=""0690011""","Killingly School District","=""0690311""","Killingly Memorial School","Non-High Needs",67,"35.8%","69.0%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","High Needs",83,"27.7%","46.5%"
"=""2450014""","Learn","=""2455014""","Dual Language & Arts Magnet Middle School","Non-High Needs",48,"35.4%","54.8%"
"=""2450014""","Learn","=""2451014""","LEARN SAILS Program at Salem","High Needs","*","*","*"
"=""2450014""","Learn","=""2450814""","Learn SAILS Middle School Program","High Needs","*","*","*"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","High Needs",89,"49.4%","76.7%"
"=""2450014""","Learn","=""2450114""","Regional Multicultural Magnet School","Non-High Needs",73,"50.7%","79.7%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","High Needs",23,"43.5%","81.5%"
"=""0710011""","Lebanon School District","=""0710111""","Lebanon Elementary School","Non-High Needs",42,"64.3%","87.4%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","High Needs",76,"35.5%","55.7%"
"=""0710011""","Lebanon School District","=""0715111""","Lebanon Middle School","Non-High Needs",191,"39.3%","62.9%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","High Needs",57,"42.1%","66.3%"
"=""0720011""","Ledyard School District","=""0720411""","Gallup Hill School","Non-High Needs",52,"44.2%","75.3%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","High Needs",50,"46.0%","68.3%"
"=""0720011""","Ledyard School District","=""0720311""","Juliet W. Long School","Non-High Needs",148,"57.4%","81.6%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","High Needs",51,"43.1%","69.5%"
"=""0720011""","Ledyard School District","=""0720111""","Ledyard Center School","Non-High Needs",122,"49.2%","73.5%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","High Needs",82,"36.6%","54.8%"
"=""0720011""","Ledyard School District","=""0725111""","Ledyard Middle School","Non-High Needs",213,"49.3%","66.0%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","High Needs",64,"31.3%","56.0%"
"=""0730011""","Lisbon School District","=""0730111""","Lisbon Central School","Non-High Needs",139,"48.2%","73.7%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","High Needs",55,"54.5%","76.4%"
"=""0740011""","Litchfield School District","=""0740311""","Litchfield Intermediate School","Non-High Needs",155,"72.3%","90.9%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","High Needs",36,"38.9%","57.5%"
"=""0740011""","Litchfield School District","=""0746011""","Litchfield Middle School","Non-High Needs",125,"44.8%","58.6%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","High Needs",51,"17.6%","36.4%"
"=""0760011""","Madison School District","=""0760611""","Dr. Robert H. Brown Middle School","Non-High Needs",288,"26.4%","41.9%"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","High Needs",6,"*","*"
"=""0760011""","Madison School District","=""0760211""","Island Avenue Elementary School","Non-High Needs",45,"48.9%","73.8%"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","High Needs",12,"*","*"
"=""0760011""","Madison School District","=""0760111""","J. Milton Jeffrey Elementary School","Non-High Needs",59,"42.4%","71.4%"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","High Needs",9,"*","*"
"=""0760011""","Madison School District","=""0760311""","Kathleen H. Ryerson Elementary School","Non-High Needs",38,"52.6%","78.1%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","High Needs",66,"30.3%","50.8%"
"=""0760011""","Madison School District","=""0765211""","Walter C. Polson Upper Middle School","Non-High Needs",386,"55.7%","71.3%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","High Needs",62,"22.6%","52.0%"
"=""0770011""","Manchester School District","=""0770111""","Bowers School","Non-High Needs",57,"31.6%","63.9%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","High Needs",40,"45.0%","70.4%"
"=""0770011""","Manchester School District","=""0770311""","Buckley School","Non-High Needs",63,"69.8%","95.6%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","High Needs",235,"49.4%","69.3%"
"=""0770011""","Manchester School District","=""0771711""","Elisabeth M. Bennet Academy","Non-High Needs",153,"52.3%","73.0%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","High Needs",40,"22.5%","43.9%"
"=""0770011""","Manchester School District","=""0770411""","Highland Park School","Non-High Needs",50,"30.0%","55.7%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","High Needs",438,"23.5%","40.4%"
"=""0770011""","Manchester School District","=""0775311""","Illing Middle School","Non-High Needs",261,"28.4%","46.1%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","High Needs",38,"18.4%","50.5%"
"=""0770011""","Manchester School District","=""0770611""","Keeney School","Non-High Needs",54,"29.6%","53.2%"
"=""0770011""","Manchester School District","=""0779011""","Manchester Regional Academy","High Needs",6,"*","*"
"=""0770011""","Manchester School District","=""0771611""","Martin School","High Needs",42,"14.3%","38.4%"
"=""0770011""","Manchester School District","=""0771611""","Martin School","Non-High Needs",31,"22.6%","45.5%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","High Needs",57,"31.6%","66.1%"
"=""0770011""","Manchester School District","=""0771011""","Robertson School","Non-High Needs",19,"*","*"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School","High Needs",97,"24.7%","50.4%"
"=""0770011""","Manchester School District","=""0771211""","Verplanck School","Non-High Needs",11,"*","*"
"=""0770011""","Manchester School District","=""0771311""","Waddell School","High Needs",59,"18.6%","42.1%"
"=""0770011""","Manchester School District","=""0771311""","Waddell School","Non-High Needs",30,"33.3%","67.7%"
"=""0770011""","Manchester School District","=""0771411""","Washington School","High Needs",89,"31.5%","52.1%"
"=""0770011""","Manchester School District","=""0771411""","Washington School","Non-High Needs",13,"*","*"
"=""0780011""","Mansfield School District","=""0780411""","Annie E. Vinton School","High Needs",16,"*","*"
"=""0780011""","Mansfield School District","=""0780411""","Annie E. Vinton School","Non-High Needs",31,"80.6%","100.0%"
"=""0780011""","Mansfield School District","=""0780211""","Dorothy C. Goodwin School","High Needs",6,"*","*"
"=""0780011""","Mansfield School District","=""0780211""","Dorothy C. Goodwin School","Non-High Needs",13,"*","*"
"=""0780011""","Mansfield School District","=""0785111""","Mansfield Middle School School","High Needs",132,"42.4%","58.7%"
"=""0780011""","Mansfield School District","=""0785111""","Mansfield Middle School School","Non-High Needs",294,"55.4%","71.1%"
"=""0780011""","Mansfield School District","=""0780511""","Southeast Elementary School","High Needs",20,"50.0%","81.6%"
"=""0780011""","Mansfield School District","=""0780511""","Southeast Elementary School","Non-High Needs",26,"65.4%","82.4%"
"=""0790011""","Marlborough School District","=""0790111""","Elmer Thienes-Mary Hall Elementary School","High Needs",37,"51.4%","74.0%"
"=""0790011""","Marlborough School District","=""0790111""","Elmer Thienes-Mary Hall Elementary School","Non-High Needs",215,"61.9%","85.8%"
"=""0800011""","Meriden School District","=""0800111""","Benjamin Franklin School","High Needs",72,"33.3%","70.7%"
"=""0800011""","Meriden School District","=""0800111""","Benjamin Franklin School","Non-High Needs",36,"50.0%","73.8%"
"=""0800011""","Meriden School District","=""0801111""","Casimir Pulaski School","High Needs",172,"54.7%","81.3%"
"=""0800011""","Meriden School District","=""0801111""","Casimir Pulaski School","Non-High Needs",35,"57.1%","80.1%"
"=""0800011""","Meriden School District","=""0800311""","Hanover School","High Needs",82,"31.7%","52.4%"
"=""0800011""","Meriden School District","=""0800311""","Hanover School","Non-High Needs",58,"27.6%","67.0%"
"=""0800011""","Meriden School District","=""0800411""","Israel Putnam School","High Needs",117,"29.1%","58.9%"
