"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Subject","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Math","Black or African American","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA","White","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA","Hispanic/Latino of any race","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA","Black or African American","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math","White","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math","Hispanic/Latino of any race","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math","Black or African American","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","American Indian or Alaska Native","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","White",215,"37.2%","56.7%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Asian",53,"54.7%","70.3%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Two or More Races","*","29.2%","50.4%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Hispanic/Latino of any race",208,"29.3%","46.6%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA","Black or African American",120,"30.0%","49.1%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","American Indian or Alaska Native","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","White",215,"36.3%","55.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Asian",53,"58.5%","75.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Two or More Races","*","33.3%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Hispanic/Latino of any race",207,"25.1%","43.6%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math","Black or African American",120,"35.8%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","White",23,"65.2%","80.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Hispanic/Latino of any race",35,"57.1%","82.0%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA","Black or African American",42,"50.0%","72.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","White",23,"73.9%","93.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Asian","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Two or More Races","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Hispanic/Latino of any race",35,"68.6%","89.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math","Black or African American",42,"66.7%","89.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA","White",39,"53.8%","76.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA","Two or More Races","*","*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math","White",39,"30.8%","42.1%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math","Two or More Races","*","*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math","Hispanic/Latino of any race","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","White",125,"64.0%","82.4%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Asian",14,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Hispanic/Latino of any race",6,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","White",125,"68.8%","88.1%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Asian",14,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Hispanic/Latino of any race",6,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","American Indian or Alaska Native","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","White",576,"41.0%","57.2%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Asian",72,"59.7%","71.8%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Hispanic/Latino of any race",27,"37.0%","53.0%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA","Black or African American",15,"*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","American Indian or Alaska Native","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","White",576,"46.4%","62.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Asian",73,"68.5%","85.2%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Hispanic/Latino of any race",27,"37.0%","55.0%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math","Black or African American",15,"*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","White",218,"54.1%","73.2%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Asian",23,"82.6%","92.8%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Hispanic/Latino of any race",14,"*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","White",218,"45.4%","70.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Asian",23,"60.9%","77.9%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Hispanic/Latino of any race",14,"*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","White",291,"56.0%","74.2%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Asian",43,"60.5%","74.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Hispanic/Latino of any race",18,"*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","White",291,"55.0%","77.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Asian",43,"62.8%","82.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Hispanic/Latino of any race",18,"*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","White",157,"66.9%","86.9%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Asian",22,"72.7%","85.9%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Hispanic/Latino of any race",11,"*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA","Black or African American","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","White",157,"56.7%","82.0%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Asian",22,"86.4%","98.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Two or More Races","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Hispanic/Latino of any race",11,"*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math","Black or African American","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","White",91,"49.5%","68.7%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Asian","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Two or More Races","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","White",91,"54.9%","74.5%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Asian","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Two or More Races","*","*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math","Hispanic/Latino of any race","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","White",253,"42.3%","67.1%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Asian",11,"*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Hispanic/Latino of any race",30,"36.7%","66.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA","Black or African American","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","White",253,"50.2%","76.3%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Asian",11,"*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Hispanic/Latino of any race",30,"53.3%","76.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math","Black or African American","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","White",370,"44.6%","59.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Asian",8,"*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Hispanic/Latino of any race",39,"28.2%","55.8%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA","Black or African American","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","American Indian or Alaska Native","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","White",370,"47.0%","65.5%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Asian",8,"*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Two or More Races","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Hispanic/Latino of any race",40,"45.0%","60.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math","Black or African American","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","White",307,"55.0%","79.8%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Asian",8,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Two or More Races",11,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Hispanic/Latino of any race",19,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA","Black or African American","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","White",307,"59.0%","85.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Asian",9,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Two or More Races",11,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Hispanic/Latino of any race",19,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math","Black or African American","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","White",518,"45.9%","63.9%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Asian",17,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Two or More Races","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Hispanic/Latino of any race",18,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA","Black or African American",13,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","American Indian or Alaska Native","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","White",517,"32.5%","47.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Asian",17,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Two or More Races","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Hispanic/Latino of any race",18,"*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math","Black or African American",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","White","*","61.5%","79.4%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA","Two or More Races","*","*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","White","*","34.6%","65.5%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math","Two or More Races","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","White",202,"47.5%","66.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Asian","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Two or More Races","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Hispanic/Latino of any race",14,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA","Black or African American","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","White",201,"38.3%","61.1%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Asian","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Two or More Races","*","*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Hispanic/Latino of any race",14,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math","Black or African American","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","White",35,"51.4%","71.4%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Hispanic/Latino of any race",77,"37.7%","60.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA","Black or African American",68,"35.3%","57.8%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","White",35,"42.9%","70.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Hispanic/Latino of any race",77,"39.0%","59.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math","Black or African American",70,"40.0%","55.0%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","White",37,"24.3%","56.1%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Hispanic/Latino of any race",16,"*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA","Black or African American",8,"*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","White",36,"25.0%","47.0%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Asian","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Two or More Races","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Hispanic/Latino of any race",16,"*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math","Black or African American",8,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","White",36,"38.9%","55.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Two or More Races","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA","Black or African American","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","White",36,"44.4%","65.4%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Two or More Races","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Hispanic/Latino of any race","*","*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","White",329,"57.1%","77.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Two or More Races",19,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Hispanic/Latino of any race",17,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","White",328,"53.7%","74.3%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Two or More Races",19,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Hispanic/Latino of any race",17,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","White",211,"50.7%","75.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Two or More Races","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Hispanic/Latino of any race",13,"*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA","Black or African American","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","American Indian or Alaska Native","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","White",211,"52.1%","78.7%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Asian","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Two or More Races","*","*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Hispanic/Latino of any race",13,"*","*"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math","Black or African American","*","*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","White",328,"53.7%","72.4%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Asian","*","61.3%","80.0%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Two or More Races","*","*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Hispanic/Latino of any race",36,"50.0%","67.7%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA","Black or African American",35,"37.1%","55.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","White",327,"47.1%","67.2%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Asian","*","61.3%","82.1%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Two or More Races","*","*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Hispanic/Latino of any race",36,"44.4%","61.6%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math","Black or African American",35,"37.1%","53.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","White",234,"33.3%","60.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Asian",25,"44.0%","72.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Two or More Races",6,"*","*"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Hispanic/Latino of any race",23,"26.1%","52.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA","Black or African American",28,"28.6%","48.6%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","White",234,"23.9%","47.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Asian",25,"32.0%","52.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Two or More Races",6,"*","*"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Hispanic/Latino of any race",23,"39.1%","60.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math","Black or African American",28,"25.0%","49.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","White",297,"44.4%","64.9%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Asian",68,"41.2%","60.9%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Two or More Races","*","29.2%","51.5%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Hispanic/Latino of any race",414,"42.0%","63.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA","Black or African American",57,"38.6%","58.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","White",294,"40.1%","58.8%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Asian",67,"38.8%","52.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Two or More Races","*","31.8%","44.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Hispanic/Latino of any race",412,"35.9%","56.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math","Black or African American",54,"31.5%","50.1%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","White",29,"51.7%","73.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Hispanic/Latino of any race",66,"51.5%","71.5%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","White",29,"72.4%","93.3%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Two or More Races","*","*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Hispanic/Latino of any race",68,"64.7%","90.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math","Black or African American","*","*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","White",47,"40.4%","60.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Asian","*","*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA","Two or More Races","*","*","*"
