"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1520011""","Waterford School District","Not Eligible For Lunch",760,"46.6%","65.2%"
"=""1530011""","Watertown School District","Eligible For Lunch",296,"45.6%","67.7%"
"=""1530011""","Watertown School District","Not Eligible For Lunch",749,"45.7%","67.7%"
"=""1550011""","West Hartford School District","Eligible For Lunch",692,"31.5%","54.9%"
"=""1550011""","West Hartford School District","Not Eligible For Lunch",2806,"47.5%","64.4%"
"=""1560011""","West Haven School District","Eligible For Lunch",1281,"36.4%","59.1%"
"=""1560011""","West Haven School District","Not Eligible For Lunch",722,"42.0%","64.7%"
"=""1540011""","Westbrook School District","Eligible For Lunch",35,"54.3%","77.6%"
"=""1540011""","Westbrook School District","Not Eligible For Lunch",223,"49.8%","70.2%"
"=""1570011""","Weston School District","Eligible For Lunch",22,"50.0%","68.6%"
"=""1570011""","Weston School District","Not Eligible For Lunch",863,"49.2%","69.0%"
"=""1580011""","Westport School District","Eligible For Lunch",87,"40.2%","63.0%"
"=""1580011""","Westport School District","Not Eligible For Lunch",1976,"47.1%","63.9%"
"=""1590011""","Wethersfield School District","Eligible For Lunch",238,"47.1%","68.6%"
"=""1590011""","Wethersfield School District","Not Eligible For Lunch",1045,"56.8%","75.2%"
"=""1600011""","Willington School District","Eligible For Lunch",47,"48.9%","77.5%"
"=""1600011""","Willington School District","Not Eligible For Lunch",171,"47.4%","66.9%"
"=""1610011""","Wilton School District","Eligible For Lunch",24,"41.7%","54.4%"
"=""1610011""","Wilton School District","Not Eligible For Lunch",1567,"56.5%","75.0%"
"=""1620011""","Winchester School District","Eligible For Lunch",122,"36.9%","59.8%"
"=""1620011""","Winchester School District","Not Eligible For Lunch",95,"44.2%","66.8%"
"=""1630011""","Windham School District","Eligible For Lunch",898,"40.8%","64.8%"
"=""1630011""","Windham School District","Not Eligible For Lunch",231,"55.8%","75.2%"
"=""1650011""","Windsor Locks School District","Eligible For Lunch",233,"38.2%","62.9%"
"=""1650011""","Windsor Locks School District","Not Eligible For Lunch",349,"46.7%","69.2%"
"=""1640011""","Windsor School District","Eligible For Lunch",381,"34.4%","54.5%"
"=""1640011""","Windsor School District","Not Eligible For Lunch",643,"35.9%","56.7%"
"=""1660011""","Wolcott School District","Eligible For Lunch",176,"38.6%","62.9%"
"=""1660011""","Wolcott School District","Not Eligible For Lunch",723,"45.9%","64.5%"
"=""1670011""","Woodbridge School District","Eligible For Lunch",27,"63.0%","85.3%"
"=""1670011""","Woodbridge School District","Not Eligible For Lunch",259,"64.5%","81.9%"
"=""1690011""","Woodstock School District","Eligible For Lunch",64,"42.2%","61.1%"
"=""1690011""","Woodstock School District","Not Eligible For Lunch",393,"42.2%","60.6%"

