"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0690011""","Killingly School District",7,160,2527,2544,16,"34.4%","51.4%"
"=""0690011""","Killingly School District",8,159,2516,2531,15,"31.4%","53.0%"
"=""2450014""","Learn",4,83,2394,2464,70,"57.8%","87.1%"
"=""2450014""","Learn",5,82,2474,2507,32,"40.2%","67.6%"
"=""2450014""","Learn",6,38,2469,2467,-2,"15.8%","34.8%"
"=""2450014""","Learn",7,48,2470,2505,35,"45.8%","65.2%"
"=""2450014""","Learn",8,49,2464,2477,12,"30.6%","48.8%"
"=""0710011""","Lebanon School District",4,65,2440,2509,69,"56.9%","85.3%"
"=""0710011""","Lebanon School District",5,56,2489,2539,51,"55.4%","82.4%"
"=""0710011""","Lebanon School District",6,72,2538,2563,25,"33.3%","63.8%"
"=""0710011""","Lebanon School District",7,64,2554,2547,-7,"12.5%","30.4%"
"=""0710011""","Lebanon School District",8,76,2550,2582,32,"51.3%","67.0%"
"=""0720011""","Ledyard School District",4,167,2421,2487,66,"52.1%","83.4%"
"=""0720011""","Ledyard School District",5,156,2474,2513,39,"49.4%","69.8%"
"=""0720011""","Ledyard School District",6,157,2508,2544,36,"46.5%","69.4%"
"=""0720011""","Ledyard School District",7,149,2532,2551,20,"37.6%","56.6%"
"=""0720011""","Ledyard School District",8,149,2547,2581,34,"53.7%","69.8%"
"=""0730011""","Lisbon School District",4,35,2417,2459,43,"25.7%","59.0%"
"=""0730011""","Lisbon School District",5,42,2446,2466,21,"26.2%","48.7%"
"=""0730011""","Lisbon School District",6,39,2471,2505,34,"41.0%","69.6%"
"=""0730011""","Lisbon School District",7,49,2523,2562,39,"49.0%","73.0%"
"=""0730011""","Lisbon School District",8,38,2499,2565,66,"71.1%","90.4%"
"=""0740011""","Litchfield School District",4,70,2474,2543,68,"71.4%","93.6%"
"=""0740011""","Litchfield School District",5,68,2507,2568,61,"77.9%","96.0%"
"=""0740011""","Litchfield School District",6,73,2543,2579,36,"54.8%","72.9%"
"=""0740011""","Litchfield School District",7,78,2564,2585,21,"48.7%","65.1%"
"=""0740011""","Litchfield School District",8,83,2584,2595,11,"38.6%","52.0%"
"=""0760011""","Madison School District",4,170,2487,2526,40,"44.7%","72.6%"
"=""0760011""","Madison School District",5,149,2529,2544,14,"28.2%","49.4%"
"=""0760011""","Madison School District",6,191,2541,2544,3,"22.5%","34.5%"
"=""0760011""","Madison School District",7,211,2534,2574,40,"59.2%","78.3%"
"=""0760011""","Madison School District",8,241,2600,2612,13,"45.6%","59.6%"
"=""0770011""","Manchester School District",4,422,2407,2444,37,"27.0%","57.1%"
"=""0770011""","Manchester School District",5,446,2447,2472,24,"33.4%","56.6%"
"=""0770011""","Manchester School District",6,387,2466,2504,38,"50.6%","70.8%"
"=""0770011""","Manchester School District",7,383,2490,2496,5,"26.9%","43.8%"
"=""0770011""","Manchester School District",8,326,2501,2501,0,"23.9%","41.4%"
"=""0780011""","Mansfield School District",4,112,2477,2536,59,"63.4%","84.8%"
"=""0780011""","Mansfield School District",5,112,2539,2554,15,"40.2%","54.6%"
"=""0780011""","Mansfield School District",6,110,2557,2586,29,"46.4%","63.3%"
"=""0780011""","Mansfield School District",7,107,2558,2603,45,"64.5%","82.6%"
"=""0780011""","Mansfield School District",8,100,2640,2655,15,"55.0%","69.0%"
"=""0790011""","Marlborough School District",4,93,2475,2519,44,"41.9%","73.0%"
"=""0790011""","Marlborough School District",5,90,2527,2576,49,"63.3%","87.2%"
"=""0790011""","Marlborough School District",6,69,2540,2607,67,"81.2%","94.9%"
"=""0800011""","Meriden School District",4,611,2393,2448,55,"40.9%","71.6%"
"=""0800011""","Meriden School District",5,598,2433,2470,37,"42.3%","68.8%"
"=""0800011""","Meriden School District",6,388,2447,2466,19,"34.0%","53.3%"
"=""0800011""","Meriden School District",7,427,2457,2497,40,"48.0%","68.9%"
"=""0800011""","Meriden School District",8,425,2463,2478,16,"34.6%","51.3%"
"=""0830011""","Middletown School District",4,340,2433,2480,47,"42.6%","70.8%"
"=""0830011""","Middletown School District",5,334,2459,2488,30,"38.9%","60.7%"
"=""0830011""","Middletown School District",6,295,2495,2520,25,"40.3%","59.7%"
"=""0830011""","Middletown School District",7,344,2513,2523,11,"32.6%","48.5%"
"=""0830011""","Middletown School District",8,294,2522,2530,8,"32.7%","45.7%"
"=""0840011""","Milford School District",4,392,2442,2501,59,"51.3%","82.6%"
"=""0840011""","Milford School District",5,432,2482,2520,38,"47.5%","70.6%"
"=""0840011""","Milford School District",6,423,2507,2550,43,"54.6%","74.5%"
"=""0840011""","Milford School District",7,473,2548,2568,20,"42.1%","59.9%"
"=""0840011""","Milford School District",8,464,2553,2566,13,"36.6%","50.9%"
"=""0850011""","Monroe School District",4,207,2489,2531,42,"47.8%","73.2%"
"=""0850011""","Monroe School District",5,217,2513,2560,47,"61.3%","83.2%"
"=""0850011""","Monroe School District",6,266,2530,2557,28,"44.0%","66.8%"
"=""0850011""","Monroe School District",7,247,2547,2582,36,"57.1%","75.7%"
"=""0850011""","Monroe School District",8,244,2570,2589,19,"39.3%","56.9%"
"=""0860011""","Montville School District",4,140,2439,2496,57,"51.4%","80.7%"
"=""0860011""","Montville School District",5,177,2463,2524,61,"68.4%","89.5%"
"=""0860011""","Montville School District",6,178,2498,2523,25,"33.7%","56.2%"
"=""0860011""","Montville School District",7,161,2521,2538,17,"31.1%","53.4%"
"=""0860011""","Montville School District",8,177,2526,2553,27,"44.6%","62.1%"
"=""0880011""","Naugatuck School District",4,312,2421,2470,49,"36.5%","71.1%"
"=""0880011""","Naugatuck School District",5,287,2458,2475,16,"27.9%","50.2%"
"=""0880011""","Naugatuck School District",6,307,2466,2505,40,"50.5%","70.6%"
"=""0880011""","Naugatuck School District",7,319,2495,2507,13,"27.0%","45.9%"
"=""0880011""","Naugatuck School District",8,313,2501,2496,-5,"23.6%","35.7%"
"=""2800013""","New Beginnings Inc Family Academy District",4,36,2380,2407,27,"11.1%","48.3%"
"=""2800013""","New Beginnings Inc Family Academy District",5,43,2432,2456,24,"32.6%","48.7%"
"=""2800013""","New Beginnings Inc Family Academy District",6,33,2453,2507,54,"57.6%","83.2%"
"=""2800013""","New Beginnings Inc Family Academy District",7,28,2489,2499,10,"28.6%","42.9%"
"=""2800013""","New Beginnings Inc Family Academy District",8,29,2486,2498,12,"27.6%","48.1%"
"=""0890011""","New Britain School District",4,700,2379,2411,33,"21.4%","51.0%"
"=""0890011""","New Britain School District",5,705,2412,2419,6,"21.3%","38.9%"
"=""0890011""","New Britain School District",6,630,2428,2430,2,"22.1%","38.5%"
"=""0890011""","New Britain School District",7,554,2431,2450,19,"35.4%","53.9%"
"=""0890011""","New Britain School District",8,554,2452,2458,6,"26.4%","42.3%"
"=""0900011""","New Canaan School District",4,311,2498,2567,69,"77.5%","95.5%"
"=""0900011""","New Canaan School District",5,316,2544,2571,27,"46.8%","69.0%"
"=""0900011""","New Canaan School District",6,290,2572,2602,30,"53.4%","71.9%"
"=""0900011""","New Canaan School District",7,343,2588,2619,32,"58.9%","75.9%"
"=""0900011""","New Canaan School District",8,298,2619,2651,32,"61.1%","76.2%"
"=""0910011""","New Fairfield School District",4,149,2461,2514,53,"50.3%","77.5%"
"=""0910011""","New Fairfield School District",5,135,2487,2531,44,"54.1%","79.4%"
"=""0910011""","New Fairfield School District",6,164,2534,2566,32,"49.4%","68.0%"
"=""0910011""","New Fairfield School District",7,173,2507,2564,57,"65.9%","87.5%"
"=""0910011""","New Fairfield School District",8,158,2557,2609,52,"70.9%","84.2%"
"=""0920011""","New Hartford School District",4,64,2437,2487,50,"43.8%","75.4%"
"=""0920011""","New Hartford School District",5,62,2505,2536,31,"41.9%","66.9%"
"=""0920011""","New Hartford School District",6,70,2539,2536,-3,"12.9%","30.9%"
"=""0930011""","New Haven School District",4,1451,2370,2424,53,"36.9%","70.2%"
"=""0930011""","New Haven School District",5,1341,2404,2442,38,"46.9%","68.7%"
"=""0930011""","New Haven School District",6,1362,2439,2466,27,"39.4%","59.6%"
"=""0930011""","New Haven School District",7,1351,2457,2482,25,"38.0%","58.3%"
"=""0930011""","New Haven School District",8,1291,2461,2490,29,"43.9%","60.0%"
"=""0950011""","New London School District",4,251,2397,2427,30,"20.7%","48.5%"
"=""0950011""","New London School District",5,251,2428,2450,21,"30.7%","53.3%"
"=""0950011""","New London School District",6,188,2447,2457,10,"24.5%","45.3%"
"=""0950011""","New London School District",7,168,2453,2481,28,"38.1%","58.9%"
"=""0950011""","New London School District",8,154,2469,2468,-0,"22.7%","39.6%"
"=""0960011""","New Milford School District",4,289,2437,2488,51,"45.0%","73.8%"
"=""0960011""","New Milford School District",5,297,2468,2520,52,"60.6%","82.8%"
"=""0960011""","New Milford School District",6,296,2497,2519,22,"37.2%","55.9%"
"=""0960011""","New Milford School District",7,283,2528,2563,35,"50.9%","70.8%"
"=""0960011""","New Milford School District",8,275,2542,2534,-9,"26.2%","38.1%"
"=""0940011""","Newington School District",4,292,2465,2505,39,"38.0%","65.3%"
"=""0940011""","Newington School District",5,296,2487,2502,14,"30.1%","48.3%"
"=""0940011""","Newington School District",6,306,2514,2546,32,"49.3%","67.2%"
"=""0940011""","Newington School District",7,319,2553,2563,10,"33.5%","51.3%"
"=""0940011""","Newington School District",8,309,2560,2567,6,"37.2%","50.1%"
"=""0970011""","Newtown School District",4,285,2459,2515,56,"50.5%","78.2%"
"=""0970011""","Newtown School District",5,324,2497,2552,54,"65.1%","87.0%"
"=""0970011""","Newtown School District",6,331,2525,2590,64,"74.3%","90.2%"
"=""0970011""","Newtown School District",7,369,2589,2618,28,"57.2%","73.6%"
"=""0970011""","Newtown School District",8,394,2612,2634,22,"49.5%","64.6%"
"=""0980011""","Norfolk School District",4,16,"*","*","*","*","*"
"=""0980011""","Norfolk School District",5,10,"*","*","*","*","*"
"=""0980011""","Norfolk School District",6,18,"*","*","*","*","*"
"=""0990011""","North Branford School District",4,125,2444,2487,43,"36.0%","65.6%"
"=""0990011""","North Branford School District",5,140,2470,2527,56,"65.0%","85.8%"
"=""0990011""","North Branford School District",6,139,2511,2541,30,"45.3%","65.3%"
"=""0990011""","North Branford School District",7,149,2528,2541,13,"33.6%","52.3%"
"=""0990011""","North Branford School District",8,152,2528,2557,30,"47.4%","62.8%"
"=""1000011""","North Canaan School District",4,19,"*","*","*","*","*"
"=""1000011""","North Canaan School District",5,19,"*","*","*","*","*"
"=""1000011""","North Canaan School District",6,30,2508,2542,34,"46.7%","72.5%"
"=""1000011""","North Canaan School District",7,24,2554,2598,44,"58.3%","79.8%"
"=""1000011""","North Canaan School District",8,18,"*","*","*","*","*"
"=""1010011""","North Haven School District",4,202,2439,2508,68,"61.4%","90.1%"
"=""1010011""","North Haven School District",5,219,2482,2532,51,"58.4%","84.8%"
"=""1010011""","North Haven School District",6,253,2497,2555,58,"64.8%","86.8%"
"=""1010011""","North Haven School District",7,213,2508,2588,80,"86.4%","100.0%"
"=""1010011""","North Haven School District",8,243,2532,2608,75,"77.4%","92.2%"
"=""1020011""","North Stonington School District",4,44,2526,2572,46,"56.8%","74.6%"
"=""1020011""","North Stonington School District",5,56,2547,2605,58,"76.8%","94.9%"
"=""1020011""","North Stonington School District",6,57,2537,2535,-2,"15.8%","29.3%"
"=""1020011""","North Stonington School District",7,58,2525,2560,35,"48.3%","70.4%"
"=""1020011""","North Stonington School District",8,49,2562,2596,34,"51.0%","70.9%"
"=""1030011""","Norwalk School District",4,828,2420,2473,53,"43.1%","74.6%"
"=""1030011""","Norwalk School District",5,766,2464,2488,24,"36.4%","56.9%"
"=""1030011""","Norwalk School District",6,797,2481,2488,7,"25.6%","43.2%"
"=""1030011""","Norwalk School District",7,783,2485,2515,30,"44.7%","64.2%"
"=""1030011""","Norwalk School District",8,741,2490,2508,18,"35.9%","53.1%"
"=""1040011""","Norwich School District",4,331,2376,2433,56,"41.7%","72.1%"
"=""1040011""","Norwich School District",5,328,2424,2456,31,"37.8%","61.5%"
"=""1040011""","Norwich School District",6,308,2444,2465,21,"37.7%","56.4%"
"=""1040011""","Norwich School District",7,336,2458,2481,23,"37.8%","57.8%"
"=""1040011""","Norwich School District",8,340,2478,2496,18,"33.5%","50.7%"
"=""2630013""","Odyssey Community School District",4,38,2418,2467,49,"28.9%","70.5%"
"=""2630013""","Odyssey Community School District",5,36,2484,2459,-25,"0.0%","11.6%"
"=""2630013""","Odyssey Community School District",6,33,2474,2505,31,"48.5%","62.1%"
"=""2630013""","Odyssey Community School District",7,31,2490,2550,60,"67.7%","92.4%"
"=""2630013""","Odyssey Community School District",8,37,2551,2548,-2,"27.0%","39.5%"
"=""1060011""","Old Saybrook School District",4,98,2440,2522,81,"73.5%","100.0%"
"=""1060011""","Old Saybrook School District",5,87,2513,2554,41,"54.0%","80.4%"
"=""1060011""","Old Saybrook School District",6,98,2515,2527,12,"27.6%","47.4%"
"=""1060011""","Old Saybrook School District",7,105,2528,2579,50,"64.8%","86.4%"
"=""1060011""","Old Saybrook School District",8,115,2569,2573,4,"28.7%","43.1%"
"=""1070011""","Orange School District",4,158,2460,2507,47,"40.5%","72.3%"
"=""1070011""","Orange School District",5,161,2515,2549,34,"49.7%","71.8%"
"=""1070011""","Orange School District",6,195,2551,2591,40,"58.5%","77.7%"
"=""1080011""","Oxford School District",4,147,2461,2510,49,"41.5%","71.8%"
"=""1080011""","Oxford School District",5,165,2501,2533,32,"44.8%","68.2%"
"=""1080011""","Oxford School District",6,147,2509,2543,34,"40.8%","67.7%"
"=""1080011""","Oxford School District",7,157,2512,2562,50,"69.4%","87.4%"
"=""1080011""","Oxford School District",8,159,2535,2555,20,"43.4%","58.6%"
"=""2830013""","Park City Prep Charter School District",5,88,2396,2453,56,"63.6%","85.1%"
"=""2830013""","Park City Prep Charter School District",6,87,2405,2443,39,"50.6%","73.1%"
"=""2830013""","Park City Prep Charter School District",7,80,2473,2513,39,"47.5%","68.8%"
"=""2830013""","Park City Prep Charter School District",8,81,2517,2573,56,"67.9%","80.7%"
"=""1090011""","Plainfield School District",4,158,2431,2478,47,"37.3%","71.4%"
"=""1090011""","Plainfield School District",5,151,2460,2493,34,"39.7%","65.8%"
"=""1090011""","Plainfield School District",6,150,2473,2541,68,"72.7%","93.6%"
"=""1090011""","Plainfield School District",7,170,2490,2534,44,"56.5%","77.1%"
"=""1090011""","Plainfield School District",8,170,2486,2557,71,"74.1%","89.7%"
"=""1100011""","Plainville School District",4,167,2451,2489,38,"27.5%","61.2%"
"=""1100011""","Plainville School District",5,159,2477,2504,27,"34.0%","60.3%"
"=""1100011""","Plainville School District",6,187,2508,2531,23,"36.9%","57.6%"
"=""1100011""","Plainville School District",7,178,2498,2524,26,"37.6%","59.8%"
"=""1100011""","Plainville School District",8,165,2490,2545,55,"63.0%","80.8%"
"=""1110011""","Plymouth School District",4,120,2429,2481,52,"37.5%","76.0%"
"=""1110011""","Plymouth School District",5,102,2479,2532,53,"59.8%","81.6%"
"=""1110011""","Plymouth School District",6,108,2489,2513,25,"40.7%","62.2%"
"=""1110011""","Plymouth School District",7,111,2486,2532,46,"53.2%","71.6%"
"=""1110011""","Plymouth School District",8,98,2510,2565,55,"60.2%","77.6%"
"=""1120011""","Pomfret School District",4,35,2461,2514,53,"57.1%","83.1%"
"=""1120011""","Pomfret School District",5,48,2514,2549,35,"50.0%","73.6%"
"=""1120011""","Pomfret School District",6,46,2554,2585,31,"54.3%","73.4%"
"=""1120011""","Pomfret School District",7,44,2555,2581,25,"50.0%","68.7%"
"=""1120011""","Pomfret School District",8,48,2581,2588,7,"35.4%","47.2%"
"=""1130011""","Portland School District",4,91,2460,2502,41,"31.9%","67.6%"
"=""1130011""","Portland School District",5,105,2491,2541,50,"63.8%","86.2%"
"=""1130011""","Portland School District",6,103,2554,2597,43,"61.2%","80.1%"
"=""1130011""","Portland School District",7,104,2579,2599,20,"44.2%","62.3%"
"=""1130011""","Portland School District",8,105,2576,2588,12,"34.3%","55.9%"
"=""1140011""","Preston School District",4,37,2450,2503,53,"54.1%","80.1%"
"=""1140011""","Preston School District",5,40,2498,2517,19,"32.5%","49.0%"
"=""1140011""","Preston School District",6,37,2526,2562,37,"40.5%","70.1%"
"=""1140011""","Preston School District",7,57,2551,2574,23,"42.1%","58.9%"
"=""1140011""","Preston School District",8,43,2582,2594,11,"44.2%","58.5%"
"=""1160011""","Putnam School District",4,72,2407,2504,97,"79.2%","99.6%"
"=""1160011""","Putnam School District",5,87,2462,2493,31,"43.7%","63.7%"
"=""1160011""","Putnam School District",6,76,2481,2508,28,"34.2%","60.5%"
"=""1160011""","Putnam School District",7,81,2474,2511,36,"43.2%","67.3%"
"=""1160011""","Putnam School District",8,79,2492,2516,24,"44.3%","60.7%"
"=""1170011""","Redding School District",4,85,2486,2554,68,"65.9%","92.5%"
"=""1170011""","Redding School District",5,94,2535,2550,15,"34.0%","52.7%"
"=""1170011""","Redding School District",6,120,2546,2578,32,"48.3%","67.6%"
"=""1170011""","Redding School District",7,109,2583,2620,37,"62.4%","81.3%"
"=""1170011""","Redding School District",8,88,2565,2620,54,"70.5%","84.3%"
"=""2010012""","Regional School District 01",4,"*","*","*","*","*","*"
"=""2010012""","Regional School District 01",7,"*","*","*","*","*","*"
"=""2010012""","Regional School District 01",8,"*","*","*","*","*","*"
"=""2040012""","Regional School District 04",7,145,2547,2558,10,"31.0%","48.1%"
"=""2040012""","Regional School District 04",8,155,2567,2598,31,"51.0%","69.0%"
"=""2050012""","Regional School District 05",7,357,2587,2618,31,"54.1%","71.4%"
"=""2050012""","Regional School District 05",8,357,2583,2619,36,"62.2%","76.7%"
"=""2060012""","Regional School District 06",4,33,2476,2518,42,"42.4%","68.8%"
"=""2060012""","Regional School District 06",5,51,2497,2527,30,"39.2%","65.5%"
"=""2060012""","Regional School District 06",6,44,2501,2542,42,"61.4%","78.6%"
"=""2060012""","Regional School District 06",7,48,2521,2548,27,"45.8%","61.0%"
"=""2060012""","Regional School District 06",8,66,2547,2539,-8,"22.7%","37.0%"
"=""2070012""","Regional School District 07",7,162,2546,2583,37,"54.9%","71.5%"
"=""2070012""","Regional School District 07",8,124,2574,2625,52,"65.3%","82.8%"
"=""2080012""","Regional School District 08",7,277,2562,2579,17,"37.9%","55.8%"
"=""2080012""","Regional School District 08",8,272,2586,2610,23,"47.1%","63.2%"
"=""2100012""","Regional School District 10",4,160,2480,2541,61,"61.3%","87.5%"
"=""2100012""","Regional School District 10",5,176,2503,2517,14,"30.7%","51.1%"
"=""2100012""","Regional School District 10",6,196,2527,2542,15,"31.1%","48.8%"
"=""2100012""","Regional School District 10",7,214,2553,2582,29,"48.1%","67.3%"
"=""2100012""","Regional School District 10",8,165,2572,2582,10,"33.3%","49.2%"
"=""2110012""","Regional School District 11",7,40,2533,2549,16,"42.5%","58.5%"
"=""2110012""","Regional School District 11",8,40,2507,2539,32,"52.5%","75.8%"
"=""2120012""","Regional School District 12",4,53,2466,2527,60,"64.2%","87.1%"
"=""2120012""","Regional School District 12",5,36,2487,2544,57,"75.0%","94.2%"
"=""2120012""","Regional School District 12",6,47,2560,2587,27,"42.6%","65.2%"
"=""2120012""","Regional School District 12",7,60,2531,2582,50,"65.0%","87.3%"
"=""2120012""","Regional School District 12",8,58,2550,2594,44,"67.2%","83.3%"
"=""2130012""","Regional School District 13",4,109,2452,2498,46,"37.6%","73.8%"
"=""2130012""","Regional School District 13",5,133,2500,2525,25,"37.6%","58.6%"
"=""2130012""","Regional School District 13",6,116,2502,2565,63,"71.6%","92.0%"
"=""2130012""","Regional School District 13",7,160,2539,2553,14,"32.5%","55.3%"
"=""2130012""","Regional School District 13",8,151,2549,2584,34,"58.9%","73.7%"
"=""2140012""","Regional School District 14",4,99,2455,2502,47,"37.4%","68.0%"
"=""2140012""","Regional School District 14",5,125,2502,2518,16,"29.6%","50.7%"
"=""2140012""","Regional School District 14",6,106,2513,2533,20,"35.8%","55.4%"
"=""2140012""","Regional School District 14",7,111,2520,2530,11,"29.7%","47.5%"
"=""2140012""","Regional School District 14",8,101,2555,2569,14,"35.6%","55.3%"
"=""2150012""","Regional School District 15",4,262,2478,2509,30,"34.0%","60.8%"
"=""2150012""","Regional School District 15",5,270,2508,2545,37,"50.0%","73.2%"
"=""2150012""","Regional School District 15",6,301,2520,2554,34,"45.5%","69.6%"
"=""2150012""","Regional School District 15",7,301,2550,2589,39,"60.8%","77.2%"
"=""2150012""","Regional School District 15",8,336,2587,2629,42,"64.0%","78.9%"
"=""2160012""","Regional School District 16",4,137,2462,2507,45,"42.3%","73.3%"
"=""2160012""","Regional School District 16",5,158,2486,2524,38,"53.8%","71.3%"
"=""2160012""","Regional School District 16",6,163,2523,2543,19,"31.3%","54.6%"
"=""2160012""","Regional School District 16",7,162,2531,2555,24,"36.4%","61.1%"
"=""2160012""","Regional School District 16",8,158,2539,2557,17,"42.4%","57.1%"
"=""2170012""","Regional School District 17",4,162,2467,2523,56,"53.7%","80.7%"
"=""2170012""","Regional School District 17",5,176,2483,2529,45,"57.4%","78.8%"
"=""2170012""","Regional School District 17",6,159,2538,2598,60,"72.3%","91.1%"
"=""2170012""","Regional School District 17",7,205,2536,2565,28,"43.9%","63.5%"
"=""2170012""","Regional School District 17",8,181,2565,2582,16,"46.4%","64.0%"
"=""2180012""","Regional School District 18",4,79,2504,2577,72,"77.2%","96.3%"
"=""2180012""","Regional School District 18",5,94,2548,2558,10,"31.9%","50.5%"
"=""2180012""","Regional School District 18",6,109,2567,2598,31,"47.7%","68.8%"
"=""2180012""","Regional School District 18",7,99,2582,2612,31,"56.6%","73.3%"
"=""2180012""","Regional School District 18",8,122,2596,2649,53,"76.2%","88.4%"
"=""1180011""","Ridgefield School District",4,309,2474,2530,56,"50.8%","80.7%"
"=""1180011""","Ridgefield School District",5,385,2508,2550,42,"56.4%","77.9%"
"=""1180011""","Ridgefield School District",6,363,2544,2567,23,"40.2%","59.6%"
"=""1180011""","Ridgefield School District",7,410,2561,2611,50,"70.0%","85.7%"
"=""1180011""","Ridgefield School District",8,385,2609,2633,24,"51.2%","66.6%"
"=""1190011""","Rocky Hill School District",4,169,2465,2528,62,"63.3%","89.7%"
"=""1190011""","Rocky Hill School District",5,175,2505,2558,53,"63.4%","83.6%"
"=""1190011""","Rocky Hill School District",6,171,2521,2541,20,"34.5%","55.5%"
"=""1190011""","Rocky Hill School District",7,193,2554,2569,15,"37.3%","56.8%"
"=""1190011""","Rocky Hill School District",8,182,2553,2575,22,"48.4%","62.3%"
"=""1210011""","Salem School District",4,37,2484,2573,90,"81.1%","100.0%"
"=""1210011""","Salem School District",5,54,2544,2553,9,"37.0%","50.1%"
"=""1210011""","Salem School District",6,31,2534,2558,24,"38.7%","63.0%"
"=""1210011""","Salem School District",7,39,2576,2606,30,"56.4%","70.4%"
"=""1210011""","Salem School District",8,34,2597,2612,15,"41.2%","63.3%"
"=""1220011""","Salisbury School District",4,19,"*","*","*","*","*"
"=""1220011""","Salisbury School District",5,21,2485,2549,64,"66.7%","89.0%"
"=""1220011""","Salisbury School District",6,39,2541,2576,35,"53.8%","71.8%"
"=""1220011""","Salisbury School District",7,19,"*","*","*","*","*"
"=""1220011""","Salisbury School District",8,27,2622,2661,38,"63.0%","76.0%"
"=""1230011""","Scotland School District",4,18,"*","*","*","*","*"
"=""1230011""","Scotland School District",5,13,"*","*","*","*","*"
"=""1230011""","Scotland School District",6,13,"*","*","*","*","*"
"=""1240011""","Seymour School District",4,141,2426,2482,56,"44.7%","75.8%"
"=""1240011""","Seymour School District",5,170,2476,2528,52,"63.5%","85.8%"
"=""1240011""","Seymour School District",6,173,2513,2535,22,"35.8%","56.4%"
"=""1240011""","Seymour School District",7,188,2530,2556,26,"44.1%","62.9%"
"=""1240011""","Seymour School District",8,183,2534,2572,38,"54.6%","72.4%"
"=""1250011""","Sharon School District",4,13,"*","*","*","*","*"
"=""1250011""","Sharon School District",5,15,"*","*","*","*","*"
"=""1250011""","Sharon School District",6,16,"*","*","*","*","*"
"=""1250011""","Sharon School District",7,15,"*","*","*","*","*"
"=""1250011""","Sharon School District",8,9,"*","*","*","*","*"
"=""1260011""","Shelton School District",4,336,2442,2510,68,"59.2%","87.2%"
"=""1260011""","Shelton School District",5,342,2490,2511,21,"28.9%","53.8%"
"=""1260011""","Shelton School District",6,351,2510,2562,52,"61.3%","81.2%"
"=""1260011""","Shelton School District",7,379,2543,2565,22,"40.9%","61.1%"
"=""1260011""","Shelton School District",8,432,2566,2600,34,"55.8%","70.3%"
"=""1270011""","Sherman School District",4,26,2426,2486,61,"57.7%","84.0%"
"=""1270011""","Sherman School District",5,21,2495,2553,58,"71.4%","95.1%"
"=""1270011""","Sherman School District",6,21,2509,2551,42,"47.6%","81.8%"
"=""1270011""","Sherman School District",7,14,"*","*","*","*","*"
"=""1270011""","Sherman School District",8,18,"*","*","*","*","*"
"=""2700013""","Side By Side Charter School District",4,23,2451,2466,14,"4.3%","32.7%"
"=""2700013""","Side By Side Charter School District",5,22,2467,2561,94,"86.4%","100.0%"
"=""2700013""","Side By Side Charter School District",6,20,2489,2544,55,"65.0%","84.1%"
"=""2700013""","Side By Side Charter School District",7,21,2521,2569,48,"61.9%","83.3%"
"=""2700013""","Side By Side Charter School District",8,21,2526,2571,45,"61.9%","77.6%"
"=""1280011""","Simsbury School District",4,278,2470,2512,42,"39.9%","69.4%"
"=""1280011""","Simsbury School District",5,281,2515,2561,46,"58.7%","80.2%"
"=""1280011""","Simsbury School District",6,321,2547,2578,31,"48.6%","67.2%"
"=""1280011""","Simsbury School District",7,318,2559,2587,28,"51.3%","69.7%"
"=""1280011""","Simsbury School District",8,346,2585,2630,45,"67.3%","82.2%"
"=""1290011""","Somers School District",4,112,2434,2481,47,"34.8%","71.8%"
"=""1290011""","Somers School District",5,98,2512,2552,40,"50.0%","76.3%"
"=""1290011""","Somers School District",6,111,2512,2555,44,"56.8%","75.8%"
"=""1290011""","Somers School District",7,120,2538,2569,31,"48.3%","68.2%"
"=""1290011""","Somers School District",8,94,2553,2580,27,"52.1%","68.8%"
"=""1320011""","South Windsor School District",4,283,2477,2534,57,"53.7%","84.3%"
"=""1320011""","South Windsor School District",5,303,2524,2557,33,"46.9%","67.0%"
"=""1320011""","South Windsor School District",6,289,2544,2578,34,"47.1%","66.9%"
"=""1320011""","South Windsor School District",7,301,2567,2612,45,"65.4%","83.8%"
"=""1320011""","South Windsor School District",8,331,2601,2634,34,"60.7%","75.5%"
"=""1310011""","Southington School District",4,461,2464,2504,41,"38.8%","68.2%"
"=""1310011""","Southington School District",5,518,2499,2528,29,"40.3%","63.5%"
"=""1310011""","Southington School District",6,475,2531,2543,12,"28.2%","47.0%"
"=""1310011""","Southington School District",7,505,2544,2568,24,"40.8%","60.7%"
"=""1310011""","Southington School District",8,542,2565,2591,26,"46.7%","64.5%"
"=""1330011""","Sprague School District",4,26,2410,2448,38,"23.1%","56.8%"
"=""1330011""","Sprague School District",5,27,2458,2491,33,"37.0%","69.6%"
"=""1330011""","Sprague School District",6,35,2501,2538,36,"45.7%","66.0%"
"=""1330011""","Sprague School District",7,36,2489,2513,24,"33.3%","56.0%"
"=""1330011""","Sprague School District",8,41,2551,2568,18,"36.6%","53.0%"
"=""1340011""","Stafford School District",4,127,2450,2491,41,"28.3%","67.2%"
"=""1340011""","Stafford School District",5,104,2487,2519,32,"44.2%","70.2%"
"=""1340011""","Stafford School District",6,91,2519,2533,14,"29.7%","49.3%"
"=""1340011""","Stafford School District",7,107,2540,2575,35,"50.5%","73.3%"
"=""1340011""","Stafford School District",8,107,2558,2582,24,"43.9%","61.2%"
"=""1350011""","Stamford School District",4,1176,2420,2470,50,"42.1%","73.5%"
