"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1010011""","North Haven School District","Math","ELL",14,"*","*"
"=""1010011""","North Haven School District","Math","Non-ELL",1116,"69.8%","90.7%"
"=""1020011""","North Stonington School District","ELA","Non-ELL",264,"49.2%","66.0%"
"=""1020011""","North Stonington School District","Math","Non-ELL",264,"49.2%","67.5%"
"=""1030011""","Norwalk School District","ELA","ELL",435,"26.7%","54.7%"
"=""1030011""","Norwalk School District","ELA","Non-ELL",3414,"36.8%","57.7%"
"=""1030011""","Norwalk School District","Math","ELL",504,"34.3%","55.3%"
"=""1030011""","Norwalk School District","Math","Non-ELL",3411,"37.6%","59.1%"
"=""1040011""","Norwich School District","ELA","ELL",176,"36.4%","62.1%"
"=""1040011""","Norwich School District","ELA","Non-ELL",1453,"38.1%","60.2%"
"=""1040011""","Norwich School District","Math","ELL",192,"40.1%","61.3%"
"=""1040011""","Norwich School District","Math","Non-ELL",1451,"37.4%","59.5%"
"=""2630013""","Odyssey Community School District","ELA","ELL","*","*","*"
"=""2630013""","Odyssey Community School District","ELA","Non-ELL","*","36.6%","62.0%"
"=""2630013""","Odyssey Community School District","Math","ELL","*","*","*"
"=""2630013""","Odyssey Community School District","Math","Non-ELL","*","33.7%","54.7%"
"=""1060011""","Old Saybrook School District","ELA","ELL",6,"*","*"
"=""1060011""","Old Saybrook School District","ELA","Non-ELL",495,"45.3%","65.1%"
"=""1060011""","Old Saybrook School District","Math","ELL",6,"*","*"
"=""1060011""","Old Saybrook School District","Math","Non-ELL",497,"49.3%","70.7%"
"=""1070011""","Orange School District","ELA","ELL","*","*","*"
"=""1070011""","Orange School District","ELA","Non-ELL","*","53.8%","73.9%"
"=""1070011""","Orange School District","Math","ELL",6,"*","*"
"=""1070011""","Orange School District","Math","Non-ELL",508,"50.2%","74.3%"
"=""1080011""","Oxford School District","ELA","ELL",11,"*","*"
"=""1080011""","Oxford School District","ELA","Non-ELL",765,"39.5%","57.3%"
"=""1080011""","Oxford School District","Math","ELL",11,"*","*"
"=""1080011""","Oxford School District","Math","Non-ELL",764,"47.9%","70.6%"
"=""2830013""","Park City Prep Charter School District","ELA","ELL","*","*","*"
"=""2830013""","Park City Prep Charter School District","ELA","Non-ELL","*","46.2%","70.6%"
"=""2830013""","Park City Prep Charter School District","Math","ELL","*","*","*"
"=""2830013""","Park City Prep Charter School District","Math","Non-ELL","*","57.8%","77.3%"
"=""1090011""","Plainfield School District","ELA","ELL",6,"*","*"
"=""1090011""","Plainfield School District","ELA","Non-ELL",796,"47.7%","70.7%"
"=""1090011""","Plainfield School District","Math","ELL",6,"*","*"
"=""1090011""","Plainfield School District","Math","Non-ELL",793,"56.2%","79.7%"
"=""1100011""","Plainville School District","ELA","ELL",27,"33.3%","64.4%"
"=""1100011""","Plainville School District","ELA","Non-ELL",829,"43.2%","65.8%"
"=""1100011""","Plainville School District","Math","ELL",28,"17.9%","53.2%"
"=""1100011""","Plainville School District","Math","Non-ELL",828,"40.5%","64.1%"
"=""1110011""","Plymouth School District","ELA","ELL","*","*","*"
"=""1110011""","Plymouth School District","ELA","Non-ELL","*","43.9%","64.0%"
"=""1110011""","Plymouth School District","Math","ELL",7,"*","*"
"=""1110011""","Plymouth School District","Math","Non-ELL",532,"49.8%","73.8%"
"=""1120011""","Pomfret School District","ELA","ELL","*","*","*"
"=""1120011""","Pomfret School District","ELA","Non-ELL","*","51.4%","70.2%"
"=""1120011""","Pomfret School District","Math","ELL","*","*","*"
"=""1120011""","Pomfret School District","Math","Non-ELL","*","49.1%","68.4%"
"=""1130011""","Portland School District","ELA","ELL","*","*","*"
"=""1130011""","Portland School District","ELA","Non-ELL","*","48.9%","68.0%"
"=""1130011""","Portland School District","Math","ELL","*","*","*"
"=""1130011""","Portland School District","Math","Non-ELL","*","47.5%","70.5%"
"=""1140011""","Preston School District","ELA","ELL","*","*","*"
"=""1140011""","Preston School District","ELA","Non-ELL","*","36.8%","55.4%"
"=""1140011""","Preston School District","Math","ELL","*","*","*"
"=""1140011""","Preston School District","Math","Non-ELL","*","42.2%","62.2%"
"=""1160011""","Putnam School District","ELA","ELL",7,"*","*"
"=""1160011""","Putnam School District","ELA","Non-ELL",388,"43.8%","64.0%"
"=""1160011""","Putnam School District","Math","ELL",8,"*","*"
"=""1160011""","Putnam School District","Math","Non-ELL",387,"48.3%","69.8%"
"=""1170011""","Redding School District","ELA","ELL","*","*","*"
"=""1170011""","Redding School District","ELA","Non-ELL","*","51.6%","69.1%"
"=""1170011""","Redding School District","Math","ELL","*","*","*"
"=""1170011""","Redding School District","Math","Non-ELL","*","55.6%","74.9%"
"=""2010012""","Regional School District 01","ELA","Non-ELL","*","*","*"
"=""2010012""","Regional School District 01","Math","Non-ELL","*","*","*"
"=""2040012""","Regional School District 04","ELA","Non-ELL",300,"42.7%","57.5%"
"=""2040012""","Regional School District 04","Math","ELL","*","*","*"
"=""2040012""","Regional School District 04","Math","Non-ELL","*","41.5%","59.0%"
"=""2050012""","Regional School District 05","ELA","ELL","*","*","*"
"=""2050012""","Regional School District 05","ELA","Non-ELL","*","50.8%","69.2%"
"=""2050012""","Regional School District 05","Math","ELL","*","*","*"
"=""2050012""","Regional School District 05","Math","Non-ELL","*","58.1%","74.0%"
"=""2060012""","Regional School District 06","ELA","ELL","*","*","*"
"=""2060012""","Regional School District 06","ELA","Non-ELL","*","45.7%","63.4%"
"=""2060012""","Regional School District 06","Math","ELL","*","*","*"
"=""2060012""","Regional School District 06","Math","Non-ELL","*","40.7%","59.9%"
"=""2070012""","Regional School District 07","ELA","Non-ELL",289,"47.1%","63.7%"
"=""2070012""","Regional School District 07","Math","Non-ELL",286,"59.4%","76.4%"
"=""2080012""","Regional School District 08","ELA","Non-ELL",549,"36.8%","53.8%"
"=""2080012""","Regional School District 08","Math","Non-ELL",549,"42.4%","59.4%"
"=""2100012""","Regional School District 10","ELA","ELL",9,"*","*"
"=""2100012""","Regional School District 10","ELA","Non-ELL",902,"42.9%","63.1%"
"=""2100012""","Regional School District 10","Math","ELL",9,"*","*"
"=""2100012""","Regional School District 10","Math","Non-ELL",902,"40.4%","60.1%"
"=""2110012""","Regional School District 11","ELA","Non-ELL",82,"47.6%","65.3%"
"=""2110012""","Regional School District 11","Math","Non-ELL",80,"47.5%","67.2%"
"=""2120012""","Regional School District 12","ELA","ELL","*","*","*"
"=""2120012""","Regional School District 12","ELA","Non-ELL","*","54.2%","75.6%"
"=""2120012""","Regional School District 12","Math","ELL","*","*","*"
"=""2120012""","Regional School District 12","Math","Non-ELL","*","62.7%","83.5%"
"=""2130012""","Regional School District 13","ELA","Non-ELL",670,"47.3%","69.3%"
"=""2130012""","Regional School District 13","Math","Non-ELL",669,"47.1%","69.5%"
"=""2140012""","Regional School District 14","ELA","ELL",8,"*","*"
"=""2140012""","Regional School District 14","ELA","Non-ELL",535,"39.1%","60.3%"
"=""2140012""","Regional School District 14","Math","ELL",8,"*","*"
"=""2140012""","Regional School District 14","Math","Non-ELL",534,"33.9%","55.7%"
"=""2150012""","Regional School District 15","ELA","ELL","*","*","*"
"=""2150012""","Regional School District 15","ELA","Non-ELL","*","51.4%","71.0%"
"=""2150012""","Regional School District 15","Math","ELL","*","*","*"
"=""2150012""","Regional School District 15","Math","Non-ELL","*","51.7%","72.3%"
"=""2160012""","Regional School District 16","ELA","ELL",8,"*","*"
"=""2160012""","Regional School District 16","ELA","Non-ELL",790,"43.8%","65.9%"
"=""2160012""","Regional School District 16","Math","ELL",8,"*","*"
"=""2160012""","Regional School District 16","Math","Non-ELL",770,"41.2%","63.2%"
"=""2170012""","Regional School District 17","ELA","ELL","*","*","*"
"=""2170012""","Regional School District 17","ELA","Non-ELL","*","51.2%","69.7%"
"=""2170012""","Regional School District 17","Math","ELL","*","*","*"
"=""2170012""","Regional School District 17","Math","Non-ELL","*","54.0%","74.8%"
"=""2180012""","Regional School District 18","ELA","ELL","*","*","*"
"=""2180012""","Regional School District 18","ELA","Non-ELL","*","51.9%","69.5%"
"=""2180012""","Regional School District 18","Math","ELL","*","*","*"
"=""2180012""","Regional School District 18","Math","Non-ELL","*","58.2%","75.5%"
"=""1180011""","Ridgefield School District","ELA","ELL","*","*","*"
"=""1180011""","Ridgefield School District","ELA","Non-ELL","*","51.9%","68.4%"
"=""1180011""","Ridgefield School District","Math","ELL",9,"*","*"
"=""1180011""","Ridgefield School District","Math","Non-ELL",1843,"54.2%","74.1%"
"=""1190011""","Rocky Hill School District","ELA","ELL",26,"46.2%","70.4%"
"=""1190011""","Rocky Hill School District","ELA","Non-ELL",860,"44.1%","62.4%"
"=""1190011""","Rocky Hill School District","Math","ELL",31,"45.2%","66.6%"
"=""1190011""","Rocky Hill School District","Math","Non-ELL",859,"49.2%","69.3%"
"=""1210011""","Salem School District","ELA","Non-ELL",195,"58.5%","78.7%"
"=""1210011""","Salem School District","Math","Non-ELL",195,"50.3%","68.6%"
"=""1220011""","Salisbury School District","ELA","Non-ELL",125,"47.2%","62.4%"
"=""1220011""","Salisbury School District","Math","Non-ELL",125,"56.0%","76.0%"
"=""1230011""","Scotland School District","ELA","Non-ELL",44,"61.4%","78.3%"
"=""1230011""","Scotland School District","Math","Non-ELL",44,"34.1%","62.8%"
"=""1240011""","Seymour School District","ELA","ELL",11,"*","*"
"=""1240011""","Seymour School District","ELA","Non-ELL",845,"38.0%","57.2%"
"=""1240011""","Seymour School District","Math","ELL",11,"*","*"
"=""1240011""","Seymour School District","Math","Non-ELL",844,"48.6%","70.4%"
"=""1250011""","Sharon School District","ELA","Non-ELL",68,"44.1%","66.0%"
"=""1250011""","Sharon School District","Math","Non-ELL",68,"50.0%","66.9%"
"=""1260011""","Shelton School District","ELA","ELL",38,"23.7%","60.2%"
"=""1260011""","Shelton School District","ELA","Non-ELL",1800,"50.8%","69.4%"
"=""1260011""","Shelton School District","Math","ELL",39,"41.0%","63.4%"
"=""1260011""","Shelton School District","Math","Non-ELL",1801,"49.6%","70.6%"
"=""1270011""","Sherman School District","ELA","ELL","*","*","*"
"=""1270011""","Sherman School District","ELA","Non-ELL","*","48.0%","70.0%"
"=""1270011""","Sherman School District","Math","ELL","*","*","*"
"=""1270011""","Sherman School District","Math","Non-ELL","*","52.5%","78.7%"
"=""2700013""","Side By Side Charter School District","ELA","ELL","*","*","*"
"=""2700013""","Side By Side Charter School District","ELA","Non-ELL","*","40.0%","60.7%"
"=""2700013""","Side By Side Charter School District","Math","ELL","*","*","*"
"=""2700013""","Side By Side Charter School District","Math","Non-ELL","*","55.8%","76.2%"
"=""1280011""","Simsbury School District","ELA","ELL",7,"*","*"
"=""1280011""","Simsbury School District","ELA","Non-ELL",1547,"56.1%","74.2%"
"=""1280011""","Simsbury School District","Math","ELL",10,"*","*"
"=""1280011""","Simsbury School District","Math","Non-ELL",1534,"53.7%","73.9%"
"=""1290011""","Somers School District","ELA","Non-ELL",536,"46.8%","66.6%"
"=""1290011""","Somers School District","Math","Non-ELL",535,"48.2%","72.1%"
"=""1320011""","South Windsor School District","ELA","ELL",24,"45.8%","71.6%"
"=""1320011""","South Windsor School District","ELA","Non-ELL",1488,"49.7%","67.8%"
"=""1320011""","South Windsor School District","Math","ELL",24,"41.7%","68.5%"
"=""1320011""","South Windsor School District","Math","Non-ELL",1483,"55.2%","75.6%"
"=""1310011""","Southington School District","ELA","ELL",12,"*","*"
"=""1310011""","Southington School District","ELA","Non-ELL",2492,"39.6%","59.5%"
"=""1310011""","Southington School District","Math","ELL",13,"*","*"
"=""1310011""","Southington School District","Math","Non-ELL",2488,"39.3%","60.8%"
"=""1330011""","Sprague School District","ELA","Non-ELL",164,"42.7%","61.8%"
"=""1330011""","Sprague School District","Math","ELL","*","*","*"
"=""1330011""","Sprague School District","Math","Non-ELL","*","36.0%","60.0%"
"=""1340011""","Stafford School District","ELA","ELL","*","*","*"
"=""1340011""","Stafford School District","ELA","Non-ELL","*","44.9%","66.2%"
"=""1340011""","Stafford School District","Math","ELL","*","*","*"
"=""1340011""","Stafford School District","Math","Non-ELL","*","39.1%","64.7%"
"=""1350011""","Stamford School District","ELA","ELL",543,"33.1%","59.7%"
"=""1350011""","Stamford School District","ELA","Non-ELL",4695,"42.6%","63.4%"
"=""1350011""","Stamford School District","Math","ELL",615,"36.9%","58.0%"
"=""1350011""","Stamford School District","Math","Non-ELL",4696,"40.1%","62.0%"
"=""0000000""","State of Connecticut","ELA","ELL",8814,"32.4%","58.6%"
"=""0000000""","State of Connecticut","ELA","Non-ELL",176531,"43.7%","64.0%"
"=""0000000""","State of Connecticut","Math","ELL",9775,"37.4%","59.5%"
"=""0000000""","State of Connecticut","Math","Non-ELL",176089,"44.2%","65.3%"
"=""1360011""","Sterling School District","ELA","Non-ELL",227,"41.4%","64.4%"
"=""1360011""","Sterling School District","Math","Non-ELL",226,"45.6%","66.5%"
"=""1370011""","Stonington School District","ELA","ELL","*","*","*"
"=""1370011""","Stonington School District","ELA","Non-ELL","*","45.3%","61.6%"
"=""1370011""","Stonington School District","Math","ELL","*","*","*"
"=""1370011""","Stonington School District","Math","Non-ELL","*","47.7%","69.2%"
"=""1380011""","Stratford School District","ELA","ELL",94,"33.0%","63.9%"
"=""1380011""","Stratford School District","ELA","Non-ELL",2448,"39.5%","60.4%"
"=""1380011""","Stratford School District","Math","ELL",98,"49.0%","71.9%"
"=""1380011""","Stratford School District","Math","Non-ELL",2442,"44.7%","65.1%"
"=""1390011""","Suffield School District","ELA","ELL","*","*","*"
"=""1390011""","Suffield School District","ELA","Non-ELL","*","43.4%","61.2%"
"=""1390011""","Suffield School District","Math","ELL","*","*","*"
"=""1390011""","Suffield School District","Math","Non-ELL","*","42.3%","63.7%"
"=""2690013""","The Bridge Academy District","ELA","ELL","*","*","*"
"=""2690013""","The Bridge Academy District","ELA","Non-ELL","*","25.0%","44.3%"
"=""2690013""","The Bridge Academy District","Math","ELL","*","*","*"
"=""2690013""","The Bridge Academy District","Math","Non-ELL","*","50.0%","71.1%"
"=""9020022""","The Gilbert School District","ELA","ELL","*","*","*"
"=""9020022""","The Gilbert School District","ELA","Non-ELL","*","27.7%","44.3%"
"=""9020022""","The Gilbert School District","Math","ELL","*","*","*"
"=""9020022""","The Gilbert School District","Math","Non-ELL","*","37.0%","53.8%"
"=""1400011""","Thomaston School District","ELA","ELL","*","*","*"
"=""1400011""","Thomaston School District","ELA","Non-ELL","*","39.7%","64.3%"
"=""1400011""","Thomaston School District","Math","ELL","*","*","*"
"=""1400011""","Thomaston School District","Math","Non-ELL","*","38.1%","60.2%"
"=""1410011""","Thompson School District","ELA","ELL","*","*","*"
"=""1410011""","Thompson School District","ELA","Non-ELL","*","25.1%","44.5%"
"=""1410011""","Thompson School District","Math","ELL","*","*","*"
"=""1410011""","Thompson School District","Math","Non-ELL","*","27.2%","48.8%"
"=""1420011""","Tolland School District","ELA","ELL","*","*","*"
"=""1420011""","Tolland School District","ELA","Non-ELL","*","45.9%","64.7%"
"=""1420011""","Tolland School District","Math","ELL","*","*","*"
"=""1420011""","Tolland School District","Math","Non-ELL","*","48.7%","70.1%"
"=""1430011""","Torrington School District","ELA","ELL",80,"28.8%","56.0%"
"=""1430011""","Torrington School District","ELA","Non-ELL",1421,"31.0%","51.3%"
"=""1430011""","Torrington School District","Math","ELL",84,"28.6%","46.7%"
"=""1430011""","Torrington School District","Math","Non-ELL",1415,"31.8%","53.7%"
"=""2780013""","Trailblazers Academy District","ELA","ELL","*","*","*"
"=""2780013""","Trailblazers Academy District","ELA","Non-ELL","*","21.2%","41.3%"
"=""2780013""","Trailblazers Academy District","Math","ELL","*","*","*"
"=""2780013""","Trailblazers Academy District","Math","Non-ELL","*","19.8%","33.8%"
"=""1440011""","Trumbull School District","ELA","ELL",15,"*","*"
"=""1440011""","Trumbull School District","ELA","Non-ELL",2326,"68.9%","86.7%"
"=""1440011""","Trumbull School District","Math","ELL",18,"*","*"
"=""1440011""","Trumbull School District","Math","Non-ELL",2328,"69.8%","89.1%"
"=""3470015""","Unified School District #2","ELA","Non-ELL","*","*","*"
"=""3470015""","Unified School District #2","Math","Non-ELL","*","*","*"
"=""1450011""","Union School District","ELA","Non-ELL",39,"46.2%","63.9%"
"=""1450011""","Union School District","Math","Non-ELL",39,"56.4%","73.9%"
"=""1460011""","Vernon School District","ELA","ELL",22,"31.8%","54.2%"
"=""1460011""","Vernon School District","ELA","Non-ELL",1053,"40.5%","60.8%"
"=""1460011""","Vernon School District","Math","ELL",23,"39.1%","65.3%"
"=""1460011""","Vernon School District","Math","Non-ELL",1049,"42.9%","66.1%"
"=""1470011""","Voluntown School District","ELA","Non-ELL",144,"36.8%","58.4%"
"=""1470011""","Voluntown School District","Math","Non-ELL",144,"50.0%","75.2%"
"=""1480011""","Wallingford School District","ELA","ELL",92,"30.4%","58.2%"
"=""1480011""","Wallingford School District","ELA","Non-ELL",2073,"45.0%","66.2%"
"=""1480011""","Wallingford School District","Math","ELL",96,"38.5%","59.3%"
"=""1480011""","Wallingford School District","Math","Non-ELL",2074,"37.9%","60.5%"
"=""1510011""","Waterbury School District","ELA","ELL",708,"31.8%","56.9%"
"=""1510011""","Waterbury School District","ELA","Non-ELL",5589,"33.4%","57.0%"
"=""1510011""","Waterbury School District","Math","ELL",762,"33.1%","54.1%"
"=""1510011""","Waterbury School District","Math","Non-ELL",5592,"30.2%","51.2%"
"=""1520011""","Waterford School District","ELA","ELL",12,"*","*"
"=""1520011""","Waterford School District","ELA","Non-ELL",956,"44.2%","63.8%"
"=""1520011""","Waterford School District","Math","ELL",14,"*","*"
"=""1520011""","Waterford School District","Math","Non-ELL",955,"46.6%","66.8%"
"=""1530011""","Watertown School District","ELA","ELL",18,"*","*"
"=""1530011""","Watertown School District","ELA","Non-ELL",1027,"46.0%","68.0%"
"=""1530011""","Watertown School District","Math","ELL",18,"*","*"
"=""1530011""","Watertown School District","Math","Non-ELL",1027,"36.9%","59.5%"
"=""1550011""","West Hartford School District","ELA","ELL",124,"34.7%","58.2%"
"=""1550011""","West Hartford School District","ELA","Non-ELL",3374,"44.7%","62.6%"
"=""1550011""","West Hartford School District","Math","ELL",132,"40.9%","65.6%"
"=""1550011""","West Hartford School District","Math","Non-ELL",3362,"46.1%","65.8%"
"=""1560011""","West Haven School District","ELA","ELL",171,"32.7%","56.1%"
"=""1560011""","West Haven School District","ELA","Non-ELL",1832,"38.9%","61.6%"
"=""1560011""","West Haven School District","Math","ELL",184,"42.4%","66.4%"
"=""1560011""","West Haven School District","Math","Non-ELL",1830,"47.5%","69.8%"
"=""1540011""","Westbrook School District","ELA","ELL",7,"*","*"
"=""1540011""","Westbrook School District","ELA","Non-ELL",251,"51.0%","71.5%"
"=""1540011""","Westbrook School District","Math","ELL",9,"*","*"
"=""1540011""","Westbrook School District","Math","Non-ELL",251,"60.2%","81.6%"
"=""1570011""","Weston School District","ELA","ELL","*","*","*"
"=""1570011""","Weston School District","ELA","Non-ELL","*","49.1%","68.9%"
"=""1570011""","Weston School District","Math","ELL","*","*","*"
"=""1570011""","Weston School District","Math","Non-ELL","*","46.2%","66.0%"
"=""1580011""","Westport School District","ELA","ELL","*","*","*"
"=""1580011""","Westport School District","ELA","Non-ELL","*","46.8%","63.8%"
"=""1580011""","Westport School District","Math","ELL",6,"*","*"
"=""1580011""","Westport School District","Math","Non-ELL",2057,"50.6%","69.4%"
"=""1590011""","Wethersfield School District","ELA","ELL",74,"51.4%","73.1%"
"=""1590011""","Wethersfield School District","ELA","Non-ELL",1209,"55.3%","74.1%"
"=""1590011""","Wethersfield School District","Math","ELL",75,"52.0%","72.2%"
"=""1590011""","Wethersfield School District","Math","Non-ELL",1208,"60.3%","80.4%"
"=""1600011""","Willington School District","ELA","ELL","*","*","*"
"=""1600011""","Willington School District","ELA","Non-ELL","*","47.9%","69.5%"
"=""1600011""","Willington School District","Math","ELL","*","*","*"
"=""1600011""","Willington School District","Math","Non-ELL","*","46.1%","70.5%"
"=""1610011""","Wilton School District","ELA","ELL","*","*","*"
"=""1610011""","Wilton School District","ELA","Non-ELL","*","56.2%","74.6%"
"=""1610011""","Wilton School District","Math","ELL","*","*","*"
"=""1610011""","Wilton School District","Math","Non-ELL","*","60.0%","80.5%"
"=""1620011""","Winchester School District","ELA","ELL",9,"*","*"
"=""1620011""","Winchester School District","ELA","Non-ELL",208,"40.4%","63.3%"
"=""1620011""","Winchester School District","Math","ELL",11,"*","*"
"=""1620011""","Winchester School District","Math","Non-ELL",207,"36.2%","58.0%"
"=""1630011""","Windham School District","ELA","ELL",245,"36.7%","61.4%"
"=""1630011""","Windham School District","ELA","Non-ELL",884,"45.8%","68.5%"
"=""1630011""","Windham School District","Math","ELL",258,"34.1%","58.8%"
"=""1630011""","Windham School District","Math","Non-ELL",872,"45.1%","66.5%"
"=""1650011""","Windsor Locks School District","ELA","ELL",18,"*","*"
"=""1650011""","Windsor Locks School District","ELA","Non-ELL",564,"44.0%","67.0%"
"=""1650011""","Windsor Locks School District","Math","ELL",18,"*","*"
"=""1650011""","Windsor Locks School District","Math","Non-ELL",550,"45.5%","65.9%"
"=""1640011""","Windsor School District","ELA","ELL",23,"34.8%","47.7%"
"=""1640011""","Windsor School District","ELA","Non-ELL",1001,"35.4%","56.1%"
"=""1640011""","Windsor School District","Math","ELL",26,"53.8%","75.1%"
"=""1640011""","Windsor School District","Math","Non-ELL",999,"39.3%","63.6%"
"=""1660011""","Wolcott School District","ELA","ELL",8,"*","*"
"=""1660011""","Wolcott School District","ELA","Non-ELL",891,"44.6%","64.1%"
"=""1660011""","Wolcott School District","Math","ELL",8,"*","*"
"=""1660011""","Wolcott School District","Math","Non-ELL",891,"50.3%","72.3%"
"=""1670011""","Woodbridge School District","ELA","ELL","*","*","*"
"=""1670011""","Woodbridge School District","ELA","Non-ELL","*","64.2%","82.0%"
"=""1670011""","Woodbridge School District","Math","ELL",6,"*","*"
"=""1670011""","Woodbridge School District","Math","Non-ELL",280,"65.4%","87.1%"
"=""1690011""","Woodstock School District","ELA","Non-ELL",457,"42.2%","60.6%"
"=""1690011""","Woodstock School District","Math","Non-ELL",457,"37.2%","58.7%"

