"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0850011""","Monroe School District","ELA","Special Education",132,"23.5%","38.6%"
"=""0850011""","Monroe School District","ELA","Non-Special Education",1050,"52.3%","67.9%"
"=""0850011""","Monroe School District","Math","Special Education",132,"41.7%","62.9%"
"=""0850011""","Monroe School District","Math","Non-Special Education",1049,"50.6%","71.8%"
"=""0860011""","Montville School District","ELA","Special Education",111,"30.6%","57.8%"
"=""0860011""","Montville School District","ELA","Non-Special Education",721,"46.7%","66.4%"
"=""0860011""","Montville School District","Math","Special Education",111,"39.6%","62.4%"
"=""0860011""","Montville School District","Math","Non-Special Education",722,"46.8%","68.9%"
"=""0880011""","Naugatuck School District","ELA","Special Education",243,"31.3%","58.5%"
"=""0880011""","Naugatuck School District","ELA","Non-Special Education",1290,"43.8%","65.7%"
"=""0880011""","Naugatuck School District","Math","Special Education",240,"25.0%","45.7%"
"=""0880011""","Naugatuck School District","Math","Non-Special Education",1298,"34.6%","56.3%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Special Education",17,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Non-Special Education",152,"34.2%","56.3%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Special Education",17,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Non-Special Education",152,"30.9%","53.9%"
"=""0890011""","New Britain School District","ELA","Special Education",500,"23.4%","49.3%"
"=""0890011""","New Britain School District","ELA","Non-Special Education",2618,"29.9%","52.0%"
"=""0890011""","New Britain School District","Math","Special Education",504,"28.4%","48.1%"
"=""0890011""","New Britain School District","Math","Non-Special Education",2639,"24.2%","44.1%"
"=""0900011""","New Canaan School District","ELA","Special Education",160,"41.9%","62.4%"
"=""0900011""","New Canaan School District","ELA","Non-Special Education",1396,"54.1%","69.4%"
"=""0900011""","New Canaan School District","Math","Special Education",159,"44.7%","67.2%"
"=""0900011""","New Canaan School District","Math","Non-Special Education",1399,"61.3%","78.9%"
"=""0910011""","New Fairfield School District","ELA","Special Education",61,"44.3%","65.5%"
"=""0910011""","New Fairfield School District","ELA","Non-Special Education",734,"51.5%","71.6%"
"=""0910011""","New Fairfield School District","Math","Special Education",57,"49.1%","63.9%"
"=""0910011""","New Fairfield School District","Math","Non-Special Education",722,"59.1%","80.7%"
"=""0920011""","New Hartford School District","ELA","Special Education",21,"28.6%","63.7%"
"=""0920011""","New Hartford School District","ELA","Non-Special Education",176,"44.9%","66.8%"
"=""0920011""","New Hartford School District","Math","Special Education",21,"33.3%","66.4%"
"=""0920011""","New Hartford School District","Math","Non-Special Education",175,"32.0%","55.7%"
"=""0930011""","New Haven School District","ELA","Special Education",921,"27.8%","53.2%"
"=""0930011""","New Haven School District","ELA","Non-Special Education",5804,"40.6%","64.9%"
"=""0930011""","New Haven School District","Math","Special Education",918,"35.1%","56.2%"
"=""0930011""","New Haven School District","Math","Non-Special Education",5878,"41.8%","64.6%"
"=""0950011""","New London School District","ELA","Special Education",156,"29.5%","54.9%"
"=""0950011""","New London School District","ELA","Non-Special Education",837,"32.3%","53.7%"
"=""0950011""","New London School District","Math","Special Education",156,"29.5%","50.1%"
"=""0950011""","New London School District","Math","Non-Special Education",856,"26.6%","49.4%"
"=""0960011""","New Milford School District","ELA","Special Education",182,"36.3%","57.7%"
"=""0960011""","New Milford School District","ELA","Non-Special Education",1287,"40.9%","61.6%"
"=""0960011""","New Milford School District","Math","Special Education",178,"33.1%","50.3%"
"=""0960011""","New Milford School District","Math","Non-Special Education",1262,"45.7%","66.6%"
"=""0940011""","Newington School District","ELA","Special Education",160,"24.4%","44.7%"
"=""0940011""","Newington School District","ELA","Non-Special Education",1361,"38.8%","59.8%"
"=""0940011""","Newington School District","Math","Special Education",160,"21.9%","40.6%"
"=""0940011""","Newington School District","Math","Non-Special Education",1362,"39.5%","58.2%"
"=""0970011""","Newtown School District","ELA","Special Education",150,"34.0%","55.1%"
"=""0970011""","Newtown School District","ELA","Non-Special Education",1554,"47.0%","64.8%"
"=""0970011""","Newtown School District","Math","Special Education",150,"37.3%","60.6%"
"=""0970011""","Newtown School District","Math","Non-Special Education",1553,"61.2%","79.7%"
"=""0980011""","Norfolk School District","ELA","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","ELA","Non-Special Education",35,"51.4%","74.1%"
"=""0980011""","Norfolk School District","Math","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","Math","Non-Special Education",35,"57.1%","77.4%"
"=""0990011""","North Branford School District","ELA","Special Education",102,"25.5%","53.0%"
"=""0990011""","North Branford School District","ELA","Non-Special Education",603,"46.3%","66.3%"
"=""0990011""","North Branford School District","Math","Special Education",102,"37.3%","56.0%"
"=""0990011""","North Branford School District","Math","Non-Special Education",603,"46.9%","67.9%"
"=""1000011""","North Canaan School District","ELA","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","ELA","Non-Special Education",99,"61.6%","82.1%"
"=""1000011""","North Canaan School District","Math","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","Math","Non-Special Education",99,"52.5%","76.4%"
"=""1010011""","North Haven School District","ELA","Special Education",121,"48.8%","77.1%"
"=""1010011""","North Haven School District","ELA","Non-Special Education",1007,"69.1%","88.6%"
"=""1010011""","North Haven School District","Math","Special Education",121,"52.9%","74.2%"
"=""1010011""","North Haven School District","Math","Non-Special Education",1009,"71.8%","92.7%"
"=""1020011""","North Stonington School District","ELA","Special Education",11,"*","*"
"=""1020011""","North Stonington School District","ELA","Non-Special Education",253,"49.4%","66.1%"
"=""1020011""","North Stonington School District","Math","Special Education",11,"*","*"
"=""1020011""","North Stonington School District","Math","Non-Special Education",253,"48.6%","67.4%"
"=""1030011""","Norwalk School District","ELA","Special Education",503,"25.0%","49.3%"
"=""1030011""","Norwalk School District","ELA","Non-Special Education",3346,"37.2%","58.5%"
"=""1030011""","Norwalk School District","Math","Special Education",502,"27.3%","45.0%"
"=""1030011""","Norwalk School District","Math","Non-Special Education",3413,"38.6%","60.6%"
"=""1040011""","Norwich School District","ELA","Special Education",247,"29.1%","55.0%"
"=""1040011""","Norwich School District","ELA","Non-Special Education",1382,"39.4%","61.4%"
"=""1040011""","Norwich School District","Math","Special Education",248,"28.6%","50.4%"
"=""1040011""","Norwich School District","Math","Non-Special Education",1395,"39.3%","61.3%"
"=""2630013""","Odyssey Community School District","ELA","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","ELA","Non-Special Education",159,"38.4%","62.5%"
"=""2630013""","Odyssey Community School District","Math","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","Math","Non-Special Education",159,"34.0%","55.6%"
"=""1060011""","Old Saybrook School District","ELA","Special Education",62,"41.9%","60.4%"
"=""1060011""","Old Saybrook School District","ELA","Non-Special Education",439,"46.0%","66.1%"
"=""1060011""","Old Saybrook School District","Math","Special Education",60,"40.0%","58.8%"
"=""1060011""","Old Saybrook School District","Math","Non-Special Education",443,"50.3%","72.2%"
"=""1070011""","Orange School District","ELA","Special Education",34,"29.4%","54.9%"
"=""1070011""","Orange School District","ELA","Non-Special Education",475,"55.6%","75.3%"
"=""1070011""","Orange School District","Math","Special Education",34,"26.5%","51.9%"
"=""1070011""","Orange School District","Math","Non-Special Education",480,"51.9%","75.8%"
"=""1080011""","Oxford School District","ELA","Special Education",90,"21.1%","49.1%"
"=""1080011""","Oxford School District","ELA","Non-Special Education",686,"41.5%","58.3%"
"=""1080011""","Oxford School District","Math","Special Education",89,"31.5%","52.7%"
"=""1080011""","Oxford School District","Math","Non-Special Education",686,"50.3%","73.0%"
"=""2830013""","Park City Prep Charter School District","ELA","Special Education",23,"8.7%","41.6%"
"=""2830013""","Park City Prep Charter School District","ELA","Non-Special Education",314,"49.0%","72.9%"
"=""2830013""","Park City Prep Charter School District","Math","Special Education",23,"30.4%","45.0%"
"=""2830013""","Park City Prep Charter School District","Math","Non-Special Education",313,"59.4%","79.4%"
"=""1090011""","Plainfield School District","ELA","Special Education",94,"46.8%","68.4%"
"=""1090011""","Plainfield School District","ELA","Non-Special Education",708,"48.0%","71.1%"
"=""1090011""","Plainfield School District","Math","Special Education",95,"47.4%","71.3%"
"=""1090011""","Plainfield School District","Math","Non-Special Education",704,"57.5%","80.7%"
"=""1100011""","Plainville School District","ELA","Special Education",110,"33.6%","56.7%"
"=""1100011""","Plainville School District","ELA","Non-Special Education",746,"44.2%","67.1%"
"=""1100011""","Plainville School District","Math","Special Education",110,"32.7%","57.3%"
"=""1100011""","Plainville School District","Math","Non-Special Education",746,"40.8%","64.7%"
"=""1110011""","Plymouth School District","ELA","Special Education",74,"39.2%","62.7%"
"=""1110011""","Plymouth School District","ELA","Non-Special Education",462,"44.6%","64.3%"
"=""1110011""","Plymouth School District","Math","Special Education",74,"37.8%","62.9%"
"=""1110011""","Plymouth School District","Math","Non-Special Education",465,"51.6%","75.4%"
"=""1120011""","Pomfret School District","ELA","Special Education",28,"50.0%","61.8%"
"=""1120011""","Pomfret School District","ELA","Non-Special Education",193,"51.8%","71.6%"
"=""1120011""","Pomfret School District","Math","Special Education",28,"28.6%","41.3%"
"=""1120011""","Pomfret School District","Math","Non-Special Education",193,"51.8%","72.3%"
"=""1130011""","Portland School District","ELA","Special Education",47,"21.3%","40.6%"
"=""1130011""","Portland School District","ELA","Non-Special Education",461,"51.6%","70.7%"
"=""1130011""","Portland School District","Math","Special Education",47,"38.3%","60.8%"
"=""1130011""","Portland School District","Math","Non-Special Education",461,"48.4%","71.5%"
"=""1140011""","Preston School District","ELA","Special Education",41,"34.1%","58.7%"
"=""1140011""","Preston School District","ELA","Non-Special Education",174,"37.4%","54.8%"
"=""1140011""","Preston School District","Math","Special Education",40,"30.0%","55.0%"
"=""1140011""","Preston School District","Math","Non-Special Education",174,"45.4%","64.3%"
"=""1160011""","Putnam School District","ELA","Special Education",48,"35.4%","65.5%"
"=""1160011""","Putnam School District","ELA","Non-Special Education",347,"45.0%","63.9%"
"=""1160011""","Putnam School District","Math","Special Education",47,"36.2%","62.8%"
"=""1160011""","Putnam School District","Math","Non-Special Education",348,"50.0%","70.7%"
"=""1170011""","Redding School District","ELA","Special Education",57,"35.1%","54.7%"
"=""1170011""","Redding School District","ELA","Non-Special Education",445,"53.5%","70.8%"
"=""1170011""","Redding School District","Math","Special Education",55,"45.5%","67.1%"
"=""1170011""","Redding School District","Math","Non-Special Education",441,"56.9%","76.0%"
"=""2010012""","Regional School District 01","ELA","Special Education","*","*","*"
"=""2010012""","Regional School District 01","Math","Special Education","*","*","*"
"=""2040012""","Regional School District 04","ELA","Special Education",44,"22.7%","42.3%"
"=""2040012""","Regional School District 04","ELA","Non-Special Education",256,"46.1%","60.2%"
"=""2040012""","Regional School District 04","Math","Special Education",43,"32.6%","42.9%"
"=""2040012""","Regional School District 04","Math","Non-Special Education",257,"42.8%","61.6%"
"=""2050012""","Regional School District 05","ELA","Special Education",76,"31.6%","49.5%"
"=""2050012""","Regional School District 05","ELA","Non-Special Education",638,"53.1%","71.7%"
"=""2050012""","Regional School District 05","Math","Special Education",76,"30.3%","41.3%"
"=""2050012""","Regional School District 05","Math","Non-Special Education",638,"61.4%","77.9%"
"=""2060012""","Regional School District 06","ELA","Special Education",30,"23.3%","38.3%"
"=""2060012""","Regional School District 06","ELA","Non-Special Education",214,"48.6%","66.7%"
"=""2060012""","Regional School District 06","Math","Special Education",30,"26.7%","46.7%"
"=""2060012""","Regional School District 06","Math","Non-Special Education",212,"42.5%","61.5%"
"=""2070012""","Regional School District 07","ELA","Special Education",40,"37.5%","56.1%"
"=""2070012""","Regional School District 07","ELA","Non-Special Education",249,"48.6%","64.9%"
"=""2070012""","Regional School District 07","Math","Special Education",40,"42.5%","58.4%"
"=""2070012""","Regional School District 07","Math","Non-Special Education",246,"62.2%","79.3%"
"=""2080012""","Regional School District 08","ELA","Special Education",63,"22.2%","43.6%"
"=""2080012""","Regional School District 08","ELA","Non-Special Education",486,"38.7%","55.1%"
"=""2080012""","Regional School District 08","Math","Special Education",63,"30.2%","52.7%"
"=""2080012""","Regional School District 08","Math","Non-Special Education",486,"44.0%","60.3%"
"=""2100012""","Regional School District 10","ELA","Special Education",82,"34.1%","56.3%"
"=""2100012""","Regional School District 10","ELA","Non-Special Education",829,"43.8%","63.9%"
"=""2100012""","Regional School District 10","Math","Special Education",82,"30.5%","48.0%"
"=""2100012""","Regional School District 10","Math","Non-Special Education",829,"41.7%","61.7%"
"=""2110012""","Regional School District 11","ELA","Special Education",15,"*","*"
"=""2110012""","Regional School District 11","ELA","Non-Special Education",67,"43.3%","63.7%"
"=""2110012""","Regional School District 11","Math","Special Education",13,"*","*"
"=""2110012""","Regional School District 11","Math","Non-Special Education",67,"50.7%","71.3%"
"=""2120012""","Regional School District 12","ELA","Special Education",40,"45.0%","69.9%"
"=""2120012""","Regional School District 12","ELA","Non-Special Education",215,"56.3%","77.0%"
"=""2120012""","Regional School District 12","Math","Special Education",40,"50.0%","72.7%"
"=""2120012""","Regional School District 12","Math","Non-Special Education",214,"65.0%","85.2%"
"=""2130012""","Regional School District 13","ELA","Special Education",100,"34.0%","60.3%"
"=""2130012""","Regional School District 13","ELA","Non-Special Education",570,"49.6%","70.9%"
"=""2130012""","Regional School District 13","Math","Special Education",100,"30.0%","54.6%"
"=""2130012""","Regional School District 13","Math","Non-Special Education",569,"50.1%","72.1%"
"=""2140012""","Regional School District 14","ELA","Special Education",72,"26.4%","52.6%"
"=""2140012""","Regional School District 14","ELA","Non-Special Education",471,"41.0%","61.4%"
"=""2140012""","Regional School District 14","Math","Special Education",72,"30.6%","46.2%"
"=""2140012""","Regional School District 14","Math","Non-Special Education",470,"33.8%","56.3%"
"=""2150012""","Regional School District 15","ELA","Special Education",177,"36.2%","59.4%"
"=""2150012""","Regional School District 15","ELA","Non-Special Education",1292,"53.5%","72.7%"
"=""2150012""","Regional School District 15","Math","Special Education",177,"28.2%","48.6%"
"=""2150012""","Regional School District 15","Math","Non-Special Education",1293,"54.8%","75.6%"
"=""2160012""","Regional School District 16","ELA","Special Education",108,"41.7%","69.4%"
"=""2160012""","Regional School District 16","ELA","Non-Special Education",690,"44.1%","65.3%"
"=""2160012""","Regional School District 16","Math","Special Education",108,"46.3%","69.2%"
"=""2160012""","Regional School District 16","Math","Non-Special Education",670,"40.3%","62.2%"
"=""2170012""","Regional School District 17","ELA","Special Education",154,"40.3%","63.0%"
"=""2170012""","Regional School District 17","ELA","Non-Special Education",733,"53.6%","71.2%"
"=""2170012""","Regional School District 17","Math","Special Education",152,"48.0%","68.9%"
"=""2170012""","Regional School District 17","Math","Non-Special Education",731,"55.3%","76.0%"
"=""2180012""","Regional School District 18","ELA","Special Education",62,"38.7%","57.6%"
"=""2180012""","Regional School District 18","ELA","Non-Special Education",442,"53.6%","71.0%"
"=""2180012""","Regional School District 18","Math","Special Education",61,"47.5%","70.9%"
"=""2180012""","Regional School District 18","Math","Non-Special Education",442,"59.5%","76.0%"
"=""1180011""","Ridgefield School District","ELA","Special Education",174,"28.2%","50.6%"
"=""1180011""","Ridgefield School District","ELA","Non-Special Education",1679,"54.3%","70.2%"
"=""1180011""","Ridgefield School District","Math","Special Education",173,"32.9%","47.5%"
"=""1180011""","Ridgefield School District","Math","Non-Special Education",1679,"56.4%","76.9%"
"=""1190011""","Rocky Hill School District","ELA","Special Education",82,"35.4%","58.2%"
"=""1190011""","Rocky Hill School District","ELA","Non-Special Education",804,"45.0%","63.0%"
"=""1190011""","Rocky Hill School District","Math","Special Education",82,"34.1%","57.6%"
"=""1190011""","Rocky Hill School District","Math","Non-Special Education",808,"50.6%","70.4%"
"=""1210011""","Salem School District","ELA","Special Education",33,"42.4%","66.6%"
"=""1210011""","Salem School District","ELA","Non-Special Education",162,"61.7%","81.1%"
"=""1210011""","Salem School District","Math","Special Education",33,"33.3%","53.9%"
"=""1210011""","Salem School District","Math","Non-Special Education",162,"53.7%","71.6%"
"=""1220011""","Salisbury School District","ELA","Special Education",9,"*","*"
"=""1220011""","Salisbury School District","ELA","Non-Special Education",116,"48.3%","62.3%"
"=""1220011""","Salisbury School District","Math","Special Education",9,"*","*"
"=""1220011""","Salisbury School District","Math","Non-Special Education",116,"56.0%","75.6%"
"=""1230011""","Scotland School District","ELA","Special Education",6,"*","*"
"=""1230011""","Scotland School District","ELA","Non-Special Education",38,"57.9%","76.2%"
"=""1230011""","Scotland School District","Math","Special Education",6,"*","*"
"=""1230011""","Scotland School District","Math","Non-Special Education",38,"36.8%","62.2%"
"=""1240011""","Seymour School District","ELA","Special Education",110,"30.9%","58.4%"
"=""1240011""","Seymour School District","ELA","Non-Special Education",746,"38.9%","57.3%"
"=""1240011""","Seymour School District","Math","Special Education",110,"40.9%","63.0%"
"=""1240011""","Seymour School District","Math","Non-Special Education",745,"49.8%","71.3%"
"=""1250011""","Sharon School District","ELA","Special Education",12,"*","*"
"=""1250011""","Sharon School District","ELA","Non-Special Education",56,"44.6%","64.5%"
"=""1250011""","Sharon School District","Math","Special Education",12,"*","*"
"=""1250011""","Sharon School District","Math","Non-Special Education",56,"50.0%","66.6%"
"=""1260011""","Shelton School District","ELA","Special Education",267,"32.6%","57.1%"
"=""1260011""","Shelton School District","ELA","Non-Special Education",1571,"53.3%","71.3%"
"=""1260011""","Shelton School District","Math","Special Education",267,"37.8%","59.5%"
"=""1260011""","Shelton School District","Math","Non-Special Education",1573,"51.4%","72.4%"
"=""1270011""","Sherman School District","ELA","Special Education",13,"*","*"
"=""1270011""","Sherman School District","ELA","Non-Special Education",86,"52.3%","71.8%"
"=""1270011""","Sherman School District","Math","Special Education",13,"*","*"
"=""1270011""","Sherman School District","Math","Non-Special Education",87,"54.0%","81.0%"
"=""2700013""","Side By Side Charter School District","ELA","Special Education",12,"*","*"
"=""2700013""","Side By Side Charter School District","ELA","Non-Special Education",96,"37.5%","57.4%"
"=""2700013""","Side By Side Charter School District","Math","Special Education",11,"*","*"
"=""2700013""","Side By Side Charter School District","Math","Non-Special Education",96,"57.3%","76.3%"
"=""1280011""","Simsbury School District","ELA","Special Education",182,"42.9%","64.9%"
"=""1280011""","Simsbury School District","ELA","Non-Special Education",1372,"57.7%","75.2%"
"=""1280011""","Simsbury School District","Math","Special Education",180,"34.4%","54.2%"
"=""1280011""","Simsbury School District","Math","Non-Special Education",1364,"56.2%","76.4%"
"=""1290011""","Somers School District","ELA","Special Education",55,"47.3%","65.6%"
"=""1290011""","Somers School District","ELA","Non-Special Education",481,"46.8%","66.8%"
"=""1290011""","Somers School District","Math","Special Education",55,"27.3%","46.0%"
"=""1290011""","Somers School District","Math","Non-Special Education",480,"50.6%","75.1%"
"=""1320011""","South Windsor School District","ELA","Special Education",186,"34.4%","58.6%"
"=""1320011""","South Windsor School District","ELA","Non-Special Education",1326,"51.8%","69.2%"
"=""1320011""","South Windsor School District","Math","Special Education",185,"35.7%","56.2%"
"=""1320011""","South Windsor School District","Math","Non-Special Education",1322,"57.6%","78.2%"
"=""1310011""","Southington School District","ELA","Special Education",310,"32.6%","55.0%"
"=""1310011""","Southington School District","ELA","Non-Special Education",2194,"40.6%","60.3%"
"=""1310011""","Southington School District","Math","Special Education",308,"30.2%","48.0%"
"=""1310011""","Southington School District","Math","Non-Special Education",2193,"40.5%","62.7%"
"=""1330011""","Sprague School District","ELA","Special Education",19,"*","*"
"=""1330011""","Sprague School District","ELA","Non-Special Education",145,"44.1%","62.9%"
"=""1330011""","Sprague School District","Math","Special Education",19,"*","*"
"=""1330011""","Sprague School District","Math","Non-Special Education",146,"37.7%","61.7%"
"=""1340011""","Stafford School District","ELA","Special Education",61,"36.1%","59.5%"
"=""1340011""","Stafford School District","ELA","Non-Special Education",474,"46.0%","67.1%"
"=""1340011""","Stafford School District","Math","Special Education",62,"12.9%","38.3%"
"=""1340011""","Stafford School District","Math","Non-Special Education",474,"42.6%","68.2%"
"=""1350011""","Stamford School District","ELA","Special Education",605,"28.8%","55.1%"
"=""1350011""","Stamford School District","ELA","Non-Special Education",4633,"43.3%","64.1%"
"=""1350011""","Stamford School District","Math","Special Education",603,"31.8%","52.3%"
"=""1350011""","Stamford School District","Math","Non-Special Education",4708,"40.8%","62.8%"
"=""0000000""","State of Connecticut","ELA","Special Education",24225,"31.1%","54.9%"
"=""0000000""","State of Connecticut","ELA","Non-Special Education",161120,"44.9%","65.1%"
"=""0000000""","State of Connecticut","Math","Special Education",24131,"33.8%","54.4%"
"=""0000000""","State of Connecticut","Math","Non-Special Education",161733,"45.4%","66.6%"
"=""1360011""","Sterling School District","ELA","Special Education",27,"33.3%","56.0%"
"=""1360011""","Sterling School District","ELA","Non-Special Education",200,"42.5%","65.6%"
"=""1360011""","Sterling School District","Math","Special Education",26,"30.8%","56.5%"
"=""1360011""","Sterling School District","Math","Non-Special Education",200,"47.5%","67.8%"
"=""1370011""","Stonington School District","ELA","Special Education",121,"31.4%","54.2%"
"=""1370011""","Stonington School District","ELA","Non-Special Education",635,"47.9%","62.8%"
"=""1370011""","Stonington School District","Math","Special Education",121,"33.9%","54.1%"
"=""1370011""","Stonington School District","Math","Non-Special Education",635,"50.4%","72.1%"
"=""1380011""","Stratford School District","ELA","Special Education",285,"34.4%","56.5%"
"=""1380011""","Stratford School District","ELA","Non-Special Education",2257,"39.9%","61.0%"
"=""1380011""","Stratford School District","Math","Special Education",284,"34.5%","53.6%"
"=""1380011""","Stratford School District","Math","Non-Special Education",2256,"46.2%","66.9%"
"=""1390011""","Suffield School District","ELA","Special Education",79,"29.1%","52.0%"
"=""1390011""","Suffield School District","ELA","Non-Special Education",735,"45.0%","62.3%"
"=""1390011""","Suffield School District","Math","Special Education",80,"30.0%","51.7%"
"=""1390011""","Suffield School District","Math","Non-Special Education",733,"43.8%","65.2%"
"=""2690013""","The Bridge Academy District","ELA","Special Education",14,"*","*"
"=""2690013""","The Bridge Academy District","ELA","Non-Special Education",83,"27.7%","45.8%"
"=""2690013""","The Bridge Academy District","Math","Special Education",14,"*","*"
"=""2690013""","The Bridge Academy District","Math","Non-Special Education",83,"54.2%","73.5%"
"=""9020022""","The Gilbert School District","ELA","Special Education",24,"16.7%","37.3%"
"=""9020022""","The Gilbert School District","ELA","Non-Special Education",133,"29.3%","44.9%"
"=""9020022""","The Gilbert School District","Math","Special Education",23,"34.8%","54.5%"
"=""9020022""","The Gilbert School District","Math","Non-Special Education",133,"38.3%","54.6%"
"=""1400011""","Thomaston School District","ELA","Special Education",52,"26.9%","55.8%"
"=""1400011""","Thomaston School District","ELA","Non-Special Education",320,"41.9%","65.8%"
"=""1400011""","Thomaston School District","Math","Special Education",52,"25.0%","46.1%"
"=""1400011""","Thomaston School District","Math","Non-Special Education",322,"39.8%","62.3%"
"=""1410011""","Thompson School District","ELA","Special Education",31,"22.6%","44.5%"
"=""1410011""","Thompson School District","ELA","Non-Special Education",340,"25.3%","44.5%"
"=""1410011""","Thompson School District","Math","Special Education",31,"35.5%","53.4%"
"=""1410011""","Thompson School District","Math","Non-Special Education",338,"26.6%","48.5%"
"=""1420011""","Tolland School District","ELA","Special Education",100,"30.0%","52.3%"
"=""1420011""","Tolland School District","ELA","Non-Special Education",907,"47.5%","65.9%"
"=""1420011""","Tolland School District","Math","Special Education",102,"34.3%","55.3%"
"=""1420011""","Tolland School District","Math","Non-Special Education",905,"50.3%","71.7%"
"=""1430011""","Torrington School District","ELA","Special Education",258,"23.6%","48.3%"
"=""1430011""","Torrington School District","ELA","Non-Special Education",1243,"32.4%","52.2%"
"=""1430011""","Torrington School District","Math","Special Education",258,"27.9%","47.4%"
"=""1430011""","Torrington School District","Math","Non-Special Education",1241,"32.4%","54.5%"
"=""2780013""","Trailblazers Academy District","ELA","Special Education",33,"9.1%","33.1%"
"=""2780013""","Trailblazers Academy District","ELA","Non-Special Education",72,"27.8%","46.0%"
"=""2780013""","Trailblazers Academy District","Math","Special Education",31,"12.9%","29.2%"
"=""2780013""","Trailblazers Academy District","Math","Non-Special Education",73,"24.7%","38.3%"
"=""1440011""","Trumbull School District","ELA","Special Education",255,"53.7%","77.9%"
"=""1440011""","Trumbull School District","ELA","Non-Special Education",2086,"70.5%","87.6%"
"=""1440011""","Trumbull School District","Math","Special Education",255,"50.2%","71.2%"
"=""1440011""","Trumbull School District","Math","Non-Special Education",2091,"71.9%","91.1%"
"=""3470015""","Unified School District #2","ELA","Special Education","*","*","*"
"=""3470015""","Unified School District #2","Math","Special Education","*","*","*"
"=""1450011""","Union School District","ELA","Special Education",6,"*","*"
"=""1450011""","Union School District","ELA","Non-Special Education",33,"54.5%","74.6%"
"=""1450011""","Union School District","Math","Special Education",6,"*","*"
"=""1450011""","Union School District","Math","Non-Special Education",33,"63.6%","81.0%"
"=""1460011""","Vernon School District","ELA","Special Education",166,"27.1%","50.6%"
"=""1460011""","Vernon School District","ELA","Non-Special Education",909,"42.7%","62.5%"
"=""1460011""","Vernon School District","Math","Special Education",165,"37.0%","61.2%"
"=""1460011""","Vernon School District","Math","Non-Special Education",907,"43.9%","67.0%"
"=""1470011""","Voluntown School District","ELA","Special Education",34,"23.5%","51.8%"
"=""1470011""","Voluntown School District","ELA","Non-Special Education",110,"40.9%","60.5%"
"=""1470011""","Voluntown School District","Math","Special Education",34,"52.9%","76.2%"
"=""1470011""","Voluntown School District","Math","Non-Special Education",110,"49.1%","74.9%"
"=""1480011""","Wallingford School District","ELA","Special Education",233,"31.3%","57.1%"
"=""1480011""","Wallingford School District","ELA","Non-Special Education",1932,"45.9%","66.9%"
"=""1480011""","Wallingford School District","Math","Special Education",234,"28.2%","49.6%"
"=""1480011""","Wallingford School District","Math","Non-Special Education",1936,"39.2%","61.8%"
"=""1510011""","Waterbury School District","ELA","Special Education",1174,"24.5%","50.6%"
"=""1510011""","Waterbury School District","ELA","Non-Special Education",5123,"35.2%","58.5%"
"=""1510011""","Waterbury School District","Math","Special Education",1187,"26.9%","46.7%"
"=""1510011""","Waterbury School District","Math","Non-Special Education",5167,"31.4%","52.7%"
"=""1520011""","Waterford School District","ELA","Special Education",153,"32.0%","56.7%"
"=""1520011""","Waterford School District","ELA","Non-Special Education",815,"46.4%","65.1%"
"=""1520011""","Waterford School District","Math","Special Education",153,"34.0%","51.5%"
"=""1520011""","Waterford School District","Math","Non-Special Education",816,"48.5%","69.1%"
"=""1530011""","Watertown School District","ELA","Special Education",137,"29.2%","56.5%"
"=""1530011""","Watertown School District","ELA","Non-Special Education",908,"48.1%","69.4%"
"=""1530011""","Watertown School District","Math","Special Education",137,"21.9%","42.5%"
"=""1530011""","Watertown School District","Math","Non-Special Education",908,"39.0%","61.9%"
"=""1550011""","West Hartford School District","ELA","Special Education",348,"22.4%","43.9%"
"=""1550011""","West Hartford School District","ELA","Non-Special Education",3150,"46.8%","64.5%"
"=""1550011""","West Hartford School District","Math","Special Education",344,"30.5%","50.2%"
"=""1550011""","West Hartford School District","Math","Non-Special Education",3150,"47.6%","67.5%"
"=""1560011""","West Haven School District","ELA","Special Education",273,"28.9%","55.5%"
"=""1560011""","West Haven School District","ELA","Non-Special Education",1730,"39.9%","62.0%"
"=""1560011""","West Haven School District","Math","Special Education",272,"37.9%","57.6%"
"=""1560011""","West Haven School District","Math","Non-Special Education",1742,"48.5%","71.3%"
"=""1540011""","Westbrook School District","ELA","Special Education",40,"37.5%","61.5%"
"=""1540011""","Westbrook School District","ELA","Non-Special Education",218,"52.8%","73.0%"
"=""1540011""","Westbrook School District","Math","Special Education",40,"52.5%","72.1%"
"=""1540011""","Westbrook School District","Math","Non-Special Education",220,"62.3%","84.2%"
"=""1570011""","Weston School District","ELA","Special Education",60,"35.0%","58.4%"
