"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2630013""","Odyssey Community School District","Eligible for Reduced Lunch",10,"*","*"
"=""1060011""","Old Saybrook School District","Eligible for Free Lunch",80,"41.3%","64.6%"
"=""1060011""","Old Saybrook School District","Not Eligible for Free/Reduced Lunch",403,"46.7%","65.8%"
"=""1060011""","Old Saybrook School District","Eligible for Reduced Lunch",18,"*","*"
"=""1070011""","Orange School District","Eligible for Free Lunch",19,"*","*"
"=""1070011""","Orange School District","Not Eligible for Free/Reduced Lunch",484,"54.5%","74.7%"
"=""1070011""","Orange School District","Eligible for Reduced Lunch",6,"*","*"
"=""1080011""","Oxford School District","Eligible for Free Lunch",42,"28.6%","50.7%"
"=""1080011""","Oxford School District","Not Eligible for Free/Reduced Lunch",710,"39.9%","57.4%"
"=""1080011""","Oxford School District","Eligible for Reduced Lunch",24,"37.5%","64.4%"
"=""2830013""","Park City Prep Charter School District","Eligible for Free Lunch",229,"43.2%","67.9%"
"=""2830013""","Park City Prep Charter School District","Not Eligible for Free/Reduced Lunch",76,"51.3%","76.5%"
"=""2830013""","Park City Prep Charter School District","Eligible for Reduced Lunch",32,"56.3%","77.9%"
"=""1090011""","Plainfield School District","Eligible for Free Lunch",334,"47.0%","69.6%"
"=""1090011""","Plainfield School District","Not Eligible for Free/Reduced Lunch",384,"49.5%","71.1%"
"=""1090011""","Plainfield School District","Eligible for Reduced Lunch",84,"44.0%","74.2%"
"=""1100011""","Plainville School District","Eligible for Free Lunch",223,"36.8%","60.6%"
"=""1100011""","Plainville School District","Not Eligible for Free/Reduced Lunch",579,"45.8%","68.0%"
"=""1100011""","Plainville School District","Eligible for Reduced Lunch",54,"37.0%","63.3%"
"=""1110011""","Plymouth School District","Eligible for Free Lunch",136,"33.8%","57.1%"
"=""1110011""","Plymouth School District","Not Eligible for Free/Reduced Lunch",367,"48.8%","67.2%"
"=""1110011""","Plymouth School District","Eligible for Reduced Lunch",33,"30.3%","58.2%"
"=""1120011""","Pomfret School District","Eligible for Free Lunch",28,"39.3%","55.3%"
"=""1120011""","Pomfret School District","Not Eligible for Free/Reduced Lunch",182,"52.7%","71.8%"
"=""1120011""","Pomfret School District","Eligible for Reduced Lunch",11,"*","*"
"=""1130011""","Portland School District","Eligible for Free Lunch",81,"43.2%","62.7%"
"=""1130011""","Portland School District","Not Eligible for Free/Reduced Lunch",406,"50.0%","69.2%"
"=""1130011""","Portland School District","Eligible for Reduced Lunch",21,"47.6%","62.1%"
"=""1140011""","Preston School District","Eligible for Free Lunch",33,"33.3%","56.7%"
"=""1140011""","Preston School District","Not Eligible for Free/Reduced Lunch",165,"37.6%","56.1%"
"=""1140011""","Preston School District","Eligible for Reduced Lunch",17,"*","*"
"=""1160011""","Putnam School District","Eligible for Free Lunch",178,"39.9%","59.6%"
"=""1160011""","Putnam School District","Not Eligible for Free/Reduced Lunch",177,"46.3%","68.8%"
"=""1160011""","Putnam School District","Eligible for Reduced Lunch",40,"50.0%","63.2%"
"=""1170011""","Redding School District","Eligible for Free Lunch","*","*","*"
"=""1170011""","Redding School District","Not Eligible for Free/Reduced Lunch",489,"51.7%","69.0%"
"=""1170011""","Redding School District","Eligible for Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Eligible for Reduced Lunch","*","*","*"
"=""2040012""","Regional School District 04","Eligible for Free Lunch",36,"36.1%","53.5%"
"=""2040012""","Regional School District 04","Not Eligible for Free/Reduced Lunch",258,"43.8%","58.4%"
"=""2040012""","Regional School District 04","Eligible for Reduced Lunch",6,"*","*"
"=""2050012""","Regional School District 05","Eligible for Free Lunch",22,"50.0%","65.0%"
"=""2050012""","Regional School District 05","Not Eligible for Free/Reduced Lunch",682,"50.9%","69.7%"
"=""2050012""","Regional School District 05","Eligible for Reduced Lunch",10,"*","*"
"=""2060012""","Regional School District 06","Eligible for Free Lunch",27,"48.1%","64.9%"
"=""2060012""","Regional School District 06","Not Eligible for Free/Reduced Lunch",208,"44.7%","62.8%"
"=""2060012""","Regional School District 06","Eligible for Reduced Lunch",9,"*","*"
"=""2070012""","Regional School District 07","Eligible for Free Lunch","*","*","*"
"=""2070012""","Regional School District 07","Not Eligible for Free/Reduced Lunch",267,"47.9%","63.9%"
"=""2070012""","Regional School District 07","Eligible for Reduced Lunch","*","*","*"
"=""2080012""","Regional School District 08","Eligible for Free Lunch",28,"46.4%","68.4%"
"=""2080012""","Regional School District 08","Not Eligible for Free/Reduced Lunch",506,"36.0%","52.8%"
"=""2080012""","Regional School District 08","Eligible for Reduced Lunch",15,"*","*"
"=""2100012""","Regional School District 10","Eligible for Free Lunch",53,"35.8%","58.9%"
"=""2100012""","Regional School District 10","Not Eligible for Free/Reduced Lunch",847,"43.2%","63.3%"
"=""2100012""","Regional School District 10","Eligible for Reduced Lunch",11,"*","*"
"=""2110012""","Regional School District 11","Eligible for Free Lunch","*","33.3%","52.8%"
"=""2110012""","Regional School District 11","Not Eligible for Free/Reduced Lunch",57,"54.4%","71.8%"
"=""2110012""","Regional School District 11","Eligible for Reduced Lunch","*","*","*"
"=""2120012""","Regional School District 12","Eligible for Free Lunch","*","70.0%","87.1%"
"=""2120012""","Regional School District 12","Not Eligible for Free/Reduced Lunch",233,"53.2%","75.2%"
"=""2120012""","Regional School District 12","Eligible for Reduced Lunch","*","*","*"
"=""2130012""","Regional School District 13","Eligible for Free Lunch",39,"28.2%","60.7%"
"=""2130012""","Regional School District 13","Not Eligible for Free/Reduced Lunch",619,"48.8%","70.1%"
"=""2130012""","Regional School District 13","Eligible for Reduced Lunch",12,"*","*"
"=""2140012""","Regional School District 14","Eligible for Free Lunch",52,"42.3%","63.5%"
"=""2140012""","Regional School District 14","Not Eligible for Free/Reduced Lunch",475,"38.9%","60.3%"
"=""2140012""","Regional School District 14","Eligible for Reduced Lunch",16,"*","*"
"=""2150012""","Regional School District 15","Eligible for Free Lunch",80,"38.8%","54.1%"
"=""2150012""","Regional School District 15","Not Eligible for Free/Reduced Lunch",1359,"52.5%","72.5%"
"=""2150012""","Regional School District 15","Eligible for Reduced Lunch",30,"33.3%","53.3%"
"=""2160012""","Regional School District 16","Eligible for Free Lunch",85,"29.4%","52.9%"
"=""2160012""","Regional School District 16","Not Eligible for Free/Reduced Lunch",676,"44.5%","66.6%"
"=""2160012""","Regional School District 16","Eligible for Reduced Lunch",37,"62.2%","82.3%"
"=""2170012""","Regional School District 17","Eligible for Free Lunch",46,"54.3%","69.9%"
"=""2170012""","Regional School District 17","Not Eligible for Free/Reduced Lunch",807,"51.4%","69.7%"
"=""2170012""","Regional School District 17","Eligible for Reduced Lunch",34,"44.1%","70.7%"
"=""2180012""","Regional School District 18","Eligible for Free Lunch","*","25.0%","50.1%"
"=""2180012""","Regional School District 18","Not Eligible for Free/Reduced Lunch",480,"53.1%","70.4%"
"=""2180012""","Regional School District 18","Eligible for Reduced Lunch","*","*","*"
"=""1180011""","Ridgefield School District","Eligible for Free Lunch",41,"53.7%","68.0%"
"=""1180011""","Ridgefield School District","Not Eligible for Free/Reduced Lunch",1802,"51.9%","68.4%"
"=""1180011""","Ridgefield School District","Eligible for Reduced Lunch",10,"*","*"
"=""1190011""","Rocky Hill School District","Eligible for Free Lunch",109,"33.9%","55.0%"
"=""1190011""","Rocky Hill School District","Not Eligible for Free/Reduced Lunch",751,"45.9%","63.7%"
"=""1190011""","Rocky Hill School District","Eligible for Reduced Lunch",26,"34.6%","62.8%"
"=""1210011""","Salem School District","Eligible for Free Lunch","*","*","*"
"=""1210011""","Salem School District","Not Eligible for Free/Reduced Lunch",176,"59.7%","79.8%"
"=""1210011""","Salem School District","Eligible for Reduced Lunch","*","*","*"
"=""1220011""","Salisbury School District","Eligible for Free Lunch",10,"*","*"
"=""1220011""","Salisbury School District","Not Eligible for Free/Reduced Lunch",109,"49.5%","63.7%"
"=""1220011""","Salisbury School District","Eligible for Reduced Lunch",6,"*","*"
"=""1230011""","Scotland School District","Eligible for Free Lunch","*","*","*"
"=""1230011""","Scotland School District","Not Eligible for Free/Reduced Lunch",32,"62.5%","76.7%"
"=""1230011""","Scotland School District","Eligible for Reduced Lunch","*","*","*"
"=""1240011""","Seymour School District","Eligible for Free Lunch",183,"33.3%","52.7%"
"=""1240011""","Seymour School District","Not Eligible for Free/Reduced Lunch",607,"39.9%","59.6%"
"=""1240011""","Seymour School District","Eligible for Reduced Lunch",66,"31.8%","51.2%"
"=""1250011""","Sharon School District","Eligible for Free Lunch",9,"*","*"
"=""1250011""","Sharon School District","Not Eligible for Free/Reduced Lunch",52,"42.3%","63.4%"
"=""1250011""","Sharon School District","Eligible for Reduced Lunch",7,"*","*"
"=""1260011""","Shelton School District","Eligible for Free Lunch",313,"40.3%","60.9%"
"=""1260011""","Shelton School District","Not Eligible for Free/Reduced Lunch",1425,"52.6%","71.3%"
"=""1260011""","Shelton School District","Eligible for Reduced Lunch",100,"48.0%","65.3%"
"=""1270011""","Sherman School District","Eligible for Free Lunch","*","*","*"
"=""1270011""","Sherman School District","Not Eligible for Free/Reduced Lunch",93,"48.4%","72.0%"
"=""1270011""","Sherman School District","Eligible for Reduced Lunch","*","*","*"
"=""2700013""","Side By Side Charter School District","Eligible for Free Lunch",51,"39.2%","61.0%"
"=""2700013""","Side By Side Charter School District","Not Eligible for Free/Reduced Lunch",49,"42.9%","63.5%"
"=""2700013""","Side By Side Charter School District","Eligible for Reduced Lunch",8,"*","*"
"=""1280011""","Simsbury School District","Eligible for Free Lunch",127,"42.5%","64.3%"
"=""1280011""","Simsbury School District","Not Eligible for Free/Reduced Lunch",1400,"57.4%","75.0%"
"=""1280011""","Simsbury School District","Eligible for Reduced Lunch",27,"48.1%","67.3%"
"=""1290011""","Somers School District","Eligible for Free Lunch","*","33.3%","57.5%"
"=""1290011""","Somers School District","Not Eligible for Free/Reduced Lunch",486,"48.4%","67.9%"
"=""1290011""","Somers School District","Eligible for Reduced Lunch","*","*","*"
"=""1320011""","South Windsor School District","Eligible for Free Lunch",145,"36.6%","64.3%"
"=""1320011""","South Windsor School District","Not Eligible for Free/Reduced Lunch",1309,"51.4%","68.6%"
"=""1320011""","South Windsor School District","Eligible for Reduced Lunch",58,"43.1%","61.6%"
"=""1310011""","Southington School District","Eligible for Free Lunch",318,"34.3%","55.1%"
"=""1310011""","Southington School District","Not Eligible for Free/Reduced Lunch",2105,"40.8%","60.6%"
"=""1310011""","Southington School District","Eligible for Reduced Lunch",81,"30.9%","53.2%"
"=""1330011""","Sprague School District","Eligible for Free Lunch",73,"45.2%","66.7%"
"=""1330011""","Sprague School District","Not Eligible for Free/Reduced Lunch",82,"43.9%","60.8%"
"=""1330011""","Sprague School District","Eligible for Reduced Lunch",9,"*","*"
"=""1340011""","Stafford School District","Eligible for Free Lunch",133,"41.4%","68.8%"
"=""1340011""","Stafford School District","Not Eligible for Free/Reduced Lunch",340,"45.3%","64.6%"
"=""1340011""","Stafford School District","Eligible for Reduced Lunch",62,"50.0%","69.8%"
"=""1350011""","Stamford School District","Eligible for Free Lunch",2449,"35.9%","59.9%"
"=""1350011""","Stamford School District","Not Eligible for Free/Reduced Lunch",2353,"48.1%","66.9%"
"=""1350011""","Stamford School District","Eligible for Reduced Lunch",436,"39.4%","60.0%"
"=""0000000""","State of Connecticut","Eligible for Free Lunch",62277,"34.6%","57.8%"
"=""0000000""","State of Connecticut","Not Eligible for Free/Reduced Lunch",113991,"48.1%","67.2%"
"=""0000000""","State of Connecticut","Eligible for Reduced Lunch",9077,"39.3%","61.3%"
"=""1360011""","Sterling School District","Eligible for Free Lunch",54,"31.5%","57.8%"
"=""1360011""","Sterling School District","Not Eligible for Free/Reduced Lunch",154,"43.5%","64.9%"
"=""1360011""","Sterling School District","Eligible for Reduced Lunch",19,"*","*"
"=""1370011""","Stonington School District","Eligible for Free Lunch",130,"33.8%","55.2%"
"=""1370011""","Stonington School District","Not Eligible for Free/Reduced Lunch",605,"48.3%","63.3%"
"=""1370011""","Stonington School District","Eligible for Reduced Lunch",21,"28.6%","47.0%"
"=""1380011""","Stratford School District","Eligible for Free Lunch",881,"35.1%","58.8%"
"=""1380011""","Stratford School District","Not Eligible for Free/Reduced Lunch",1366,"42.2%","62.1%"
"=""1380011""","Stratford School District","Eligible for Reduced Lunch",295,"38.6%","58.4%"
"=""1390011""","Suffield School District","Eligible for Free Lunch",79,"38.0%","54.2%"
"=""1390011""","Suffield School District","Not Eligible for Free/Reduced Lunch",727,"44.2%","62.2%"
"=""1390011""","Suffield School District","Eligible for Reduced Lunch",8,"*","*"
"=""2690013""","The Bridge Academy District","Eligible for Free Lunch",74,"25.7%","46.3%"
"=""2690013""","The Bridge Academy District","Not Eligible for Free/Reduced Lunch",8,"*","*"
"=""2690013""","The Bridge Academy District","Eligible for Reduced Lunch",15,"*","*"
"=""9020022""","The Gilbert School District","Eligible for Free Lunch",60,"26.7%","42.7%"
"=""9020022""","The Gilbert School District","Not Eligible for Free/Reduced Lunch",85,"27.1%","45.0%"
"=""9020022""","The Gilbert School District","Eligible for Reduced Lunch",12,"*","*"
"=""1400011""","Thomaston School District","Eligible for Free Lunch",63,"34.9%","61.2%"
"=""1400011""","Thomaston School District","Not Eligible for Free/Reduced Lunch",283,"42.0%","66.5%"
"=""1400011""","Thomaston School District","Eligible for Reduced Lunch",26,"26.9%","49.4%"
"=""1410011""","Thompson School District","Eligible for Free Lunch",118,"19.5%","44.5%"
"=""1410011""","Thompson School District","Not Eligible for Free/Reduced Lunch",228,"29.8%","46.3%"
"=""1410011""","Thompson School District","Eligible for Reduced Lunch",25,"8.0%","28.8%"
"=""1420011""","Tolland School District","Eligible for Free Lunch",61,"34.4%","58.4%"
"=""1420011""","Tolland School District","Not Eligible for Free/Reduced Lunch",923,"46.6%","65.0%"
"=""1420011""","Tolland School District","Eligible for Reduced Lunch",23,"43.5%","61.4%"
"=""1430011""","Torrington School District","Eligible for Free Lunch",649,"29.4%","50.6%"
"=""1430011""","Torrington School District","Not Eligible for Free/Reduced Lunch",722,"31.0%","51.7%"
"=""1430011""","Torrington School District","Eligible for Reduced Lunch",130,"37.7%","55.6%"
"=""2780013""","Trailblazers Academy District","Eligible for Free Lunch",100,"21.0%","41.2%"
"=""2780013""","Trailblazers Academy District","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2780013""","Trailblazers Academy District","Eligible for Reduced Lunch","*","*","*"
"=""1440011""","Trumbull School District","Eligible for Free Lunch",151,"57.0%","79.6%"
"=""1440011""","Trumbull School District","Not Eligible for Free/Reduced Lunch",2125,"69.6%","87.2%"
"=""1440011""","Trumbull School District","Eligible for Reduced Lunch",65,"67.7%","81.4%"
"=""3470015""","Unified School District #2","Eligible for Free Lunch","*","*","*"
"=""1450011""","Union School District","Not Eligible for Free/Reduced Lunch",39,"46.2%","63.9%"
"=""1460011""","Vernon School District","Eligible for Free Lunch",442,"33.9%","55.8%"
"=""1460011""","Vernon School District","Not Eligible for Free/Reduced Lunch",566,"45.2%","64.6%"
"=""1460011""","Vernon School District","Eligible for Reduced Lunch",67,"40.3%","59.5%"
"=""1470011""","Voluntown School District","Eligible for Free Lunch","*","33.3%","52.2%"
"=""1470011""","Voluntown School District","Not Eligible for Free/Reduced Lunch",112,"38.4%","60.7%"
"=""1470011""","Voluntown School District","Eligible for Reduced Lunch","*","*","*"
"=""1480011""","Wallingford School District","Eligible for Free Lunch",352,"37.5%","62.0%"
"=""1480011""","Wallingford School District","Not Eligible for Free/Reduced Lunch",1738,"46.0%","66.9%"
"=""1480011""","Wallingford School District","Eligible for Reduced Lunch",75,"37.3%","58.5%"
"=""1510011""","Waterbury School District","Eligible for Free Lunch",4771,"32.3%","56.7%"
"=""1510011""","Waterbury School District","Not Eligible for Free/Reduced Lunch",1047,"36.3%","57.7%"
"=""1510011""","Waterbury School District","Eligible for Reduced Lunch",479,"35.5%","58.6%"
"=""1520011""","Waterford School District","Eligible for Free Lunch",169,"34.3%","57.8%"
"=""1520011""","Waterford School District","Not Eligible for Free/Reduced Lunch",760,"46.6%","65.2%"
"=""1520011""","Waterford School District","Eligible for Reduced Lunch",39,"38.5%","62.2%"
"=""1530011""","Watertown School District","Eligible for Free Lunch",224,"47.8%","70.0%"
"=""1530011""","Watertown School District","Not Eligible for Free/Reduced Lunch",749,"45.7%","67.7%"
"=""1530011""","Watertown School District","Eligible for Reduced Lunch",72,"38.9%","60.8%"
"=""1550011""","West Hartford School District","Eligible for Free Lunch",568,"30.6%","53.5%"
"=""1550011""","West Hartford School District","Not Eligible for Free/Reduced Lunch",2806,"47.5%","64.4%"
"=""1550011""","West Hartford School District","Eligible for Reduced Lunch",124,"35.5%","61.1%"
"=""1560011""","West Haven School District","Eligible for Free Lunch",1112,"35.4%","58.3%"
"=""1560011""","West Haven School District","Not Eligible for Free/Reduced Lunch",722,"42.0%","64.7%"
"=""1560011""","West Haven School District","Eligible for Reduced Lunch",169,"42.6%","64.6%"
"=""1540011""","Westbrook School District","Eligible for Free Lunch",27,"51.9%","77.5%"
"=""1540011""","Westbrook School District","Not Eligible for Free/Reduced Lunch",223,"49.8%","70.2%"
"=""1540011""","Westbrook School District","Eligible for Reduced Lunch",8,"*","*"
"=""1570011""","Weston School District","Eligible for Free Lunch","*","*","*"
"=""1570011""","Weston School District","Not Eligible for Free/Reduced Lunch",863,"49.2%","69.0%"
"=""1570011""","Weston School District","Eligible for Reduced Lunch","*","*","*"
"=""1580011""","Westport School District","Eligible for Free Lunch",72,"40.3%","63.4%"
"=""1580011""","Westport School District","Not Eligible for Free/Reduced Lunch",1976,"47.1%","63.9%"
"=""1580011""","Westport School District","Eligible for Reduced Lunch",15,"*","*"
"=""1590011""","Wethersfield School District","Eligible for Free Lunch",188,"47.3%","70.0%"
"=""1590011""","Wethersfield School District","Not Eligible for Free/Reduced Lunch",1045,"56.8%","75.2%"
"=""1590011""","Wethersfield School District","Eligible for Reduced Lunch",50,"46.0%","63.3%"
"=""1600011""","Willington School District","Eligible for Free Lunch",33,"45.5%","71.1%"
"=""1600011""","Willington School District","Not Eligible for Free/Reduced Lunch",171,"47.4%","66.9%"
"=""1600011""","Willington School District","Eligible for Reduced Lunch",14,"*","*"
"=""1610011""","Wilton School District","Eligible for Free Lunch",24,"41.7%","54.4%"
"=""1610011""","Wilton School District","Not Eligible for Free/Reduced Lunch",1567,"56.5%","75.0%"
"=""1620011""","Winchester School District","Eligible for Free Lunch",101,"39.6%","61.4%"
"=""1620011""","Winchester School District","Not Eligible for Free/Reduced Lunch",95,"44.2%","66.8%"
"=""1620011""","Winchester School District","Eligible for Reduced Lunch",21,"23.8%","51.8%"
"=""1630011""","Windham School District","Eligible for Free Lunch",849,"40.3%","64.3%"
"=""1630011""","Windham School District","Not Eligible for Free/Reduced Lunch",231,"55.8%","75.2%"
"=""1630011""","Windham School District","Eligible for Reduced Lunch",49,"49.0%","73.6%"
"=""1650011""","Windsor Locks School District","Eligible for Free Lunch",201,"36.3%","62.0%"
"=""1650011""","Windsor Locks School District","Not Eligible for Free/Reduced Lunch",349,"46.7%","69.2%"
"=""1650011""","Windsor Locks School District","Eligible for Reduced Lunch",32,"50.0%","69.1%"
"=""1640011""","Windsor School District","Eligible for Free Lunch",308,"33.4%","54.3%"
"=""1640011""","Windsor School District","Not Eligible for Free/Reduced Lunch",643,"35.9%","56.7%"
"=""1640011""","Windsor School District","Eligible for Reduced Lunch",73,"38.4%","55.1%"
"=""1660011""","Wolcott School District","Eligible for Free Lunch",131,"35.9%","60.4%"
"=""1660011""","Wolcott School District","Not Eligible for Free/Reduced Lunch",723,"45.9%","64.5%"
"=""1660011""","Wolcott School District","Eligible for Reduced Lunch",45,"46.7%","70.0%"
"=""1670011""","Woodbridge School District","Eligible for Free Lunch",14,"*","*"
"=""1670011""","Woodbridge School District","Not Eligible for Free/Reduced Lunch",259,"64.5%","81.9%"
"=""1670011""","Woodbridge School District","Eligible for Reduced Lunch",13,"*","*"
"=""1690011""","Woodstock School District","Eligible for Free Lunch",48,"43.8%","61.0%"
"=""1690011""","Woodstock School District","Not Eligible for Free/Reduced Lunch",393,"42.2%","60.6%"
"=""1690011""","Woodstock School District","Eligible for Reduced Lunch",16,"*","*"

