"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0850011""","Monroe School District","ELA","Non-High Needs",975,"52.2%","67.9%"
"=""0850011""","Monroe School District","Math","High Needs",207,"47.8%","68.1%"
"=""0850011""","Monroe School District","Math","Non-High Needs",974,"50.0%","71.4%"
"=""0860011""","Montville School District","ELA","High Needs",385,"40.0%","62.4%"
"=""0860011""","Montville School District","ELA","Non-High Needs",447,"48.5%","67.7%"
"=""0860011""","Montville School District","Math","High Needs",386,"41.7%","63.8%"
"=""0860011""","Montville School District","Math","Non-High Needs",447,"49.4%","71.8%"
"=""0880011""","Naugatuck School District","ELA","High Needs",851,"37.0%","61.6%"
"=""0880011""","Naugatuck School District","ELA","Non-High Needs",682,"47.8%","68.2%"
"=""0880011""","Naugatuck School District","Math","High Needs",856,"30.7%","52.9%"
"=""0880011""","Naugatuck School District","Math","Non-High Needs",682,"36.1%","57.0%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","High Needs",153,"34.0%","56.4%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Non-High Needs",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Math","High Needs",153,"32.0%","54.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Non-High Needs",16,"*","*"
"=""0890011""","New Britain School District","ELA","High Needs",2703,"27.8%","50.7%"
"=""0890011""","New Britain School District","ELA","Non-High Needs",415,"36.1%","57.9%"
"=""0890011""","New Britain School District","Math","High Needs",2730,"25.1%","44.9%"
"=""0890011""","New Britain School District","Math","Non-High Needs",413,"23.2%","43.7%"
"=""0900011""","New Canaan School District","ELA","High Needs",166,"41.0%","62.5%"
"=""0900011""","New Canaan School District","ELA","Non-High Needs",1390,"54.2%","69.4%"
"=""0900011""","New Canaan School District","Math","High Needs",168,"44.6%","68.1%"
"=""0900011""","New Canaan School District","Math","Non-High Needs",1390,"61.4%","78.9%"
"=""0910011""","New Fairfield School District","ELA","High Needs",137,"39.4%","63.7%"
"=""0910011""","New Fairfield School District","ELA","Non-High Needs",658,"53.3%","72.7%"
"=""0910011""","New Fairfield School District","Math","High Needs",132,"50.0%","71.9%"
"=""0910011""","New Fairfield School District","Math","Non-High Needs",647,"60.1%","81.0%"
"=""0920011""","New Hartford School District","ELA","High Needs",36,"30.6%","61.5%"
"=""0920011""","New Hartford School District","ELA","Non-High Needs",161,"46.0%","67.5%"
"=""0920011""","New Hartford School District","Math","High Needs",36,"25.0%","53.9%"
"=""0920011""","New Hartford School District","Math","Non-High Needs",160,"33.8%","57.5%"
"=""0930011""","New Haven School District","ELA","High Needs",4654,"35.7%","61.5%"
"=""0930011""","New Haven School District","ELA","Non-High Needs",2071,"46.0%","67.4%"
"=""0930011""","New Haven School District","Math","High Needs",4733,"39.6%","62.2%"
"=""0930011""","New Haven School District","Math","Non-High Needs",2063,"44.0%","66.4%"
"=""0950011""","New London School District","ELA","High Needs",878,"31.5%","53.4%"
"=""0950011""","New London School District","ELA","Non-High Needs",115,"33.9%","57.7%"
"=""0950011""","New London School District","Math","High Needs",895,"27.3%","49.7%"
"=""0950011""","New London School District","Math","Non-High Needs",117,"25.6%","47.7%"
"=""0960011""","New Milford School District","ELA","High Needs",456,"36.4%","57.7%"
"=""0960011""","New Milford School District","ELA","Non-High Needs",1013,"42.1%","62.6%"
"=""0960011""","New Milford School District","Math","High Needs",450,"36.9%","56.6%"
"=""0960011""","New Milford School District","Math","Non-High Needs",990,"47.5%","68.2%"
"=""0940011""","Newington School District","ELA","High Needs",451,"29.3%","50.8%"
"=""0940011""","Newington School District","ELA","Non-High Needs",1070,"40.7%","61.3%"
"=""0940011""","Newington School District","Math","High Needs",453,"30.7%","50.2%"
"=""0940011""","Newington School District","Math","Non-High Needs",1069,"40.6%","58.9%"
"=""0970011""","Newtown School District","ELA","High Needs",257,"34.2%","57.0%"
"=""0970011""","Newtown School District","ELA","Non-High Needs",1447,"47.9%","65.2%"
"=""0970011""","Newtown School District","Math","High Needs",258,"43.8%","65.4%"
"=""0970011""","Newtown School District","Math","Non-High Needs",1445,"61.9%","80.3%"
"=""0980011""","Norfolk School District","ELA","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","ELA","Non-High Needs",31,"48.4%","70.6%"
"=""0980011""","Norfolk School District","Math","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","Math","Non-High Needs",31,"61.3%","81.0%"
"=""0990011""","North Branford School District","ELA","High Needs",205,"33.2%","58.2%"
"=""0990011""","North Branford School District","ELA","Non-High Needs",500,"47.4%","66.9%"
"=""0990011""","North Branford School District","Math","High Needs",206,"45.1%","63.8%"
"=""0990011""","North Branford School District","Math","Non-High Needs",499,"45.7%","67.1%"
"=""1000011""","North Canaan School District","ELA","High Needs",35,"45.7%","66.7%"
"=""1000011""","North Canaan School District","ELA","Non-High Needs",75,"64.0%","82.4%"
"=""1000011""","North Canaan School District","Math","High Needs",35,"37.1%","68.2%"
"=""1000011""","North Canaan School District","Math","Non-High Needs",75,"56.0%","76.7%"
"=""1010011""","North Haven School District","ELA","High Needs",263,"53.2%","80.0%"
"=""1010011""","North Haven School District","ELA","Non-High Needs",865,"71.1%","89.6%"
"=""1010011""","North Haven School District","Math","High Needs",264,"56.4%","79.8%"
"=""1010011""","North Haven School District","Math","Non-High Needs",866,"73.8%","94.1%"
"=""1020011""","North Stonington School District","ELA","High Needs",47,"46.8%","59.7%"
"=""1020011""","North Stonington School District","ELA","Non-High Needs",217,"49.8%","67.4%"
"=""1020011""","North Stonington School District","Math","High Needs",47,"36.2%","53.4%"
"=""1020011""","North Stonington School District","Math","Non-High Needs",217,"52.1%","70.6%"
"=""1030011""","Norwalk School District","ELA","High Needs",2334,"31.3%","54.3%"
"=""1030011""","Norwalk School District","ELA","Non-High Needs",1515,"42.2%","62.0%"
"=""1030011""","Norwalk School District","Math","High Needs",2402,"33.0%","54.3%"
"=""1030011""","Norwalk School District","Math","Non-High Needs",1513,"43.9%","65.5%"
"=""1040011""","Norwich School District","ELA","High Needs",1303,"35.8%","58.9%"
"=""1040011""","Norwich School District","ELA","Non-High Needs",326,"46.0%","66.5%"
"=""1040011""","Norwich School District","Math","High Needs",1320,"36.3%","58.1%"
"=""1040011""","Norwich School District","Math","Non-High Needs",323,"43.3%","66.0%"
"=""2630013""","Odyssey Community School District","ELA","High Needs",67,"37.3%","67.2%"
"=""2630013""","Odyssey Community School District","ELA","Non-High Needs",108,"36.1%","58.9%"
"=""2630013""","Odyssey Community School District","Math","High Needs",67,"35.8%","53.0%"
"=""2630013""","Odyssey Community School District","Math","Non-High Needs",108,"31.5%","54.8%"
"=""1060011""","Old Saybrook School District","ELA","High Needs",141,"40.4%","61.9%"
"=""1060011""","Old Saybrook School District","ELA","Non-High Needs",360,"47.5%","66.8%"
"=""1060011""","Old Saybrook School District","Math","High Needs",140,"44.3%","64.6%"
"=""1060011""","Old Saybrook School District","Math","Non-High Needs",363,"51.0%","72.9%"
"=""1070011""","Orange School District","ELA","High Needs",55,"34.5%","57.5%"
"=""1070011""","Orange School District","ELA","Non-High Needs",454,"56.2%","76.0%"
"=""1070011""","Orange School District","Math","High Needs",58,"34.5%","61.3%"
"=""1070011""","Orange School District","Math","Non-High Needs",456,"52.2%","75.8%"
"=""1080011""","Oxford School District","ELA","High Needs",147,"25.9%","50.6%"
"=""1080011""","Oxford School District","ELA","Non-High Needs",629,"42.3%","58.8%"
"=""1080011""","Oxford School District","Math","High Needs",145,"38.6%","60.6%"
"=""1080011""","Oxford School District","Math","Non-High Needs",630,"50.3%","73.0%"
"=""2830013""","Park City Prep Charter School District","ELA","High Needs",261,"44.8%","69.2%"
"=""2830013""","Park City Prep Charter School District","ELA","Non-High Needs",76,"51.3%","76.5%"
"=""2830013""","Park City Prep Charter School District","Math","High Needs",260,"55.0%","75.1%"
"=""2830013""","Park City Prep Charter School District","Math","Non-High Needs",76,"65.8%","83.9%"
"=""1090011""","Plainfield School District","ELA","High Needs",453,"46.4%","70.2%"
"=""1090011""","Plainfield School District","ELA","Non-High Needs",349,"49.9%","71.5%"
"=""1090011""","Plainfield School District","Math","High Needs",453,"55.4%","78.5%"
"=""1090011""","Plainfield School District","Math","Non-High Needs",346,"57.5%","81.1%"
"=""1100011""","Plainville School District","ELA","High Needs",353,"36.8%","61.4%"
"=""1100011""","Plainville School District","ELA","Non-High Needs",503,"47.1%","68.8%"
"=""1100011""","Plainville School District","Math","High Needs",353,"31.4%","59.0%"
"=""1100011""","Plainville School District","Math","Non-High Needs",503,"45.5%","67.1%"
"=""1110011""","Plymouth School District","ELA","High Needs",204,"35.3%","59.2%"
"=""1110011""","Plymouth School District","ELA","Non-High Needs",332,"49.1%","67.0%"
"=""1110011""","Plymouth School District","Math","High Needs",207,"42.0%","67.6%"
"=""1110011""","Plymouth School District","Math","Non-High Needs",332,"54.5%","77.5%"
"=""1120011""","Pomfret School District","ELA","High Needs",58,"44.8%","60.2%"
"=""1120011""","Pomfret School District","ELA","Non-High Needs",163,"54.0%","74.0%"
"=""1120011""","Pomfret School District","Math","High Needs",58,"36.2%","56.6%"
"=""1120011""","Pomfret School District","Math","Non-High Needs",163,"53.4%","72.5%"
"=""1130011""","Portland School District","ELA","High Needs",130,"40.0%","58.6%"
"=""1130011""","Portland School District","ELA","Non-High Needs",378,"51.9%","71.1%"
"=""1130011""","Portland School District","Math","High Needs",130,"40.0%","66.5%"
"=""1130011""","Portland School District","Math","Non-High Needs",378,"50.0%","71.8%"
"=""1140011""","Preston School District","ELA","High Needs",76,"34.2%","55.1%"
"=""1140011""","Preston School District","ELA","Non-High Needs",139,"38.1%","55.8%"
"=""1140011""","Preston School District","Math","High Needs",75,"37.3%","58.9%"
"=""1140011""","Preston School District","Math","Non-High Needs",139,"45.3%","64.5%"
"=""1160011""","Putnam School District","ELA","High Needs",232,"41.4%","61.0%"
"=""1160011""","Putnam School District","ELA","Non-High Needs",163,"47.2%","68.4%"
"=""1160011""","Putnam School District","Math","High Needs",233,"43.3%","66.3%"
"=""1160011""","Putnam School District","Math","Non-High Needs",162,"55.6%","74.7%"
"=""1170011""","Redding School District","ELA","High Needs",69,"36.2%","56.6%"
"=""1170011""","Redding School District","ELA","Non-High Needs",433,"53.8%","70.9%"
"=""1170011""","Redding School District","Math","High Needs",67,"52.2%","71.6%"
"=""1170011""","Redding School District","Math","Non-High Needs",429,"56.2%","75.6%"
"=""2010012""","Regional School District 01","ELA","High Needs","*","*","*"
"=""2010012""","Regional School District 01","Math","High Needs","*","*","*"
"=""2040012""","Regional School District 04","ELA","High Needs",78,"32.1%","49.2%"
"=""2040012""","Regional School District 04","ELA","Non-High Needs",222,"46.4%","60.5%"
"=""2040012""","Regional School District 04","Math","High Needs",78,"35.9%","50.9%"
"=""2040012""","Regional School District 04","Math","Non-High Needs",222,"43.2%","61.7%"
"=""2050012""","Regional School District 05","ELA","High Needs",107,"39.3%","56.0%"
"=""2050012""","Regional School District 05","ELA","Non-High Needs",607,"52.9%","71.7%"
"=""2050012""","Regional School District 05","Math","High Needs",107,"36.4%","50.4%"
"=""2050012""","Regional School District 05","Math","Non-High Needs",607,"61.9%","78.2%"
"=""2060012""","Regional School District 06","ELA","High Needs",62,"38.7%","53.8%"
"=""2060012""","Regional School District 06","ELA","Non-High Needs",182,"47.8%","66.5%"
"=""2060012""","Regional School District 06","Math","High Needs",62,"33.9%","52.6%"
"=""2060012""","Regional School District 06","Math","Non-High Needs",180,"42.8%","62.1%"
"=""2070012""","Regional School District 07","ELA","High Needs",50,"40.0%","60.1%"
"=""2070012""","Regional School District 07","ELA","Non-High Needs",239,"48.5%","64.5%"
"=""2070012""","Regional School District 07","Math","High Needs",50,"44.0%","60.4%"
"=""2070012""","Regional School District 07","Math","Non-High Needs",236,"62.7%","79.8%"
"=""2080012""","Regional School District 08","ELA","High Needs",98,"30.6%","50.9%"
"=""2080012""","Regional School District 08","ELA","Non-High Needs",451,"38.1%","54.5%"
"=""2080012""","Regional School District 08","Math","High Needs",99,"35.4%","58.1%"
"=""2080012""","Regional School District 08","Math","Non-High Needs",450,"44.0%","59.7%"
"=""2100012""","Regional School District 10","ELA","High Needs",138,"35.5%","57.7%"
"=""2100012""","Regional School District 10","ELA","Non-High Needs",773,"44.2%","64.2%"
"=""2100012""","Regional School District 10","Math","High Needs",138,"35.5%","53.1%"
"=""2100012""","Regional School District 10","Math","Non-High Needs",773,"41.7%","61.8%"
"=""2110012""","Regional School District 11","ELA","High Needs",35,"48.6%","64.1%"
"=""2110012""","Regional School District 11","ELA","Non-High Needs",47,"46.8%","66.3%"
"=""2110012""","Regional School District 11","Math","High Needs",33,"39.4%","61.4%"
"=""2110012""","Regional School District 11","Math","Non-High Needs",47,"53.2%","71.2%"
"=""2120012""","Regional School District 12","ELA","High Needs",57,"52.6%","75.9%"
"=""2120012""","Regional School District 12","ELA","Non-High Needs",198,"55.1%","75.9%"
"=""2120012""","Regional School District 12","Math","High Needs",57,"56.1%","76.8%"
"=""2120012""","Regional School District 12","Math","Non-High Needs",197,"64.5%","85.1%"
"=""2130012""","Regional School District 13","ELA","High Needs",140,"33.6%","61.6%"
"=""2130012""","Regional School District 13","ELA","Non-High Needs",530,"50.9%","71.3%"
"=""2130012""","Regional School District 13","Math","High Needs",140,"32.1%","57.4%"
"=""2130012""","Regional School District 13","Math","Non-High Needs",529,"51.0%","72.7%"
"=""2140012""","Regional School District 14","ELA","High Needs",129,"34.9%","57.0%"
"=""2140012""","Regional School District 14","ELA","Non-High Needs",414,"40.3%","61.3%"
"=""2140012""","Regional School District 14","Math","High Needs",129,"28.7%","49.2%"
"=""2140012""","Regional School District 14","Math","Non-High Needs",413,"34.9%","56.8%"
"=""2150012""","Regional School District 15","ELA","High Needs",261,"37.5%","59.1%"
"=""2150012""","Regional School District 15","ELA","Non-High Needs",1208,"54.4%","73.7%"
"=""2150012""","Regional School District 15","Math","High Needs",262,"31.3%","53.1%"
"=""2150012""","Regional School District 15","Math","Non-High Needs",1208,"56.0%","76.6%"
"=""2160012""","Regional School District 16","ELA","High Needs",206,"40.3%","65.1%"
"=""2160012""","Regional School District 16","ELA","Non-High Needs",592,"44.9%","66.1%"
"=""2160012""","Regional School District 16","Math","High Needs",202,"42.1%","63.2%"
"=""2160012""","Regional School District 16","Math","Non-High Needs",576,"40.8%","63.1%"
"=""2170012""","Regional School District 17","ELA","High Needs",211,"42.2%","64.2%"
"=""2170012""","Regional School District 17","ELA","Non-High Needs",676,"54.1%","71.5%"
"=""2170012""","Regional School District 17","Math","High Needs",208,"48.6%","70.2%"
"=""2170012""","Regional School District 17","Math","Non-High Needs",675,"55.7%","76.2%"
"=""2180012""","Regional School District 18","ELA","High Needs",77,"37.7%","56.5%"
"=""2180012""","Regional School District 18","ELA","Non-High Needs",427,"54.3%","71.7%"
"=""2180012""","Regional School District 18","Math","High Needs",76,"46.1%","68.3%"
"=""2180012""","Regional School District 18","Math","Non-High Needs",427,"60.2%","76.6%"
"=""1180011""","Ridgefield School District","ELA","High Needs",215,"33.0%","54.2%"
"=""1180011""","Ridgefield School District","ELA","Non-High Needs",1638,"54.3%","70.2%"
"=""1180011""","Ridgefield School District","Math","High Needs",218,"36.7%","54.7%"
"=""1180011""","Ridgefield School District","Math","Non-High Needs",1634,"56.5%","76.8%"
"=""1190011""","Rocky Hill School District","ELA","High Needs",193,"36.3%","58.5%"
"=""1190011""","Rocky Hill School District","ELA","Non-High Needs",693,"46.3%","63.7%"
"=""1190011""","Rocky Hill School District","Math","High Needs",198,"42.4%","64.4%"
"=""1190011""","Rocky Hill School District","Math","Non-High Needs",692,"51.0%","70.5%"
"=""1210011""","Salem School District","ELA","High Needs",48,"45.8%","68.5%"
"=""1210011""","Salem School District","ELA","Non-High Needs",147,"62.6%","82.0%"
"=""1210011""","Salem School District","Math","High Needs",48,"33.3%","55.4%"
"=""1210011""","Salem School District","Math","Non-High Needs",147,"55.8%","72.9%"
"=""1220011""","Salisbury School District","ELA","High Needs",23,"30.4%","57.9%"
"=""1220011""","Salisbury School District","ELA","Non-High Needs",102,"51.0%","63.5%"
"=""1220011""","Salisbury School District","Math","High Needs",23,"43.5%","73.6%"
"=""1220011""","Salisbury School District","Math","Non-High Needs",102,"58.8%","76.5%"
"=""1230011""","Scotland School District","ELA","High Needs",15,"*","*"
"=""1230011""","Scotland School District","ELA","Non-High Needs",29,"62.1%","77.1%"
"=""1230011""","Scotland School District","Math","High Needs",15,"*","*"
"=""1230011""","Scotland School District","Math","Non-High Needs",29,"37.9%","65.4%"
"=""1240011""","Seymour School District","ELA","High Needs",309,"32.4%","53.8%"
"=""1240011""","Seymour School District","ELA","Non-High Needs",547,"41.0%","59.5%"
"=""1240011""","Seymour School District","Math","High Needs",308,"40.9%","64.5%"
"=""1240011""","Seymour School District","Math","Non-High Needs",547,"53.0%","73.6%"
"=""1250011""","Sharon School District","ELA","High Needs",23,"39.1%","70.7%"
"=""1250011""","Sharon School District","ELA","Non-High Needs",45,"46.7%","63.6%"
"=""1250011""","Sharon School District","Math","High Needs",23,"47.8%","75.1%"
"=""1250011""","Sharon School District","Math","Non-High Needs",45,"51.1%","62.8%"
"=""1260011""","Shelton School District","ELA","High Needs",587,"38.5%","60.6%"
"=""1260011""","Shelton School District","ELA","Non-High Needs",1251,"55.8%","73.2%"
"=""1260011""","Shelton School District","Math","High Needs",588,"43.4%","65.4%"
"=""1260011""","Shelton School District","Math","Non-High Needs",1252,"52.2%","72.9%"
"=""1270011""","Sherman School District","ELA","High Needs",18,"*","*"
"=""1270011""","Sherman School District","ELA","Non-High Needs",81,"53.1%","71.9%"
"=""1270011""","Sherman School District","Math","High Needs",18,"*","*"
"=""1270011""","Sherman School District","Math","Non-High Needs",82,"54.9%","80.7%"
"=""2700013""","Side By Side Charter School District","ELA","High Needs",66,"37.9%","59.0%"
"=""2700013""","Side By Side Charter School District","ELA","Non-High Needs",42,"42.9%","62.3%"
"=""2700013""","Side By Side Charter School District","Math","High Needs",65,"50.8%","71.3%"
"=""2700013""","Side By Side Charter School District","Math","Non-High Needs",42,"61.9%","81.6%"
"=""1280011""","Simsbury School District","ELA","High Needs",303,"44.6%","65.9%"
"=""1280011""","Simsbury School District","ELA","Non-High Needs",1251,"58.8%","76.0%"
"=""1280011""","Simsbury School District","Math","High Needs",300,"38.3%","59.3%"
"=""1280011""","Simsbury School District","Math","Non-High Needs",1244,"57.3%","77.3%"
"=""1290011""","Somers School District","ELA","High Needs",91,"40.7%","60.8%"
"=""1290011""","Somers School District","ELA","Non-High Needs",445,"48.1%","67.8%"
"=""1290011""","Somers School District","Math","High Needs",91,"31.9%","52.6%"
"=""1290011""","Somers School District","Math","Non-High Needs",444,"51.6%","76.1%"
"=""1320011""","South Windsor School District","ELA","High Needs",359,"37.6%","62.6%"
"=""1320011""","South Windsor School District","ELA","Non-High Needs",1153,"53.4%","69.5%"
"=""1320011""","South Windsor School District","Math","High Needs",358,"40.5%","61.6%"
"=""1320011""","South Windsor School District","Math","Non-High Needs",1149,"59.4%","79.8%"
"=""1310011""","Southington School District","ELA","High Needs",623,"32.9%","54.7%"
"=""1310011""","Southington School District","ELA","Non-High Needs",1881,"41.8%","61.3%"
"=""1310011""","Southington School District","Math","High Needs",621,"32.7%","53.4%"
"=""1310011""","Southington School District","Math","Non-High Needs",1880,"41.4%","63.4%"
"=""1330011""","Sprague School District","ELA","High Needs",91,"41.8%","62.9%"
"=""1330011""","Sprague School District","ELA","Non-High Needs",73,"43.8%","60.5%"
"=""1330011""","Sprague School District","Math","High Needs",92,"30.4%","57.7%"
"=""1330011""","Sprague School District","Math","Non-High Needs",73,"42.5%","62.3%"
"=""1340011""","Stafford School District","ELA","High Needs",218,"43.6%","68.3%"
"=""1340011""","Stafford School District","ELA","Non-High Needs",317,"45.7%","64.8%"
"=""1340011""","Stafford School District","Math","High Needs",219,"26.5%","55.8%"
"=""1340011""","Stafford School District","Math","Non-High Needs",317,"47.9%","71.0%"
"=""1350011""","Stamford School District","ELA","High Needs",3081,"36.4%","60.0%"
"=""1350011""","Stamford School District","ELA","Non-High Needs",2157,"49.2%","67.4%"
"=""1350011""","Stamford School District","Math","High Needs",3152,"33.5%","56.4%"
"=""1350011""","Stamford School District","Math","Non-High Needs",2159,"48.9%","69.2%"
"=""0000000""","State of Connecticut","ELA","High Needs",83738,"35.2%","58.3%"
"=""0000000""","State of Connecticut","ELA","Non-High Needs",101607,"49.6%","68.3%"
"=""0000000""","State of Connecticut","Math","High Needs",84435,"35.7%","57.4%"
"=""0000000""","State of Connecticut","Math","Non-High Needs",101429,"50.7%","71.2%"
"=""1360011""","Sterling School District","ELA","High Needs",89,"34.8%","61.0%"
"=""1360011""","Sterling School District","ELA","Non-High Needs",138,"45.7%","66.6%"
"=""1360011""","Sterling School District","Math","High Needs",88,"40.9%","64.6%"
"=""1360011""","Sterling School District","Math","Non-High Needs",138,"48.6%","67.7%"
"=""1370011""","Stonington School District","ELA","High Needs",227,"32.6%","53.0%"
"=""1370011""","Stonington School District","ELA","Non-High Needs",529,"50.7%","65.1%"
"=""1370011""","Stonington School District","Math","High Needs",226,"37.6%","60.0%"
"=""1370011""","Stonington School District","Math","Non-High Needs",530,"52.1%","73.1%"
"=""1380011""","Stratford School District","ELA","High Needs",1317,"36.4%","59.0%"
"=""1380011""","Stratford School District","ELA","Non-High Needs",1225,"42.4%","62.1%"
"=""1380011""","Stratford School District","Math","High Needs",1319,"40.4%","61.1%"
"=""1380011""","Stratford School District","Math","Non-High Needs",1221,"49.7%","70.0%"
"=""1390011""","Suffield School District","ELA","High Needs",147,"34.0%","53.1%"
"=""1390011""","Suffield School District","ELA","Non-High Needs",667,"45.6%","63.2%"
"=""1390011""","Suffield School District","Math","High Needs",150,"37.3%","59.8%"
"=""1390011""","Suffield School District","Math","Non-High Needs",663,"43.6%","64.8%"
"=""2690013""","The Bridge Academy District","ELA","High Needs",89,"24.7%","45.0%"
"=""2690013""","The Bridge Academy District","ELA","Non-High Needs",8,"*","*"
"=""2690013""","The Bridge Academy District","Math","High Needs",89,"50.6%","71.5%"
"=""2690013""","The Bridge Academy District","Math","Non-High Needs",8,"*","*"
"=""9020022""","The Gilbert School District","ELA","High Needs",84,"27.4%","43.4%"
"=""9020022""","The Gilbert School District","ELA","Non-High Needs",73,"27.4%","44.1%"
"=""9020022""","The Gilbert School District","Math","High Needs",84,"34.5%","52.5%"
"=""9020022""","The Gilbert School District","Math","Non-High Needs",72,"41.7%","57.0%"
"=""1400011""","Thomaston School District","ELA","High Needs",120,"31.7%","58.1%"
"=""1400011""","Thomaston School District","ELA","Non-High Needs",252,"43.7%","67.5%"
"=""1400011""","Thomaston School District","Math","High Needs",122,"32.0%","54.5%"
"=""1400011""","Thomaston School District","Math","Non-High Needs",252,"40.5%","62.7%"
"=""1410011""","Thompson School District","ELA","High Needs",154,"18.8%","43.2%"
"=""1410011""","Thompson School District","ELA","Non-High Needs",217,"29.5%","45.5%"
"=""1410011""","Thompson School District","Math","High Needs",154,"27.3%","48.4%"
"=""1410011""","Thompson School District","Math","Non-High Needs",215,"27.4%","49.3%"
"=""1420011""","Tolland School District","ELA","High Needs",172,"33.7%","54.9%"
"=""1420011""","Tolland School District","ELA","Non-High Needs",835,"48.3%","66.5%"
"=""1420011""","Tolland School District","Math","High Needs",175,"38.3%","58.9%"
"=""1420011""","Tolland School District","Math","Non-High Needs",832,"50.8%","72.4%"
"=""1430011""","Torrington School District","ELA","High Needs",879,"29.8%","51.1%"
"=""1430011""","Torrington School District","ELA","Non-High Needs",622,"32.5%","52.2%"
"=""1430011""","Torrington School District","Math","High Needs",879,"30.5%","51.4%"
"=""1430011""","Torrington School District","Math","Non-High Needs",620,"33.2%","55.9%"
"=""2780013""","Trailblazers Academy District","ELA","High Needs","*","20.6%","40.4%"
"=""2780013""","Trailblazers Academy District","ELA","Non-High Needs","*","*","*"
"=""2780013""","Trailblazers Academy District","Math","High Needs","*","20.8%","35.5%"
"=""2780013""","Trailblazers Academy District","Math","Non-High Needs","*","*","*"
"=""1440011""","Trumbull School District","ELA","High Needs",441,"56.5%","78.7%"
"=""1440011""","Trumbull School District","ELA","Non-High Needs",1900,"71.5%","88.3%"
"=""1440011""","Trumbull School District","Math","High Needs",444,"52.9%","76.1%"
"=""1440011""","Trumbull School District","Math","Non-High Needs",1902,"73.4%","91.9%"
"=""3470015""","Unified School District #2","ELA","High Needs","*","*","*"
"=""3470015""","Unified School District #2","Math","High Needs","*","*","*"
"=""1450011""","Union School District","ELA","High Needs",6,"*","*"
"=""1450011""","Union School District","ELA","Non-High Needs",33,"54.5%","74.6%"
"=""1450011""","Union School District","Math","High Needs",6,"*","*"
"=""1450011""","Union School District","Math","Non-High Needs",33,"63.6%","81.0%"
"=""1460011""","Vernon School District","ELA","High Needs",561,"34.2%","56.0%"
"=""1460011""","Vernon School District","ELA","Non-High Needs",514,"46.9%","65.8%"
"=""1460011""","Vernon School District","Math","High Needs",561,"38.5%","61.3%"
"=""1460011""","Vernon School District","Math","Non-High Needs",511,"47.6%","71.3%"
"=""1470011""","Voluntown School District","ELA","High Needs",56,"26.8%","50.4%"
"=""1470011""","Voluntown School District","ELA","Non-High Needs",88,"43.2%","63.5%"
"=""1470011""","Voluntown School District","Math","High Needs",56,"46.4%","74.6%"
"=""1470011""","Voluntown School District","Math","Non-High Needs",88,"52.3%","75.6%"
"=""1480011""","Wallingford School District","ELA","High Needs",623,"36.1%","60.6%"
"=""1480011""","Wallingford School District","ELA","Non-High Needs",1542,"47.7%","67.9%"
"=""1480011""","Wallingford School District","Math","High Needs",628,"33.9%","55.7%"
"=""1480011""","Wallingford School District","Math","Non-High Needs",1542,"39.6%","62.4%"
"=""1510011""","Waterbury School District","ELA","High Needs",5399,"32.4%","56.7%"
"=""1510011""","Waterbury School District","ELA","Non-High Needs",898,"38.2%","58.8%"
"=""1510011""","Waterbury School District","Math","High Needs",5456,"29.5%","50.6%"
"=""1510011""","Waterbury School District","Math","Non-High Needs",898,"36.9%","57.6%"
"=""1520011""","Waterford School District","ELA","High Needs",308,"35.1%","58.8%"
"=""1520011""","Waterford School District","ELA","Non-High Needs",660,"48.3%","66.1%"
"=""1520011""","Waterford School District","Math","High Needs",309,"35.6%","55.0%"
"=""1520011""","Waterford School District","Math","Non-High Needs",660,"51.2%","71.7%"
"=""1530011""","Watertown School District","ELA","High Needs",372,"42.7%","65.2%"
"=""1530011""","Watertown School District","ELA","Non-High Needs",673,"47.3%","69.0%"
"=""1530011""","Watertown School District","Math","High Needs",372,"31.7%","53.1%"
"=""1530011""","Watertown School District","Math","Non-High Needs",673,"39.5%","62.8%"
"=""1550011""","West Hartford School District","ELA","High Needs",940,"31.0%","53.7%"
"=""1550011""","West Hartford School District","ELA","Non-High Needs",2558,"49.3%","65.7%"
"=""1550011""","West Hartford School District","Math","High Needs",942,"34.1%","56.2%"
"=""1550011""","West Hartford School District","Math","Non-High Needs",2552,"50.3%","69.3%"
"=""1560011""","West Haven School District","ELA","High Needs",1369,"36.3%","59.5%"
"=""1560011""","West Haven School District","ELA","Non-High Needs",634,"42.9%","64.7%"
"=""1560011""","West Haven School District","Math","High Needs",1382,"45.5%","67.5%"
"=""1560011""","West Haven School District","Math","Non-High Needs",632,"50.3%","73.7%"
"=""1540011""","Westbrook School District","ELA","High Needs",65,"46.2%","68.9%"
"=""1540011""","Westbrook School District","ELA","Non-High Needs",193,"51.8%","72.0%"
"=""1540011""","Westbrook School District","Math","High Needs",67,"61.2%","78.7%"
"=""1540011""","Westbrook School District","Math","Non-High Needs",193,"60.6%","83.6%"
