"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0480011""","Ellington School District","Math","Not Eligible for Free/Reduced Lunch",915,"49.1%","71.3%"
"=""0480011""","Ellington School District","Math","Eligible for Reduced Lunch",12,"*","*"
"=""2890013""","Elm City College Preparatory School District","ELA","Eligible for Free Lunch",215,"53.5%","76.0%"
"=""2890013""","Elm City College Preparatory School District","ELA","Not Eligible for Free/Reduced Lunch",59,"67.8%","82.1%"
"=""2890013""","Elm City College Preparatory School District","ELA","Eligible for Reduced Lunch",36,"38.9%","60.4%"
"=""2890013""","Elm City College Preparatory School District","Math","Eligible for Free Lunch",215,"44.7%","64.9%"
"=""2890013""","Elm City College Preparatory School District","Math","Not Eligible for Free/Reduced Lunch",59,"55.9%","80.0%"
"=""2890013""","Elm City College Preparatory School District","Math","Eligible for Reduced Lunch",36,"41.7%","63.5%"
"=""0490011""","Enfield School District","ELA","Eligible for Free Lunch",536,"36.8%","61.4%"
"=""0490011""","Enfield School District","ELA","Not Eligible for Free/Reduced Lunch",1043,"50.0%","70.7%"
"=""0490011""","Enfield School District","ELA","Eligible for Reduced Lunch",135,"37.8%","58.5%"
"=""0490011""","Enfield School District","Math","Eligible for Free Lunch",535,"31.6%","56.1%"
"=""0490011""","Enfield School District","Math","Not Eligible for Free/Reduced Lunch",1039,"35.8%","58.9%"
"=""0490011""","Enfield School District","Math","Eligible for Reduced Lunch",135,"34.1%","61.0%"
"=""0500011""","Essex School District","ELA","Eligible for Free Lunch",9,"*","*"
"=""0500011""","Essex School District","ELA","Not Eligible for Free/Reduced Lunch",166,"50.6%","69.6%"
"=""0500011""","Essex School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0500011""","Essex School District","Math","Eligible for Free Lunch",9,"*","*"
"=""0500011""","Essex School District","Math","Not Eligible for Free/Reduced Lunch",167,"58.1%","81.5%"
"=""0500011""","Essex School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""0510011""","Fairfield School District","ELA","Eligible for Free Lunch",293,"44.7%","66.8%"
"=""0510011""","Fairfield School District","ELA","Not Eligible for Free/Reduced Lunch",3444,"50.9%","70.3%"
"=""0510011""","Fairfield School District","ELA","Eligible for Reduced Lunch",67,"41.8%","64.9%"
"=""0510011""","Fairfield School District","Math","Eligible for Free Lunch",294,"36.1%","56.6%"
"=""0510011""","Fairfield School District","Math","Not Eligible for Free/Reduced Lunch",3435,"50.4%","72.0%"
"=""0510011""","Fairfield School District","Math","Eligible for Reduced Lunch",66,"36.4%","57.4%"
"=""0520011""","Farmington School District","ELA","Eligible for Free Lunch",142,"38.0%","60.3%"
"=""0520011""","Farmington School District","ELA","Not Eligible for Free/Reduced Lunch",1352,"55.3%","73.1%"
"=""0520011""","Farmington School District","ELA","Eligible for Reduced Lunch",18,"*","*"
"=""0520011""","Farmington School District","Math","Eligible for Free Lunch",144,"45.1%","71.1%"
"=""0520011""","Farmington School District","Math","Not Eligible for Free/Reduced Lunch",1357,"66.8%","85.6%"
"=""0520011""","Farmington School District","Math","Eligible for Reduced Lunch",18,"*","*"
"=""0530011""","Franklin School District","ELA","Eligible for Free Lunch",13,"*","*"
"=""0530011""","Franklin School District","ELA","Not Eligible for Free/Reduced Lunch",75,"38.7%","54.8%"
"=""0530011""","Franklin School District","Math","Eligible for Free Lunch",13,"*","*"
"=""0530011""","Franklin School District","Math","Not Eligible for Free/Reduced Lunch",75,"29.3%","50.1%"
"=""0540011""","Glastonbury School District","ELA","Eligible for Free Lunch",173,"34.1%","54.8%"
"=""0540011""","Glastonbury School District","ELA","Not Eligible for Free/Reduced Lunch",2096,"52.4%","69.7%"
"=""0540011""","Glastonbury School District","ELA","Eligible for Reduced Lunch",46,"34.8%","54.5%"
"=""0540011""","Glastonbury School District","Math","Eligible for Free Lunch",171,"39.2%","63.8%"
"=""0540011""","Glastonbury School District","Math","Not Eligible for Free/Reduced Lunch",2096,"59.4%","79.2%"
"=""0540011""","Glastonbury School District","Math","Eligible for Reduced Lunch",46,"45.7%","68.2%"
"=""0560011""","Granby School District","ELA","Eligible for Free Lunch",59,"33.9%","54.6%"
"=""0560011""","Granby School District","ELA","Not Eligible for Free/Reduced Lunch",613,"61.0%","78.9%"
"=""0560011""","Granby School District","ELA","Eligible for Reduced Lunch",15,"*","*"
"=""0560011""","Granby School District","Math","Eligible for Free Lunch",59,"23.7%","51.8%"
"=""0560011""","Granby School District","Math","Not Eligible for Free/Reduced Lunch",612,"54.4%","75.1%"
"=""0560011""","Granby School District","Math","Eligible for Reduced Lunch",15,"*","*"
"=""2940013""","Great Oaks Charter School District","ELA","Eligible for Free Lunch",142,"38.7%","57.6%"
"=""2940013""","Great Oaks Charter School District","ELA","Not Eligible for Free/Reduced Lunch",36,"50.0%","71.2%"
"=""2940013""","Great Oaks Charter School District","ELA","Eligible for Reduced Lunch",28,"35.7%","57.7%"
"=""2940013""","Great Oaks Charter School District","Math","Eligible for Free Lunch",140,"38.6%","56.9%"
"=""2940013""","Great Oaks Charter School District","Math","Not Eligible for Free/Reduced Lunch",35,"65.7%","82.9%"
"=""2940013""","Great Oaks Charter School District","Math","Eligible for Reduced Lunch",28,"50.0%","67.1%"
"=""0570011""","Greenwich School District","ELA","Eligible for Free Lunch",340,"40.9%","63.3%"
"=""0570011""","Greenwich School District","ELA","Not Eligible for Free/Reduced Lunch",2582,"56.0%","73.2%"
"=""0570011""","Greenwich School District","ELA","Eligible for Reduced Lunch",103,"44.7%","64.4%"
"=""0570011""","Greenwich School District","Math","Eligible for Free Lunch",343,"43.7%","64.3%"
"=""0570011""","Greenwich School District","Math","Not Eligible for Free/Reduced Lunch",2614,"57.6%","75.5%"
"=""0570011""","Greenwich School District","Math","Eligible for Reduced Lunch",103,"48.5%","70.2%"
"=""0580011""","Griswold School District","ELA","Eligible for Free Lunch",218,"34.4%","56.7%"
"=""0580011""","Griswold School District","ELA","Not Eligible for Free/Reduced Lunch",374,"46.5%","68.2%"
"=""0580011""","Griswold School District","ELA","Eligible for Reduced Lunch",43,"44.2%","60.0%"
"=""0580011""","Griswold School District","Math","Eligible for Free Lunch",218,"46.3%","67.2%"
"=""0580011""","Griswold School District","Math","Not Eligible for Free/Reduced Lunch",374,"53.7%","73.8%"
"=""0580011""","Griswold School District","Math","Eligible for Reduced Lunch",43,"37.2%","55.9%"
"=""0590011""","Groton School District","ELA","Eligible for Free Lunch",471,"36.5%","56.0%"
"=""0590011""","Groton School District","ELA","Not Eligible for Free/Reduced Lunch",773,"44.2%","64.2%"
"=""0590011""","Groton School District","ELA","Eligible for Reduced Lunch",159,"39.0%","61.4%"
"=""0590011""","Groton School District","Math","Eligible for Free Lunch",477,"37.5%","58.1%"
"=""0590011""","Groton School District","Math","Not Eligible for Free/Reduced Lunch",773,"50.3%","69.7%"
"=""0590011""","Groton School District","Math","Eligible for Reduced Lunch",162,"45.7%","66.0%"
"=""0600011""","Guilford School District","ELA","Eligible for Free Lunch",84,"48.8%","66.6%"
"=""0600011""","Guilford School District","ELA","Not Eligible for Free/Reduced Lunch",1188,"54.6%","73.0%"
"=""0600011""","Guilford School District","ELA","Eligible for Reduced Lunch",31,"48.4%","59.9%"
"=""0600011""","Guilford School District","Math","Eligible for Free Lunch",85,"52.9%","74.1%"
"=""0600011""","Guilford School District","Math","Not Eligible for Free/Reduced Lunch",1186,"58.6%","78.7%"
"=""0600011""","Guilford School District","Math","Eligible for Reduced Lunch",31,"48.4%","64.7%"
"=""0620011""","Hamden School District","ELA","Eligible for Free Lunch",620,"31.8%","54.1%"
"=""0620011""","Hamden School District","ELA","Not Eligible for Free/Reduced Lunch",1069,"40.3%","59.0%"
"=""0620011""","Hamden School District","ELA","Eligible for Reduced Lunch",146,"38.4%","58.5%"
"=""0620011""","Hamden School District","Math","Eligible for Free Lunch",624,"32.7%","52.6%"
"=""0620011""","Hamden School District","Math","Not Eligible for Free/Reduced Lunch",1065,"38.5%","58.7%"
"=""0620011""","Hamden School District","Math","Eligible for Reduced Lunch",144,"32.6%","57.0%"
"=""0630011""","Hampton School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0630011""","Hampton School District","ELA","Not Eligible for Free/Reduced Lunch",20,"55.0%","80.4%"
"=""0630011""","Hampton School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0630011""","Hampton School District","Math","Eligible for Free Lunch","*","*","*"
"=""0630011""","Hampton School District","Math","Not Eligible for Free/Reduced Lunch",19,"*","*"
"=""0630011""","Hampton School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0640011""","Hartford School District","ELA","Eligible for Free Lunch",5643,"30.7%","53.7%"
"=""0640011""","Hartford School District","ELA","Not Eligible for Free/Reduced Lunch",1045,"40.6%","58.9%"
"=""0640011""","Hartford School District","ELA","Eligible for Reduced Lunch",120,"30.8%","49.3%"
"=""0640011""","Hartford School District","Math","Eligible for Free Lunch",5730,"32.5%","54.7%"
"=""0640011""","Hartford School District","Math","Not Eligible for Free/Reduced Lunch",1060,"42.0%","62.9%"
"=""0640011""","Hartford School District","Math","Eligible for Reduced Lunch",120,"26.7%","44.3%"
"=""0650011""","Hartland School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0650011""","Hartland School District","ELA","Not Eligible for Free/Reduced Lunch",91,"59.3%","81.0%"
"=""0650011""","Hartland School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0650011""","Hartland School District","Math","Eligible for Free Lunch","*","*","*"
"=""0650011""","Hartland School District","Math","Not Eligible for Free/Reduced Lunch",90,"63.3%","85.5%"
"=""0650011""","Hartland School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0670011""","Hebron School District","ELA","Eligible for Free Lunch",29,"31.0%","68.7%"
"=""0670011""","Hebron School District","ELA","Not Eligible for Free/Reduced Lunch",305,"46.9%","69.3%"
"=""0670011""","Hebron School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0670011""","Hebron School District","Math","Eligible for Free Lunch",29,"51.7%","82.1%"
"=""0670011""","Hebron School District","Math","Not Eligible for Free/Reduced Lunch",306,"56.9%","81.8%"
"=""0670011""","Hebron School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""2860013""","Highville Charter School District","ELA","Eligible for Free Lunch",87,"44.8%","62.9%"
"=""2860013""","Highville Charter School District","ELA","Not Eligible for Free/Reduced Lunch",65,"16.9%","39.4%"
"=""2860013""","Highville Charter School District","ELA","Eligible for Reduced Lunch",29,"31.0%","65.1%"
"=""2860013""","Highville Charter School District","Math","Eligible for Free Lunch",87,"44.8%","69.5%"
"=""2860013""","Highville Charter School District","Math","Not Eligible for Free/Reduced Lunch",65,"47.7%","62.2%"
"=""2860013""","Highville Charter School District","Math","Eligible for Reduced Lunch",29,"51.7%","76.1%"
"=""2640013""","Integrated Day Charter School District","ELA","Eligible for Free Lunch",37,"27.0%","43.4%"
"=""2640013""","Integrated Day Charter School District","ELA","Not Eligible for Free/Reduced Lunch",103,"32.0%","54.4%"
"=""2640013""","Integrated Day Charter School District","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""2640013""","Integrated Day Charter School District","Math","Eligible for Free Lunch",35,"45.7%","61.5%"
"=""2640013""","Integrated Day Charter School District","Math","Not Eligible for Free/Reduced Lunch",102,"41.2%","63.8%"
"=""2640013""","Integrated Day Charter School District","Math","Eligible for Reduced Lunch",17,"*","*"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Eligible for Free Lunch",147,"31.3%","45.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Not Eligible for Free/Reduced Lunch",75,"36.0%","52.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Eligible for Reduced Lunch",32,"31.3%","45.7%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Eligible for Free Lunch",145,"17.2%","33.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Not Eligible for Free/Reduced Lunch",75,"20.0%","34.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Eligible for Reduced Lunch",32,"21.9%","30.0%"
"=""2610013""","Jumoke Academy District","ELA","Eligible for Free Lunch",175,"33.7%","53.7%"
"=""2610013""","Jumoke Academy District","ELA","Not Eligible for Free/Reduced Lunch",102,"40.2%","60.2%"
"=""2610013""","Jumoke Academy District","ELA","Eligible for Reduced Lunch",48,"27.1%","45.2%"
"=""2610013""","Jumoke Academy District","Math","Eligible for Free Lunch",175,"35.4%","57.9%"
"=""2610013""","Jumoke Academy District","Math","Not Eligible for Free/Reduced Lunch",103,"42.7%","59.0%"
"=""2610013""","Jumoke Academy District","Math","Eligible for Reduced Lunch",48,"18.8%","40.5%"
"=""0680011""","Kent School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0680011""","Kent School District","ELA","Not Eligible for Free/Reduced Lunch",108,"50.0%","65.0%"
"=""0680011""","Kent School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0680011""","Kent School District","Math","Eligible for Free Lunch","*","*","*"
"=""0680011""","Kent School District","Math","Not Eligible for Free/Reduced Lunch",108,"53.7%","72.1%"
"=""0680011""","Kent School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0690011""","Killingly School District","ELA","Eligible for Free Lunch",277,"45.8%","66.8%"
"=""0690011""","Killingly School District","ELA","Not Eligible for Free/Reduced Lunch",423,"49.2%","70.9%"
"=""0690011""","Killingly School District","ELA","Eligible for Reduced Lunch",73,"56.2%","77.9%"
"=""0690011""","Killingly School District","Math","Eligible for Free Lunch",277,"38.3%","63.0%"
"=""0690011""","Killingly School District","Math","Not Eligible for Free/Reduced Lunch",421,"41.6%","63.9%"
"=""0690011""","Killingly School District","Math","Eligible for Reduced Lunch",73,"42.5%","64.8%"
"=""2450014""","Learn","ELA","Eligible for Free Lunch",146,"39.7%","66.9%"
"=""2450014""","Learn","ELA","Not Eligible for Free/Reduced Lunch",133,"54.1%","78.1%"
"=""2450014""","Learn","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""2450014""","Learn","Math","Eligible for Free Lunch",149,"38.3%","61.5%"
"=""2450014""","Learn","Math","Not Eligible for Free/Reduced Lunch",134,"44.0%","68.9%"
"=""2450014""","Learn","Math","Eligible for Reduced Lunch",17,"*","*"
"=""0710011""","Lebanon School District","ELA","Eligible for Free Lunch",50,"46.0%","68.2%"
"=""0710011""","Lebanon School District","ELA","Not Eligible for Free/Reduced Lunch",270,"51.5%","66.8%"
"=""0710011""","Lebanon School District","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""0710011""","Lebanon School District","Math","Eligible for Free Lunch",48,"37.5%","60.2%"
"=""0710011""","Lebanon School District","Math","Not Eligible for Free/Reduced Lunch",269,"42.0%","66.0%"
"=""0710011""","Lebanon School District","Math","Eligible for Reduced Lunch",16,"*","*"
"=""0720011""","Ledyard School District","ELA","Eligible for Free Lunch",119,"28.6%","50.4%"
"=""0720011""","Ledyard School District","ELA","Not Eligible for Free/Reduced Lunch",617,"45.1%","64.5%"
"=""0720011""","Ledyard School District","ELA","Eligible for Reduced Lunch",40,"37.5%","58.1%"
"=""0720011""","Ledyard School District","Math","Eligible for Free Lunch",119,"41.2%","65.8%"
"=""0720011""","Ledyard School District","Math","Not Eligible for Free/Reduced Lunch",619,"48.5%","70.4%"
"=""0720011""","Ledyard School District","Math","Eligible for Reduced Lunch",40,"60.0%","77.7%"
"=""0730011""","Lisbon School District","ELA","Eligible for Free Lunch",43,"34.9%","53.0%"
"=""0730011""","Lisbon School District","ELA","Not Eligible for Free/Reduced Lunch",151,"37.7%","58.3%"
"=""0730011""","Lisbon School District","ELA","Eligible for Reduced Lunch",9,"*","*"
"=""0730011""","Lisbon School District","Math","Eligible for Free Lunch",43,"27.9%","51.4%"
"=""0730011""","Lisbon School District","Math","Not Eligible for Free/Reduced Lunch",151,"47.7%","74.2%"
"=""0730011""","Lisbon School District","Math","Eligible for Reduced Lunch",9,"*","*"
"=""0740011""","Litchfield School District","ELA","Eligible for Free Lunch","*","53.1%","75.4%"
"=""0740011""","Litchfield School District","ELA","Not Eligible for Free/Reduced Lunch",320,"57.5%","75.4%"
"=""0740011""","Litchfield School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0740011""","Litchfield School District","Math","Eligible for Free Lunch","*","49.0%","71.9%"
"=""0740011""","Litchfield School District","Math","Not Eligible for Free/Reduced Lunch",320,"58.4%","75.1%"
"=""0740011""","Litchfield School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0760011""","Madison School District","ELA","Eligible for Free Lunch",22,"13.6%","38.2%"
"=""0760011""","Madison School District","ELA","Not Eligible for Free/Reduced Lunch",930,"37.5%","54.7%"
"=""0760011""","Madison School District","ELA","Eligible for Reduced Lunch",12,"*","*"
"=""0760011""","Madison School District","Math","Eligible for Free Lunch",22,"22.7%","49.9%"
"=""0760011""","Madison School District","Math","Not Eligible for Free/Reduced Lunch",928,"41.3%","59.4%"
"=""0760011""","Madison School District","Math","Eligible for Reduced Lunch",12,"*","*"
"=""0770011""","Manchester School District","ELA","Eligible for Free Lunch",1024,"30.8%","53.7%"
"=""0770011""","Manchester School District","ELA","Not Eligible for Free/Reduced Lunch",792,"40.8%","62.3%"
"=""0770011""","Manchester School District","ELA","Eligible for Reduced Lunch",146,"32.9%","55.2%"
"=""0770011""","Manchester School District","Math","Eligible for Free Lunch",1027,"30.2%","51.5%"
"=""0770011""","Manchester School District","Math","Not Eligible for Free/Reduced Lunch",792,"37.2%","60.3%"
"=""0770011""","Manchester School District","Math","Eligible for Reduced Lunch",145,"24.1%","43.9%"
"=""0780011""","Mansfield School District","ELA","Eligible for Free Lunch",109,"42.2%","64.6%"
"=""0780011""","Mansfield School District","ELA","Not Eligible for Free/Reduced Lunch",404,"53.0%","69.2%"
"=""0780011""","Mansfield School District","ELA","Eligible for Reduced Lunch",24,"58.3%","69.4%"
"=""0780011""","Mansfield School District","Math","Eligible for Free Lunch",110,"43.6%","60.4%"
"=""0780011""","Mansfield School District","Math","Not Eligible for Free/Reduced Lunch",407,"56.0%","73.2%"
"=""0780011""","Mansfield School District","Math","Eligible for Reduced Lunch",24,"62.5%","78.1%"
"=""0790011""","Marlborough School District","ELA","Eligible for Free Lunch","*","45.8%","73.7%"
"=""0790011""","Marlborough School District","ELA","Not Eligible for Free/Reduced Lunch",227,"57.3%","78.0%"
"=""0790011""","Marlborough School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0790011""","Marlborough School District","Math","Eligible for Free Lunch","*","50.0%","70.3%"
"=""0790011""","Marlborough School District","Math","Not Eligible for Free/Reduced Lunch",226,"61.5%","85.7%"
"=""0790011""","Marlborough School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0800011""","Meriden School District","ELA","Eligible for Free Lunch",1462,"37.0%","60.9%"
"=""0800011""","Meriden School District","ELA","Not Eligible for Free/Reduced Lunch",785,"43.1%","63.5%"
"=""0800011""","Meriden School District","ELA","Eligible for Reduced Lunch",203,"40.9%","61.4%"
"=""0800011""","Meriden School District","Math","Eligible for Free Lunch",1473,"38.2%","61.4%"
"=""0800011""","Meriden School District","Math","Not Eligible for Free/Reduced Lunch",776,"44.5%","68.6%"
"=""0800011""","Meriden School District","Math","Eligible for Reduced Lunch",200,"40.0%","65.3%"
"=""0830011""","Middletown School District","ELA","Eligible for Free Lunch",604,"34.4%","56.6%"
"=""0830011""","Middletown School District","ELA","Not Eligible for Free/Reduced Lunch",900,"41.2%","60.1%"
"=""0830011""","Middletown School District","ELA","Eligible for Reduced Lunch",102,"31.4%","57.6%"
"=""0830011""","Middletown School District","Math","Eligible for Free Lunch",605,"30.6%","53.0%"
"=""0830011""","Middletown School District","Math","Not Eligible for Free/Reduced Lunch",900,"41.4%","60.0%"
"=""0830011""","Middletown School District","Math","Eligible for Reduced Lunch",102,"43.1%","58.9%"
"=""0840011""","Milford School District","ELA","Eligible for Free Lunch",382,"38.5%","63.1%"
"=""0840011""","Milford School District","ELA","Not Eligible for Free/Reduced Lunch",1689,"50.6%","69.5%"
"=""0840011""","Milford School District","ELA","Eligible for Reduced Lunch",120,"44.2%","67.8%"
"=""0840011""","Milford School District","Math","Eligible for Free Lunch",381,"39.4%","61.5%"
"=""0840011""","Milford School District","Math","Not Eligible for Free/Reduced Lunch",1682,"47.7%","68.3%"
"=""0840011""","Milford School District","Math","Eligible for Reduced Lunch",121,"43.8%","65.8%"
"=""0850011""","Monroe School District","ELA","Eligible for Free Lunch",64,"45.3%","58.6%"
"=""0850011""","Monroe School District","ELA","Not Eligible for Free/Reduced Lunch",1089,"49.0%","64.7%"
"=""0850011""","Monroe School District","ELA","Eligible for Reduced Lunch",29,"58.6%","74.4%"
"=""0850011""","Monroe School District","Math","Eligible for Free Lunch",64,"56.3%","73.0%"
"=""0850011""","Monroe School District","Math","Not Eligible for Free/Reduced Lunch",1088,"49.1%","70.5%"
"=""0850011""","Monroe School District","Math","Eligible for Reduced Lunch",29,"55.2%","76.2%"
"=""0860011""","Montville School District","ELA","Eligible for Free Lunch",238,"39.9%","62.6%"
"=""0860011""","Montville School District","ELA","Not Eligible for Free/Reduced Lunch",508,"46.7%","66.4%"
"=""0860011""","Montville School District","ELA","Eligible for Reduced Lunch",86,"45.3%","65.7%"
"=""0860011""","Montville School District","Math","Eligible for Free Lunch",239,"36.8%","59.8%"
"=""0860011""","Montville School District","Math","Not Eligible for Free/Reduced Lunch",508,"48.0%","70.4%"
"=""0860011""","Montville School District","Math","Eligible for Reduced Lunch",86,"58.1%","77.2%"
"=""0880011""","Naugatuck School District","ELA","Eligible for Free Lunch",602,"36.9%","61.4%"
"=""0880011""","Naugatuck School District","ELA","Not Eligible for Free/Reduced Lunch",782,"45.7%","67.3%"
"=""0880011""","Naugatuck School District","ELA","Eligible for Reduced Lunch",149,"41.6%","62.5%"
"=""0880011""","Naugatuck School District","Math","Eligible for Free Lunch",605,"30.4%","53.0%"
"=""0880011""","Naugatuck School District","Math","Not Eligible for Free/Reduced Lunch",783,"35.9%","56.9%"
"=""0880011""","Naugatuck School District","Math","Eligible for Reduced Lunch",150,"29.3%","49.8%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Eligible for Free Lunch",127,"36.2%","57.6%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Not Eligible for Free/Reduced Lunch",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Eligible for Reduced Lunch",26,"23.1%","50.3%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Eligible for Free Lunch",127,"30.7%","52.6%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Not Eligible for Free/Reduced Lunch",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Eligible for Reduced Lunch",26,"38.5%","64.2%"
"=""0890011""","New Britain School District","ELA","Eligible for Free Lunch",2457,"27.4%","50.3%"
"=""0890011""","New Britain School District","ELA","Not Eligible for Free/Reduced Lunch",479,"35.1%","57.5%"
"=""0890011""","New Britain School District","ELA","Eligible for Reduced Lunch",182,"33.5%","53.8%"
"=""0890011""","New Britain School District","Math","Eligible for Free Lunch",2478,"24.7%","44.7%"
"=""0890011""","New Britain School District","Math","Not Eligible for Free/Reduced Lunch",479,"24.0%","44.1%"
"=""0890011""","New Britain School District","Math","Eligible for Reduced Lunch",186,"29.6%","47.7%"
"=""0900011""","New Canaan School District","ELA","Not Eligible for Free/Reduced Lunch",1556,"52.8%","68.7%"
"=""0900011""","New Canaan School District","Math","Not Eligible for Free/Reduced Lunch",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District","ELA","Eligible for Free Lunch",58,"36.2%","62.0%"
"=""0910011""","New Fairfield School District","ELA","Not Eligible for Free/Reduced Lunch",717,"52.9%","72.2%"
"=""0910011""","New Fairfield School District","ELA","Eligible for Reduced Lunch",20,"25.0%","59.1%"
"=""0910011""","New Fairfield School District","Math","Eligible for Free Lunch",57,"50.9%","79.7%"
"=""0910011""","New Fairfield School District","Math","Not Eligible for Free/Reduced Lunch",702,"59.1%","79.6%"
"=""0910011""","New Fairfield School District","Math","Eligible for Reduced Lunch",20,"55.0%","71.3%"
"=""0920011""","New Hartford School District","ELA","Eligible for Free Lunch",8,"*","*"
"=""0920011""","New Hartford School District","ELA","Not Eligible for Free/Reduced Lunch",181,"43.6%","66.9%"
"=""0920011""","New Hartford School District","ELA","Eligible for Reduced Lunch",8,"*","*"
"=""0920011""","New Hartford School District","Math","Eligible for Free Lunch",8,"*","*"
"=""0920011""","New Hartford School District","Math","Not Eligible for Free/Reduced Lunch",180,"33.9%","58.5%"
"=""0920011""","New Hartford School District","Math","Eligible for Reduced Lunch",8,"*","*"
"=""0930011""","New Haven School District","ELA","Eligible for Free Lunch",4019,"35.4%","61.3%"
"=""0930011""","New Haven School District","ELA","Not Eligible for Free/Reduced Lunch",2580,"43.7%","66.0%"
"=""0930011""","New Haven School District","ELA","Eligible for Reduced Lunch",126,"49.2%","74.1%"
"=""0930011""","New Haven School District","Math","Eligible for Free Lunch",4062,"39.6%","62.2%"
"=""0930011""","New Haven School District","Math","Not Eligible for Free/Reduced Lunch",2606,"42.4%","65.0%"
"=""0930011""","New Haven School District","Math","Eligible for Reduced Lunch",128,"50.8%","74.1%"
"=""0950011""","New London School District","ELA","Eligible for Free Lunch",818,"31.7%","53.3%"
"=""0950011""","New London School District","ELA","Not Eligible for Free/Reduced Lunch",142,"34.5%","59.6%"
"=""0950011""","New London School District","ELA","Eligible for Reduced Lunch",33,"24.2%","45.6%"
"=""0950011""","New London School District","Math","Eligible for Free Lunch",829,"26.9%","49.5%"
"=""0950011""","New London School District","Math","Not Eligible for Free/Reduced Lunch",151,"25.2%","47.8%"
"=""0950011""","New London School District","Math","Eligible for Reduced Lunch",32,"40.6%","56.1%"
"=""0960011""","New Milford School District","ELA","Eligible for Free Lunch",244,"35.7%","56.7%"
"=""0960011""","New Milford School District","ELA","Not Eligible for Free/Reduced Lunch",1144,"41.6%","62.2%"
"=""0960011""","New Milford School District","ELA","Eligible for Reduced Lunch",81,"35.8%","58.7%"
"=""0960011""","New Milford School District","Math","Eligible for Free Lunch",244,"39.8%","60.4%"
"=""0960011""","New Milford School District","Math","Not Eligible for Free/Reduced Lunch",1115,"45.7%","66.2%"
"=""0960011""","New Milford School District","Math","Eligible for Reduced Lunch",81,"37.0%","54.9%"
"=""0940011""","Newington School District","ELA","Eligible for Free Lunch",254,"28.7%","49.6%"
"=""0940011""","Newington School District","ELA","Not Eligible for Free/Reduced Lunch",1190,"39.1%","59.7%"
"=""0940011""","Newington School District","ELA","Eligible for Reduced Lunch",77,"37.7%","63.3%"
"=""0940011""","Newington School District","Math","Eligible for Free Lunch",255,"32.5%","52.6%"
"=""0940011""","Newington School District","Math","Not Eligible for Free/Reduced Lunch",1190,"38.7%","57.1%"
"=""0940011""","Newington School District","Math","Eligible for Reduced Lunch",77,"39.0%","57.2%"
"=""0970011""","Newtown School District","ELA","Eligible for Free Lunch",91,"36.3%","59.2%"
"=""0970011""","Newtown School District","ELA","Not Eligible for Free/Reduced Lunch",1575,"46.6%","64.3%"
"=""0970011""","Newtown School District","ELA","Eligible for Reduced Lunch",38,"36.8%","61.6%"
"=""0970011""","Newtown School District","Math","Eligible for Free Lunch",91,"49.5%","67.1%"
"=""0970011""","Newtown School District","Math","Not Eligible for Free/Reduced Lunch",1574,"60.0%","78.8%"
"=""0970011""","Newtown School District","Math","Eligible for Reduced Lunch",38,"47.4%","74.3%"
"=""0980011""","Norfolk School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0980011""","Norfolk School District","ELA","Not Eligible for Free/Reduced Lunch",37,"43.2%","63.9%"
