"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0730011""","Lisbon School District","ELA","Eligible For Lunch",52,"34.6%","53.8%"
"=""0730011""","Lisbon School District","ELA","Not Eligible For Lunch",151,"37.7%","58.3%"
"=""0730011""","Lisbon School District","Math","Eligible For Lunch",52,"28.8%","50.4%"
"=""0730011""","Lisbon School District","Math","Not Eligible For Lunch",151,"47.7%","74.2%"
"=""0740011""","Litchfield School District","ELA","Eligible For Lunch",52,"51.9%","75.5%"
"=""0740011""","Litchfield School District","ELA","Not Eligible For Lunch",320,"57.5%","75.4%"
"=""0740011""","Litchfield School District","Math","Eligible For Lunch",52,"50.0%","72.5%"
"=""0740011""","Litchfield School District","Math","Not Eligible For Lunch",320,"58.4%","75.1%"
"=""0760011""","Madison School District","ELA","Eligible For Lunch",34,"29.4%","49.7%"
"=""0760011""","Madison School District","ELA","Not Eligible For Lunch",930,"37.5%","54.7%"
"=""0760011""","Madison School District","Math","Eligible For Lunch",34,"38.2%","60.9%"
"=""0760011""","Madison School District","Math","Not Eligible For Lunch",928,"41.3%","59.4%"
"=""0770011""","Manchester School District","ELA","Eligible For Lunch",1170,"31.0%","53.9%"
"=""0770011""","Manchester School District","ELA","Not Eligible For Lunch",792,"40.8%","62.3%"
"=""0770011""","Manchester School District","Math","Eligible For Lunch",1172,"29.4%","50.6%"
"=""0770011""","Manchester School District","Math","Not Eligible For Lunch",792,"37.2%","60.3%"
"=""0780011""","Mansfield School District","ELA","Eligible For Lunch",133,"45.1%","65.5%"
"=""0780011""","Mansfield School District","ELA","Not Eligible For Lunch",404,"53.0%","69.2%"
"=""0780011""","Mansfield School District","Math","Eligible For Lunch",134,"47.0%","63.6%"
"=""0780011""","Mansfield School District","Math","Not Eligible For Lunch",407,"56.0%","73.2%"
"=""0790011""","Marlborough School District","ELA","Eligible For Lunch",26,"46.2%","72.3%"
"=""0790011""","Marlborough School District","ELA","Not Eligible For Lunch",227,"57.3%","78.0%"
"=""0790011""","Marlborough School District","Math","Eligible For Lunch",26,"50.0%","69.9%"
"=""0790011""","Marlborough School District","Math","Not Eligible For Lunch",226,"61.5%","85.7%"
"=""0800011""","Meriden School District","ELA","Eligible For Lunch",1665,"37.5%","60.9%"
"=""0800011""","Meriden School District","ELA","Not Eligible For Lunch",785,"43.1%","63.5%"
"=""0800011""","Meriden School District","Math","Eligible For Lunch",1673,"38.4%","61.9%"
"=""0800011""","Meriden School District","Math","Not Eligible For Lunch",776,"44.5%","68.6%"
"=""0830011""","Middletown School District","ELA","Eligible For Lunch",706,"34.0%","56.7%"
"=""0830011""","Middletown School District","ELA","Not Eligible For Lunch",900,"41.2%","60.1%"
"=""0830011""","Middletown School District","Math","Eligible For Lunch",707,"32.4%","53.9%"
"=""0830011""","Middletown School District","Math","Not Eligible For Lunch",900,"41.4%","60.0%"
"=""0840011""","Milford School District","ELA","Eligible For Lunch",502,"39.8%","64.2%"
"=""0840011""","Milford School District","ELA","Not Eligible For Lunch",1689,"50.6%","69.5%"
"=""0840011""","Milford School District","Math","Eligible For Lunch",502,"40.4%","62.6%"
"=""0840011""","Milford School District","Math","Not Eligible For Lunch",1682,"47.7%","68.3%"
"=""0850011""","Monroe School District","ELA","Eligible For Lunch",93,"49.5%","63.5%"
"=""0850011""","Monroe School District","ELA","Not Eligible For Lunch",1089,"49.0%","64.7%"
"=""0850011""","Monroe School District","Math","Eligible For Lunch",93,"55.9%","74.0%"
"=""0850011""","Monroe School District","Math","Not Eligible For Lunch",1088,"49.1%","70.5%"
"=""0860011""","Montville School District","ELA","Eligible For Lunch",324,"41.4%","63.4%"
"=""0860011""","Montville School District","ELA","Not Eligible For Lunch",508,"46.7%","66.4%"
"=""0860011""","Montville School District","Math","Eligible For Lunch",325,"42.5%","64.4%"
"=""0860011""","Montville School District","Math","Not Eligible For Lunch",508,"48.0%","70.4%"
"=""0880011""","Naugatuck School District","ELA","Eligible For Lunch",751,"37.8%","61.6%"
"=""0880011""","Naugatuck School District","ELA","Not Eligible For Lunch",782,"45.7%","67.3%"
"=""0880011""","Naugatuck School District","Math","Eligible For Lunch",755,"30.2%","52.4%"
"=""0880011""","Naugatuck School District","Math","Not Eligible For Lunch",783,"35.9%","56.9%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Eligible For Lunch",153,"34.0%","56.4%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Not Eligible For Lunch",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Eligible For Lunch",153,"32.0%","54.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Not Eligible For Lunch",16,"*","*"
"=""0890011""","New Britain School District","ELA","Eligible For Lunch",2639,"27.8%","50.5%"
"=""0890011""","New Britain School District","ELA","Not Eligible For Lunch",479,"35.1%","57.5%"
"=""0890011""","New Britain School District","Math","Eligible For Lunch",2664,"25.0%","44.9%"
"=""0890011""","New Britain School District","Math","Not Eligible For Lunch",479,"24.0%","44.1%"
"=""0900011""","New Canaan School District","ELA","Not Eligible For Lunch",1556,"52.8%","68.7%"
"=""0900011""","New Canaan School District","Math","Not Eligible For Lunch",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District","ELA","Eligible For Lunch",78,"33.3%","61.2%"
"=""0910011""","New Fairfield School District","ELA","Not Eligible For Lunch",717,"52.9%","72.2%"
"=""0910011""","New Fairfield School District","Math","Eligible For Lunch",77,"51.9%","77.5%"
"=""0910011""","New Fairfield School District","Math","Not Eligible For Lunch",702,"59.1%","79.6%"
"=""0920011""","New Hartford School District","ELA","Eligible For Lunch",16,"*","*"
"=""0920011""","New Hartford School District","ELA","Not Eligible For Lunch",181,"43.6%","66.9%"
"=""0920011""","New Hartford School District","Math","Eligible For Lunch",16,"*","*"
"=""0920011""","New Hartford School District","Math","Not Eligible For Lunch",180,"33.9%","58.5%"
"=""0930011""","New Haven School District","ELA","Eligible For Lunch",4145,"35.9%","61.7%"
"=""0930011""","New Haven School District","ELA","Not Eligible For Lunch",2580,"43.7%","66.0%"
"=""0930011""","New Haven School District","Math","Eligible For Lunch",4190,"40.0%","62.6%"
"=""0930011""","New Haven School District","Math","Not Eligible For Lunch",2606,"42.4%","65.0%"
"=""0950011""","New London School District","ELA","Eligible For Lunch",851,"31.4%","53.0%"
"=""0950011""","New London School District","ELA","Not Eligible For Lunch",142,"34.5%","59.6%"
"=""0950011""","New London School District","Math","Eligible For Lunch",861,"27.4%","49.8%"
"=""0950011""","New London School District","Math","Not Eligible For Lunch",151,"25.2%","47.8%"
"=""0960011""","New Milford School District","ELA","Eligible For Lunch",325,"35.7%","57.2%"
"=""0960011""","New Milford School District","ELA","Not Eligible For Lunch",1144,"41.6%","62.2%"
"=""0960011""","New Milford School District","Math","Eligible For Lunch",325,"39.1%","59.1%"
"=""0960011""","New Milford School District","Math","Not Eligible For Lunch",1115,"45.7%","66.2%"
"=""0940011""","Newington School District","ELA","Eligible For Lunch",331,"30.8%","52.8%"
"=""0940011""","Newington School District","ELA","Not Eligible For Lunch",1190,"39.1%","59.7%"
"=""0940011""","Newington School District","Math","Eligible For Lunch",332,"34.0%","53.6%"
"=""0940011""","Newington School District","Math","Not Eligible For Lunch",1190,"38.7%","57.1%"
"=""0970011""","Newtown School District","ELA","Eligible For Lunch",129,"36.4%","59.9%"
"=""0970011""","Newtown School District","ELA","Not Eligible For Lunch",1575,"46.6%","64.3%"
"=""0970011""","Newtown School District","Math","Eligible For Lunch",129,"48.8%","69.2%"
"=""0970011""","Newtown School District","Math","Not Eligible For Lunch",1574,"60.0%","78.8%"
"=""0980011""","Norfolk School District","ELA","Eligible For Lunch",7,"*","*"
"=""0980011""","Norfolk School District","ELA","Not Eligible For Lunch",37,"43.2%","63.9%"
"=""0980011""","Norfolk School District","Math","Eligible For Lunch",7,"*","*"
"=""0980011""","Norfolk School District","Math","Not Eligible For Lunch",37,"56.8%","75.8%"
"=""0990011""","North Branford School District","ELA","Eligible For Lunch",127,"35.4%","58.1%"
"=""0990011""","North Branford School District","ELA","Not Eligible For Lunch",578,"45.0%","65.8%"
"=""0990011""","North Branford School District","Math","Eligible For Lunch",128,"48.4%","67.2%"
"=""0990011""","North Branford School District","Math","Not Eligible For Lunch",577,"44.9%","65.9%"
"=""1000011""","North Canaan School District","ELA","Eligible For Lunch",28,"46.4%","70.0%"
"=""1000011""","North Canaan School District","ELA","Not Eligible For Lunch",82,"62.2%","79.9%"
"=""1000011""","North Canaan School District","Math","Eligible For Lunch",28,"32.1%","65.0%"
"=""1000011""","North Canaan School District","Math","Not Eligible For Lunch",82,"56.1%","77.0%"
"=""1010011""","North Haven School District","ELA","Eligible For Lunch",179,"54.7%","81.4%"
"=""1010011""","North Haven School District","ELA","Not Eligible For Lunch",949,"69.2%","88.5%"
"=""1010011""","North Haven School District","Math","Eligible For Lunch",181,"57.5%","82.5%"
"=""1010011""","North Haven School District","Math","Not Eligible For Lunch",949,"72.1%","92.3%"
"=""1020011""","North Stonington School District","ELA","Eligible For Lunch",40,"47.5%","60.2%"
"=""1020011""","North Stonington School District","ELA","Not Eligible For Lunch",224,"49.6%","67.1%"
"=""1020011""","North Stonington School District","Math","Eligible For Lunch",40,"32.5%","52.0%"
"=""1020011""","North Stonington School District","Math","Not Eligible For Lunch",224,"52.2%","70.3%"
"=""1030011""","Norwalk School District","ELA","Eligible For Lunch",2136,"31.6%","54.4%"
"=""1030011""","Norwalk School District","ELA","Not Eligible For Lunch",1713,"40.7%","61.0%"
"=""1030011""","Norwalk School District","Math","Eligible For Lunch",2197,"33.5%","54.8%"
"=""1030011""","Norwalk School District","Math","Not Eligible For Lunch",1718,"41.9%","63.5%"
"=""1040011""","Norwich School District","ELA","Eligible For Lunch",1265,"35.7%","58.7%"
"=""1040011""","Norwich School District","ELA","Not Eligible For Lunch",364,"45.6%","66.2%"
"=""1040011""","Norwich School District","Math","Eligible For Lunch",1281,"36.7%","58.7%"
"=""1040011""","Norwich School District","Math","Not Eligible For Lunch",362,"41.2%","63.4%"
"=""2630013""","Odyssey Community School District","ELA","Eligible For Lunch",60,"40.0%","70.3%"
"=""2630013""","Odyssey Community School District","ELA","Not Eligible For Lunch",115,"34.8%","57.8%"
"=""2630013""","Odyssey Community School District","Math","Eligible For Lunch",60,"38.3%","56.6%"
"=""2630013""","Odyssey Community School District","Math","Not Eligible For Lunch",115,"30.4%","52.8%"
"=""1060011""","Old Saybrook School District","ELA","Eligible For Lunch",98,"40.8%","64.0%"
"=""1060011""","Old Saybrook School District","ELA","Not Eligible For Lunch",403,"46.7%","65.8%"
"=""1060011""","Old Saybrook School District","Math","Eligible For Lunch",97,"43.3%","65.6%"
"=""1060011""","Old Saybrook School District","Math","Not Eligible For Lunch",406,"50.5%","71.8%"
"=""1070011""","Orange School District","ELA","Eligible For Lunch",25,"40.0%","59.2%"
"=""1070011""","Orange School District","ELA","Not Eligible For Lunch",484,"54.5%","74.7%"
"=""1070011""","Orange School District","Math","Eligible For Lunch",25,"44.0%","72.4%"
"=""1070011""","Orange School District","Math","Not Eligible For Lunch",489,"50.5%","74.3%"
"=""1080011""","Oxford School District","ELA","Eligible For Lunch",66,"31.8%","55.6%"
"=""1080011""","Oxford School District","ELA","Not Eligible For Lunch",710,"39.9%","57.4%"
"=""1080011""","Oxford School District","Math","Eligible For Lunch",65,"40.0%","62.9%"
"=""1080011""","Oxford School District","Math","Not Eligible For Lunch",710,"48.9%","71.4%"
"=""2830013""","Park City Prep Charter School District","ELA","Eligible For Lunch",261,"44.8%","69.2%"
"=""2830013""","Park City Prep Charter School District","ELA","Not Eligible For Lunch",76,"51.3%","76.5%"
"=""2830013""","Park City Prep Charter School District","Math","Eligible For Lunch",260,"55.0%","75.1%"
"=""2830013""","Park City Prep Charter School District","Math","Not Eligible For Lunch",76,"65.8%","83.9%"
"=""1090011""","Plainfield School District","ELA","Eligible For Lunch",418,"46.4%","70.5%"
"=""1090011""","Plainfield School District","ELA","Not Eligible For Lunch",384,"49.5%","71.1%"
"=""1090011""","Plainfield School District","Math","Eligible For Lunch",418,"56.0%","78.7%"
"=""1090011""","Plainfield School District","Math","Not Eligible For Lunch",381,"56.7%","80.6%"
"=""1100011""","Plainville School District","ELA","Eligible For Lunch",277,"36.8%","61.1%"
"=""1100011""","Plainville School District","ELA","Not Eligible For Lunch",579,"45.8%","68.0%"
"=""1100011""","Plainville School District","Math","Eligible For Lunch",276,"31.2%","59.3%"
"=""1100011""","Plainville School District","Math","Not Eligible For Lunch",580,"43.8%","65.8%"
"=""1110011""","Plymouth School District","ELA","Eligible For Lunch",169,"33.1%","57.3%"
"=""1110011""","Plymouth School District","ELA","Not Eligible For Lunch",367,"48.8%","67.2%"
"=""1110011""","Plymouth School District","Math","Eligible For Lunch",172,"42.4%","67.8%"
"=""1110011""","Plymouth School District","Math","Not Eligible For Lunch",367,"53.1%","76.4%"
"=""1120011""","Pomfret School District","ELA","Eligible For Lunch",39,"46.2%","63.6%"
"=""1120011""","Pomfret School District","ELA","Not Eligible For Lunch",182,"52.7%","71.8%"
"=""1120011""","Pomfret School District","Math","Eligible For Lunch",39,"38.5%","65.4%"
"=""1120011""","Pomfret School District","Math","Not Eligible For Lunch",182,"51.1%","69.0%"
"=""1130011""","Portland School District","ELA","Eligible For Lunch",102,"44.1%","62.6%"
"=""1130011""","Portland School District","ELA","Not Eligible For Lunch",406,"50.0%","69.2%"
"=""1130011""","Portland School District","Math","Eligible For Lunch",102,"38.2%","66.8%"
"=""1130011""","Portland School District","Math","Not Eligible For Lunch",406,"49.8%","71.4%"
"=""1140011""","Preston School District","ELA","Eligible For Lunch",50,"34.0%","53.5%"
"=""1140011""","Preston School District","ELA","Not Eligible For Lunch",165,"37.6%","56.1%"
"=""1140011""","Preston School District","Math","Eligible For Lunch",50,"46.0%","64.7%"
"=""1140011""","Preston School District","Math","Not Eligible For Lunch",164,"41.5%","61.9%"
"=""1160011""","Putnam School District","ELA","Eligible For Lunch",218,"41.7%","60.3%"
"=""1160011""","Putnam School District","ELA","Not Eligible For Lunch",177,"46.3%","68.8%"
"=""1160011""","Putnam School District","Math","Eligible For Lunch",219,"44.7%","67.6%"
"=""1160011""","Putnam School District","Math","Not Eligible For Lunch",176,"52.8%","72.4%"
"=""1170011""","Redding School District","ELA","Eligible For Lunch",13,"*","*"
"=""1170011""","Redding School District","ELA","Not Eligible For Lunch",489,"51.7%","69.0%"
"=""1170011""","Redding School District","Math","Eligible For Lunch",11,"*","*"
"=""1170011""","Redding School District","Math","Not Eligible For Lunch",485,"55.1%","74.7%"
"=""2010012""","Regional School District 01","ELA","Eligible For Lunch","*","*","*"
"=""2010012""","Regional School District 01","ELA","Not Eligible For Lunch","*","*","*"
"=""2010012""","Regional School District 01","Math","Eligible For Lunch","*","*","*"
"=""2010012""","Regional School District 01","Math","Not Eligible For Lunch","*","*","*"
"=""2040012""","Regional School District 04","ELA","Eligible For Lunch",42,"35.7%","52.0%"
"=""2040012""","Regional School District 04","ELA","Not Eligible For Lunch",258,"43.8%","58.4%"
"=""2040012""","Regional School District 04","Math","Eligible For Lunch",42,"38.1%","56.1%"
"=""2040012""","Regional School District 04","Math","Not Eligible For Lunch",258,"41.9%","59.4%"
"=""2050012""","Regional School District 05","ELA","Eligible For Lunch",32,"50.0%","62.3%"
"=""2050012""","Regional School District 05","ELA","Not Eligible For Lunch",682,"50.9%","69.7%"
"=""2050012""","Regional School District 05","Math","Eligible For Lunch",32,"43.8%","67.1%"
"=""2050012""","Regional School District 05","Math","Not Eligible For Lunch",682,"58.8%","74.3%"
"=""2060012""","Regional School District 06","ELA","Eligible For Lunch",36,"50.0%","65.7%"
"=""2060012""","Regional School District 06","ELA","Not Eligible For Lunch",208,"44.7%","62.8%"
"=""2060012""","Regional School District 06","Math","Eligible For Lunch",36,"36.1%","54.4%"
"=""2060012""","Regional School District 06","Math","Not Eligible For Lunch",206,"41.3%","60.6%"
"=""2070012""","Regional School District 07","ELA","Eligible For Lunch",22,"36.4%","61.2%"
"=""2070012""","Regional School District 07","ELA","Not Eligible For Lunch",267,"47.9%","63.9%"
"=""2070012""","Regional School District 07","Math","Eligible For Lunch",22,"54.5%","68.9%"
"=""2070012""","Regional School District 07","Math","Not Eligible For Lunch",264,"59.8%","77.0%"
"=""2080012""","Regional School District 08","ELA","Eligible For Lunch",43,"46.5%","65.7%"
"=""2080012""","Regional School District 08","ELA","Not Eligible For Lunch",506,"36.0%","52.8%"
"=""2080012""","Regional School District 08","Math","Eligible For Lunch",44,"36.4%","58.6%"
"=""2080012""","Regional School District 08","Math","Not Eligible For Lunch",505,"43.0%","59.5%"
"=""2100012""","Regional School District 10","ELA","Eligible For Lunch",64,"39.1%","61.2%"
"=""2100012""","Regional School District 10","ELA","Not Eligible For Lunch",847,"43.2%","63.3%"
"=""2100012""","Regional School District 10","Math","Eligible For Lunch",64,"37.5%","56.2%"
"=""2100012""","Regional School District 10","Math","Not Eligible For Lunch",847,"41.0%","60.8%"
"=""2110012""","Regional School District 11","ELA","Eligible For Lunch",25,"32.0%","50.6%"
"=""2110012""","Regional School District 11","ELA","Not Eligible For Lunch",57,"54.4%","71.8%"
"=""2110012""","Regional School District 11","Math","Eligible For Lunch",25,"40.0%","67.3%"
"=""2110012""","Regional School District 11","Math","Not Eligible For Lunch",55,"50.9%","67.1%"
"=""2120012""","Regional School District 12","ELA","Eligible For Lunch",22,"68.2%","83.9%"
"=""2120012""","Regional School District 12","ELA","Not Eligible For Lunch",233,"53.2%","75.2%"
"=""2120012""","Regional School District 12","Math","Eligible For Lunch",22,"68.2%","81.6%"
"=""2120012""","Regional School District 12","Math","Not Eligible For Lunch",232,"62.1%","83.4%"
"=""2130012""","Regional School District 13","ELA","Eligible For Lunch",51,"29.4%","59.2%"
"=""2130012""","Regional School District 13","ELA","Not Eligible For Lunch",619,"48.8%","70.1%"
"=""2130012""","Regional School District 13","Math","Eligible For Lunch",51,"29.4%","53.5%"
"=""2130012""","Regional School District 13","Math","Not Eligible For Lunch",618,"48.5%","70.8%"
"=""2140012""","Regional School District 14","ELA","Eligible For Lunch",68,"39.7%","60.0%"
"=""2140012""","Regional School District 14","ELA","Not Eligible For Lunch",475,"38.9%","60.3%"
"=""2140012""","Regional School District 14","Math","Eligible For Lunch",68,"27.9%","52.3%"
"=""2140012""","Regional School District 14","Math","Not Eligible For Lunch",474,"34.2%","55.4%"
"=""2150012""","Regional School District 15","ELA","Eligible For Lunch",110,"37.3%","53.9%"
"=""2150012""","Regional School District 15","ELA","Not Eligible For Lunch",1359,"52.5%","72.5%"
"=""2150012""","Regional School District 15","Math","Eligible For Lunch",109,"36.7%","58.7%"
"=""2150012""","Regional School District 15","Math","Not Eligible For Lunch",1361,"52.8%","73.5%"
"=""2160012""","Regional School District 16","ELA","Eligible For Lunch",122,"39.3%","61.8%"
"=""2160012""","Regional School District 16","ELA","Not Eligible For Lunch",676,"44.5%","66.6%"
"=""2160012""","Regional School District 16","Math","Eligible For Lunch",118,"39.0%","57.2%"
"=""2160012""","Regional School District 16","Math","Not Eligible For Lunch",660,"41.5%","64.2%"
"=""2170012""","Regional School District 17","ELA","Eligible For Lunch",80,"50.0%","70.2%"
"=""2170012""","Regional School District 17","ELA","Not Eligible For Lunch",807,"51.4%","69.7%"
"=""2170012""","Regional School District 17","Math","Eligible For Lunch",77,"46.8%","71.3%"
"=""2170012""","Regional School District 17","Math","Not Eligible For Lunch",806,"54.7%","75.1%"
"=""2180012""","Regional School District 18","ELA","Eligible For Lunch",24,"25.0%","47.6%"
"=""2180012""","Regional School District 18","ELA","Not Eligible For Lunch",480,"53.1%","70.4%"
"=""2180012""","Regional School District 18","Math","Eligible For Lunch",23,"39.1%","57.3%"
"=""2180012""","Regional School District 18","Math","Not Eligible For Lunch",480,"59.0%","76.2%"
"=""1180011""","Ridgefield School District","ELA","Eligible For Lunch",51,"49.0%","66.6%"
"=""1180011""","Ridgefield School District","ELA","Not Eligible For Lunch",1802,"51.9%","68.4%"
"=""1180011""","Ridgefield School District","Math","Eligible For Lunch",51,"45.1%","71.4%"
"=""1180011""","Ridgefield School District","Math","Not Eligible For Lunch",1801,"54.5%","74.2%"
"=""1190011""","Rocky Hill School District","ELA","Eligible For Lunch",135,"34.1%","56.5%"
"=""1190011""","Rocky Hill School District","ELA","Not Eligible For Lunch",751,"45.9%","63.7%"
"=""1190011""","Rocky Hill School District","Math","Eligible For Lunch",136,"40.4%","60.1%"
"=""1190011""","Rocky Hill School District","Math","Not Eligible For Lunch",754,"50.7%","70.8%"
"=""1210011""","Salem School District","ELA","Eligible For Lunch",19,"*","*"
"=""1210011""","Salem School District","ELA","Not Eligible For Lunch",176,"59.7%","79.8%"
"=""1210011""","Salem School District","Math","Eligible For Lunch",19,"*","*"
"=""1210011""","Salem School District","Math","Not Eligible For Lunch",176,"52.3%","69.9%"
"=""1220011""","Salisbury School District","ELA","Eligible For Lunch",16,"*","*"
"=""1220011""","Salisbury School District","ELA","Not Eligible For Lunch",109,"49.5%","63.7%"
"=""1220011""","Salisbury School District","Math","Eligible For Lunch",16,"*","*"
"=""1220011""","Salisbury School District","Math","Not Eligible For Lunch",109,"58.7%","76.7%"
"=""1230011""","Scotland School District","ELA","Eligible For Lunch",12,"*","*"
"=""1230011""","Scotland School District","ELA","Not Eligible For Lunch",32,"62.5%","76.7%"
"=""1230011""","Scotland School District","Math","Eligible For Lunch",12,"*","*"
"=""1230011""","Scotland School District","Math","Not Eligible For Lunch",32,"37.5%","65.5%"
"=""1240011""","Seymour School District","ELA","Eligible For Lunch",249,"32.9%","52.3%"
"=""1240011""","Seymour School District","ELA","Not Eligible For Lunch",607,"39.9%","59.6%"
"=""1240011""","Seymour School District","Math","Eligible For Lunch",248,"39.9%","64.2%"
"=""1240011""","Seymour School District","Math","Not Eligible For Lunch",607,"52.2%","72.7%"
"=""1250011""","Sharon School District","ELA","Eligible For Lunch",16,"*","*"
"=""1250011""","Sharon School District","ELA","Not Eligible For Lunch",52,"42.3%","63.4%"
"=""1250011""","Sharon School District","Math","Eligible For Lunch",16,"*","*"
"=""1250011""","Sharon School District","Math","Not Eligible For Lunch",52,"51.9%","65.1%"
"=""1260011""","Shelton School District","ELA","Eligible For Lunch",413,"42.1%","62.0%"
"=""1260011""","Shelton School District","ELA","Not Eligible For Lunch",1425,"52.6%","71.3%"
"=""1260011""","Shelton School District","Math","Eligible For Lunch",413,"44.8%","67.3%"
"=""1260011""","Shelton School District","Math","Not Eligible For Lunch",1427,"50.7%","71.4%"
"=""1270011""","Sherman School District","ELA","Eligible For Lunch",6,"*","*"
"=""1270011""","Sherman School District","ELA","Not Eligible For Lunch",93,"48.4%","72.0%"
"=""1270011""","Sherman School District","Math","Eligible For Lunch",6,"*","*"
"=""1270011""","Sherman School District","Math","Not Eligible For Lunch",94,"55.3%","80.2%"
"=""2700013""","Side By Side Charter School District","ELA","Eligible For Lunch",59,"37.3%","57.7%"
"=""2700013""","Side By Side Charter School District","ELA","Not Eligible For Lunch",49,"42.9%","63.5%"
"=""2700013""","Side By Side Charter School District","Math","Eligible For Lunch",59,"52.5%","72.2%"
"=""2700013""","Side By Side Charter School District","Math","Not Eligible For Lunch",48,"58.3%","79.2%"
"=""1280011""","Simsbury School District","ELA","Eligible For Lunch",154,"43.5%","64.8%"
"=""1280011""","Simsbury School District","ELA","Not Eligible For Lunch",1400,"57.4%","75.0%"
"=""1280011""","Simsbury School District","Math","Eligible For Lunch",152,"39.5%","61.0%"
"=""1280011""","Simsbury School District","Math","Not Eligible For Lunch",1392,"55.2%","75.2%"
"=""1290011""","Somers School District","ELA","Eligible For Lunch",50,"32.0%","54.3%"
"=""1290011""","Somers School District","ELA","Not Eligible For Lunch",486,"48.4%","67.9%"
"=""1290011""","Somers School District","Math","Eligible For Lunch",50,"38.0%","57.0%"
"=""1290011""","Somers School District","Math","Not Eligible For Lunch",485,"49.3%","73.7%"
"=""1320011""","South Windsor School District","ELA","Eligible For Lunch",203,"38.4%","63.5%"
"=""1320011""","South Windsor School District","ELA","Not Eligible For Lunch",1309,"51.4%","68.6%"
"=""1320011""","South Windsor School District","Math","Eligible For Lunch",203,"40.4%","62.8%"
"=""1320011""","South Windsor School District","Math","Not Eligible For Lunch",1304,"57.2%","77.4%"
"=""1310011""","Southington School District","ELA","Eligible For Lunch",399,"33.6%","54.7%"
"=""1310011""","Southington School District","ELA","Not Eligible For Lunch",2105,"40.8%","60.6%"
"=""1310011""","Southington School District","Math","Eligible For Lunch",398,"33.7%","56.3%"
"=""1310011""","Southington School District","Math","Not Eligible For Lunch",2103,"40.3%","61.7%"
"=""1330011""","Sprague School District","ELA","Eligible For Lunch",82,"41.5%","62.9%"
"=""1330011""","Sprague School District","ELA","Not Eligible For Lunch",82,"43.9%","60.8%"
"=""1330011""","Sprague School District","Math","Eligible For Lunch",83,"31.3%","59.4%"
"=""1330011""","Sprague School District","Math","Not Eligible For Lunch",82,"40.2%","60.1%"
"=""1340011""","Stafford School District","ELA","Eligible For Lunch",195,"44.1%","69.1%"
"=""1340011""","Stafford School District","ELA","Not Eligible For Lunch",340,"45.3%","64.6%"
"=""1340011""","Stafford School District","Math","Eligible For Lunch",196,"27.0%","56.9%"
"=""1340011""","Stafford School District","Math","Not Eligible For Lunch",340,"46.2%","69.3%"
"=""1350011""","Stamford School District","ELA","Eligible For Lunch",2885,"36.4%","59.9%"
"=""1350011""","Stamford School District","ELA","Not Eligible For Lunch",2353,"48.1%","66.9%"
"=""1350011""","Stamford School District","Math","Eligible For Lunch",2952,"33.3%","56.3%"
"=""1350011""","Stamford School District","Math","Not Eligible For Lunch",2359,"47.8%","68.2%"
"=""0000000""","State of Connecticut","ELA","Eligible For Lunch",71354,"35.2%","58.2%"
"=""0000000""","State of Connecticut","ELA","Not Eligible For Lunch",113991,"48.1%","67.2%"
"=""0000000""","State of Connecticut","Math","Eligible For Lunch",71907,"35.3%","57.2%"
"=""0000000""","State of Connecticut","Math","Not Eligible For Lunch",113957,"49.2%","69.9%"
"=""1360011""","Sterling School District","ELA","Eligible For Lunch",73,"37.0%","63.5%"
"=""1360011""","Sterling School District","ELA","Not Eligible For Lunch",154,"43.5%","64.9%"
"=""1360011""","Sterling School District","Math","Eligible For Lunch",72,"41.7%","65.9%"
"=""1360011""","Sterling School District","Math","Not Eligible For Lunch",154,"47.4%","66.8%"
"=""1370011""","Stonington School District","ELA","Eligible For Lunch",151,"33.1%","54.0%"
"=""1370011""","Stonington School District","ELA","Not Eligible For Lunch",605,"48.3%","63.3%"
"=""1370011""","Stonington School District","Math","Eligible For Lunch",150,"40.0%","64.1%"
"=""1370011""","Stonington School District","Math","Not Eligible For Lunch",606,"49.7%","70.5%"
"=""1380011""","Stratford School District","ELA","Eligible For Lunch",1176,"36.0%","58.7%"
"=""1380011""","Stratford School District","ELA","Not Eligible For Lunch",1366,"42.2%","62.1%"
"=""1380011""","Stratford School District","Math","Eligible For Lunch",1178,"40.3%","61.1%"
"=""1380011""","Stratford School District","Math","Not Eligible For Lunch",1362,"48.8%","69.1%"
"=""1390011""","Suffield School District","ELA","Eligible For Lunch",87,"37.9%","53.8%"
"=""1390011""","Suffield School District","ELA","Not Eligible For Lunch",727,"44.2%","62.2%"
"=""1390011""","Suffield School District","Math","Eligible For Lunch",88,"40.9%","64.2%"
"=""1390011""","Suffield School District","Math","Not Eligible For Lunch",725,"42.6%","63.8%"
"=""2690013""","The Bridge Academy District","ELA","Eligible For Lunch",89,"24.7%","45.0%"
"=""2690013""","The Bridge Academy District","ELA","Not Eligible For Lunch",8,"*","*"
