"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0690011""","Killingly School District",8,159,2558,2591,33,"49.7%","67.2%"
"=""2450014""","Learn",4,82,2404,2469,65,"46.3%","78.0%"
"=""2450014""","Learn",5,82,2492,2557,64,"56.1%","81.0%"
"=""2450014""","Learn",6,35,2493,2513,20,"22.9%","49.3%"
"=""2450014""","Learn",7,48,2498,2563,65,"56.3%","75.4%"
"=""2450014""","Learn",8,49,2514,2539,25,"30.6%","53.1%"
"=""0710011""","Lebanon School District",4,65,2442,2509,67,"56.9%","79.4%"
"=""0710011""","Lebanon School District",5,58,2487,2571,84,"74.1%","88.8%"
"=""0710011""","Lebanon School District",6,72,2556,2567,11,"38.9%","52.3%"
"=""0710011""","Lebanon School District",7,65,2540,2583,43,"55.4%","69.4%"
"=""0710011""","Lebanon School District",8,77,2564,2584,19,"33.8%","52.2%"
"=""0720011""","Ledyard School District",4,166,2430,2494,64,"53.0%","75.8%"
"=""0720011""","Ledyard School District",5,156,2494,2515,22,"28.8%","49.0%"
"=""0720011""","Ledyard School District",6,157,2523,2555,32,"41.4%","59.4%"
"=""0720011""","Ledyard School District",7,148,2539,2561,23,"35.1%","53.4%"
"=""0720011""","Ledyard School District",8,149,2549,2585,36,"51.7%","71.7%"
"=""0730011""","Lisbon School District",4,35,2458,2504,46,"45.7%","68.1%"
"=""0730011""","Lisbon School District",5,42,2472,2521,49,"38.1%","64.6%"
"=""0730011""","Lisbon School District",6,39,2542,2542,-0,"23.1%","38.5%"
"=""0730011""","Lisbon School District",7,49,2573,2607,34,"36.7%","57.6%"
"=""0730011""","Lisbon School District",8,38,2542,2571,29,"42.1%","57.5%"
"=""0740011""","Litchfield School District",4,70,2471,2544,73,"67.1%","91.3%"
"=""0740011""","Litchfield School District",5,68,2504,2571,67,"66.2%","86.6%"
"=""0740011""","Litchfield School District",6,73,2564,2602,38,"61.6%","74.0%"
"=""0740011""","Litchfield School District",7,78,2566,2590,24,"37.2%","54.8%"
"=""0740011""","Litchfield School District",8,83,2580,2616,36,"54.2%","73.6%"
"=""0760011""","Madison School District",4,170,2481,2528,47,"52.9%","72.1%"
"=""0760011""","Madison School District",5,151,2533,2545,11,"31.8%","50.0%"
"=""0760011""","Madison School District",6,191,2548,2568,20,"39.3%","58.9%"
"=""0760011""","Madison School District",7,213,2567,2582,15,"35.2%","51.0%"
"=""0760011""","Madison School District",8,239,2602,2603,1,"29.7%","44.6%"
"=""0770011""","Manchester School District",4,421,2406,2444,38,"31.6%","57.0%"
"=""0770011""","Manchester School District",5,443,2434,2483,50,"38.8%","65.3%"
"=""0770011""","Manchester School District",6,390,2468,2493,25,"34.1%","53.3%"
"=""0770011""","Manchester School District",7,382,2495,2525,30,"36.6%","57.6%"
"=""0770011""","Manchester School District",8,326,2520,2541,22,"33.1%","51.0%"
"=""0780011""","Mansfield School District",4,112,2479,2533,54,"56.3%","78.5%"
"=""0780011""","Mansfield School District",5,110,2545,2574,29,"47.3%","65.2%"
"=""0780011""","Mansfield School District",6,109,2571,2590,19,"44.0%","59.2%"
"=""0780011""","Mansfield School District",7,106,2566,2608,41,"53.8%","71.6%"
"=""0780011""","Mansfield School District",8,100,2634,2653,19,"54.0%","66.6%"
"=""0790011""","Marlborough School District",4,93,2465,2508,43,"45.2%","71.8%"
"=""0790011""","Marlborough School District",5,91,2513,2563,50,"61.5%","80.0%"
"=""0790011""","Marlborough School District",6,69,2557,2605,48,"63.8%","81.5%"
"=""0800011""","Meriden School District",4,602,2398,2447,48,"38.4%","63.6%"
"=""0800011""","Meriden School District",5,603,2438,2484,46,"37.8%","64.1%"
"=""0800011""","Meriden School District",6,390,2470,2504,35,"40.8%","60.7%"
"=""0800011""","Meriden School District",7,426,2492,2531,39,"43.7%","63.8%"
"=""0800011""","Meriden School District",8,429,2513,2539,26,"36.8%","54.9%"
"=""0830011""","Middletown School District",4,340,2438,2478,39,"36.5%","60.9%"
"=""0830011""","Middletown School District",5,334,2463,2500,38,"35.9%","61.0%"
"=""0830011""","Middletown School District",6,295,2500,2531,31,"42.4%","60.4%"
"=""0830011""","Middletown School District",7,344,2532,2550,17,"38.7%","53.3%"
"=""0830011""","Middletown School District",8,293,2537,2561,24,"37.2%","57.6%"
"=""0840011""","Milford School District",4,392,2432,2498,66,"51.5%","77.6%"
"=""0840011""","Milford School District",5,436,2486,2539,53,"47.9%","71.6%"
"=""0840011""","Milford School District",6,424,2512,2558,46,"55.4%","73.8%"
"=""0840011""","Milford School District",7,473,2556,2586,30,"45.9%","61.7%"
"=""0840011""","Milford School District",8,466,2567,2592,25,"41.2%","59.1%"
"=""0850011""","Monroe School District",4,207,2505,2544,39,"53.6%","70.4%"
"=""0850011""","Monroe School District",5,217,2540,2586,45,"58.5%","76.6%"
"=""0850011""","Monroe School District",6,266,2579,2579,-0,"38.7%","49.2%"
"=""0850011""","Monroe School District",7,247,2586,2619,33,"51.4%","68.8%"
"=""0850011""","Monroe School District",8,245,2601,2624,23,"45.7%","61.7%"
"=""0860011""","Montville School District",4,139,2451,2511,61,"55.4%","77.5%"
"=""0860011""","Montville School District",5,177,2480,2533,53,"50.8%","74.3%"
"=""0860011""","Montville School District",6,178,2521,2545,24,"37.6%","61.0%"
"=""0860011""","Montville School District",7,161,2536,2569,33,"42.2%","60.1%"
"=""0860011""","Montville School District",8,177,2550,2574,24,"39.0%","55.5%"
"=""0880011""","Naugatuck School District",4,311,2418,2467,49,"38.6%","64.5%"
"=""0880011""","Naugatuck School District",5,282,2457,2506,49,"42.6%","69.8%"
"=""0880011""","Naugatuck School District",6,306,2481,2530,49,"53.3%","74.7%"
"=""0880011""","Naugatuck School District",7,319,2523,2553,30,"39.8%","60.6%"
"=""0880011""","Naugatuck School District",8,315,2527,2549,22,"35.2%","53.9%"
"=""2800013""","New Beginnings Inc Family Academy District",4,36,2375,2416,42,"30.6%","52.5%"
"=""2800013""","New Beginnings Inc Family Academy District",5,43,2452,2461,9,"9.3%","33.0%"
"=""2800013""","New Beginnings Inc Family Academy District",6,33,2484,2535,51,"57.6%","74.3%"
"=""2800013""","New Beginnings Inc Family Academy District",7,28,2491,2536,45,"39.3%","64.3%"
"=""2800013""","New Beginnings Inc Family Academy District",8,29,2512,2548,36,"44.8%","70.1%"
"=""0890011""","New Britain School District",4,699,2371,2413,42,"28.8%","56.8%"
"=""0890011""","New Britain School District",5,696,2402,2437,35,"28.6%","53.9%"
"=""0890011""","New Britain School District",6,620,2439,2453,15,"26.3%","45.1%"
"=""0890011""","New Britain School District",7,557,2449,2478,29,"31.6%","52.2%"
"=""0890011""","New Britain School District",8,546,2469,2491,22,"29.7%","48.9%"
"=""0900011""","New Canaan School District",4,311,2506,2565,60,"71.7%","88.5%"
"=""0900011""","New Canaan School District",5,314,2552,2584,32,"51.3%","67.6%"
"=""0900011""","New Canaan School District",6,289,2580,2593,13,"43.6%","56.4%"
"=""0900011""","New Canaan School District",7,345,2580,2610,30,"48.4%","65.4%"
"=""0900011""","New Canaan School District",8,297,2615,2640,25,"48.8%","64.9%"
"=""0910011""","New Fairfield School District",4,154,2458,2510,52,"51.3%","74.0%"
"=""0910011""","New Fairfield School District",5,136,2497,2553,56,"52.2%","75.1%"
"=""0910011""","New Fairfield School District",6,166,2544,2575,31,"45.8%","65.1%"
"=""0910011""","New Fairfield School District",7,176,2533,2598,65,"58.5%","79.1%"
"=""0910011""","New Fairfield School District",8,163,2596,2619,23,"46.6%","62.6%"
"=""0920011""","New Hartford School District",4,64,2452,2512,60,"51.6%","78.1%"
"=""0920011""","New Hartford School District",5,62,2524,2563,39,"46.8%","66.5%"
"=""0920011""","New Hartford School District",6,71,2560,2575,15,"32.4%","55.9%"
"=""0930011""","New Haven School District",4,1436,2373,2427,55,"38.2%","67.1%"
"=""0930011""","New Haven School District",5,1337,2407,2462,56,"41.4%","68.9%"
"=""0930011""","New Haven School District",6,1339,2456,2492,36,"39.7%","62.2%"
"=""0930011""","New Haven School District",7,1337,2484,2516,32,"35.4%","57.5%"
"=""0930011""","New Haven School District",8,1276,2498,2531,33,"39.8%","60.6%"
"=""0950011""","New London School District",4,244,2384,2439,56,"40.6%","68.2%"
"=""0950011""","New London School District",5,250,2422,2474,52,"39.6%","65.1%"
"=""0950011""","New London School District",6,185,2468,2463,-5,"16.8%","32.4%"
"=""0950011""","New London School District",7,165,2466,2482,15,"27.3%","46.3%"
"=""0950011""","New London School District",8,149,2496,2512,16,"28.2%","47.0%"
"=""0960011""","New Milford School District",4,291,2445,2476,31,"30.9%","55.5%"
"=""0960011""","New Milford School District",5,297,2471,2520,49,"46.8%","70.0%"
"=""0960011""","New Milford School District",6,306,2510,2539,29,"39.9%","58.6%"
"=""0960011""","New Milford School District",7,292,2528,2574,46,"49.0%","68.4%"
"=""0960011""","New Milford School District",8,283,2531,2550,19,"34.6%","52.7%"
"=""0940011""","Newington School District",4,293,2458,2504,46,"44.4%","69.3%"
"=""0940011""","Newington School District",5,295,2484,2508,24,"30.5%","50.7%"
"=""0940011""","Newington School District",6,307,2512,2542,29,"38.4%","62.2%"
"=""0940011""","Newington School District",7,318,2531,2564,33,"41.5%","61.8%"
"=""0940011""","Newington School District",8,308,2559,2571,12,"31.5%","47.0%"
"=""0970011""","Newtown School District",4,284,2468,2522,54,"51.1%","75.5%"
"=""0970011""","Newtown School District",5,324,2516,2555,39,"49.1%","67.0%"
"=""0970011""","Newtown School District",6,330,2544,2571,27,"40.6%","60.5%"
"=""0970011""","Newtown School District",7,370,2576,2600,24,"41.4%","58.2%"
"=""0970011""","Newtown School District",8,396,2608,2629,21,"48.0%","61.5%"
"=""0980011""","Norfolk School District",4,16,"*","*","*","*","*"
"=""0980011""","Norfolk School District",5,10,"*","*","*","*","*"
"=""0980011""","Norfolk School District",6,18,"*","*","*","*","*"
"=""0990011""","North Branford School District",4,125,2452,2496,45,"38.4%","64.4%"
"=""0990011""","North Branford School District",5,140,2488,2533,45,"45.7%","65.9%"
"=""0990011""","North Branford School District",6,139,2532,2552,20,"41.7%","57.8%"
"=""0990011""","North Branford School District",7,148,2520,2563,44,"45.3%","66.3%"
"=""0990011""","North Branford School District",8,153,2540,2572,32,"44.4%","67.1%"
"=""1000011""","North Canaan School District",4,19,"*","*","*","*","*"
"=""1000011""","North Canaan School District",5,19,"*","*","*","*","*"
"=""1000011""","North Canaan School District",6,30,2518,2548,30,"43.3%","66.6%"
"=""1000011""","North Canaan School District",7,24,2533,2602,70,"79.2%","93.6%"
"=""1000011""","North Canaan School District",8,18,"*","*","*","*","*"
"=""1010011""","North Haven School District",4,202,2454,2528,74,"65.8%","87.4%"
"=""1010011""","North Haven School District",5,218,2486,2546,60,"55.0%","81.4%"
"=""1010011""","North Haven School District",6,253,2510,2561,51,"57.3%","78.8%"
"=""1010011""","North Haven School District",7,212,2512,2591,79,"74.1%","91.6%"
"=""1010011""","North Haven School District",8,243,2522,2620,98,"82.3%","97.8%"
"=""1020011""","North Stonington School District",4,44,2500,2544,44,"52.3%","74.0%"
"=""1020011""","North Stonington School District",5,56,2544,2605,60,"73.2%","90.5%"
"=""1020011""","North Stonington School District",6,57,2546,2536,-9,"21.1%","34.7%"
"=""1020011""","North Stonington School District",7,58,2534,2586,52,"63.8%","77.5%"
"=""1020011""","North Stonington School District",8,49,2585,2602,17,"34.7%","53.8%"
"=""1030011""","Norwalk School District",4,813,2421,2473,52,"41.9%","66.9%"
"=""1030011""","Norwalk School District",5,752,2472,2506,34,"32.3%","57.6%"
"=""1030011""","Norwalk School District",6,788,2500,2515,14,"28.7%","47.8%"
"=""1030011""","Norwalk School District",7,775,2517,2550,34,"40.5%","60.8%"
"=""1030011""","Norwalk School District",8,721,2529,2549,21,"34.3%","53.0%"
"=""1040011""","Norwich School District",4,323,2371,2432,61,"42.7%","68.2%"
"=""1040011""","Norwich School District",5,323,2420,2477,56,"43.7%","67.5%"
"=""1040011""","Norwich School District",6,308,2456,2484,27,"31.5%","53.5%"
"=""1040011""","Norwich School District",7,331,2473,2507,34,"37.2%","59.8%"
"=""1040011""","Norwich School District",8,344,2498,2523,25,"34.3%","53.2%"
"=""2630013""","Odyssey Community School District",4,38,2426,2481,55,"47.4%","73.6%"
"=""2630013""","Odyssey Community School District",5,36,2470,2502,32,"27.8%","54.8%"
"=""2630013""","Odyssey Community School District",6,33,2494,2541,47,"48.5%","72.4%"
"=""2630013""","Odyssey Community School District",7,31,2511,2559,48,"41.9%","70.3%"
"=""2630013""","Odyssey Community School District",8,37,2574,2581,7,"18.9%","41.3%"
"=""1060011""","Old Saybrook School District",4,99,2454,2502,47,"39.4%","68.9%"
"=""1060011""","Old Saybrook School District",5,83,2513,2550,36,"42.2%","61.5%"
"=""1060011""","Old Saybrook School District",6,98,2531,2559,28,"46.9%","63.7%"
"=""1060011""","Old Saybrook School District",7,104,2577,2595,18,"39.4%","56.5%"
"=""1060011""","Old Saybrook School District",8,117,2580,2619,39,"57.3%","74.7%"
"=""1070011""","Orange School District",4,158,2463,2526,63,"58.2%","82.7%"
"=""1070011""","Orange School District",5,159,2519,2565,46,"50.3%","71.9%"
"=""1070011""","Orange School District",6,192,2570,2603,34,"53.1%","68.6%"
"=""1080011""","Oxford School District",4,147,2467,2502,36,"40.8%","62.4%"
"=""1080011""","Oxford School District",5,166,2508,2550,41,"42.8%","65.1%"
"=""1080011""","Oxford School District",6,147,2548,2547,-1,"23.1%","36.4%"
"=""1080011""","Oxford School District",7,157,2554,2584,30,"48.4%","65.4%"
"=""1080011""","Oxford School District",8,159,2567,2589,22,"39.6%","55.7%"
"=""2830013""","Park City Prep Charter School District",5,88,2405,2469,64,"47.7%","73.0%"
"=""2830013""","Park City Prep Charter School District",6,88,2421,2460,39,"36.4%","60.3%"
"=""2830013""","Park City Prep Charter School District",7,80,2482,2550,68,"58.8%","81.0%"
"=""2830013""","Park City Prep Charter School District",8,81,2531,2578,47,"43.2%","69.7%"
"=""1090011""","Plainfield School District",4,158,2437,2482,45,"38.6%","64.3%"
"=""1090011""","Plainfield School District",5,150,2465,2504,39,"36.0%","60.1%"
"=""1090011""","Plainfield School District",6,150,2497,2566,69,"64.0%","87.8%"
"=""1090011""","Plainfield School District",7,171,2507,2554,46,"50.3%","70.3%"
"=""1090011""","Plainfield School District",8,173,2532,2577,46,"50.3%","71.7%"
"=""1100011""","Plainville School District",4,167,2441,2486,45,"38.9%","65.3%"
"=""1100011""","Plainville School District",5,161,2470,2518,48,"37.9%","65.5%"
"=""1100011""","Plainville School District",6,187,2517,2544,26,"39.6%","60.2%"
"=""1100011""","Plainville School District",7,177,2518,2564,46,"51.4%","70.5%"
"=""1100011""","Plainville School District",8,164,2535,2571,35,"46.3%","67.6%"
"=""1110011""","Plymouth School District",4,120,2438,2482,44,"44.2%","65.0%"
"=""1110011""","Plymouth School District",5,101,2498,2557,60,"59.4%","83.0%"
"=""1110011""","Plymouth School District",6,108,2507,2516,9,"26.9%","44.1%"
"=""1110011""","Plymouth School District",7,109,2510,2545,35,"45.0%","63.2%"
"=""1110011""","Plymouth School District",8,98,2510,2555,44,"44.9%","66.2%"
"=""1120011""","Pomfret School District",4,35,2458,2508,50,"42.9%","73.2%"
"=""1120011""","Pomfret School District",5,48,2499,2551,52,"52.1%","74.4%"
"=""1120011""","Pomfret School District",6,46,2550,2568,18,"41.3%","58.8%"
"=""1120011""","Pomfret School District",7,44,2546,2591,45,"61.4%","74.6%"
"=""1120011""","Pomfret School District",8,48,2596,2624,28,"58.3%","71.4%"
"=""1130011""","Portland School District",4,91,2481,2524,43,"40.7%","68.6%"
"=""1130011""","Portland School District",5,105,2521,2565,44,"54.3%","73.6%"
"=""1130011""","Portland School District",6,103,2572,2600,28,"54.4%","68.5%"
"=""1130011""","Portland School District",7,104,2589,2620,30,"50.0%","65.7%"
"=""1130011""","Portland School District",8,105,2586,2607,21,"43.8%","63.1%"
"=""1140011""","Preston School District",4,37,2444,2521,77,"64.9%","83.2%"
"=""1140011""","Preston School District",5,40,2501,2545,44,"40.0%","68.8%"
"=""1140011""","Preston School District",6,38,2560,2569,9,"36.8%","60.4%"
"=""1140011""","Preston School District",7,57,2562,2555,-7,"17.5%","29.6%"
"=""1140011""","Preston School District",8,43,2586,2593,7,"34.9%","49.4%"
"=""1160011""","Putnam School District",4,74,2424,2478,54,"50.0%","72.8%"
"=""1160011""","Putnam School District",5,86,2460,2487,27,"26.7%","47.8%"
"=""1160011""","Putnam School District",6,77,2485,2529,44,"44.2%","66.7%"
"=""1160011""","Putnam School District",7,80,2487,2562,75,"67.5%","85.4%"
"=""1160011""","Putnam School District",8,78,2534,2552,18,"32.1%","49.3%"
"=""1170011""","Redding School District",4,85,2492,2551,59,"63.5%","86.4%"
"=""1170011""","Redding School District",5,94,2556,2568,12,"33.0%","49.5%"
"=""1170011""","Redding School District",6,119,2552,2579,26,"47.1%","64.5%"
"=""1170011""","Redding School District",7,106,2563,2616,52,"64.2%","81.8%"
"=""1170011""","Redding School District",8,98,2580,2602,21,"50.0%","63.9%"
"=""2010012""","Regional School District 01",4,"*","*","*","*","*","*"
"=""2010012""","Regional School District 01",7,"*","*","*","*","*","*"
"=""2010012""","Regional School District 01",8,"*","*","*","*","*","*"
"=""2040012""","Regional School District 04",7,145,2570,2577,7,"31.0%","46.7%"
"=""2040012""","Regional School District 04",8,155,2585,2616,31,"53.5%","67.7%"
"=""2050012""","Regional School District 05",7,357,2591,2625,35,"52.7%","69.3%"
"=""2050012""","Regional School District 05",8,357,2586,2619,33,"49.0%","69.4%"
"=""2060012""","Regional School District 06",4,33,2480,2538,57,"57.6%","80.6%"
"=""2060012""","Regional School District 06",5,51,2528,2567,39,"47.1%","68.9%"
"=""2060012""","Regional School District 06",6,44,2537,2571,34,"52.3%","68.1%"
"=""2060012""","Regional School District 06",7,48,2548,2564,16,"39.6%","53.3%"
"=""2060012""","Regional School District 06",8,68,2546,2567,21,"38.2%","54.5%"
"=""2070012""","Regional School District 07",7,163,2571,2587,16,"38.7%","54.3%"
"=""2070012""","Regional School District 07",8,126,2569,2613,43,"57.9%","76.0%"
"=""2080012""","Regional School District 08",7,277,2570,2592,22,"40.1%","56.3%"
"=""2080012""","Regional School District 08",8,272,2594,2605,12,"33.5%","51.2%"
"=""2100012""","Regional School District 10",4,160,2479,2528,49,"50.0%","74.0%"
"=""2100012""","Regional School District 10",5,176,2492,2523,31,"34.7%","55.0%"
"=""2100012""","Regional School District 10",6,196,2533,2561,28,"43.4%","59.6%"
"=""2100012""","Regional School District 10",7,214,2564,2602,38,"48.6%","70.3%"
"=""2100012""","Regional School District 10",8,165,2587,2605,19,"37.0%","56.3%"
"=""2110012""","Regional School District 11",7,42,2555,2583,29,"40.5%","58.9%"
"=""2110012""","Regional School District 11",8,40,2539,2582,43,"55.0%","72.1%"
"=""2120012""","Regional School District 12",4,53,2456,2529,73,"56.6%","83.1%"
"=""2120012""","Regional School District 12",5,36,2479,2545,66,"52.8%","83.1%"
"=""2120012""","Regional School District 12",6,47,2566,2596,31,"53.2%","74.2%"
"=""2120012""","Regional School District 12",7,61,2553,2589,36,"54.1%","68.5%"
"=""2120012""","Regional School District 12",8,58,2581,2611,30,"55.2%","74.1%"
"=""2130012""","Regional School District 13",4,109,2451,2511,61,"53.2%","78.5%"
"=""2130012""","Regional School District 13",5,133,2498,2550,52,"50.4%","71.6%"
"=""2130012""","Regional School District 13",6,116,2538,2577,39,"56.0%","77.4%"
"=""2130012""","Regional School District 13",7,160,2540,2567,27,"35.0%","57.4%"
"=""2130012""","Regional School District 13",8,152,2568,2600,32,"46.7%","67.1%"
"=""2140012""","Regional School District 14",4,99,2460,2521,61,"51.5%","79.4%"
"=""2140012""","Regional School District 14",5,126,2503,2546,43,"49.2%","69.1%"
"=""2140012""","Regional School District 14",6,106,2529,2552,23,"37.7%","57.0%"
"=""2140012""","Regional School District 14",7,111,2536,2546,11,"22.5%","43.3%"
"=""2140012""","Regional School District 14",8,101,2562,2581,18,"33.7%","52.6%"
"=""2150012""","Regional School District 15",4,263,2480,2531,51,"53.2%","77.5%"
"=""2150012""","Regional School District 15",5,271,2529,2573,44,"49.8%","72.0%"
"=""2150012""","Regional School District 15",6,299,2536,2577,41,"53.8%","72.7%"
"=""2150012""","Regional School District 15",7,301,2582,2616,35,"48.8%","67.7%"
"=""2150012""","Regional School District 15",8,335,2600,2629,28,"51.3%","67.1%"
"=""2160012""","Regional School District 16",4,152,2461,2514,54,"50.0%","75.2%"
"=""2160012""","Regional School District 16",5,159,2472,2532,61,"50.3%","76.5%"
"=""2160012""","Regional School District 16",6,163,2538,2561,22,"36.8%","55.3%"
"=""2160012""","Regional School District 16",7,164,2527,2565,38,"42.7%","63.6%"
"=""2160012""","Regional School District 16",8,160,2549,2577,28,"39.4%","59.5%"
"=""2170012""","Regional School District 17",4,162,2466,2532,66,"59.3%","80.4%"
"=""2170012""","Regional School District 17",5,177,2494,2532,37,"44.1%","64.0%"
"=""2170012""","Regional School District 17",6,161,2553,2596,44,"59.6%","78.2%"
"=""2170012""","Regional School District 17",7,206,2567,2600,33,"47.6%","66.0%"
"=""2170012""","Regional School District 17",8,181,2600,2620,20,"48.1%","62.7%"
"=""2180012""","Regional School District 18",4,79,2497,2578,81,"82.3%","98.1%"
"=""2180012""","Regional School District 18",5,94,2553,2593,40,"54.3%","75.2%"
"=""2180012""","Regional School District 18",6,109,2572,2580,8,"37.6%","52.8%"
"=""2180012""","Regional School District 18",7,100,2574,2596,22,"41.0%","57.6%"
"=""2180012""","Regional School District 18",8,122,2604,2634,30,"51.6%","70.7%"
"=""1180011""","Ridgefield School District",4,307,2497,2550,54,"60.9%","79.8%"
"=""1180011""","Ridgefield School District",5,384,2532,2594,63,"68.0%","86.3%"
"=""1180011""","Ridgefield School District",6,367,2582,2589,7,"40.1%","54.3%"
"=""1180011""","Ridgefield School District",7,411,2586,2617,31,"49.4%","65.3%"
"=""1180011""","Ridgefield School District",8,384,2618,2632,13,"42.2%","57.8%"
"=""1190011""","Rocky Hill School District",4,166,2473,2521,48,"52.4%","74.9%"
"=""1190011""","Rocky Hill School District",5,174,2510,2563,52,"54.0%","77.4%"
"=""1190011""","Rocky Hill School District",6,171,2541,2562,21,"45.6%","59.9%"
"=""1190011""","Rocky Hill School District",7,193,2570,2582,12,"31.6%","47.1%"
"=""1190011""","Rocky Hill School District",8,182,2578,2596,18,"39.0%","56.2%"
"=""1210011""","Salem School District",4,37,2485,2557,72,"67.6%","90.3%"
"=""1210011""","Salem School District",5,54,2523,2574,51,"59.3%","81.2%"
"=""1210011""","Salem School District",6,31,2549,2584,35,"54.8%","74.6%"
"=""1210011""","Salem School District",7,39,2594,2625,32,"48.7%","66.1%"
"=""1210011""","Salem School District",8,34,2608,2647,40,"61.8%","80.3%"
"=""1220011""","Salisbury School District",4,19,"*","*","*","*","*"
"=""1220011""","Salisbury School District",5,21,2519,2557,38,"57.1%","70.2%"
"=""1220011""","Salisbury School District",6,39,2580,2580,0,"25.6%","43.1%"
"=""1220011""","Salisbury School District",7,19,"*","*","*","*","*"
"=""1220011""","Salisbury School District",8,27,2645,2673,28,"59.3%","72.7%"
"=""1230011""","Scotland School District",4,18,"*","*","*","*","*"
"=""1230011""","Scotland School District",5,13,"*","*","*","*","*"
"=""1230011""","Scotland School District",6,13,"*","*","*","*","*"
"=""1240011""","Seymour School District",4,141,2425,2487,62,"49.6%","71.7%"
"=""1240011""","Seymour School District",5,171,2471,2519,48,"48.5%","68.6%"
"=""1240011""","Seymour School District",6,173,2504,2530,26,"37.0%","56.9%"
"=""1240011""","Seymour School District",7,188,2540,2562,22,"29.8%","51.4%"
"=""1240011""","Seymour School District",8,183,2555,2566,11,"27.9%","42.8%"
"=""1250011""","Sharon School District",4,13,"*","*","*","*","*"
"=""1250011""","Sharon School District",5,15,"*","*","*","*","*"
"=""1250011""","Sharon School District",6,16,"*","*","*","*","*"
"=""1250011""","Sharon School District",7,15,"*","*","*","*","*"
"=""1250011""","Sharon School District",8,9,"*","*","*","*","*"
"=""1260011""","Shelton School District",4,336,2448,2517,69,"60.4%","83.5%"
"=""1260011""","Shelton School District",5,341,2508,2552,44,"49.9%","70.4%"
"=""1260011""","Shelton School District",6,350,2535,2585,50,"61.1%","79.9%"
"=""1260011""","Shelton School District",7,379,2563,2582,19,"36.1%","53.9%"
"=""1260011""","Shelton School District",8,432,2588,2613,24,"46.3%","61.9%"
"=""1270011""","Sherman School District",4,26,2414,2471,57,"38.5%","71.8%"
"=""1270011""","Sherman School District",5,21,2486,2546,59,"52.4%","81.2%"
"=""1270011""","Sherman School District",6,21,2529,2572,44,"57.1%","69.3%"
"=""1270011""","Sherman School District",7,13,"*","*","*","*","*"
"=""1270011""","Sherman School District",8,18,"*","*","*","*","*"
"=""2700013""","Side By Side Charter School District",4,24,2441,2458,17,"12.5%","36.2%"
"=""2700013""","Side By Side Charter School District",5,22,2500,2546,46,"45.5%","73.2%"
"=""2700013""","Side By Side Charter School District",6,20,2503,2559,57,"60.0%","77.5%"
"=""2700013""","Side By Side Charter School District",7,21,2542,2576,34,"42.9%","58.1%"
"=""2700013""","Side By Side Charter School District",8,21,2557,2584,27,"42.9%","60.1%"
"=""1280011""","Simsbury School District",4,281,2485,2539,55,"59.8%","79.0%"
"=""1280011""","Simsbury School District",5,282,2539,2579,41,"52.1%","72.8%"
"=""1280011""","Simsbury School District",6,322,2565,2602,37,"57.8%","75.3%"
"=""1280011""","Simsbury School District",7,322,2588,2617,30,"49.7%","66.2%"
"=""1280011""","Simsbury School District",8,347,2598,2640,41,"60.2%","77.0%"
"=""1290011""","Somers School District",4,113,2445,2500,55,"47.8%","72.1%"
"=""1290011""","Somers School District",5,98,2521,2553,32,"39.8%","60.5%"
"=""1290011""","Somers School District",6,111,2536,2575,39,"55.0%","70.9%"
"=""1290011""","Somers School District",7,120,2558,2599,41,"53.3%","73.1%"
"=""1290011""","Somers School District",8,94,2582,2594,12,"35.1%","53.2%"
"=""1320011""","South Windsor School District",4,285,2469,2535,65,"61.4%","85.7%"
"=""1320011""","South Windsor School District",5,303,2519,2563,44,"52.5%","72.8%"
"=""1320011""","South Windsor School District",6,290,2551,2580,30,"50.0%","65.2%"
"=""1320011""","South Windsor School District",7,303,2581,2607,26,"44.9%","61.1%"
"=""1320011""","South Windsor School District",8,331,2600,2617,17,"41.1%","56.6%"
"=""1310011""","Southington School District",4,462,2459,2498,40,"39.2%","60.5%"
"=""1310011""","Southington School District",5,517,2500,2540,41,"42.6%","64.5%"
"=""1310011""","Southington School District",6,476,2538,2563,25,"38.9%","57.9%"
"=""1310011""","Southington School District",7,506,2562,2583,20,"37.5%","55.3%"
"=""1310011""","Southington School District",8,543,2576,2598,22,"39.8%","59.8%"
"=""1330011""","Sprague School District",4,26,2384,2422,38,"26.9%","55.7%"
"=""1330011""","Sprague School District",5,27,2451,2529,77,"55.6%","87.3%"
"=""1330011""","Sprague School District",6,35,2517,2541,24,"42.9%","53.5%"
"=""1330011""","Sprague School District",7,35,2492,2535,43,"42.9%","63.4%"
"=""1330011""","Sprague School District",8,41,2581,2605,24,"43.9%","54.7%"
"=""1340011""","Stafford School District",4,127,2448,2485,37,"33.1%","59.5%"
"=""1340011""","Stafford School District",5,104,2476,2520,44,"40.4%","66.6%"
"=""1340011""","Stafford School District",6,91,2501,2545,44,"48.4%","71.2%"
"=""1340011""","Stafford School District",7,106,2555,2604,50,"60.4%","74.8%"
"=""1340011""","Stafford School District",8,107,2585,2612,27,"44.9%","61.2%"
"=""1350011""","Stamford School District",4,1164,2415,2468,53,"42.3%","68.6%"
"=""1350011""","Stamford School District",5,1069,2457,2511,55,"47.3%","72.1%"
