"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0910011""","New Fairfield School District","Math","Female",376,"55.1%","78.6%"
"=""0920011""","New Hartford School District","ELA","Male",92,"39.1%","63.9%"
"=""0920011""","New Hartford School District","ELA","Female",105,"46.7%","68.7%"
"=""0920011""","New Hartford School District","Math","Male",91,"31.9%","59.5%"
"=""0920011""","New Hartford School District","Math","Female",105,"32.4%","54.5%"
"=""0930011""","New Haven School District","ELA","Male",3400,"36.3%","61.2%"
"=""0930011""","New Haven School District","ELA","Female",3325,"41.5%","65.5%"
"=""0930011""","New Haven School District","Math","Male",3436,"39.8%","61.7%"
"=""0930011""","New Haven School District","Math","Female",3360,"42.0%","65.4%"
"=""0950011""","New London School District","ELA","Male",514,"29.4%","51.1%"
"=""0950011""","New London School District","ELA","Female",479,"34.4%","56.9%"
"=""0950011""","New London School District","Math","Male",525,"26.1%","48.4%"
"=""0950011""","New London School District","Math","Female",487,"28.1%","50.6%"
"=""0960011""","New Milford School District","ELA","Male",801,"38.0%","58.2%"
"=""0960011""","New Milford School District","ELA","Female",668,"43.1%","64.7%"
"=""0960011""","New Milford School District","Math","Male",789,"45.1%","65.2%"
"=""0960011""","New Milford School District","Math","Female",651,"43.0%","63.8%"
"=""0940011""","Newington School District","ELA","Male",784,"34.7%","54.1%"
"=""0940011""","Newington School District","ELA","Female",737,"40.0%","62.6%"
"=""0940011""","Newington School District","Math","Male",785,"34.9%","52.3%"
"=""0940011""","Newington School District","Math","Female",737,"40.6%","60.6%"
"=""0970011""","Newtown School District","ELA","Male",877,"43.7%","61.6%"
"=""0970011""","Newtown School District","ELA","Female",827,"48.1%","66.4%"
"=""0970011""","Newtown School District","Math","Male",876,"58.8%","77.5%"
"=""0970011""","Newtown School District","Math","Female",827,"59.5%","78.6%"
"=""0980011""","Norfolk School District","ELA","Male",20,"40.0%","61.8%"
"=""0980011""","Norfolk School District","ELA","Female",24,"50.0%","69.2%"
"=""0980011""","Norfolk School District","Math","Male",20,"55.0%","75.4%"
"=""0980011""","Norfolk School District","Math","Female",24,"45.8%","65.2%"
"=""0990011""","North Branford School District","ELA","Male",345,"39.1%","62.5%"
"=""0990011""","North Branford School District","ELA","Female",360,"47.2%","66.2%"
"=""0990011""","North Branford School District","Math","Male",345,"43.2%","64.6%"
"=""0990011""","North Branford School District","Math","Female",360,"47.8%","67.6%"
"=""1000011""","North Canaan School District","ELA","Male",56,"53.6%","72.4%"
"=""1000011""","North Canaan School District","ELA","Female",54,"63.0%","82.6%"
"=""1000011""","North Canaan School District","Math","Male",56,"46.4%","71.1%"
"=""1000011""","North Canaan School District","Math","Female",54,"53.7%","77.0%"
"=""1010011""","North Haven School District","ELA","Male",589,"64.2%","84.1%"
"=""1010011""","North Haven School District","ELA","Female",539,"69.9%","90.8%"
"=""1010011""","North Haven School District","Math","Male",591,"66.5%","88.5%"
"=""1010011""","North Haven School District","Math","Female",539,"73.3%","93.2%"
"=""1020011""","North Stonington School District","ELA","Male",139,"49.6%","66.0%"
"=""1020011""","North Stonington School District","ELA","Female",125,"48.8%","66.1%"
"=""1020011""","North Stonington School District","Math","Male",139,"50.4%","68.5%"
"=""1020011""","North Stonington School District","Math","Female",125,"48.0%","66.4%"
"=""1030011""","Norwalk School District","ELA","Male",1970,"34.5%","55.9%"
"=""1030011""","Norwalk School District","ELA","Female",1879,"36.8%","58.8%"
"=""1030011""","Norwalk School District","Math","Male",2003,"37.8%","58.5%"
"=""1030011""","Norwalk School District","Math","Female",1912,"36.6%","58.7%"
"=""1040011""","Norwich School District","ELA","Male",834,"38.5%","60.9%"
"=""1040011""","Norwich School District","ELA","Female",795,"37.2%","59.9%"
"=""1040011""","Norwich School District","Math","Male",839,"38.0%","60.0%"
"=""1040011""","Norwich School District","Math","Female",804,"37.3%","59.3%"
"=""2630013""","Odyssey Community School District","ELA","Male",92,"38.0%","64.6%"
"=""2630013""","Odyssey Community School District","ELA","Female",83,"34.9%","59.2%"
"=""2630013""","Odyssey Community School District","Math","Male",92,"35.9%","57.1%"
"=""2630013""","Odyssey Community School District","Math","Female",83,"30.1%","50.7%"
"=""1060011""","Old Saybrook School District","ELA","Male",262,"45.4%","63.0%"
"=""1060011""","Old Saybrook School District","ELA","Female",239,"45.6%","68.0%"
"=""1060011""","Old Saybrook School District","Math","Male",264,"47.7%","69.2%"
"=""1060011""","Old Saybrook School District","Math","Female",239,"50.6%","72.1%"
"=""1070011""","Orange School District","ELA","Male",253,"55.3%","76.8%"
"=""1070011""","Orange School District","ELA","Female",256,"52.3%","71.2%"
"=""1070011""","Orange School District","Math","Male",255,"53.7%","76.0%"
"=""1070011""","Orange School District","Math","Female",259,"46.7%","72.4%"
"=""1080011""","Oxford School District","ELA","Male",382,"36.6%","54.7%"
"=""1080011""","Oxford School District","ELA","Female",394,"41.6%","59.7%"
"=""1080011""","Oxford School District","Math","Male",382,"47.9%","69.2%"
"=""1080011""","Oxford School District","Math","Female",393,"48.3%","72.2%"
"=""2830013""","Park City Prep Charter School District","ELA","Male",166,"42.8%","67.4%"
"=""2830013""","Park City Prep Charter School District","ELA","Female",171,"49.7%","74.1%"
"=""2830013""","Park City Prep Charter School District","Math","Male",166,"54.2%","72.8%"
"=""2830013""","Park City Prep Charter School District","Math","Female",170,"60.6%","81.2%"
"=""1090011""","Plainfield School District","ELA","Male",409,"45.5%","67.7%"
"=""1090011""","Plainfield School District","ELA","Female",393,"50.4%","74.0%"
"=""1090011""","Plainfield School District","Math","Male",408,"57.1%","78.9%"
"=""1090011""","Plainfield School District","Math","Female",391,"55.5%","80.4%"
"=""1100011""","Plainville School District","ELA","Male",453,"41.1%","63.4%"
"=""1100011""","Plainville School District","ELA","Female",403,"44.9%","68.4%"
"=""1100011""","Plainville School District","Math","Male",454,"41.0%","64.5%"
"=""1100011""","Plainville School District","Math","Female",402,"38.3%","62.8%"
"=""1110011""","Plymouth School District","ELA","Male",277,"44.4%","64.6%"
"=""1110011""","Plymouth School District","ELA","Female",259,"43.2%","63.5%"
"=""1110011""","Plymouth School District","Math","Male",279,"45.9%","69.8%"
"=""1110011""","Plymouth School District","Math","Female",260,"53.8%","77.8%"
"=""1120011""","Pomfret School District","ELA","Male",116,"47.4%","65.7%"
"=""1120011""","Pomfret School District","ELA","Female",105,"56.2%","75.5%"
"=""1120011""","Pomfret School District","Math","Male",116,"50.9%","71.2%"
"=""1120011""","Pomfret School District","Math","Female",105,"46.7%","65.2%"
"=""1130011""","Portland School District","ELA","Male",260,"43.8%","64.6%"
"=""1130011""","Portland School District","ELA","Female",248,"54.0%","71.3%"
"=""1130011""","Portland School District","Math","Male",260,"47.3%","71.8%"
"=""1130011""","Portland School District","Math","Female",248,"47.6%","69.1%"
"=""1140011""","Preston School District","ELA","Male",98,"34.7%","54.1%"
"=""1140011""","Preston School District","ELA","Female",117,"38.5%","56.7%"
"=""1140011""","Preston School District","Math","Male",97,"35.1%","59.2%"
"=""1140011""","Preston School District","Math","Female",117,"48.7%","65.4%"
"=""1160011""","Putnam School District","ELA","Male",201,"44.3%","64.4%"
"=""1160011""","Putnam School District","ELA","Female",194,"43.3%","63.7%"
"=""1160011""","Putnam School District","Math","Male",201,"48.3%","68.1%"
"=""1160011""","Putnam School District","Math","Female",194,"48.5%","71.5%"
"=""1170011""","Redding School District","ELA","Male",273,"49.1%","66.4%"
"=""1170011""","Redding School District","ELA","Female",229,"54.1%","72.0%"
"=""1170011""","Redding School District","Math","Male",271,"56.5%","76.9%"
"=""1170011""","Redding School District","Math","Female",225,"54.7%","72.8%"
"=""2010012""","Regional School District 01","ELA","Male","*","*","*"
"=""2010012""","Regional School District 01","Math","Male","*","*","*"
"=""2040012""","Regional School District 04","ELA","Male",150,"39.3%","53.9%"
"=""2040012""","Regional School District 04","ELA","Female",150,"46.0%","61.2%"
"=""2040012""","Regional School District 04","Math","Male",150,"43.3%","58.8%"
"=""2040012""","Regional School District 04","Math","Female",150,"39.3%","59.1%"
"=""2050012""","Regional School District 05","ELA","Male",358,"50.3%","68.0%"
"=""2050012""","Regional School District 05","ELA","Female",356,"51.4%","70.7%"
"=""2050012""","Regional School District 05","Math","Male",358,"58.1%","72.7%"
"=""2050012""","Regional School District 05","Math","Female",356,"58.1%","75.3%"
"=""2060012""","Regional School District 06","ELA","Male",120,"38.3%","54.5%"
"=""2060012""","Regional School District 06","ELA","Female",124,"52.4%","71.7%"
"=""2060012""","Regional School District 06","Math","Male",119,"31.9%","52.7%"
"=""2060012""","Regional School District 06","Math","Female",123,"48.8%","66.4%"
"=""2070012""","Regional School District 07","ELA","Male",156,"44.9%","63.5%"
"=""2070012""","Regional School District 07","ELA","Female",133,"49.6%","64.0%"
"=""2070012""","Regional School District 07","Math","Male",156,"57.1%","72.9%"
"=""2070012""","Regional School District 07","Math","Female",130,"62.3%","80.6%"
"=""2080012""","Regional School District 08","ELA","Male",267,"31.8%","48.5%"
"=""2080012""","Regional School District 08","ELA","Female",282,"41.5%","58.8%"
"=""2080012""","Regional School District 08","Math","Male",268,"44.8%","60.5%"
"=""2080012""","Regional School District 08","Math","Female",281,"40.2%","58.5%"
"=""2100012""","Regional School District 10","ELA","Male",484,"41.1%","62.0%"
"=""2100012""","Regional School District 10","ELA","Female",427,"45.0%","64.5%"
"=""2100012""","Regional School District 10","Math","Male",484,"38.6%","59.6%"
"=""2100012""","Regional School District 10","Math","Female",427,"43.1%","61.4%"
"=""2110012""","Regional School District 11","ELA","Male",46,"45.7%","60.7%"
"=""2110012""","Regional School District 11","ELA","Female",36,"50.0%","71.3%"
"=""2110012""","Regional School District 11","Math","Male",45,"33.3%","57.5%"
"=""2110012""","Regional School District 11","Math","Female",35,"65.7%","79.6%"
"=""2120012""","Regional School District 12","ELA","Male",122,"54.9%","76.1%"
"=""2120012""","Regional School District 12","ELA","Female",133,"54.1%","75.8%"
"=""2120012""","Regional School District 12","Math","Male",121,"57.0%","79.2%"
"=""2120012""","Regional School District 12","Math","Female",133,"67.7%","86.9%"
"=""2130012""","Regional School District 13","ELA","Male",355,"42.5%","64.8%"
"=""2130012""","Regional School District 13","ELA","Female",315,"52.7%","74.4%"
"=""2130012""","Regional School District 13","Math","Male",354,"45.5%","66.7%"
"=""2130012""","Regional School District 13","Math","Female",315,"48.9%","72.6%"
"=""2140012""","Regional School District 14","ELA","Male",265,"33.6%","56.8%"
"=""2140012""","Regional School District 14","ELA","Female",278,"44.2%","63.6%"
"=""2140012""","Regional School District 14","Math","Male",264,"34.1%","53.2%"
"=""2140012""","Regional School District 14","Math","Female",278,"32.7%","56.7%"
"=""2150012""","Regional School District 15","ELA","Male",755,"48.7%","70.0%"
"=""2150012""","Regional School District 15","ELA","Female",714,"54.2%","72.3%"
"=""2150012""","Regional School District 15","Math","Male",753,"49.0%","69.9%"
"=""2150012""","Regional School District 15","Math","Female",717,"54.4%","74.9%"
"=""2160012""","Regional School District 16","ELA","Male",416,"44.0%","67.7%"
"=""2160012""","Regional School District 16","ELA","Female",382,"43.5%","63.9%"
"=""2160012""","Regional School District 16","Math","Male",409,"42.3%","65.0%"
"=""2160012""","Regional School District 16","Math","Female",369,"39.8%","61.0%"
"=""2170012""","Regional School District 17","ELA","Male",479,"48.4%","67.3%"
"=""2170012""","Regional School District 17","ELA","Female",408,"54.7%","72.6%"
"=""2170012""","Regional School District 17","Math","Male",477,"51.8%","71.8%"
"=""2170012""","Regional School District 17","Math","Female",406,"56.7%","78.4%"
"=""2180012""","Regional School District 18","ELA","Male",253,"49.4%","68.9%"
"=""2180012""","Regional School District 18","ELA","Female",251,"54.2%","69.8%"
"=""2180012""","Regional School District 18","Math","Male",252,"59.1%","77.7%"
"=""2180012""","Regional School District 18","Math","Female",251,"57.0%","73.0%"
"=""1180011""","Ridgefield School District","ELA","Male",947,"50.3%","67.9%"
"=""1180011""","Ridgefield School District","ELA","Female",906,"53.4%","68.8%"
"=""1180011""","Ridgefield School District","Math","Male",949,"54.9%","73.4%"
"=""1180011""","Ridgefield School District","Math","Female",903,"53.5%","75.0%"
"=""1190011""","Rocky Hill School District","ELA","Male",444,"39.9%","58.9%"
"=""1190011""","Rocky Hill School District","ELA","Female",442,"48.4%","66.3%"
"=""1190011""","Rocky Hill School District","Math","Male",448,"48.4%","67.4%"
"=""1190011""","Rocky Hill School District","Math","Female",442,"49.8%","71.0%"
"=""1210011""","Salem School District","ELA","Male",98,"56.1%","79.6%"
"=""1210011""","Salem School District","ELA","Female",97,"60.8%","77.8%"
"=""1210011""","Salem School District","Math","Male",98,"49.0%","68.9%"
"=""1210011""","Salem School District","Math","Female",97,"51.5%","68.2%"
"=""1220011""","Salisbury School District","ELA","Male",58,"43.1%","58.8%"
"=""1220011""","Salisbury School District","ELA","Female",67,"50.7%","65.5%"
"=""1220011""","Salisbury School District","Math","Male",58,"53.4%","69.4%"
"=""1220011""","Salisbury School District","Math","Female",67,"58.2%","81.7%"
"=""1230011""","Scotland School District","ELA","Male",21,"52.4%","71.8%"
"=""1230011""","Scotland School District","ELA","Female",23,"69.6%","84.3%"
"=""1230011""","Scotland School District","Math","Male",21,"42.9%","70.1%"
"=""1230011""","Scotland School District","Math","Female",23,"26.1%","56.2%"
"=""1240011""","Seymour School District","ELA","Male",426,"35.0%","55.0%"
"=""1240011""","Seymour School District","ELA","Female",430,"40.7%","59.8%"
"=""1240011""","Seymour School District","Math","Male",425,"48.9%","68.8%"
"=""1240011""","Seymour School District","Math","Female",430,"48.4%","71.8%"
"=""1250011""","Sharon School District","ELA","Male",30,"43.3%","57.6%"
"=""1250011""","Sharon School District","ELA","Female",38,"44.7%","72.7%"
"=""1250011""","Sharon School District","Math","Male",30,"66.7%","86.2%"
"=""1250011""","Sharon School District","Math","Female",38,"36.8%","51.7%"
"=""1260011""","Shelton School District","ELA","Male",932,"46.2%","66.6%"
"=""1260011""","Shelton School District","ELA","Female",906,"54.4%","71.9%"
"=""1260011""","Shelton School District","Math","Male",934,"48.4%","69.0%"
"=""1260011""","Shelton School District","Math","Female",906,"50.4%","72.0%"
"=""1270011""","Sherman School District","ELA","Male",58,"46.6%","73.9%"
"=""1270011""","Sherman School District","ELA","Female",41,"48.8%","65.1%"
"=""1270011""","Sherman School District","Math","Male",59,"54.2%","81.0%"
"=""1270011""","Sherman School District","Math","Female",41,"51.2%","76.2%"
"=""2700013""","Side By Side Charter School District","ELA","Male",51,"45.1%","65.5%"
"=""2700013""","Side By Side Charter School District","ELA","Female",57,"35.1%","55.7%"
"=""2700013""","Side By Side Charter School District","Math","Male",51,"54.9%","77.0%"
"=""2700013""","Side By Side Charter School District","Math","Female",56,"55.4%","73.8%"
"=""1280011""","Simsbury School District","ELA","Male",818,"51.8%","71.6%"
"=""1280011""","Simsbury School District","ELA","Female",736,"60.6%","76.7%"
"=""1280011""","Simsbury School District","Math","Male",812,"52.6%","72.0%"
"=""1280011""","Simsbury School District","Math","Female",732,"54.8%","75.9%"
"=""1290011""","Somers School District","ELA","Male",272,"45.2%","64.8%"
"=""1290011""","Somers School District","ELA","Female",264,"48.5%","68.6%"
"=""1290011""","Somers School District","Math","Male",272,"49.3%","72.4%"
"=""1290011""","Somers School District","Math","Female",263,"47.1%","71.9%"
"=""1320011""","South Windsor School District","ELA","Male",772,"47.5%","66.1%"
"=""1320011""","South Windsor School District","ELA","Female",740,"51.9%","69.7%"
"=""1320011""","South Windsor School District","Math","Male",769,"57.1%","75.5%"
"=""1320011""","South Windsor School District","Math","Female",738,"52.7%","75.5%"
"=""1310011""","Southington School District","ELA","Male",1272,"37.5%","57.4%"
"=""1310011""","Southington School District","ELA","Female",1232,"41.8%","61.9%"
"=""1310011""","Southington School District","Math","Male",1269,"39.2%","59.9%"
"=""1310011""","Southington School District","Math","Female",1232,"39.3%","61.8%"
"=""1330011""","Sprague School District","ELA","Male",89,"39.3%","59.7%"
"=""1330011""","Sprague School District","ELA","Female",75,"46.7%","64.4%"
"=""1330011""","Sprague School District","Math","Male",89,"36.0%","59.9%"
"=""1330011""","Sprague School District","Math","Female",76,"35.5%","59.5%"
"=""1340011""","Stafford School District","ELA","Male",297,"47.5%","68.5%"
"=""1340011""","Stafford School District","ELA","Female",238,"41.6%","63.4%"
"=""1340011""","Stafford School District","Math","Male",298,"35.6%","60.0%"
"=""1340011""","Stafford School District","Math","Female",238,"43.7%","70.8%"
"=""1350011""","Stamford School District","ELA","Male",2626,"39.6%","61.6%"
"=""1350011""","Stamford School District","ELA","Female",2612,"43.7%","64.5%"
"=""1350011""","Stamford School District","Math","Male",2669,"40.4%","61.9%"
"=""1350011""","Stamford School District","Math","Female",2642,"39.1%","61.3%"
"=""0000000""","State of Connecticut","ELA","Male",94764,"41.0%","61.9%"
"=""0000000""","State of Connecticut","ELA","Female",90581,"45.4%","65.7%"
"=""0000000""","State of Connecticut","Math","Male",95051,"43.8%","64.3%"
"=""0000000""","State of Connecticut","Math","Female",90813,"43.9%","65.7%"
"=""1360011""","Sterling School District","ELA","Male",114,"38.6%","60.9%"
"=""1360011""","Sterling School District","ELA","Female",113,"44.2%","68.0%"
"=""1360011""","Sterling School District","Math","Male",113,"47.8%","66.7%"
"=""1360011""","Sterling School District","Math","Female",113,"43.4%","66.3%"
"=""1370011""","Stonington School District","ELA","Male",411,"42.8%","60.6%"
"=""1370011""","Stonington School District","ELA","Female",345,"48.1%","62.4%"
"=""1370011""","Stonington School District","Math","Male",410,"47.3%","67.7%"
"=""1370011""","Stonington School District","Math","Female",346,"48.3%","71.0%"
"=""1380011""","Stratford School District","ELA","Male",1283,"37.4%","57.8%"
"=""1380011""","Stratford School District","ELA","Female",1259,"41.2%","63.3%"
"=""1380011""","Stratford School District","Math","Male",1284,"45.7%","65.6%"
"=""1380011""","Stratford School District","Math","Female",1256,"44.0%","65.1%"
"=""1390011""","Suffield School District","ELA","Male",396,"42.4%","60.6%"
"=""1390011""","Suffield School District","ELA","Female",418,"44.5%","62.0%"
"=""1390011""","Suffield School District","Math","Male",396,"44.2%","64.1%"
"=""1390011""","Suffield School District","Math","Female",417,"40.8%","63.7%"
"=""2690013""","The Bridge Academy District","ELA","Male",49,"22.4%","45.5%"
"=""2690013""","The Bridge Academy District","ELA","Female",48,"29.2%","44.4%"
"=""2690013""","The Bridge Academy District","Math","Male",49,"42.9%","62.3%"
"=""2690013""","The Bridge Academy District","Math","Female",48,"56.3%","78.6%"
"=""9020022""","The Gilbert School District","ELA","Male",81,"28.4%","44.1%"
"=""9020022""","The Gilbert School District","ELA","Female",76,"26.3%","43.3%"
"=""9020022""","The Gilbert School District","Math","Male",80,"40.0%","58.4%"
"=""9020022""","The Gilbert School District","Math","Female",76,"35.5%","50.5%"
"=""1400011""","Thomaston School District","ELA","Male",175,"33.7%","60.3%"
"=""1400011""","Thomaston School District","ELA","Female",197,"45.2%","68.1%"
"=""1400011""","Thomaston School District","Math","Male",176,"36.4%","58.3%"
"=""1400011""","Thomaston School District","Math","Female",198,"38.9%","61.5%"
"=""1410011""","Thompson School District","ELA","Male",203,"24.6%","46.0%"
"=""1410011""","Thompson School District","ELA","Female",168,"25.6%","42.7%"
"=""1410011""","Thompson School District","Math","Male",202,"25.7%","47.4%"
"=""1410011""","Thompson School District","Math","Female",167,"29.3%","50.8%"
"=""1420011""","Tolland School District","ELA","Male",506,"45.7%","65.2%"
"=""1420011""","Tolland School District","ELA","Female",501,"45.9%","63.9%"
"=""1420011""","Tolland School District","Math","Male",508,"49.4%","70.5%"
"=""1420011""","Tolland School District","Math","Female",499,"47.9%","69.6%"
"=""1430011""","Torrington School District","ELA","Male",792,"29.3%","51.1%"
"=""1430011""","Torrington School District","ELA","Female",709,"32.7%","52.0%"
"=""1430011""","Torrington School District","Math","Male",791,"31.1%","52.3%"
"=""1430011""","Torrington School District","Math","Female",708,"32.2%","54.4%"
"=""2780013""","Trailblazers Academy District","ELA","Male",58,"24.1%","44.3%"
"=""2780013""","Trailblazers Academy District","ELA","Female",47,"19.1%","39.0%"
"=""2780013""","Trailblazers Academy District","Math","Male",58,"20.7%","31.3%"
"=""2780013""","Trailblazers Academy District","Math","Female",46,"21.7%","40.9%"
"=""1440011""","Trumbull School District","ELA","Male",1205,"66.0%","84.2%"
"=""1440011""","Trumbull School District","ELA","Female",1136,"71.6%","89.0%"
"=""1440011""","Trumbull School District","Math","Male",1209,"68.7%","87.8%"
"=""1440011""","Trumbull School District","Math","Female",1137,"70.5%","90.1%"
"=""3470015""","Unified School District #2","ELA","Male","*","*","*"
"=""3470015""","Unified School District #2","ELA","Female","*","*","*"
"=""3470015""","Unified School District #2","Math","Male","*","*","*"
"=""3470015""","Unified School District #2","Math","Female","*","*","*"
"=""1450011""","Union School District","ELA","Male",16,"*","*"
"=""1450011""","Union School District","ELA","Female",23,"47.8%","71.3%"
"=""1450011""","Union School District","Math","Male",16,"*","*"
"=""1450011""","Union School District","Math","Female",23,"65.2%","78.9%"
"=""1460011""","Vernon School District","ELA","Male",558,"40.0%","60.7%"
"=""1460011""","Vernon School District","ELA","Female",517,"40.6%","60.6%"
"=""1460011""","Vernon School District","Math","Male",556,"42.8%","65.9%"
"=""1460011""","Vernon School District","Math","Female",516,"42.8%","66.3%"
"=""1470011""","Voluntown School District","ELA","Male",76,"32.9%","51.3%"
"=""1470011""","Voluntown School District","ELA","Female",68,"41.2%","66.4%"
"=""1470011""","Voluntown School District","Math","Male",76,"51.3%","72.4%"
"=""1470011""","Voluntown School District","Math","Female",68,"48.5%","78.4%"
"=""1480011""","Wallingford School District","ELA","Male",1105,"43.0%","65.2%"
"=""1480011""","Wallingford School District","ELA","Female",1060,"45.8%","66.4%"
"=""1480011""","Wallingford School District","Math","Male",1105,"37.9%","59.6%"
"=""1480011""","Wallingford School District","Math","Female",1065,"38.0%","61.3%"
"=""1510011""","Waterbury School District","ELA","Male",3168,"32.7%","56.4%"
"=""1510011""","Waterbury School District","ELA","Female",3129,"33.8%","57.7%"
"=""1510011""","Waterbury School District","Math","Male",3206,"30.7%","51.8%"
"=""1510011""","Waterbury School District","Math","Female",3148,"30.4%","51.3%"
"=""1520011""","Waterford School District","ELA","Male",485,"42.5%","61.2%"
"=""1520011""","Waterford School District","ELA","Female",483,"45.8%","66.4%"
"=""1520011""","Waterford School District","Math","Male",485,"48.2%","66.4%"
"=""1520011""","Waterford School District","Math","Female",484,"44.2%","66.3%"
"=""1530011""","Watertown School District","ELA","Male",557,"44.2%","67.2%"
"=""1530011""","Watertown School District","ELA","Female",488,"47.3%","68.2%"
"=""1530011""","Watertown School District","Math","Male",557,"34.8%","57.8%"
"=""1530011""","Watertown School District","Math","Female",488,"38.9%","61.2%"
"=""1550011""","West Hartford School District","ELA","Male",1780,"41.5%","59.5%"
"=""1550011""","West Hartford School District","ELA","Female",1718,"47.4%","65.6%"
"=""1550011""","West Hartford School District","Math","Male",1780,"46.8%","65.9%"
"=""1550011""","West Hartford School District","Math","Female",1714,"45.0%","65.6%"
"=""1560011""","West Haven School District","ELA","Male",998,"36.7%","59.1%"
"=""1560011""","West Haven School District","ELA","Female",1005,"40.1%","63.2%"
"=""1560011""","West Haven School District","Math","Male",1003,"45.7%","67.2%"
"=""1560011""","West Haven School District","Math","Female",1011,"48.4%","71.7%"
"=""1540011""","Westbrook School District","ELA","Male",141,"48.9%","69.0%"
"=""1540011""","Westbrook School District","ELA","Female",117,"52.1%","73.8%"
"=""1540011""","Westbrook School District","Math","Male",142,"57.7%","78.4%"
"=""1540011""","Westbrook School District","Math","Female",118,"64.4%","87.1%"
"=""1570011""","Weston School District","ELA","Male",457,"46.6%","65.5%"
"=""1570011""","Weston School District","ELA","Female",428,"52.1%","72.7%"
"=""1570011""","Weston School District","Math","Male",456,"47.8%","66.1%"
"=""1570011""","Weston School District","Math","Female",427,"44.7%","66.0%"
"=""1580011""","Westport School District","ELA","Male",1067,"44.6%","62.3%"
"=""1580011""","Westport School District","ELA","Female",996,"49.2%","65.5%"
"=""1580011""","Westport School District","Math","Male",1067,"52.2%","70.1%"
"=""1580011""","Westport School District","Math","Female",996,"48.8%","68.6%"
"=""1590011""","Wethersfield School District","ELA","Male",633,"50.9%","70.3%"
"=""1590011""","Wethersfield School District","ELA","Female",650,"59.1%","77.6%"
"=""1590011""","Wethersfield School District","Math","Male",633,"58.5%","78.3%"
"=""1590011""","Wethersfield School District","Math","Female",650,"61.1%","81.5%"
"=""1600011""","Willington School District","ELA","Male",110,"46.4%","66.5%"
"=""1600011""","Willington School District","ELA","Female",108,"49.1%","71.8%"
"=""1600011""","Willington School District","Math","Male",110,"48.2%","69.8%"
"=""1600011""","Willington School District","Math","Female",108,"43.5%","71.3%"
"=""1610011""","Wilton School District","ELA","Male",817,"54.7%","73.7%"
"=""1610011""","Wilton School District","ELA","Female",774,"57.9%","75.7%"
"=""1610011""","Wilton School District","Math","Male",817,"60.6%","79.6%"
"=""1610011""","Wilton School District","Math","Female",773,"59.2%","81.4%"
"=""1620011""","Winchester School District","ELA","Male",112,"31.3%","55.6%"
"=""1620011""","Winchester School District","ELA","Female",105,"49.5%","70.5%"
"=""1620011""","Winchester School District","Math","Male",110,"37.3%","57.8%"
"=""1620011""","Winchester School District","Math","Female",108,"34.3%","57.9%"
"=""1630011""","Windham School District","ELA","Male",582,"42.4%","65.2%"
"=""1630011""","Windham School District","ELA","Female",547,"45.3%","68.8%"
"=""1630011""","Windham School District","Math","Male",584,"42.3%","63.5%"
"=""1630011""","Windham School District","Math","Female",546,"42.9%","66.1%"
"=""1650011""","Windsor Locks School District","ELA","Male",297,"41.8%","66.6%"
"=""1650011""","Windsor Locks School District","ELA","Female",285,"44.9%","66.8%"
"=""1650011""","Windsor Locks School District","Math","Male",289,"45.3%","64.7%"
"=""1650011""","Windsor Locks School District","Math","Female",279,"46.6%","68.4%"
"=""1640011""","Windsor School District","ELA","Male",548,"32.8%","54.3%"
"=""1640011""","Windsor School District","ELA","Female",476,"38.2%","57.7%"
"=""1640011""","Windsor School District","Math","Male",547,"39.1%","62.9%"
"=""1640011""","Windsor School District","Math","Female",478,"40.4%","65.1%"
"=""1660011""","Wolcott School District","ELA","Male",461,"37.3%","58.3%"
"=""1660011""","Wolcott School District","ELA","Female",438,"52.1%","70.4%"
"=""1660011""","Wolcott School District","Math","Male",461,"48.2%","68.6%"
"=""1660011""","Wolcott School District","Math","Female",438,"52.1%","76.1%"
"=""1670011""","Woodbridge School District","ELA","Male",133,"57.9%","77.3%"
"=""1670011""","Woodbridge School District","ELA","Female",153,"69.9%","86.6%"
"=""1670011""","Woodbridge School District","Math","Male",132,"60.6%","84.5%"
"=""1670011""","Woodbridge School District","Math","Female",154,"70.1%","89.6%"
"=""1690011""","Woodstock School District","ELA","Male",233,"34.8%","53.3%"
"=""1690011""","Woodstock School District","ELA","Female",224,"50.0%","68.3%"
"=""1690011""","Woodstock School District","Math","Male",233,"38.2%","59.0%"
"=""1690011""","Woodstock School District","Math","Female",224,"36.2%","58.3%"

