"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2630013""","Odyssey Community School District","Eligible for Reduced Lunch",10,"*","*"
"=""1060011""","Old Saybrook School District","Eligible for Free Lunch",79,"40.5%","61.9%"
"=""1060011""","Old Saybrook School District","Not Eligible for Free/Reduced Lunch",406,"50.5%","71.8%"
"=""1060011""","Old Saybrook School District","Eligible for Reduced Lunch",18,"*","*"
"=""1070011""","Orange School District","Eligible for Free Lunch",19,"*","*"
"=""1070011""","Orange School District","Not Eligible for Free/Reduced Lunch",489,"50.5%","74.3%"
"=""1070011""","Orange School District","Eligible for Reduced Lunch",6,"*","*"
"=""1080011""","Oxford School District","Eligible for Free Lunch",42,"38.1%","58.0%"
"=""1080011""","Oxford School District","Not Eligible for Free/Reduced Lunch",710,"48.9%","71.4%"
"=""1080011""","Oxford School District","Eligible for Reduced Lunch",23,"43.5%","71.8%"
"=""2830013""","Park City Prep Charter School District","Eligible for Free Lunch",228,"53.1%","73.3%"
"=""2830013""","Park City Prep Charter School District","Not Eligible for Free/Reduced Lunch",76,"65.8%","83.9%"
"=""2830013""","Park City Prep Charter School District","Eligible for Reduced Lunch",32,"68.8%","87.6%"
"=""1090011""","Plainfield School District","Eligible for Free Lunch",334,"53.6%","76.5%"
"=""1090011""","Plainfield School District","Not Eligible for Free/Reduced Lunch",381,"56.7%","80.6%"
"=""1090011""","Plainfield School District","Eligible for Reduced Lunch",84,"65.5%","87.4%"
"=""1100011""","Plainville School District","Eligible for Free Lunch",222,"30.2%","58.9%"
"=""1100011""","Plainville School District","Not Eligible for Free/Reduced Lunch",580,"43.8%","65.8%"
"=""1100011""","Plainville School District","Eligible for Reduced Lunch",54,"35.2%","60.9%"
"=""1110011""","Plymouth School District","Eligible for Free Lunch",139,"42.4%","68.2%"
"=""1110011""","Plymouth School District","Not Eligible for Free/Reduced Lunch",367,"53.1%","76.4%"
"=""1110011""","Plymouth School District","Eligible for Reduced Lunch",33,"42.4%","66.2%"
"=""1120011""","Pomfret School District","Eligible for Free Lunch",28,"42.9%","63.1%"
"=""1120011""","Pomfret School District","Not Eligible for Free/Reduced Lunch",182,"51.1%","69.0%"
"=""1120011""","Pomfret School District","Eligible for Reduced Lunch",11,"*","*"
"=""1130011""","Portland School District","Eligible for Free Lunch",81,"35.8%","64.6%"
"=""1130011""","Portland School District","Not Eligible for Free/Reduced Lunch",406,"49.8%","71.4%"
"=""1130011""","Portland School District","Eligible for Reduced Lunch",21,"47.6%","75.5%"
"=""1140011""","Preston School District","Eligible for Free Lunch",33,"48.5%","64.5%"
"=""1140011""","Preston School District","Not Eligible for Free/Reduced Lunch",164,"41.5%","61.9%"
"=""1140011""","Preston School District","Eligible for Reduced Lunch",17,"*","*"
"=""1160011""","Putnam School District","Eligible for Free Lunch",180,"47.2%","69.8%"
"=""1160011""","Putnam School District","Not Eligible for Free/Reduced Lunch",176,"52.8%","72.4%"
"=""1160011""","Putnam School District","Eligible for Reduced Lunch",39,"33.3%","57.6%"
"=""1170011""","Redding School District","Eligible for Free Lunch","*","*","*"
"=""1170011""","Redding School District","Not Eligible for Free/Reduced Lunch",485,"55.1%","74.7%"
"=""1170011""","Redding School District","Eligible for Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Eligible for Reduced Lunch","*","*","*"
"=""2040012""","Regional School District 04","Eligible for Free Lunch",36,"36.1%","54.8%"
"=""2040012""","Regional School District 04","Not Eligible for Free/Reduced Lunch",258,"41.9%","59.4%"
"=""2040012""","Regional School District 04","Eligible for Reduced Lunch",6,"*","*"
"=""2050012""","Regional School District 05","Eligible for Free Lunch",22,"45.5%","65.6%"
"=""2050012""","Regional School District 05","Not Eligible for Free/Reduced Lunch",682,"58.8%","74.3%"
"=""2050012""","Regional School District 05","Eligible for Reduced Lunch",10,"*","*"
"=""2060012""","Regional School District 06","Eligible for Free Lunch",27,"37.0%","58.5%"
"=""2060012""","Regional School District 06","Not Eligible for Free/Reduced Lunch",206,"41.3%","60.6%"
"=""2060012""","Regional School District 06","Eligible for Reduced Lunch",9,"*","*"
"=""2070012""","Regional School District 07","Eligible for Free Lunch","*","*","*"
"=""2070012""","Regional School District 07","Not Eligible for Free/Reduced Lunch",264,"59.8%","77.0%"
"=""2070012""","Regional School District 07","Eligible for Reduced Lunch","*","*","*"
"=""2080012""","Regional School District 08","Eligible for Free Lunch",29,"37.9%","58.4%"
"=""2080012""","Regional School District 08","Not Eligible for Free/Reduced Lunch",505,"43.0%","59.5%"
"=""2080012""","Regional School District 08","Eligible for Reduced Lunch",15,"*","*"
"=""2100012""","Regional School District 10","Eligible for Free Lunch",53,"34.0%","52.7%"
"=""2100012""","Regional School District 10","Not Eligible for Free/Reduced Lunch",847,"41.0%","60.8%"
"=""2100012""","Regional School District 10","Eligible for Reduced Lunch",11,"*","*"
"=""2110012""","Regional School District 11","Eligible for Free Lunch","*","42.9%","71.6%"
"=""2110012""","Regional School District 11","Not Eligible for Free/Reduced Lunch",55,"50.9%","67.1%"
"=""2110012""","Regional School District 11","Eligible for Reduced Lunch","*","*","*"
"=""2120012""","Regional School District 12","Eligible for Free Lunch","*","75.0%","89.8%"
"=""2120012""","Regional School District 12","Not Eligible for Free/Reduced Lunch",232,"62.1%","83.4%"
"=""2120012""","Regional School District 12","Eligible for Reduced Lunch","*","*","*"
"=""2130012""","Regional School District 13","Eligible for Free Lunch",39,"25.6%","49.7%"
"=""2130012""","Regional School District 13","Not Eligible for Free/Reduced Lunch",618,"48.5%","70.8%"
"=""2130012""","Regional School District 13","Eligible for Reduced Lunch",12,"*","*"
"=""2140012""","Regional School District 14","Eligible for Free Lunch",52,"25.0%","48.5%"
"=""2140012""","Regional School District 14","Not Eligible for Free/Reduced Lunch",474,"34.2%","55.4%"
"=""2140012""","Regional School District 14","Eligible for Reduced Lunch",16,"*","*"
"=""2150012""","Regional School District 15","Eligible for Free Lunch",79,"36.7%","59.5%"
"=""2150012""","Regional School District 15","Not Eligible for Free/Reduced Lunch",1361,"52.8%","73.5%"
"=""2150012""","Regional School District 15","Eligible for Reduced Lunch",30,"36.7%","56.7%"
"=""2160012""","Regional School District 16","Eligible for Free Lunch",84,"35.7%","54.5%"
"=""2160012""","Regional School District 16","Not Eligible for Free/Reduced Lunch",660,"41.5%","64.2%"
"=""2160012""","Regional School District 16","Eligible for Reduced Lunch",34,"47.1%","64.0%"
"=""2170012""","Regional School District 17","Eligible for Free Lunch",45,"44.4%","67.4%"
"=""2170012""","Regional School District 17","Not Eligible for Free/Reduced Lunch",806,"54.7%","75.1%"
"=""2170012""","Regional School District 17","Eligible for Reduced Lunch",32,"50.0%","76.9%"
"=""2180012""","Regional School District 18","Eligible for Free Lunch","*","*","*"
"=""2180012""","Regional School District 18","Not Eligible for Free/Reduced Lunch",480,"59.0%","76.2%"
"=""2180012""","Regional School District 18","Eligible for Reduced Lunch","*","*","*"
"=""1180011""","Ridgefield School District","Eligible for Free Lunch",41,"48.8%","73.6%"
"=""1180011""","Ridgefield School District","Not Eligible for Free/Reduced Lunch",1801,"54.5%","74.2%"
"=""1180011""","Ridgefield School District","Eligible for Reduced Lunch",10,"*","*"
"=""1190011""","Rocky Hill School District","Eligible for Free Lunch",110,"39.1%","60.1%"
"=""1190011""","Rocky Hill School District","Not Eligible for Free/Reduced Lunch",754,"50.7%","70.8%"
"=""1190011""","Rocky Hill School District","Eligible for Reduced Lunch",26,"46.2%","60.4%"
"=""1210011""","Salem School District","Eligible for Free Lunch","*","*","*"
"=""1210011""","Salem School District","Not Eligible for Free/Reduced Lunch",176,"52.3%","69.9%"
"=""1210011""","Salem School District","Eligible for Reduced Lunch","*","*","*"
"=""1220011""","Salisbury School District","Eligible for Free Lunch",10,"*","*"
"=""1220011""","Salisbury School District","Not Eligible for Free/Reduced Lunch",109,"58.7%","76.7%"
"=""1220011""","Salisbury School District","Eligible for Reduced Lunch",6,"*","*"
"=""1230011""","Scotland School District","Eligible for Free Lunch","*","*","*"
"=""1230011""","Scotland School District","Not Eligible for Free/Reduced Lunch",32,"37.5%","65.5%"
"=""1230011""","Scotland School District","Eligible for Reduced Lunch","*","*","*"
"=""1240011""","Seymour School District","Eligible for Free Lunch",182,"39.6%","63.9%"
"=""1240011""","Seymour School District","Not Eligible for Free/Reduced Lunch",607,"52.2%","72.7%"
"=""1240011""","Seymour School District","Eligible for Reduced Lunch",66,"40.9%","65.2%"
"=""1250011""","Sharon School District","Eligible for Free Lunch",9,"*","*"
"=""1250011""","Sharon School District","Not Eligible for Free/Reduced Lunch",52,"51.9%","65.1%"
"=""1250011""","Sharon School District","Eligible for Reduced Lunch",7,"*","*"
"=""1260011""","Shelton School District","Eligible for Free Lunch",313,"44.7%","67.4%"
"=""1260011""","Shelton School District","Not Eligible for Free/Reduced Lunch",1427,"50.7%","71.4%"
"=""1260011""","Shelton School District","Eligible for Reduced Lunch",100,"45.0%","67.0%"
"=""1270011""","Sherman School District","Eligible for Free Lunch","*","*","*"
"=""1270011""","Sherman School District","Not Eligible for Free/Reduced Lunch",94,"55.3%","80.2%"
"=""1270011""","Sherman School District","Eligible for Reduced Lunch","*","*","*"
"=""2700013""","Side By Side Charter School District","Eligible for Free Lunch",51,"49.0%","70.0%"
"=""2700013""","Side By Side Charter School District","Not Eligible for Free/Reduced Lunch",48,"58.3%","79.2%"
"=""2700013""","Side By Side Charter School District","Eligible for Reduced Lunch",8,"*","*"
"=""1280011""","Simsbury School District","Eligible for Free Lunch",125,"40.0%","60.1%"
"=""1280011""","Simsbury School District","Not Eligible for Free/Reduced Lunch",1392,"55.2%","75.2%"
"=""1280011""","Simsbury School District","Eligible for Reduced Lunch",27,"37.0%","64.9%"
"=""1290011""","Somers School District","Eligible for Free Lunch","*","40.0%","55.7%"
"=""1290011""","Somers School District","Not Eligible for Free/Reduced Lunch",485,"49.3%","73.7%"
"=""1290011""","Somers School District","Eligible for Reduced Lunch","*","*","*"
"=""1320011""","South Windsor School District","Eligible for Free Lunch",145,"35.2%","57.6%"
"=""1320011""","South Windsor School District","Not Eligible for Free/Reduced Lunch",1304,"57.2%","77.4%"
"=""1320011""","South Windsor School District","Eligible for Reduced Lunch",58,"53.4%","75.7%"
"=""1310011""","Southington School District","Eligible for Free Lunch",317,"34.7%","58.3%"
"=""1310011""","Southington School District","Not Eligible for Free/Reduced Lunch",2103,"40.3%","61.7%"
"=""1310011""","Southington School District","Eligible for Reduced Lunch",81,"29.6%","48.5%"
"=""1330011""","Sprague School District","Eligible for Free Lunch",73,"28.8%","58.8%"
"=""1330011""","Sprague School District","Not Eligible for Free/Reduced Lunch",82,"40.2%","60.1%"
"=""1330011""","Sprague School District","Eligible for Reduced Lunch",10,"*","*"
"=""1340011""","Stafford School District","Eligible for Free Lunch",134,"29.1%","59.0%"
"=""1340011""","Stafford School District","Not Eligible for Free/Reduced Lunch",340,"46.2%","69.3%"
"=""1340011""","Stafford School District","Eligible for Reduced Lunch",62,"22.6%","52.3%"
"=""1350011""","Stamford School District","Eligible for Free Lunch",2510,"33.3%","56.0%"
"=""1350011""","Stamford School District","Not Eligible for Free/Reduced Lunch",2359,"47.8%","68.2%"
"=""1350011""","Stamford School District","Eligible for Reduced Lunch",442,"33.5%","57.9%"
"=""0000000""","State of Connecticut","Eligible for Free Lunch",62813,"34.7%","56.5%"
"=""0000000""","State of Connecticut","Not Eligible for Free/Reduced Lunch",113957,"49.2%","69.9%"
"=""0000000""","State of Connecticut","Eligible for Reduced Lunch",9094,"39.6%","61.5%"
"=""1360011""","Sterling School District","Eligible for Free Lunch",53,"47.2%","69.0%"
"=""1360011""","Sterling School District","Not Eligible for Free/Reduced Lunch",154,"47.4%","66.8%"
"=""1360011""","Sterling School District","Eligible for Reduced Lunch",19,"*","*"
"=""1370011""","Stonington School District","Eligible for Free Lunch",129,"38.8%","63.2%"
"=""1370011""","Stonington School District","Not Eligible for Free/Reduced Lunch",606,"49.7%","70.5%"
"=""1370011""","Stonington School District","Eligible for Reduced Lunch",21,"47.6%","69.7%"
"=""1380011""","Stratford School District","Eligible for Free Lunch",881,"37.8%","58.7%"
"=""1380011""","Stratford School District","Not Eligible for Free/Reduced Lunch",1362,"48.8%","69.1%"
"=""1380011""","Stratford School District","Eligible for Reduced Lunch",297,"47.8%","68.1%"
"=""1390011""","Suffield School District","Eligible for Free Lunch",80,"42.5%","65.4%"
"=""1390011""","Suffield School District","Not Eligible for Free/Reduced Lunch",725,"42.6%","63.8%"
"=""1390011""","Suffield School District","Eligible for Reduced Lunch",8,"*","*"
"=""2690013""","The Bridge Academy District","Eligible for Free Lunch",74,"51.4%","70.3%"
"=""2690013""","The Bridge Academy District","Not Eligible for Free/Reduced Lunch",8,"*","*"
"=""2690013""","The Bridge Academy District","Eligible for Reduced Lunch",15,"*","*"
"=""9020022""","The Gilbert School District","Eligible for Free Lunch",60,"30.0%","48.4%"
"=""9020022""","The Gilbert School District","Not Eligible for Free/Reduced Lunch",84,"41.7%","57.8%"
"=""9020022""","The Gilbert School District","Eligible for Reduced Lunch",12,"*","*"
"=""1400011""","Thomaston School District","Eligible for Free Lunch",63,"38.1%","60.1%"
"=""1400011""","Thomaston School District","Not Eligible for Free/Reduced Lunch",285,"38.2%","60.9%"
"=""1400011""","Thomaston School District","Eligible for Reduced Lunch",26,"30.8%","50.6%"
"=""1410011""","Thompson School District","Eligible for Free Lunch",118,"28.0%","48.8%"
"=""1410011""","Thompson School District","Not Eligible for Free/Reduced Lunch",226,"27.9%","50.0%"
"=""1410011""","Thompson School District","Eligible for Reduced Lunch",25,"20.0%","39.9%"
"=""1420011""","Tolland School District","Eligible for Free Lunch",61,"44.3%","68.9%"
"=""1420011""","Tolland School District","Not Eligible for Free/Reduced Lunch",923,"49.4%","70.7%"
"=""1420011""","Tolland School District","Eligible for Reduced Lunch",23,"30.4%","44.6%"
"=""1430011""","Torrington School District","Eligible for Free Lunch",650,"28.8%","50.0%"
"=""1430011""","Torrington School District","Not Eligible for Free/Reduced Lunch",719,"33.0%","55.5%"
"=""1430011""","Torrington School District","Eligible for Reduced Lunch",130,"38.5%","57.9%"
"=""2780013""","Trailblazers Academy District","Eligible for Free Lunch",99,"20.2%","35.2%"
"=""2780013""","Trailblazers Academy District","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2780013""","Trailblazers Academy District","Eligible for Reduced Lunch","*","*","*"
"=""1440011""","Trumbull School District","Eligible for Free Lunch",151,"55.6%","80.6%"
"=""1440011""","Trumbull School District","Not Eligible for Free/Reduced Lunch",2128,"71.0%","89.8%"
"=""1440011""","Trumbull School District","Eligible for Reduced Lunch",67,"56.7%","80.8%"
"=""3470015""","Unified School District #2","Eligible for Free Lunch","*","*","*"
"=""1450011""","Union School District","Not Eligible for Free/Reduced Lunch",39,"56.4%","73.9%"
"=""1460011""","Vernon School District","Eligible for Free Lunch",442,"39.1%","61.1%"
"=""1460011""","Vernon School District","Not Eligible for Free/Reduced Lunch",563,"46.9%","70.9%"
"=""1460011""","Vernon School District","Eligible for Reduced Lunch",67,"32.8%","58.7%"
"=""1470011""","Voluntown School District","Eligible for Free Lunch","*","40.7%","71.5%"
"=""1470011""","Voluntown School District","Not Eligible for Free/Reduced Lunch",112,"52.7%","76.2%"
"=""1470011""","Voluntown School District","Eligible for Reduced Lunch","*","*","*"
"=""1480011""","Wallingford School District","Eligible for Free Lunch",354,"36.4%","58.1%"
"=""1480011""","Wallingford School District","Not Eligible for Free/Reduced Lunch",1741,"38.2%","60.9%"
"=""1480011""","Wallingford School District","Eligible for Reduced Lunch",75,"40.0%","61.4%"
"=""1510011""","Waterbury School District","Eligible for Free Lunch",4816,"29.3%","50.4%"
"=""1510011""","Waterbury School District","Not Eligible for Free/Reduced Lunch",1057,"35.6%","56.3%"
"=""1510011""","Waterbury School District","Eligible for Reduced Lunch",481,"31.6%","53.3%"
"=""1520011""","Waterford School District","Eligible for Free Lunch",169,"30.2%","52.4%"
"=""1520011""","Waterford School District","Not Eligible for Free/Reduced Lunch",761,"49.5%","69.5%"
"=""1520011""","Waterford School District","Eligible for Reduced Lunch",39,"51.3%","66.0%"
"=""1530011""","Watertown School District","Eligible for Free Lunch",224,"34.8%","56.9%"
"=""1530011""","Watertown School District","Not Eligible for Free/Reduced Lunch",749,"38.2%","61.1%"
"=""1530011""","Watertown School District","Eligible for Reduced Lunch",72,"27.8%","48.4%"
"=""1550011""","West Hartford School District","Eligible for Free Lunch",570,"33.2%","55.1%"
"=""1550011""","West Hartford School District","Not Eligible for Free/Reduced Lunch",2801,"48.8%","68.1%"
"=""1550011""","West Hartford School District","Eligible for Reduced Lunch",123,"39.8%","62.6%"
"=""1560011""","West Haven School District","Eligible for Free Lunch",1122,"45.5%","67.4%"
"=""1560011""","West Haven School District","Not Eligible for Free/Reduced Lunch",722,"48.6%","71.7%"
"=""1560011""","West Haven School District","Eligible for Reduced Lunch",170,"50.0%","73.3%"
"=""1540011""","Westbrook School District","Eligible for Free Lunch",28,"78.6%","92.5%"
"=""1540011""","Westbrook School District","Not Eligible for Free/Reduced Lunch",224,"58.9%","81.2%"
"=""1540011""","Westbrook School District","Eligible for Reduced Lunch",8,"*","*"
"=""1570011""","Weston School District","Eligible for Free Lunch","*","*","*"
"=""1570011""","Weston School District","Not Eligible for Free/Reduced Lunch",861,"46.8%","66.5%"
"=""1570011""","Weston School District","Eligible for Reduced Lunch","*","*","*"
"=""1580011""","Westport School District","Eligible for Free Lunch",72,"31.9%","53.3%"
"=""1580011""","Westport School District","Not Eligible for Free/Reduced Lunch",1976,"51.3%","70.1%"
"=""1580011""","Westport School District","Eligible for Reduced Lunch",15,"*","*"
"=""1590011""","Wethersfield School District","Eligible for Free Lunch",189,"44.4%","67.6%"
"=""1590011""","Wethersfield School District","Not Eligible for Free/Reduced Lunch",1044,"62.7%","82.1%"
"=""1590011""","Wethersfield School District","Eligible for Reduced Lunch",50,"56.0%","80.8%"
"=""1600011""","Willington School District","Eligible for Free Lunch",33,"39.4%","65.9%"
"=""1600011""","Willington School District","Not Eligible for Free/Reduced Lunch",171,"45.6%","70.0%"
"=""1600011""","Willington School District","Eligible for Reduced Lunch",14,"*","*"
"=""1610011""","Wilton School District","Eligible for Free Lunch",24,"45.8%","71.2%"
"=""1610011""","Wilton School District","Not Eligible for Free/Reduced Lunch",1566,"60.2%","80.6%"
"=""1620011""","Winchester School District","Eligible for Free Lunch",102,"38.2%","60.1%"
"=""1620011""","Winchester School District","Not Eligible for Free/Reduced Lunch",95,"33.7%","55.8%"
"=""1620011""","Winchester School District","Eligible for Reduced Lunch",21,"33.3%","56.1%"
"=""1630011""","Windham School District","Eligible for Free Lunch",854,"39.7%","62.2%"
"=""1630011""","Windham School District","Not Eligible for Free/Reduced Lunch",227,"52.9%","74.3%"
"=""1630011""","Windham School District","Eligible for Reduced Lunch",49,"44.9%","65.7%"
"=""1650011""","Windsor Locks School District","Eligible for Free Lunch",195,"39.0%","57.7%"
"=""1650011""","Windsor Locks School District","Not Eligible for Free/Reduced Lunch",342,"50.3%","71.4%"
"=""1650011""","Windsor Locks School District","Eligible for Reduced Lunch",31,"41.9%","68.2%"
"=""1640011""","Windsor School District","Eligible for Free Lunch",311,"34.4%","61.2%"
"=""1640011""","Windsor School District","Not Eligible for Free/Reduced Lunch",642,"43.0%","66.3%"
"=""1640011""","Windsor School District","Eligible for Reduced Lunch",72,"33.3%","55.2%"
"=""1660011""","Wolcott School District","Eligible for Free Lunch",131,"47.3%","69.2%"
"=""1660011""","Wolcott School District","Not Eligible for Free/Reduced Lunch",723,"50.6%","72.6%"
"=""1660011""","Wolcott School District","Eligible for Reduced Lunch",45,"48.9%","75.3%"
"=""1670011""","Woodbridge School District","Eligible for Free Lunch",16,"*","*"
"=""1670011""","Woodbridge School District","Not Eligible for Free/Reduced Lunch",258,"65.9%","87.3%"
"=""1670011""","Woodbridge School District","Eligible for Reduced Lunch",12,"*","*"
"=""1690011""","Woodstock School District","Eligible for Free Lunch",48,"37.5%","62.0%"
"=""1690011""","Woodstock School District","Not Eligible for Free/Reduced Lunch",393,"37.9%","58.7%"
"=""1690011""","Woodstock School District","Eligible for Reduced Lunch",16,"*","*"

