"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1520011""","Waterford School District","Not Eligible For Lunch",761,"49.5%","69.5%"
"=""1530011""","Watertown School District","Eligible For Lunch",296,"33.1%","54.9%"
"=""1530011""","Watertown School District","Not Eligible For Lunch",749,"38.2%","61.1%"
"=""1550011""","West Hartford School District","Eligible For Lunch",693,"34.3%","56.4%"
"=""1550011""","West Hartford School District","Not Eligible For Lunch",2801,"48.8%","68.1%"
"=""1560011""","West Haven School District","Eligible For Lunch",1292,"46.1%","68.2%"
"=""1560011""","West Haven School District","Not Eligible For Lunch",722,"48.6%","71.7%"
"=""1540011""","Westbrook School District","Eligible For Lunch",36,"72.2%","89.5%"
"=""1540011""","Westbrook School District","Not Eligible For Lunch",224,"58.9%","81.2%"
"=""1570011""","Weston School District","Eligible For Lunch",22,"27.3%","47.8%"
"=""1570011""","Weston School District","Not Eligible For Lunch",861,"46.8%","66.5%"
"=""1580011""","Westport School District","Eligible For Lunch",87,"34.5%","53.9%"
"=""1580011""","Westport School District","Not Eligible For Lunch",1976,"51.3%","70.1%"
"=""1590011""","Wethersfield School District","Eligible For Lunch",239,"46.9%","70.3%"
"=""1590011""","Wethersfield School District","Not Eligible For Lunch",1044,"62.7%","82.1%"
"=""1600011""","Willington School District","Eligible For Lunch",47,"46.8%","72.5%"
"=""1600011""","Willington School District","Not Eligible For Lunch",171,"45.6%","70.0%"
"=""1610011""","Wilton School District","Eligible For Lunch",24,"45.8%","71.2%"
"=""1610011""","Wilton School District","Not Eligible For Lunch",1566,"60.2%","80.6%"
"=""1620011""","Winchester School District","Eligible For Lunch",123,"37.4%","59.4%"
"=""1620011""","Winchester School District","Not Eligible For Lunch",95,"33.7%","55.8%"
"=""1630011""","Windham School District","Eligible For Lunch",903,"40.0%","62.3%"
"=""1630011""","Windham School District","Not Eligible For Lunch",227,"52.9%","74.3%"
"=""1650011""","Windsor Locks School District","Eligible For Lunch",226,"39.4%","59.2%"
"=""1650011""","Windsor Locks School District","Not Eligible For Lunch",342,"50.3%","71.4%"
"=""1640011""","Windsor School District","Eligible For Lunch",383,"34.2%","60.1%"
"=""1640011""","Windsor School District","Not Eligible For Lunch",642,"43.0%","66.3%"
"=""1660011""","Wolcott School District","Eligible For Lunch",176,"47.7%","70.8%"
"=""1660011""","Wolcott School District","Not Eligible For Lunch",723,"50.6%","72.6%"
"=""1670011""","Woodbridge School District","Eligible For Lunch",28,"64.3%","86.7%"
"=""1670011""","Woodbridge School District","Not Eligible For Lunch",258,"65.9%","87.3%"
"=""1690011""","Woodstock School District","Eligible For Lunch",64,"32.8%","58.3%"
"=""1690011""","Woodstock School District","Not Eligible For Lunch",393,"37.9%","58.7%"

