"Percentage of Revenue by Source (Excluding School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
,="Federal",2.8,1.5,1.7,1.7,1.6
,="Tuition & Other",0.0,0.1,0.0,0.0,0.0
="Regional School District 05",="Local",91.0,91.3,91.2,89.9,89.8
,="State",6.8,6.9,7.4,8.4,8.5
,="Federal",2.0,1.8,1.3,1.3,1.4
,="Tuition & Other",0.2,0.0,0.0,0.4,0.3
="Regional School District 06",="Local",83.9,89.5,90.1,83.8,83.1
,="State",7.3,8.4,8.3,8.4,9.1
,="Federal",3.2,2.1,1.6,1.9,1.4
,="Tuition & Other",5.7,0.0,0.0,5.9,6.4
="Regional School District 07",="Local",74.0,78.7,78.6,73.7,74.3
,="State",17.1,19.2,19.9,19.9,19.9
,="Federal",2.6,1.9,1.4,1.4,1.3
,="Tuition & Other",6.3,0.2,0.1,5.0,4.4
="Regional School District 08",="Local",72.8,68.8,69.3,69.5,70.9
,="State",24.6,28.3,29.1,28.0,27.2
,="Federal",2.5,2.9,1.4,2.0,1.4
,="Tuition & Other",0.2,0.0,0.1,0.5,0.4
="Regional School District 09",="Local",94.1,93.8,94.6,93.4,93.0
,="State",4.5,4.7,4.0,5.6,5.9
,="Federal",1.4,1.5,1.4,0.9,1.0
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Regional School District 10",="Local",71.6,71.9,73.1,71.6,73.1
,="State",23.4,24.7,25.4,26.0,24.7
,="Federal",4.7,3.2,1.4,1.8,1.7
,="Tuition & Other",0.2,0.2,0.1,0.5,0.5
="Regional School District 11",="Local",66.2,60.5,61.9,60.3,63.4
,="State",29.8,35.6,35.1,34.1,32.5
,="Federal",3.3,3.7,2.9,2.3,1.8
,="Tuition & Other",0.6,0.2,0.1,3.4,2.3
="Regional School District 12",="Local",92.9,95.1,94.9,94.3,94.4
,="State",3.1,3.3,3.2,3.2,2.7
,="Federal",2.7,1.6,2.0,1.5,1.9
,="Tuition & Other",1.3,0.0,0.0,1.0,1.0
="Regional School District 13",="Local",76.9,76.5,78.6,78.8,78.9
,="State",18.5,20.4,19.7,19.5,19.4
,="Federal",4.4,2.9,1.5,1.3,1.4
,="Tuition & Other",0.3,0.2,0.1,0.3,0.4
="Regional School District 14",="Local",79.6,86.6,86.3,80.5,80.4
,="State",10.6,11.1,11.7,12.1,12.2
,="Federal",3.8,2.3,2.0,2.0,1.7
,="Tuition & Other",6.0,0.0,0.0,5.4,5.7
="Regional School District 15",="Local",89.6,90.1,90.0,89.3,89.7
,="State",7.3,7.9,8.0,8.4,8.3
,="Federal",2.7,2.0,2.0,1.9,1.7
,="Tuition & Other",0.5,0.0,0.0,0.3,0.2
="Regional School District 16",="Local",67.2,67.5,67.4,67.8,65.6
,="State",25.1,30.2,30.7,30.4,28.8
,="Federal",7.6,2.2,1.8,1.6,1.7
,="Tuition & Other",0.1,0.0,0.0,0.2,4.0
="Regional School District 17",="Local",84.1,83.8,84.6,83.5,85.4
,="State",11.3,13.7,13.2,13.7,12.9
,="Federal",4.4,1.7,1.3,1.9,1.6
,="Tuition & Other",0.1,0.9,0.9,0.9,0.0
="Regional School District 18",="Local",93.7,94.0,94.8,94.7,95.2
,="State",4.2,4.7,3.7,3.8,3.4
,="Federal",2.0,1.3,1.4,1.4,1.3
,="Tuition & Other",0.0,0.0,0.0,0.1,0.2
="Regional School District 19",="Local",61.4,63.7,64.9,50.5,52.9
,="State",29.4,33.0,33.4,33.0,30.8
,="Federal",2.8,3.3,1.7,1.5,1.7
,="Tuition & Other",6.4,0.0,0.0,14.9,14.6
="Ridgefield School District",="Local",93.6,93.9,93.6,93.4,93.5
,="State",3.5,4.4,4.9,5.1,4.8
,="Federal",2.5,1.5,1.5,1.4,1.4
,="Tuition & Other",0.3,0.1,0.1,0.2,0.3
="Rocky Hill School District",="Local",85.4,86.7,86.8,86.8,87.3
,="State",10.1,11.2,11.2,11.2,10.7
,="Federal",4.2,2.0,1.9,1.9,1.8
,="Tuition & Other",0.3,0.1,0.1,0.1,0.1
="Salem School District",="Local",65.3,64.2,65.7,70.4,66.8
,="State",28.2,31.8,32.0,28.1,31.6
,="Federal",6.4,3.8,2.1,1.3,1.4
,="Tuition & Other",0.1,0.3,0.1,0.2,0.2
="Salisbury School District",="Local",92.8,94.1,94.2,94.4,95.0
,="State",2.2,2.4,2.4,2.4,2.3
,="Federal",4.6,3.1,3.0,2.8,2.4
,="Tuition & Other",0.4,0.4,0.3,0.4,0.3
="Scotland School District",="Local",53.1,56.8,61.2,58.6,57.6
,="State",33.1,37.5,37.0,36.3,36.4
,="Federal",12.2,5.6,1.8,2.7,2.1
,="Tuition & Other",1.7,0.2,0.0,2.4,3.9
="Seymour School District",="Local",61.5,62.2,63.3,62.7,64.4
,="State",30.0,33.4,33.7,34.5,32.9
,="Federal",8.5,4.4,2.9,2.8,2.7
,="Tuition & Other",0.0,0.0,0.1,0.0,0.0
="Sharon School District",="Local",93.9,95.1,95.2,95.6,95.8
,="State",1.9,2.3,2.4,2.1,2.1
,="Federal",4.1,2.6,2.4,2.2,2.0
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Shelton School District",="Local",88.6,87.9,87.9,88.8,89.0
,="State",8.0,9.2,9.5,9.1,9.0
,="Federal",3.4,2.9,2.6,2.1,1.5
,="Tuition & Other",0.0,0.0,0.0,0.0,0.4
="Sherman School District",="Local",92.5,93.8,93.4,93.7,92.9
,="State",3.9,4.3,4.3,4.0,4.8
,="Federal",3.3,1.9,1.7,1.6,1.6
,="Tuition & Other",0.2,0.0,0.6,0.7,0.7
="Side By Side Charter School District",="Local",0.0,0.1,0.0,0.0,0.0
,="State",88.8,87.7,90.5,91.0,88.0
,="Federal",2.4,2.1,2.9,1.6,1.9
,="Tuition & Other",8.9,10.1,6.7,7.4,10.1
="Simsbury School District",="Local",86.4,86.6,86.3,86.5,86.9
,="State",9.7,11.2,11.5,11.5,11.4
,="Federal",3.6,2.1,2.0,1.8,1.5
,="Tuition & Other",0.3,0.1,0.2,0.1,0.1
="Somers School District",="Local",64.6,64.6,66.2,66.7,68.0
,="State",28.6,32.1,32.1,31.4,30.2
,="Federal",6.7,3.4,1.7,1.7,1.7
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="South Windsor School District",="Local",75.6,75.8,77.0,76.5,76.8
,="State",18.9,21.1,21.3,21.3,20.7
,="Federal",5.0,2.8,1.4,1.5,1.9
,="Tuition & Other",0.5,0.3,0.3,0.6,0.6
="Southington School District",="Local",69.4,69.8,71.4,70.1,70.9
,="State",22.8,26.3,26.5,26.2,25.5
,="Federal",6.6,3.8,2.0,2.4,2.5
,="Tuition & Other",1.3,0.1,0.1,1.3,1.1
="Sprague School District",="Local",52.6,50.7,51.1,50.4,50.9
,="State",37.5,43.9,45.8,46.2,45.8
,="Federal",9.9,5.2,2.8,3.3,3.0
,="Tuition & Other",0.0,0.2,0.3,0.1,0.4
="Stafford School District",="Local",54.2,54.0,56.8,56.8,57.8
,="State",36.3,40.9,40.1,40.2,39.3
,="Federal",8.9,5.1,2.9,2.5,2.5
,="Tuition & Other",0.5,0.0,0.1,0.5,0.4
="Stamford Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",37.5,41.7,44.0,51.2,52.1
,="Federal",17.5,15.0,13.6,3.1,3.5
,="Tuition & Other",45.0,43.3,42.4,45.7,44.4
="Stamford School District",="Local",83.2,84.7,84.6,86.4,85.7
,="State",10.6,11.0,11.5,10.3,10.9
,="Federal",4.0,3.2,2.8,2.7,2.8
,="Tuition & Other",2.2,1.2,1.2,0.6,0.6
="Sterling School District",="Local",53.4,53.2,52.5,53.6,51.4
,="State",36.9,43.2,43.8,42.4,45.2
,="Federal",9.5,3.6,2.9,3.7,2.8
,="Tuition & Other",0.2,0.1,0.7,0.3,0.5
="Stonington School District",="Local",88.6,88.8,88.9,89.3,90.1
,="State",7.6,8.7,9.0,8.6,7.8
,="Federal",3.8,2.5,2.0,1.9,2.0
,="Tuition & Other",0.1,0.0,0.1,0.2,0.1
="Stratford School District",="Local",72.2,73.4,73.4,73.0,74.0
,="State",20.6,23.0,23.9,24.1,23.1
,="Federal",7.1,3.5,2.7,2.7,2.7
,="Tuition & Other",0.2,0.0,0.0,0.2,0.2
="Suffield School District",="Local",72.0,74.5,74.0,71.4,72.2
,="State",19.7,22.7,23.7,24.7,23.2
,="Federal",5.6,2.8,2.0,1.5,1.9
,="Tuition & Other",2.7,0.1,0.3,2.4,2.8
="The Bridge Academy District",="Local",0.0,0.0,1.5,0.3,0.0
,="State",87.2,87.7,86.8,85.4,86.1
,="Federal",12.1,7.9,7.2,7.0,7.0
,="Tuition & Other",0.7,4.5,4.6,7.4,6.9
="Thomaston School District",="Local",55.3,54.6,55.2,60.6,56.0
,="State",35.4,40.8,42.1,37.2,41.1
,="Federal",9.3,4.5,2.7,2.0,2.6
,="Tuition & Other",0.1,0.0,0.0,0.3,0.3
="Thompson School District",="Local",45.7,45.7,47.6,48.4,46.9
,="State",43.4,48.8,49.4,48.0,49.2
,="Federal",10.4,5.5,3.0,2.7,3.1
,="Tuition & Other",0.4,0.1,0.0,0.9,0.8
="Tolland School District",="Local",63.5,64.6,65.8,64.4,66.8
,="State",29.3,32.6,32.5,31.8,31.4
,="Federal",7.2,2.7,1.6,1.7,1.4
,="Tuition & Other",0.1,0.0,0.0,2.1,0.4
="Torrington School District",="Local",56.2,56.9,58.3,58.8,59.9
,="State",34.8,39.3,38.8,37.4,36.3
,="Federal",8.8,3.8,2.9,3.4,3.1
,="Tuition & Other",0.2,0.0,0.1,0.4,0.8
="Trailblazers Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",34.1,37.0,39.6,39.3,32.0
,="Federal",4.2,4.4,4.3,3.4,3.3
,="Tuition & Other",61.7,58.7,56.1,57.3,64.7
="Trumbull School District",="Local",90.0,92.2,92.3,91.2,91.1
,="State",4.5,5.2,4.9,5.1,5.1
,="Federal",3.5,2.3,2.0,1.9,2.0
,="Tuition & Other",2.0,0.3,0.8,1.8,1.7
="Union School District",="Local",81.3,80.6,82.7,83.4,83.8
,="State",13.9,16.5,16.0,15.0,14.5
,="Federal",4.8,2.9,1.3,1.7,1.7
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Vernon School District",="Local",58.2,57.7,58.2,57.6,58.2
,="State",31.7,37.4,38.4,38.9,38.2
,="Federal",9.3,5.0,3.4,2.5,2.9
,="Tuition & Other",0.8,0.0,0.0,0.9,0.8
="Voluntown School District",="Local",54.5,55.6,55.3,56.4,57.1
,="State",37.5,42.5,42.7,41.2,41.1
,="Federal",8.0,1.9,2.0,2.4,1.9
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Wallingford School District",="Local",69.6,71.7,73.2,73.6,71.9
,="State",22.8,24.8,24.8,23.0,24.8
,="Federal",6.0,3.3,2.0,2.0,1.8
,="Tuition & Other",1.6,0.2,0.0,1.3,1.5
="Waterbury School District",="Local",32.5,33.8,33.6,35.9,36.2
,="State",50.2,56.6,57.2,56.5,56.9
,="Federal",16.6,9.3,8.9,6.7,6.0
,="Tuition & Other",0.7,0.3,0.3,0.8,0.9
="Waterford School District",="Local",91.4,92.3,92.8,92.7,92.9
,="State",5.1,5.4,5.1,5.1,4.9
,="Federal",3.3,2.3,2.0,1.9,1.7
,="Tuition & Other",0.3,0.0,0.1,0.3,0.5
="Watertown School District",="Local",62.3,61.7,65.5,65.1,65.2
,="State",29.4,33.1,32.1,32.0,31.6
,="Federal",8.0,4.8,2.3,2.7,2.7
,="Tuition & Other",0.3,0.4,0.2,0.2,0.5
="West Hartford School District",="Local",81.2,82.7,82.5,82.3,82.1
,="State",12.9,14.5,14.7,15.0,15.3
,="Federal",5.5,2.8,2.7,2.3,2.1
,="Tuition & Other",0.4,0.0,0.1,0.4,0.5
="West Haven School District",="Local",43.7,40.7,39.7,43.8,44.5
,="State",43.9,53.9,54.4,51.4,50.3
,="Federal",12.1,5.2,5.7,4.4,4.3
,="Tuition & Other",0.3,0.2,0.2,0.4,0.9
="Westbrook School District",="Local",94.8,94.0,94.5,93.6,95.3
,="State",2.7,4.2,3.6,4.6,2.9
,="Federal",2.4,1.7,1.7,1.5,1.4
,="Tuition & Other",0.0,0.1,0.2,0.3,0.3
="Weston School District",="Local",94.7,95.2,95.2,94.6,94.9
,="State",2.9,3.2,3.2,3.6,4.2
,="Federal",2.0,1.3,1.3,1.2,0.6
,="Tuition & Other",0.4,0.4,0.3,0.6,0.3
="Westport School District",="Local",94.7,95.8,96.2,96.0,96.2
,="State",2.7,2.8,2.6,2.5,2.3
,="Federal",2.4,1.4,1.2,1.3,1.3
,="Tuition & Other",0.2,0.0,0.0,0.2,0.2
="Wethersfield School District",="Local",79.4,79.2,80.2,79.2,79.6
,="State",15.3,17.8,17.9,18.6,18.2
,="Federal",5.1,2.8,1.8,1.9,1.7
,="Tuition & Other",0.2,0.2,0.1,0.3,0.5
="Willington School District",="Local",62.8,65.1,65.9,68.0,67.4
,="State",27.6,30.2,31.4,30.1,30.3
,="Federal",9.5,4.3,2.4,1.8,2.3
,="Tuition & Other",0.0,0.4,0.4,0.1,0.0
="Wilton School District",="Local",93.9,94.9,95.6,95.2,94.9
,="State",3.7,3.5,3.1,3.3,3.6
,="Federal",2.0,1.6,1.3,1.3,1.2
,="Tuition & Other",0.3,0.0,0.0,0.2,0.3
="Winchester School District",="Local",55.1,54.9,54.4,N/A,N/A
,"State",36.6,41.7,43.1,N/A,N/A
,"Federal",8.1,3.3,2.4,N/A,N/A
,"Tuition & Other",0.2,0.1,0.1,N/A,N/A
"Windham School District","Local",27.0,30.1,32.6,31.9,34.2
,="State",49.3,53.2,55.4,56.1,56.3
,="Federal",20.7,15.6,12.0,9.8,8.0
,="Tuition & Other",3.0,1.0,0.0,2.2,1.5
="Windsor Locks School District",="Local",78.3,77.7,78.5,77.3,75.8
,="State",15.9,18.8,19.3,20.1,21.1
,="Federal",5.2,3.4,2.2,1.9,2.4
,="Tuition & Other",0.5,0.0,0.0,0.7,0.8
="Windsor School District",="Local",74.8,75.8,76.7,76.1,76.0
,="State",18.4,20.1,21.0,21.4,21.2
,="Federal",6.5,4.1,2.3,2.3,2.1
,="Tuition & Other",0.3,0.0,0.0,0.3,0.7
="Wolcott School District",="Local",52.0,52.2,54.2,53.5,54.3
,="State",37.6,43.1,43.3,43.5,42.9
,="Federal",9.9,4.6,2.4,2.2,2.3
,="Tuition & Other",0.5,0.1,0.1,0.8,0.5
="Woodbridge School District",="Local",96.3,93.8,94.7,94.6,94.1
,="State",3.2,3.7,3.7,3.5,3.7
,="Federal",0.2,2.5,1.6,1.7,2.1
,="Tuition & Other",0.2,0.0,0.0,0.1,0.1
="Woodstock School District",="Local",60.0,60.8,62.0,61.2,63.7
,="State",30.4,34.1,34.8,35.6,32.9
,="Federal",9.0,4.8,2.7,2.6,2.8
,="Tuition & Other",0.7,0.4,0.5,0.7,0.6

