"Percentage of Revenue by Source (Including School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
,="Tuition & Other",0.0,0.1,0.0,0.0,0.0
="Regional School District 05",="Local",91.1,91.3,91.6,90.9,90.9
,="State",7.0,7.1,7.2,7.6,7.6
,="Federal",1.8,1.6,1.2,1.2,1.3
,="Tuition & Other",0.2,0.0,0.0,0.4,0.2
="Regional School District 06",="Local",84.3,89.9,90.5,82.8,83.6
,="State",7.2,8.0,8.0,9.6,8.9
,="Federal",3.0,2.1,1.6,1.8,1.4
,="Tuition & Other",5.4,0.0,0.0,5.7,6.2
="Regional School District 07",="Local",75.3,79.8,79.7,75.0,75.5
,="State",16.2,18.3,18.9,18.9,19.0
,="Federal",2.4,1.8,1.3,1.4,1.3
,="Tuition & Other",6.0,0.2,0.1,4.7,4.2
="Regional School District 08",="Local",75.6,72.0,72.3,72.3,73.5
,="State",22.0,25.4,26.3,25.5,24.8
,="Federal",2.2,2.6,1.3,1.8,1.3
,="Tuition & Other",0.1,0.0,0.1,0.5,0.4
="Regional School District 09",="Local",94.8,94.4,95.2,94.2,93.7
,="State",4.0,4.3,3.5,4.9,5.3
,="Federal",1.2,1.3,1.3,0.8,0.9
,="Tuition & Other",0.0,0.0,0.0,0.1,0.0
="Regional School District 10",="Local",72.8,67.9,70.3,72.9,74.2
,="State",22.5,29.0,28.3,24.9,23.7
,="Federal",4.4,3.0,1.3,1.7,1.6
,="Tuition & Other",0.2,0.2,0.1,0.5,0.4
="Regional School District 11",="Local",66.2,60.5,61.9,60.3,63.4
,="State",29.8,35.6,35.1,34.1,32.5
,="Federal",3.3,3.7,2.9,2.3,1.8
,="Tuition & Other",0.6,0.2,0.1,3.4,2.3
="Regional School District 12",="Local",92.8,95.0,94.8,94.2,94.6
,="State",3.2,3.4,3.2,3.2,2.7
,="Federal",2.6,1.6,2.0,1.7,1.8
,="Tuition & Other",1.3,0.0,0.0,0.9,0.9
="Regional School District 13",="Local",76.6,77.0,79.2,79.6,79.5
,="State",19.1,20.1,19.3,18.9,18.8
,="Federal",4.1,2.7,1.4,1.2,1.3
,="Tuition & Other",0.3,0.2,0.1,0.3,0.3
="Regional School District 14",="Local",78.3,85.1,84.5,80.1,80.1
,="State",12.2,12.6,13.6,12.8,12.7
,="Federal",3.7,2.2,1.9,1.9,1.7
,="Tuition & Other",5.7,0.0,0.0,5.2,5.6
="Regional School District 15",="Local",89.3,89.8,89.8,89.2,89.6
,="State",7.7,8.3,8.3,8.7,8.5
,="Federal",2.5,1.9,1.9,1.8,1.6
,="Tuition & Other",0.5,0.0,0.0,0.3,0.2
="Regional School District 16",="Local",63.1,64.4,65.3,60.5,47.0
,="State",30.0,33.5,33.1,38.1,49.2
,="Federal",6.8,2.0,1.6,1.3,1.1
,="Tuition & Other",0.0,0.0,0.0,0.1,2.6
="Regional School District 17",="Local",83.0,84.8,85.5,84.4,86.2
,="State",12.8,12.8,12.4,12.9,12.2
,="Federal",4.2,1.6,1.3,1.8,1.5
,="Tuition & Other",0.1,0.8,0.8,0.8,0.0
="Regional School District 18",="Local",94.2,71.3,88.3,93.3,95.3
,="State",3.9,27.5,10.4,5.5,3.4
,="Federal",1.9,1.1,1.2,1.2,1.1
,="Tuition & Other",0.0,0.0,0.0,0.1,0.2
="Regional School District 19",="Local",57.4,62.5,60.4,49.1,51.1
,="State",34.5,34.7,38.1,36.3,34.2
,="Federal",2.5,2.7,1.5,1.4,1.5
,="Tuition & Other",5.7,0.0,0.0,13.2,13.2
="Ridgefield School District",="Local",93.3,94.4,93.9,93.9,93.8
,="State",4.1,4.0,4.6,4.7,4.6
,="Federal",2.3,1.4,1.4,1.3,1.3
,="Tuition & Other",0.2,0.1,0.1,0.2,0.3
="Rocky Hill School District",="Local",85.5,86.1,86.8,86.8,82.9
,="State",10.0,11.8,11.2,11.2,15.4
,="Federal",4.2,2.0,1.9,1.9,1.6
,="Tuition & Other",0.3,0.1,0.1,0.1,0.1
="Salem School District",="Local",64.8,64.0,64.6,59.1,67.3
,="State",28.7,32.0,33.2,39.5,31.2
,="Federal",6.4,3.8,2.1,1.3,1.4
,="Tuition & Other",0.1,0.3,0.1,0.2,0.2
="Salisbury School District",="Local",93.2,94.5,93.2,94.5,95.1
,="State",2.1,2.3,3.5,2.3,2.2
,="Federal",4.4,2.9,3.0,2.8,2.4
,="Tuition & Other",0.3,0.3,0.3,0.4,0.3
="Scotland School District",="Local",37.2,61.6,65.5,61.4,62.0
,="State",50.6,33.3,32.9,34.1,32.6
,="Federal",10.8,4.9,1.6,2.4,1.9
,="Tuition & Other",1.5,0.1,0.0,2.1,3.5
="Seymour School District",="Local",64.6,45.4,61.5,64.6,67.3
,="State",27.6,51.8,35.9,32.9,30.2
,="Federal",7.8,2.8,2.5,2.5,2.4
,="Tuition & Other",0.0,0.0,0.1,0.0,0.0
="Sharon School District",="Local",93.3,95.2,95.2,95.6,95.8
,="State",2.7,2.2,2.4,2.1,2.1
,="Federal",3.9,2.5,2.4,2.2,2.0
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Shelton School District",="Local",89.0,89.0,87.6,89.9,87.4
,="State",8.0,8.3,10.0,8.2,10.8
,="Federal",2.9,2.6,2.4,1.9,1.4
,="Tuition & Other",0.0,0.0,0.0,0.0,0.4
="Sherman School District",="Local",92.8,93.4,93.7,94.1,93.2
,="State",3.9,4.9,4.1,3.8,4.6
,="Federal",3.0,1.8,1.6,1.5,1.5
,="Tuition & Other",0.2,0.0,0.6,0.7,0.7
="Side By Side Charter School District",="Local",0.0,0.1,0.0,0.0,0.0
,="State",88.8,87.7,90.5,91.0,93.6
,="Federal",2.4,2.1,2.9,1.6,1.9
,="Tuition & Other",8.9,10.1,6.7,7.4,4.5
="Simsbury School District",="Local",87.2,86.0,86.4,87.2,87.5
,="State",9.1,11.9,11.5,11.0,11.0
,="Federal",3.4,2.0,1.9,1.8,1.5
,="Tuition & Other",0.3,0.1,0.2,0.1,0.1
="Somers School District",="Local",64.9,65.3,66.8,67.7,69.1
,="State",28.9,31.6,31.5,30.5,29.1
,="Federal",6.2,3.1,1.6,1.7,1.6
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="South Windsor School District",="Local",75.6,76.0,77.4,76.8,77.3
,="State",19.2,21.0,20.9,21.0,20.3
,="Federal",4.8,2.7,1.4,1.5,1.8
,="Tuition & Other",0.5,0.3,0.3,0.6,0.6
="Southington School District",="Local",69.8,68.7,72.4,57.7,60.8
,="State",22.8,27.6,25.5,39.3,36.3
,="Federal",6.2,3.6,1.9,1.9,2.0
,="Tuition & Other",1.2,0.1,0.1,1.1,0.9
="Sprague School District",="Local",53.3,51.5,51.9,51.1,51.5
,="State",37.1,43.2,45.0,45.6,45.2
,="Federal",9.6,5.2,2.8,3.2,2.9
,="Tuition & Other",0.0,0.1,0.3,0.1,0.4
="Stafford School District",="Local",53.4,50.7,60.9,58.4,59.3
,="State",37.7,44.5,36.3,38.6,37.9
,="Federal",8.3,4.7,2.6,2.4,2.4
,="Tuition & Other",0.5,0.0,0.1,0.5,0.4
="Stamford Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",37.5,41.7,44.0,51.2,52.1
,="Federal",17.5,15.0,13.6,3.1,3.5
,="Tuition & Other",45.0,43.3,42.4,45.7,44.4
="Stamford School District",="Local",84.1,85.3,85.3,86.9,86.3
,="State",10.1,10.7,11.0,10.1,10.6
,="Federal",3.7,2.9,2.6,2.5,2.6
,="Tuition & Other",2.0,1.1,1.1,0.6,0.5
="Sterling School District",="Local",57.2,58.2,57.4,58.1,56.4
,="State",33.9,38.6,39.3,38.2,40.6
,="Federal",8.7,3.2,2.6,3.4,2.6
,="Tuition & Other",0.2,0.1,0.7,0.3,0.5
="Stonington School District",="Local",89.4,89.5,89.7,90.0,90.7
,="State",7.0,8.1,8.4,8.0,7.3
,="Federal",3.5,2.3,1.8,1.8,1.9
,="Tuition & Other",0.1,0.0,0.1,0.2,0.1
="Stratford School District",="Local",73.1,73.7,73.9,73.7,72.1
,="State",20.1,22.9,23.5,23.5,25.1
,="Federal",6.7,3.3,2.6,2.6,2.5
,="Tuition & Other",0.2,0.0,0.0,0.2,0.2
="Suffield School District",="Local",73.8,69.3,71.3,73.3,73.1
,="State",18.4,28.2,26.6,23.1,22.4
,="Federal",5.2,2.4,1.9,1.4,1.8
,="Tuition & Other",2.5,0.1,0.3,2.2,2.6
="The Bridge Academy District",="Local",0.0,0.0,1.4,0.3,0.0
,="State",83.5,84.0,82.8,81.7,82.8
,="Federal",11.6,7.5,6.8,6.7,6.6
,="Tuition & Other",4.9,8.5,8.9,11.3,10.6
="Thomaston School District",="Local",57.0,57.5,57.2,62.0,49.0
,="State",34.2,38.2,40.3,35.9,48.3
,="Federal",8.7,4.2,2.5,1.8,2.4
,="Tuition & Other",0.1,0.0,0.0,0.3,0.3
="Thompson School District",="Local",48.8,48.7,47.0,51.1,49.7
,="State",41.0,46.1,50.2,45.5,46.7
,="Federal",9.8,5.2,2.8,2.6,2.9
,="Tuition & Other",0.4,0.1,0.0,0.8,0.7
="Tolland School District",="Local",65.9,66.8,67.0,66.4,68.4
,="State",27.5,30.7,31.5,30.1,29.9
,="Federal",6.5,2.5,1.5,1.5,1.3
,="Tuition & Other",0.1,0.0,0.0,2.0,0.4
="Torrington School District",="Local",55.8,56.7,58.8,57.5,60.0
,="State",35.8,39.7,38.4,38.9,36.3
,="Federal",8.2,3.6,2.7,3.2,3.0
,="Tuition & Other",0.2,0.0,0.1,0.4,0.7
="Trailblazers Academy District",="Local",0.0,0.0,0.0,0.0,0.0
,="State",34.1,37.0,39.6,39.3,32.0
,="Federal",4.2,4.4,4.3,3.4,3.3
,="Tuition & Other",61.7,58.7,56.1,57.3,64.7
="Trumbull School District",="Local",88.1,90.1,82.7,90.6,91.3
,="State",6.8,7.5,15.0,5.9,5.2
,="Federal",3.2,2.1,1.6,1.8,1.9
,="Tuition & Other",1.9,0.3,0.7,1.7,1.6
="Union School District",="Local",64.8,78.9,76.8,88.4,82.2
,="State",31.5,19.1,22.1,10.4,16.3
,="Federal",3.7,2.0,1.1,1.2,1.4
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Vernon School District",="Local",57.4,58.0,52.8,54.9,59.9
,="State",33.2,37.3,44.0,41.8,36.6
,="Federal",8.6,4.7,3.2,2.4,2.7
,="Tuition & Other",0.7,0.0,0.0,0.9,0.7
="Voluntown School District",="Local",55.1,56.2,55.9,58.2,57.1
,="State",37.0,41.9,42.2,39.5,41.1
,="Federal",7.9,1.9,1.9,2.3,1.9
,="Tuition & Other",0.0,0.0,0.0,0.0,0.0
="Wallingford School District",="Local",68.3,72.6,72.9,68.1,72.7
,="State",24.4,24.0,25.2,28.6,24.1
,="Federal",5.8,3.2,1.9,2.0,1.8
,="Tuition & Other",1.6,0.2,0.0,1.3,1.4
="Waterbury School District",="Local",30.4,30.0,28.1,35.0,35.0
,="State",53.6,61.7,64.5,57.9,58.5
,="Federal",15.4,8.1,7.2,6.3,5.6
,="Tuition & Other",0.6,0.2,0.2,0.8,0.9
="Waterford School District",="Local",89.2,92.2,84.4,90.1,93.2
,="State",8.0,6.5,14.0,8.2,5.0
,="Federal",2.7,1.3,1.5,1.5,1.5
,="Tuition & Other",0.2,0.0,0.0,0.2,0.4
="Watertown School District",="Local",52.4,65.1,68.1,67.5,67.5
,="State",41.8,30.4,29.7,29.9,29.7
,="Federal",5.6,4.2,2.0,2.4,2.4
,="Tuition & Other",0.2,0.3,0.1,0.2,0.4
="West Hartford School District",="Local",81.7,83.1,82.8,82.8,79.5
,="State",12.8,14.2,14.5,14.6,18.0
,="Federal",5.1,2.7,2.6,2.2,2.0
,="Tuition & Other",0.4,0.0,0.1,0.4,0.4
="West Haven School District",="Local",45.1,41.7,41.2,45.2,45.7
,="State",43.1,53.1,53.1,50.3,49.4
,="Federal",11.6,5.0,5.4,4.2,4.1
,="Tuition & Other",0.2,0.2,0.2,0.4,0.9
="Westbrook School District",="Local",93.7,93.2,94.6,94.2,95.7
,="State",4.3,5.3,3.7,4.2,2.7
,="Federal",2.0,1.4,1.5,1.4,1.3
,="Tuition & Other",0.0,0.1,0.2,0.3,0.3
="Weston School District",="Local",95.5,95.8,95.7,95.0,95.0
,="State",2.5,2.8,2.8,3.4,4.2
,="Federal",1.7,1.1,1.1,1.1,0.5
,="Tuition & Other",0.3,0.3,0.3,0.5,0.3
="Westport School District",="Local",95.0,95.5,95.9,95.7,96.0
,="State",2.7,3.2,2.9,2.8,2.6
,="Federal",2.1,1.4,1.2,1.3,1.2
,="Tuition & Other",0.2,0.0,0.0,0.2,0.2
="Wethersfield School District",="Local",79.6,80.9,80.6,75.6,60.6
,="State",15.2,16.3,17.5,22.2,37.8
,="Federal",5.0,2.7,1.7,1.8,1.3
,="Tuition & Other",0.2,0.2,0.1,0.3,0.4
="Willington School District",="Local",62.8,65.1,65.9,68.0,66.7
,="State",27.6,30.2,31.4,30.1,30.9
,="Federal",9.5,4.3,2.4,1.8,2.3
,="Tuition & Other",0.0,0.4,0.4,0.1,0.0
="Wilton School District",="Local",94.0,94.9,95.7,95.1,95.0
,="State",3.8,3.6,3.1,3.5,3.6
,="Federal",1.9,1.5,1.2,1.2,1.1
,="Tuition & Other",0.3,0.0,0.0,0.2,0.3
="Winchester School District",="Local",55.0,54.1,54.4,N/A,N/A
,"State",36.6,42.5,43.1,N/A,N/A
,"Federal",8.1,3.3,2.4,N/A,N/A
,"Tuition & Other",0.2,0.1,0.1,N/A,N/A
"Windham School District","Local",26.0,17.4,41.5,36.4,26.9
,="State",51.8,69.4,50.0,53.4,64.0
,="Federal",19.3,12.4,8.4,8.3,7.6
,="Tuition & Other",2.8,0.8,0.0,1.8,1.4
="Windsor Locks School District",="Local",77.3,77.8,77.6,76.6,75.1
,="State",17.3,19.0,20.3,20.9,21.9
,="Federal",4.9,3.2,2.1,1.9,2.3
,="Tuition & Other",0.5,0.0,0.0,0.7,0.8
="Windsor School District",="Local",75.0,75.4,77.1,75.7,76.4
,="State",18.5,20.6,20.7,21.9,20.8
,="Federal",6.2,3.9,2.2,2.2,2.1
,="Tuition & Other",0.3,0.0,0.0,0.2,0.7
="Wolcott School District",="Local",52.4,52.9,55.0,54.3,55.0
,="State",37.9,42.6,42.7,42.9,42.4
,="Federal",9.2,4.4,2.2,2.0,2.1
,="Tuition & Other",0.4,0.1,0.1,0.8,0.5
="Woodbridge School District",="Local",95.8,93.4,94.4,94.2,93.7
,="State",3.8,4.2,4.1,4.0,4.1
,="Federal",0.2,2.4,1.5,1.6,2.0
,="Tuition & Other",0.2,0.0,0.0,0.1,0.1
="Woodstock School District",="Local",59.8,60.5,61.8,61.3,64.0
,="State",31.0,34.6,35.2,35.5,32.6
,="Federal",8.6,4.5,2.5,2.5,2.8
,="Tuition & Other",0.6,0.4,0.5,0.7,0.6

