"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",0,11,403,124,78,221,409,0,0,132,5224,2302,8904
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","*","*",178,34,18,42,173,0,0,112,2810,1238,4615
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*","*",274,30,27,80,260,14,0,109,2746,1285,4830
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","*",7,383,125,50,115,618,"*",0,174,3875,2001,7351
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",0,0,0,"*",0,0,10,0,0,"*",69,0,87
"Farmington School District","=""0520011""","East Farms School","=""0520411""",0,0,924,142,73,63,193,0,0,48,2015,976,4434
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",0,0,0,"*",0,0,"*",0,0,0,20,0,30
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",0,"*",150,39,"*","*",38,0,0,11,384,162,791
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*",1452,529,219,131,508,0,0,34,6670,3415,12979
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",856,241,90,90,234,0,0,21,3224,1628,6397
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",0,0,720,96,65,63,160,0,0,57,1584,714,3459
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*",318,136,68,41,206,0,0,28,1545,715,3067
"Farmington School District","=""0520011""","West District School","=""0520311""","*","*",519,84,33,25,137,0,0,27,1643,882,3360
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",6,6,960,206,124,98,238,0,0,27,3143,1576,6384
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",15,7,29,0,"*",21,78,"*",0,36,1155,633,1985
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*","*",541,54,71,66,250,0,0,174,2543,1365,5078
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",320,26,38,45,83,0,0,95,1594,825,3035
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*",7,488,96,52,68,241,"*",0,130,2702,1349,5143
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",14,30,1751,554,239,283,1095,9,0,348,11475,5285,21083
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",8,9,436,68,50,32,137,0,0,77,2503,1334,4654
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*",10,500,25,28,69,188,"*",0,141,2325,1361,4656
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",0,"*",0,6,0,0,21,0,0,"*",66,0,97
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""",0,0,"*","*",0,0,"*",0,0,"*",36,0,48
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",0,"*",0,6,0,0,21,0,0,"*",66,0,97
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""",0,0,"*","*",0,0,"*",0,0,"*",36,0,48
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","*","*",493,170,121,169,504,"*",0,181,1726,989,4360
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",0,0,289,118,48,41,319,0,0,193,3393,1783,6184
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""",0,0,0,0,0,0,"*",0,0,"*","*",0,"*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""",0,0,"*",0,0,0,"*",0,0,"*","*",0,8
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",0,0,"*","*",0,0,10,0,0,"*",60,0,78
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",0,0,9,"*",0,0,"*",0,0,"*",41,0,59
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",8,8,977,207,106,142,499,10,0,233,5655,2806,10651
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",10,6,63,136,102,20,54,0,0,72,2075,1278,3816
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",7,14,89,167,71,32,179,0,0,94,4539,2104,7296
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",0,8,37,103,45,28,96,0,0,74,2139,1026,3556
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","*","*",30,116,54,25,74,0,0,78,1942,965,3303
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","*","*",30,116,54,25,74,0,0,78,1942,965,3303
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*",49,92,32,28,80,0,0,83,1905,954,3226
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",0,0,"*",336,0,0,300,"*",0,10,24,0,677
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",0,0,"*","*",0,0,51,0,0,0,26,0,100
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*","*",554,128,59,249,609,"*",0,140,2867,1539,6156
"Greenwich School District","=""0570011""","Community Connections","=""0571211""",0,0,0,"*",0,0,"*",0,0,0,16,0,22
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",0,0,518,49,"*",151,461,"*",0,177,2006,877,4258
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",0,"*",726,43,24,156,618,"*",0,148,4277,1850,7853
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",0,"*",422,41,"*",106,358,0,0,74,2069,706,3786
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",0,0,"*","*",0,0,51,0,0,0,26,0,100
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",8,19,1855,607,248,1144,3154,6,0,348,12897,6074,26360
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","*","*",238,274,126,445,1316,0,0,94,927,517,3944
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",0,0,559,90,"*",170,382,"*",0,155,1561,773,3724
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",0,"*",367,111,71,223,686,"*",0,154,1229,606,3452
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","*","*",108,106,27,322,1100,0,0,37,496,288,2490
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","*","*",701,24,11,102,431,"*",0,95,2247,1032,4656
"Greenwich School District","=""0570011""","North Street School","=""0570811""","*","*",356,54,25,91,291,0,0,213,2093,1256,4394
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","*",0,180,14,"*",39,258,0,0,146,2464,1234,4347
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","*","*",167,16,8,81,208,0,0,39,1523,806,2855
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",0,0,323,0,"*",139,561,0,0,"*",2589,1274,4980
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","*","*",334,237,66,427,1196,0,0,59,1880,906,5111
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",0,0,0,0,0,0,"*",0,0,"*",33,0,42
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*",62,154,139,92,140,342,"*",0,399,4182,2425,7970
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",59,52,131,130,"*",51,210,"*",0,75,3738,2096,6589
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",15,51,99,138,35,43,238,7,0,143,3289,1154,5212
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",36,322,187,55,30,303,"*",0,116,2186,931,4178
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","*",19,289,470,237,217,963,"*",0,262,1038,391,3905
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",18,8,164,222,187,95,335,14,0,178,1806,832,3859
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",46,"*",460,304,189,159,672,"*",0,266,858,538,3529
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""",0,0,12,0,"*","*",0,0,0,0,0,115,139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",9,0,38,0,130,113,0,0,0,0,0,208,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",43,"*",163,127,202,164,129,"*",0,19,472,775,2114
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","*",17,175,235,99,88,476,"*",0,209,1550,730,3592
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",0,"*",0,"*",0,0,7,0,0,"*",28,0,46
"Groton School District","=""0590011""","Noank School","=""0590911""","*",0,23,0,12,"*",0,0,0,0,0,192,240
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",10,16,284,70,54,51,264,6,0,137,2135,656,3683
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",27,27,214,159,138,136,410,6,0,205,1239,678,3239
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",43,145,897,1000,612,319,1192,19,0,309,4802,2796,12134
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*",27,133,116,57,48,217,"*",0,149,1626,863,3253
"Groton School District","=""0590011""","Transition Academy","=""0591011""",0,0,"*","*",0,0,"*",0,0,0,"*",0,9
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""",0,0,0,"*",0,0,"*",0,0,0,"*",0,"*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",21,42,184,427,179,171,721,11,0,156,1399,409,3720
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*",243,49,14,79,252,"*",0,117,3400,1552,5714
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","*",0,126,"*",19,50,146,0,0,149,1795,873,3174
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","*",0,126,25,8,51,92,"*",0,57,1755,854,2971
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","*","*",214,37,21,80,245,0,0,94,3415,1656,5767
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","*","*",376,90,42,120,391,"*",0,109,6794,3139,11070
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",0,"*",167,53,"*",49,114,0,0,51,2127,1193,3781
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",0,0,110,19,7,74,196,13,0,91,1950,940,3400
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",0,"*",117,255,73,40,188,0,0,"*",280,145,1133
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",6,0,414,333,265,113,416,0,0,178,1969,886,4580
"Hamden School District","=""0620011""","Church Street School","=""0620211""",0,"*",157,1074,593,284,807,0,0,"*",434,277,3715
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","*",0,225,731,436,"*",322,0,0,138,761,403,3151
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",0,"*",0,100,0,0,34,0,0,"*",42,0,186
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","*",13,1026,4222,2163,737,1898,"*",0,269,5104,3086,18528
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","*","*",556,1849,936,368,1025,0,0,204,2504,1213,8662
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""",0,0,0,0,"*",0,0,0,0,0,0,0,"*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""",0,0,"*","*",0,0,"*",0,0,"*","*",0,11
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",0,"*",129,841,441,218,725,0,0,"*",385,245,3109
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",6,0,272,792,399,226,672,0,0,74,546,259,3246
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","*","*",671,761,317,134,340,0,0,81,623,319,3254
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",0,0,103,530,235,57,229,7,0,193,1929,687,3970
"Hamden School District","=""0620011""","West Woods School","=""0621411""","*",10,737,347,188,120,241,"*",0,89,1901,1004,4640
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",6,0,"*","*",0,28,53,0,0,19,725,422,1262
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",0,"*",39,509,0,0,395,"*",0,49,321,0,1319
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",0,28,99,691,231,766,2797,10,0,90,232,98,5042
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",0,28,99,691,231,766,2797,10,0,90,232,98,5042
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""",0,0,0,"*",0,0,"*",0,0,0,0,0,18
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""",0,0,"*","*",0,0,10,0,0,0,0,0,18
"Hartford School District","=""0640011""","Autism Program - Dr. James H Naylor / CCSU","=""0645711""",0,0,0,"*",0,0,44,0,0,0,"*",0,57
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""",0,0,0,6,0,0,12,0,0,0,0,0,18
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""",0,0,0,11,0,0,11,"*",0,0,"*",0,24
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""",0,0,0,6,0,0,12,0,0,0,0,0,18
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""",0,0,0,"*",0,0,44,0,0,0,"*",0,57
"Hartford School District","=""0640011""","Autism Program - Rawson School","=""0644411""",0,0,"*",34,0,0,61,0,0,0,"*",0,102
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",0,0,"*",34,0,0,61,0,0,0,"*",0,102
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""",0,0,"*","*",0,0,18,0,0,"*",0,0,25
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""",0,0,"*","*",0,0,18,0,0,"*",0,0,25
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""",0,0,0,"*",0,0,"*",0,0,0,0,0,18
"Hartford School District","=""0640011""","Barnard-Brown School","=""0640311""",0,0,"*",0,50,277,0,0,0,0,0,"*",333
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*",13,103,663,377,1210,2675,"*",0,59,99,63,5271
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",0,"*",242,395,210,942,1221,"*",0,44,192,27,3280
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",0,"*",146,254,0,0,568,"*",0,33,190,0,1197
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",0,"*",89,822,137,84,485,0,0,79,174,"*",1882
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",0,"*",89,822,137,84,485,0,0,79,174,"*",1882
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",14,"*",116,663,328,357,1094,"*",0,51,589,281,3508
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""","*","*",102,798,135,389,1934,12,0,103,161,37,3683
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",10,10,130,692,798,2545,2115,6,0,228,140,232,6906
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","*","*",102,798,135,389,1934,12,0,103,161,37,3683
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",0,"*",84,550,260,1360,3224,"*",0,37,93,24,5647
"Hartford School District","=""0640011""","Burr School","=""0642311""","*",11,178,710,330,1215,3629,"*",0,81,270,90,6522
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",0,0,"*",58,0,0,77,0,0,"*",20,0,160
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",0,"*",103,2096,467,216,886,"*",0,196,828,107,4902
"Hartford School District","=""0640011""","Clark School","=""0642411""",0,0,"*",927,831,467,1113,"*",0,27,34,23,3431
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","*","*",165,1902,1053,491,1391,14,0,249,1059,440,6770
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",0,8,7,989,381,103,742,"*",0,31,30,"*",2294
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",0,8,7,989,381,103,742,"*",0,31,30,"*",2294
"Hartford School District","=""0640011""","DDP - Simpson-Waverly","=""0649411""",0,0,0,8,0,0,6,0,0,0,0,0,14
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""",0,0,0,8,0,0,6,0,0,0,0,0,14
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","*",14,104,499,310,1153,3015,"*",0,187,968,378,6638
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","*","*",44,65,212,1020,365,0,0,35,13,48,1806
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",0,"*",242,395,210,942,1221,"*",0,44,192,27,3280
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""",0,0,0,9,0,0,16,0,0,0,0,0,25
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""",0,0,0,"*",0,0,24,0,0,0,"*",0,31
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",0,0,0,"*",0,0,47,0,0,"*",0,0,79
"Hartford School District","=""0640011""","EDP - HPHS Engineering and Green Technology Academy","=""0648211""",0,0,0,"*",0,0,47,0,0,"*",0,0,79
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",0,0,0,24,0,0,70,0,0,"*","*",0,97
"Hartford School District","=""0640011""","EDP - M.D. Fox School","=""0645911""",0,0,0,24,0,0,70,0,0,"*","*",0,97
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""",0,0,0,"*",0,0,9,0,0,"*",0,0,14
"Hartford School District","=""0640011""","EDP - West Middle School","=""0644611""",0,0,0,"*",0,0,"*",0,0,0,0,0,15
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""",0,0,0,"*",0,0,38,0,0,0,"*",0,47
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",0,6,198,412,223,851,1990,0,0,91,952,61,4784
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",0,6,198,412,223,851,1990,0,0,91,952,61,4784
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",0,"*",31,633,257,1456,3486,"*",0,64,108,27,6076
"Hartford School District","=""0640011""","Fox Middle School","=""0645111""",0,0,"*",0,487,133,0,0,0,0,0,"*",624
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",0,"*",19,1274,664,606,1223,"*",0,45,55,11,3904
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","*","*",6,2364,406,172,1136,"*",0,63,26,"*",4184
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",0,"*",39,509,0,0,395,"*",0,49,321,0,1319
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",0,"*",107,905,135,218,1487,0,0,129,81,"*",3079
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",0,"*",68,1014,166,212,1582,8,0,112,67,"*",3240
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",0,"*",107,905,135,218,1487,0,0,129,81,"*",3079
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","*","*",20,143,119,241,330,0,0,42,8,7,912
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","*",0,124,995,137,216,1628,"*",0,56,64,"*",3229
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",0,"*",68,1014,166,212,1582,8,0,112,67,"*",3240
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","*",50,226,1407,539,721,2778,"*",0,208,1477,524,7938
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""",0,"*",124,147,0,0,151,0,0,"*",111,0,564
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",10,0,64,0,988,1987,0,0,0,0,0,59,3108
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",0,0,0,51,65,93,91,0,0,"*","*",0,305
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",0,0,"*",0,72,117,0,0,0,0,0,"*",192
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",0,"*",30,956,103,89,864,"*",0,125,37,"*",2215
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",0,"*",30,956,103,89,864,"*",0,125,37,"*",2215
"Hartford School District","=""0640011""","High Step Transition","=""0648411""",0,0,0,18,0,0,21,0,0,"*","*",0,43
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""","*","*",6,2364,406,172,1136,"*",0,63,26,"*",4184
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",0,0,49,936,130,"*",434,0,0,42,69,"*",1694
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",18,37,67,800,608,1637,3466,10,0,73,261,116,7093
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""","*",26,103,1483,504,963,2432,"*","*",196,1403,221,7342
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""",0,0,0,"*",0,0,"*",0,0,0,0,0,10
"Hartford School District","=""0640011""","LC - Breakthrough II School","=""0649511""",0,0,0,"*",0,0,"*",0,0,0,0,0,10
"Hartford School District","=""0640011""","LC - Burns","=""0649611""",0,0,0,0,0,0,11,0,0,0,0,0,11
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""",0,0,0,0,0,0,11,0,0,0,0,0,11
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""",0,0,0,"*",0,0,"*",0,0,0,0,0,10
"Hartford School District","=""0640011""","LC - Moylan School","=""0649811""",0,0,0,"*",0,0,"*",0,0,0,0,0,10
"Hartford School District","=""0640011""","Little Owls Learning Center","=""0648011""",0,0,"*",0,16,10,0,0,0,0,0,"*",29
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","*","*",256,627,362,1887,3178,0,0,75,180,128,6705
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""","*","*",256,627,362,1887,3178,0,0,75,180,128,6705
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",6,"*",40,1875,1414,198,506,"*",0,107,21,11,4180
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",6,"*",40,1875,1414,198,506,"*",0,107,21,11,4180
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""",0,0,0,19,0,0,26,0,0,"*","*",0,48
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",0,0,"*","*",0,0,32,0,0,0,0,0,62
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",0,0,"*",32,0,0,62,0,0,0,"*",0,98
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""",0,0,0,"*",0,0,15,0,0,0,"*",0,22
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",0,"*",17,271,119,1046,1943,0,0,"*",50,28,3492
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",0,"*",17,271,119,1046,1943,0,0,"*",50,28,3492
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","*",18,"*",1282,682,473,1147,7,0,55,28,17,3716
"Hartford School District","=""0640011""","Milner School","=""0641911""","*",18,"*",1282,682,473,1147,7,0,55,28,17,3716
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",0,"*",262,761,116,39,335,"*",0,99,573,70,2257
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",0,"*",262,761,116,39,335,"*",0,99,573,70,2257
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",0,"*",61,189,0,0,415,"*",0,28,231,0,933
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""","*",14,104,499,310,1153,3015,"*",0,187,968,378,6638
"Hartford School District","=""0640011""","New Visions Program","=""0642711""",0,0,0,25,0,0,23,0,0,"*","*",0,51
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","*",15,191,1853,898,605,1248,"*",0,178,1008,293,6295
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",0,0,0,210,33,57,349,0,0,6,10,0,665
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",0,7,140,476,308,1206,2902,7,0,52,227,119,5444
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","*",9,52,912,535,353,919,"*",0,68,616,174,3648
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""","*",0,"*",0,322,1034,0,0,0,0,0,16,1386
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","*",26,103,1483,504,963,2432,"*","*",196,1403,221,7342
"Hartford School District","=""0640011""","Rawson School","=""0641711""","*","*",23,2683,1922,135,400,23,0,56,37,11,5300
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",0,"*",40,393,0,0,226,0,0,"*",41,0,724
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",0,"*",40,393,0,0,226,0,0,"*",41,0,724
"Hartford School District","=""0640011""","SAND School","=""0640111""","*","*","*",974,456,752,1982,"*",0,47,25,11,4256
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","*","*",357,1086,992,160,340,10,0,78,610,30,3669
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",0,"*",146,254,0,0,568,"*",0,33,190,0,1197
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""","*","*",357,1086,992,160,340,10,0,78,610,30,3669
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",0,0,19,343,214,1379,2874,7,"*",20,48,"*",4909
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",0,"*",0,342,0,0,39,"*",0,6,"*",0,390
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","*","*",23,2683,1922,135,400,23,0,56,37,11,5300
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","*","*",8,1381,939,194,777,"*",0,49,19,11,3383
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","*",9,165,970,590,614,2171,"*",0,296,1234,342,6399
"Hartford School District","=""0640011""","Twain School","=""0641811""",0,0,"*",0,243,37,0,0,0,0,0,"*",282
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",8,"*",289,1049,480,314,617,"*",0,157,819,201,3942
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",8,"*",289,1049,480,314,617,"*",0,157,819,201,3942
"Hartford School District","=""0640011""","Weaver High School","=""0646311""","*",0,9,138,2152,299,15,0,0,0,0,"*",2619
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""","*",15,191,1853,898,605,1248,"*",0,178,1008,293,6295
"Hartford School District","=""0640011""","West Middle School","=""0642111""","*",8,575,1653,1042,886,1453,"*",0,53,75,54,5802
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",0,"*",19,1274,664,606,1223,"*",0,45,55,11,3904
