"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",130,1498,0,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",271,3358,129,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",260,3387,153,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",448,4304,173,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",255,2742,78,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",427,4836,132,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",427,4048,143,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",493,5655,130,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*",41,"*",57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",1964,778,253,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",346,1328,173,1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",2469,1099,283,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",2082,1240,267,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",1507,2321,437,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",7813,7921,1831,17565
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",5483,3771,1108,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",1232,1983,316,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""","*",188,"*",307
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",1659,1042,228,2929
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",1398,1547,373,3318
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",2789,1486,352,4627
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",2064,690,208,2962
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",704,517,92,1313
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",704,517,92,1313
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",1728,1261,385,3374
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",1210,1037,50,2297
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",981,717,121,1819
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",461,1976,254,2691
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",835,1125,176,2136
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",859,2022,319,3200
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",617,1196,245,2058
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",2502,5871,1054,9427
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",819,945,277,2041
"East Haven School District","=""0440011""","Hays School","=""0441911""",70,404,21,495
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",2087,2800,788,5675
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",888,827,213,1928
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",661,1012,157,1830
"East Haven School District","=""0440011""","Pathways","=""0449011""",131,112,19,262
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",226,522,124,872
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","*",33,"*",57
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",651,10576,224,11451
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",767,7583,267,8617
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",273,3278,91,3642
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","*",459,"*",480
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",392,2831,136,3359
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*","*",0,"*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",223,1742,104,2069
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",0,45,0,45
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",1486,3408,328,5222
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",936,2463,265,3664
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",1126,2335,263,3724
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",189,840,53,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",189,840,53,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",361,377,63,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",361,377,63,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",345,654,61,1060
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",202,1425,7,1634
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",52,3551,23,3626
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",112,6548,37,6697
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",1720,"*","*",1927
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*",154,"*",258
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",1720,"*","*",1927
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*",154,"*",258
"Ellington School District","=""0480011""","Center School","=""0480111""",309,3746,57,4112
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",138,1957,37,2132
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",453,7219,152,7824
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",292,3784,87,4163
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",257,3453,85,3795
"Ellington School District","=""0480011""","Windermere School","=""0480611""",373,4219,52,4644
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""",0,"*",0,"*"
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",515,300,170,985
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",3100,1249,675,5024
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",44,279,0,323
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""","*",55,"*",76
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""","*",50,"*",86
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*",9,"*",15
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",739,2527,174,3440
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""",0,"*",0,"*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",1132,2623,259,4014
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",2058,5909,616,8583
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*",12,"*",22
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",1122,1782,220,3124
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*",72,"*",95
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1371,7241,690,9302
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",180,813,64,1057
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",997,2469,172,3638
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",1017,12,11,1040
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",10,"*","*",12
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",1238,2355,267,3860
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",2590,6958,847,10395
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",7,11,0,18
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",357,1955,106,2418
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",10,"*","*",19
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",1043,2722,345,4110
"Enfield School District","=""0490011""","Stowe - Early Learning Center (SELC)","=""0491011""","*",50,"*",86
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",771,287,118,1176
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",265,4749,147,5161
"Explorations District","=""2720013""","Explorations","=""2726113""",265,544,24,833
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",158,4132,63,4353
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",56,3073,29,3158
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","*",1159,"*",1222
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",757,13833,279,14869
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","*","*",0,18
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1290,12105,423,13818
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",390,7252,141,7783
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",427,3109,186,3722
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",185,3134,72,3391
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",1077,3075,355,4507
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",129,4212,58,4399
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",131,4386,77,4594
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",103,5024,31,5158
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",124,4159,43,4326
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",561,8079,264,8904
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",139,4431,45,4615
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",101,4684,45,4830
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",642,6470,239,7351
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","*",51,"*",87
"Farmington School District","=""0520011""","East Farms School","=""0520411""",208,4193,33,4434
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*",18,"*",30
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",40,745,6,791
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",913,11820,246,12979
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",443,5835,119,6397
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",234,3182,43,3459
"Farmington School District","=""0520011""","Union School","=""0520111""",344,2655,68,3067
"Farmington School District","=""0520011""","West District School","=""0520311""",210,3098,52,3360
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",443,5832,109,6384
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",217,1722,46,1985
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""",0,"*",0,"*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",254,4747,77,5078
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",34,2994,7,3035
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",308,4731,104,5143
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1278,19342,463,21083
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",107,4507,40,4654
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",145,4435,76,4656
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",21,68,8,97
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","*",43,"*",48
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",21,68,8,97
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""","*",43,"*",48
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",758,3377,225,4360
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",253,5838,93,6184
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","*","*",0,"*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""",0,8,0,8
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""","*","*",0,78
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",0,59,0,59
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",603,9854,194,10651
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",206,3575,35,3816
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",318,6844,134,7296
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",213,3259,84,3556
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",201,3066,36,3303
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",201,3066,36,3303
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",228,2916,82,3226
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",471,127,79,677
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",49,43,8,100
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",546,5454,156,6156
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","*","*",0,22
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",273,3884,101,4258
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",199,7559,95,7853
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",141,3546,99,3786
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",49,43,8,100
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2455,22969,936,26360
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",1494,1885,565,3944
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",165,3469,90,3724
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",807,2501,144,3452
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",936,1159,395,2490
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",125,4502,29,4656
"Greenwich School District","=""0570011""","North Street School","=""0570811""",80,4293,21,4394
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",64,4260,23,4347
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",55,2778,22,2855
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","*",4944,"*",4980
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",1225,3447,439,5111
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",24,"*","*",42
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",2326,5115,529,7970
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",1320,4866,403,6589
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",1491,3297,424,5212
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",681,3244,253,4178
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",1961,1464,293,3717
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",1961,1464,293,3717
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",733,2435,691,3859
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",1668,1537,324,3529
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""",17,116,6,139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",211,229,58,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",552,1158,404,2114
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",811,2047,734,3592
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",33,"*","*",46
"Groton School District","=""0590011""","Noank School","=""0590911""","*",220,"*",240
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",580,2933,170,3683
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",900,1981,358,3239
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",2926,8106,1102,12134
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",422,2699,132,3253
"Groton School District","=""0590011""","Transition Academy","=""0591011""","*","*","*",9
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","*","*",0,"*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",1592,1619,509,3720
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",298,5275,141,5714
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",188,2928,58,3174
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",119,2807,45,2971
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",288,5329,150,5767
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",530,10239,301,11070
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",187,3534,60,3781
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",161,3104,135,3400
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",190,894,49,1133
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",490,3900,190,4580
"Hamden School District","=""0620011""","Church Street School","=""0620211""",2325,883,507,3715
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",995,1827,329,3151
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",132,44,10,186
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",4448,12739,1341,18528
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",2673,5283,706,8662
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""",0,"*",0,"*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","*","*",0,11
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",1534,1226,349,3109
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",1503,1424,319,3246
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",1834,1294,126,3254
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",722,3122,126,3970
"Hamden School District","=""0620011""","West Woods School","=""0621411""",394,4091,155,4640
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",191,1019,52,1262
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",640,577,102,1319
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",4722,320,0,5042
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",4722,320,0,5042
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""",18,0,0,18
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""",18,0,0,18
"Hartford School District","=""0640011""","Autism Program - Dr. James H Naylor / CCSU","=""0645711""",40,17,0,57
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""",18,0,0,18
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","*","*",0,24
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""",18,0,0,18
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""",40,17,0,57
"Hartford School District","=""0640011""","Autism Program - Rawson School","=""0644411""","*","*",0,102
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","*","*",0,102
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""",25,0,0,25
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""",25,0,0,25
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""",18,0,0,18
"Hartford School District","=""0640011""","Barnard-Brown School","=""0640311""",333,0,0,333
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",5062,209,0,5271
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",2682,557,41,3280
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",693,473,31,1197
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",1160,629,93,1882
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",1160,629,93,1882
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",1690,1427,391,3508
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",3436,"*","*",3683
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",6702,"*","*",6906
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",3436,"*","*",3683
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",5429,218,0,5647
"Hartford School District","=""0640011""","Burr School","=""0642311""",6300,222,0,6522
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",100,49,11,160
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",2376,2032,494,4902
"Hartford School District","=""0640011""","Clark School","=""0642411""",3370,61,0,3431
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",2690,3353,727,6770
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",2208,"*","*",2294
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",2208,"*","*",2294
"Hartford School District","=""0640011""","DDP - Simpson-Waverly","=""0649411""","*","*",0,14
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""","*","*",0,14
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",6341,"*","*",6638
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",1806,0,0,1806
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",2682,557,41,3280
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","*","*",0,25
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","*","*",0,31
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","*","*",0,79
"Hartford School District","=""0640011""","EDP - HPHS Engineering and Green Technology Academy","=""0648211""","*","*",0,79
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","*","*",0,97
"Hartford School District","=""0640011""","EDP - M.D. Fox School","=""0645911""","*","*",0,97
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""",14,0,0,14
"Hartford School District","=""0640011""","EDP - West Middle School","=""0644611""","*","*",0,15
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""","*","*",0,47
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",4460,314,10,4784
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",4460,314,10,4784
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",5703,"*","*",6076
"Hartford School District","=""0640011""","Fox Middle School","=""0645111""",624,0,0,624
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",3783,121,0,3904
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",3962,205,17,4184
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",640,577,102,1319
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",2955,"*","*",3079
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",3120,"*","*",3240
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",2955,"*","*",3079
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",912,0,0,912
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",3108,"*","*",3229
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",3120,"*","*",3240
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",4144,3102,692,7938
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""",163,385,16,564
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",3106,"*","*",3108
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",300,"*","*",305
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",192,0,0,192
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",1570,568,77,2215
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",1570,568,77,2215
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","*","*",0,43
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""",3962,205,17,4184
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",1476,198,20,1694
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",6838,255,0,7093
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",6792,"*","*",7342
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""","*","*",0,10
"Hartford School District","=""0640011""","LC - Breakthrough II School","=""0649511""","*","*",0,10
"Hartford School District","=""0640011""","LC - Burns","=""0649611""",11,0,0,11
"Hartford School District","=""0640011""","LC - Burns School","=""0649611""",11,0,0,11
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""","*","*",0,10
"Hartford School District","=""0640011""","LC - Moylan School","=""0649811""","*","*",0,10
"Hartford School District","=""0640011""","Little Owls Learning Center","=""0648011""",29,0,0,29
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",6422,283,0,6705
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",6422,283,0,6705
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",4002,178,0,4180
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",4002,178,0,4180
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","*","*",0,48
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","*","*",0,62
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",87,11,0,98
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","*","*",0,22
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",3408,"*","*",3492
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",3408,"*","*",3492
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",3619,97,0,3716
"Hartford School District","=""0640011""","Milner School","=""0641911""",3619,97,0,3716
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",582,1586,89,2257
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",582,1586,89,2257
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",386,480,67,933
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",6341,"*","*",6638
"Hartford School District","=""0640011""","New Visions Program","=""0642711""",45,6,0,51
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",3180,2610,505,6295
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",568,84,13,665
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",5128,316,0,5444
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",1944,1440,264,3648
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""",1386,0,0,1386
