"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"East Haven School District","=""0440011""","Pathways","=""0449011""",35,46,32,34,36,39,40,0,0,0,262
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",319,292,261,0,0,0,0,0,0,0,872
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",0,0,0,0,0,0,0,16,19,22,57
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1304,1247,1221,1208,1162,1129,1063,1053,1045,1019,11451
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",913,870,843,850,854,871,875,861,848,832,8617
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",399,368,379,365,362,361,354,348,343,363,3642
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",53,50,47,44,51,40,41,46,58,50,480
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",340,366,367,365,338,335,339,314,290,305,3359
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""",0,0,0,0,0,0,0,0,"*","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",241,247,237,229,211,198,190,179,168,169,2069
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",0,0,0,0,0,0,0,16,16,13,45
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",620,600,601,558,532,514,506,480,381,430,5222
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",456,411,376,378,374,362,348,332,324,303,3664
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",400,424,402,393,378,378,345,313,388,303,3724
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""",0,0,0,0,0,0,0,0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",20,65,88,112,126,136,144,141,129,121,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",20,65,88,112,126,136,144,141,129,121,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",44,48,50,67,59,83,95,110,117,128,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",44,48,50,67,59,83,95,110,117,128,801
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",0,34,70,105,110,111,127,160,179,164,1060
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",187,185,170,180,176,168,152,139,134,143,1634
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",377,387,384,396,391,390,351,323,309,318,3626
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",801,769,730,705,666,629,610,612,612,563,6697
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",156,167,173,183,197,216,189,220,213,213,1927
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",23,27,27,34,24,33,40,30,14,6,258
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",156,167,173,183,197,216,189,220,213,213,1927
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",23,27,27,34,24,33,40,30,14,6,258
"Ellington School District","=""0480011""","Center School","=""0480111""",408,429,403,432,448,432,393,376,361,430,4112
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",207,221,221,217,217,210,203,198,201,237,2132
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",770,778,777,791,800,789,797,773,771,778,7824
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",408,390,405,410,421,428,409,434,420,438,4163
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",401,406,414,436,419,422,416,435,446,0,3795
"Ellington School District","=""0480011""","Windermere School","=""0480611""",404,410,447,439,442,433,439,439,430,761,4644
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""",0,0,0,0,0,0,0,0,"*",0,"*"
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",476,509,0,0,0,0,0,0,0,0,985
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",0,0,547,585,600,604,624,635,703,726,5024
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",0,0,0,0,0,0,0,70,113,140,323
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""",0,0,0,0,0,0,0,0,0,76,76
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",0,0,0,0,0,0,0,0,36,50,86
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""",0,0,0,0,0,0,0,6,"*","*",15
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",363,339,343,325,401,359,336,326,323,325,3440
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""",0,0,0,0,0,0,0,0,"*","*","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",387,404,424,418,416,396,384,377,411,397,4014
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",926,893,823,809,744,727,707,709,715,1530,8583
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""",0,0,0,0,0,0,0,6,8,8,22
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",333,348,356,347,300,302,288,286,276,288,3124
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",0,8,"*",10,10,21,15,10,"*",10,95
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1156,1174,1158,1102,1058,988,918,887,861,0,9302
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",282,283,258,234,0,0,0,0,0,0,1057
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",413,405,371,366,366,381,354,360,344,278,3638
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,104,104,104,104,104,104,104,104,104,1040
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,0,0,0,0,0,0,"*","*","*",12
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",429,418,428,397,362,385,340,356,364,381,3860
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",992,923,872,848,1201,1148,1121,1099,1065,1126,10395
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",0,0,0,0,0,0,0,6,6,6,18
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",272,263,259,247,258,222,221,223,222,231,2418
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",0,0,0,0,0,0,0,"*","*",8,19
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",416,435,403,379,433,426,418,389,412,399,4110
"Enfield School District","=""0490011""","Stowe - Early Learning Center (SELC)","=""0491011""",0,0,0,0,0,0,0,0,36,50,86
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",283,299,293,301,0,0,0,0,0,0,1176
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",551,594,593,593,558,528,508,451,417,368,5161
"Explorations District","=""2720013""","Explorations","=""2726113""",86,85,80,80,74,73,83,88,92,92,833
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",445,469,419,420,443,445,453,428,418,413,4353
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",340,322,316,314,291,278,306,319,335,337,3158
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",121,126,135,118,130,132,110,111,112,127,1222
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1380,1392,1452,1503,1537,1552,1509,1541,1508,1495,14869
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""",0,0,0,0,0,0,0,0,0,18,18
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1231,1273,1298,1328,1353,1418,1459,1442,1518,1498,13818
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",597,605,672,668,769,851,926,915,886,894,7783
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",358,350,335,333,352,380,398,407,405,404,3722
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",353,356,352,347,361,334,327,324,320,317,3391
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",462,436,451,490,453,440,458,442,426,449,4507
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",465,470,478,474,459,445,429,413,382,384,4399
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",495,502,478,483,485,454,444,441,415,397,4594
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",519,527,551,538,542,518,526,503,489,445,5158
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",473,478,466,451,419,409,399,398,408,425,4326
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",887,889,966,985,997,940,860,805,802,773,8904
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",453,446,474,442,456,449,457,475,479,484,4615
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",460,542,492,504,511,505,497,460,440,419,4830
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",737,770,773,784,756,744,698,720,685,684,7351
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",0,0,0,0,0,0,0,33,26,28,87
"Farmington School District","=""0520011""","East Farms School","=""0520411""",430,428,438,469,464,435,433,445,443,449,4434
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",0,0,0,0,0,0,0,13,"*","*",30
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",57,72,67,76,69,61,76,78,123,112,791
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1389,1360,1324,1309,1293,1322,1314,1264,1220,1184,12979
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",652,671,686,688,652,610,571,570,623,674,6397
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",330,345,335,346,341,358,338,334,363,369,3459
"Farmington School District","=""0520011""","Union School","=""0520111""",298,295,294,300,307,320,316,305,322,310,3067
"Farmington School District","=""0520011""","West District School","=""0520311""",350,345,350,338,347,365,341,315,300,309,3360
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",687,676,658,603,575,578,620,673,663,651,6384
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",233,225,224,222,204,200,181,167,167,162,1985
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""",0,0,0,0,0,0,0,"*",0,0,"*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",575,575,535,518,545,486,479,450,459,456,5078
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",357,342,318,303,320,319,294,260,256,266,3035
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",551,530,541,506,506,525,509,519,479,477,5143
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2065,2066,2102,2201,2204,2239,2140,2038,2037,1991,21083
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",525,525,532,505,466,471,441,397,400,392,4654
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",542,530,526,502,481,456,438,411,386,384,4656
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",0,0,0,0,0,0,38,16,19,24,97
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""",0,0,0,0,0,0,0,17,15,16,48
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",0,0,0,0,0,0,38,16,19,24,97
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""",0,0,0,0,0,0,0,17,15,16,48
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",481,488,489,497,451,442,413,387,361,351,4360
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",675,664,645,663,646,623,609,550,553,556,6184
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""",0,0,0,0,0,0,0,"*",0,0,"*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""",0,0,0,0,0,0,0,8,0,0,8
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",0,0,0,0,0,0,0,18,30,30,78
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",0,0,0,0,0,0,0,20,19,20,59
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1070,1128,1128,1113,1076,1025,1034,1031,1036,1010,10651
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",497,473,469,423,392,386,390,378,408,0,3816
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",749,737,751,785,756,759,724,683,694,658,7296
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",374,379,354,355,356,329,332,330,312,435,3556
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",363,350,347,330,327,327,316,280,271,392,3303
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",363,350,347,330,327,327,316,280,271,392,3303
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",344,330,354,347,327,303,288,283,261,389,3226
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",0,0,0,0,0,0,0,127,226,324,677
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",0,0,0,0,0,0,0,46,32,22,100
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",713,690,631,621,604,599,595,578,567,558,6156
"Greenwich School District","=""0570011""","Community Connections","=""0571211""",0,0,0,0,0,0,0,10,"*","*",22
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",407,415,417,418,402,434,444,438,437,446,4258
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",725,747,774,793,774,782,779,811,822,846,7853
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",344,283,296,347,385,407,405,424,451,444,3786
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",0,0,0,0,0,0,0,46,32,22,100
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2693,2677,2688,2673,2656,2677,2636,2501,2534,2625,26360
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",377,381,410,416,413,409,386,391,364,397,3944
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",372,375,371,372,366,369,378,370,368,383,3724
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",327,338,343,353,343,344,344,369,361,330,3452
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",229,227,219,243,261,261,264,264,265,257,2490
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",454,457,455,452,461,465,447,487,482,496,4656
"Greenwich School District","=""0570011""","North Street School","=""0570811""",515,497,486,451,438,414,394,384,392,423,4394
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",454,441,445,410,428,425,428,432,449,435,4347
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",332,328,319,292,268,272,265,258,261,260,2855
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",499,517,502,514,522,482,496,497,483,468,4980
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",527,494,490,493,474,504,504,532,535,558,5111
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",0,0,0,0,0,0,0,15,14,13,42
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",906,931,913,726,727,749,786,756,757,719,7970
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",792,766,740,709,652,624,602,571,565,568,6589
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",439,418,407,570,586,585,577,547,545,538,5212
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",376,374,350,359,355,462,449,461,495,497,4178
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",353,419,430,433,410,384,387,378,364,338,3717
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",353,419,430,433,410,384,387,378,364,338,3717
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",367,434,380,384,392,401,385,358,383,375,3859
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",353,369,388,388,334,350,362,356,331,298,3529
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""",139,0,0,0,0,0,0,0,0,0,139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",498,0,0,0,0,0,0,0,0,0,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",455,432,409,411,407,0,0,0,0,0,2114
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",282,326,338,353,373,363,422,396,376,363,3592
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",0,0,0,0,0,0,0,0,22,24,46
"Groton School District","=""0590011""","Noank School","=""0590911""",240,0,0,0,0,0,0,0,0,0,240
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",0,412,437,428,425,403,410,399,379,390,3683
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",429,322,312,302,356,340,294,287,296,301,3239
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",1414,1388,1306,1271,1237,1183,1123,1089,1070,1053,12134
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",317,344,362,347,321,352,333,309,282,286,3253
"Groton School District","=""0590011""","Transition Academy","=""0591011""",0,0,0,0,0,0,0,0,0,9,9
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""",0,0,0,0,0,0,0,0,"*","*","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",293,265,276,248,268,506,480,473,455,456,3720
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",608,574,544,587,585,566,580,534,559,577,5714
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",347,319,321,316,313,332,313,322,302,289,3174
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",307,335,332,335,327,292,287,262,254,240,2971
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",600,604,619,572,551,592,583,559,552,535,5767
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",1154,1138,1115,1113,1131,1070,1067,1076,1083,1123,11070
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",449,438,433,409,389,362,343,329,322,307,3781
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""",350,357,347,346,360,348,337,318,321,316,3400
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",96,91,96,87,89,100,137,150,150,137,1133
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",464,464,457,466,468,463,449,448,456,445,4580
"Hamden School District","=""0620011""","Church Street School","=""0620211""",382,408,411,407,406,370,352,327,333,319,3715
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",377,332,326,309,321,308,309,296,274,299,3151
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",0,0,0,0,0,0,0,72,73,41,186
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",2192,2113,1972,1934,1853,1802,1811,1696,1598,1557,18528
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",913,866,881,900,907,899,865,803,816,812,8662
"Hamden School District","=""0620011""","Hamden Transition Academy","=""0629011""","*",0,0,0,0,0,0,0,0,0,"*"
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""",0,0,0,0,0,0,0,0,0,11,11
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",343,306,299,282,267,288,330,331,316,347,3109
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",348,314,314,341,321,334,299,322,317,336,3246
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",330,323,313,342,337,336,328,320,304,321,3254
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",319,347,358,377,394,429,435,434,445,432,3970
"Hamden School District","=""0620011""","West Woods School","=""0621411""",495,501,512,535,476,461,450,430,408,372,4640
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",166,149,143,140,126,116,111,105,101,105,1262
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",0,0,0,0,0,274,249,256,268,272,1319
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",434,355,328,340,449,556,635,662,649,634,5042
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",434,355,328,340,449,556,635,662,649,634,5042
"Hartford School District","=""0640011""","Autism Program - Burr School","=""0648611""",0,0,0,0,0,0,0,0,9,9,18
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""",0,0,0,0,0,0,0,18,0,0,18
"Hartford School District","=""0640011""","Autism Program - Dr. James H Naylor / CCSU","=""0645711""",0,0,0,0,0,0,0,23,8,26,57
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""",0,0,0,0,0,0,0,7,"*","*",18
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""",0,0,0,0,0,0,0,24,0,0,24
"Hartford School District","=""0640011""","Autism Program - Hooker School","=""0644311""",0,0,0,0,0,0,0,7,"*","*",18
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""",0,0,0,0,0,0,0,23,8,26,57
"Hartford School District","=""0640011""","Autism Program - Rawson School","=""0644411""",0,0,0,0,0,0,0,12,45,45,102
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",0,0,0,0,0,0,0,12,45,45,102
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""",0,0,0,0,0,0,0,0,14,11,25
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly School","=""0649311""",0,0,0,0,0,0,0,0,14,11,25
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""",0,0,0,0,0,0,0,0,9,9,18
"Hartford School District","=""0640011""","Barnard-Brown School","=""0640311""",333,0,0,0,0,0,0,0,0,0,333
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",578,546,568,590,565,520,527,466,478,433,5271
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",403,439,345,311,315,323,278,288,279,299,3280
"Hartford School District","=""0640011""","Betances STEM Magnet School","=""0643811""",0,0,0,0,0,87,173,253,309,375,1197
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",0,102,129,142,171,222,252,318,280,266,1882
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""",0,102,129,142,171,222,252,318,280,266,1882
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",320,342,352,351,355,355,361,357,355,360,3508
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",0,0,570,489,399,407,378,373,379,688,3683
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",1484,1381,766,670,625,586,493,489,412,0,6906
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",0,0,570,489,399,407,378,373,379,688,3683
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",533,534,584,664,596,598,541,581,520,496,5647
"Hartford School District","=""0640011""","Burr School","=""0642311""",537,520,625,706,807,729,708,684,590,616,6522
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",0,0,0,0,0,0,0,47,56,57,160
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",266,271,276,336,521,674,701,672,629,556,4902
"Hartford School District","=""0640011""","Clark School","=""0642411""",442,466,416,381,397,379,369,335,246,0,3431
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",620,697,713,710,714,701,690,702,663,560,6770
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",0,221,265,245,297,244,294,275,285,168,2294
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",0,221,265,245,297,244,294,275,285,168,2294
"Hartford School District","=""0640011""","DDP - Simpson-Waverly","=""0649411""",0,0,0,0,0,0,0,0,"*","*",14
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""",0,0,0,0,0,0,0,0,"*","*",14
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",564,608,702,699,704,723,660,682,660,636,6638
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",447,428,435,293,146,57,0,0,0,0,1806
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",403,439,345,311,315,323,278,288,279,299,3280
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""",0,0,0,0,0,0,0,8,17,0,25
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""",0,0,0,0,0,0,0,"*",15,"*",31
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",0,0,0,0,0,0,0,19,29,31,79
"Hartford School District","=""0640011""","EDP - HPHS Engineering and Green Technology Academy","=""0648211""",0,0,0,0,0,0,0,19,29,31,79
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",0,0,0,0,0,0,0,28,34,35,97
"Hartford School District","=""0640011""","EDP - M.D. Fox School","=""0645911""",0,0,0,0,0,0,0,28,34,35,97
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""",0,0,0,0,0,0,0,"*","*",0,14
"Hartford School District","=""0640011""","EDP - West Middle School","=""0644611""",0,0,0,0,0,0,0,0,0,15,15
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""",0,0,0,0,0,0,0,"*",28,"*",47
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",403,407,345,275,358,570,596,607,613,610,4784
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",403,407,345,275,358,570,596,607,613,610,4784
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",598,537,610,677,749,702,593,577,532,501,6076
"Hartford School District","=""0640011""","Fox Middle School","=""0645111""",461,163,0,0,0,0,0,0,0,0,624
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",437,424,426,443,392,392,354,303,304,429,3904
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",0,208,376,372,417,420,492,621,661,617,4184
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",0,0,0,0,0,274,249,256,268,272,1319
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",0,0,378,394,433,438,414,372,304,346,3079
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",0,0,394,383,378,489,458,393,362,383,3240
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",0,0,378,394,433,438,414,372,304,346,3079
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",0,0,373,318,221,0,0,0,0,0,912
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",0,0,371,378,396,533,481,389,367,314,3229
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",0,0,394,383,378,489,458,393,362,383,3240
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",602,613,611,611,716,820,918,1001,1022,1024,7938
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""",0,0,0,0,0,0,120,144,143,157,564
"Hartford School District","=""0640011""","Hartford Public High School","=""0646211""",1569,1539,0,0,0,0,0,0,0,0,3108
