"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Westport School District","=""1580011""","American Indian or Alaska Native",*,*
"Westport School District","=""1580011""","Asian",*,*
"Westport School District","=""1580011""","Black or African American",*,*
"Westport School District","=""1580011""","Hispanic or Latino",*,*
"Westport School District","=""1580011""","Two or More Races",*,*
"Westport School District","=""1580011""","White",91.9,97.0
"Wethersfield School District","=""1590011""","American Indian or Alaska Native",*,*
"Wethersfield School District","=""1590011""","Asian",*,*
"Wethersfield School District","=""1590011""","Black or African American",*,*
"Wethersfield School District","=""1590011""","Hispanic or Latino",79.5,83.9
"Wethersfield School District","=""1590011""","Two or More Races",*,*
"Wethersfield School District","=""1590011""","White",82.6,94.6
"Wilton School District","=""1610011""","Asian",*,*
"Wilton School District","=""1610011""","Black or African American",*,*
"Wilton School District","=""1610011""","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","Two or More Races",*,*
"Wilton School District","=""1610011""","White",87.6,96.6
"Windham School District","=""1630011""","Asian",*,*
"Windham School District","=""1630011""","Black or African American",*,*
"Windham School District","=""1630011""","Hispanic or Latino",44.0,60.6
"Windham School District","=""1630011""","Two or More Races",*,*
"Windham School District","=""1630011""","White",66.0,85.7
"Windsor School District","=""1640011""","Asian",*,*
"Windsor School District","=""1640011""","Black or African American",80.3,81.0
"Windsor School District","=""1640011""","Hispanic or Latino",60.0,79.2
"Windsor School District","=""1640011""","Two or More Races",*,*
"Windsor School District","=""1640011""","White",79.1,89.7
"Windsor Locks School District","=""1650011""","American Indian or Alaska Native",*,*
"Windsor Locks School District","=""1650011""","Asian",*,*
"Windsor Locks School District","=""1650011""","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","Two or More Races",*,*
"Windsor Locks School District","=""1650011""","White",69.1,84.6
"Wolcott School District","=""1660011""","Asian",*,*
"Wolcott School District","=""1660011""","Black or African American",*,*
"Wolcott School District","=""1660011""","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","Two or More Races",*,*
"Wolcott School District","=""1660011""","White",76.0,90.5
"Regional School District 01","=""2010012""","Asian",*,*
"Regional School District 01","=""2010012""","Black or African American",*,*
"Regional School District 01","=""2010012""","Hispanic or Latino",*,*
"Regional School District 01","=""2010012""","White",65.3,89.4
"Regional School District 04","=""2040012""","Asian",*,*
"Regional School District 04","=""2040012""","Black or African American",*,*
"Regional School District 04","=""2040012""","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","White",77.2,93.7
"Regional School District 05","=""2050012""","Asian",83.7,100.0
"Regional School District 05","=""2050012""","Black or African American",*,*
"Regional School District 05","=""2050012""","Hispanic or Latino",*,*
"Regional School District 05","=""2050012""","Two or More Races",*,*
"Regional School District 05","=""2050012""","White",87.4,95.4
"Regional School District 06","=""2060012""","Native Hawaiian or Other Pacific Islander",*,*
"Regional School District 06","=""2060012""","Two or More Races",*,*
"Regional School District 06","=""2060012""","White",*,*
"Regional School District 07","=""2070012""","Black or African American",*,*
"Regional School District 07","=""2070012""","Hispanic or Latino",*,*
"Regional School District 07","=""2070012""","White",74.6,*
"Regional School District 08","=""2080012""","Asian",*,*
"Regional School District 08","=""2080012""","Black or African American",*,*
"Regional School District 08","=""2080012""","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","Two or More Races",*,*
"Regional School District 08","=""2080012""","White",82.5,95.5
"Regional School District 09","=""2090012""","Asian",*,*
"Regional School District 09","=""2090012""","Black or African American",*,*
"Regional School District 09","=""2090012""","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","Two or More Races",*,*
"Regional School District 09","=""2090012""","White",86.9,96.0
"Regional School District 10","=""2100012""","Asian",*,*
"Regional School District 10","=""2100012""","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","Two or More Races",*,*
"Regional School District 10","=""2100012""","White",81.0,92.4
"Regional School District 11","=""2110012""","Black or African American",*,*
"Regional School District 11","=""2110012""","Hispanic or Latino",*,*
"Regional School District 11","=""2110012""","White",73.3,*
"Regional School District 12","=""2120012""","Asian",*,*
"Regional School District 12","=""2120012""","Black or African American",*,*
"Regional School District 12","=""2120012""","Native Hawaiian or Other Pacific Islander",*,*
"Regional School District 12","=""2120012""","White",*,*
"Regional School District 13","=""2130012""","Black or African American",*,*
"Regional School District 13","=""2130012""","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","Two or More Races",*,*
"Regional School District 13","=""2130012""","White",83.3,95.0
"Regional School District 14","=""2140012""","Asian",*,*
"Regional School District 14","=""2140012""","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","White",81.1,91.4
"Regional School District 15","=""2150012""","American Indian or Alaska Native",*,*
"Regional School District 15","=""2150012""","Asian",*,*
"Regional School District 15","=""2150012""","Black or African American",*,*
"Regional School District 15","=""2150012""","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","White",82.7,90.4
"Regional School District 16","=""2160012""","Black or African American",*,*
"Regional School District 16","=""2160012""","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","White",77.2,88.8
"Regional School District 17","=""2170012""","Asian",*,*
"Regional School District 17","=""2170012""","Black or African American",*,*
"Regional School District 17","=""2170012""","Hispanic or Latino",*,*
"Regional School District 17","=""2170012""","White",84.2,92.3
"Regional School District 18","=""2180012""","Asian",*,*
"Regional School District 18","=""2180012""","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","White",90.9,92.2
"Regional School District 19","=""2190012""","American Indian or Alaska Native",*,*
"Regional School District 19","=""2190012""","Asian",*,*
"Regional School District 19","=""2190012""","Black or African American",*,*
"Regional School District 19","=""2190012""","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","White",69.7,87.9
"Capitol Region Education Council","=""2410014""","American Indian or Alaska Native",*,*
"Capitol Region Education Council","=""2410014""","Asian",*,*
"Capitol Region Education Council","=""2410014""","Black or African American",84.0,79.0
"Capitol Region Education Council","=""2410014""","Hispanic or Latino",73.0,76.1
"Capitol Region Education Council","=""2410014""","Two or More Races",*,*
"Capitol Region Education Council","=""2410014""","White",74.2,83.3
"Education Connection","=""2420014""","White",*,*
"Cooperative Educational Services","=""2430014""","Asian",*,*
"Cooperative Educational Services","=""2430014""","Black or African American",*,*
"Cooperative Educational Services","=""2430014""","Hispanic or Latino",*,*
"Cooperative Educational Services","=""2430014""","White",*,*
"Area Cooperative Educational Services","=""2440014""","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","White",*,*
"Learn","=""2450014""","American Indian or Alaska Native",*,*
"Learn","=""2450014""","Asian",*,*
"Learn","=""2450014""","Black or African American",65.8,80.0
"Learn","=""2450014""","Hispanic or Latino",73.3,68.2
"Learn","=""2450014""","Two or More Races",*,*
"Learn","=""2450014""","White",74.6,80.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","American Indian or Alaska Native",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Black or African American",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Hispanic or Latino",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Two or More Races",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","White",46.7,61.9
"Common Ground High School District","=""2680013""","Black or African American",*,*
"Common Ground High School District","=""2680013""","Hispanic or Latino",*,*
"Common Ground High School District","=""2680013""","White",*,*
"The Bridge Academy District","=""2690013""","Asian",*,*
"The Bridge Academy District","=""2690013""","Black or African American",85.7,*
"The Bridge Academy District","=""2690013""","Hispanic or Latino",*,*
"The Bridge Academy District","=""2690013""","Two or More Races",*,*
"Explorations District","=""2720013""","White",*,*
"Amistad Academy District","=""2790013""","Black or African American",*,*
"Amistad Academy District","=""2790013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","Black or African American",*,*
"Stamford Academy District","=""2820013""","Hispanic or Latino",*,*
"Stamford Academy District","=""2820013""","White",*,*
"Elm City College Preparatory School District","=""2890013""","Black or African American",*,*
"Elm City College Preparatory School District","=""2890013""","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","Black or African American",*,*
"Unified School District #1","=""3360015""","Hispanic or Latino",*,*
"Unified School District #1","=""3360015""","Two or More Races",*,*
"Unified School District #1","=""3360015""","White",*,*
"Department of Mental Health and Addiction Services","=""3370015""","White",*,*
"Unified School District #2","=""3470015""","Black or African American",*,*
"Unified School District #2","=""3470015""","Hispanic or Latino",*,*
"Unified School District #2","=""3470015""","White",*,*
"Connecticut Technical High School System","=""9000016""","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Asian",63.0,*
"Connecticut Technical High School System","=""9000016""","Black or African American",59.1,78.0
"Connecticut Technical High School System","=""9000016""","Hispanic or Latino",53.2,69.5
"Connecticut Technical High School System","=""9000016""","Two or More Races",*,*
"Connecticut Technical High School System","=""9000016""","White",40.0,77.6
"Norwich Free Academy District","=""9010022""","American Indian or Alaska Native",*,*
"Norwich Free Academy District","=""9010022""","Asian",81.4,91.4
"Norwich Free Academy District","=""9010022""","Black or African American",57.6,86.8
"Norwich Free Academy District","=""9010022""","Hispanic or Latino",68.4,76.9
"Norwich Free Academy District","=""9010022""","Native Hawaiian or Other Pacific Islander",*,*
"Norwich Free Academy District","=""9010022""","White",73.2,90.7
"The Gilbert School District","=""9020022""","Asian",*,*
"The Gilbert School District","=""9020022""","Black or African American",*,*
"The Gilbert School District","=""9020022""","Hispanic or Latino",*,*
"The Gilbert School District","=""9020022""","Two or More Races",*,*
"The Gilbert School District","=""9020022""","White",69.5,75.6
"Woodstock Academy District","=""9030022""","American Indian or Alaska Native",*,*
"Woodstock Academy District","=""9030022""","Asian",70.0,95.2
"Woodstock Academy District","=""9030022""","Black or African American",*,*
"Woodstock Academy District","=""9030022""","Hispanic or Latino",*,*
"Woodstock Academy District","=""9030022""","White",79.1,90.8

