"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Farmington School District","=""0520011""","All Grades","Mile Run",80.2,80.9,82.7,82.2,82.5
"Farmington School District","=""0520011""","All Grades","Push Up",74.8,75.9,80.1,76.9,79.7
"Farmington School District","=""0520011""","All Grades","Sit and Reach",82.9,84.6,84.9,84.5,83.6
"Franklin School District","=""0530011""","All Grades","All Tests - District",62.5,60.0,48.2,80.0,66.7
"Franklin School District","=""0530011""","All Grades","Curl Up",78.1,80.0,89.3,92.0,90.2
"Franklin School District","=""0530011""","All Grades","Mile Run",89.1,81.7,71.4,82.0,74.5
"Franklin School District","=""0530011""","All Grades","Push Up",82.8,80.0,75.0,88.0,84.3
"Franklin School District","=""0530011""","All Grades","Sit and Reach",95.3,86.7,60.7,80.0,90.2
"Glastonbury School District","=""0540011""","All Grades","All Tests - District",57.6,56.7,58.7,56.5,50.7
"Glastonbury School District","=""0540011""","All Grades","Curl Up",85.7,88.4,83.9,88.5,85.0
"Glastonbury School District","=""0540011""","All Grades","Mile Run",79.1,83.8,84.7,81.5,80.6
"Glastonbury School District","=""0540011""","All Grades","Push Up",74.9,76.0,80.4,74.2,76.3
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",81.3,80.1,80.7,80.9,72.8
"Granby School District","=""0560011""","All Grades","All Tests - District",61.4,62.4,63.2,59.4,57.8
"Granby School District","=""0560011""","All Grades","Curl Up",87.6,91.2,90.0,87.7,86.7
"Granby School District","=""0560011""","All Grades","Mile Run",88.1,85.3,85.8,85.1,82.2
"Granby School District","=""0560011""","All Grades","Push Up",78.4,75.7,76.9,75.0,75.7
"Granby School District","=""0560011""","All Grades","Sit and Reach",86.7,89.0,87.8,85.7,86.5
"Great Oaks Charter School District","=""2940013""","All Grades","All Tests - District","N/A","N/A","N/A",13.6,33.0
"Great Oaks Charter School District","=""2940013""","All Grades","Curl Up","N/A","N/A","N/A",46.6,79.6
"Great Oaks Charter School District","=""2940013""","All Grades","Mile Run","N/A","N/A","N/A",60.2,53.4
"Great Oaks Charter School District","=""2940013""","All Grades","Push Up","N/A","N/A","N/A",29.7,60.2
"Great Oaks Charter School District","=""2940013""","All Grades","Sit and Reach","N/A","N/A","N/A",59.3,90.3
"Greenwich School District","=""0570011""","All Grades","All Tests - District",67.8,71.2,68.3,70.9,68.3
"Greenwich School District","=""0570011""","All Grades","Curl Up",94.5,94.0,93.0,95.8,94.4
"Greenwich School District","=""0570011""","All Grades","Mile Run",91.2,93.0,93.0,95.6,91.7
"Greenwich School District","=""0570011""","All Grades","Push Up",81.8,85.8,81.0,82.5,81.0
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",82.1,82.2,81.5,82.3,83.0
"Griswold School District","=""0580011""","All Grades","All Tests - District",47.8,46.3,45.2,49.6,51.3
"Griswold School District","=""0580011""","All Grades","Curl Up",87.2,81.2,80.4,80.0,83.6
"Griswold School District","=""0580011""","All Grades","Mile Run",56.6,56.5,58.3,70.8,74.3
"Griswold School District","=""0580011""","All Grades","Push Up",76.5,75.3,72.9,72.0,70.3
"Griswold School District","=""0580011""","All Grades","Sit and Reach",81.3,82.3,77.9,76.8,75.3
"Groton School District","=""0590011""","All Grades","All Tests - District",45.1,48.3,47.5,50.6,41.5
"Groton School District","=""0590011""","All Grades","Curl Up",80.7,84.2,81.3,84.0,80.3
"Groton School District","=""0590011""","All Grades","Mile Run",60.2,64.1,70.0,65.1,59.8
"Groton School District","=""0590011""","All Grades","Push Up",70.6,74.4,72.4,77.7,68.8
"Groton School District","=""0590011""","All Grades","Sit and Reach",84.3,84.4,80.9,84.2,82.4
"Guilford School District","=""0600011""","All Grades","All Tests - District",59.9,71.9,68.6,71.5,71.5
"Guilford School District","=""0600011""","All Grades","Curl Up",88.4,91.3,93.3,94.9,94.4
"Guilford School District","=""0600011""","All Grades","Mile Run",72.1,86.6,86.7,87.8,84.5
"Guilford School District","=""0600011""","All Grades","Push Up",79.9,87.7,87.2,89.0,88.9
"Guilford School District","=""0600011""","All Grades","Sit and Reach",84.5,94.1,84.0,87.0,87.6
"Hamden School District","=""0620011""","All Grades","All Tests - District",51.0,53.7,49.7,53.8,43.3
"Hamden School District","=""0620011""","All Grades","Curl Up",84.2,84.5,78.0,83.9,73.1
"Hamden School District","=""0620011""","All Grades","Mile Run",66.0,67.7,72.9,71.7,65.9
"Hamden School District","=""0620011""","All Grades","Push Up",79.4,78.6,75.4,78.4,69.7
"Hamden School District","=""0620011""","All Grades","Sit and Reach",81.4,84.1,81.3,84.1,78.8
"Hampton School District","=""0630011""","All Grades","All Tests - District",71.8,68.0,62.1,70.4,65.2
"Hampton School District","=""0630011""","All Grades","Curl Up",100.0,72.0,65.5,81.5,100.0
"Hampton School District","=""0630011""","All Grades","Mile Run",74.4,84.0,89.7,77.8,69.6
"Hampton School District","=""0630011""","All Grades","Push Up",84.6,80.0,72.4,100.0,87.0
"Hampton School District","=""0630011""","All Grades","Sit and Reach",87.2,92.0,100.0,96.3,87.0
"Hartford School District","=""0640011""","All Grades","All Tests - District",38.4,39.7,38.2,44.9,45.0
"Hartford School District","=""0640011""","All Grades","Curl Up",76.6,75.4,74.5,78.2,75.5
"Hartford School District","=""0640011""","All Grades","Mile Run",59.8,61.8,63.4,64.4,66.3
"Hartford School District","=""0640011""","All Grades","Push Up",61.7,60.2,62.1,65.0,61.6
"Hartford School District","=""0640011""","All Grades","Sit and Reach",76.1,76.5,78.1,81.5,80.7
"Hartland School District","=""0650011""","All Grades","All Tests - District",65.5,77.5,76.5,81.3,80.7
"Hartland School District","=""0650011""","All Grades","Curl Up",100.0,100.0,100.0,100.0,100.0
"Hartland School District","=""0650011""","All Grades","Mile Run",84.5,91.5,88.2,90.7,93.0
"Hartland School District","=""0650011""","All Grades","Push Up",82.8,85.9,83.8,92.0,87.7
"Hartland School District","=""0650011""","All Grades","Sit and Reach",82.8,93.0,95.6,93.3,93.0
"Hebron School District","=""0670011""","All Grades","All Tests - District",61.0,65.6,64.4,62.8,58.0
"Hebron School District","=""0670011""","All Grades","Curl Up",75.3,82.3,76.7,73.6,71.0
"Hebron School District","=""0670011""","All Grades","Mile Run",73.5,76.5,82.2,80.0,76.9
"Hebron School District","=""0670011""","All Grades","Push Up",89.8,91.2,90.7,83.2,68.5
"Hebron School District","=""0670011""","All Grades","Sit and Reach",100.0,100.0,92.6,96.4,87.0
"Highville Charter School District","=""2860013""","All Grades","All Tests - District",38.2,12.9,31.1,45.2,44.5
"Highville Charter School District","=""2860013""","All Grades","Curl Up",43.8,91.8,90.3,70.4,76.6
"Highville Charter School District","=""2860013""","All Grades","Mile Run",68.5,38.8,60.2,61.7,54.0
"Highville Charter School District","=""2860013""","All Grades","Push Up",51.7,49.4,58.3,81.7,93.4
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",76.4,72.9,70.9,80.0,86.9
"Integrated Day Charter School District","=""2640013""","All Grades","All Tests - District",65.7,66.3,70.3,41.8,29.6
"Integrated Day Charter School District","=""2640013""","All Grades","Curl Up",89.9,94.7,89.1,74.5,69.4
"Integrated Day Charter School District","=""2640013""","All Grades","Mile Run",75.8,84.2,78.2,63.3,61.2
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",83.8,85.3,86.1,61.2,59.2
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",97.0,86.3,96.0,72.4,73.5
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","All Tests - District",28.2,16.8,17.5,21.4,38.5
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Curl Up",87.1,60.8,62.7,66.5,78.2
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Mile Run",36.3,28.0,56.3,41.6,54.7
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",82.3,61.6,36.5,55.5,79.3
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",65.3,49.6,65.1,78.6,77.7
"Jumoke Academy District","=""2610013""","All Grades","All Tests - District",13.5,19.5,8.6,14.8,23.6
"Jumoke Academy District","=""2610013""","All Grades","Curl Up",39.9,44.8,35.5,44.4,62.2
"Jumoke Academy District","=""2610013""","All Grades","Mile Run",39.2,63.8,52.0,45.1,71.6
"Jumoke Academy District","=""2610013""","All Grades","Push Up",52.0,52.3,39.5,47.9,52.0
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",43.9,50.0,34.2,45.1,54.7
"Kent School District","=""0680011""","All Grades","All Tests - District",46.1,48.3,46.6,63.7,45.0
"Kent School District","=""0680011""","All Grades","Curl Up",71.1,78.7,81.8,84.6,81.3
"Kent School District","=""0680011""","All Grades","Mile Run",76.3,70.8,60.2,81.3,70.0
"Kent School District","=""0680011""","All Grades","Push Up",75.0,84.3,69.3,82.4,70.0
"Kent School District","=""0680011""","All Grades","Sit and Reach",72.4,68.5,71.6,79.1,75.0
"Killingly School District","=""0690011""","All Grades","All Tests - District",34.5,24.4,41.6,27.2,29.0
"Killingly School District","=""0690011""","All Grades","Curl Up",80.0,84.1,87.4,83.6,79.3
"Killingly School District","=""0690011""","All Grades","Mile Run",52.6,34.5,55.9,35.7,41.5
"Killingly School District","=""0690011""","All Grades","Push Up",67.6,75.1,75.3,77.2,63.2
"Killingly School District","=""0690011""","All Grades","Sit and Reach",73.0,79.1,81.0,81.4,72.8
"Learn","=""2450014""","All Grades","All Tests - District",35.4,53.6,42.1,43.7,47.3
"Learn","=""2450014""","All Grades","Curl Up",66.7,84.5,83.3,79.1,77.9
"Learn","=""2450014""","All Grades","Mile Run",59.3,76.8,70.2,71.3,70.5
"Learn","=""2450014""","All Grades","Push Up",66.3,76.8,78.2,70.9,75.8
"Learn","=""2450014""","All Grades","Sit and Reach",73.7,77.3,84.1,76.9,85.1
"Lebanon School District","=""0710011""","All Grades","All Tests - District",53.9,56.2,63.2,48.4,59.1
"Lebanon School District","=""0710011""","All Grades","Curl Up",87.2,89.7,93.3,90.4,89.5
"Lebanon School District","=""0710011""","All Grades","Mile Run",76.1,69.0,75.4,71.2,82.6
"Lebanon School District","=""0710011""","All Grades","Push Up",81.0,86.9,87.0,82.4,76.9
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",76.7,84.5,86.7,80.0,89.1
"Ledyard School District","=""0720011""","All Grades","All Tests - District",55.2,62.3,62.4,51.0,48.9
"Ledyard School District","=""0720011""","All Grades","Curl Up",83.4,85.5,85.6,83.0,76.7
"Ledyard School District","=""0720011""","All Grades","Mile Run",72.0,74.5,77.9,72.8,72.2
"Ledyard School District","=""0720011""","All Grades","Push Up",78.6,81.8,77.2,74.2,67.5
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",82.3,88.7,89.9,85.0,82.1
"Lisbon School District","=""0730011""","All Grades","All Tests - District",37.4,31.9,50.4,46.4,61.3
"Lisbon School District","=""0730011""","All Grades","Curl Up",76.1,67.5,88.4,72.9,90.8
"Lisbon School District","=""0730011""","All Grades","Mile Run",74.8,65.1,83.5,72.9,79.8
"Lisbon School District","=""0730011""","All Grades","Push Up",52.3,51.8,58.7,51.4,76.5
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",82.6,87.3,80.2,81.4,92.4
"Litchfield School District","=""0740011""","All Grades","All Tests - District",60.3,69.0,59.5,68.2,57.1
"Litchfield School District","=""0740011""","All Grades","Curl Up",95.1,90.6,92.8,94.2,82.4
"Litchfield School District","=""0740011""","All Grades","Mile Run",72.6,80.6,79.3,83.4,79.1
"Litchfield School District","=""0740011""","All Grades","Push Up",84.0,82.9,82.3,84.1,81.1
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",88.3,90.6,91.3,91.6,82.4
"Madison School District","=""0760011""","All Grades","All Tests - District",64.5,63.6,64.1,64.8,59.6
"Madison School District","=""0760011""","All Grades","Curl Up",91.2,87.9,92.3,92.3,88.9
"Madison School District","=""0760011""","All Grades","Mile Run",81.9,84.1,81.6,83.3,83.8
"Madison School District","=""0760011""","All Grades","Push Up",85.2,82.3,84.2,82.1,76.0
"Madison School District","=""0760011""","All Grades","Sit and Reach",86.7,85.9,87.8,87.9,84.1
"Manchester School District","=""0770011""","All Grades","All Tests - District",52.8,56.5,50.6,47.7,43.8
"Manchester School District","=""0770011""","All Grades","Curl Up",85.5,89.4,85.7,82.1,79.2
"Manchester School District","=""0770011""","All Grades","Mile Run",77.8,76.5,73.6,73.1,70.0
"Manchester School District","=""0770011""","All Grades","Push Up",73.8,74.7,71.7,71.3,65.0
"Manchester School District","=""0770011""","All Grades","Sit and Reach",86.4,84.5,85.7,81.3,81.6
"Mansfield School District","=""0780011""","All Grades","All Tests - District",66.0,68.6,60.9,60.2,57.6
"Mansfield School District","=""0780011""","All Grades","Curl Up",94.6,95.3,93.6,88.8,91.2
"Mansfield School District","=""0780011""","All Grades","Mile Run",81.0,85.7,83.1,79.2,81.7
"Mansfield School District","=""0780011""","All Grades","Push Up",78.6,78.1,74.0,74.7,73.4
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",89.4,87.7,83.4,81.8,80.9
"Marlborough School District","=""0790011""","All Grades","All Tests - District",48.4,44.5,45.9,51.0,45.9
"Marlborough School District","=""0790011""","All Grades","Curl Up",84.2,84.8,79.2,94.8,84.7
"Marlborough School District","=""0790011""","All Grades","Mile Run",75.3,67.0,59.7,68.8,64.1
"Marlborough School District","=""0790011""","All Grades","Push Up",73.2,70.2,89.9,83.3,95.3
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",78.9,82.2,84.3,75.5,77.1
"Meriden School District","=""0800011""","All Grades","All Tests - District",33.3,31.3,34.4,37.8,41.3
"Meriden School District","=""0800011""","All Grades","Curl Up",74.6,74.5,72.6,76.6,77.8
"Meriden School District","=""0800011""","All Grades","Mile Run",58.3,53.3,54.7,55.8,56.7
"Meriden School District","=""0800011""","All Grades","Push Up",59.5,58.4,53.8,61.4,61.1
"Meriden School District","=""0800011""","All Grades","Sit and Reach",79.2,76.8,78.1,77.4,78.4
"Middletown School District","=""0830011""","All Grades","All Tests - District",40.1,38.0,39.9,40.3,43.1
"Middletown School District","=""0830011""","All Grades","Curl Up",74.9,75.3,78.0,79.8,81.2
"Middletown School District","=""0830011""","All Grades","Mile Run",63.7,58.9,67.2,63.7,67.7
"Middletown School District","=""0830011""","All Grades","Push Up",60.5,60.7,64.6,63.5,58.1
"Middletown School District","=""0830011""","All Grades","Sit and Reach",79.7,83.0,82.3,83.2,82.2
"Milford School District","=""0840011""","All Grades","All Tests - District",52.1,49.8,48.4,60.2,60.8
"Milford School District","=""0840011""","All Grades","Curl Up",93.4,93.0,87.4,92.1,92.3
"Milford School District","=""0840011""","All Grades","Mile Run",65.4,67.3,69.8,72.7,72.6
"Milford School District","=""0840011""","All Grades","Push Up",82.7,78.5,76.8,82.1,82.8
"Milford School District","=""0840011""","All Grades","Sit and Reach",81.5,76.7,74.4,84.1,84.0
"Monroe School District","=""0850011""","All Grades","All Tests - District",54.0,57.6,63.3,51.7,60.0
"Monroe School District","=""0850011""","All Grades","Curl Up",91.2,86.7,91.7,89.0,87.9
"Monroe School District","=""0850011""","All Grades","Mile Run",69.8,74.4,80.1,76.3,83.7
"Monroe School District","=""0850011""","All Grades","Push Up",79.9,82.7,81.6,79.8,78.9
"Monroe School District","=""0850011""","All Grades","Sit and Reach",83.8,85.2,86.5,79.6,79.9
"Montville School District","=""0860011""","All Grades","All Tests - District",39.7,37.5,43.0,41.2,44.4
"Montville School District","=""0860011""","All Grades","Curl Up",74.2,75.0,83.1,76.5,81.2
"Montville School District","=""0860011""","All Grades","Mile Run",70.9,69.8,68.0,68.4,68.6
"Montville School District","=""0860011""","All Grades","Push Up",58.0,57.6,65.3,60.7,68.1
"Montville School District","=""0860011""","All Grades","Sit and Reach",80.1,75.7,80.0,81.5,82.2
"Naugatuck School District","=""0880011""","All Grades","All Tests - District",43.6,46.6,46.9,50.8,50.7
"Naugatuck School District","=""0880011""","All Grades","Curl Up",74.9,83.9,83.8,82.0,83.0
"Naugatuck School District","=""0880011""","All Grades","Mile Run",62.9,68.0,69.9,69.5,70.5
"Naugatuck School District","=""0880011""","All Grades","Push Up",67.6,65.5,66.9,70.7,71.7
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",80.4,80.0,83.5,82.1,81.4
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","All Tests - District","N/A","N/A","N/A",50.0,15.6
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Curl Up","N/A","N/A","N/A",80.3,70.3
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Mile Run","N/A","N/A","N/A",84.4,53.1
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Push Up","N/A","N/A","N/A",71.3,45.3
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Sit and Reach","N/A","N/A","N/A",76.2,68.8
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","All Tests - District",16.0,17.1,32.8,"N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Curl Up",69.1,80.3,75.0,"N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Mile Run",64.9,50.4,61.2,"N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Push Up",35.1,64.1,62.1,"N/A","N/A"
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Sit and Reach",63.8,38.5,73.3,"N/A","N/A"
"New Britain School District","=""0890011""","All Grades","All Tests - District",30.2,34.5,36.5,39.4,40.7
"New Britain School District","=""0890011""","All Grades","Curl Up",64.1,70.2,73.2,75.9,74.1
"New Britain School District","=""0890011""","All Grades","Mile Run",49.7,49.9,61.1,63.9,64.6
"New Britain School District","=""0890011""","All Grades","Push Up",54.2,57.0,60.0,62.5,65.3
"New Britain School District","=""0890011""","All Grades","Sit and Reach",75.3,75.6,76.4,77.3,79.7
"New Canaan School District","=""0900011""","All Grades","All Tests - District",74.1,78.8,81.2,76.4,80.9
"New Canaan School District","=""0900011""","All Grades","Curl Up",95.1,95.9,96.9,94.2,93.5
"New Canaan School District","=""0900011""","All Grades","Mile Run",87.4,91.2,93.4,90.8,89.7
"New Canaan School District","=""0900011""","All Grades","Push Up",91.8,91.8,93.0,91.6,91.1
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",89.6,90.9,92.0,88.7,90.0
"New Fairfield School District","=""0910011""","All Grades","All Tests - District",58.4,65.5,57.3,52.0,52.8
"New Fairfield School District","=""0910011""","All Grades","Curl Up",91.9,95.4,90.5,91.5,88.9
"New Fairfield School District","=""0910011""","All Grades","Mile Run",75.5,75.6,72.5,72.7,71.8
"New Fairfield School District","=""0910011""","All Grades","Push Up",89.4,88.9,85.1,71.5,78.6
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",81.1,86.9,83.0,84.2,86.6
"New Hartford School District","=""0920011""","All Grades","All Tests - District",48.3,66.7,60.6,67.8,59.9
"New Hartford School District","=""0920011""","All Grades","Curl Up",93.8,97.6,94.5,90.6,93.9
"New Hartford School District","=""0920011""","All Grades","Mile Run",94.3,97.6,97.0,96.6,96.6
"New Hartford School District","=""0920011""","All Grades","Push Up",63.6,81.5,75.2,79.9,76.9
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",71.6,76.8,78.8,83.9,75.5
"New Haven School District","=""0930011""","All Grades","All Tests - District",37.3,41.2,37.2,39.6,36.6
"New Haven School District","=""0930011""","All Grades","Curl Up",75.6,77.2,82.0,80.3,77.9
"New Haven School District","=""0930011""","All Grades","Mile Run",64.7,66.0,64.1,63.2,65.2
"New Haven School District","=""0930011""","All Grades","Push Up",59.1,64.7,60.4,64.5,58.9
"New Haven School District","=""0930011""","All Grades","Sit and Reach",76.1,76.5,74.4,75.1,73.5
"New London School District","=""0950011""","All Grades","All Tests - District",21.3,26.8,28.3,31.4,32.9
"New London School District","=""0950011""","All Grades","Curl Up",68.6,73.4,71.2,71.2,58.4
"New London School District","=""0950011""","All Grades","Mile Run",49.6,59.1,59.9,65.4,58.9
"New London School District","=""0950011""","All Grades","Push Up",53.4,56.4,58.0,56.5,55.6
"New London School District","=""0950011""","All Grades","Sit and Reach",61.5,62.6,67.6,71.9,79.6
"New Milford School District","=""0960011""","All Grades","All Tests - District",42.2,35.2,41.7,41.3,36.8
"New Milford School District","=""0960011""","All Grades","Curl Up",81.5,75.1,75.7,78.8,72.9
"New Milford School District","=""0960011""","All Grades","Mile Run",63.6,63.7,69.5,69.0,59.2
"New Milford School District","=""0960011""","All Grades","Push Up",65.6,56.3,61.8,63.5,61.7
"New Milford School District","=""0960011""","All Grades","Sit and Reach",76.3,72.3,76.1,70.0,69.2
"Newington School District","=""0940011""","All Grades","All Tests - District",51.5,51.5,52.2,50.2,50.1
"Newington School District","=""0940011""","All Grades","Curl Up",90.6,91.5,90.0,86.0,84.7
"Newington School District","=""0940011""","All Grades","Mile Run",78.8,77.3,79.6,81.6,79.3
"Newington School District","=""0940011""","All Grades","Push Up",65.7,68.1,67.6,64.5,65.9
"Newington School District","=""0940011""","All Grades","Sit and Reach",80.9,83.0,82.5,81.7,83.1
"Newtown School District","=""0970011""","All Grades","All Tests - District",73.8,73.8,72.0,73.2,73.8
"Newtown School District","=""0970011""","All Grades","Curl Up",91.0,95.3,94.9,94.0,95.4
"Newtown School District","=""0970011""","All Grades","Mile Run",87.1,86.1,85.1,87.4,84.1
"Newtown School District","=""0970011""","All Grades","Push Up",89.9,86.6,86.7,84.9,86.5
"Newtown School District","=""0970011""","All Grades","Sit and Reach",90.2,89.8,89.4,91.0,89.6
"Norfolk School District","=""0980011""","All Grades","All Tests - District",39.3,57.9,29.4,69.2,41.2
"Norfolk School District","=""0980011""","All Grades","Curl Up",96.4,97.4,70.6,96.2,97.1
"Norfolk School District","=""0980011""","All Grades","Mile Run",57.1,60.5,64.7,76.9,55.9
"Norfolk School District","=""0980011""","All Grades","Push Up",60.7,81.6,47.1,76.9,73.5
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",92.9,84.2,82.4,92.3,85.3
"North Branford School District","=""0990011""","All Grades","All Tests - District",56.4,66.0,62.0,55.0,51.8
"North Branford School District","=""0990011""","All Grades","Curl Up",89.4,92.8,91.4,85.5,83.1
"North Branford School District","=""0990011""","All Grades","Mile Run",67.8,73.5,72.8,69.1,62.8
"North Branford School District","=""0990011""","All Grades","Push Up",83.5,88.2,84.9,77.1,75.4
"North Branford School District","=""0990011""","All Grades","Sit and Reach",83.5,88.9,87.7,89.7,88.5
"North Canaan School District","=""1000011""","All Grades","All Tests - District",33.7,40.4,38.6,32.2,42.5
"North Canaan School District","=""1000011""","All Grades","Curl Up",89.9,88.1,91.6,54.0,83.6
"North Canaan School District","=""1000011""","All Grades","Mile Run",49.4,57.8,59.0,92.0,54.8
"North Canaan School District","=""1000011""","All Grades","Push Up",51.7,50.5,53.0,42.5,65.8
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",91.0,92.7,80.7,87.4,93.2
"North Haven School District","=""1010011""","All Grades","All Tests - District",52.9,57.4,53.5,52.6,55.3
"North Haven School District","=""1010011""","All Grades","Curl Up",87.2,85.0,85.8,79.3,79.1
"North Haven School District","=""1010011""","All Grades","Mile Run",71.1,83.2,74.4,78.0,89.7
"North Haven School District","=""1010011""","All Grades","Push Up",74.3,75.2,71.1,70.2,73.8
"North Haven School District","=""1010011""","All Grades","Sit and Reach",85.5,90.0,91.6,90.8,82.3
"North Stonington School District","=""1020011""","All Grades","All Tests - District",47.8,47.3,46.0,46.5,46.9
"North Stonington School District","=""1020011""","All Grades","Curl Up",93.6,95.9,86.5,93.0,91.8
"North Stonington School District","=""1020011""","All Grades","Mile Run",55.7,63.2,65.0,63.8,60.3
"North Stonington School District","=""1020011""","All Grades","Push Up",79.3,76.4,64.5,70.9,72.2
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",81.8,85.9,81.5,85.0,80.9
"Norwalk School District","=""1030011""","All Grades","All Tests - District",49.4,49.5,51.5,50.9,47.1
"Norwalk School District","=""1030011""","All Grades","Curl Up",85.0,82.7,86.8,85.0,84.3
"Norwalk School District","=""1030011""","All Grades","Mile Run",69.7,68.5,70.8,70.7,69.2
"Norwalk School District","=""1030011""","All Grades","Push Up",73.2,73.1,74.2,73.4,71.7
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",79.4,80.6,80.5,83.2,78.8
"Norwich Free Academy District","=""9010022""","All Grades","All Tests - District",42.2,42.8,42.9,43.5,42.4
"Norwich Free Academy District","=""9010022""","All Grades","Curl Up",79.8,84.5,85.1,83.1,82.1
"Norwich Free Academy District","=""9010022""","All Grades","Mile Run",51.6,50.9,56.5,54.8,55.0
"Norwich Free Academy District","=""9010022""","All Grades","Push Up",71.2,70.1,66.1,67.9,71.7
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",83.7,84.1,88.3,81.4,88.6
"Norwich School District","=""1040011""","All Grades","All Tests - District",35.6,35.0,31.8,30.1,33.7
"Norwich School District","=""1040011""","All Grades","Curl Up",82.5,76.7,76.0,75.2,82.5
"Norwich School District","=""1040011""","All Grades","Mile Run",56.7,57.4,53.2,54.1,54.2
"Norwich School District","=""1040011""","All Grades","Push Up",62.3,62.0,57.2,58.7,64.5
"Norwich School District","=""1040011""","All Grades","Sit and Reach",77.1,73.1,78.6,68.2,75.4
"Odyssey Community School District","=""2630013""","All Grades","All Tests - District",17.1,37.9,37.1,38.5,40.0
"Odyssey Community School District","=""2630013""","All Grades","Curl Up",58.1,86.3,84.8,59.4,92.4
"Odyssey Community School District","=""2630013""","All Grades","Mile Run",33.3,50.5,59.0,53.1,47.6
"Odyssey Community School District","=""2630013""","All Grades","Push Up",46.7,68.4,51.4,60.4,80.0
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",69.5,85.3,90.5,88.5,90.5
"Old Saybrook School District","=""1060011""","All Grades","All Tests - District",60.4,59.6,62.9,60.8,63.8
"Old Saybrook School District","=""1060011""","All Grades","Curl Up",85.3,90.2,90.9,89.6,88.9
"Old Saybrook School District","=""1060011""","All Grades","Mile Run",80.5,80.6,82.7,79.0,82.1
"Old Saybrook School District","=""1060011""","All Grades","Push Up",75.3,75.1,77.8,80.3,84.9
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",85.1,81.1,86.0,84.2,85.6
"Orange School District","=""1070011""","All Grades","All Tests - District",55.0,58.1,54.8,52.6,47.9
"Orange School District","=""1070011""","All Grades","Curl Up",81.0,84.4,82.9,73.4,73.1
"Orange School District","=""1070011""","All Grades","Mile Run",76.9,78.5,79.9,79.8,80.3
"Orange School District","=""1070011""","All Grades","Push Up",66.0,70.9,67.9,69.3,68.1
"Orange School District","=""1070011""","All Grades","Sit and Reach",81.0,82.7,89.0,85.4,79.8
"Oxford School District","=""1080011""","All Grades","All Tests - District",57.4,47.7,48.5,44.0,38.6
"Oxford School District","=""1080011""","All Grades","Curl Up",91.7,92.4,93.9,88.1,80.2
"Oxford School District","=""1080011""","All Grades","Mile Run",82.4,78.4,70.2,78.2,71.7
"Oxford School District","=""1080011""","All Grades","Push Up",82.4,77.8,74.3,71.1,67.6
"Oxford School District","=""1080011""","All Grades","Sit and Reach",81.1,74.8,78.5,72.2,62.4
"Park City Prep Charter School District","=""2830013""","All Grades","All Tests - District",11.5,7.4,28.0,26.0,19.2
"Park City Prep Charter School District","=""2830013""","All Grades","Curl Up",73.8,59.9,64.3,81.1,83.8
"Park City Prep Charter School District","=""2830013""","All Grades","Mile Run",16.4,16.7,61.1,33.1,31.7
