"Chronic Absenteeism, 2013-14"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Race/Ethnicity","% Chronically Absent"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Two or More Races","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","White",2.9
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","American Indian or Alaska Native","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Asian","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Black or African American","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Hispanic/Latino of any race","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Two or More Races","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","White",6.3
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Hispanic/Latino of any race","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Two or More Races","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","White","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Asian","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Black or African American","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Hispanic/Latino of any race",0.0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Two or More Races","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","White",0.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Asian","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Black or African American","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Hispanic/Latino of any race",22.9
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Two or More Races","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","White","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Asian","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Black or African American",8.5
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Hispanic/Latino of any race",13.6
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","White","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Black or African American",12.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Hispanic/Latino of any race",15.5
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","White","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Asian","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Black or African American",14.6
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Hispanic/Latino of any race",11.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","White",14.2
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Black or African American",30.2
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Hispanic/Latino of any race",30.7
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","White",34.3
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Black or African American",20.4
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Hispanic/Latino of any race",19.3
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Native Hawaiian or Other Pacific Islander","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Two or More Races",30.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","White",19.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Hispanic/Latino of any race",25.8
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Native Hawaiian or Other Pacific Islander","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","White",19.8
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Asian","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Hispanic/Latino of any race",12.9
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","White",13.3
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Asian","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Hispanic/Latino of any race","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","White",13.8
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Hispanic/Latino of any race",6.6
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","White",11.4
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Hispanic/Latino of any race",18.7
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","White",9.7
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Black or African American",0.0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Hispanic/Latino of any race","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Native Hawaiian or Other Pacific Islander","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","White",5.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Hispanic/Latino of any race",12.8
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","White",13.9
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Hispanic/Latino of any race",7.7
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","White",10.2
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Hispanic/Latino of any race",18.5
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","White",10.1
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Asian","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Black or African American",10.5
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Hispanic/Latino of any race",7.7
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Native Hawaiian or Other Pacific Islander","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","White",6.7
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","American Indian or Alaska Native","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Asian","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Black or African American","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Hispanic/Latino of any race","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Native Hawaiian or Other Pacific Islander","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Two or More Races","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","White",10.3
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Asian","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Black or African American","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Hispanic/Latino of any race","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","White",14.0
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Asian","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Black or African American","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Hispanic/Latino of any race","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Two or More Races","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","White","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","Black or African American","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","Hispanic/Latino of any race","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","White","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Asian","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Black or African American",4.3
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Hispanic/Latino of any race",6.3
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Two or More Races","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","White","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","American Indian or Alaska Native","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Asian","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Black or African American",28.0
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Hispanic/Latino of any race",47.2
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Two or More Races","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","White",39.3
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Asian","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Black or African American","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Hispanic/Latino of any race","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Two or More Races","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","White","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","American Indian or Alaska Native","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Asian","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Black or African American","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Hispanic/Latino of any race","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Two or More Races","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","White",6.1
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Asian","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Black or African American","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Hispanic/Latino of any race","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Two or More Races","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","White","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Asian","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Black or African American","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Hispanic/Latino of any race","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Two or More Races","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","White",7.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","American Indian or Alaska Native","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Asian","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Black or African American","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Hispanic/Latino of any race","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Two or More Races","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","White","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","American Indian or Alaska Native","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Asian","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Black or African American","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Hispanic/Latino of any race",20.0
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Two or More Races","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","White",10.9
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","American Indian or Alaska Native","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Asian","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Black or African American","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Hispanic/Latino of any race","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Two or More Races","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","White",3.5
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","American Indian or Alaska Native","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Asian","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Black or African American","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Hispanic/Latino of any race","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Native Hawaiian or Other Pacific Islander","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Two or More Races","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","White","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Asian",0.0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Black or African American","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Hispanic/Latino of any race","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Two or More Races","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","White",1.6
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Black or African American","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Hispanic/Latino of any race",23.7
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Two or More Races","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","White","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Asian","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Black or African American","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Hispanic/Latino of any race",6.4
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Two or More Races","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","White",6.9
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Asian","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Black or African American",5.9
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Hispanic/Latino of any race",6.0
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Native Hawaiian or Other Pacific Islander","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Two or More Races","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","White",4.4
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Asian","*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Black or African American","*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Hispanic/Latino of any race",3.3
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Two or More Races",0.0
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","White","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Asian","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Black or African American","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Hispanic/Latino of any race","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Two or More Races","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","White","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Asian",12.2
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Black or African American","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Hispanic/Latino of any race",5.5
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Native Hawaiian or Other Pacific Islander","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Two or More Races","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","White",12.7
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Asian","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Black or African American","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Hispanic/Latino of any race",9.3
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Two or More Races","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","White",5.1
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","American Indian or Alaska Native","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Asian",0.0
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Black or African American","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Hispanic/Latino of any race","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Two or More Races","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","White",4.9
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Asian","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Black or African American","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Hispanic/Latino of any race",8.6
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Native Hawaiian or Other Pacific Islander","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Two or More Races","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","White",3.8
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Asian","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Black or African American",0.0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Hispanic/Latino of any race",4.6
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Two or More Races","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","White",10.7
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Asian","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Black or African American","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Hispanic/Latino of any race",6.2
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Two or More Races","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","White",5.7
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","American Indian or Alaska Native","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Asian","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Black or African American","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Hispanic/Latino of any race",9.0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Two or More Races","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","White",6.1
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","American Indian or Alaska Native","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Asian","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Black or African American",13.4
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Hispanic/Latino of any race",8.4
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Native Hawaiian or Other Pacific Islander","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Two or More Races","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","White",7.0
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Asian","*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Black or African American","*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Hispanic/Latino of any race",5.7
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Two or More Races","*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","White",5.7
"Danbury School District","=""0340011""","South Street School","=""0341011""","Asian","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Black or African American","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Hispanic/Latino of any race",5.6
"Danbury School District","=""0340011""","South Street School","=""0341011""","Two or More Races","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","White","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Asian",0.0
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Black or African American","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Hispanic/Latino of any race","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Native Hawaiian or Other Pacific Islander","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Two or More Races","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","White",8.0
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","American Indian or Alaska Native","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Asian","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Black or African American",0.0
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Hispanic/Latino of any race",0.0
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Two or More Races","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","White","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","American Indian or Alaska Native","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Asian","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Black or African American","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Hispanic/Latino of any race","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Two or More Races","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","White",4.5
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Asian","*"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Black or African American","*"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Hispanic/Latino of any race",0.0
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Two or More Races","*"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","White","*"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","Asian",0.0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","Black or African American","*"
