"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Asian","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Eligible For Free Lunch","*","*","*","*",24.1
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Female","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Grade   1","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Grade   2","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Grade   3","*",0.0,0.0,"*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Grade   4","*",0.0,"*",0.0,"*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Hispanic/Latino of any race","*",0.0,0.0,"*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Male","*","*","*",3.6,7.5
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Non-ELL",2.9,"*",2.0,3.2,5.5
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Non-Special Education",2.4,"*",2.5,3.2,4.8
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","School",3.1,"*",2.6,3.1,5.6
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Special Education","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Two or More Races","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Not Eligible For Lunch",2.0,"*","*",2.1,3.3
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","White",2.7,"*",2.8,2.7,4.9
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Kindergarten","*","*","*","*",0.0
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Asian","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Eligible For Free Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Female",5.1,"*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Grade   1","*","*",0.0,0.0,"*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Grade   2","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Grade   3","*","*","*",0.0,"*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Grade   4","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Hispanic/Latino of any race","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Male","*",3.9,"*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","N/A"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Non-ELL",3.4,3.5,2.5,"*",2.8
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Non-Special Education",3.3,3.7,2.7,"*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","School",3.6,3.4,2.4,"*",2.7
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Special Education","*",0.0,0.0,"*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Two or More Races","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Not Eligible For Lunch",3.5,3.3,2.6,"*",2.5
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","White",3.7,3.1,2.8,"*",2.7
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Asian","*",0.0,0.0,"*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Eligible For Free Lunch",20.0,25.0,25.8,"*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Female",6.5,7.9,7.3,5.9,4.3
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Grade   7",7.7,8.9,4.3,6.0,4.6
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Grade   8",8.3,8.4,8.4,4.3,7.6
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Hispanic/Latino of any race","*","*","*","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Male",9.1,9.3,5.6,4.4,8.1
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Non-ELL",7.8,8.6,6.3,5.2,6.0
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Non-Special Education",6.6,7.0,5.5,4.0,5.5
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","School",8.0,8.6,6.5,5.2,6.2
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Special Education",17.9,20.0,13.2,13.8,10.8
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Two or More Races","*","*","*","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Not Eligible For Lunch",7.1,7.3,5.4,4.9,6.0
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","White",8.7,8.6,6.4,4.9,6.5
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","American Indian or Alaska Native","*","*","*","N/A","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Asian","*","*","*","*",0.0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Eligible For Free Lunch",21.3,30.6,16.2,13.7,"*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Female",8.0,10.9,8.2,6.8,4.9
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Hispanic/Latino of any race","*",14.0,17.0,12.5,"*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Male",11.4,11.2,7.4,6.0,3.1
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-ELL",9.7,11.0,7.8,6.3,4.0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-Special Education",7.8,10.0,6.7,5.2,2.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","School",9.7,11.0,7.8,6.4,4.0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Special Education",26.8,21.2,17.6,15.4,13.2
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Two or More Races","*","*","*",0.0,"*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Grade   9",7.9,7.2,5.8,5.5,2.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Grade 10",8.4,9.4,6.2,4.9,4.4
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Grade 11",7.7,8.6,5.6,5.8,3.4
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Not Eligible For Lunch",8.7,9.8,6.8,6.1,3.7
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","White",10.1,10.8,7.5,6.4,3.7
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Grade 12",14.6,18.7,13.5,9.3,5.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Eligible For Reduced Lunch",20.0,18.8,16.7,"*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Kindergarten","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","American Indian or Alaska Native","*","*","*","*","N/A"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Asian","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Eligible For Free Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Female","*","*",4.4,"*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Grade   1","*",0.0,"*","*",0.0
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Grade   2","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Grade   3","*","*",9.3,"*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Grade   4","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Hispanic/Latino of any race","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Male","*",6.0,8.4,5.2,"*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Non-ELL",2.8,3.7,6.4,3.1,2.1
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Non-Special Education",2.3,4.3,6.3,3.3,"*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","School",2.7,4.5,6.3,3.4,2.4
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Special Education","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Two or More Races","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Not Eligible For Lunch",2.6,3.3,6.6,2.9,"*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","White",2.7,3.4,5.4,"*",2.5
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Kindergarten","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Asian","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Black or African American","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Eligible For Free Lunch","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Female",4.7,3.6,3.7,"*",3.7
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Grade   1","*","*",8.6,0.0,"*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Grade   2","*","*","*","*",0.0
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Grade   3","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Grade   4","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Hispanic/Latino of any race",0.0,"*",0.0,0.0,"*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Male","*",4.4,4.0,"*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Non-ELL",3.4,4.1,3.9,3.2,2.9
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Non-Special Education",2.4,3.1,2.9,2.4,3.1
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","School",3.3,4.0,3.8,3.2,3.2
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Special Education","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Two or More Races","*","*","*","*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Not Eligible For Lunch",3.0,3.8,3.6,2.8,2.5
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","White",3.4,3.8,4.3,3.8,2.2
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Kindergarten","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Asian","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Black or African American","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Eligible For Free Lunch","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Female","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Grade   1","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Grade   2","N/A","N/A","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Grade   3","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Grade   4","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Hispanic/Latino of any race","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Male","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Non-ELL","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","School","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Special Education","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Two or More Races","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Not Eligible For Lunch","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","White","N/A","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Eligible For Reduced Lunch","N/A","N/A","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Kindergarten","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Asian","*","*","*",0.0,0.0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Black or African American","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Eligible For Free Lunch","*","*","*",13.8,12.3
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Female",3.8,3.4,4.0,3.0,6.0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   1","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   2","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   3","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   4","*",10.5,"*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   5","*","*","*",0.0,"*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Grade   6",7.2,"*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Hispanic/Latino of any race","*","*","*","*",10.8
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Male",4.7,4.8,5.8,4.6,4.9
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Non-ELL",4.3,4.0,5.0,3.2,5.0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Non-Special Education",3.7,3.8,5.3,3.1,3.7
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","School",4.2,4.1,4.9,3.8,5.4
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Special Education","*","*","*","*",13.8
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Not Eligible For Lunch",3.7,4.3,4.3,2.2,3.9
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","White",3.9,2.7,5.4,2.6,3.8
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Kindergarten",17.2,"*",14.9,19.0,17.5
"Hamden School District","=""0620011""","Church Street School","=""0620211""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Asian","*","*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Black or African American",14.1,12.9,13.1,6.3,7.9
"Hamden School District","=""0620011""","Church Street School","=""0620211""","ELL","*","*","*","*",16.7
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Eligible For Free Lunch",18.4,17.4,13.0,14.9,12.2
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Female",14.2,11.2,13.0,9.2,9.5
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   1",14.0,19.7,"*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   2",17.0,10.9,15.1,14.3,"*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   3","*",12.2,"*",11.8,"*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   4",11.9,12.5,"*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   5","*",16.1,"*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Grade   6",22.4,"*",14.3,14.6,14.3
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Hispanic/Latino of any race",18.9,17.4,11.0,23.9,14.3
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Male",14.1,14.8,11.6,16.0,11.5
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Non-ELL",15.0,13.5,12.8,12.8,9.5
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Non-Special Education",14.5,12.6,12.8,11.1,9.2
"Hamden School District","=""0620011""","Church Street School","=""0620211""","School",14.1,13.0,12.3,12.6,10.5
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Special Education","*",16.2,"*",17.3,13.8
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Not Eligible For Lunch","*","*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","White",11.6,"*",15.9,"*",14.3
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Eligible For Reduced Lunch",12.8,0.0,"*","*",15.4
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Kindergarten","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Asian","*","*","*","*",0.0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Black or African American",9.2,10.0,"*",7.8,8.2
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Eligible For Free Lunch",15.5,19.8,9.5,12.7,13.8
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Female",9.5,11.1,6.5,9.1,9.5
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   1","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   2","*",12.1,"*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   3","*",16.2,"*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   4","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   5",17.0,"*","*",13.3,"*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Grade   6","*",18.0,"*","*",19.5
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Hispanic/Latino of any race","*",14.9,"*","*",10.2
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Male",7.9,12.7,5.4,6.7,5.2
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Non-ELL",8.6,11.8,5.9,8.3,6.5
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Non-Special Education",7.0,10.6,3.3,6.5,6.6
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","School",8.7,11.9,6.0,7.8,7.1
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Special Education",17.6,17.9,17.9,13.3,"*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Two or More Races","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Not Eligible For Lunch",5.8,8.0,4.4,"*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","White",7.6,14.5,7.3,9.6,"*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Eligible For Reduced Lunch","*","*",0.0,"*",0.0
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Black or African American","N/A","N/A","N/A",68.8,90.2
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Eligible For Free Lunch","N/A","N/A","N/A",78.7,85.1
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Female","N/A","N/A","N/A",81.8,"*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade   7","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade   8","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Male","N/A","N/A","N/A",79.6,90.2
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Non-ELL","N/A","N/A","N/A",80.3,90.0
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Non-Special Education","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","School","N/A","N/A","N/A",80.3,90.0
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Special Education","N/A","N/A","N/A",78.8,89.1
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Two or More Races","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade   9","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade 10","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade 11","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Not Eligible For Lunch","N/A","N/A","N/A",90.0,"*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","White","N/A","N/A","N/A",87.0,"*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Grade 12","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","American Indian or Alaska Native","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Asian",12.6,9.8,11.7,8.7,20.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Black or African American",21.2,27.1,23.7,24.0,37.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","ELL","*",17.1,22.0,25.0,"*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Eligible For Free Lunch",30.6,38.8,34.4,37.7,47.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Female",19.2,23.0,21.8,27.4,37.1
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Hispanic/Latino of any race",21.4,25.1,26.8,26.6,40.8
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Male",19.2,24.2,21.5,19.4,31.9
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","N/A"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-ELL",19.3,23.8,21.7,23.2,34.1
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-Special Education",18.2,21.8,20.3,21.2,32.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","School",19.2,23.7,21.7,23.2,34.4
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Special Education",26.7,36.6,30.3,35.5,45.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Two or More Races","*","*",18.4,"*",20.0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Grade   9",19.4,20.4,14.9,19.3,24.1
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Grade 10",16.1,22.2,21.3,17.1,26.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Grade 11",20.4,20.1,23.6,22.3,32.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Not Eligible For Lunch",14.8,17.5,15.9,17.0,29.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","White",17.8,22.0,19.4,23.9,33.1
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Grade 12",21.1,32.3,27.3,33.8,52.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Eligible For Reduced Lunch",18.6,25.9,25.5,22.7,31.7
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Asian",12.9,"*",11.7,"*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Black or African American",16.1,15.5,22.1,12.0,22.1
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","ELL","*","*","*",20.6,24.2
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Eligible For Free Lunch",23.7,24.3,35.9,22.8,31.1
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Female",12.1,15.4,17.1,13.8,15.6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Grade   7",11.5,15.4,15.9,12.9,13.6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Grade   8",17.6,16.8,20.3,12.8,18.6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Hispanic/Latino of any race",14.9,19.0,22.1,19.7,19.0
