"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Male","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Female",5.3
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Male",10.6
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Female",4.2
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Male",4.1
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Female",20.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Male",14.2
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Female","*"
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Male","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Female",5.7
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Male",14.7
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Female","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Male","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Female",13.8
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Male",12.8
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Female",5.9
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Male",9.2
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Male","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Female",8.4
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Male",9.2
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Female",14.3
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Male",17.2
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Female","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Female",8.8
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Male",7.3
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Female","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Male","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Female",6.6
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Male",3.6
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Female","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Male","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Female",28.8
"Explorations District","=""2720013""","Explorations","=""2726113""","Male",27.6
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Female","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Male","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Female","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Male","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Female",5.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Male",3.8
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Female",4.6
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Male",3.9
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Female",3.2
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Male",2.1
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Female","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Male","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Female","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Male","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Female",5.1
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Male",2.8
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Female","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Male","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Female","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Male","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Female","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Male","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Female","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Male","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Female",6.3
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Male",4.9
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Female","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Male","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Female","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Male","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Female",3.9
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Male",4.2
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Female","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Male","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Female","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Male","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Female","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Male","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Female",10.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Male",10.9
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Female","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Male","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Female",3.6
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Male",4.1
"Farmington School District","=""0520011""","Union School","=""0520111""","Female","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Male","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Female","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Male","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Female",2.8
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Male",3.4
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Female","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Male","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Female","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Male","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Female",3.0
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Male",4.4
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Female","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Male","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Female","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Male","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Female",3.5
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Male",4.7
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Female","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Male","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Female","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Male","*"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Female","*"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Male","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Female","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Male","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Female","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Male","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Female","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Male","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Female","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Male","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Female","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Male","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Female",2.2
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Male",1.9
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Female",7.3
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Male",5.1
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Female",6.6
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Male",3.4
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Female","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Male","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Female","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Male","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Female","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Male","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Female",14.5
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Male",28.8
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Female",72.7
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Male",63.3
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Female",3.3
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Male",2.9
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Female","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Male","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Female","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Male","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Female",2.3
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Male",2.2
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Female","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Male","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Female",3.3
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Male",3.4
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Female",4.1
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Male",4.7
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Female","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Male",0.0
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Female","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Male","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Female","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Male","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Female","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Male","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Female",0.0
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Male","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Female","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Male",0.0
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Female","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Male","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Female","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Male","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Female",5.3
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Male",4.7
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Female","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Male","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Female",5.0
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Male",5.8
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Female",13.6
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Male",13.1
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Female",9.9
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Male",11.8
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Female",5.1
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Male",10.0
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Female",9.6
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Male",12.5
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Female",4.4
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Male",12.5
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Female",11.6
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Male",11.7
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Female",8.8
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Male",12.4
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Female","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Male","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Female",3.2
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Male",2.9
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Female",10.9
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Male",7.9
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Female",18.9
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Male",19.4
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Female","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Male","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","Female","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","Male","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Female",8.7
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Male",14.4
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Female",5.5
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Male",4.3
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Female","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Male","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Female","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Male","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Female",5.9
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Male",4.4
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Female",6.8
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Male",6.0
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Female","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Male","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Female","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Male","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Female","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Male","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Female",3.0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Male",4.6
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Female",9.2
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Male",16.0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Female",9.1
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Male",6.7
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Female",81.8
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Male",79.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Female",27.4
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Male",19.4
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Female",13.8
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Male",11.8
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Female",13.7
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Male",12.4
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Female",11.9
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Male",14.9
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Female",11.3
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Male",11.3
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Female",4.6
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Male",6.3
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Female",3.7
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Male",4.2
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Female","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Male","*"
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","Female",40.9
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","Male",39.8
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","Female","*"
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","Male","*"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","Female","*"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","Male","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","Female","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","Male","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Female","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Male","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Female",18.4
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Male",18.2
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","Female",12.2
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","Male",18.8
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","Female",9.3
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","Male",10.1
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Female",9.0
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Male",6.1
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Female",51.7
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Male",52.3
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Female",57.8
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Male",48.6
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Female",33.3
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Male",35.6
"Hartford School District","=""0640011""","Burr School","=""0642311""","Female",24.3
"Hartford School District","=""0640011""","Burr School","=""0642311""","Male",26.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Female","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Male","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Female",5.8
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Male",3.2
"Hartford School District","=""0640011""","Clark School","=""0642411""","Female",39.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","Male",38.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Female",7.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Male",7.8
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Female",54.8
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Male",57.4
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Female",19.6
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Male",24.1
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","Male","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","Female","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","Male","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Female","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Male","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","Female","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","Male","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","Female","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","Male","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Female",4.3
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Male",6.8
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Female",26.3
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Male",26.2
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Female",28.9
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Male",24.8
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Female",8.5
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Male",8.4
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","Female",12.5
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","Male",8.3
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Female",64.7
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Male",64.4
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Female",64.9
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Male",64.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Female",65.6
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Male",62.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Female",8.9
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Male",6.4
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Female",50.4
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Male",50.0
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","Female","*"
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","Male","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Female",36.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Male",43.8
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Female",23.4
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Male",27.8
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Female",30.4
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Male",30.7
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Female",16.4
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Male",33.7
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","Female","*"
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","Male","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","Female","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","Male","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Female","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Male","*"
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","Female","*"
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","Male","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Female",18.2
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Male",27.8
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Female",39.7
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Male",37.7
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Female",9.9
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Male",11.7
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Female","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Male","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","Female","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","Male","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Female",9.4
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Male",9.9
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Female",78.3
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Male",72.0
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Female",18.1
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Male",21.9
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Female",29.9
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Male",14.7
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Female",12.8
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Male",14.2
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Female","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Male","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Female",37.8
"Hartford School District","=""0640011""","SAND School","=""0640111""","Male",42.3
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Female",8.3
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Male",7.6
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Female","*"
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Male","*"
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Female",19.3
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Male",26.0
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Female",17.7
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Male",26.6
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Female",35.7
