"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Non-Special Education","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Special Education","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Non-Special Education",15.1
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Special Education",31.6
"East Haven School District","Momauguin School","=""0440711""","Non-Special Education",15.7
"East Haven School District","Momauguin School","=""0440711""","Special Education",27.3
"East Haven School District","Overbrook Elementary School","=""0441811""","Non-Special Education","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Special Education","*"
"East Haven School District","Pathways","=""0449011""","Non-Special Education","*"
"East Haven School District","Pathways","=""0449011""","Special Education","*"
"East Lyme School District","East Lyme High School","=""0456111""","Non-Special Education",7.1
"East Lyme School District","East Lyme High School","=""0456111""","Special Education",16.4
"East Lyme School District","East Lyme Middle School","=""0455111""","Non-Special Education",3.4
"East Lyme School District","East Lyme Middle School","=""0455111""","Special Education",16.5
"East Lyme School District","Flanders School","=""0450111""","Non-Special Education","*"
"East Lyme School District","Flanders School","=""0450111""","Special Education","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Non-Special Education","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Special Education","*"
"East Lyme School District","Niantic Center School","=""0450211""","Non-Special Education","*"
"East Lyme School District","Niantic Center School","=""0450211""","Special Education","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Non-Special Education",10.1
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Special Education",15.1
"East Windsor School District","East Windsor High School","=""0476111""","Non-Special Education",12.0
"East Windsor School District","East Windsor High School","=""0476111""","Special Education",29.4
"East Windsor School District","East Windsor Middle School","=""0475411""","Non-Special Education",9.1
"East Windsor School District","East Windsor Middle School","=""0475411""","Special Education",13.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Special Education",31.3
"Eastford School District","Eastford Elementary School","=""0390111""","Non-Special Education","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Special Education","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Non-Special Education","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Special Education","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Non-Special Education","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Special Education","*"
"Education Connection","Education Connection Special Education","=""2429014""","Special Education",50.0
"Ellington School District","Center School","=""0480111""","Non-Special Education",3.1
"Ellington School District","Center School","=""0480111""","Special Education","*"
"Ellington School District","Crystal Lake School","=""0480211""","Non-Special Education","*"
"Ellington School District","Crystal Lake School","=""0480211""","Special Education","*"
"Ellington School District","Ellington High School","=""0486111""","Non-Special Education",3.5
"Ellington School District","Ellington High School","=""0486111""","Special Education",13.3
"Ellington School District","Ellington Middle School","=""0485111""","Non-Special Education",7.1
"Ellington School District","Ellington Middle School","=""0485111""","Special Education",17.9
"Ellington School District","Windermere Intermediate School","=""0480711""","Non-Special Education","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Special Education","*"
"Ellington School District","Windermere School","=""0480611""","Non-Special Education","*"
"Ellington School District","Windermere School","=""0480611""","Special Education","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Non-Special Education","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Special Education","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Non-Special Education","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Special Education","*"
"Enfield School District","Eli Whitney School","=""0491611""","Non-Special Education",9.2
"Enfield School District","Eli Whitney School","=""0491611""","Special Education","*"
"Enfield School District","Enfield High School","=""0496111""","Non-Special Education",14.7
"Enfield School District","Enfield High School","=""0496111""","Special Education",32.3
"Enfield School District","Enfield Street School","=""0490211""","Non-Special Education","*"
"Enfield School District","Enfield Street School","=""0490211""","Special Education","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Non-Special Education",9.4
"Enfield School District","Enrico Fermi High School","=""0496211""","Special Education",33.6
"Enfield School District","Hazardville Memorial School","=""0490411""","Non-Special Education",10.0
"Enfield School District","Hazardville Memorial School","=""0490411""","Special Education",17.0
"Enfield School District","Henry Barnard School","=""0491811""","Non-Special Education","*"
"Enfield School District","Henry Barnard School","=""0491811""","Special Education","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Non-Special Education",13.3
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Special Education",20.4
"Enfield School District","Nathan Hale School","=""0491111""","Non-Special Education",5.0
"Enfield School District","Nathan Hale School","=""0491111""","Special Education","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Non-Special Education",7.1
"Enfield School District","Prudence Crandall School","=""0491511""","Special Education",10.0
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Special Education","*"
"Essex School District","Essex Elementary School","=""0500111""","Non-Special Education","*"
"Essex School District","Essex Elementary School","=""0500111""","Special Education","*"
"Explorations District","Explorations","=""2726113""","Non-Special Education","*"
"Explorations District","Explorations","=""2726113""","Special Education","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Non-Special Education","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Special Education","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Non-Special Education","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Special Education","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Non-Special Education",6.6
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Special Education",13.9
"Fairfield School District","Fairfield Warde High School","=""0516211""","Non-Special Education",6.7
"Fairfield School District","Fairfield Warde High School","=""0516211""","Special Education",15.1
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Non-Special Education",5.3
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Special Education",7.3
"Fairfield School District","Holland Hill School","=""0510411""","Non-Special Education","*"
"Fairfield School District","Holland Hill School","=""0510411""","Special Education","*"
"Fairfield School District","Jennings School","=""0511711""","Non-Special Education","*"
"Fairfield School District","Jennings School","=""0511711""","Special Education","*"
"Fairfield School District","McKinley School","=""0510611""","Non-Special Education",7.3
"Fairfield School District","McKinley School","=""0510611""","Special Education",10.9
"Fairfield School District","Mill Hill School","=""0510711""","Non-Special Education","*"
"Fairfield School District","Mill Hill School","=""0510711""","Special Education","*"
"Fairfield School District","North Stratfield School","=""0511611""","Non-Special Education","*"
"Fairfield School District","North Stratfield School","=""0511611""","Special Education","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Non-Special Education","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Special Education","*"
"Fairfield School District","Riverfield School","=""0511211""","Non-Special Education","*"
"Fairfield School District","Riverfield School","=""0511211""","Special Education","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Non-Special Education",7.0
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Special Education",15.7
"Fairfield School District","Sherman School","=""0511311""","Non-Special Education",2.1
"Fairfield School District","Sherman School","=""0511311""","Special Education","*"
"Fairfield School District","Stratfield School","=""0511411""","Non-Special Education","*"
"Fairfield School District","Stratfield School","=""0511411""","Special Education","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Non-Special Education",7.5
"Fairfield School District","Tomlinson Middle School","=""0515111""","Special Education",10.8
"Farmington School District","East Farms School","=""0520411""","Non-Special Education","*"
"Farmington School District","East Farms School","=""0520411""","Special Education","*"
"Farmington School District","Farmington High School","=""0526111""","Non-Special Education",7.2
"Farmington School District","Farmington High School","=""0526111""","Special Education",16.4
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Non-Special Education",4.6
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Special Education",15.5
"Farmington School District","Noah Wallace School","=""0520211""","Non-Special Education","*"
"Farmington School District","Noah Wallace School","=""0520211""","Special Education","*"
"Farmington School District","Union School","=""0520111""","Non-Special Education","*"
"Farmington School District","Union School","=""0520111""","Special Education","*"
"Farmington School District","West District School","=""0520311""","Non-Special Education","*"
"Farmington School District","West District School","=""0520311""","Special Education","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Non-Special Education",3.4
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Special Education",12.5
"Franklin School District","Franklin Elementary School","=""0530111""","Non-Special Education","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Special Education","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Non-Special Education","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Special Education","*"
"Glastonbury School District","Eastbury School","=""0540311""","Non-Special Education",2.3
"Glastonbury School District","Eastbury School","=""0540311""","Special Education",0.0
"Glastonbury School District","Gideon Welles School","=""0540811""","Non-Special Education","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Special Education","*"
"Glastonbury School District","Glastonbury High School","=""0546111""","Non-Special Education",3.2
"Glastonbury School District","Glastonbury High School","=""0546111""","Special Education",15.8
"Glastonbury School District","Hebron Avenue School","=""0540411""","Non-Special Education","*"
"Glastonbury School District","Hebron Avenue School","=""0540411""","Special Education","*"
"Glastonbury School District","Hopewell School","=""0540611""","Non-Special Education",2.3
"Glastonbury School District","Hopewell School","=""0540611""","Special Education",0.0
"Glastonbury School District","Naubuc School","=""0540711""","Non-Special Education","*"
"Glastonbury School District","Naubuc School","=""0540711""","Special Education","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Non-Special Education",2.9
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Special Education",0.0
"Glastonbury School District","Smith Middle School","=""0545211""","Non-Special Education",2.9
"Glastonbury School District","Smith Middle School","=""0545211""","Special Education",12.9
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Non-Special Education","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Special Education","*"
"Granby School District","Granby Memorial High School","=""0566111""","Non-Special Education",3.6
"Granby School District","Granby Memorial High School","=""0566111""","Special Education",11.1
"Granby School District","Granby Memorial Middle School","=""0565111""","Non-Special Education","*"
"Granby School District","Granby Memorial Middle School","=""0565111""","Special Education","*"
"Granby School District","Kelly Lane Intermediate School","=""0560411""","Non-Special Education",2.7
"Granby School District","Kelly Lane Intermediate School","=""0560411""","Special Education",0.0
"Granby School District","Wells Road Intermediate School","=""0560311""","Non-Special Education","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","Special Education","*"
"Greenwich School District","Central Middle School","=""0575111""","Non-Special Education",6.9
"Greenwich School District","Central Middle School","=""0575111""","Special Education",15.4
"Greenwich School District","Cos Cob School","=""0570211""","Non-Special Education","*"
"Greenwich School District","Cos Cob School","=""0570211""","Special Education","*"
"Greenwich School District","Eastern Middle School","=""0575211""","Non-Special Education",4.9
"Greenwich School District","Eastern Middle School","=""0575211""","Special Education",11.5
"Greenwich School District","Glenville School","=""0570411""","Non-Special Education","*"
"Greenwich School District","Glenville School","=""0570411""","Special Education","*"
"Greenwich School District","Greenwich High School","=""0576111""","Non-Special Education",5.6
"Greenwich School District","Greenwich High School","=""0576111""","Special Education",11.6
"Greenwich School District","Hamilton Avenue School","=""0570511""","Non-Special Education",6.2
"Greenwich School District","Hamilton Avenue School","=""0570511""","Special Education",15.9
"Greenwich School District","International School At Dundee","=""0571311""","Non-Special Education","*"
"Greenwich School District","International School At Dundee","=""0571311""","Special Education","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Non-Special Education","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Special Education","*"
"Greenwich School District","New Lebanon School","=""0570611""","Non-Special Education","*"
"Greenwich School District","New Lebanon School","=""0570611""","Special Education","*"
"Greenwich School District","North Mianus School","=""0570711""","Non-Special Education","*"
"Greenwich School District","North Mianus School","=""0570711""","Special Education","*"
"Greenwich School District","North Street School","=""0570811""","Non-Special Education",3.0
"Greenwich School District","North Street School","=""0570811""","Special Education","*"
"Greenwich School District","Old Greenwich School","=""0570911""","Non-Special Education","*"
"Greenwich School District","Old Greenwich School","=""0570911""","Special Education","*"
"Greenwich School District","Parkway School","=""0571111""","Non-Special Education","*"
"Greenwich School District","Parkway School","=""0571111""","Special Education","*"
"Greenwich School District","Riverside School","=""0571011""","Non-Special Education","*"
"Greenwich School District","Riverside School","=""0571011""","Special Education","*"
"Greenwich School District","Western Middle School","=""0575311""","Non-Special Education",7.1
"Greenwich School District","Western Middle School","=""0575311""","Special Education",10.0
"Griswold School District","Griswold Elementary School","=""0580311""","Non-Special Education",6.1
"Griswold School District","Griswold Elementary School","=""0580311""","Special Education",11.0
"Griswold School District","Griswold High School","=""0586211""","Non-Special Education",14.7
"Griswold School District","Griswold High School","=""0586211""","Special Education",30.7
"Griswold School District","Griswold Middle School","=""0585111""","Non-Special Education",9.9
"Griswold School District","Griswold Middle School","=""0585111""","Special Education",14.5
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Non-Special Education","*"
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Special Education","*"
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","Non-Special Education",22.9
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","Special Education",30.8
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Non-Special Education",22.9
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Special Education",30.8
"Groton School District","Charles Barnum School","=""0591811""","Non-Special Education","*"
"Groton School District","Charles Barnum School","=""0591811""","Special Education","*"
"Groton School District","Fitch Middle School","=""0595111""","Non-Special Education",9.1
"Groton School District","Fitch Middle School","=""0595111""","Special Education",17.5
"Groton School District","Mary Morrisson School","=""0591711""","Non-Special Education",7.9
"Groton School District","Mary Morrisson School","=""0591711""","Special Education",10.9
"Groton School District","Northeast Academy Elementary School","=""0591911""","Non-Special Education","*"
"Groton School District","Northeast Academy Elementary School","=""0591911""","Special Education","*"
"Groton School District","Pleasant Valley School","=""0591211""","Non-Special Education",10.3
"Groton School District","Pleasant Valley School","=""0591211""","Special Education",17.9
"Groton School District","Robert E. Fitch High School","=""0596111""","Non-Special Education",22.4
"Groton School District","Robert E. Fitch High School","=""0596111""","Special Education",41.3
"Groton School District","S. B. Butler School","=""0590111""","Non-Special Education",3.4
"Groton School District","S. B. Butler School","=""0590111""","Special Education",22.6
"Groton School District","West Side Middle School","=""0595211""","Non-Special Education",10.4
"Groton School District","West Side Middle School","=""0595211""","Special Education",21.7
"Guilford School District","A. Baldwin Middle School","=""0600711""","Non-Special Education",3.6
"Guilford School District","A. Baldwin Middle School","=""0600711""","Special Education",12.1
"Guilford School District","A. W. Cox School","=""0600611""","Non-Special Education","*"
"Guilford School District","A. W. Cox School","=""0600611""","Special Education","*"
"Guilford School District","Calvin Leete School","=""0600411""","Non-Special Education","*"
"Guilford School District","Calvin Leete School","=""0600411""","Special Education","*"
"Guilford School District","E. C. Adams Middle School","=""0605111""","Non-Special Education",6.6
"Guilford School District","E. C. Adams Middle School","=""0605111""","Special Education",17.9
"Guilford School District","Guilford High School","=""0606111""","Non-Special Education",7.8
"Guilford School District","Guilford High School","=""0606111""","Special Education",26.8
"Guilford School District","Guilford Lakes School","=""0600211""","Non-Special Education","*"
"Guilford School District","Guilford Lakes School","=""0600211""","Special Education","*"
"Guilford School District","Melissa Jones School","=""0600311""","Non-Special Education","*"
"Guilford School District","Melissa Jones School","=""0600311""","Special Education","*"
"Hamden School District","Bear Path School","=""0621211""","Non-Special Education","*"
"Hamden School District","Bear Path School","=""0621211""","Special Education","*"
"Hamden School District","Church Street School","=""0620211""","Non-Special Education","*"
"Hamden School District","Church Street School","=""0620211""","Special Education","*"
"Hamden School District","Dunbar Hill School","=""0620311""","Non-Special Education",7.0
"Hamden School District","Dunbar Hill School","=""0620311""","Special Education",17.6
"Hamden School District","Hamden High School","=""0626111""","Non-Special Education",18.2
"Hamden School District","Hamden High School","=""0626111""","Special Education",26.7
"Hamden School District","Hamden Middle School","=""0625211""","Non-Special Education",13.5
"Hamden School District","Hamden Middle School","=""0625211""","Special Education",22.0
"Hamden School District","Helen Street School","=""0620411""","Non-Special Education","*"
"Hamden School District","Helen Street School","=""0620411""","Special Education","*"
"Hamden School District","Ridge Hill School","=""0621111""","Non-Special Education",12.9
"Hamden School District","Ridge Hill School","=""0621111""","Special Education",23.7
"Hamden School District","Shepherd Glen School","=""0620111""","Non-Special Education","*"
"Hamden School District","Shepherd Glen School","=""0620111""","Special Education","*"
"Hamden School District","Spring Glen School","=""0621011""","Non-Special Education","*"
"Hamden School District","Spring Glen School","=""0621011""","Special Education","*"
"Hamden School District","West Woods School","=""0621411""","Non-Special Education",4.6
"Hamden School District","West Woods School","=""0621411""","Special Education",10.7
"Hampton School District","Hampton Elementary School","=""0630111""","Non-Special Education","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Special Education","*"
"Hartford School District","Asian Studies Academy","=""0640711""","Non-Special Education",25.5
"Hartford School District","Asian Studies Academy","=""0640711""","Special Education",40.4
"Hartford School District","Batchelder School","=""0640411""","Non-Special Education",14.5
"Hartford School District","Batchelder School","=""0640411""","Special Education",28.1
"Hartford School District","Breakthrough II Elementary School","=""0643511""","Non-Special Education","*"
"Hartford School District","Breakthrough II Elementary School","=""0643511""","Special Education","*"
"Hartford School District","Breakthrough Magnet School","=""0643311""","Non-Special Education","*"
"Hartford School District","Breakthrough Magnet School","=""0643311""","Special Education","*"
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Non-Special Education",45.7
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Special Education",54.8
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Non-Special Education",48.9
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Special Education",41.7
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Non-Special Education",47.5
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Special Education",59.1
"Hartford School District","Burr School","=""0642311""","Non-Special Education",23.1
"Hartford School District","Burr School","=""0642311""","Special Education",39.0
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Non-Special Education","*"
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Special Education","*"
"Hartford School District","Clark School","=""0642411""","Non-Special Education",40.4
"Hartford School District","Clark School","=""0642411""","Special Education",38.4
"Hartford School District","Classical Magnet School","=""0646411""","Non-Special Education","*"
"Hartford School District","Classical Magnet School","=""0646411""","Special Education","*"
"Hartford School District","Culinary Arts Academy","=""0646011""","Non-Special Education",52.5
"Hartford School District","Culinary Arts Academy","=""0646011""","Special Education",66.2
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-Special Education",15.7
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Special Education",36.5
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","Non-Special Education",17.6
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","Special Education",23.5
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Non-Special Education",40.7
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Special Education",52.9
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Non-Special Education","*"
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Special Education","*"
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Non-Special Education",25.9
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Special Education",43.8
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Non-Special Education",24.4
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Special Education",30.1
"Hartford School District","Global Communications Academy","=""0643611""","Non-Special Education",14.5
"Hartford School District","Global Communications Academy","=""0643611""","Special Education",13.8
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-Special Education",61.5
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Special Education",75.6
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Non-Special Education",55.2
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Special Education",73.9
"Hartford School District","HPHS Freshmen Academy","=""0647311""","Non-Special Education",60.4
"Hartford School District","HPHS Freshmen Academy","=""0647311""","Special Education",71.1
"Hartford School District","HPHS Law and Government Academy","=""0647411""","Non-Special Education",43.4
"Hartford School District","HPHS Law and Government Academy","=""0647411""","Special Education",56.1
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","Non-Special Education","*"
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","Special Education","*"
"Hartford School District","High School Inc.","=""0647611""","Non-Special Education",55.2
"Hartford School District","High School Inc.","=""0647611""","Special Education",56.4
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","Non-Special Education",57.5
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","Special Education",71.7
"Hartford School District","Kennelly School","=""0641011""","Non-Special Education",16.3
"Hartford School District","Kennelly School","=""0641011""","Special Education",27.7
"Hartford School District","M. D. Fox Elementary School","=""0640811""","Non-Special Education",19.8
"Hartford School District","M. D. Fox Elementary School","=""0640811""","Special Education",31.6
"Hartford School District","M. L. King School","=""0641611""","Non-Special Education",31.2
"Hartford School District","M. L. King School","=""0641611""","Special Education",45.8
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","Non-Special Education",40.6
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","Special Education",62.5
"Hartford School District","Milner Elementary School","=""0641911""","Non-Special Education",35.7
"Hartford School District","Milner Elementary School","=""0641911""","Special Education",47.5
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""","Non-Special Education","*"
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""","Special Education","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","Non-Special Education","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","Special Education","*"
"Hartford School District","OPPortunity High School","=""0647811""","Non-Special Education","*"
"Hartford School District","OPPortunity High School","=""0647811""","Special Education","*"
"Hartford School District","Parkville Community School","=""0641511""","Non-Special Education",24.3
"Hartford School District","Parkville Community School","=""0641511""","Special Education",19.4
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","Non-Special Education",23.0
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","Special Education",27.7
"Hartford School District","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Non-Special Education",5.0
"Hartford School District","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Special Education",10.2
"Hartford School District","Renzulli Academy","=""0644011""","Non-Special Education",23.4
"Hartford School District","SAND School","=""0640111""","Non-Special Education",36.9
"Hartford School District","SAND School","=""0640111""","Special Education",48.7
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","Non-Special Education","*"
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","Special Education","*"
"Hartford School District","Sanchez School","=""0643011""","Non-Special Education",32.3
"Hartford School District","Sanchez School","=""0643011""","Special Education",41.0
"Hartford School District","Sarah J Rawson Middle Grades Academy","=""0645611""","Non-Special Education",12.5
"Hartford School District","Sarah J Rawson Middle Grades Academy","=""0645611""","Special Education",20.0
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","Non-Special Education",23.8
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","Special Education",41.1
"Hartford School District","Simpson-Waverly School","=""0642611""","Non-Special Education","*"
"Hartford School District","Simpson-Waverly School","=""0642611""","Special Education","*"
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","Non-Special Education",11.1
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","Special Education",36.4
"Hartford School District","University High of Science and Engineering","=""0646711""","Non-Special Education",13.5
"Hartford School District","University High of Science and Engineering","=""0646711""","Special Education",25.9
"Hartford School District","West Middle School","=""0642111""","Non-Special Education",15.4
"Hartford School District","West Middle School","=""0642111""","Special Education",33.7
"Hartford School District","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Special Education",40.6
"Hartland School District","Hartland School","=""0650111""","Non-Special Education","*"
"Hartland School District","Hartland School","=""0650111""","Special Education","*"
"Hebron School District","Gilead Hill School","=""0670211""","Non-Special Education","*"
"Hebron School District","Gilead Hill School","=""0670211""","Special Education","*"
"Hebron School District","Hebron Elementary School","=""0670111""","Non-Special Education","*"
"Hebron School District","Hebron Elementary School","=""0670111""","Special Education","*"
"Highville Charter School District","Highville Charter School","=""2860113""","Non-Special Education","*"
"Highville Charter School District","Highville Charter School","=""2860113""","Special Education","*"
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""","Non-Special Education","*"
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""","Special Education","*"
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""","Non-Special Education","*"
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""","Special Education","*"
"Jumoke Academy District","Jumoke Academy","=""2610113""","Non-Special Education",2.6
"Jumoke Academy District","Jumoke Academy","=""2610113""","Special Education",0.0
"Kent School District","Kent Center School","=""0680111""","Non-Special Education",5.2
"Kent School District","Kent Center School","=""0680111""","Special Education",18.8
"Killingly School District","Killingly Central School","=""0690111""","Non-Special Education",7.1
"Killingly School District","Killingly Central School","=""0690111""","Special Education",9.8
"Killingly School District","Killingly High School","=""0696111""","Non-Special Education",24.2
"Killingly School District","Killingly High School","=""0696111""","Special Education",27.9
"Killingly School District","Killingly Intermediate School","=""0695211""","Non-Special Education",10.3
"Killingly School District","Killingly Intermediate School","=""0695211""","Special Education",28.7
"Killingly School District","Killingly Memorial School","=""0690311""","Non-Special Education","*"
"Killingly School District","Killingly Memorial School","=""0690311""","Special Education","*"
"Learn","Connecticut River Academy","=""2456014""","Non-Special Education",21.8
"Learn","Connecticut River Academy","=""2456014""","Special Education",31.0
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""","Non-Special Education","*"
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""","Special Education","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Non-Special Education","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Special Education","*"
"Learn","Regional Multicultural Magnet School","=""2450114""","Non-Special Education","*"
"Learn","Regional Multicultural Magnet School","=""2450114""","Special Education","*"
"Learn","The Friendship School","=""2450214""","Non-Special Education",20.0
"Learn","The Friendship School","=""2450214""","Special Education",30.0
"Learn","Learn Special Education","=""2459014""","Special Education",20.7
"Lebanon School District","Lebanon Elementary School","=""0710111""","Non-Special Education","*"
"Lebanon School District","Lebanon Elementary School","=""0710111""","Special Education","*"
"Lebanon School District","Lebanon Middle School","=""0715111""","Non-Special Education",3.7
"Lebanon School District","Lebanon Middle School","=""0715111""","Special Education",14.5
"Lebanon School District","Lyman Memorial High School","=""0716211""","Non-Special Education",19.3
"Lebanon School District","Lyman Memorial High School","=""0716211""","Special Education",14.6
"Ledyard School District","Gales Ferry School","=""0720211""","Non-Special Education",0.0
"Ledyard School District","Gales Ferry School","=""0720211""","Special Education",0.0
"Ledyard School District","Gallup Hill School","=""0720411""","Non-Special Education","*"
"Ledyard School District","Gallup Hill School","=""0720411""","Special Education","*"
"Ledyard School District","Juliet W. Long School","=""0720311""","Non-Special Education","*"
