"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"East Haven School District","Overbrook Elementary School","=""0441811""","Non-Special Education","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Special Education","*"
"East Lyme School District","Coastal Connections","=""0450611""","Non-Special Education","*"
"East Lyme School District","Coastal Connections","=""0450611""","Special Education","*"
"East Lyme School District","East Lyme High School","=""0456111""","Non-Special Education",3.2
"East Lyme School District","East Lyme High School","=""0456111""","Special Education",13.4
"East Lyme School District","East Lyme Middle School","=""0455111""","Non-Special Education",3.6
"East Lyme School District","East Lyme Middle School","=""0455111""","Special Education",11.2
"East Lyme School District","Flanders School","=""0450111""","Non-Special Education",2.6
"East Lyme School District","Flanders School","=""0450111""","Special Education",14.3
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Non-Special Education","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Special Education","*"
"East Lyme School District","Niantic Center School","=""0450211""","Non-Special Education",4.6
"East Lyme School District","Niantic Center School","=""0450211""","Special Education",0.0
"East Lyme School District","Medically Fragile Program (WAVES)","=""0450711""","Special Education","*"
"East Lyme School District","Post High School Transition Program","=""0450511""","Special Education","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Non-Special Education","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Special Education","*"
"East Windsor School District","East Windsor High School","=""0476111""","Non-Special Education",14.7
"East Windsor School District","East Windsor High School","=""0476111""","Special Education",21.7
"East Windsor School District","East Windsor Middle School","=""0475411""","Non-Special Education",8.9
"East Windsor School District","East Windsor Middle School","=""0475411""","Special Education",20.9
"East Windsor School District","East Windsor Transition Program","=""0470411""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Special Education",27.9
"Eastford School District","Eastford Elementary School","=""0390111""","Non-Special Education","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Special Education","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Non-Special Education","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Special Education","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Non-Special Education",1.5
"Easton School District","Samuel Staples Elementary School","=""0460111""","Special Education",0.0
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Special Education","*"
"Ellington School District","Center School","=""0480111""","Non-Special Education","*"
"Ellington School District","Center School","=""0480111""","Special Education","*"
"Ellington School District","Crystal Lake School","=""0480211""","Non-Special Education","*"
"Ellington School District","Crystal Lake School","=""0480211""","Special Education","*"
"Ellington School District","Ellington High School","=""0486111""","Non-Special Education",2.7
"Ellington School District","Ellington High School","=""0486111""","Special Education",23.3
"Ellington School District","Ellington Middle School","=""0485111""","Non-Special Education",3.7
"Ellington School District","Ellington Middle School","=""0485111""","Special Education",17.4
"Ellington School District","Windermere Intermediate School","=""0480711""","Non-Special Education","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Special Education","*"
"Ellington School District","Windermere School","=""0480611""","Non-Special Education",4.0
"Ellington School District","Windermere School","=""0480611""","Special Education",12.7
"Ellington School District","Windermere School Program for Alternative Learning K-4","=""0480311""","Special Education","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Non-Special Education",5.2
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Special Education",11.8
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Non-Special Education","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Special Education","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Non-Special Education",3.9
"Enfield School District","Edgar H. Parkman School","=""0491311""","Special Education",14.0
"Enfield School District","Eli Whitney School","=""0491611""","Non-Special Education",6.1
"Enfield School District","Eli Whitney School","=""0491611""","Special Education","*"
"Enfield School District","Enfield High School","=""0496111""","Non-Special Education",15.4
"Enfield School District","Enfield High School","=""0496111""","Special Education",30.3
"Enfield School District","Enfield Street School","=""0490211""","Non-Special Education","*"
"Enfield School District","Enfield Street School","=""0490211""","Special Education","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Non-Special Education",11.4
"Enfield School District","Enrico Fermi High School","=""0496211""","Special Education",31.1
"Enfield School District","Hazardville Memorial School","=""0490411""","Non-Special Education","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Special Education","*"
"Enfield School District","Henry Barnard School","=""0491811""","Non-Special Education",10.5
"Enfield School District","Henry Barnard School","=""0491811""","Special Education",22.7
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Non-Special Education",12.6
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Special Education",27.3
"Enfield School District","Nathan Hale School","=""0491111""","Non-Special Education",7.5
"Enfield School District","Nathan Hale School","=""0491111""","Special Education","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Non-Special Education",5.8
"Enfield School District","Prudence Crandall School","=""0491511""","Special Education",11.1
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Special Education","*"
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","Special Education","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Special Education","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Special Education","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Special Education","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Special Education","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Special Education","*"
"Essex School District","Essex Elementary School","=""0500111""","Non-Special Education",3.5
"Essex School District","Essex Elementary School","=""0500111""","Special Education",0.0
"Explorations District","Explorations","=""2726113""","Non-Special Education",28.8
"Explorations District","Explorations","=""2726113""","Special Education",33.3
"Fairfield School District","Burr Elementary School","=""0510211""","Non-Special Education","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Special Education","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Non-Special Education","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Special Education","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Non-Special Education",4.5
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Special Education",13.6
"Fairfield School District","Fairfield Warde High School","=""0516211""","Non-Special Education",3.7
"Fairfield School District","Fairfield Warde High School","=""0516211""","Special Education",13.7
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Non-Special Education","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Special Education","*"
"Fairfield School District","Holland Hill School","=""0510411""","Non-Special Education","*"
"Fairfield School District","Holland Hill School","=""0510411""","Special Education","*"
"Fairfield School District","Jennings School","=""0511711""","Non-Special Education","*"
"Fairfield School District","Jennings School","=""0511711""","Special Education","*"
"Fairfield School District","McKinley School","=""0510611""","Non-Special Education","*"
"Fairfield School District","McKinley School","=""0510611""","Special Education","*"
"Fairfield School District","Mill Hill School","=""0510711""","Non-Special Education","*"
"Fairfield School District","Mill Hill School","=""0510711""","Special Education","*"
"Fairfield School District","North Stratfield School","=""0511611""","Non-Special Education","*"
"Fairfield School District","North Stratfield School","=""0511611""","Special Education","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Non-Special Education",2.7
"Fairfield School District","Osborn Hill School","=""0511811""","Special Education",12.8
"Fairfield School District","Riverfield School","=""0511211""","Non-Special Education","*"
"Fairfield School District","Riverfield School","=""0511211""","Special Education","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Non-Special Education","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Special Education","*"
"Fairfield School District","Sherman School","=""0511311""","Non-Special Education",3.2
"Fairfield School District","Sherman School","=""0511311""","Special Education","*"
"Fairfield School District","Stratfield School","=""0511411""","Non-Special Education","*"
"Fairfield School District","Stratfield School","=""0511411""","Special Education","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Non-Special Education",4.0
"Fairfield School District","Tomlinson Middle School","=""0515111""","Special Education",14.6
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""","Non-Special Education","*"
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""","Special Education","*"
"Fairfield School District","Fairfield School/Community Partnership","=""0510511""","Special Education","*"
"Farmington School District","East Farms School","=""0520411""","Non-Special Education","*"
"Farmington School District","East Farms School","=""0520411""","Special Education","*"
"Farmington School District","Farmington Alternative High School","=""0520611""","Non-Special Education","*"
"Farmington School District","Farmington Alternative High School","=""0520611""","Special Education","*"
"Farmington School District","Farmington High School","=""0526111""","Non-Special Education",4.3
"Farmington School District","Farmington High School","=""0526111""","Special Education",14.3
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Non-Special Education",2.7
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Special Education",16.3
"Farmington School District","Noah Wallace School","=""0520211""","Non-Special Education",2.4
"Farmington School District","Noah Wallace School","=""0520211""","Special Education",0.0
"Farmington School District","Union School","=""0520111""","Non-Special Education","*"
"Farmington School District","Union School","=""0520111""","Special Education","*"
"Farmington School District","West District School","=""0520311""","Non-Special Education","*"
"Farmington School District","West District School","=""0520311""","Special Education","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Non-Special Education","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Special Education","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Non-Special Education","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Special Education","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Non-Special Education","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Special Education","*"
"Glastonbury School District","Eastbury School","=""0540311""","Non-Special Education","*"
"Glastonbury School District","Eastbury School","=""0540311""","Special Education","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Non-Special Education","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Special Education","*"
"Glastonbury School District","Glastonbury High School","=""0546111""","Non-Special Education",2.9
"Glastonbury School District","Glastonbury High School","=""0546111""","Special Education",10.9
"Glastonbury School District","Hebron Avenue School","=""0540411""","Non-Special Education","*"
"Glastonbury School District","Hebron Avenue School","=""0540411""","Special Education",0.0
"Glastonbury School District","Hopewell School","=""0540611""","Non-Special Education","*"
"Glastonbury School District","Hopewell School","=""0540611""","Special Education","*"
"Glastonbury School District","Links Academy","=""0540111""","Non-Special Education","*"
"Glastonbury School District","Links Academy","=""0540111""","Special Education","*"
"Glastonbury School District","Naubuc School","=""0540711""","Non-Special Education","*"
"Glastonbury School District","Naubuc School","=""0540711""","Special Education","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Non-Special Education","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Special Education","*"
"Glastonbury School District","Smith Middle School","=""0545211""","Non-Special Education",1.4
"Glastonbury School District","Smith Middle School","=""0545211""","Special Education",5.5
"Glastonbury School District","Links Transition","=""0541411""","Special Education","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Non-Special Education","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Special Education","*"
"Granby School District","Granby Memorial High School","=""0566111""","Non-Special Education",4.2
"Granby School District","Granby Memorial High School","=""0566111""","Special Education",16.2
"Granby School District","Granby Memorial Middle School","=""0565111""","Non-Special Education","*"
"Granby School District","Granby Memorial Middle School","=""0565111""","Special Education","*"
"Granby School District","Kelly Lane Primary School","=""0560411""","Non-Special Education","*"
"Granby School District","Kelly Lane Primary School","=""0560411""","Special Education","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","Non-Special Education","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","Special Education","*"
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""","Non-Special Education",14.6
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""","Special Education",17.6
"Greenwich School District","Central Middle School","=""0575111""","Non-Special Education",2.2
"Greenwich School District","Central Middle School","=""0575111""","Special Education",0.0
"Greenwich School District","Cos Cob School","=""0570211""","Non-Special Education","*"
"Greenwich School District","Cos Cob School","=""0570211""","Special Education","*"
"Greenwich School District","Eastern Middle School","=""0575211""","Non-Special Education","*"
"Greenwich School District","Eastern Middle School","=""0575211""","Special Education","*"
"Greenwich School District","Glenville School","=""0570411""","Non-Special Education","*"
"Greenwich School District","Glenville School","=""0570411""","Special Education","*"
"Greenwich School District","Greenwich Alternative High School","=""0571411""","Non-Special Education","*"
"Greenwich School District","Greenwich Alternative High School","=""0571411""","Special Education","*"
"Greenwich School District","Greenwich High School","=""0576111""","Non-Special Education",5.1
"Greenwich School District","Greenwich High School","=""0576111""","Special Education",14.5
"Greenwich School District","Hamilton Avenue School","=""0570511""","Non-Special Education","*"
"Greenwich School District","Hamilton Avenue School","=""0570511""","Special Education","*"
"Greenwich School District","International School At Dundee","=""0571311""","Non-Special Education","*"
"Greenwich School District","International School At Dundee","=""0571311""","Special Education","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Non-Special Education","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Special Education","*"
"Greenwich School District","New Lebanon School","=""0570611""","Non-Special Education","*"
"Greenwich School District","New Lebanon School","=""0570611""","Special Education","*"
"Greenwich School District","North Mianus School","=""0570711""","Non-Special Education","*"
"Greenwich School District","North Mianus School","=""0570711""","Special Education",0.0
"Greenwich School District","North Street School","=""0570811""","Non-Special Education","*"
"Greenwich School District","North Street School","=""0570811""","Special Education",0.0
"Greenwich School District","Old Greenwich School","=""0570911""","Non-Special Education",1.8
"Greenwich School District","Old Greenwich School","=""0570911""","Special Education",0.0
"Greenwich School District","Parkway School","=""0571111""","Non-Special Education","*"
"Greenwich School District","Parkway School","=""0571111""","Special Education","*"
"Greenwich School District","Riverside School","=""0571011""","Non-Special Education","*"
"Greenwich School District","Riverside School","=""0571011""","Special Education",0.0
"Greenwich School District","Western Middle School","=""0575311""","Non-Special Education","*"
"Greenwich School District","Western Middle School","=""0575311""","Special Education","*"
"Greenwich School District","Community Connections","=""0571211""","Special Education","*"
"Griswold School District","Griswold Alternative School","=""0580111""","Non-Special Education","*"
"Griswold School District","Griswold Alternative School","=""0580111""","Special Education","*"
"Griswold School District","Griswold Elementary School","=""0580311""","Non-Special Education",3.8
"Griswold School District","Griswold Elementary School","=""0580311""","Special Education",8.8
"Griswold School District","Griswold High School","=""0586211""","Non-Special Education",12.1
"Griswold School District","Griswold High School","=""0586211""","Special Education",18.9
"Griswold School District","Griswold Middle School","=""0585111""","Non-Special Education",8.1
"Griswold School District","Griswold Middle School","=""0585111""","Special Education",13.0
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Non-Special Education",7.0
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Special Education",12.9
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Non-Special Education",7.6
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Special Education",19.4
"Groton School District","Charles Barnum School","=""0591811""","Non-Special Education","*"
"Groton School District","Charles Barnum School","=""0591811""","Special Education","*"
"Groton School District","Claude Chester School","=""0590311""","Non-Special Education",8.0
"Groton School District","Claude Chester School","=""0590311""","Special Education",13.7
"Groton School District","Mary Morrisson School","=""0591711""","Non-Special Education",8.0
"Groton School District","Mary Morrisson School","=""0591711""","Special Education",22.9
"Groton School District","Northeast Academy Elementary School","=""0591911""","Non-Special Education","*"
"Groton School District","Northeast Academy Elementary School","=""0591911""","Special Education","*"
"Groton School District","Pleasant Valley School","=""0591211""","Non-Special Education",9.3
"Groton School District","Pleasant Valley School","=""0591211""","Special Education","*"
"Groton School District","Robert E. Fitch High School","=""0596111""","Non-Special Education",17.0
"Groton School District","Robert E. Fitch High School","=""0596111""","Special Education",30.5
"Groton School District","S. B. Butler School","=""0590111""","Non-Special Education","*"
"Groton School District","S. B. Butler School","=""0590111""","Special Education","*"
"Groton School District","Virtual Learning Academy","=""0590611""","Non-Special Education","*"
"Groton School District","Virtual Learning Academy","=""0590611""","Special Education","*"
"Groton School District","West Side Middle School","=""0595211""","Non-Special Education",11.1
"Groton School District","West Side Middle School","=""0595211""","Special Education",24.7
"Groton School District","New Beginnings Alternative Program","=""0590211""","Special Education",65.2
"Guilford School District","A. Baldwin Middle School","=""0600711""","Non-Special Education",5.3
"Guilford School District","A. Baldwin Middle School","=""0600711""","Special Education",9.1
"Guilford School District","A. W. Cox School","=""0600611""","Non-Special Education","*"
"Guilford School District","A. W. Cox School","=""0600611""","Special Education","*"
"Guilford School District","Calvin Leete School","=""0600411""","Non-Special Education","*"
"Guilford School District","Calvin Leete School","=""0600411""","Special Education","*"
"Guilford School District","E. C. Adams Middle School","=""0605111""","Non-Special Education",5.5
"Guilford School District","E. C. Adams Middle School","=""0605111""","Special Education",10.8
"Guilford School District","Guilford High School","=""0606111""","Non-Special Education",2.6
"Guilford School District","Guilford High School","=""0606111""","Special Education",13.2
"Guilford School District","Guilford Lakes School","=""0600211""","Non-Special Education","*"
"Guilford School District","Guilford Lakes School","=""0600211""","Special Education","*"
"Guilford School District","Melissa Jones School","=""0600311""","Non-Special Education","*"
"Guilford School District","Melissa Jones School","=""0600311""","Special Education","*"
"Hamden School District","Bear Path School","=""0621211""","Non-Special Education",3.7
"Hamden School District","Bear Path School","=""0621211""","Special Education",13.8
"Hamden School District","Church Street School","=""0620211""","Non-Special Education",9.2
"Hamden School District","Church Street School","=""0620211""","Special Education",13.8
"Hamden School District","Dunbar Hill School","=""0620311""","Non-Special Education","*"
"Hamden School District","Dunbar Hill School","=""0620311""","Special Education","*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""","Non-Special Education","*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""","Special Education","*"
"Hamden School District","Hamden High School","=""0626111""","Non-Special Education",32.6
"Hamden School District","Hamden High School","=""0626111""","Special Education",45.3
"Hamden School District","Hamden Middle School","=""0625211""","Non-Special Education",14.5
"Hamden School District","Hamden Middle School","=""0625211""","Special Education",24.3
"Hamden School District","Helen Street School","=""0620411""","Non-Special Education","*"
"Hamden School District","Helen Street School","=""0620411""","Special Education","*"
"Hamden School District","Ridge Hill School","=""0621111""","Non-Special Education",10.0
"Hamden School District","Ridge Hill School","=""0621111""","Special Education",26.4
"Hamden School District","Shepherd Glen School","=""0620111""","Non-Special Education",9.9
"Hamden School District","Shepherd Glen School","=""0620111""","Special Education",15.6
"Hamden School District","Spring Glen School","=""0621011""","Non-Special Education","*"
"Hamden School District","Spring Glen School","=""0621011""","Special Education","*"
"Hamden School District","West Woods School","=""0621411""","Non-Special Education","*"
"Hamden School District","West Woods School","=""0621411""","Special Education","*"
"Hamden School District","Alice Peck Learning Center","=""0628011""","Special Education","*"
"Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Special Education","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Non-Special Education","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Special Education","*"
"Hartford School District","Asian Studies Academy at Bellizzi School","=""0640711""","Non-Special Education",32.7
"Hartford School District","Asian Studies Academy at Bellizzi School","=""0640711""","Special Education",47.8
"Hartford School District","Batchelder School","=""0640411""","Non-Special Education",19.0
"Hartford School District","Batchelder School","=""0640411""","Special Education",37.3
"Hartford School District","Betances Early Reading Lab Magnet School","=""0642811""","Non-Special Education",14.5
"Hartford School District","Betances Early Reading Lab Magnet School","=""0642811""","Special Education",33.3
"Hartford School District","Breakthrough II Magnet School","=""0643511""","Non-Special Education",7.9
"Hartford School District","Breakthrough II Magnet School","=""0643511""","Special Education",14.3
"Hartford School District","Breakthrough Magnet School","=""0643311""","Non-Special Education",4.8
"Hartford School District","Breakthrough Magnet School","=""0643311""","Special Education",17.0
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Non-Special Education",42.1
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Special Education",56.7
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Non-Special Education",49.0
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Special Education",53.3
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Non-Special Education",29.9
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Special Education",54.0
"Hartford School District","Burr School","=""0642311""","Non-Special Education",21.3
"Hartford School District","Burr School","=""0642311""","Special Education",31.9
"Hartford School District","Capital Community College Magnet Academy","=""0643911""","Non-Special Education","*"
"Hartford School District","Capital Community College Magnet Academy","=""0643911""","Special Education","*"
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Non-Special Education",4.4
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Special Education",8.5
"Hartford School District","Clark School","=""0642411""","Non-Special Education",26.1
"Hartford School District","Clark School","=""0642411""","Special Education",43.5
"Hartford School District","Classical Magnet School","=""0646411""","Non-Special Education",6.2
"Hartford School District","Classical Magnet School","=""0646411""","Special Education",21.1
"Hartford School District","Culinary Arts Academy","=""0646011""","Non-Special Education",64.6
"Hartford School District","Culinary Arts Academy","=""0646011""","Special Education",64.1
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-Special Education",17.5
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Special Education",33.3
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Non-Special Education",6.3
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Special Education",11.8
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Non-Special Education",19.5
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Special Education",22.9
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Non-Special Education",23.5
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Special Education",35.2
"Hartford School District","Global Communications Academy","=""0643611""","Non-Special Education",10.5
"Hartford School District","Global Communications Academy","=""0643611""","Special Education",20.8
"Hartford School District","Great Path Academy at MCC","=""0647911""","Non-Special Education","*"
"Hartford School District","Great Path Academy at MCC","=""0647911""","Special Education","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-Special Education",43.9
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Special Education",36.4
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Non-Special Education",54.7
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Special Education",68.1
"Hartford School District","HPHS Law and Government Academy","=""0647411""","Non-Special Education",44.2
"Hartford School District","HPHS Law and Government Academy","=""0647411""","Special Education",57.4
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","Non-Special Education",7.5
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","Special Education",20.5
"Hartford School District","High School, Inc.","=""0647611""","Non-Special Education",51.6
"Hartford School District","High School, Inc.","=""0647611""","Special Education",61.1
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","Non-Special Education",21.1
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","Special Education",21.2
"Hartford School District","Kennelly School","=""0641011""","Non-Special Education",22.7
"Hartford School District","Kennelly School","=""0641011""","Special Education",28.1
"Hartford School District","Kinsella Magnet School of Performing Arts","=""0641111""","Non-Special Education","*"
"Hartford School District","Kinsella Magnet School of Performing Arts","=""0641111""","Special Education","*"
"Hartford School District","M. D. Fox Elementary School","=""0640811""","Non-Special Education",19.7
"Hartford School District","M. D. Fox Elementary School","=""0640811""","Special Education",20.4
"Hartford School District","M. L. King School","=""0641611""","Non-Special Education",23.3
"Hartford School District","M. L. King School","=""0641611""","Special Education",30.2
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","Non-Special Education",17.4
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","Special Education",38.3
"Hartford School District","Milner Elementary School","=""0641911""","Non-Special Education",23.2
"Hartford School District","Milner Elementary School","=""0641911""","Special Education",44.2
"Hartford School District","Montessori Magnet at Fisher School","=""0643711""","Non-Special Education","*"
"Hartford School District","Montessori Magnet at Fisher School","=""0643711""","Special Education","*"
"Hartford School District","Montessori Magnet at Moylan School","=""0640511""","Non-Special Education","*"
"Hartford School District","Montessori Magnet at Moylan School","=""0640511""","Special Education","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","Non-Special Education","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","Special Education","*"
"Hartford School District","Parkville Community School","=""0641511""","Non-Special Education",23.0
"Hartford School District","Parkville Community School","=""0641511""","Special Education",29.8
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","Non-Special Education",19.9
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","Special Education",26.4
"Hartford School District","Renzulli Academy","=""0644011""","Non-Special Education","*"
"Hartford School District","Renzulli Academy","=""0644011""","Special Education","*"
"Hartford School District","SAND School","=""0640111""","Non-Special Education",24.5
"Hartford School District","SAND School","=""0640111""","Special Education",33.3
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","Non-Special Education",5.2
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","Special Education",12.2
"Hartford School District","STEM Magnet School at Dwight","=""0643811""","Non-Special Education","*"
"Hartford School District","STEM Magnet School at Dwight","=""0643811""","Special Education","*"
"Hartford School District","Sanchez School","=""0643011""","Non-Special Education",16.5
"Hartford School District","Sanchez School","=""0643011""","Special Education",19.2
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","Non-Special Education",15.6
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","Special Education",33.3
"Hartford School District","Simpson-Waverly School","=""0642611""","Non-Special Education",28.4
"Hartford School District","Simpson-Waverly School","=""0642611""","Special Education",33.3
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","Non-Special Education",14.1
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","Special Education",28.1
"Hartford School District","University High School of Science and Engineering","=""0646711""","Non-Special Education",8.8
"Hartford School District","University High School of Science and Engineering","=""0646711""","Special Education",33.3
"Hartford School District","West Middle School","=""0642111""","Non-Special Education",21.2
"Hartford School District","West Middle School","=""0642111""","Special Education",32.7
"Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","Special Education","*"
"Hartford School District","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Special Education",33.3
"Hartford School District","Autism Program - Simpson-Waverly","=""0649311""","Special Education","*"
"Hartford School District","Autism Program-Burr School","=""0648611""","Special Education","*"
"Hartford School District","EDP - Betances Early Reading Lab","=""0645811""","Special Education","*"
"Hartford School District","EDP - Bulkeley High School","=""0648311""","Special Education","*"
"Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Special Education",92.9
"Hartford School District","EDP - M.D. Fox","=""0645911""","Special Education","*"
"Hartford School District","EDP - McDonough Expeditionary Learning School","=""0648111""","Special Education","*"
"Hartford School District","High Step Transition","=""0648411""","Special Education","*"
"Hartford School District","LC - Breakthrough II","=""0649511""","Special Education","*"
"Hartford School District","LC - Burns","=""0649611""","Special Education","*"
"Hartford School District","LC - Moylan","=""0649811""","Special Education","*"
"Hartford School District","MDP - Batchelder School","=""0644811""","Special Education","*"
"Hartford School District","MDP - Bulkeley High School","=""0645011""","Special Education","*"
"Hartford School District","MDP - HPHS Law and Government Academy","=""0644911""","Special Education",19.4
