"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Gender"

"",,,,"% Chronically Absent",,,,
"Enfield School District","Edgar H. Parkman School","=""0491311""","Female",5.0,3.8,5.9,5.3,"*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Male",4.4,4.9,7.8,10.6,"*"
"Enfield School District","Eli Whitney School","=""0491611""","Female",8.8,7.2,6.4,4.2,7.8
"Enfield School District","Eli Whitney School","=""0491611""","Male",8.6,6.3,10.0,4.1,5.0
"Enfield School District","Enfield High School","=""0496111""","Female",18.1,19.0,15.3,20.5,19.0
"Enfield School District","Enfield High School","=""0496111""","Male",14.4,13.1,11.9,14.2,15.4
"Enfield School District","Enfield Street School","=""0490211""","Female",8.6,7.6,10.3,5.7,4.3
"Enfield School District","Enfield Street School","=""0490211""","Male",12.7,17.0,16.2,14.7,8.6
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Female","*","*","*","*","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Male","*","*","*","*","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Female",14.5,13.8,10.8,13.8,15.7
"Enfield School District","Enrico Fermi High School","=""0496211""","Male",10.8,13.1,11.3,12.8,12.8
"Enfield School District","Hazardville Memorial School","=""0490411""","Female",7.3,9.3,9.4,5.9,10.0
"Enfield School District","Hazardville Memorial School","=""0490411""","Male",14.3,10.6,10.3,9.2,10.4
"Enfield School District","Henry Barnard School","=""0491811""","Female",11.9,8.7,8.8,8.4,8.4
"Enfield School District","Henry Barnard School","=""0491811""","Male",8.6,7.4,10.7,9.2,14.9
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Female",15.5,14.1,17.5,14.3,14.1
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Male",12.8,14.1,16.6,17.2,15.3
"Enfield School District","Nathan Hale School","=""0491111""","Female",5.4,6.3,9.1,8.8,10.0
"Enfield School District","Nathan Hale School","=""0491111""","Male",7.6,8.0,9.5,7.3,4.9
"Enfield School District","Prudence Crandall School","=""0491511""","Female",6.8,5.3,7.8,6.6,6.7
"Enfield School District","Prudence Crandall School","=""0491511""","Male",8.2,6.9,5.8,3.6,6.2
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Female","N/A","N/A","N/A","*","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Male","N/A","N/A","N/A","*","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Female","N/A","N/A","N/A","*","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Male","N/A","N/A","N/A","*","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Female","N/A","N/A","N/A","*","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Male","N/A","N/A","N/A","N/A","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Female","N/A","N/A","N/A","*","N/A"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Male","N/A","N/A","N/A","*","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Male","N/A","N/A","N/A","*","*"
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","Female","N/A","N/A","N/A","N/A","*"
"Essex School District","Essex Elementary School","=""0500111""","Female",3.1,"*","*","*","*"
"Essex School District","Essex Elementary School","=""0500111""","Male",2.6,"*","*","*","*"
"Explorations District","Explorations","=""2726113""","Female","*",47.4,24.3,28.8,30.9
"Explorations District","Explorations","=""2726113""","Male","*",31.6,33.3,27.6,30.0
"Fairfield School District","Burr Elementary School","=""0510211""","Female","*",0.0,"*","*","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Male","*","*","*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Female","*",0.0,"*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Male","*","*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Female",7.5,6.9,4.2,5.4,6.6
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Male",7.3,6.0,3.3,3.8,4.2
"Fairfield School District","Fairfield Warde High School","=""0516211""","Female",7.0,6.8,3.5,4.6,4.8
"Fairfield School District","Fairfield Warde High School","=""0516211""","Male",7.9,5.3,2.9,3.9,4.7
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Female",6.1,5.5,4.5,3.2,2.6
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Male",4.8,5.1,5.1,2.1,2.4
"Fairfield School District","Holland Hill School","=""0510411""","Female","*","*",4.3,"*",2.8
"Fairfield School District","Holland Hill School","=""0510411""","Male","*","*",4.1,"*",4.7
"Fairfield School District","Jennings School","=""0511711""","Female","*",0.0,"*","*","*"
"Fairfield School District","Jennings School","=""0511711""","Male","*",0.0,"*","*","*"
"Fairfield School District","McKinley School","=""0510611""","Female",9.0,"*",5.6,5.1,"*"
"Fairfield School District","McKinley School","=""0510611""","Male",6.5,"*",4.1,2.8,"*"
"Fairfield School District","Mill Hill School","=""0510711""","Female","*",0.0,"*","*","*"
"Fairfield School District","Mill Hill School","=""0510711""","Male","*","*","*","*","*"
"Fairfield School District","North Stratfield School","=""0511611""","Female","*","*","*","*",3.0
"Fairfield School District","North Stratfield School","=""0511611""","Male","*","*","*","*",2.8
"Fairfield School District","Osborn Hill School","=""0511811""","Female",2.8,"*",3.9,"*",2.6
"Fairfield School District","Osborn Hill School","=""0511811""","Male",4.1,"*",2.6,"*",4.7
"Fairfield School District","Riverfield School","=""0511211""","Female","*",0.0,"*","*","*"
"Fairfield School District","Riverfield School","=""0511211""","Male","*","*","*","*","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Female",7.5,4.4,4.3,6.3,2.2
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Male",8.3,5.3,6.4,4.9,2.0
"Fairfield School District","Sherman School","=""0511311""","Female","*",0.0,"*","*",3.2
"Fairfield School District","Sherman School","=""0511311""","Male","*","*","*","*",3.0
"Fairfield School District","Stratfield School","=""0511411""","Female","*","*","*","*","*"
"Fairfield School District","Stratfield School","=""0511411""","Male","*","*","*","*","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Female",9.0,7.2,6.5,3.9,4.7
"Fairfield School District","Tomlinson Middle School","=""0515111""","Male",6.8,4.2,4.0,4.2,5.8
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""","Female","N/A","N/A","N/A","*","*"
"Fairfield School District","Walter Fitzgerald Campus","=""0510311""","Male","N/A","N/A","N/A","*","*"
"Fairfield School District","Fairfield School/Community Partnership","=""0510511""","Female","N/A","N/A","N/A","N/A","*"
"Fairfield School District","Fairfield School/Community Partnership","=""0510511""","Male","N/A","N/A","N/A","N/A","*"
"Farmington School District","East Farms School","=""0520411""","Female",3.9,"*","*","*",3.1
"Farmington School District","East Farms School","=""0520411""","Male",3.3,"*","*","*",3.6
"Farmington School District","Farmington High School","=""0526111""","Female",7.9,10.1,9.0,10.6,5.1
"Farmington School District","Farmington High School","=""0526111""","Male",8.1,9.4,10.7,10.9,5.9
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Female",5.9,5.8,4.1,"*",3.1
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Male",5.7,6.4,3.2,"*",6.0
"Farmington School District","Noah Wallace School","=""0520211""","Female","*",5.9,6.1,3.6,"*"
"Farmington School District","Noah Wallace School","=""0520211""","Male","*",5.3,6.1,4.1,"*"
"Farmington School District","Union School","=""0520111""","Female",3.6,3.8,3.9,"*",3.8
"Farmington School District","Union School","=""0520111""","Male",5.2,6.5,5.4,"*",4.5
"Farmington School District","West District School","=""0520311""","Female","*",3.8,3.6,"*","*"
"Farmington School District","West District School","=""0520311""","Male","*",4.3,6.1,"*","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Female",4.4,4.0,4.7,2.8,1.8
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Male",4.2,7.0,5.5,3.4,4.5
"Farmington School District","Farmington Alternative High School","=""0520611""","Female","N/A","N/A","N/A","*","*"
"Farmington School District","Farmington Alternative High School","=""0520611""","Male","N/A","N/A","N/A","*","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Female","*","*","*","*","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Male","*","*","*","*","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Female",2.2,"*",2.3,3.0,"*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Male",2.6,"*",3.0,4.4,"*"
"Glastonbury School District","Eastbury School","=""0540311""","Female","*","*","*","*",0.0
"Glastonbury School District","Eastbury School","=""0540311""","Male","*","*",0.0,"*","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Female",2.3,"*","*","*","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Male",3.1,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","=""0546111""","Female",5.4,4.9,5.0,3.5,3.7
"Glastonbury School District","Glastonbury High School","=""0546111""","Male",3.2,3.8,3.2,4.7,3.4
"Glastonbury School District","Hebron Avenue School","=""0540411""","Female","*","*",0.0,"*",0.0
"Glastonbury School District","Hebron Avenue School","=""0540411""","Male","*","*","*","*","*"
"Glastonbury School District","Hopewell School","=""0540611""","Female","*","*","*","*","*"
"Glastonbury School District","Hopewell School","=""0540611""","Male","*","*","*","*","*"
"Glastonbury School District","Naubuc School","=""0540711""","Female",4.5,2.5,"*","*","*"
"Glastonbury School District","Naubuc School","=""0540711""","Male",6.1,5.9,"*","*","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Female",2.8,3.7,"*","*","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Male",2.7,3.6,"*","*","*"
"Glastonbury School District","Smith Middle School","=""0545211""","Female",3.9,2.6,2.4,2.2,1.1
"Glastonbury School District","Smith Middle School","=""0545211""","Male",3.6,2.5,1.7,1.9,2.6
"Glastonbury School District","LINKS Academy","=""0540111""","Female","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","LINKS Academy","=""0540111""","Male","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","Alternate Program","=""0541311""","Female","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","Alternate Program","=""0541311""","Male","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","LINKS Transition","=""0541411""","Female","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","LINKS Transition","=""0541411""","Male","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","Links Academy","=""0540111""","Female","N/A","N/A","N/A","*","*"
"Glastonbury School District","Links Academy","=""0540111""","Male","N/A","N/A","N/A","*","*"
"Glastonbury School District","PRIDE-Hebron Avenue","=""0541111""","Female","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","PRIDE-Hebron Avenue","=""0541111""","Male","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","PRIDE-Nayaug","=""0541211""","Female","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","PRIDE-Nayaug","=""0541211""","Male","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","Links Transition","=""0541411""","Female","N/A","N/A","N/A","N/A","*"
"Glastonbury School District","Links Transition","=""0541411""","Male","N/A","N/A","N/A","N/A","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Female",6.3,7.1,"*",7.3,5.6
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Male",5.0,4.9,"*",5.1,5.6
"Granby School District","Granby Memorial High School","=""0566111""","Female",5.0,4.0,6.9,6.6,6.4
"Granby School District","Granby Memorial High School","=""0566111""","Male",3.3,3.1,5.3,3.4,4.7
"Granby School District","Granby Memorial Middle School","=""0565111""","Female",9.4,7.5,4.2,"*",4.8
"Granby School District","Granby Memorial Middle School","=""0565111""","Male",5.2,8.3,3.6,"*",6.8
"Granby School District","Kelly Lane Intermediate School","=""0560411""","Female","*","*","*","*","N/A"
"Granby School District","Kelly Lane Intermediate School","=""0560411""","Male","*","*","*","*","N/A"
"Granby School District","Wells Road Intermediate School","=""0560311""","Female","*","*","*","*","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","Male","*","*","*","*","*"
"Granby School District","Kelly Lane Primary School","=""0560411""","Female","N/A","N/A","N/A","N/A","*"
"Granby School District","Kelly Lane Primary School","=""0560411""","Male","N/A","N/A","N/A","N/A","*"
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""","Female","N/A","N/A","N/A",14.5,13.5
"Great Oaks Charter School District","Great Oaks Charter School","=""2940113""","Male","N/A","N/A","N/A",28.8,16.7
"Greenwich School District","Central Middle School","=""0575111""","Female",6.9,8.8,5.9,3.3,"*"
"Greenwich School District","Central Middle School","=""0575111""","Male",8.7,10.8,5.0,2.9,"*"
"Greenwich School District","Cos Cob School","=""0570211""","Female",4.6,4.7,3.2,"*","*"
"Greenwich School District","Cos Cob School","=""0570211""","Male",4.8,6.1,5.7,"*","*"
"Greenwich School District","Eastern Middle School","=""0575211""","Female",5.3,7.5,3.4,2.3,"*"
"Greenwich School District","Eastern Middle School","=""0575211""","Male",5.9,5.1,3.6,2.2,"*"
"Greenwich School District","Glenville School","=""0570411""","Female",6.2,6.8,4.7,"*","*"
"Greenwich School District","Glenville School","=""0570411""","Male",7.7,4.9,5.4,"*","*"
"Greenwich School District","Greenwich High School","=""0576111""","Female",7.3,10.5,5.3,3.3,6.4
"Greenwich School District","Greenwich High School","=""0576111""","Male",5.6,10.5,3.7,3.4,6.0
"Greenwich School District","Hamilton Avenue School","=""0570511""","Female",5.9,6.1,7.6,4.1,6.1
"Greenwich School District","Hamilton Avenue School","=""0570511""","Male",9.0,11.4,3.7,4.7,6.7
"Greenwich School District","International School At Dundee","=""0571311""","Female","*",6.5,"*","*","*"
"Greenwich School District","International School At Dundee","=""0571311""","Male","*",6.6,"*",0.0,"*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Female","*",9.5,7.3,"*","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","Male","*",4.1,4.5,"*","*"
"Greenwich School District","New Lebanon School","=""0570611""","Female","*",6.3,"*","*","*"
"Greenwich School District","New Lebanon School","=""0570611""","Male","*",9.3,"*","*","*"
"Greenwich School District","North Mianus School","=""0570711""","Female",2.6,6.7,3.6,"*","*"
"Greenwich School District","North Mianus School","=""0570711""","Male",3.6,5.8,3.5,"*","*"
"Greenwich School District","North Street School","=""0570811""","Female","*",5.4,3.5,0.0,"*"
"Greenwich School District","North Street School","=""0570811""","Male","*",6.3,4.7,"*","*"
"Greenwich School District","Old Greenwich School","=""0570911""","Female",3.8,6.6,4.6,"*","*"
"Greenwich School District","Old Greenwich School","=""0570911""","Male",5.6,4.0,3.5,0.0,"*"
"Greenwich School District","Parkway School","=""0571111""","Female",10.8,11.8,"*","*","*"
"Greenwich School District","Parkway School","=""0571111""","Male",9.5,10.3,"*","*","*"
"Greenwich School District","Riverside School","=""0571011""","Female","*",4.7,4.3,"*","*"
"Greenwich School District","Riverside School","=""0571011""","Male","*",4.7,3.4,"*","*"
"Greenwich School District","Western Middle School","=""0575311""","Female",8.1,9.5,9.5,5.3,2.3
"Greenwich School District","Western Middle School","=""0575311""","Male",7.1,5.8,8.4,4.7,4.2
"Greenwich School District","Alternative High School Programs","=""0571411""","Female","N/A","N/A","N/A",72.7,"N/A"
"Greenwich School District","Alternative High School Programs","=""0571411""","Male","N/A","N/A","N/A",63.3,"N/A"
"Greenwich School District","Community Connections","=""0571211""","Female","N/A","N/A","N/A","*","*"
"Greenwich School District","Community Connections","=""0571211""","Male","N/A","N/A","N/A","*","*"
"Greenwich School District","Greenwich Alternative High School","=""0571411""","Female","N/A","N/A","N/A","N/A","*"
"Greenwich School District","Greenwich Alternative High School","=""0571411""","Male","N/A","N/A","N/A","N/A","*"
"Griswold School District","Griswold Elementary School","=""0580311""","Female",6.5,7.6,5.9,5.0,3.5
"Griswold School District","Griswold Elementary School","=""0580311""","Male",6.7,6.9,8.6,5.8,5.1
"Griswold School District","Griswold High School","=""0586211""","Female",17.6,14.4,14.4,13.6,13.5
"Griswold School District","Griswold High School","=""0586211""","Male",16.2,16.7,16.4,13.1,12.5
"Griswold School District","Griswold Middle School","=""0585111""","Female",9.4,8.3,8.4,9.9,7.9
"Griswold School District","Griswold Middle School","=""0585111""","Male",11.4,9.8,9.4,11.8,9.8
"Griswold School District","Griswold Alternative School","=""0580111""","Female","N/A","N/A","N/A","*","*"
"Griswold School District","Griswold Alternative School","=""0580111""","Male","N/A","N/A","N/A","*","*"
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Female",7.2,6.4,5.7,5.1,7.6
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Male",10.9,9.1,6.1,10.0,7.9
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","Female",19.1,18.9,"N/A","N/A","N/A"
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","Male",28.4,20.3,"N/A","N/A","N/A"
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Female",19.1,18.9,10.6,9.6,9.7
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Male",28.4,20.3,12.9,12.5,9.8
"Groton School District","Charles Barnum School","=""0591811""","Female",5.9,6.5,4.7,4.4,"*"
"Groton School District","Charles Barnum School","=""0591811""","Male",11.8,11.9,10.7,12.5,"*"
"Groton School District","Fitch Middle School","=""0595111""","Female",10.2,"N/A","N/A","N/A","N/A"
"Groton School District","Fitch Middle School","=""0595111""","Male",10.5,"N/A","N/A","N/A","N/A"
"Groton School District","Mary Morrisson School","=""0591711""","Female",8.3,9.0,8.1,8.8,10.6
"Groton School District","Mary Morrisson School","=""0591711""","Male",8.8,7.5,10.0,12.4,10.1
"Groton School District","Northeast Academy Elementary School","=""0591911""","Female","*",4.1,5.0,3.2,"*"
"Groton School District","Northeast Academy Elementary School","=""0591911""","Male","*",4.8,4.7,2.9,"*"
"Groton School District","Pleasant Valley School","=""0591211""","Female",11.9,7.7,8.7,10.9,10.3
"Groton School District","Pleasant Valley School","=""0591211""","Male",10.6,11.2,10.7,7.9,7.5
"Groton School District","Robert E. Fitch High School","=""0596111""","Female",24.2,24.5,20.5,18.9,18.2
"Groton School District","Robert E. Fitch High School","=""0596111""","Male",25.0,21.8,23.0,19.4,19.0
"Groton School District","S. B. Butler School","=""0590111""","Female",5.3,7.2,"*","*","*"
"Groton School District","S. B. Butler School","=""0590111""","Male",8.0,4.3,"*","*","*"
"Groton School District","West Side Middle School","=""0595211""","Female",10.7,10.9,7.0,8.7,11.0
"Groton School District","West Side Middle School","=""0595211""","Male",13.7,12.6,12.4,14.4,16.2
"Groton School District","Claude Chester School","=""0590311""","Female","N/A","N/A",10.1,11.6,8.4
"Groton School District","Claude Chester School","=""0590311""","Male","N/A","N/A",13.1,11.7,9.4
"Groton School District","New Beginnings Alternative Program","=""0590211""","Female","N/A","N/A","N/A","*","*"
"Groton School District","New Beginnings Alternative Program","=""0590211""","Male","N/A","N/A","N/A","*","*"
"Groton School District","Virtual Learning Academy","=""0590611""","Female","N/A","N/A","N/A","*","*"
"Groton School District","Virtual Learning Academy","=""0590611""","Male","N/A","N/A","N/A","*","*"
"Guilford School District","A. Baldwin Middle School","=""0600711""","Female",4.7,3.8,5.2,5.5,5.1
"Guilford School District","A. Baldwin Middle School","=""0600711""","Male",4.2,6.9,6.3,4.3,6.5
"Guilford School District","A. W. Cox School","=""0600611""","Female","*","*","*","*","*"
"Guilford School District","A. W. Cox School","=""0600611""","Male","*","*","*","*","*"
"Guilford School District","Calvin Leete School","=""0600411""","Female","*","*","*","*","*"
"Guilford School District","Calvin Leete School","=""0600411""","Male","*","*","*","*","*"
"Guilford School District","E. C. Adams Middle School","=""0605111""","Female",6.5,7.9,7.3,5.9,4.3
"Guilford School District","E. C. Adams Middle School","=""0605111""","Male",9.1,9.3,5.6,4.4,8.1
"Guilford School District","Guilford High School","=""0606111""","Female",8.0,10.9,8.2,6.8,4.9
"Guilford School District","Guilford High School","=""0606111""","Male",11.4,11.2,7.4,6.0,3.1
"Guilford School District","Guilford Lakes School","=""0600211""","Female","*","*",4.4,"*","*"
"Guilford School District","Guilford Lakes School","=""0600211""","Male","*","*",8.4,"*","*"
"Guilford School District","Melissa Jones School","=""0600311""","Female","*",3.6,3.7,"*","*"
"Guilford School District","Melissa Jones School","=""0600311""","Male","*",4.4,4.0,"*","*"
"Hamden School District","Bear Path School","=""0621211""","Female",3.8,3.4,4.0,3.0,6.0
"Hamden School District","Bear Path School","=""0621211""","Male",4.7,4.8,5.8,4.6,4.9
"Hamden School District","Church Street School","=""0620211""","Female",14.2,11.2,13.0,9.2,9.5
"Hamden School District","Church Street School","=""0620211""","Male",14.1,14.8,11.6,16.0,11.5
"Hamden School District","Dunbar Hill School","=""0620311""","Female",9.5,11.1,6.5,9.1,9.5
"Hamden School District","Dunbar Hill School","=""0620311""","Male",7.9,12.7,5.4,6.7,5.2
"Hamden School District","Hamden High School","=""0626111""","Female",19.2,23.0,21.8,27.4,37.1
"Hamden School District","Hamden High School","=""0626111""","Male",19.2,24.2,21.5,19.4,31.9
"Hamden School District","Hamden Middle School","=""0625211""","Female",12.1,15.4,17.1,13.8,15.6
"Hamden School District","Hamden Middle School","=""0625211""","Male",17.0,16.8,19.2,11.8,16.7
"Hamden School District","Helen Street School","=""0620411""","Female",6.4,"*",6.8,13.7,11.8
"Hamden School District","Helen Street School","=""0620411""","Male",10.3,"*",14.8,12.4,8.6
"Hamden School District","Ridge Hill School","=""0621111""","Female",11.4,12.9,8.4,11.9,10.6
"Hamden School District","Ridge Hill School","=""0621111""","Male",16.3,15.1,15.6,14.9,14.6
"Hamden School District","Shepherd Glen School","=""0620111""","Female",15.0,13.4,16.1,11.3,11.7
"Hamden School District","Shepherd Glen School","=""0620111""","Male",7.2,13.1,13.7,11.3,9.9
"Hamden School District","Spring Glen School","=""0621011""","Female",5.7,3.8,4.1,4.6,7.3
"Hamden School District","Spring Glen School","=""0621011""","Male",7.4,9.5,8.2,6.3,7.2
"Hamden School District","West Woods School","=""0621411""","Female",4.6,7.1,5.7,3.7,"*"
"Hamden School District","West Woods School","=""0621411""","Male",6.0,7.5,4.7,4.2,"*"
"Hamden School District","Alice Peck Learning Center","=""0628011""","Female","N/A","*","*","*","*"
"Hamden School District","Alice Peck Learning Center","=""0628011""","Male","N/A","*","*","*","*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""","Female","N/A","N/A","N/A",81.8,"*"
"Hamden School District","Hamden Collaborative Learning Center","=""0620511""","Male","N/A","N/A","N/A",79.6,"*"
"Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Female","N/A","N/A","N/A","N/A","*"
"Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","Male","N/A","N/A","N/A","N/A","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Female","*","*","*","*","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Male","*","*","*","*","*"
"Hartford School District","Great Path Academy at MCC","=""0647911""","Female","N/A","N/A","N/A",12.5,11.5
"Hartford School District","Great Path Academy at MCC","=""0647911""","Male","N/A","N/A","N/A",8.3,7.8
"Hartford School District","Asian Studies Academy","=""0640711""","Female",24.9,26.5,25.9,"N/A","N/A"
"Hartford School District","Asian Studies Academy","=""0640711""","Male",29.9,31.6,30.3,"N/A","N/A"
"Hartford School District","Batchelder School","=""0640411""","Female",14.2,21.1,28.1,18.4,21.3
"Hartford School District","Batchelder School","=""0640411""","Male",19.0,26.2,26.9,18.2,22.9
"Hartford School District","Breakthrough II Elementary School","=""0643511""","Female","*",15.6,"*","N/A","N/A"
"Hartford School District","Breakthrough II Elementary School","=""0643511""","Male","*",15.4,"*","N/A","N/A"
"Hartford School District","Breakthrough Magnet School","=""0643311""","Female",3.9,4.5,4.3,9.0,6.9
"Hartford School District","Breakthrough Magnet School","=""0643311""","Male",4.8,5.0,4.9,6.1,6.6
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Female",46.9,40.3,39.9,51.7,45.1
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Male",48.1,46.9,42.2,52.3,44.4
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Female",52.4,53.7,50.6,57.8,48.7
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Male",44.0,48.3,53.5,48.6,50.0
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Female",46.5,41.5,31.5,33.3,32.4
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Male",51.9,48.3,32.7,35.6,35.6
"Hartford School District","Burr School","=""0642311""","Female",22.8,21.3,29.6,24.3,19.7
"Hartford School District","Burr School","=""0642311""","Male",28.5,16.3,25.5,26.0,25.7
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Female","*",4.3,12.3,5.8,3.4
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Male","*",2.6,11.5,3.2,6.3
"Hartford School District","Clark School","=""0642411""","Female",38.0,45.5,34.3,39.0,32.8
"Hartford School District","Clark School","=""0642411""","Male",42.0,46.7,41.4,38.0,25.4
"Hartford School District","Classical Magnet School","=""0646411""","Female",3.7,"*",6.0,7.7,7.4
"Hartford School District","Classical Magnet School","=""0646411""","Male",2.5,"*",2.8,7.8,8.6
"Hartford School District","Culinary Arts Academy","=""0646011""","Female",55.0,68.6,60.2,54.8,67.2
"Hartford School District","Culinary Arts Academy","=""0646011""","Male",57.0,69.1,56.6,57.4,62.0
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Female",18.9,16.8,25.9,19.6,18.2
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Male",17.8,15.3,19.4,24.1,21.0
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","Female",16.2,0.0,"N/A","N/A","N/A"
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","Male",21.2,"*","N/A","N/A","N/A"
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Female",37.2,35.0,34.0,"N/A","N/A"
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Male",46.0,41.0,37.8,"N/A","N/A"
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Female",10.5,9.5,11.0,4.3,6.6
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Male",12.8,9.6,8.6,6.8,7.2
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Female",26.8,20.2,"*",26.3,18.9
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Male",30.3,22.3,"*",26.2,21.3
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Female",22.2,27.4,21.8,28.9,21.7
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Male",28.9,27.7,30.3,24.8,30.1
"Hartford School District","Global Communications Academy","=""0643611""","Female",15.5,17.1,13.9,8.5,11.5
"Hartford School District","Global Communications Academy","=""0643611""","Male",13.3,23.8,21.8,8.4,12.7
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Female",67.9,60.0,63.6,64.7,37.5
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Male",62.8,62.3,60.2,64.4,43.2
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Female",54.2,60.0,66.0,64.9,55.6
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Male",68.1,68.7,70.3,64.3,61.2
"Hartford School District","HPHS Freshmen Academy","=""0647311""","Female",61.6,"N/A","N/A","N/A","N/A"
