"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",92.9
"Hartford School District","MDP - HPHS Law and Government Academy","=""0644911""",19.4
"Hartford School District","EDP - M.D. Fox","=""0645911""","*"
"Hartford School District","Autism Program - Sarah J. Rawson Elementary School","=""0644411""",33.3
"Hartford School District","Capital Community College Magnet Academy","=""0643911""",34.0
"Hartford School District","Renzulli Academy","=""0644011""",11.6
"Hartford School District","Montessori Magnet at Moylan School","=""0640511""","*"
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""",21.1
"Hartford School District","Betances Early Reading Lab Magnet School","=""0642811""",16.7
"Hartford School District","Breakthrough II Magnet School","=""0643511""",9.1
"Hartford School District","High School, Inc.","=""0647611""",53.2
"Hartford School District","Montessori Magnet at Fisher School","=""0643711""",7.1
"Hartford School District","Clark School","=""0642411""",29.4
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""",21.4
"Hartford School District","Great Path Academy at MCC","=""0647911""",10.0
"Hartford School District","Culinary Arts Academy","=""0646011""",64.5
"Hartford School District","Simpson-Waverly School","=""0642611""",29.6
"Hartford School District","Fred D. Wish Museum School","=""0642211""",25.7
"Hartford School District","Breakthrough Magnet School","=""0643311""",6.8
"Hartford School District","STEM Magnet School at Dwight","=""0643811""",4.4
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""",42.0
"Hartford School District","M. L. King School","=""0641611""",24.6
"Hartford School District","Milner Elementary School","=""0641911""",26.4
"Hartford School District","Bulkeley High School Upper School","=""0647111""",49.4
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""",6.1
"Hartford School District","HPHS Law and Government Academy","=""0647411""",46.4
"Hartford School District","West Middle School","=""0642111""",22.9
"Hartford School District","Bulkeley High School Lower School","=""0646111""",44.7
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""",57.1
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""",18.4
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""",21.3
"Hartford School District","SAND School","=""0640111""",26.4
"Hartford School District","University High School of Science and Engineering","=""0646711""",10.7
"Hartford School District","Sanchez School","=""0643011""",16.9
"Hartford School District","Batchelder School","=""0640411""",22.2
"Hartford School District","Burns Latino Studies Academy","=""0640611""",34.1
"Hartford School District","Parkville Community School","=""0641511""",24.2
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""",20.1
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",6.9
"Hartford School District","Capital Preparatory Magnet School","=""0646911""",4.9
"Hartford School District","Noah Webster Micro Society School","=""0642011""",3.5
"Hartford School District","Kennelly School","=""0641011""",23.6
"Hartford School District","M. D. Fox Elementary School","=""0640811""",19.8
"Hartford School District","Burr School","=""0642311""",23.0
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",19.6
"Hartford School District","Asian Studies Academy at Bellizzi School","=""0640711""",34.9
"Hartford School District","Global Communications Academy","=""0643611""",12.1
"Hartford School District","Classical Magnet School","=""0646411""",7.9
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""",15.3
"Hartford School District","Kinsella Magnet School of Performing Arts","=""0641111""",4.1
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""",8.9
"Hartland School District","Hartland School","=""0650111""","*"
"Hebron School District","Gilead Hill School","=""0670211""","*"
"Hebron School District","Hebron Elementary School","=""0670111""","*"
"Highville Charter School District","Highville Charter School","=""2860113""",7.0
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""",4.4
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""",7.3
"Jumoke Academy District","Jumoke Academy","=""2610113""",6.3
"Kent School District","Kent Center School","=""0680111""",2.6
"Killingly School District","Killingly Alternative Learning Program","=""0690611""","*"
"Killingly School District","Killingly Central School","=""0690111""",10.1
"Killingly School District","Killingly Memorial School","=""0690311""",2.0
"Killingly School District","Killingly Intermediate School","=""0695211""",10.1
"Killingly School District","Killingly High School","=""0696111""",18.3
"Learn","Learn STS 18-21 Year Old Program","=""2450414""","*"
"Learn","Learn Pathways Program","=""2450514""","*"
"Learn","Learn Ledyard RICHES Program","=""2450714""","*"
"Learn","Learn High School ABA at MS","=""2450614""","*"
"Learn","Learn Kelly Middle School Intensive Program","=""2450914""","*"
"Learn","Learn ABA Program at Center School","=""2451214""","*"
"Learn","Learn SAILS Middle School Program","=""2450814""","*"
"Learn","Learn SAILS Program at Salem","=""2451014""","*"
"Learn","Learn Haynes Elementary Intensive Program","=""2451114""","*"
"Learn","Three Rivers Middle College Magnet School","=""2456214""",10.4
"Learn","The Friendship School","=""2450214""",14.0
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""",10.1
"Learn","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",16.8
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",11.4
"Learn","Connecticut River Academy","=""2456014""",10.7
"Learn","Regional Multicultural Magnet School","=""2450114""",5.1
"Lebanon School District","Lebanon Middle School","=""0715111""",4.6
"Lebanon School District","Lebanon Elementary School","=""0710111""",2.1
"Lebanon School District","Lyman Memorial High School","=""0716211""",11.1
"Ledyard School District","Gales Ferry School","=""0720211""","*"
"Ledyard School District","Juliet W. Long School","=""0720311""",2.7
"Ledyard School District","Gallup Hill School","=""0720411""",8.2
"Ledyard School District","Ledyard Middle School","=""0725111""",4.1
"Ledyard School District","Ledyard Center School","=""0720111""",4.0
"Ledyard School District","Ledyard High School","=""0726111""",12.4
"Lisbon School District","Lisbon Central School","=""0730111""",4.8
"Litchfield School District","Center School","=""0740211""",14.4
"Litchfield School District","Litchfield Middle School","=""0746011""","*"
"Litchfield School District","Litchfield Intermediate School","=""0740311""",3.7
"Litchfield School District","Litchfield High School","=""0746111""",11.5
"Madison School District","Kathleen H. Ryerson Elementary School","=""0760311""","*"
"Madison School District","Island Avenue Elementary School","=""0760211""",0.0
"Madison School District","J. Milton Jeffrey Elementary School","=""0760111""","*"
"Madison School District","Dr. Robert H. Brown Middle School","=""0760611""",2.9
"Madison School District","Walter C. Polson Upper Middle School","=""0765211""",3.6
"Madison School District","Daniel Hand High School","=""0766111""",1.3
"Manchester School District","Elementary Site 2","=""0771111""","*"
"Manchester School District","Manchester Transition Center","=""0779111""","*"
"Manchester School District","New Horizons","=""0770711""",73.1
"Manchester School District","Bentley Alternative Education Program","=""0770211""",62.1
"Manchester School District","Manchester Regional Academy","=""0779011""",52.3
"Manchester School District","Highland Park School","=""0770411""",7.1
"Manchester School District","Martin School","=""0771611""",5.5
"Manchester School District","Keeney School","=""0770611""",8.2
"Manchester School District","Buckley School","=""0770311""",9.0
"Manchester School District","Robertson School","=""0771011""",4.4
"Manchester School District","Waddell School","=""0771311""",8.3
"Manchester School District","Washington School","=""0771411""",14.6
"Manchester School District","Verplanck School","=""0771211""",9.6
"Manchester School District","Bowers School","=""0770111""",6.7
"Manchester School District","Elisabeth M. Bennet Academy","=""0771711""",12.9
"Manchester School District","Illing Middle School","=""0775311""",11.3
"Manchester School District","Manchester High School","=""0776111""",24.3
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""",4.0
"Mansfield School District","Southeast Elementary School","=""0780511""",7.3
"Mansfield School District","Annie E. Vinton School","=""0780411""",5.3
"Mansfield School District","Mansfield Middle School School","=""0785111""",4.4
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""",3.6
"Meriden School District","Nathan Hale School","=""0800711""",7.6
"Meriden School District","Community Classroom Collaborative-Meriden School District","=""0800211""","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","*"
"Meriden School District","Success Academy","=""0801411""",51.7
"Meriden School District","Steps-Meriden School District","=""0801211""",40.0
"Meriden School District","STARS-Meriden School District","=""0800611""",15.8
"Meriden School District","Venture Academy-Meriden School District","=""0801311""",93.3
"Meriden School District","Benjamin Franklin School","=""0800111""",6.7
"Meriden School District","Thomas Hooker School","=""0801011""",4.4
"Meriden School District","Roger Sherman School","=""0800811""",12.9
"Meriden School District","John Barry School","=""0800511""",9.2
"Meriden School District","Casimir Pulaski School","=""0801111""",6.3
"Meriden School District","Israel Putnam School","=""0800411""",9.1
"Meriden School District","Hanover School","=""0800311""",6.0
"Meriden School District","Washington Middle School","=""0805411""",16.7
"Meriden School District","Lincoln Middle School","=""0805211""",11.6
"Meriden School District","Orville H. Platt High School","=""0806211""",19.0
"Meriden School District","Francis T. Maloney High School","=""0806111""",16.2
"Middletown School District","ICM - Farm Hill","=""0830611""","*"
"Middletown School District","ICM - Lawrence","=""0830711""","*"
"Middletown School District","ICM- Woodrow Wilson Middle School","=""0830411""","*"
"Middletown School District","OASIS","=""0830311""","*"
"Middletown School District","ICM - Wesley","=""0830811""","*"
"Middletown School District","MHS - Alternative Education Program 1","=""0831811""","*"
"Middletown School District","ICM - Spencer","=""0832011""","*"
"Middletown School District","MHS- Alternative Education Program 3","=""0832211""","*"
"Middletown School District","MHS - Alternative Education Program 2","=""0831911""","*"
"Middletown School District","Virtual Learning Academy - MHS","=""0831711""","*"
"Middletown School District","Evening Program - MHS","=""0831611""","*"
"Middletown School District","STEM - Macdonough","=""0832111""","*"
"Middletown School District","Transition to Life Center","=""0839111""",59.3
"Middletown School District","MacDonough School","=""0830911""",6.3
"Middletown School District","Wesley School","=""0831411""",4.6
"Middletown School District","Moody School","=""0831211""","*"
"Middletown School District","Lawrence School","=""0831311""","*"
"Middletown School District","Snow School","=""0831111""",3.9
"Middletown School District","Spencer School","=""0830111""",3.4
"Middletown School District","Bielefield School","=""0830211""",4.4
"Middletown School District","Keigwin Middle School","=""0831511""",10.1
"Middletown School District","Farm Hill School","=""0830511""",4.4
"Middletown School District","Woodrow Wilson Middle School","=""0835411""",6.2
"Middletown School District","Middletown High School","=""0836211""",14.9
"Milford School District","The Academy","=""0840311""",75.0
"Milford School District","Pumpkin Delight School","=""0841011""",7.7
"Milford School District","Live Oaks School","=""0841611""",4.4
"Milford School District","Calf Pen Meadow School","=""0840111""",2.4
"Milford School District","Meadowside School","=""0840711""",7.4
"Milford School District","Orchard Hills School","=""0841811""",4.3
"Milford School District","J. F. Kennedy School","=""0841911""",2.7
"Milford School District","Orange Avenue School","=""0840811""",3.1
"Milford School District","Mathewson School","=""0841711""",2.9
"Milford School District","West Shore Middle School","=""0845311""",7.4
"Milford School District","East Shore Middle School","=""0845111""",4.2
"Milford School District","Harborside Middle School","=""0845211""",4.3
"Milford School District","Joseph A. Foran High School","=""0846311""",9.4
"Milford School District","Jonathan Law High School","=""0846211""",13.3
"Monroe School District","Masuk Alternative Program","=""0850211""","*"
"Monroe School District","Monroe Elementary School","=""0850111""",0.0
"Monroe School District","Stepney Elementary School","=""0850311""",1.6
"Monroe School District","Fawn Hollow Elementary School","=""0850511""",1.8
"Monroe School District","Jockey Hollow School","=""0855211""",3.8
"Monroe School District","Masuk High School","=""0856111""",2.9
"Montville School District","Palmer Academy","=""0869011""",64.0
"Montville School District","Oakdale School","=""0860511""",3.0
"Montville School District","Mohegan School","=""0860111""",2.4
"Montville School District","Dr. Charles E. Murphy School","=""0860711""",2.0
"Montville School District","Leonard J. Tyl Middle School","=""0865111""",6.7
"Montville School District","Montville High School","=""0866111""",9.6
"Naugatuck School District","Genesis Academy","=""0880911""","*"
"Naugatuck School District","Salem School","=""0880611""",9.0
"Naugatuck School District","Western School","=""0880711""",6.3
"Naugatuck School District","Andrew Avenue School","=""0880811""",8.1
"Naugatuck School District","Hop Brook Elementary School","=""0880511""",8.2
"Naugatuck School District","Cross Street Intermediate School","=""0880211""",8.4
"Naugatuck School District","Hillside Intermediate School","=""0880411""",6.5
"Naugatuck School District","Maple Hill School","=""0880311""",4.7
"Naugatuck School District","City Hill Middle School","=""0885111""",11.7
"Naugatuck School District","Naugatuck High School","=""0886111""",18.3
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""",7.4
"New Britain School District","Hartford Detention Center","=""3480315""","*"
"New Britain School District","Sunrise Intermediate","=""0890411""","*"
"New Britain School District","KEY Middle","=""0891711""","*"
"New Britain School District","Behavior Support","=""0891011""","*"
"New Britain School District","CLIMB","=""0899411""","*"
"New Britain School District","Sunrise Primary","=""0890211""","*"
"New Britain School District","Steps","=""0891811""",25.0
"New Britain School District","KEY Elementary","=""0891611""",29.3
"New Britain School District","New Britain Transition Center","=""0899011""",50.0
"New Britain School District","Alternative Center School","=""0899111""",71.2
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","*"
"New Britain School District","Northend School","=""0890911""",9.3
"New Britain School District","Gaffney School","=""0890511""",6.4
"New Britain School District","Jefferson School","=""0890711""",4.0
"New Britain School District","Holmes School","=""0890611""",10.7
"New Britain School District","Chamberlain  Elementary School","=""0890311""",10.8
"New Britain School District","Vance School","=""0891511""",10.3
"New Britain School District","Smith School","=""0891311""",5.0
"New Britain School District","Lincoln School","=""0890811""",13.1
"New Britain School District","Smalley Academy","=""0891211""",17.0
"New Britain School District","Frank J. DiLoreto School","=""0891111""",8.4
"New Britain School District","Slade Middle School","=""0895211""",20.6
"New Britain School District","Pulaski Middle School","=""0895311""",17.5
"New Britain School District","New Britain High School","=""0896111""",33.3
"New Canaan School District","West School","=""0900311""",2.4
"New Canaan School District","East School","=""0900411""",2.0
"New Canaan School District","South School","=""0900211""","*"
"New Canaan School District","New Canaan High School","=""0906111""",3.3
"New Canaan School District","Saxe Middle School","=""0905111""",2.1
"New Fairfield School District","Alternative Learning Center","=""0910311""","*"
"New Fairfield School District","Consolidated School","=""0910111""",2.8
"New Fairfield School District","Meeting House Hill School","=""0910211""",2.7
"New Fairfield School District","New Fairfield Middle School","=""0915211""",4.8
"New Fairfield School District","New Fairfield High School","=""0916111""",2.5
"New Hartford School District","New Hartford Elementary School","=""0920211""","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","*"
"New Hartford School District","Ann Antolini School","=""0920311""",3.7
"New Haven School District","Edgewood School","=""0931211""",8.7
"New Haven School District","Nathan Hale School","=""0931411""",9.7
"New Haven School District","Polly T. McCabe Center","=""0939211""","*"
"New Haven School District","Blake Street Leadership Academy (STEP)","=""0932411""","*"
"New Haven School District","NHPS Self Contained Intellectually Disabled","=""0935011""","*"
"New Haven School District","Off-Campus Classroom Program (OCC)","=""0937311""",27.5
"New Haven School District","NHPS Self Contained Autism","=""0934411""",31.7
"New Haven School District","NHPS Self Contained Multi-Handicapped","=""0934511""",63.4
"New Haven School District","Domus Academy","=""0935611""",67.4
"New Haven School District","New Light High School","=""0932611""",74.6
"New Haven School District","Riverside Education Academy","=""0939111""",75.9
"New Haven School District","New Horizons High School","=""0932211""",88.9
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""",35.3
"New Haven School District","West Rock Authors Academy","=""0934911""",21.3
"New Haven School District","High School In The Community","=""0936611""",32.9
"New Haven School District","New Haven Academy","=""0937011""",22.2
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""",11.0
"New Haven School District","Sound School","=""0936711""",12.7
"New Haven School District","Lincoln-Bassett School","=""0932011""",19.5
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""",17.7
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",19.2
"New Haven School District","Metropolitan Business Academy","=""0936011""",21.4
"New Haven School District","Wexler/Grant Community School","=""0933211""",20.0
"New Haven School District","East Rock Community Magnet School","=""0934611""",17.1
"New Haven School District","Columbus Family Academy","=""0934111""",9.8
"New Haven School District","Worthington Hooker School","=""0933811""",5.8
"New Haven School District","Beecher School","=""0930311""",22.5
"New Haven School District","John C. Daniels","=""0931311""",11.9
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""",13.7
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""",6.2
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""",9.7
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""",19.3
"New Haven School District","Bishop Woods School","=""0934311""",11.8
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""",10.8
"New Haven School District","Hill Central Music Academy","=""0930711""",19.7
"New Haven School District","Truman School","=""0932911""",16.9
"New Haven School District","King/Robinson Magnet School","=""0933011""",13.2
"New Haven School District","Augusta Lewis Troup School","=""0931511""",29.5
"New Haven School District","Barnard Environmental Magnet School","=""0930211""",16.2
"New Haven School District","John S. Martinez School","=""0930811""",11.7
"New Haven School District","Clemente Leadership Academy","=""0934211""",21.5
"New Haven School District","Clinton Avenue School","=""0930611""",18.7
"New Haven School District","Engineering - Science University Magnet School","=""0931711""",13.6
"New Haven School District","Conte/West Hills Magnet School","=""0933111""",14.3
"New Haven School District","Ross/Woodward School","=""0931011""",12.7
"New Haven School District","Cooperative High School","=""0936411""",13.5
"New Haven School District","Hill Regional Career High School","=""0936311""",21.1
"New Haven School District","Fair Haven School","=""0931611""",18.6
"New Haven School District","James Hillhouse High School","=""0936211""",39.0
"New Haven School District","Wilbur Cross High School","=""0936111""",41.6
"New London School District","Jennings School","=""0950311""",17.4
"New London School District","Early Childhood Center at Harbor","=""0950611""",27.8
"New London School District","Nathan Hale Arts Magnet School","=""0950911""",15.8
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""",14.8
"New London School District","Bennie Dover Jackson Middle School","=""0955111""",13.1
"New London School District","New London High School","=""0956111""",17.4
"New Milford School District","Litchfield Hills Transition Center","=""0969011""","*"
"New Milford School District","Hill And Plain School","=""0960511""",5.4
"New Milford School District","Northville Elementary School","=""0960811""",6.2
"New Milford School District","Sarah Noble Intermediate School","=""0960911""",3.2
"New Milford School District","Schaghticoke Middle School","=""0965211""",4.4
"New Milford School District","New Milford High School","=""0966111""",8.1
"Newington School District","Elizabeth Green School","=""0940211""",2.1
"Newington School District","Ruth Chaffee School","=""0940711""",2.7
"Newington School District","John Paterson School","=""0940811""",2.5
"Newington School District","Anna Reynolds School","=""0940611""",2.7
"Newington School District","Martin Kellogg Middle School","=""0945111""",2.4
"Newington School District","John Wallace Middle School","=""0945311""",1.8
"Newington School District","Newington High School","=""0946111""",10.0
"Newtown School District","STARR","=""0979011""","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""",4.7
"Newtown School District","Hawley Elementary School","=""0970111""",2.2
"Newtown School District","Sandy Hook Elementary School","=""0970211""",2.1
"Newtown School District","Middle Gate Elementary School","=""0970311""",3.8
"Newtown School District","Reed Intermediate School","=""0970511""",3.0
"Newtown School District","Newtown Middle School","=""0975111""",5.7
"Newtown School District","Newtown High School","=""0976111""",5.3
"Norfolk School District","Botelle Elementary School","=""0980111""","*"
"North Branford School District","School to Work Program","=""0999011""","*"
"North Branford School District","Jerome Harrison School","=""0990411""","*"
"North Branford School District","Totoket Valley Elementary School","=""0990611""",3.5
"North Branford School District","North Branford Intermediate School","=""0995111""",3.5
"North Branford School District","North Branford High School","=""0996111""",8.8
"North Canaan School District","North Canaan Elementary School","=""1000111""",5.7
"North Haven School District","North Haven Transition Partnership","=""1010111""","*"
"North Haven School District","Montowese Elementary School","=""1010211""","*"
"North Haven School District","Clintonville Elementary School","=""1010811""",2.6
"North Haven School District","Green Acres Elementary School","=""1010711""",3.1
"North Haven School District","Ridge Road Elementary School","=""1010311""",3.5
"North Haven School District","North Haven Middle School","=""1015211""",8.0
"North Haven School District","North Haven High School","=""1016111""",2.3
"North Stonington School District","Wheeler Middle School","=""1025111""",4.5
"North Stonington School District","Wheeler High School","=""1026111""",5.3
"North Stonington School District","North Stonington Elementary School","=""1020111""",3.6
"Norwalk School District","Norwalk Pathways Academy at Briggs","=""1036311""",69.2
"Norwalk School District","Wolfpit School","=""1032411""",7.0
"Norwalk School District","Columbus Magnet School","=""1030311""",4.0
"Norwalk School District","Tracey School","=""1031411""",8.7
"Norwalk School District","Naramake Elementary School","=""1032111""",6.1
"Norwalk School District","Fox Run Elementary School","=""1032011""",6.0
"Norwalk School District","Brookside Elementary School","=""1030211""",4.4
"Norwalk School District","Cranbury Elementary School","=""1030411""",5.6
"Norwalk School District","Rowayton School","=""1031311""",5.1
"Norwalk School District","Marvin Elementary School","=""1032211""",4.1
"Norwalk School District","Roton Middle School","=""1035511""",5.6
"Norwalk School District","Silvermine Elementary School","=""1032311""",6.7
"Norwalk School District","Kendall Elementary School","=""1030811""",7.4
"Norwalk School District","Jefferson Magnet School","=""1030711""",7.3
"Norwalk School District","Ponus Ridge Middle School","=""1035311""",9.0
"Norwalk School District","Nathan Hale Middle School","=""1035211""",6.9
"Norwalk School District","West Rocks Middle School","=""1035411""",8.7
"Norwalk School District","Norwalk High School","=""1036111""",18.3
"Norwalk School District","Brien McMahon High School","=""1036211""",15.7
"Norwich Free Academy District","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*"
"Norwich Free Academy District","Alternative Pathways to Success","=""9010322""","*"
"Norwich Free Academy District","Night School","=""9010222""","*"
"Norwich Free Academy District","Norwich Free Academy","=""9016122""",10.2
"Norwich School District","Virtual Learning Academy","=""1049211""","*"
"Norwich School District","IRS Program at Uncas","=""1040711""","*"
"Norwich School District","IRS Program at Moriarty","=""1040911""","*"
"Norwich School District","ABA Autism Program","=""1040411""","*"
"Norwich School District","Special Needs Program","=""1040511""","*"
"Norwich School District","Uncas Network School","=""1041911""",8.8
"Norwich School District","Wequonnoc Magnet School","=""1041511""",7.1
"Norwich School District","Thomas W. Mahan School","=""1041711""",2.3
"Norwich School District","Veterans' Memorial School","=""1041811""",12.3
"Norwich School District","John B. Stanton Network School","=""1041411""",8.0
"Norwich School District","Samuel Huntington School","=""1040811""",4.7
"Norwich School District","Teachers' Memorial Middle School","=""1045211""",8.1
"Norwich School District","Moriarty Magnet School","=""1042011""",10.4
"Norwich School District","Kelly Middle School","=""1045111""",9.6
"Odyssey Community School District","Odyssey Community School","=""2635113""",4.3
"Old Saybrook School District","Kathleen E. Goodwin School","=""1060211""",4.2
"Old Saybrook School District","Old Saybrook Senior High School","=""1066111""",12.3
"Old Saybrook School District","Old Saybrook Middle School","=""1065211""",2.4
"Orange School District","Mary L. Tracy School","=""1070211""","*"
"Orange School District","Turkey Hill School","=""1070411""",2.7
"Orange School District","Peck Place School","=""1070511""",2.7
"Orange School District","Race Brook School","=""1070311""",3.8
"Oxford School District","Alternative Education","=""1080411""","*"
"Oxford School District","Quaker Farms School","=""1080311""",2.1
"Oxford School District","Oxford Center School","=""1080111""",1.7
"Oxford School District","Great Oak School","=""1085111""",7.7
"Oxford School District","Oxford High School","=""1086011""",12.1
"Park City Prep Charter School District","Park City Prep Charter School","=""2835113""",6.3
"Path Academy District","Path Academy","=""2930113""",100.0
"Plainfield School District","Moosup Elementary School","=""1090111""",4.1
"Plainfield School District","Shepard Hill Elementary School","=""1090411""",13.8
"Plainfield School District","Plainfield Memorial School","=""1090311""",4.2
"Plainfield School District","Plainfield Central School","=""1095111""",6.7
"Plainfield School District","Plainfield High School","=""1096111""",21.7
"Plainville School District","Frank T. Wheeler School","=""1100411""",5.4
"Plainville School District","Louis Toffolon School","=""1100511""",4.1
"Plainville School District","Linden Street School","=""1100211""",6.1
"Plainville School District","Middle School of Plainville","=""1105211""",7.6
"Plainville School District","Plainville High School","=""1106111""",11.8
"Plymouth School District","Plymouth Alternative High School","=""1117111""","*"
"Plymouth School District","Plymouth Center School","=""1110211""",3.4
"Plymouth School District","Harry S. Fisher Elementary School","=""1110411""",8.1
"Plymouth School District","Eli Terry Jr. Middle School","=""1115111""",6.5
"Plymouth School District","Terryville High School","=""1116111""",20.4
"Pomfret School District","Pomfret Community School","=""1120111""",2.6
"Portland School District","Gildersleeve School","=""1130411""","*"
"Portland School District","Portland Middle School","=""1135111""",5.9
"Portland School District","Brownstone Intermediate School","=""1130511""",3.6
"Portland School District","Valley View School","=""1130211""",4.8
"Portland School District","Portland High School","=""1136111""",11.1
"Preston School District","Preston Plains School","=""1145111""",5.3
"Preston School District","Preston Veterans' Memorial School","=""1140411""",4.3
"Putnam School District","Helping Hands","=""1169011""","*"
"Putnam School District","PALS - Putnam Alternative Learning System","=""1160111""","*"
"Putnam School District","Putnam Middle School","=""1165111""",16.2
"Putnam School District","Putnam High School","=""1166111""",24.5
"Putnam School District","Putnam Elementary School","=""1160311""",6.7
"Redding School District","Redding Elementary School","=""1170111""",2.3
"Redding School District","John Read Middle School","=""1175111""",3.6
"Regional School District 01","LEAPSS","=""2010412""","*"
"Regional School District 01","SELC","=""2010312""","*"
"Regional School District 01","TOTAL","=""2010212""","*"
"Regional School District 01","ALPSS","=""2010512""","*"
"Regional School District 01","Housatonic Valley Regional High School","=""2016112""",10.5
"Regional School District 04","Region 4 Transition Academy","=""2040112""","*"
"Regional School District 04","John Winthrop Middle School","=""2045112""",4.1
"Regional School District 04","Valley Regional High School","=""2046112""",7.9
"Regional School District 05","Amity Middle School: Orange","=""2055212""",4.7
"Regional School District 05","Amity Middle School: Bethany","=""2055112""",8.1
"Regional School District 05","Amity Regional High School","=""2056112""",0.7
"Regional School District 06","Warren Elementary School","=""2060312""","*"
"Regional School District 06","James Morris School","=""2060212""","*"
"Regional School District 06","Goshen Center School","=""2060112""",5.3
"Regional School District 06","Wamogo Regional High School","=""2066112""",4.8
"Regional School District 07","SAGE","=""3480415""","*"
"Regional School District 07","FLEX","=""2079012""","*"
"Regional School District 07","AIM","=""2079112""","*"
"Regional School District 07","Links","=""2079212""","*"
"Regional School District 07","Highlander Transition Academy","=""2070112""","*"
"Regional School District 07","STEP","=""2079312""",81.8
"Regional School District 07","Northwestern Regional Middle School","=""2075112""","*"
"Regional School District 07","Northwestern Regional High School","=""2076112""",3.1
"Regional School District 08","RHAM Middle School","=""2085112""",3.0
"Regional School District 08","RHAM High School","=""2086112""",8.4
"Regional School District 09","Joel Barlow High School","=""2096112""",9.2
"Regional School District 10","Harwinton Consolidated School","=""2100312""",1.6
"Regional School District 10","Lake Garda Elementary School","=""2100212""",1.9
"Regional School District 10","Lewis S. Mills High School","=""2106112""",13.8
"Regional School District 10","Har-Bur Middle School","=""2105112""",3.0
"Regional School District 11","Parish Hill High School","=""2116112""",9.7
"Regional School District 12","The Burnham School","=""2120112""","*"
"Regional School District 12","Booth Free School","=""2120212""","*"
"Regional School District 12","Washington Primary School","=""2120412""","*"
"Regional School District 12","Shepaug Valley School","=""2120312""",7.6
"Regional School District 13","Middlesex Transition Academy","=""2130312""","*"
"Regional School District 13","Francis E. Korn School","=""2130212""",0.0
"Regional School District 13","Frederick Brewster School","=""2130112""","*"
"Regional School District 13","John Lyman School","=""2130512""",2.8
"Regional School District 13","Middlefield Memorial School","=""2130412""",2.3
"Regional School District 13","Frank Ward Strong School","=""2135112""",4.7
"Regional School District 13","Coginchaug Regional High School","=""2136112""",9.2
"Regional School District 14","Nonnewaug Chiefs Alternative Program","=""2140312""","*"
"Regional School District 14","Region 14 Transition Academy","=""2140412""","*"
"Regional School District 14","Bethlehem Elementary School","=""2140112""",3.8
"Regional School District 14","Woodbury Middle School","=""2145112""",3.9
"Regional School District 14","Mitchell Elementary School","=""2140212""",8.3
"Regional School District 14","Nonnewaug High School","=""2146112""",6.6
"Regional School District 15","MIJ Program","=""2150112""","*"
"Regional School District 15","Middlebury Elementary School","=""2150612""",2.7
"Regional School District 15","Pomperaug School","=""2150512""",3.1
"Regional School District 15","Gainfield Elementary School","=""2150412""",1.6
"Regional School District 15","Memorial Middle School","=""2155212""",2.9
"Regional School District 15","Long Meadow Elementary School","=""2150712""",3.0
"Regional School District 15","Rochambeau Middle School","=""2155112""",3.1
"Regional School District 15","Pomperaug Regional High School","=""2156212""",3.3
"Regional School District 16","WRHS Alternative Education Program","=""2160412""","*"
