"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Danbury School District","Shelter Rock School","=""0341211""","Grade   4","*"
"Danbury School District","Shelter Rock School","=""0341211""","Grade   5","*"
"Danbury School District","South Street School","=""0341011""","Kindergarten","*"
"Danbury School District","South Street School","=""0341011""","Grade   1","*"
"Danbury School District","South Street School","=""0341011""","Grade   2","*"
"Danbury School District","South Street School","=""0341011""","Grade   3",0.0
"Danbury School District","South Street School","=""0341011""","Grade   4",0.0
"Danbury School District","South Street School","=""0341011""","Grade   5","*"
"Danbury School District","Stadley Rough School","=""0341611""","Kindergarten",14.3
"Danbury School District","Stadley Rough School","=""0341611""","Grade   1",8.3
"Danbury School District","Stadley Rough School","=""0341611""","Grade   2","*"
"Danbury School District","Stadley Rough School","=""0341611""","Grade   3",6.7
"Danbury School District","Stadley Rough School","=""0341611""","Grade   4","*"
"Danbury School District","Stadley Rough School","=""0341611""","Grade   5","*"
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Kindergarten","*"
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Grade   1","*"
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Grade   2",0.0
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Grade   3","*"
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Grade   4","*"
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Grade   5","*"
"Danbury School District","King Street Intermediate School","=""0341711""","Grade   4",6.9
"Danbury School District","King Street Intermediate School","=""0341711""","Grade   5",7.8
"Danbury School District","Broadview Middle School","=""0345111""","Grade   6",3.2
"Danbury School District","Broadview Middle School","=""0345111""","Grade   7",3.7
"Danbury School District","Broadview Middle School","=""0345111""","Grade   8",4.5
"Danbury School District","Rogers Park Middle School","=""0345211""","Grade   6",3.1
"Danbury School District","Rogers Park Middle School","=""0345211""","Grade   7",5.0
"Danbury School District","Rogers Park Middle School","=""0345211""","Grade   8",6.3
"Danbury School District","Westside Middle School Academy","=""0340311""","Grade   6","*"
"Danbury School District","Westside Middle School Academy","=""0340311""","Grade   7","*"
"Danbury School District","Westside Middle School Academy","=""0340311""","Grade   8","*"
"Danbury School District","Alternative Center For Excellence","=""0346211""","Grade   9",68.0
"Danbury School District","Alternative Center For Excellence","=""0346211""","Grade 10",65.2
"Danbury School District","Alternative Center For Excellence","=""0346211""","Grade 11",52.2
"Danbury School District","Alternative Center For Excellence","=""0346211""","Grade 12",55.6
"Danbury School District","Danbury High School","=""0346111""","Grade   9",11.6
"Danbury School District","Danbury High School","=""0346111""","Grade 10",10.3
"Danbury School District","Danbury High School","=""0346111""","Grade 11",11.9
"Danbury School District","Danbury High School","=""0346111""","Grade 12",13.7
"Darien School District","Hindley Elementary School","=""0350211""","Kindergarten",0.0
"Darien School District","Hindley Elementary School","=""0350211""","Grade   1","*"
"Darien School District","Hindley Elementary School","=""0350211""","Grade   2","*"
"Darien School District","Hindley Elementary School","=""0350211""","Grade   3","*"
"Darien School District","Hindley Elementary School","=""0350211""","Grade   4","*"
"Darien School District","Hindley Elementary School","=""0350211""","Grade   5","*"
"Darien School District","Holmes Elementary School","=""0350711""","Kindergarten","*"
"Darien School District","Holmes Elementary School","=""0350711""","Grade   1",0.0
"Darien School District","Holmes Elementary School","=""0350711""","Grade   2","*"
"Darien School District","Holmes Elementary School","=""0350711""","Grade   3",0.0
"Darien School District","Holmes Elementary School","=""0350711""","Grade   4",0.0
"Darien School District","Holmes Elementary School","=""0350711""","Grade   5",0.0
"Darien School District","Ox Ridge Elementary School","=""0351311""","Kindergarten","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Grade   1","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Grade   2","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Grade   3","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Grade   4","*"
"Darien School District","Ox Ridge Elementary School","=""0351311""","Grade   5",0.0
"Darien School District","Royle Elementary School","=""0350511""","Kindergarten","*"
"Darien School District","Royle Elementary School","=""0350511""","Grade   1","*"
"Darien School District","Royle Elementary School","=""0350511""","Grade   2",0.0
"Darien School District","Royle Elementary School","=""0350511""","Grade   3","*"
"Darien School District","Royle Elementary School","=""0350511""","Grade   4","*"
"Darien School District","Royle Elementary School","=""0350511""","Grade   5",0.0
"Darien School District","Tokeneke Elementary School","=""0350611""","Kindergarten","*"
"Darien School District","Tokeneke Elementary School","=""0350611""","Grade   1","*"
"Darien School District","Tokeneke Elementary School","=""0350611""","Grade   2",0.0
"Darien School District","Tokeneke Elementary School","=""0350611""","Grade   3",0.0
"Darien School District","Tokeneke Elementary School","=""0350611""","Grade   4","*"
"Darien School District","Tokeneke Elementary School","=""0350611""","Grade   5","*"
"Darien School District","Middlesex Middle School","=""0355111""","Grade   6",2.2
"Darien School District","Middlesex Middle School","=""0355111""","Grade   7",3.4
"Darien School District","Middlesex Middle School","=""0355111""","Grade   8",3.5
"Darien School District","Darien High School","=""0356111""","Grade   9",2.9
"Darien School District","Darien High School","=""0356111""","Grade 10",3.7
"Darien School District","Darien High School","=""0356111""","Grade 11",3.7
"Darien School District","Darien High School","=""0356111""","Grade 12",7.4
"Deep River School District","Deep River Elementary School","=""0360111""","Kindergarten","*"
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   1",0.0
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   2","*"
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   3","*"
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   4",0.0
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   5","*"
"Deep River School District","Deep River Elementary School","=""0360111""","Grade   6",0.0
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","Grade 12","*"
"Derby School District","Bradley School","=""0370611""","Kindergarten","*"
"Derby School District","Bradley School","=""0370611""","Grade   1","*"
"Derby School District","Bradley School","=""0370611""","Grade   2","*"
"Derby School District","Bradley School","=""0370611""","Grade   3","*"
"Derby School District","Bradley School","=""0370611""","Grade   4","*"
"Derby School District","Bradley School","=""0370611""","Grade   5","*"
"Derby School District","Irving School","=""0370411""","Kindergarten","*"
"Derby School District","Irving School","=""0370411""","Grade   1","*"
"Derby School District","Irving School","=""0370411""","Grade   2","*"
"Derby School District","Irving School","=""0370411""","Grade   3",16.7
"Derby School District","Irving School","=""0370411""","Grade   4","*"
"Derby School District","Irving School","=""0370411""","Grade   5","*"
"Derby School District","Derby Middle School","=""0375011""","Grade   6",9.0
"Derby School District","Derby Middle School","=""0375011""","Grade   7",9.1
"Derby School District","Derby Middle School","=""0375011""","Grade   8",22.7
"Derby School District","Derby Alternative Education Center","=""0370511""","Grade   8","*"
"Derby School District","Derby Alternative Education Center","=""0370511""","Grade 11","*"
"Derby School District","Derby High School","=""0376111""","Grade   9",30.6
"Derby School District","Derby High School","=""0376111""","Grade 10",17.3
"Derby School District","Derby High School","=""0376111""","Grade 11",15.6
"Derby School District","Derby High School","=""0376111""","Grade 12",24.1
"East Granby School District","Allgrove School","=""0400111""","Kindergarten","*"
"East Granby School District","Allgrove School","=""0400111""","Grade   1",9.2
"East Granby School District","Allgrove School","=""0400111""","Grade   2","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Grade   3",8.1
"East Granby School District","R. Dudley Seymour School","=""0400211""","Grade   4","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Grade   5","*"
"East Granby School District","East Granby Middle School","=""0405111""","Grade   6","*"
"East Granby School District","East Granby Middle School","=""0405111""","Grade   7",0.0
"East Granby School District","East Granby Middle School","=""0405111""","Grade   8","*"
"East Granby School District","East Granby High School","=""0406111""","Grade   9","*"
"East Granby School District","East Granby High School","=""0406111""","Grade 10","*"
"East Granby School District","East Granby High School","=""0406111""","Grade 11",14.5
"East Granby School District","East Granby High School","=""0406111""","Grade 12",8.5
"East Haddam School District","East Haddam Elementary School","=""0410111""","Kindergarten","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Grade   1","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Grade   2","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Grade   3","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Grade   4",8.0
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Grade   5","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Grade   6","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Grade   7","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Grade   8",6.9
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Grade   9","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Grade 10","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Grade 11",11.9
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Grade 12",8.6
"East Hampton School District","Memorial School","=""0420111""","Kindergarten","*"
"East Hampton School District","Memorial School","=""0420111""","Grade   1",8.1
"East Hampton School District","Memorial School","=""0420111""","Grade   2","*"
"East Hampton School District","Memorial School","=""0420111""","Grade   3","*"
"East Hampton School District","Center School","=""0420311""","Grade   4",5.1
"East Hampton School District","Center School","=""0420311""","Grade   5","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Grade   6","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Grade   7",11.2
"East Hampton School District","East Hampton Middle School","=""0425111""","Grade   8","*"
"East Hampton School District","East Hampton High School","=""0426111""","Grade   9",4.8
"East Hampton School District","East Hampton High School","=""0426111""","Grade 10",12.0
"East Hampton School District","East Hampton High School","=""0426111""","Grade 11",9.7
"East Hampton School District","East Hampton High School","=""0426111""","Grade 12",21.1
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","Grade   9","*"
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","Grade 10","*"
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","Grade 12","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","Kindergarten",16.4
"East Hartford School District","Anna E. Norris School","=""0430911""","Grade   1","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","Grade   2",12.3
"East Hartford School District","Anna E. Norris School","=""0430911""","Grade   3",11.5
"East Hartford School District","Anna E. Norris School","=""0430911""","Grade   4",13.6
"East Hartford School District","Anna E. Norris School","=""0430911""","Grade   5","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Kindergarten","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Grade   1",19.7
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Grade   2",13.9
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Grade   3","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Grade   4","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Grade   5","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Kindergarten",14.0
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Grade   1",11.9
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Grade   2","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Grade   3","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Grade   4",17.2
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Grade   5",22.6
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Kindergarten","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Grade   1","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Grade   2",7.0
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Grade   3","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Grade   4",11.4
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Grade   5","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Kindergarten","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Grade   1",10.3
"East Hartford School District","Governor William Pitkin School","=""0432011""","Grade   2","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Grade   3","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Grade   4","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Grade   5","*"
"East Hartford School District","Hockanum School","=""0430511""","Kindergarten",18.0
"East Hartford School District","Hockanum School","=""0430511""","Grade   1","*"
"East Hartford School District","Hockanum School","=""0430511""","Grade   2","*"
"East Hartford School District","Hockanum School","=""0430511""","Grade   3","*"
"East Hartford School District","Hockanum School","=""0430511""","Grade   4","*"
"East Hartford School District","Hockanum School","=""0430511""","Grade   5","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Kindergarten",18.0
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Grade   1","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Grade   2","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Grade   3","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Grade   4","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Grade   5",10.9
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Kindergarten",8.5
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   1","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   2","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   3",9.9
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   4","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   5",9.3
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Grade   6","*"
"East Hartford School District","Silver Lane School","=""0431211""","Kindergarten",22.2
"East Hartford School District","Silver Lane School","=""0431211""","Grade   1","*"
"East Hartford School District","Silver Lane School","=""0431211""","Grade   2",14.8
"East Hartford School District","Silver Lane School","=""0431211""","Grade   3","*"
"East Hartford School District","Silver Lane School","=""0431211""","Grade   4",18.9
"East Hartford School District","Silver Lane School","=""0431211""","Grade   5","*"
"East Hartford School District","Woodland School","=""0439011""","Kindergarten","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   1","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   2","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   3","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   4","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   5","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   6","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   7",63.6
"East Hartford School District","Woodland School","=""0439011""","Grade   8","*"
"East Hartford School District","Woodland School","=""0439011""","Grade   9",52.2
"East Hartford School District","Woodland School","=""0439011""","Grade 10",76.7
"East Hartford School District","Woodland School","=""0439011""","Grade 11",77.3
"East Hartford School District","Woodland School","=""0439011""","Grade 12",77.1
"East Hartford School District","East Hartford Middle School","=""0435111""","Grade   6",9.2
"East Hartford School District","East Hartford Middle School","=""0435111""","Grade   7",8.1
"East Hartford School District","East Hartford Middle School","=""0435111""","Grade   8",10.8
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Grade   6",5.5
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Grade   7",12.5
"East Hartford School District","Connecticut IB Academy","=""0436311""","Grade   9","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Grade 10","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Grade 11","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Grade 12","*"
"East Hartford School District","East Hartford High School","=""0436211""","Grade   9",14.3
"East Hartford School District","East Hartford High School","=""0436211""","Grade 10",16.3
"East Hartford School District","East Hartford High School","=""0436211""","Grade 11",12.0
"East Hartford School District","East Hartford High School","=""0436211""","Grade 12",12.1
"East Hartford School District","Hartford Detention Center","=""3480315""","Grade   9","*"
"East Hartford School District","Hartford Detention Center","=""3480315""","Grade 11","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","Grade   9","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","Grade 10",81.5
"East Hartford School District","Stevens Alternate High school","=""0436411""","Grade 11","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","Grade 12",85.4
"East Haven School District","D. C. Moore School","=""0441411""","Kindergarten","*"
"East Haven School District","D. C. Moore School","=""0441411""","Grade   1","*"
"East Haven School District","D. C. Moore School","=""0441411""","Grade   2","*"
"East Haven School District","Deer Run School","=""0440111""","Kindergarten",8.9
"East Haven School District","Deer Run School","=""0440111""","Grade   1","*"
"East Haven School District","Deer Run School","=""0440111""","Grade   2","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Kindergarten",23.5
"East Haven School District","Overbrook Elementary School","=""0441811""","Grade   1","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Grade   2","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   3",0.0
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   4","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   5",0.0
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   6","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   7","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Grade   8","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Grade   3","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Grade   4",9.4
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Grade   5","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Grade   3","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Grade   4","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Grade   5",11.5
"East Haven School District","Momauguin School","=""0440711""","Grade   3",16.7
"East Haven School District","Momauguin School","=""0440711""","Grade   4",20.8
"East Haven School District","Momauguin School","=""0440711""","Grade   5",13.7
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Grade   6",0.0
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Grade   7",0.0
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Grade   8",0.0
"East Haven School District","East Haven High School","=""0446111""","Grade   9",18.2
"East Haven School District","East Haven High School","=""0446111""","Grade 10",15.0
"East Haven School District","East Haven High School","=""0446111""","Grade 11",18.4
"East Haven School District","East Haven High School","=""0446111""","Grade 12",26.6
"East Lyme School District","Flanders School","=""0450111""","Kindergarten","*"
"East Lyme School District","Flanders School","=""0450111""","Grade   1","*"
"East Lyme School District","Flanders School","=""0450111""","Grade   2","*"
"East Lyme School District","Flanders School","=""0450111""","Grade   3","*"
"East Lyme School District","Flanders School","=""0450111""","Grade   4","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Kindergarten","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Grade   1",0.0
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Grade   2","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Grade   3","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Grade   4","*"
"East Lyme School District","Niantic Center School","=""0450211""","Kindergarten","*"
"East Lyme School District","Niantic Center School","=""0450211""","Grade   1","*"
"East Lyme School District","Niantic Center School","=""0450211""","Grade   2","*"
"East Lyme School District","Niantic Center School","=""0450211""","Grade   3","*"
"East Lyme School District","Niantic Center School","=""0450211""","Grade   4","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Grade   5",2.9
"East Lyme School District","East Lyme Middle School","=""0455111""","Grade   6",3.9
"East Lyme School District","East Lyme Middle School","=""0455111""","Grade   7",5.0
"East Lyme School District","East Lyme Middle School","=""0455111""","Grade   8",6.5
"East Lyme School District","Coastal Connections","=""0450611""","Grade   9","*"
"East Lyme School District","Coastal Connections","=""0450611""","Grade 10","*"
"East Lyme School District","Coastal Connections","=""0450611""","Grade 11","*"
"East Lyme School District","Coastal Connections","=""0450611""","Grade 12","*"
"East Lyme School District","East Lyme High School","=""0456111""","Grade   9",4.0
"East Lyme School District","East Lyme High School","=""0456111""","Grade 10",2.9
"East Lyme School District","East Lyme High School","=""0456111""","Grade 11",5.6
"East Lyme School District","East Lyme High School","=""0456111""","Grade 12",4.9
"East Lyme School District","Medically Fragile Program (WAVES)","=""0450711""","Grade 12","*"
"East Lyme School District","Post High School Transition Program","=""0450511""","Grade 12","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Kindergarten",8.9
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Grade   1","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Grade   2",11.8
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Grade   3",7.1
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Grade   4","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Grade   4","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Grade   5","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Grade   6",12.7
"East Windsor School District","East Windsor Middle School","=""0475411""","Grade   7",18.9
"East Windsor School District","East Windsor Middle School","=""0475411""","Grade   8",10.8
"East Windsor School District","East Windsor High School","=""0476111""","Grade   9",11.6
"East Windsor School District","East Windsor High School","=""0476111""","Grade 10",12.9
"East Windsor School District","East Windsor High School","=""0476111""","Grade 11",16.9
"East Windsor School District","East Windsor High School","=""0476111""","Grade 12",24.3
"East Windsor School District","East Windsor Transition Program","=""0470411""","Grade 12","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Kindergarten","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   1","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   2","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   3","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   4","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   5","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   6","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   7","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   8","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade   9","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade 10","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade 11","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Grade 12",35.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade   9","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 10","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 11","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 12","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Grade   9",22.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Grade 10",58.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Grade 11",63.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Grade 12",87.1
"Eastford School District","Eastford Elementary School","=""0390111""","Kindergarten","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   1","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   2","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   3","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   4","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   5","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   6","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   7","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Grade   8","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Kindergarten","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Grade   1","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Grade   2","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Grade   3",0.0
"Easton School District","Samuel Staples Elementary School","=""0460111""","Grade   4","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Grade   5","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Grade   6","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Grade   7","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Grade   8","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   2","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   3","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   4","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   5","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   6","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   7","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   8","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade   9","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade 10","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade 11","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Grade 12","*"
"Ellington School District","Center School","=""0480111""","Kindergarten","*"
"Ellington School District","Center School","=""0480111""","Grade   1","*"
"Ellington School District","Center School","=""0480111""","Grade   2","*"
"Ellington School District","Center School","=""0480111""","Grade   3","*"
"Ellington School District","Center School","=""0480111""","Grade   4",0.0
"Ellington School District","Crystal Lake School","=""0480211""","Kindergarten",0.0
"Ellington School District","Crystal Lake School","=""0480211""","Grade   1",0.0
"Ellington School District","Crystal Lake School","=""0480211""","Grade   2","*"
"Ellington School District","Crystal Lake School","=""0480211""","Grade   3","*"
"Ellington School District","Crystal Lake School","=""0480211""","Grade   4",0.0
"Ellington School District","Windermere School","=""0480611""","Kindergarten","*"
"Ellington School District","Windermere School","=""0480611""","Grade   1","*"
"Ellington School District","Windermere School","=""0480611""","Grade   2",7.1
"Ellington School District","Windermere School","=""0480611""","Grade   3","*"
"Ellington School District","Windermere School","=""0480611""","Grade   4","*"
"Ellington School District","Windermere School Program for Alternative Learning K-4","=""0480311""","Grade   2","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Grade   5",4.5
"Ellington School District","Windermere Intermediate School","=""0480711""","Grade   6",3.6
"Ellington School District","Ellington Middle School","=""0485111""","Grade   7",3.3
"Ellington School District","Ellington Middle School","=""0485111""","Grade   8",7.0
"Ellington School District","Ellington High School","=""0486111""","Grade   9",5.0
"Ellington School District","Ellington High School","=""0486111""","Grade 10",4.5
